Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,199961390139000  To 0,799996005881000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-04-03_07h58m38s,46m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
07h58m44s,21m;0,000002730093;0,000000695593;0,799996005881;-0,199961390139;0,000000008607;-0,000000001565;0,000001099363;0,000000224528;0,791980315332;-0,143851556294;0,000000017998;-0,000000011737;0,000001412363;0,000001161963;0,799996005881;0,122670154469;0,000000003130;-0,000000005478;0,000003913233;0,000000645513;0,799996005881;-0,123812329921;0,000000012520;-0,000000003912;0,000005780278;0,000000850528;0,799996005881;-0,147859401569;0,000000018780;-0,000000004695;0,000000013253;0,000000010123;-0,197957467502;-0,169902550579;0,000000001565;-0,000000000783;0,000002269983;0,000000406068;0,799996005881;-0,091749567724;0,000000009390;-0,000000003130;0,000001093103;0,000000135323;0,799996005881;-0,061690728164;0,000000007043;-0,000000003130;0,000008098043;0,000001318463;0,799996005881;-0,059686805527;0,000000028952;-0,000000017998;0,000000839573;0,000000124368;0,799996005881;-0,117800562009;0,000000007825;-0,000000005478;0,000006248213;0,000000755063;0,799996005881;-0,101769180911;0,000000021128;-0,000000009390;0,000003617448;0,000000434238;0,799996005881;-0,083733877175;0,000000014085;-0,000000007043;0,000005335818;0,000000870873;0,799996005881;-0,109784871460;0,000000016433;-0,000000013302;0,000003647183;0,000000468668;0,799996005881;-0,073714263988;0,000000013302;-0,000000004695;0,000001110318;0,000000130628;0,799996005881;-0,093753490361;0,000000004695;-0,000000002348;0,000001354458;0,000000248003;0,799996005881;-0,079726031900;0,000000005478;-0,000000002348;0,000005068203;0,000000836443;0,799996005881;-0,097761335636;0,000000017215;-0,000000005478;0,000000014818;0,000000010123;-0,191945699590;0,154732916666;0,000000001565;-0,000000001565;0,000000013253;0,000000008558;-0,097761335636;0,050528939525;0,000000001565;-0,000000001565;0,000002734788;0,000000418588;0,799996005881;-0,115796639372;0,000000010955;-0,000000004695
07h58m51s,29m;0,000002590808;0,000000413893;0,797992083244;-0,143851556294;0,000000009390;-0,000000003130;0,000001038328;0,000000212008;0,799996005881;-0,039647579154;0,000000009390;-0,000000004695;0,000002905373;0,000000493708;0,799996005881;-0,035639733879;0,000000013302;-0,000000006260;0,000003742648;0,000000618908;0,799996005881;-0,057682882890;0,000000012520;-0,000000006260;0,000005561178;0,000000795753;0,799996005881;-0,069706418714;0,000000017998;-0,000000007825;0,000000013253;0,000000010123;-0,199961390139;-0,177918241129;0,000000001565;-0,000000001565;0,000002464043;0,000000421718;0,799996005881;0,006442641504;0,000000009390;-0,000000004695;0,000001021113;0,000000135323;0,799996005881;0,004438718867;0,000000006260;-0,000000003912;0,000007752178;0,000001309073;0,799996005881;0,010450486779;0,000000031300;-0,000000017215;0,000000786363;0,000000116543;0,799996005881;-0,079726031900;0,000000007825;-0,000000003912;0,000005988423;0,000000751933;0,799996005881;-0,045659347066;0,000000020345;-0,000000012520;0,000003487553;0,000000429543;0,799996005881;-0,037643656517;0,000000013302;-0,000000008607;0,000005201228;0,000000803578;0,799996005881;-0,059686805527;0,000000016433;-0,000000007042;0,000003523548;0,000000467103;0,799996005881;-0,025620120693;0,000000012520;-0,000000006260;0,000001069628;0,000000130628;0,799996005881;-0,059686805527;0,000000004695;-0,000000003130;0,000001309073;0,000000244873;0,799996005881;-0,033635811242;0,000000005478;-0,000000002348;0,000004946133;0,000000838008;0,799996005881;-0,055678960252;0,000000016433;-0,000000007825;0,000000014818;0,000000011688;-0,193949622227;-0,181926086403;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,103773103548;0,130685845018;0,000000001565;-0,000000001565;0,000002664363;0,000000417023;0,799996005881;-0,065698573439;0,000000010173;-0,000000004695
07h58m58s,54m;0,000002542293;0,000000415458;0,799996005881;-0,107780948823;0,000000010173;-0,000000003130;0,000000996073;0,000000205748;0,799996005881;-0,007584816957;0,000000013303;-0,000000007042;0,000002875638;0,000000476493;0,799996005881;-0,001573049045;0,000000011737;-0,000000006260;0,000003687873;0,000000606388;0,799996005881;-0,025620120693;0,000000012520;-0,000000007043;0,000005492318;0,000000783233;0,799996005881;-0,035639733879;0,000000017997;-0,000000008608;0,000000014818;0,000000010123;-0,027624043330;-0,179922163766;0,000000001565;-0,000000001565;0,000002465608;0,000000413893;0,799996005881;0,018466177328;0,000000010955;-0,000000005478;0,000001002333;0,000000133758;0,799996005881;0,022474022603;0,000000007043;-0,000000003912;0,000007673928;0,000001301248;0,799996005881;0,026481867878;0,000000026605;-0,000000017215;0,000000764453;0,000000125933;0,799996005881;-0,033635811242;0,000000007825;-0,000000004695;0,000005894523;0,000000750368;0,799996005881;-0,033635811242;0,000000021910;-0,000000012520;0,000003440603;0,000000418588;0,799996005881;-0,009588739594;0,000000012520;-0,000000007825;0,000005174623;0,000000800448;0,799996005881;-0,041651501791;0,000000018780;-0,000000006260;0,000003485988;0,000000465538;0,799996005881;-0,013596584869;0,000000012520;-0,000000006260;0,000001057108;0,000000127498;0,799996005881;-0,021612275418;0,000000005478;-0,000000003130;0,000001298118;0,000000243308;0,799996005881;-0,007584816957;0,000000005478;-0,000000002348;0,000004914833;0,000000834878;0,799996005881;-0,051671114978;0,000000017215;-0,000000007043;0,000000016383;0,000000010123;0,284987888091;0,425262472703;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,073714263988;-0,199961390139;0,000000001565;-0,000000001565;0,000002651843;0,000000418588;0,799996005881;-0,071710341351;0,000000010173;-0,000000005478
07h59m05s,60m;0,000002528208;0,000000415458;0,799996005881;-0,089745645087;0,000000010173;-0,000000003912;0,000001003898;0,000000205748;0,799996005881;0,004438718867;0,000000009390;-0,000000005478;0,000002869378;0,000000487448;0,799996005881;0,004438718867;0,000000010955;-0,000000006260;0,000003672223;0,000000614213;0,799996005881;-0,019608352781;0,000000012520;-0,000000006260;0,000005457888;0,000000794188;0,799996005881;-0,025620120693;0,000000017997;-0,000000008607;0,000000014818;0,000000010123;0,216854518422;-0,197957467502;0,000000001565;-0,000000001565;0,000002473433;0,000000412328;0,797992083244;0,030489713152;0,000000009390;-0,000000006260;0,000000991378;0,000000135323;0,799996005881;0,040509326339;0,000000006260;-0,000000003130;0,000007648888;0,000001318463;0,799996005881;0,028485790515;0,000000028170;-0,000000015650;0,000000762888;0,000000129063;0,799996005881;-0,049667192340;0,000000007825;-0,000000004695;0,000005841313;0,000000762888;0,799996005881;-0,031631888605;0,000000021128;-0,000000011738;0,000003417128;0,000000424848;0,799996005881;-0,019608352781;0,000000011738;-0,000000007825;0,000005158973;0,000000802013;0,799996005881;-0,029627965967;0,000000017215;-0,000000006260;0,000003467208;0,000000465538;0,799996005881;-0,001573049045;0,000000012520;-0,000000006260;0,000001053978;0,000000129063;0,799996005881;-0,029627965967;0,000000005478;-0,000000003913;0,000001287163;0,000000244873;0,799996005881;-0,013596584869;0,000000004695;-0,000000003130;0,000004896053;0,000000839573;0,799996005881;-0,043655424428;0,000000016433;-0,000000007825;0,000000014818;0,000000011688;-0,159882937393;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,421254627429;-0,199961390139;0,000000001565;-0,000000001565;0,000002626803;0,000000418588;0,799996005881;-0,055678960252;0,000000010955;-0,000000005478
07h59m12s,86m;0,000002525078;0,000000412328;0,799996005881;-0,079726031900;0,000000010955;-0,000000003912;0,000001010158;0,000000210443;0,799996005881;0,018466177328;0,000000016432;-0,000000009390;0,000002845903;0,000000487448;0,799996005881;0,012454409416;0,000000010955;-0,000000007043;0,000003642488;0,000000612648;0,797992083244;-0,019608352781;0,000000013302;-0,000000007042;0,000005448498;0,000000794188;0,799996005881;-0,031631888605;0,000000021128;-0,000000008608;0,000000014818;0,000000010123;-0,065698573439;-0,183930009040;0,000000001565;-0,000000001565;0,000002485953;0,000000413893;0,799996005881;0,026481867878;0,000000010173;-0,000000004695;0,000000996073;0,000000135323;0,799996005881;0,052532862163;0,000000006260;-0,000000003912;0,000007620718;0,000001321593;0,799996005881;0,028485790515;0,000000027388;-0,000000016432;0,000000772278;0,000000121238;0,799996005881;0,006442641504;0,000000007825;-0,000000005477;0,000005799058;0,000000758193;0,799996005881;-0,017604430143;0,000000021128;-0,000000013302;0,000003398348;0,000000423283;0,799996005881;-0,011592662231;0,000000012520;-0,000000007825;0,000005146453;0,000000803578;0,799996005881;-0,019608352781;0,000000017215;-0,000000007042;0,000003445298;0,000000467103;0,799996005881;0,006442641504;0,000000011738;-0,000000007043;0,000001038328;0,000000130628;0,799996005881;-0,019608352781;0,000000005478;-0,000000003130;0,000001277773;0,000000244873;0,797992083244;-0,003576971682;0,000000005477;-0,000000002348;0,000004878838;0,000000839573;0,799996005881;-0,039647579154;0,000000015650;-0,000000008607;0,000000016383;0,000000011688;0,293003578640;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,077722109263;-0,145855478932;0,000000001565;-0,000000001565;0,000002623673;0,000000418588;0,799996005881;-0,051671114978;0,000000009390;-0,000000005478
07h59m20s,08m;0,000002518818;0,000000415458;0,799996005881;-0,073714263988;0,000000009390;-0,000000003912;0,000000996073;0,000000208878;0,799996005881;0,014458332054;0,000000021910;-0,000000021128;0,000002855293;0,000000489013;0,799996005881;0,010450486779;0,000000011738;-0,000000006260;0,000003642488;0,000000612648;0,799996005881;-0,003576971682;0,000000013302;-0,000000007043;0,000005445368;0,000000795753;0,799996005881;-0,025620120693;0,000000018780;-0,000000009390;0,000000014818;0,000000010123;-0,039647579154;-0,197957467502;0,000000000783;-0,000000001565;0,000002481258;0,000000413893;0,799996005881;0,040509326339;0,000000009390;-0,000000005478;0,000000977293;0,000000135323;0,795988160606;0,050528939525;0,000000005478;-0,000000003912;0,000007623848;0,000001330983;0,799996005881;0,040509326339;0,000000026605;-0,000000017215;0,000000755063;0,000000129063;0,793984237969;-0,007584816957;0,000000006260;-0,000000004695;0,000005748978;0,000000759758;0,799996005881;-0,001573049045;0,000000022692;-0,000000013302;0,000003379568;0,000000427978;0,799996005881;-0,001573049045;0,000000012520;-0,000000008607;0,000005130803;0,000000806708;0,799996005881;0,000430873592;0,000000017997;-0,000000006260;0,000003423388;0,000000470233;0,799996005881;0,010450486779;0,000000012520;-0,000000007043;0,000001041458;0,000000129063;0,799996005881;-0,021612275418;0,000000005478;-0,000000003130;0,000001280903;0,000000244873;0,799996005881;0,006442641504;0,000000005478;-0,000000003130;0,000004863188;0,000000839573;0,799996005881;-0,031631888605;0,000000016433;-0,000000007825;0,000000014818;0,000000010123;-0,117800562009;-0,185933931678;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,194811369412;-0,199961390139;0,000000001565;-0,000000001565;0,000002620543;0,000000420153;0,799996005881;-0,049667192340;0,000000009390;-0,000000006260
07h59m27s,18m;0,000002503168;0,000000415458;0,799996005881;-0,071710341351;0,000000009390;-0,000000003913;0,000000972598;0,000000218268;0,799996005881;0,010450486779;0,000000009390;-0,000000021910;0,000002844338;0,000000489013;0,799996005881;0,014458332054;0,000000011738;-0,000000006260;0,000003651878;0,000000617343;0,799996005881;-0,007584816957;0,000000011738;-0,000000007043;0,000005443803;0,000000795753;0,799996005881;-0,021612275418;0,000000019562;-0,000000008608;0,000000014818;0,000000010123;-0,101769180911;0,058544630075;0,000000001565;-0,000000000783;0,000002479693;0,000000415458;0,799996005881;0,028485790515;0,000000009390;-0,000000004695;0,000000980423;0,000000135323;0,799996005881;0,046521094251;0,000000007043;-0,000000003913;0,000007616023;0,000001337243;0,799996005881;0,036501481064;0,000000028170;-0,000000017215;0,000000753498;0,000000127498;0,797992083244;-0,031631888605;0,000000006260;-0,000000007042;0,000005708288;0,000000762888;0,799996005881;-0,001573049045;0,000000020345;-0,000000014085;0,000003363918;0,000000432673;0,799996005881;0,010450486779;0,000000011738;-0,000000007825;0,000005116718;0,000000812968;0,799996005881;-0,011592662231;0,000000017215;-0,000000007043;0,000003410868;0,000000471798;0,799996005881;0,016462254691;0,000000012520;-0,000000006260;0,000001044588;0,000000129063;0,799996005881;0,000430873592;0,000000004695;-0,000000003913;0,000001273078;0,000000246438;0,797992083244;-0,009588739594;0,000000005478;-0,000000003130;0,000004853798;0,000000838008;0,799996005881;-0,031631888605;0,000000016433;-0,000000008608;0,000000014818;0,000000011688;-0,183930009040;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,040509326339;-0,199961390139;0,000000001565;-0,000000001565;0,000002617413;0,000000420153;0,799996005881;-0,049667192340;0,000000010173;-0,000000004695
07h59m34s,31m;0,000002509428;0,000000418588;0,799996005881;-0,071710341351;0,000000009390;-0,000000003913;0,000000964773;0,000000215138;0,799996005881;0,026481867878;0,000000016433;-0,000000016433;0,000002844338;0,000000492143;0,799996005881;0,018466177328;0,000000012520;-0,000000007043;0,000003639358;0,000000623603;0,799996005881;-0,003576971682;0,000000014085;-0,000000007043;0,000005429718;0,000000797318;0,799996005881;-0,013596584869;0,000000017998;-0,000000010173;0,000000014818;0,000000010123;-0,145855478932;-0,023616198055;0,000000001565;-0,000000001565;0,000002471868;0,000000413893;0,799996005881;0,046521094251;0,000000009390;-0,000000005478;0,000000985118;0,000000136888;0,799996005881;0,034497558427;0,000000006260;-0,000000003913;0,000007603503;0,000001330983;0,799996005881;0,040509326339;0,000000026605;-0,000000016433;0,000000750368;0,000000129063;0,799996005881;-0,015600507506;0,000000006260;-0,000000005478;0,000005686378;0,000000762888;0,799996005881;0,004438718867;0,000000021128;-0,000000014085;0,000003349833;0,000000431108;0,799996005881;0,004438718867;0,000000013303;-0,000000008607;0,000005104198;0,000000811403;0,799996005881;-0,005580894319;0,000000017215;-0,000000007043;0,000003396783;0,000000468668;0,799996005881;0,020470099966;0,000000012520;-0,000000007043;0,000001033633;0,000000129063;0,797992083244;-0,005580894319;0,000000004695;-0,000000003130;0,000001271513;0,000000246438;0,799996005881;0,000430873592;0,000000005478;-0,000000003130;0,000004850668;0,000000839573;0,799996005881;-0,021612275418;0,000000017215;-0,000000008608;0,000000014818;0,000000010123;-0,147859401569;0,170764297764;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,049667192340;-0,199961390139;0,000000001565;-0,000000001565;0,000002614283;0,000000421718;0,799996005881;-0,053675037615;0,000000010173;-0,000000004695
07h59m41s,47m;0,000002500038;0,000000418588;0,799996005881;-0,067702496076;0,000000009390;-0,000000003912;0,000000974163;0,000000215138;0,793984237969;0,024477945240;0,000000023475;-0,000000021910;0,000002850598;0,000000493708;0,799996005881;0,020470099966;0,000000012520;-0,000000007043;0,000003634663;0,000000617343;0,799996005881;0,010450486779;0,000000012520;-0,000000007043;0,000005426588;0,000000794188;0,799996005881;-0,015600507506;0,000000018780;-0,000000009390;0,000000014818;0,000000010123;-0,001573049045;-0,045659347066;0,000000001565;-0,000000001565;0,000002474998;0,000000412328;0,799996005881;0,042513248976;0,000000010955;-0,000000006260;0,000000969468;0,000000135323;0,797992083244;0,054536784800;0,000000006260;-0,000000004695;0,000007603503;0,000001323158;0,799996005881;0,046521094251;0,000000027388;-0,000000017215;0,000000764453;0,000000127498;0,799996005881;0,000430873592;0,000000006260;-0,000000004695;0,000005667598;0,000000759758;0,799996005881;0,018466177328;0,000000021910;-0,000000013303;0,000003349833;0,000000423283;0,799996005881;0,020470099966;0,000000014085;-0,000000009390;0,000005108893;0,000000808273;0,799996005881;0,000430873592;0,000000017998;-0,000000007043;0,000003388958;0,000000470233;0,799996005881;0,030489713152;0,000000013303;-0,000000007043;0,000001032068;0,000000129063;0,797992083244;-0,003576971682;0,000000005478;-0,000000003130;0,000001269948;0,000000244873;0,799996005881;-0,003576971682;0,000000004695;-0,000000003130;0,000004844408;0,000000841138;0,799996005881;-0,021612275418;0,000000017215;-0,000000008607;0,000000014818;0,000000011688;-0,185933931678;-0,179922163766;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,002434796230;-0,161886860030;0,000000001565;-0,000000001565;0,000002601763;0,000000418588;0,799996005881;-0,045659347066;0,000000010173;-0,000000005478
07h59m48s,64m;0,000002496908;0,000000415458;0,799996005881;-0,063694650802;0,000000009390;-0,000000003913;0,000000991378;0,000000222963;0,795988160606;0,018466177328;0,000000023475;-0,000000015650;0,000002820863;0,000000493708;0,799996005881;0,026481867878;0,000000011737;-0,000000006260;0,000003629968;0,000000625168;0,799996005881;0,006442641504;0,000000013302;-0,000000006260;0,000005425023;0,000000800448;0,799996005881;-0,013596584869;0,000000018780;-0,000000008608;0,000000014818;0,000000010123;-0,007584816957;-0,173910395854;0,000000001565;-0,000000001565;0,000002478128;0,000000413893;0,799996005881;0,038505403701;0,000000011738;-0,000000005477;0,000000969468;0,000000132193;0,797992083244;0,044517171613;0,000000006260;-0,000000003913;0,000007605068;0,000001327853;0,799996005881;0,046521094251;0,000000027387;-0,000000017215;0,000000769148;0,000000125933;0,799996005881;0,014458332054;0,000000009390;-0,000000004695;0,000005658208;0,000000761323;0,799996005881;0,002434796230;0,000000021127;-0,000000014867;0,000003332618;0,000000429543;0,799996005881;0,016462254691;0,000000012520;-0,000000008608;0,000005112023;0,000000809838;0,799996005881;0,010450486779;0,000000019562;-0,000000007825;0,000003379568;0,000000470233;0,799996005881;0,024477945240;0,000000011738;-0,000000007043;0,000001033633;0,000000129063;0,799996005881;0,004438718867;0,000000005478;-0,000000003130;0,000001266818;0,000000244873;0,799996005881;0,000430873592;0,000000005478;-0,000000003130;0,000004845973;0,000000839573;0,799996005881;-0,017604430143;0,000000017998;-0,000000008607;0,000000014818;0,000000010123;-0,161886860030;-0,189941776952;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,131828020470;-0,195953544864;0,000000001565;-0,000000001565;0,000002601763;0,000000421718;0,799996005881;-0,041651501791;0,000000010955;-0,000000005478
