Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,399912778839000  To 0,600044617181000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-04-02_11h03m28s,23m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
11h03m33s,97m;0,000002431178;0,000000379463;0,600044617181;-0,237595045217;0,000000010173;-0,000000005478;0,000001263688;0,000000235483;0,600044617181;-0,159442062361;0,000000009390;-0,000000006260;0,000002925718;0,000000490578;0,600044617181;-0,143410681263;0,000000011738;-0,000000007825;0,000003844373;0,000000676813;0,600044617181;-0,153430294449;0,000000013302;-0,000000008607;0,000005817838;0,000000811403;0,600044617181;-0,175473443460;0,000000021910;-0,000000012520;0,000000014818;0,000000010123;-0,179481288734;-0,335787254445;0,000000001565;-0,000000001565;0,000000654903;0,000000490578;0,600044617181;-0,095316537967;0,000000003130;-0,000000002348;0,000000199488;0,000000154103;0,594032849269;-0,013155709837;0,000000002348;-0,000000001565;0,000007899288;0,000001510958;0,600044617181;-0,107340073791;0,000000029735;-0,000000025040;0,000000844268;0,000000150973;0,600044617181;-0,203528360382;0,000000010173;-0,000000009390;0,000001719103;0,000001058673;0,600044617181;-0,043214549397;0,000000005478;-0,000000007043;0,000000844268;0,000000675248;0,600044617181;-0,013155709837;0,000000003130;-0,000000003130;0,000001434273;0,000001279338;0,594032849269;0,020910974997;0,000000003130;-0,000000003912;0,000003475033;0,000000490578;0,600044617181;-0,119363609615;0,000000014085;-0,000000009390;0,000001072758;0,000000135323;0,600044617181;-0,167457752911;0,000000005478;-0,000000003912;0,000001318463;0,000000249568;0,600044617181;-0,145414603900;0,000000005478;-0,000000003913;0,000004991518;0,000000834878;0,600044617181;-0,161445984999;0,000000019562;-0,000000012520;0,000000016383;0,000000008558;0,237334619827;-0,399912778839;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,052973737194;0,389632740263;0,000000001565;-0,000000001565;0,000002700358;0,000000417023;0,600044617181;-0,209540128294;0,000000011737;-0,000000007043
11h03m41s,12m;0,000002424918;0,000000384158;0,600044617181;-0,215551896206;0,000000010173;-0,000000005478;0,000001233953;0,000000243308;0,600044617181;-0,129383222802;0,000000010955;-0,000000005478;0,000002900678;0,000000493708;0,600044617181;-0,129383222802;0,000000011738;-0,000000007825;0,000003789598;0,000000661163;0,600044617181;-0,141406758625;0,000000014867;-0,000000008608;0,000005777148;0,000000805143;0,600044617181;-0,165453830273;0,000000024257;-0,000000012520;0,000000014818;0,000000010123;-0,397908856202;-0,371857861917;0,000000001565;-0,000000001565;0,000000778538;0,000000626733;0,600044617181;-0,061249853133;0,000000002348;-0,000000003130;0,000000229223;0,000000180708;0,580005390808;0,046961969282;0,000000002348;-0,000000002348;0,000007836688;0,000001520348;0,600044617181;-0,093312615330;0,000000031300;-0,000000026605;0,000000833313;0,000000147843;0,598040694544;-0,163449907636;0,000000005478;-0,000000006260;0,000001949158;0,000001327853;0,600044617181;-0,011151787200;0,000000004695;-0,000000007042;0,000000958513;0,000000776973;-0,399912778839;0,002875671261;0,000000003130;-0,000000003912;0,000001570428;0,000001429578;0,600044617181;0,042954124008;0,000000002348;-0,000000003130;0,000003467208;0,000000509358;0,600044617181;-0,111347919066;0,000000015650;-0,000000009390;0,000001061803;0,000000133758;0,600044617181;-0,155434217087;0,000000005478;-0,000000003912;0,000001310638;0,000000252698;0,600044617181;-0,131387145439;0,000000005478;-0,000000003913;0,000004974303;0,000000834878;0,600044617181;-0,161445984999;0,000000019562;-0,000000011738;0,000000016383;0,000000010123;-0,179481288734;-0,399912778839;0,000000002348;-0,000000001565;0,000000014818;0,000000008558;-0,359834326093;-0,325767641258;0,000000001565;-0,000000001565;0,000002698793;0,000000415458;0,600044617181;-0,197516592470;0,000000011738;-0,000000007825
11h03m48s,35m;0,000002429613;0,000000385723;0,600044617181;-0,215551896206;0,000000010955;-0,000000005478;0,000001265253;0,000000243308;0,600044617181;-0,123371454890;0,000000008608;-0,000000006260;0,000002891288;0,000000493708;0,600044617181;-0,129383222802;0,000000012520;-0,000000007043;0,000003772383;0,000000664293;0,600044617181;-0,149422449175;0,000000014867;-0,000000007825;0,000005739588;0,000000809838;0,600044617181;-0,161445984999;0,000000021128;-0,000000012520;0,000000014818;0,000000010123;-0,251622503678;-0,399912778839;0,000000001565;-0,000000001565;0,000000791058;0,000000643948;0,594032849269;-0,085296924781;0,000000002348;-0,000000003130;0,000000235483;0,000000188533;0,596036771906;-0,001132174013;0,000000002348;-0,000000001565;0,000007811648;0,000001509393;0,600044617181;-0,085296924781;0,000000035213;-0,000000023475;0,000000833313;0,000000143148;0,600044617181;-0,161445984999;0,000000005478;-0,000000007042;0,000001939768;0,000001315333;0,600044617181;-0,055238085221;0,000000005478;-0,000000006260;0,000000972598;0,000000784798;-0,399912778839;0,030930588184;0,000000003130;-0,000000003913;0,000001586078;0,000001445228;-0,397908856202;0,034938433458;0,000000004695;-0,000000003130;0,000003443733;0,000000509358;0,600044617181;-0,107340073791;0,000000020345;-0,000000009390;0,000001057108;0,000000135323;0,600044617181;-0,143410681263;0,000000005478;-0,000000003913;0,000001309073;0,000000254263;0,600044617181;-0,131387145439;0,000000005478;-0,000000003913;0,000004960218;0,000000836443;0,600044617181;-0,155434217087;0,000000018780;-0,000000012520;0,000000016383;0,000000010123;-0,289697033787;-0,355826480818;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,369853939279;-0,139402835988;0,000000001565;-0,000000001565;0,000002689403;0,000000415458;0,600044617181;-0,199520515108;0,000000011738;-0,000000007825
11h03m55s,53m;0,000002420223;0,000000385723;0,600044617181;-0,211544050931;0,000000010173;-0,000000006260;0,000001218303;0,000000243308;0,600044617181;-0,119363609615;0,000000010955;-0,000000004695;0,000002899113;0,000000496838;0,600044617181;-0,133391068076;0,000000013302;-0,000000007043;0,000003762993;0,000000661163;0,600044617181;-0,137398913351;0,000000015650;-0,000000009390;0,000005745848;0,000000817663;0,600044617181;-0,163449907636;0,000000021910;-0,000000012520;0,000000014818;0,000000010123;-0,273665652688;-0,393901010927;0,000000001565;-0,000000001565;0,000000800448;0,000000653338;0,600044617181;-0,097320460604;0,000000003913;-0,000000003130;0,000000240178;0,000000191663;0,598040694544;-0,037202781485;0,000000001565;-0,000000002347;0,000007791303;0,000001517218;0,600044617181;-0,101328305879;0,000000027387;-0,000000025823;0,000000836443;0,000000143148;0,596036771906;-0,181485211372;0,000000006260;-0,000000004695;0,000001964808;0,000001351328;0,600044617181;-0,019167477749;0,000000006260;-0,000000007043;0,000000980423;0,000000795753;-0,399912778839;0,071009040930;0,000000003130;-0,000000003912;0,000001601728;0,000001462443;0,596036771906;0,077020808842;0,000000003130;-0,000000003130;0,000003457818;0,000000507793;0,600044617181;-0,113351841703;0,000000015650;-0,000000009390;0,000001058673;0,000000135323;0,598040694544;-0,139402835988;0,000000005478;-0,000000003913;0,000001310638;0,000000251133;0,600044617181;-0,121367532252;0,000000005478;-0,000000003912;0,000004961783;0,000000844268;0,600044617181;-0,159442062361;0,000000019562;-0,000000013302;0,000000016383;0,000000010123;0,056981582469;-0,399912778839;0,000000001565;-0,000000002348;0,000000014818;0,000000008558;-0,325767641258;-0,389893165652;0,000000002348;-0,000000002348;0,000002680013;0,000000412328;0,600044617181;-0,193508747196;0,000000010955;-0,000000007825
11h04m02s,72m;0,000002418658;0,000000384158;0,600044617181;-0,197516592470;0,000000010955;-0,000000006260;0,000001216738;0,000000246438;0,584013236082;-0,125375377527;0,000000014867;-0,000000013303;0,000002902243;0,000000493708;0,600044617181;-0,137398913351;0,000000011738;-0,000000007043;0,000003773948;0,000000675248;0,600044617181;-0,143410681263;0,000000014085;-0,000000009390;0,000005745848;0,000000819228;0,600044617181;-0,157438139724;0,000000021128;-0,000000013303;0,000000014818;0,000000010123;-0,117359686978;-0,381877475103;0,000000001565;-0,000000001565;0,000000800448;0,000000651773;0,600044617181;-0,051230239946;0,000000003130;-0,000000003130;0,000000238613;0,000000191663;0,582009313445;-0,097320460604;0,000000002348;-0,000000002348;0,000007808518;0,000001528173;0,600044617181;-0,109343996428;0,000000030518;-0,000000022693;0,000000833313;0,000000146278;0,600044617181;-0,151426371812;0,000000006260;-0,000000003912;0,000001963243;0,000001346633;0,598040694544;-0,051230239946;0,000000006260;-0,000000007825;0,000000988248;0,000000797318;-0,393901010927;0,040950201370;0,000000003913;-0,000000003913;0,000001607988;0,000001464008;0,592028926632;0,056981582469;0,000000003130;-0,000000003130;0,000003453123;0,000000503098;0,600044617181;-0,101328305879;0,000000015650;-0,000000009390;0,000001055543;0,000000135323;0,600044617181;-0,141406758625;0,000000006260;-0,000000003912;0,000001309073;0,000000249568;0,600044617181;-0,119363609615;0,000000006260;-0,000000003913;0,000004966478;0,000000839573;0,600044617181;-0,155434217087;0,000000020345;-0,000000013303;0,000000016383;0,000000010123;-0,237595045217;-0,399912778839;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,317751950709;-0,399912778839;0,000000001565;-0,000000001565;0,000002673753;0,000000417023;0,600044617181;-0,193508747196;0,000000011737;-0,000000008608
11h04m09s,91m;0,000002418658;0,000000381028;0,600044617181;-0,205532283019;0,000000010955;-0,000000006260;0,000001257428;0,000000246438;0,598040694544;-0,135394990713;0,000000011738;-0,000000006260;0,000002895983;0,000000498403;0,600044617181;-0,135394990713;0,000000013302;-0,000000007043;0,000003773948;0,000000665858;0,600044617181;-0,153430294449;0,000000014867;-0,000000008608;0,000005738023;0,000000820793;0,600044617181;-0,167457752911;0,000000020345;-0,000000014085;0,000000014818;0,000000010123;-0,323763718621;-0,363842171367;0,000000001565;-0,000000001565;0,000000805143;0,000000656468;0,600044617181;-0,065257698407;0,000000003130;-0,000000002348;0,000000238613;0,000000191663;0,567981854984;-0,077281234231;0,000000001565;-0,000000002348;0,000007800693;0,000001521913;0,600044617181;-0,099324383242;0,000000028952;-0,000000022693;0,000000836443;0,000000143148;0,594032849269;-0,179481288734;0,000000007043;-0,000000006260;0,000001966373;0,000001351328;0,600044617181;-0,051230239946;0,000000005478;-0,000000007043;0,000000992943;0,000000797318;-0,397908856202;0,050969814557;0,000000003130;-0,000000003912;0,000001612683;0,000001465573;0,598040694544;0,054977659831;0,000000003130;-0,000000003912;0,000003454688;0,000000504663;0,600044617181;-0,115355764340;0,000000014867;-0,000000010173;0,000001064933;0,000000136888;0,600044617181;-0,143410681263;0,000000005478;-0,000000003912;0,000001310638;0,000000252698;0,600044617181;-0,135394990713;0,000000007043;-0,000000003912;0,000004969608;0,000000841138;0,600044617181;-0,161445984999;0,000000021910;-0,000000012520;0,000000016383;0,000000008558;-0,229579354667;0,279416995211;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,231583277305;-0,391897088290;0,000000001565;-0,000000001565;0,000002676883;0,000000415458;0,600044617181;-0,195512669833;0,000000010955;-0,000000009390
11h04m17s,11m;0,000002428048;0,000000385723;0,600044617181;-0,215551896206;0,000000009390;-0,000000005478;0,000001246473;0,000000241743;0,600044617181;-0,133391068076;0,000000015650;-0,000000007825;0,000002892853;0,000000498403;0,600044617181;-0,137398913351;0,000000012520;-0,000000007825;0,000003778643;0,000000686203;0,600044617181;-0,157438139724;0,000000014085;-0,000000009390;0,000005752108;0,000000822358;0,600044617181;-0,153430294449;0,000000021910;-0,000000013303;0,000000014818;0,000000010123;0,073012963567;-0,399912778839;0,000000001565;-0,000000001565;0,000000803578;0,000000654903;0,592028926632;-0,069265543682;0,000000002348;-0,000000003130;0,000000241743;0,000000191663;0,600044617181;-0,053234162584;0,000000001565;-0,000000001565;0,000007788173;0,000001537563;0,600044617181;-0,099324383242;0,000000028170;-0,000000023475;0,000000834878;0,000000147843;0,600044617181;-0,153430294449;0,000000007825;-0,000000005478;0,000001967938;0,000001341938;0,600044617181;-0,047222394672;0,000000005478;-0,000000007043;0,000000996073;0,000000800448;-0,399912778839;0,048965891919;0,000000003130;-0,000000003913;0,000001615813;0,000001467138;0,600044617181;0,046961969282;0,000000003130;-0,000000003130;0,000003459383;0,000000507793;0,600044617181;-0,115355764340;0,000000015650;-0,000000010955;0,000001058673;0,000000132193;0,600044617181;-0,133391068076;0,000000007043;-0,000000003130;0,000001307508;0,000000254263;0,600044617181;-0,143410681263;0,000000005478;-0,000000003913;0,000004955523;0,000000844268;0,600044617181;-0,161445984999;0,000000019562;-0,000000013302;0,000000016383;0,000000010123;-0,193508747196;-0,397908856202;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,363842171367;-0,321759795984;0,000000001565;-0,000000001565;0,000002676883;0,000000413893;0,600044617181;-0,191504824558;0,000000010955;-0,000000007825
11h04m24s,32m;0,000002426576;0,000000386007;0,600044617181;-0,205532283019;0,000000006009;-0,000000004029;0,000001238438;0,000000244167;0,600044617181;-0,129383222802;0,000000004106;-0,000000002516;0,000002895307;0,000000496892;0,600044617181;-0,129383222802;0,000000008907;-0,000000005714;0,000003767680;0,000000678784;0,600044617181;-0,143410681263;0,000000009928;-0,000000007141;0,000005741923;0,000000839310;0,600044617181;-0,167457752911;0,000000016429;-0,000000010982;0,000000012962;0,000000011427;0,600044617181;-0,399912778839;0,000000000172;-0,000000000044;0,000000805736;0,000000653772;0,600044617181;-0,043214549397;0,000000001116;-0,000000001291;0,000000240168;0,000000191625;0,600044617181;-0,027183168298;0,000000000402;-0,000000000372;0,000007800064;0,000001545046;0,600044617181;-0,105336151154;0,000000020791;-0,000000017160;0,000000838911;0,000000151273;0,600044617181;-0,153430294449;0,000000002652;-0,000000001529;0,000001983898;0,000001361081;0,600044617181;-0,029187090936;0,000000003984;-0,000000005072;0,000001000579;0,000000808238;-0,399912778839;0,062993350381;0,000000002013;-0,000000001717;0,000001616020;0,000001474186;0,600044617181;0,042954124008;0,000000001846;-0,000000001288;0,000003445089;0,000000509604;0,600044617181;-0,103332228516;0,000000010499;-0,000000007616;0,000001056381;0,000000136943;0,600044617181;-0,149422449175;0,000000003044;-0,000000002339;0,000001311413;0,000000247344;0,600044617181;-0,119363609615;0,000000003991;-0,000000002523;0,000004962755;0,000000828941;0,600044617181;-0,153430294449;0,000000013950;-0,000000009831;0,000000014234;0,000000011656;0,569985777621;-0,329775486533;0,000000000199;-0,000000000378;0,000000013452;0,000000008354;0,600044617181;-0,399912778839;0,000000000375;-0,000000000107;0,000002672963;0,000000416734;0,600044617181;-0,191504824558;0,000000007526;-0,000000005996
11h04m31s,41m;0,000002427582;0,000000388340;0,600044617181;-0,199520515108;0,000000005969;-0,000000004643;0,000001215244;0,000000247053;0,600044617181;-0,127379300164;0,000000003612;-0,000000002862;0,000002911425;0,000000498056;0,600044617181;-0,129383222802;0,000000008631;-0,000000005867;0,000003779891;0,000000684867;0,600044617181;-0,141406758625;0,000000009965;-0,000000007131;0,000005743962;0,000000838010;0,600044617181;-0,163449907636;0,000000016334;-0,000000011116;0,000000012316;0,000000010784;0,527903402238;-0,399912778839;0,000000000074;-0,000000000069;0,000000802793;0,000000656509;0,600044617181;-0,073273388957;0,000000000754;-0,000000001634;0,000000239138;0,000000190975;0,596036771906;0,016903129722;0,000000000431;-0,000000000659;0,000007800044;0,000001542035;0,600044617181;-0,099324383242;0,000000021203;-0,000000017150;0,000000843249;0,000000152775;0,600044617181;-0,147418526537;0,000000002903;-0,000000001657;0,000001984860;0,000001355274;0,600044617181;-0,025179245661;0,000000003739;-0,000000004845;0,000000995639;0,000000803738;-0,399912778839;0,058985505106;0,000000002097;-0,000000001778;0,000001625570;0,000001471930;-0,399912778839;0,028926665546;0,000000001045;-0,000000002268;0,000003447525;0,000000511042;0,600044617181;-0,103332228516;0,000000010569;-0,000000007637;0,000001060238;0,000000136888;0,600044617181;-0,153430294449;0,000000005478;-0,000000003913;0,000001309073;0,000000252698;0,600044617181;-0,121367532252;0,000000005478;-0,000000003913;0,000004972738;0,000000839573;0,600044617181;-0,161445984999;0,000000020345;-0,000000013302;0,000000016383;0,000000010123;0,487824949491;-0,399912778839;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,163449907636;-0,399912778839;0,000000001565;-0,000000001565;0,000002683143;0,000000417023;0,600044617181;-0,199520515108;0,000000012520;-0,000000008608
11h04m38s,55m;0,000002428048;0,000000387288;0,600044617181;-0,207536205657;0,000000011738;-0,000000005478;0,000001258993;0,000000244873;0,600044617181;-0,131387145439;0,000000010173;-0,000000005478;0,000002914763;0,000000498403;0,600044617181;-0,127379300164;0,000000012520;-0,000000007043;0,000003772383;0,000000684638;0,600044617181;-0,135394990713;0,000000014085;-0,000000009390;0,000005753673;0,000000827053;0,600044617181;-0,169461675548;0,000000021910;-0,000000012520;0,000000014818;0,000000010123;-0,215551896206;-0,375865707191;0,000000001565;-0,000000001565;0,000000812968;0,000000662728;0,600044617181;-0,087300847418;0,000000003130;-0,000000002348;0,000000243308;0,000000191663;0,596036771906;-0,019167477749;0,000000002348;-0,000000002348;0,000007814778;0,000001540693;0,600044617181;-0,091308692693;0,000000033647;-0,000000027388;0,000000855223;0,000000146278;0,596036771906;-0,151426371812;0,000000007043;-0,000000007825;0,000001989848;0,000001360718;0,600044617181;-0,007143941925;0,000000006260;-0,000000007042;0,000001007028;0,000000798883;-0,399912778839;0,024918820272;0,000000003912;-0,000000003912;0,000001626768;0,000001474963;-0,399912778839;0,038946278733;0,000000003912;-0,000000003912;0,000003445298;0,000000509358;0,600044617181;-0,121367532252;0,000000016433;-0,000000009390;0,000001053978;0,000000136888;0,598040694544;-0,167457752911;0,000000005478;-0,000000003912;0,000001309073;0,000000254263;0,600044617181;-0,117359686978;0,000000005478;-0,000000003912;0,000004968043;0,000000847398;0,600044617181;-0,171465598185;0,000000021128;-0,000000013303;0,000000016383;0,000000010123;-0,181485211372;-0,349814712906;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,273665652688;-0,319755873346;0,000000001565;-0,000000001565;0,000002680013;0,000000418588;0,600044617181;-0,197516592470;0,000000010955;-0,000000009390
