Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,199961390139000  To 0,799996005881000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-04-02_11h00m36s,21m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
11h00m41s,97m;0,000002659668;0,000000880263;0,797992083244;-0,199961390139;0,000000007825;-0,000000001565;0,000001838043;0,000000463973;0,799996005881;-0,197957467502;0,000000008608;-0,000000003130;0,000000978858;0,000000861483;0,793984237969;-0,009588739594;0,000000002348;-0,000000003130;0,000004824063;0,000001032068;0,799996005881;-0,199961390139;0,000000013303;0,000000000000;0,000007144958;0,000001288728;0,799996005881;-0,199961390139;0,000000021128;-0,000000003130;0,000000013253;0,000000010123;-0,173910395854;-0,191945699590;0,000000001565;-0,000000001565;0,000000797318;0,000000733153;0,797992083244;0,028485790515;0,000000002348;-0,000000002348;0,000000227658;0,000000208878;0,753905785223;0,014458332054;0,000000002348;-0,000000002348;0,000010306258;0,000001853693;0,799996005881;-0,199961390139;0,000000036777;0,000000000783;0,000001232388;0,000000212008;0,799996005881;-0,199961390139;0,000000007043;-0,000000003912;0,000001822393;0,000001553213;0,797992083244;-0,003576971682;0,000000003913;-0,000000003130;0,000000866178;0,000000809838;0,799996005881;0,202827059961;0,000000002347;-0,000000002348;0,000001581383;0,000001506263;0,793984237969;0,116658386557;0,000000003130;-0,000000003130;0,000004744248;0,000000615778;0,799996005881;-0,199961390139;0,000000014085;0,000000000783;0,000001449923;0,000000182273;0,799996005881;-0,199961390139;0,000000006260;-0,000000002348;0,000001726928;0,000000323123;0,799996005881;-0,199961390139;0,000000005478;-0,000000000783;0,000005891393;0,000001285598;0,799996005881;-0,199961390139;0,000000019562;0,000000000783;0,000000016383;0,000000010123;-0,009588739594;-0,181926086403;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,111788794097;-0,195953544864;0,000000001565;-0,000000001565;0,000003536068;0,000000607953;0,797992083244;-0,199961390139;0,000000011738;0,000000000782
11h00m49s,08m;0,000003071263;0,000000678378;0,799996005881;-0,199961390139;0,000000010173;-0,000000000783;0,000001800483;0,000000283998;0,799996005881;-0,197957467502;0,000000018780;-0,000000007825;0,000001385758;0,000001205783;0,797992083244;0,132689767655;0,000000003130;-0,000000003130;0,000004703558;0,000000781668;0,799996005881;-0,199961390139;0,000000014867;-0,000000003130;0,000007032278;0,000000883393;0,799996005881;-0,197957467502;0,000000021910;0,000000000000;0,000000013253;0,000000010123;-0,195953544864;-0,121808407284;0,000000001565;-0,000000001565;0,000000833313;0,000000762888;0,797992083244;0,108642696007;0,000000003130;-0,000000002348;0,000000243308;0,000000218268;0,795988160606;0,176776065676;0,000000003130;-0,000000003130;0,000009672433;0,000001437403;0,795988160606;-0,147859401569;0,000000034430;-0,000000013302;0,000001119708;0,000000140018;0,799996005881;-0,191945699590;0,000000010173;-0,000000018780;0,000001939768;0,000001661198;0,797992083244;0,054536784800;0,000000004695;-0,000000006260;0,000000908433;0,000000853658;0,799996005881;0,303023191827;0,000000003130;-0,000000003130;0,000001617378;0,000001551648;0,755909707860;0,116658386557;0,000000003130;-0,000000003130;0,000004338913;0,000000490578;0,799996005881;-0,153871169481;0,000000013303;-0,000000003912;0,000001310638;0,000000135323;0,799996005881;-0,167898627942;0,000000005478;-0,000000002348;0,000001584513;0,000000240178;0,799996005881;-0,157879014755;0,000000006260;-0,000000002348;0,000005656643;0,000000831748;0,799996005881;-0,191945699590;0,000000019562;-0,000000004695;0,000000016383;0,000000008558;0,565537057315;0,605615510061;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,174772143039;-0,187937854315;0,000000001565;-0,000000001565;0,000003276278;0,000000417023;0,797992083244;-0,199961390139;0,000000011738;0,000000000000
11h00m56s,31m;0,000002892853;0,000000396678;0,799996005881;-0,199961390139;0,000000010955;0,000000000000;0,000001571993;0,000000232353;0,795988160606;-0,151867246843;0,000000012520;-0,000000006260;0,000001438968;0,000001140053;0,797992083244;0,144713303479;0,000000003912;-0,000000004695;0,000004476633;0,000000654903;0,799996005881;-0,173910395854;0,000000014085;-0,000000004695;0,000006803788;0,000000792623;0,799996005881;-0,173910395854;0,000000023475;-0,000000003912;0,000000014818;0,000000010123;0,359133025672;-0,191945699590;0,000000001565;-0,000000001565;0,000000825488;0,000000748803;0,793984237969;0,150725071391;0,000000003912;-0,000000003130;0,000000238613;0,000000216703;0,753905785223;0,012454409416;0,000000003130;-0,000000002348;0,000009378213;0,000001420188;0,799996005881;-0,105777026185;0,000000033648;-0,000000017215;0,000001066498;0,000000149408;0,799996005881;-0,199961390139;0,000000007043;-0,000000003912;0,000001927248;0,000001618943;0,799996005881;0,108642696007;0,000000004695;-0,000000003913;0,000000903738;0,000000841138;0,757913630497;0,216854518422;0,000000003130;-0,000000003130;0,000001606423;0,000001529738;0,763925398409;0,128681922381;0,000000003130;-0,000000003130;0,000004223103;0,000000492143;0,799996005881;-0,115796639372;0,000000016432;-0,000000005478;0,000001282468;0,000000135323;0,797992083244;-0,147859401569;0,000000006260;-0,000000001565;0,000001551648;0,000000244873;0,799996005881;-0,131828020470;0,000000005478;-0,000000001565;0,000005590913;0,000000819228;0,799996005881;-0,165894705305;0,000000018780;-0,000000003912;0,000000016383;0,000000010123;0,687776338191;-0,049667192340;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,124674077106;0,166756452490;0,000000001565;-0,000000001565;0,000003198028;0,000000410763;0,797992083244;-0,193949622227;0,000000010955;-0,000000000783
11h01m03s,34m;0,000002858423;0,000000391983;0,799996005881;-0,197957467502;0,000000010955;-0,000000000783;0,000001460878;0,000000222963;0,793984237969;-0,127820175196;0,000000010955;-0,000000008607;0,000001482788;0,000001089973;0,799996005881;0,098623082821;0,000000004695;-0,000000005478;0,000004404643;0,000000645513;0,799996005881;-0,153871169481;0,000000015650;-0,000000005478;0,000006728668;0,000000792623;0,799996005881;-0,153871169481;0,000000021910;-0,000000004695;0,000000013253;0,000000010123;-0,195953544864;-0,155875092118;0,000000001565;-0,000000001565;0,000000831748;0,000000747238;0,771941088959;0,144713303479;0,000000003130;-0,000000002348;0,000000241743;0,000000216703;0,787972470057;0,056540707437;0,000000002347;-0,000000002347;0,000009285878;0,000001437403;0,799996005881;-0,087741722449;0,000000033648;-0,000000017215;0,000001046153;0,000000144713;0,797992083244;-0,179922163766;0,000000010955;-0,000000007042;0,000001938203;0,000001581383;0,799996005881;0,096619160184;0,000000004695;-0,000000003912;0,000000906868;0,000000838008;0,799996005881;0,290999656003;0,000000003130;-0,000000003912;0,000001604858;0,000001520348;0,795988160606;0,208838827873;0,000000003130;-0,000000003130;0,000004138593;0,000000489013;0,799996005881;-0,085737799812;0,000000016433;-0,000000006260;0,000001268383;0,000000133758;0,799996005881;-0,123812329921;0,000000005478;-0,000000002348;0,000001534433;0,000000246438;0,799996005881;-0,105777026185;0,000000005478;-0,000000002347;0,000005559613;0,000000816098;0,799996005881;-0,145855478932;0,000000019562;-0,000000004695;0,000000016383;0,000000010123;0,142709380842;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,152728994028;-0,195953544864;0,000000001565;-0,000000001565;0,000003165163;0,000000410763;0,799996005881;-0,169902550579;0,000000011738;-0,000000002348
11h01m10s,51m;0,000002822428;0,000000393548;0,799996005881;-0,173910395854;0,000000010173;-0,000000001565;0,000001456183;0,000000226093;0,797992083244;-0,107780948823;0,000000009390;-0,000000005478;0,000003113518;0,000000498403;0,799996005881;-0,083733877175;0,000000011738;-0,000000005478;0,000004338913;0,000000637688;0,799996005881;-0,123812329921;0,000000014085;-0,000000003913;0,000006641028;0,000000789493;0,799996005881;-0,121808407284;0,000000023475;-0,000000005478;0,000000014818;0,000000010123;-0,023616198055;-0,195953544864;0,000000001565;-0,000000001565;0,000000825488;0,000000742543;0,791980315332;0,118662309194;0,000000003130;-0,000000003130;0,000000241743;0,000000215138;0,777952856871;0,080587779085;0,000000001565;-0,000000001565;0,000009123118;0,000001438968;0,799996005881;-0,061690728164;0,000000029735;-0,000000019562;0,000001039893;0,000000135323;0,799996005881;-0,137839788382;0,000000007043;-0,000000003912;0,000001949158;0,000001571993;0,797992083244;0,092611314909;0,000000004695;-0,000000004695;0,000000911563;0,000000833313;0,795988160606;0,206834905236;0,000000003130;-0,000000003130;0,000001598598;0,000001514088;0,797992083244;0,196815292049;0,000000003912;-0,000000003912;0,000004101033;0,000000487448;0,799996005881;-0,071710341351;0,000000018780;-0,000000007043;0,000001246473;0,000000133758;0,799996005881;-0,109784871460;0,000000005478;-0,000000002348;0,000001518783;0,000000249568;0,797992083244;-0,093753490361;0,000000006260;-0,000000002348;0,000005514228;0,000000817663;0,799996005881;-0,127820175196;0,000000017997;-0,000000006260;0,000000016383;0,000000010123;-0,157879014755;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,049667192340;-0,199961390139;0,000000001565;-0,000000001565;0,000003122908;0,000000413893;0,799996005881;-0,161886860030;0,000000010955;-0,000000003912
11h01m17s,63m;0,000002786433;0,000000388853;0,799996005881;-0,161886860030;0,000000010173;-0,000000002348;0,000001424883;0,000000226093;0,799996005881;-0,099765258273;0,000000010955;-0,000000007043;0,000003244978;0,000000465538;0,799996005881;-0,077722109263;0,000000010955;-0,000000007043;0,000004320133;0,000000637688;0,799996005881;-0,103773103548;0,000000014085;-0,000000005478;0,000006586253;0,000000787928;0,799996005881;-0,123812329921;0,000000021910;-0,000000008608;0,000000014818;0,000000010123;0,162748607215;-0,191945699590;0,000000000783;-0,000000001565;0,000000828618;0,000000737848;0,799996005881;0,114654463919;0,000000003130;-0,000000003130;0,000000246438;0,000000213573;0,787972470057;0,058544630075;0,000000002348;-0,000000002347;0,000009051128;0,000001442098;0,799996005881;-0,053675037615;0,000000037560;-0,000000017997;0,000001011723;0,000000138453;0,797992083244;-0,133831943108;0,000000007043;-0,000000003130;0,000001961678;0,000001556343;0,799996005881;0,086599546997;0,000000004695;-0,000000003912;0,000000920953;0,000000839573;0,793984237969;0,206834905236;0,000000002348;-0,000000003912;0,000001604858;0,000001517218;0,793984237969;0,126677999743;0,000000003130;-0,000000003130;0,000004047823;0,000000492143;0,799996005881;-0,061690728164;0,000000017215;-0,000000006260;0,000001240213;0,000000133758;0,799996005881;-0,099765258273;0,000000005478;-0,000000003130;0,000001507828;0,000000249568;0,799996005881;-0,103773103548;0,000000006260;-0,000000002348;0,000005506403;0,000000819228;0,799996005881;-0,119804484646;0,000000019562;-0,000000007043;0,000000016383;0,000000010123;0,461333080175;-0,179922163766;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,077722109263;-0,199961390139;0,000000001565;-0,000000001565;0,000003104128;0,000000412328;0,799996005881;-0,131828020470;0,000000010955;-0,000000004695
11h01m24s,84m;0,000002769218;0,000000385723;0,797992083244;-0,169902550579;0,000000011738;-0,000000001565;0,000001449923;0,000000226093;0,799996005881;-0,081729954537;0,000000008607;-0,000000004695;0,000003246543;0,000000454583;0,799996005881;-0,065698573439;0,000000010955;-0,000000007825;0,000004295093;0,000000631428;0,799996005881;-0,083733877175;0,000000014085;-0,000000007042;0,000006551823;0,000000791058;0,799996005881;-0,097761335636;0,000000021910;-0,000000007043;0,000000014818;0,000000010123;-0,191945699590;-0,151867246843;0,000000001565;-0,000000001565;0,000000833313;0,000000736283;0,799996005881;0,088603469634;0,000000003130;-0,000000003130;0,000000244873;0,000000215138;0,769937166321;0,160744684578;0,000000001565;-0,000000002348;0,000009008873;0,000001438968;0,799996005881;-0,047663269703;0,000000031300;-0,000000021127;0,000001005463;0,000000138453;0,797992083244;-0,111788794097;0,000000007043;-0,000000004695;0,000001933508;0,000001479658;0,799996005881;0,068564243261;0,000000004695;-0,000000004695;0,000000920953;0,000000830183;0,799996005881;0,198819214687;0,000000002348;-0,000000003130;0,000001607988;0,000001507828;0,799996005881;0,114654463919;0,000000002348;-0,000000002348;0,000004018088;0,000000490578;0,799996005881;-0,071710341351;0,000000018780;-0,000000007042;0,000001230823;0,000000133758;0,797992083244;-0,093753490361;0,000000005478;-0,000000002348;0,000001496873;0,000000251133;0,799996005881;-0,073714263988;0,000000006260;-0,000000003130;0,000005500143;0,000000825488;0,799996005881;-0,105777026185;0,000000017997;-0,000000007043;0,000000016383;0,000000010123;0,413238936879;-0,035639733879;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,141847633657;-0,197957467502;0,000000001565;-0,000000001565;0,000003093173;0,000000415458;0,799996005881;-0,143851556294;0,000000010955;-0,000000004695
11h01m31s,91m;0,000002755133;0,000000384158;0,799996005881;-0,149863324206;0,000000011737;-0,000000002347;0,000001424883;0,000000233918;0,799996005881;-0,057682882890;0,000000010173;-0,000000005478;0,000003263758;0,000000453018;0,799996005881;-0,055678960252;0,000000012520;-0,000000007825;0,000004279443;0,000000643948;0,799996005881;-0,097761335636;0,000000014085;-0,000000006260;0,000006534608;0,000000797318;0,799996005881;-0,097761335636;0,000000021910;-0,000000007825;0,000000014818;0,000000010123;0,401215401055;-0,143851556294;0,000000001565;-0,000000001565;0,000000844268;0,000000740978;0,795988160606;0,178779988313;0,000000002348;-0,000000003130;0,000000246438;0,000000213573;0,789976392694;0,100627005458;0,000000002347;-0,000000002347;0,000008963488;0,000001464008;0,799996005881;-0,037643656517;0,000000029735;-0,000000018780;0,000001007028;0,000000132193;0,799996005881;-0,127820175196;0,000000006260;-0,000000003912;0,000001964808;0,000001507828;0,797992083244;0,066560320624;0,000000005478;-0,000000004695;0,000000939733;0,000000842703;0,795988160606;0,174772143039;0,000000003130;-0,000000003130;0,000001620508;0,000001515653;0,799996005881;0,172768220402;0,000000003130;-0,000000003130;0,000003996178;0,000000492143;0,799996005881;-0,049667192340;0,000000018780;-0,000000007825;0,000001227693;0,000000132193;0,799996005881;-0,091749567724;0,000000005478;-0,000000003130;0,000001490613;0,000000249568;0,799996005881;-0,083733877175;0,000000006260;-0,000000003130;0,000005503273;0,000000825488;0,799996005881;-0,115796639372;0,000000019562;-0,000000009390;0,000000016383;0,000000008558;0,515438991382;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,129824097833;-0,199961390139;0,000000001565;-0,000000001565;0,000003074393;0,000000412328;0,799996005881;-0,133831943108;0,000000010173;-0,000000004695
11h01m39s,05m;0,000002739483;0,000000384158;0,799996005881;-0,153871169481;0,000000010173;-0,000000003130;0,000001449923;0,000000237048;0,797992083244;-0,051671114978;0,000000010173;-0,000000003912;0,000003257498;0,000000463973;0,799996005881;-0,057682882890;0,000000013303;-0,000000010173;0,000004255968;0,000000632993;0,799996005881;-0,099765258273;0,000000014085;-0,000000005478;0,000006511133;0,000000789493;0,799996005881;-0,099765258273;0,000000021910;-0,000000009390;0,000000014818;0,000000010123;-0,007584816957;-0,171906473217;0,000000001565;-0,000000001565;0,000000839573;0,000000737848;0,787972470057;0,144713303479;0,000000002348;-0,000000003130;0,000000251133;0,000000215138;0,793984237969;0,058544630075;0,000000002347;-0,000000001565;0,000008919668;0,000001451488;0,799996005881;-0,031631888605;0,000000031300;-0,000000021128;0,000001003898;0,000000136888;0,799996005881;-0,115796639372;0,000000007043;-0,000000005477;0,000001944463;0,000001434273;0,799996005881;0,102630928096;0,000000004695;-0,000000003912;0,000000935038;0,000000833313;0,769937166321;0,218858441060;0,000000003130;-0,000000003130;0,000001615813;0,000001510958;0,781960702145;0,248917280619;0,000000003130;-0,000000004695;0,000003978963;0,000000496838;0,799996005881;-0,041651501791;0,000000017997;-0,000000006260;0,000001215173;0,000000135323;0,799996005881;-0,097761335636;0,000000005478;-0,000000003130;0,000001484353;0,000000251133;0,799996005881;-0,085737799812;0,000000006260;-0,000000003130;0,000005479798;0,000000828618;0,799996005881;-0,095757412999;0,000000020345;-0,000000009390;0,000000016383;0,000000010123;0,391195787869;-0,159882937393;0,000000002348;-0,000000001565;0,000000014818;0,000000008558;-0,169902550579;0,238897667433;0,000000001565;-0,000000001565;0,000003069698;0,000000407633;0,799996005881;-0,119804484646;0,000000011738;-0,000000004695
11h01m46s,20m;0,000002741048;0,000000384158;0,799996005881;-0,137839788382;0,000000010173;-0,000000002348;0,000001410798;0,000000233918;0,793984237969;-0,059686805527;0,000000013303;-0,000000003130;0,000003246543;0,000000462408;0,797992083244;-0,057682882890;0,000000012520;-0,000000008607;0,000004241883;0,000000625168;0,799996005881;-0,079726031900;0,000000014867;-0,000000007825;0,000006493918;0,000000795753;0,799996005881;-0,095757412999;0,000000021910;-0,000000009390;0,000000014818;0,000000010123;0,170764297764;-0,175914318491;0,000000001565;-0,000000001565;0,000000839573;0,000000737848;0,785968547420;0,082591701722;0,000000003130;-0,000000003130;0,000000252698;0,000000215138;0,791980315332;0,140705458204;0,000000002348;-0,000000001565;0,000008894628;0,000001460878;0,799996005881;-0,035639733879;0,000000033648;-0,000000019562;0,000000996073;0,000000135323;0,799996005881;-0,075718186625;0,000000008608;-0,000000006260;0,000001946028;0,000001410798;0,799996005881;0,114654463919;0,000000004695;-0,000000005478;0,000000942863;0,000000830183;0,781960702145;0,234889822158;0,000000003912;-0,000000003130;0,000001620508;0,000001506263;0,797992083244;0,254929048531;0,000000003130;-0,000000002348;0,000003957053;0,000000495273;0,799996005881;-0,035639733879;0,000000018780;-0,000000007043;0,000001219868;0,000000132193;0,799996005881;-0,079726031900;0,000000005478;-0,000000003912;0,000001481223;0,000000249568;0,797992083244;-0,063694650802;0,000000005478;-0,000000003130;0,000005468843;0,000000823923;0,799996005881;-0,087741722449;0,000000018780;-0,000000009390;0,000000016383;0,000000010123;0,567540979953;-0,167898627942;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,163890782667;-0,199961390139;0,000000001565;-0,000000001565;0,000003050918;0,000000410763;0,799996005881;-0,121808407284;0,000000013302;-0,000000004695
