Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,199961390139000  To 0,799996005881000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-04-02_11h06m51s,17m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
11h06m56s,90m;0,000000013253;0,000000006993;-0,071710341351;-0,135835865745;0,000000002348;-0,000000002348;0,000003409303;0,000000750368;0,793984237969;-0,199961390139;0,000000032082;-0,000000016432;0,000000021078;0,000000010123;0,697795951378;-0,199961390139;0,000000002347;-0,000000001565;0,000000136888;0,000000066463;0,795988160606;-0,169902550579;0,000000003913;-0,000000003913;0,000000014818;0,000000008558;-0,119804484646;0,377168329408;0,000000001565;-0,000000001565;0,000000013253;0,000000010123;-0,199961390139;-0,177918241129;0,000000001565;-0,000000001565;0,000000072723;0,000000064898;0,743886172036;-0,091749567724;0,000000001565;-0,000000002347;0,000000352858;0,000000323123;0,779956779508;-0,155875092118;0,000000002347;-0,000000001565;0,000004390558;0,000000972598;0,799996005881;-0,199961390139;0,000000025823;-0,000000000783;0,000000712808;0,000000654903;0,799996005881;-0,181926086403;0,000000002348;-0,000000002347;0,000000684638;0,000000168188;0,797992083244;-0,197957467502;0,000000003130;-0,000000000783;0,000004138593;0,000000888088;0,799996005881;-0,199961390139;0,000000013303;0,000000000000;0,000001345068;0,000001287163;0,771941088959;-0,071710341351;0,000000002348;-0,000000002348;0,000002935108;0,000000941298;0,795988160606;-0,199961390139;0,000000009390;-0,000000001565;0,000001377933;0,000001010158;0,793984237969;-0,013596584869;0,000000003912;-0,000000006260;0,000000013253;0,000000008558;-0,105777026185;0,176776065676;0,000000001565;-0,000000001565;0,000004917963;0,000001637723;0,797992083244;-0,199961390139;0,000000020345;-0,000000011738;0,000000013253;0,000000008558;-0,169902550579;-0,193949622227;0,000000001565;-0,000000001565;0,000001586078;0,000001401408;0,613631200611;-0,125816252558;0,000000014085;-0,000000017998;0,000001185438;0,000001138488;0,771941088959;0,130685845018;0,000000002348;-0,000000002347
11h07m04s,15m;0,000000014818;0,000000006993;0,721843023026;-0,199961390139;0,000000001565;-0,000000001565;0,000003445298;0,000000778538;0,797992083244;-0,199961390139;0,000000013303;-0,000000000783;0,000000019513;0,000000008558;0,657717498632;-0,179922163766;0,000000001565;-0,000000001565;0,000000038293;0,000000016383;0,741882249399;-0,153871169481;0,000000001565;-0,000000002348;0,000000013253;0,000000008558;-0,197957467502;-0,137839788382;0,000000002348;-0,000000001565;0,000000014818;0,000000008558;0,311038882376;-0,127820175196;0,000000001565;-0,000000001565;0,000000074288;0,000000069593;0,150725071391;-0,119804484646;0,000000002348;-0,000000001565;0,000000393548;0,000000362248;0,739878326762;0,018466177328;0,000000001565;-0,000000001565;0,000004379603;0,000001010158;0,799996005881;-0,199961390139;0,000000015650;-0,000000000783;0,000000747238;0,000000690898;0,773945011596;-0,199961390139;0,000000002348;-0,000000001565;0,000000692463;0,000000149408;0,795988160606;-0,199961390139;0,000000003130;-0,000000000783;0,000004210583;0,000000914693;0,799996005881;-0,199961390139;0,000000013302;-0,000000003130;0,000001465573;0,000001409233;0,799996005881;0,008446564142;0,000000003130;-0,000000002348;0,000002939803;0,000000822358;0,797992083244;-0,191945699590;0,000000009390;-0,000000003912;0,000001620508;0,000000969468;0,797992083244;-0,039647579154;0,000000004695;-0,000000009390;0,000000014818;0,000000010123;0,274968274905;-0,183930009040;0,000000001565;-0,000000001565;0,000004861623;0,000001550083;0,799996005881;-0,199961390139;0,000000016433;-0,000000003912;0,000000013253;0,000000008558;-0,161886860030;0,070568165898;0,000000001565;-0,000000001565;0,000001650243;0,000001413928;0,765929321047;-0,103773103548;0,000000010173;-0,000000022692;0,000001276208;0,000001226128;0,795988160606;0,196815292049;0,000000002348;-0,000000002348
11h07m11s,36m;0,000000014818;0,000000006993;0,785968547420;0,040509326339;0,000000001565;-0,000000001565;0,000003403043;0,000000720633;0,799996005881;-0,199961390139;0,000000011738;-0,000000003913;0,000000019513;0,000000010123;0,709819487202;-0,177918241129;0,000000001565;-0,000000001565;0,000000022643;0,000000011688;0,721843023026;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,137839788382;0,196815292049;0,000000001565;-0,000000001565;0,000000013253;0,000000008558;-0,199961390139;0,615635123248;0,000000001565;-0,000000001565;0,000000075853;0,000000069593;0,579564515776;-0,049667192340;0,000000001565;-0,000000001565;0,000000413893;0,000000379463;0,795988160606;0,000430873592;0,000000002348;-0,000000001565;0,000004309178;0,000000889653;0,799996005881;-0,199961390139;0,000000021128;-0,000000004695;0,000000761323;0,000000708113;0,747894017311;-0,163890782667;0,000000002348;-0,000000002348;0,000000679943;0,000000135323;0,797992083244;-0,199961390139;0,000000003130;-0,000000000783;0,000004138593;0,000000800448;0,799996005881;-0,199961390139;0,000000014085;-0,000000005478;0,000001523478;0,000001467138;0,785968547420;-0,031631888605;0,000000002348;-0,000000002348;0,000002910068;0,000000683073;0,799996005881;-0,199961390139;0,000000010173;-0,000000002347;0,000001733188;0,000000806708;0,799996005881;-0,077722109263;0,000000005478;-0,000000016433;0,000000013253;0,000000008558;-0,133831943108;-0,181926086403;0,000000001565;-0,000000001565;0,000004814673;0,000001320028;0,797992083244;-0,199961390139;0,000000017215;-0,000000010955;0,000000013253;0,000000008558;-0,193949622227;-0,149863324206;0,000000001565;-0,000000001565;0,000001529738;0,000001262123;0,719839100388;-0,065698573439;0,000000027387;-0,000000028170;0,000001318463;0,000001263688;0,769937166321;0,050528939525;0,000000002348;-0,000000002348
11h07m18s,54m;0,000000013253;0,000000006993;0,168760375127;-0,183930009040;0,000000001565;-0,000000001565;0,000003318533;0,000000596998;0,799996005881;-0,199961390139;0,000000015650;-0,000000005478;0,000000017948;0,000000010123;0,653709653357;-0,159882937393;0,000000001565;-0,000000001565;0,000000019513;0,000000010123;0,593591974238;-0,151867246843;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,157879014755;0,158740761940;0,000000001565;-0,000000001565;0,000000013253;0,000000010123;-0,175914318491;-0,193949622227;0,000000001565;-0,000000001565;0,000000077418;0,000000069593;0,723846945663;0,212846673148;0,000000002348;-0,000000001565;0,000000413893;0,000000379463;0,781960702145;0,060548552712;0,000000002348;-0,000000002347;0,000004138593;0,000000639253;0,799996005881;-0,199961390139;0,000000019563;0,000000000000;0,000000764453;0,000000709678;0,797992083244;-0,171906473217;0,000000001565;-0,000000001565;0,000000642383;0,000000096198;0,799996005881;-0,197957467502;0,000000003130;-0,000000000783;0,000003919493;0,000000559438;0,799996005881;-0,199961390139;0,000000012520;0,000000000782;0,000001521913;0,000001464008;0,763925398409;-0,039647579154;0,000000003912;-0,000000003130;0,000002752003;0,000000521878;0,799996005881;-0,199961390139;0,000000009390;-0,000000001565;0,000002720703;0,000000299648;0,793984237969;-0,199961390139;0,000000008607;-0,000000001565;0,000000014818;0,000000008558;0,729858713575;-0,187937854315;0,000000001565;-0,000000001565;0,000004558013;0,000000819228;0,799996005881;-0,199961390139;0,000000019562;-0,000000004695;0,000000014818;0,000000008558;0,485380151823;-0,153871169481;0,000000001565;-0,000000001565;0,000001537563;0,000001171353;0,799996005881;-0,131828020470;0,000000021910;-0,000000013302;0,000001304378;0,000001243343;0,793984237969;0,150725071391;0,000000002348;-0,000000003130
11h07m25s,87m;0,000000013253;0,000000006993;0,305027114464;-0,143851556294;0,000000001565;-0,000000001565;0,000003201158;0,000000474928;0,797992083244;-0,199961390139;0,000000014867;-0,000000003912;0,000000017948;0,000000010123;0,711823409839;-0,195953544864;0,000000001565;-0,000000001565;0,000000017948;0,000000010123;0,244909435345;-0,195953544864;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,170764297764;-0,189941776952;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,100627005458;0,042513248976;0,000000001565;-0,000000002348;0,000000077418;0,000000071158;0,769937166321;-0,151867246843;0,000000001565;-0,000000001565;0,000000415458;0,000000376333;0,789976392694;0,050528939525;0,000000002347;-0,000000002348;0,000004018088;0,000000456148;0,799996005881;-0,187937854315;0,000000038343;-0,000000031300;0,000000762888;0,000000709678;0,769937166321;-0,151867246843;0,000000002348;-0,000000003130;0,000000622038;0,000000074288;0,799996005881;-0,199961390139;0,000000003130;-0,000000000783;0,000003811508;0,000000498403;0,799996005881;-0,199961390139;0,000000011738;-0,000000001565;0,000001521913;0,000001464008;0,793984237969;-0,031631888605;0,000000003130;-0,000000003130;0,000002686273;0,000000474928;0,799996005881;-0,199961390139;0,000000010955;-0,000000009390;0,000002705053;0,000000280868;0,799996005881;-0,185933931678;0,000000008608;-0,000000003130;0,000000014818;0,000000010123;0,769937166321;-0,187937854315;0,000000001565;-0,000000001565;0,000004415598;0,000000750368;0,799996005881;-0,197957467502;0,000000020345;-0,000000007043;0,000000014818;0,000000008558;0,499407610284;-0,137839788382;0,000000001565;-0,000000001565;0,000001462443;0,000001116578;0,753905785223;-0,045659347066;0,000000025040;-0,000000016433;0,000001321593;0,000001257428;0,797992083244;0,216854518422;0,000000002348;-0,000000002348
11h07m33s,03m;0,000000013253;0,000000006993;-0,031631888605;-0,189941776952;0,000000001565;-0,000000001565;0,000003219938;0,000000432673;0,799996005881;-0,199961390139;0,000000010955;-0,000000001565;0,000000017948;0,000000010123;0,735870481487;-0,189941776952;0,000000001565;-0,000000001565;0,000000019513;0,000000010123;0,567540979953;-0,155875092118;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,181926086403;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,071710341351;0,254929048531;0,000000001565;-0,000000001565;0,000000077418;0,000000071158;0,673748879730;-0,023616198055;0,000000001565;-0,000000001565;0,000000417023;0,000000379463;0,797992083244;0,102630928096;0,000000002348;-0,000000001565;0,000003978963;0,000000506228;0,799996005881;-0,199961390139;0,000000014085;-0,000000002347;0,000000769148;0,000000709678;0,769937166321;-0,061690728164;0,000000002347;-0,000000002347;0,000000614213;0,000000069593;0,795988160606;-0,199961390139;0,000000003130;-0,000000000783;0,000003773948;0,000000490578;0,799996005881;-0,199961390139;0,000000011738;0,000000000783;0,000001520348;0,000001454618;0,791980315332;-0,021612275418;0,000000003130;-0,000000002348;0,000002665928;0,000000492143;0,799996005881;-0,199961390139;0,000000010173;-0,000000003130;0,000002683143;0,000000291823;0,799996005881;-0,177918241129;0,000000010173;-0,000000002348;0,000000013253;0,000000008558;-0,131828020470;-0,191945699590;0,000000001565;-0,000000001565;0,000004381168;0,000000736283;0,799996005881;-0,197957467502;0,000000019562;-0,000000005478;0,000000013253;0,000000008558;0,014458332054;-0,147859401569;0,000000001565;-0,000000001565;0,000001509393;0,000001161963;0,787972470057;0,000430873592;0,000000025823;-0,000000010955;0,000001327853;0,000001262123;0,797992083244;0,092611314909;0,000000003130;-0,000000003130
11h07m40s,24m;0,000000013253;0,000000006993;0,345105567211;-0,197957467502;0,000000001565;-0,000000001565;0,000003177683;0,000000434238;0,799996005881;-0,199961390139;0,000000013302;-0,000000007042;0,000000016383;0,000000008558;0,607619432699;0,194811369412;0,000000001565;-0,000000001565;0,000000019513;0,000000010123;0,557521366766;-0,173910395854;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,183930009040;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,095757412999;0,050528939525;0,000000001565;-0,000000001565;0,000000075853;0,000000071158;-0,195953544864;-0,107780948823;0,000000002348;-0,000000001565;0,000000421718;0,000000384158;0,785968547420;0,094615237546;0,000000001565;-0,000000001565;0,000003963313;0,000000499968;0,799996005881;-0,197957467502;0,000000016433;-0,000000000783;0,000000775408;0,000000717503;0,791980315332;-0,081729954537;0,000000002348;-0,000000002348;0,000000611083;0,000000069593;0,799996005881;-0,199961390139;0,000000003130;-0,000000000783;0,000003762993;0,000000482753;0,799996005881;-0,197957467502;0,000000014867;-0,000000001565;0,000001528173;0,000001459313;0,781960702145;0,048525016888;0,000000003130;-0,000000003130;0,000002651843;0,000000490578;0,799996005881;-0,199961390139;0,000000010955;-0,000000002348;0,000002675318;0,000000293388;0,799996005881;-0,177918241129;0,000000010173;-0,000000001565;0,000000014818;0,000000010123;0,799996005881;-0,199961390139;0,000000001565;-0,000000001565;0,000004352998;0,000000708113;0,799996005881;-0,199961390139;0,000000022692;-0,000000006260;0,000000014818;0,000000008558;0,565537057315;-0,171906473217;0,000000001565;-0,000000001565;0,000001464008;0,000001125968;0,799996005881;-0,059686805527;0,000000015650;-0,000000013303;0,000001337243;0,000001268383;0,791980315332;0,166756452490;0,000000003130;-0,000000002348
11h07m47s,46m;0,000000013253;0,000000006993;0,240901590070;-0,113792716734;0,000000001565;-0,000000001565;0,000003155773;0,000000409198;0,799996005881;-0,199961390139;0,000000012520;-0,000000002347;0,000000017948;0,000000008558;0,751901862585;-0,075718186625;0,000000001565;-0,000000001565;0,000000024208;0,000000011688;0,757913630497;-0,175914318491;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,095757412999;0,603611587424;0,000000001565;-0,000000001565;0,000000013253;0,000000008558;-0,199961390139;0,603611587424;0,000000001565;-0,000000001565;0,000000077418;0,000000069593;-0,197957467502;0,413238936879;0,000000002348;-0,000000001565;0,000000427978;0,000000388853;0,757913630497;0,100627005458;0,000000001565;-0,000000002348;0,000003930448;0,000000496838;0,799996005881;-0,199961390139;0,000000017215;0,000000000000;0,000000783233;0,000000725328;0,793984237969;-0,081729954537;0,000000002348;-0,000000002347;0,000000607953;0,000000066463;0,797992083244;-0,199961390139;0,000000003130;-0,000000000783;0,000003755168;0,000000484318;0,799996005881;-0,195953544864;0,000000013302;-0,000000001565;0,000001548518;0,000001479658;0,793984237969;0,058544630075;0,000000003130;-0,000000003130;0,000002647148;0,000000478058;0,799996005881;-0,199961390139;0,000000011737;-0,000000001565;0,000002667493;0,000000293388;0,799996005881;-0,171906473217;0,000000010173;-0,000000002348;0,000000013253;0,000000008558;-0,129824097833;-0,183930009040;0,000000001565;-0,000000001565;0,000004354563;0,000000692463;0,799996005881;-0,195953544864;0,000000020345;-0,000000002347;0,000000014818;0,000000008558;0,240901590070;-0,197957467502;0,000000001565;-0,000000001565;0,000001495308;0,000001096233;0,795988160606;-0,043655424428;0,000000017997;-0,000000014085;0,000001346633;0,000001277773;0,793984237969;0,078583856448;0,000000003912;-0,000000002348
11h07m55s,43m;0,000000014818;0,000000006993;0,793984237969;-0,135835865745;0,000000002348;-0,000000001565;0,000003143253;0,000000423283;0,795988160606;-0,199961390139;0,000000016433;-0,000000003130;0,000000017948;0,000000008558;0,763925398409;0,040509326339;0,000000002348;-0,000000001565;0,000000022643;0,000000010123;0,501411532921;-0,121808407284;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,167898627942;0,256932971169;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,029627965967;0,581568438414;0,000000001565;-0,000000001565;0,000000077418;0,000000069593;0,673748879730;-0,127820175196;0,000000001565;-0,000000001565;0,000000429543;0,000000377898;0,793984237969;0,068564243261;0,000000001565;-0,000000001565;0,000003924188;0,000000499968;0,799996005881;-0,199961390139;0,000000014085;0,000000000000;0,000000781668;0,000000708113;0,799996005881;-0,125816252558;0,000000002347;-0,000000001565;0,000000609518;0,000000068028;0,797992083244;-0,199961390139;0,000000003130;-0,000000000783;0,000003734823;0,000000482753;0,799996005881;-0,199961390139;0,000000012520;-0,000000002347;0,000001548518;0,000001471833;0,799996005881;-0,065698573439;0,000000003130;-0,000000003130;0,000002629933;0,000000476493;0,797992083244;-0,199961390139;0,000000010173;-0,000000002348;0,000002667493;0,000000291823;0,799996005881;-0,161886860030;0,000000010173;-0,000000001565;0,000000014818;0,000000010123;0,591588051600;-0,197957467502;0,000000001565;-0,000000001565;0,000004381168;0,000000654903;0,799996005881;-0,199961390139;0,000000020345;-0,000000007825;0,000000014818;0,000000008558;0,563533134678;-0,171906473217;0,000000001565;-0,000000001565;0,000001510958;0,000000997638;0,799996005881;-0,087741722449;0,000000014867;-0,000000011738;0,000001341938;0,000001252733;0,795988160606;0,072572088536;0,000000003130;-0,000000002348
11h08m04s,27m;0,000000013253;0,000000006993;-0,183930009040;-0,161886860030;0,000000001565;-0,000000001565;0,000003174553;0,000000443628;0,797992083244;-0,191945699590;0,000000014085;-0,000000002348;0,000000017948;0,000000008558;0,677756725005;-0,145855478932;0,000000001565;-0,000000001565;0,000000024208;0,000000011688;0,295007501278;-0,165894705305;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,099765258273;0,333082031387;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,177918241129;-0,149863324206;0,000000001565;-0,000000001565;0,000000078983;0,000000071158;0,665733189181;0,240901590070;0,000000001565;-0,000000001565;0,000000435803;0,000000390418;0,797992083244;0,048525016888;0,000000002348;-0,000000001565;0,000003942968;0,000000492143;0,799996005881;-0,199961390139;0,000000014867;0,000000000783;0,000000794188;0,000000731588;0,769937166321;-0,047663269703;0,000000002348;-0,000000002348;0,000000606388;0,000000068028;0,799996005881;-0,197957467502;0,000000003912;-0,000000001565;0,000003742648;0,000000482753;0,799996005881;-0,197957467502;0,000000012520;0,000000000000;0,000001551648;0,000001479658;0,793984237969;-0,011592662231;0,000000003130;-0,000000003912;0,000002628368;0,000000484318;0,799996005881;-0,199961390139;0,000000011738;-0,000000003130;0,000002662798;0,000000294953;0,799996005881;-0,167898627942;0,000000008608;-0,000000002348;0,000000014818;0,000000008558;0,210842750510;0,244909435345;0,000000001565;-0,000000001565;0,000004332653;0,000000703418;0,799996005881;-0,197957467502;0,000000023475;-0,000000006260;0,000000014818;0,000000008558;0,309034959739;-0,147859401569;0,000000001565;-0,000000001565;0,000001532868;0,000001097798;0,797992083244;0,030489713152;0,000000014867;-0,000000014867;0,000001365413;0,000001294988;0,775948934233;0,148721148754;0,000000002348;-0,000000002348
