Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,199961390139000  To 0,799996005881000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-04-02_09h19m27s,59m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
09h19m33s,33m;0,000002133828;0,000000434238;0,799996005881;-0,141847633657;0,000000010955;-0,000000007042;0,000003157338;0,000000445193;0,799996005881;-0,083733877175;0,000000013303;-0,000000004695;0,000000021078;0,000000010123;0,771941088959;-0,199961390139;0,000000001565;-0,000000001565;0,000000465538;0,000000136888;0,797992083244;-0,041651501791;0,000000072772;-0,000000070425;0,000000014818;0,000000010123;-0,043655424428;-0,193949622227;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,125816252558;-0,197957467502;0,000000001565;-0,000000001565;0,000000368508;0,000000057073;0,799996005881;-0,049667192340;0,000000003912;-0,000000001565;0,000000662728;0,000000238613;0,799996005881;-0,033635811242;0,000000003130;-0,000000007825;0,000004135463;0,000000484318;0,799996005881;-0,079726031900;0,000000014867;-0,000000007825;0,000003443733;0,000000443628;0,799996005881;-0,139843711020;0,000000013302;-0,000000007825;0,000000604823;0,000000077418;0,797992083244;-0,081729954537;0,000000003130;-0,000000003130;0,000003831853;0,000000534398;0,799996005881;-0,061690728164;0,000000014085;-0,000000010173;0,000006021288;0,000001025808;0,799996005881;-0,057682882890;0,000000019562;-0,000000011738;0,000002648713;0,000000510923;0,799996005881;-0,095757412999;0,000000011737;-0,000000005478;0,000002737918;0,000000298083;0,799996005881;-0,063694650802;0,000000009390;-0,000000004695;0,000000014818;0,000000010123;0,573552747864;-0,173910395854;0,000000001565;-0,000000001565;0,000004924223;0,000000883393;0,799996005881;-0,089745645087;0,000000018780;-0,000000009390;0,000000014818;0,000000010123;0,741882249399;-0,195953544864;0,000000001565;-0,000000001565;0,000002018018;0,000001669023;0,799996005881;0,052532862163;0,000000012520;-0,000000009390;0,000000016383;0,000000010123;-0,063694650802;-0,193949622227;0,000000001565;-0,000000001565
09h19m40s,42m;0,000002248073;0,000000407633;0,799996005881;-0,109784871460;0,000000009390;-0,000000007043;0,000003204288;0,000000432673;0,799996005881;-0,053675037615;0,000000015650;-0,000000008607;0,000000019513;0,000000010123;0,773945011596;-0,199961390139;0,000000002348;-0,000000001565;0,000000315298;0,000000082113;0,419250704791;-0,005580894319;0,000000050863;-0,000000065730;0,000000014818;0,000000010123;-0,035639733879;-0,189941776952;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,127820175196;-0,189941776952;0,000000001565;-0,000000001565;0,000000343468;0,000000055508;0,799996005881;-0,015600507506;0,000000003912;-0,000000002347;0,000000953818;0,000000165058;0,797992083244;-0,047663269703;0,000000003913;-0,000000006260;0,000004108858;0,000000481188;0,799996005881;-0,063694650802;0,000000017215;-0,000000008608;0,000003428083;0,000000470233;0,799996005881;-0,123812329921;0,000000013303;-0,000000007825;0,000000615778;0,000000072723;0,799996005881;-0,065698573439;0,000000003130;-0,000000002348;0,000003863153;0,000000531268;0,799996005881;-0,057682882890;0,000000014867;-0,000000010955;0,000006243518;0,000001022678;0,799996005881;-0,041651501791;0,000000020345;-0,000000013303;0,000002755133;0,000000518748;0,799996005881;-0,081729954537;0,000000010955;-0,000000006260;0,000002709748;0,000000294953;0,799996005881;-0,043655424428;0,000000010173;-0,000000005478;0,000000014818;0,000000010123;0,290999656003;-0,157879014755;0,000000001565;-0,000000001565;0,000004910138;0,000000856788;0,799996005881;-0,073714263988;0,000000017215;-0,000000010173;0,000000014818;0,000000010123;0,429270317978;-0,199961390139;0,000000001565;-0,000000001565;0,000002052448;0,000001659633;0,797992083244;0,088603469634;0,000000012520;-0,000000007825;0,000000014818;0,000000008558;-0,111788794097;0,014458332054;0,000000001565;-0,000000001565
09h19m47s,60m;0,000002262158;0,000000407633;0,799996005881;-0,079726031900;0,000000009390;-0,000000009390;0,000003191768;0,000000451453;0,799996005881;-0,043655424428;0,000000013302;-0,000000005478;0,000000019513;0,000000010123;0,781960702145;-0,199961390139;0,000000001565;-0,000000001565;0,000000212008;0,000000099328;0,785968547420;-0,197957467502;0,000000027388;-0,000000028170;0,000000014818;0,000000010123;-0,031631888605;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,178779988313;-0,179922163766;0,000000001565;-0,000000001565;0,000000345033;0,000000058638;0,799996005881;0,014458332054;0,000000003130;-0,000000002348;0,000001548518;0,000000176013;0,799996005881;-0,027624043330;0,000000008607;-0,000000006260;0,000004038433;0,000000478058;0,799996005881;-0,061690728164;0,000000014867;-0,000000009390;0,000003407738;0,000000467103;0,799996005881;-0,107780948823;0,000000013302;-0,000000008607;0,000000609518;0,000000071158;0,799996005881;-0,041651501791;0,000000003130;-0,000000003130;0,000003844373;0,000000529703;0,799996005881;-0,047663269703;0,000000014867;-0,000000010955;0,000006271688;0,000001017983;0,799996005881;-0,039647579154;0,000000021910;-0,000000014867;0,000002766088;0,000000525008;0,799996005881;-0,065698573439;0,000000010955;-0,000000006260;0,000002675318;0,000000296518;0,799996005881;-0,027624043330;0,000000010173;-0,000000006260;0,000000014818;0,000000008558;0,493395842372;-0,159882937393;0,000000001565;-0,000000001565;0,000004888228;0,000000855223;0,799996005881;-0,057682882890;0,000000016433;-0,000000010955;0,000000014818;0,000000008558;0,705811641927;0,082591701722;0,000000001565;-0,000000001565;0,000002008628;0,000001645548;0,777952856871;0,028485790515;0,000000010173;-0,000000014085;0,000000014818;0,000000010123;-0,093753490361;-0,159882937393;0,000000001565;-0,000000001565
09h19m54s,77m;0,000002237118;0,000000404503;0,799996005881;-0,083733877175;0,000000010955;-0,000000007825;0,000003151078;0,000000451453;0,799996005881;-0,045659347066;0,000000014867;-0,000000005478;0,000000019513;0,000000010123;0,789976392694;-0,199961390139;0,000000001565;-0,000000001565;0,000000168188;0,000000041423;0,787972470057;0,070568165898;0,000000013302;-0,000000012520;0,000000014818;0,000000008558;-0,115796639372;0,297011423915;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,099765258273;-0,151867246843;0,000000001565;-0,000000001565;0,000000340338;0,000000057073;0,797992083244;0,040509326339;0,000000003130;-0,000000002347;0,000001557908;0,000000185403;0,799996005881;-0,017604430143;0,000000007043;-0,000000004695;0,000004005568;0,000000481188;0,799996005881;-0,049667192340;0,000000014867;-0,000000010173;0,000003373308;0,000000465538;0,799996005881;-0,103773103548;0,000000014867;-0,000000007042;0,000000601693;0,000000071158;0,797992083244;-0,047663269703;0,000000003130;-0,000000003130;0,000003811508;0,000000526573;0,799996005881;-0,027624043330;0,000000014867;-0,000000010173;0,000006254473;0,000001021113;0,799996005881;-0,027624043330;0,000000021910;-0,000000013303;0,000002762958;0,000000534398;0,799996005881;-0,091749567724;0,000000012520;-0,000000005478;0,000002651843;0,000000294953;0,799996005881;-0,013596584869;0,000000010173;-0,000000006260;0,000000014818;0,000000010123;0,623650813797;-0,195953544864;0,000000001565;-0,000000001565;0,000004856928;0,000000850528;0,799996005881;-0,039647579154;0,000000017215;-0,000000011738;0,000000014818;0,000000010123;0,541489985667;-0,195953544864;0,000000001565;-0,000000001565;0,000002018018;0,000001631463;0,797992083244;0,038505403701;0,000000014085;-0,000000007825;0,000000014818;0,000000010123;-0,173910395854;-0,199961390139;0,000000001565;-0,000000001565
09h20m01s,99m;0,000002235553;0,000000399808;0,799996005881;-0,075718186625;0,000000010955;-0,000000007825;0,000003132298;0,000000454583;0,799996005881;-0,023616198055;0,000000015650;-0,000000005478;0,000000017948;0,000000010123;0,757913630497;-0,199961390139;0,000000001565;-0,000000001565;0,000000160363;0,000000036728;0,797992083244;0,062552475349;0,000000010173;-0,000000007825;0,000000014818;0,000000010123;-0,039647579154;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,113792716734;-0,191945699590;0,000000001565;-0,000000001565;0,000000330948;0,000000057073;0,799996005881;0,012454409416;0,000000003912;-0,000000002348;0,000001551648;0,000000179143;0,799996005881;0,000430873592;0,000000006260;-0,000000007043;0,000003968008;0,000000478058;0,799996005881;-0,031631888605;0,000000016433;-0,000000010173;0,000003351398;0,000000462408;0,799996005881;-0,083733877175;0,000000013303;-0,000000008607;0,000000598563;0,000000069593;0,799996005881;-0,027624043330;0,000000003130;-0,000000002348;0,000003775513;0,000000525008;0,799996005881;-0,017604430143;0,000000015650;-0,000000010955;0,000006210653;0,000001019548;0,799996005881;-0,025620120693;0,000000022692;-0,000000014085;0,000002747308;0,000000528138;0,799996005881;-0,065698573439;0,000000011738;-0,000000006260;0,000002631498;0,000000298083;0,799996005881;-0,001573049045;0,000000010172;-0,000000006260;0,000000014818;0,000000008558;0,248917280619;-0,103773103548;0,000000001565;-0,000000001565;0,000004811543;0,000000850528;0,799996005881;-0,041651501791;0,000000019562;-0,000000011737;0,000000014818;0,000000010123;0,577560593139;-0,179922163766;0,000000001565;-0,000000001565;0,000001996108;0,000001600163;0,799996005881;0,072572088536;0,000000011738;-0,000000008607;0,000000014818;0,000000008558;-0,149863324206;0,260940816443;0,000000001565;-0,000000001565
09h20m09s,01m;0,000002223033;0,000000398243;0,799996005881;-0,075718186625;0,000000009390;-0,000000007043;0,000003108823;0,000000445193;0,799996005881;-0,009588739594;0,000000014085;-0,000000008607;0,000000017948;0,000000008558;0,733866558850;-0,177918241129;0,000000001565;-0,000000001565;0,000000158798;0,000000038293;0,791980315332;0,068564243261;0,000000008608;-0,000000007825;0,000000014818;0,000000010123;0,002434796230;-0,169902550579;0,000000001565;-0,000000001565;0,000000013253;0,000000010123;-0,191945699590;-0,177918241129;0,000000001565;-0,000000001565;0,000000330948;0,000000055508;0,797992083244;0,028485790515;0,000000003130;-0,000000002348;0,000001535998;0,000000183838;0,797992083244;0,000430873592;0,000000007043;-0,000000006260;0,000003924188;0,000000481188;0,799996005881;-0,017604430143;0,000000017215;-0,000000011738;0,000003310708;0,000000459278;0,799996005881;-0,081729954537;0,000000012520;-0,000000009390;0,000000590738;0,000000069593;0,799996005881;-0,015600507506;0,000000003130;-0,000000003130;0,000003723868;0,000000521878;0,799996005881;-0,011592662231;0,000000016433;-0,000000013303;0,000006162138;0,000001019548;0,799996005881;-0,013596584869;0,000000021910;-0,000000014085;0,000002733223;0,000000529703;0,799996005881;-0,081729954537;0,000000011737;-0,000000005478;0,000002597068;0,000000296518;0,799996005881;0,008446564142;0,000000010173;-0,000000006260;0,000000014818;0,000000010123;0,461333080175;-0,197957467502;0,000000001565;-0,000000001565;0,000004764593;0,000000847398;0,799996005881;-0,025620120693;0,000000018780;-0,000000010955;0,000000014818;0,000000008558;0,571548825227;-0,147859401569;0,000000001565;-0,000000001565;0,000001971068;0,000001561038;0,799996005881;0,046521094251;0,000000012520;-0,000000012520;0,000000014818;0,000000008558;-0,169902550579;0,553513521491;0,000000001565;-0,000000001565
09h20m16s,23m;0,000002205818;0,000000395113;0,799996005881;-0,043655424428;0,000000008608;-0,000000007825;0,000003057178;0,000000454583;0,799996005881;-0,003576971682;0,000000014085;-0,000000006260;0,000000017948;0,000000010123;0,745890094674;-0,177918241129;0,000000002348;-0,000000001565;0,000000157233;0,000000035163;0,779956779508;0,070568165898;0,000000005478;-0,000000003130;0,000000014818;0,000000010123;0,597599819512;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,044517171613;-0,173910395854;0,000000001565;-0,000000000783;0,000000316863;0,000000055508;0,793984237969;0,032493635789;0,000000003130;-0,000000002347;0,000001525043;0,000000179143;0,799996005881;0,026481867878;0,000000007825;-0,000000009390;0,000003878803;0,000000481188;0,799996005881;-0,021612275418;0,000000017215;-0,000000009390;0,000003277843;0,000000470233;0,799996005881;-0,059686805527;0,000000016433;-0,000000009390;0,000000582913;0,000000069593;0,799996005881;-0,001573049045;0,000000003130;-0,000000003130;0,000003698828;0,000000523443;0,799996005881;-0,005580894319;0,000000013303;-0,000000011738;0,000006115188;0,000001014853;0,799996005881;-0,009588739594;0,000000021128;-0,000000014085;0,000002722268;0,000000529703;0,799996005881;-0,081729954537;0,000000011737;-0,000000005478;0,000002573593;0,000000296518;0,799996005881;0,018466177328;0,000000009390;-0,000000006260;0,000000014818;0,000000010123;-0,127820175196;-0,191945699590;0,000000001565;-0,000000001565;0,000004728598;0,000000850528;0,799996005881;-0,015600507506;0,000000017215;-0,000000010955;0,000000014818;0,000000010123;0,759917553135;-0,179922163766;0,000000001565;-0,000000001565;0,000002002368;0,000001582948;0,797992083244;0,142709380842;0,000000010955;-0,000000014085;0,000000014818;0,000000008558;-0,079726031900;0,427266395340;0,000000001565;-0,000000001565
09h20m23s,39m;0,000002176083;0,000000398243;0,797992083244;-0,055678960252;0,000000008608;-0,000000007825;0,000003032138;0,000000451453;0,799996005881;0,016462254691;0,000000013303;-0,000000005478;0,000000017948;0,000000008558;0,779956779508;-0,149863324206;0,000000001565;-0,000000001565;0,000000141583;0,000000033598;0,793984237969;0,108642696007;0,000000006260;-0,000000004695;0,000000014818;0,000000010123;0,134693690293;-0,193949622227;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,126677999743;-0,199961390139;0,000000001565;-0,000000001565;0,000000310603;0,000000057073;0,797992083244;0,034497558427;0,000000005477;-0,000000003913;0,000001512523;0,000000188533;0,799996005881;0,016462254691;0,000000008607;-0,000000004695;0,000003831853;0,000000479623;0,799996005881;-0,013596584869;0,000000014868;-0,000000010173;0,000003255933;0,000000474928;0,799996005881;-0,049667192340;0,000000015650;-0,000000007825;0,000000579783;0,000000069593;0,799996005881;0,000430873592;0,000000003130;-0,000000003130;0,000003665963;0,000000520313;0,799996005881;0,008446564142;0,000000014867;-0,000000011737;0,000006058848;0,000001011723;0,799996005881;0,010450486779;0,000000021128;-0,000000014867;0,000002680013;0,000000512488;0,799996005881;-0,061690728164;0,000000010955;-0,000000007825;0,000002550118;0,000000298083;0,799996005881;0,024477945240;0,000000010173;-0,000000007042;0,000000014818;0,000000010123;0,687776338191;-0,197957467502;0,000000001565;-0,000000000783;0,000004700428;0,000000844268;0,799996005881;-0,009588739594;0,000000017998;-0,000000010955;0,000000014818;0,000000010123;0,617639045885;-0,197957467502;0,000000001565;-0,000000001565;0,000001961678;0,000001564168;0,797992083244;0,128681922381;0,000000010955;-0,000000010955;0,000000014818;0,000000008558;-0,117800562009;-0,091749567724;0,000000001565;-0,000000002348
09h20m30s,72m;0,000002165128;0,000000402938;0,799996005881;-0,037643656517;0,000000010173;-0,000000010173;0,000002999273;0,000000406068;0,799996005881;0,036501481064;0,000000019562;-0,000000008608;0,000000017948;0,000000010123;0,773945011596;-0,195953544864;0,000000001565;-0,000000001565;0,000000177578;0,000000033598;0,729858713575;0,082591701722;0,000000010955;-0,000000011738;0,000000014818;0,000000010123;-0,065698573439;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,139843711020;-0,199961390139;0,000000001565;-0,000000001565;0,000000302778;0,000000053943;0,797992083244;0,042513248976;0,000000003130;-0,000000002347;0,000001504698;0,000000182273;0,799996005881;0,032493635789;0,000000007043;-0,000000005478;0,000003814638;0,000000481188;0,799996005881;0,008446564142;0,000000014867;-0,000000010173;0,000003229328;0,000000468668;0,799996005881;-0,031631888605;0,000000015650;-0,000000010173;0,000000571958;0,000000069593;0,797992083244;0,004438718867;0,000000003130;-0,000000003130;0,000003622143;0,000000523443;0,799996005881;0,016462254691;0,000000014868;-0,000000011738;0,000005997813;0,000001010158;0,799996005881;0,016462254691;0,000000021128;-0,000000014085;0,000002662798;0,000000514053;0,799996005881;-0,067702496076;0,000000010955;-0,000000008608;0,000002517253;0,000000298083;0,797992083244;0,032493635789;0,000000010173;-0,000000006260;0,000000014818;0,000000010123;0,461333080175;-0,199961390139;0,000000001565;-0,000000001565;0,000004665998;0,000000850528;0,799996005881;0,008446564142;0,000000017215;-0,000000010955;0,000000013253;0,000000010123;-0,173910395854;-0,197957467502;0,000000001565;-0,000000001565;0,000001952288;0,000001542258;0,795988160606;0,164752529852;0,000000012520;-0,000000010173;0,000000016383;0,000000008558;0,142709380842;-0,199961390139;0,000000001565;-0,000000002348
09h20m37s,88m;0,000002143218;0,000000393548;0,799996005881;-0,039647579154;0,000000010173;-0,000000007043;0,000002974233;0,000000449888;0,799996005881;0,036501481064;0,000000014867;-0,000000006260;0,000000017948;0,000000010123;0,795988160606;-0,199961390139;0,000000001565;-0,000000001565;0,000000155668;0,000000030468;0,785968547420;0,108642696007;0,000000004695;-0,000000007043;0,000000014818;0,000000008558;0,058544630075;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,023616198055;-0,075718186625;0,000000001565;-0,000000001565;0,000000305908;0,000000055508;0,799996005881;0,042513248976;0,000000003130;-0,000000002348;0,000001493743;0,000000183838;0,799996005881;0,050528939525;0,000000006260;-0,000000006260;0,000003775513;0,000000482753;0,799996005881;0,008446564142;0,000000014868;-0,000000010955;0,000003196463;0,000000473363;0,799996005881;-0,037643656517;0,000000014867;-0,000000010955;0,000000565698;0,000000069593;0,797992083244;0,024477945240;0,000000003130;-0,000000003130;0,000003598668;0,000000521878;0,799996005881;0,036501481064;0,000000014867;-0,000000012520;0,000005950863;0,000001003898;0,799996005881;0,026481867878;0,000000021910;-0,000000014085;0,000002644018;0,000000518748;0,799996005881;-0,053675037615;0,000000011738;-0,000000007825;0,000002496908;0,000000294953;0,799996005881;0,040509326339;0,000000009390;-0,000000006260;0,000000014818;0,000000008558;0,479368383911;0,116658386557;0,000000001565;-0,000000001565;0,000004640958;0,000000852093;0,799996005881;0,010450486779;0,000000017998;-0,000000011737;0,000000014818;0,000000008558;0,675752802367;0,254929048531;0,000000001565;-0,000000001565;0,000001930378;0,000001550083;0,799996005881;0,198819214687;0,000000011738;-0,000000007825;0,000000014818;0,000000010123;-0,155875092118;-0,199961390139;0,000000001565;-0,000000001565
