Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,599964393799000  To 0,399993002221000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-04-02_11h16m20s,59m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
11h16m26s,36m;0,000000024208;0,000000011688;0,259718417609;-0,263305390730;0,000000002348;-0,000000001565;0,000000013253;0,000000008558;-0,571909476877;-0,431634892265;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,385965543760;-0,263305390730;0,000000001565;-0,000000001565;0,000003172988;0,000000618908;0,399993002221;-0,159101413590;0,000000014867;-0,000000009390;0,000001014853;0,000000229223;0,399993002221;-0,189160253150;0,000000005478;-0,000000003912;0,000000761323;0,000000146278;0,399993002221;-0,161105336227;0,000000004695;-0,000000003913;0,000000014818;0,000000008558;-0,209199479523;-0,559885941053;0,000000001565;-0,000000001565;0,000000039858;0,000000014818;0,387969466397;-0,157097490952;0,000000002348;-0,000000002347;0,000001960113;0,000000393548;0,399993002221;-0,161105336227;0,000000010173;-0,000000007825;0,000001138488;0,000000283998;0,399993002221;-0,183148485238;0,000000007043;-0,000000005478;0,000004301353;0,000000830183;0,399993002221;-0,137058264579;0,000000021910;-0,000000015650;0,000006047893;0,000001299683;0,399993002221;-0,123030806118;0,000000029735;-0,000000025040;0,000003230893;0,000000631428;0,399993002221;-0,149081800403;0,000000015650;-0,000000012520;0,000002853728;0,000000573523;0,399993002221;-0,117019038206;0,000000014867;-0,000000011738;0,000004004003;0,000000858353;0,399993002221;-0,153089645678;0,000000020345;-0,000000012520;0,000003634663;0,000000883393;0,399993002221;-0,137058264579;0,000000016433;-0,000000012520;0,000002938238;0,000000503098;0,399993002221;-0,153089645678;0,000000015650;-0,000000010955;0,000004251273;0,000000742543;0,399993002221;-0,161105336227;0,000000021128;-0,000000016432;0,000004700428;0,000000953818;0,399993002221;-0,157097490952;0,000000023475;-0,000000018780;0,000000016383;0,000000008558;-0,447666273363;-0,407587820617;0,000000002348;-0,000000002348
11h16m35s,84m;0,000000024208;0,000000011688;0,243687036510;-0,307391688751;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,323843942003;-0,405583897979;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,359914549475;-0,545858482592;0,000000001565;-0,000000001565;0,000003230893;0,000000622038;0,399993002221;-0,181144562600;0,000000014867;-0,000000009390;0,000001030503;0,000000237048;0,397989079584;-0,227234783258;0,000000006260;-0,000000004695;0,000000775408;0,000000143148;0,395985156946;-0,207195556885;0,000000005478;-0,000000004695;0,000000014818;0,000000010123;0,389973389034;-0,597960471162;0,000000001565;-0,000000001565;0,000000039858;0,000000014818;0,379953775848;-0,319415224575;0,000000003130;-0,000000002348;0,000001992978;0,000000395113;0,399993002221;-0,187156330512;0,000000010955;-0,000000008608;0,000001163528;0,000000285563;0,399993002221;-0,197175943699;0,000000007825;-0,000000004695;0,000004454723;0,000000830183;0,399993002221;-0,147077877766;0,000000022692;-0,000000016433;0,000006243518;0,000001302813;0,399993002221;-0,143070032491;0,000000030517;-0,000000024257;0,000003312273;0,000000634558;0,399993002221;-0,167117104139;0,000000017997;-0,000000014085;0,000002877203;0,000000570393;0,399993002221;-0,131046496667;0,000000014085;-0,000000012520;0,000004083818;0,000000859918;0,399993002221;-0,165113181502;0,000000019563;-0,000000014085;0,000003697263;0,000000895913;0,399993002221;-0,157097490952;0,000000015650;-0,000000014085;0,000002969538;0,000000499968;0,399993002221;-0,155093568315;0,000000016433;-0,000000012520;0,000004312308;0,000000747238;0,399993002221;-0,171124949414;0,000000021910;-0,000000018780;0,000004758333;0,000000955383;0,399993002221;-0,177136717326;0,000000022692;-0,000000019562;0,000000014818;0,000000008558;-0,523815333581;-0,283344617103;0,000000001565;-0,000000001565
11h16m54s,20m;0,000000025773;0,000000011688;0,311820406179;-0,501772184571;0,000000001565;-0,000000002347;0,000000013253;0,000000008558;-0,527823178856;-0,391556439518;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,373942007936;-0,147077877766;0,000000001565;-0,000000001565;0,000003340443;0,000000626733;0,399993002221;-0,201183788973;0,000000014867;-0,000000009390;0,000001071193;0,000000235483;0,399993002221;-0,239258319082;0,000000005478;-0,000000004695;0,000000806708;0,000000147843;0,399993002221;-0,217215170072;0,000000006260;-0,000000003912;0,000000014818;0,000000010123;-0,523815333581;-0,599964393799;0,000000001565;-0,000000001565;0,000000038293;0,000000013253;0,331859632552;-0,279336771829;0,000000002348;-0,000000002347;0,000002064968;0,000000396678;0,399993002221;-0,217215170072;0,000000010173;-0,000000009390;0,000001204218;0,000000285563;0,399993002221;-0,221223015347;0,000000007042;-0,000000004695;0,000004634698;0,000000834878;0,399993002221;-0,169121026776;0,000000021910;-0,000000016433;0,000006423493;0,000001310638;0,399993002221;-0,165113181502;0,000000028170;-0,000000025040;0,000003413998;0,000000637688;0,399993002221;-0,187156330512;0,000000014867;-0,000000014867;0,000002960148;0,000000573523;0,399993002221;-0,157097490952;0,000000015650;-0,000000012520;0,000004185543;0,000000866178;0,399993002221;-0,189160253150;0,000000017998;-0,000000014867;0,000003813073;0,000000894348;0,399993002221;-0,175132794688;0,000000015650;-0,000000014085;0,000003057178;0,000000503098;0,399993002221;-0,175132794688;0,000000015650;-0,000000013303;0,000004443768;0,000000747238;0,399993002221;-0,189160253150;0,000000020345;-0,000000016433;0,000004896053;0,000000958513;0,399993002221;-0,189160253150;0,000000021910;-0,000000021128;0,000000016383;0,000000008558;-0,389552516881;0,313824328816;0,000000001565;-0,000000001565
11h17m12s,23m;0,000000024208;0,000000011688;0,283765489257;-0,511791797757;0,000000001565;-0,000000001565;0,000000013253;0,000000008558;-0,581929090063;-0,549866327866;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,039286927504;-0,503776107208;0,000000001565;-0,000000001565;0,000003429648;0,000000628298;0,399993002221;-0,225230860621;0,000000014867;-0,000000010173;0,000001096233;0,000000237048;0,397989079584;-0,259297545456;0,000000005478;-0,000000003913;0,000000816098;0,000000149408;0,395985156946;-0,249277932269;0,000000007825;-0,000000003912;0,000000014818;0,000000008558;0,287773334531;-0,443658428088;0,000000001565;-0,000000001565;0,000000041423;0,000000014818;0,399993002221;-0,307391688751;0,000000002348;-0,000000001565;0,000002108788;0,000000399808;0,399993002221;-0,233246551170;0,000000009390;-0,000000010173;0,000001218303;0,000000287128;0,395985156946;-0,247274009632;0,000000006260;-0,000000005478;0,000004750508;0,000000834878;0,399993002221;-0,189160253150;0,000000022692;-0,000000017215;0,000006615988;0,000001307508;0,399993002221;-0,175132794688;0,000000029735;-0,000000026605;0,000003509463;0,000000634558;0,399993002221;-0,205191634248;0,000000015650;-0,000000013303;0,000003002403;0,000000571958;0,399993002221;-0,167117104139;0,000000014085;-0,000000011738;0,000004293528;0,000000866178;0,399993002221;-0,217215170072;0,000000017997;-0,000000014085;0,000003889758;0,000000891218;0,399993002221;-0,191164175787;0,000000015650;-0,000000013302;0,000003130733;0,000000509358;0,399993002221;-0,201183788973;0,000000015650;-0,000000011738;0,000004550188;0,000000751933;0,399993002221;-0,211203402160;0,000000023475;-0,000000016433;0,000004980563;0,000000953818;0,399993002221;-0,201183788973;0,000000021128;-0,000000017997;0,000000016383;0,000000008558;-0,115015115569;-0,557882018415;0,000000001565;-0,000000001565
11h18m08s,68m;0,000000027338;0,000000011688;0,343883168376;-0,565897708965;0,000000002348;-0,000000001565;0,000000013253;0,000000006993;-0,547862405229;-0,573913399514;0,000000002348;-0,000000001565;0,000000013253;0,000000008558;-0,519807488306;-0,399572130068;0,000000001565;-0,000000001565;0,000003629968;0,000000628298;0,399993002221;-0,271321081279;0,000000015650;-0,000000010173;0,000001160398;0,000000232353;0,399993002221;-0,301379920839;0,000000005478;-0,000000003913;0,000000863048;0,000000149408;0,399993002221;-0,281340694466;0,000000007043;-0,000000003130;0,000000014818;0,000000010123;0,347891013651;-0,593952625887;0,000000001565;-0,000000001565;0,000000044553;0,000000014818;0,389973389034;-0,297372075564;0,000000002348;-0,000000001565;0,000002213643;0,000000399808;0,399993002221;-0,265309313367;0,000000009390;-0,000000008608;0,000001291858;0,000000280868;0,399993002221;-0,269317158642;0,000000007825;-0,000000005478;0,000004968043;0,000000838008;0,399993002221;-0,225230860621;0,000000022693;-0,000000017215;0,000006954028;0,000001302813;0,399993002221;-0,217215170072;0,000000030518;-0,000000024258;0,000003683178;0,000000632993;0,399993002221;-0,231242628533;0,000000016432;-0,000000012520;0,000003129168;0,000000571958;0,399993002221;-0,199179866336;0,000000013303;-0,000000011737;0,000004473503;0,000000869308;0,399993002221;-0,227234783258;0,000000020345;-0,000000013302;0,000004069733;0,000000874003;0,399993002221;-0,221223015347;0,000000015650;-0,000000013302;0,000003282538;0,000000504663;0,399993002221;-0,223226937984;0,000000015650;-0,000000010955;0,000004761463;0,000000751933;0,399993002221;-0,237254396445;0,000000021910;-0,000000015650;0,000005196533;0,000000952253;0,399993002221;-0,237254396445;0,000000021910;-0,000000017998;0,000000014818;0,000000008558;-0,547862405229;-0,221223015347;0,000000001565;-0,000000001565
11h18m15s,73m;0,000000024208;0,000000010123;0,245690959148;-0,473717267648;0,000000002347;-0,000000001565;0,000000013253;0,000000008558;-0,509787875120;-0,583933012700;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,267734108158;-0,561889863690;0,000000001565;-0,000000001565;0,000003540763;0,000000632993;0,399993002221;-0,241262241720;0,000000014085;-0,000000008607;0,000001138488;0,000000233918;0,399993002221;-0,269317158642;0,000000005477;-0,000000003913;0,000000842703;0,000000150973;0,399993002221;-0,247274009632;0,000000006260;-0,000000003130;0,000000013253;0,000000008558;-0,543854559954;-0,597960471162;0,000000001565;-0,000000001565;0,000000041423;0,000000013253;0,391977311672;-0,279336771829;0,000000003912;-0,000000002348;0,000002168258;0,000000399808;0,399993002221;-0,257293622818;0,000000010173;-0,000000008608;0,000001262123;0,000000283998;0,399993002221;-0,253285777544;0,000000007042;-0,000000004695;0,000004941438;0,000000831748;0,399993002221;-0,207195556885;0,000000021910;-0,000000016432;0,000006875778;0,000001290293;0,399993002221;-0,195172021061;0,000000032082;-0,000000025822;0,000003633098;0,000000629863;0,399993002221;-0,219219092709;0,000000016432;-0,000000012520;0,000003065003;0,000000565698;0,399993002221;-0,189160253150;0,000000015650;-0,000000010955;0,000004418728;0,000000872438;0,399993002221;-0,237254396445;0,000000019562;-0,000000012520;0,000004024348;0,000000874003;0,399993002221;-0,209199479523;0,000000015650;-0,000000013302;0,000003249673;0,000000517183;0,399993002221;-0,213207324797;0,000000015650;-0,000000012520;0,000004705123;0,000000751933;0,399993002221;-0,225230860621;0,000000022692;-0,000000017215;0,000005146453;0,000000953818;0,399993002221;-0,221223015347;0,000000021128;-0,000000017998;0,000000014818;0,000000008558;-0,527823178856;-0,193168098424;0,000000001565;-0,000000001565
11h18m22s,76m;0,000000024208;0,000000011688;0,329855709915;-0,587940857975;0,000000001565;-0,000000001565;0,000000013253;0,000000008558;-0,503776107208;-0,583933012700;0,000000001565;-0,000000001565;0,000000013253;0,000000008558;-0,501772184571;-0,557882018415;0,000000001565;-0,000000001565;0,000003515723;0,000000632993;0,399993002221;-0,231242628533;0,000000015650;-0,000000009390;0,000001124403;0,000000233918;0,397989079584;-0,253285777544;0,000000005478;-0,000000003130;0,000000839573;0,000000147843;0,399993002221;-0,237254396445;0,000000005478;-0,000000003912;0,000000013253;0,000000008558;-0,539846714680;-0,211203402160;0,000000001565;-0,000000001565;0,000000042988;0,000000014818;0,391977311672;-0,399572130068;0,000000002348;-0,000000002348;0,000002151043;0,000000401373;0,399993002221;-0,249277932269;0,000000010955;-0,000000010955;0,000001254298;0,000000285563;0,397989079584;-0,261301468093;0,000000007825;-0,000000005478;0,000004894488;0,000000834878;0,399993002221;-0,199179866336;0,000000022692;-0,000000015650;0,000006822568;0,000001294988;0,399993002221;-0,189160253150;0,000000030518;-0,000000022693;0,000003611188;0,000000634558;0,399993002221;-0,217215170072;0,000000016433;-0,000000013302;0,000003044658;0,000000565698;0,399993002221;-0,183148485238;0,000000014085;-0,000000010955;0,000004404643;0,000000874003;0,399993002221;-0,221223015347;0,000000019563;-0,000000012520;0,000004013393;0,000000875568;0,399993002221;-0,207195556885;0,000000015650;-0,000000012520;0,000003226198;0,000000503098;0,399993002221;-0,205191634248;0,000000014867;-0,000000012520;0,000004681648;0,000000751933;0,399993002221;-0,213207324797;0,000000021128;-0,000000016433;0,000005119848;0,000000960078;0,399993002221;-0,221223015347;0,000000023475;-0,000000017997;0,000000014818;0,000000008558;-0,455681963912;0,247694881785;0,000000001565;-0,000000001565
11h18m29s,97m;0,000000024208;0,000000011688;0,293785102443;-0,541850637317;0,000000002348;-0,000000001565;0,000000013253;0,000000008558;-0,561889863690;-0,531831024130;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,311820406179;-0,599964393799;0,000000001565;-0,000000001565;0,000003506333;0,000000637688;0,399993002221;-0,235250473808;0,000000014867;-0,000000009390;0,000001121273;0,000000233918;0,399993002221;-0,279336771829;0,000000005478;-0,000000003912;0,000000833313;0,000000149408;0,399993002221;-0,271321081279;0,000000007042;-0,000000003912;0,000000014818;0,000000008558;0,289777257169;-0,531831024130;0,000000001565;-0,000000001565;0,000000041423;0,000000013253;0,383961621122;-0,339454450948;0,000000002348;-0,000000003130;0,000002152608;0,000000399808;0,399993002221;-0,237254396445;0,000000010955;-0,000000009390;0,000001252733;0,000000285563;0,399993002221;-0,237254396445;0,000000007043;-0,000000005478;0,000004888228;0,000000836443;0,399993002221;-0,199179866336;0,000000023475;-0,000000015650;0,000006810048;0,000001293423;0,399993002221;-0,191164175787;0,000000029735;-0,000000025040;0,000003608058;0,000000636123;0,399993002221;-0,207195556885;0,000000016432;-0,000000013303;0,000003035268;0,000000564133;0,399993002221;-0,175132794688;0,000000015650;-0,000000011738;0,000004388993;0,000000869308;0,399993002221;-0,227234783258;0,000000017998;-0,000000014085;0,000003999308;0,000000875568;0,399993002221;-0,203187711611;0,000000016433;-0,000000013302;0,000003223068;0,000000504663;0,399993002221;-0,209199479523;0,000000014867;-0,000000011738;0,000004680083;0,000000751933;0,399993002221;-0,223226937984;0,000000023475;-0,000000015650;0,000005104198;0,000000960078;0,399993002221;-0,217215170072;0,000000020345;-0,000000017998;0,000000016383;0,000000008558;0,267734108158;-0,551870250503;0,000000002348;-0,000000001565
11h18m37s,18m;0,000000025773;0,000000011688;0,311820406179;-0,215211247435;0,000000002348;-0,000000002347;0,000000014818;0,000000008558;0,235671345961;-0,589944780612;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,259718417609;-0,573913399514;0,000000001565;-0,000000001565;0,000003500073;0,000000637688;0,399993002221;-0,231242628533;0,000000014867;-0,000000008608;0,000001125968;0,000000235483;0,399993002221;-0,261301468093;0,000000005478;-0,000000003913;0,000000833313;0,000000149408;0,397989079584;-0,243266164357;0,000000005478;-0,000000003130;0,000000014818;0,000000008558;-0,435642737539;-0,591948703250;0,000000001565;-0,000000001565;0,000000042988;0,000000014818;0,399993002221;-0,331438760399;0,000000002348;-0,000000002347;0,000002141653;0,000000401373;0,399993002221;-0,235250473808;0,000000010173;-0,000000008607;0,000001249603;0,000000287128;0,399993002221;-0,247274009632;0,000000008607;-0,000000004695;0,000004869448;0,000000834878;0,399993002221;-0,193168098424;0,000000021128;-0,000000015650;0,000006786573;0,000001293423;0,399993002221;-0,187156330512;0,000000034430;-0,000000024257;0,000003600233;0,000000634558;0,399993002221;-0,211203402160;0,000000017997;-0,000000013302;0,000003029008;0,000000565698;0,399993002221;-0,179140639963;0,000000013303;-0,000000011738;0,000004385863;0,000000870873;0,399993002221;-0,217215170072;0,000000017215;-0,000000012520;0,000003999308;0,000000881828;0,399993002221;-0,197175943699;0,000000016433;-0,000000013302;0,000003208983;0,000000517183;0,399993002221;-0,211203402160;0,000000017215;-0,000000012520;0,000004670693;0,000000755063;0,399993002221;-0,217215170072;0,000000021910;-0,000000016432;0,000005105763;0,000000956948;0,399993002221;-0,219219092709;0,000000021128;-0,000000019562;0,000000016383;0,000000008558;0,243687036510;-0,477725112923;0,000000001565;-0,000000001565
11h18m44s,29m;0,000000024208;0,000000011688;0,273745876070;-0,563893786327;0,000000002347;-0,000000001565;0,000000014818;0,000000008558;-0,109003347657;-0,545858482592;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,381957698485;-0,541850637317;0,000000001565;-0,000000001565;0,000003498508;0,000000639253;0,399993002221;-0,221223015347;0,000000014867;-0,000000009390;0,000001124403;0,000000237048;0,399993002221;-0,275328926554;0,000000004695;-0,000000003912;0,000000839573;0,000000150973;0,399993002221;-0,249277932269;0,000000005478;-0,000000003913;0,000000014818;0,000000008558;0,327851787278;-0,487744726109;0,000000001565;-0,000000001565;0,000000041423;0,000000011688;0,385965543760;-0,098983734470;0,000000002348;-0,000000002347;0,000002147913;0,000000404503;0,399993002221;-0,245270086994;0,000000010955;-0,000000009390;0,000001251168;0,000000288693;0,399993002221;-0,229238705896;0,000000007825;-0,000000004695;0,000004875708;0,000000838008;0,399993002221;-0,197175943699;0,000000021128;-0,000000016433;0,000006791268;0,000001296553;0,399993002221;-0,183148485238;0,000000030518;-0,000000026605;0,000003597103;0,000000636123;0,399993002221;-0,203187711611;0,000000015650;-0,000000013302;0,000003030573;0,000000567263;0,399993002221;-0,177136717326;0,000000013303;-0,000000011738;0,000004387428;0,000000870873;0,399993002221;-0,213207324797;0,000000021128;-0,000000014085;0,000003999308;0,000000881828;0,399993002221;-0,201183788973;0,000000017997;-0,000000012520;0,000003208983;0,000000517183;0,399993002221;-0,197175943699;0,000000014867;-0,000000010955;0,000004661303;0,000000753498;0,399993002221;-0,211203402160;0,000000022692;-0,000000019562;0,000005099503;0,000000960078;0,399993002221;-0,217215170072;0,000000021910;-0,000000021128;0,000000016383;0,000000010123;-0,453678041275;-0,595956548524;0,000000001565;-0,000000001565
