Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE


2025-04-04_19h42m55s,20m
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,49993858631900023300;0,00000114206929464319;0,00000042751323941428;0,00000005929520238208;0,00000001056182112538;0,00000000967025337012;0,00000104003083091331;0,00000044459527373398;0,00000064998747987427;0,00000000913269991852;0,00000047579571324316;0,00000071205570018778;0,00000001082959860546;0,00000023411136143231;0,00000124490916338103;0,00000022761073128299;0,00000159595645146073;0,00000178705023259552;0,00000214974609072409;0,00000133888157171052;0,00000068069594826400
-0,49793466368168559600;0,00000114095926513608;0,00000042578800511828;0,00000005903480700900;0,00000001071001564274;0,00000000990174340445;0,00000103561990792929;0,00000044201564098362;0,00000064787137228521;0,00000000923521594954;0,00000047317225140312;0,00000071007946100740;0,00000001082998318686;0,00000023304041191240;0,00000123894438480402;0,00000022654956972324;0,00000158746070257755;0,00000177986903643021;0,00000214025947105558;0,00000133085597652577;0,00000067772222528277
-0,49593074104437096000;0,00000113982061314678;0,00000042408538202772;0,00000005877519580567;0,00000001084809614788;0,00000001011965155785;0,00000103117078494429;0,00000043945406960416;0,00000064572833237821;0,00000000933385823523;0,00000047053092981111;0,00000070807098959641;0,00000001083286661096;0,00000023196691728049;0,00000123296743074269;0,00000022548755811525;0,00000157896988710635;0,00000177258340446845;0,00000213072175394616;0,00000132284263839019;0,00000067473274120314
-0,49392681840705632300;0,00000113865333867532;0,00000042240537014261;0,00000005851636877209;0,00000001097606264079;0,00000001032397783033;0,00000102668346195831;0,00000043691055959559;0,00000064355836015327;0,00000000942862677559;0,00000046787174846713;0,00000070603028595482;0,00000001083824887778;0,00000023089087753657;0,00000122697830119702;0,00000022442469645900;0,00000157048400504713;0,00000176519333671025;0,00000212113293939585;0,00000131484155730379;0,00000067172749602509
-0,49192289576974174100;0,00000113745744172168;0,00000042074796946295;0,00000005825832590825;0,00000001109391512148;0,00000001051472222188;0,00000102215793897136;0,00000043438511095793;0,00000064136145561040;0,00000000951952157063;0,00000046519470737119;0,00000070395735008262;0,00000001084612998730;0,00000022981229268064;0,00000122097699616702;0,00000022336098475450;0,00000156200305639988;0,00000175769883315560;0,00000211149302740465;0,00000130685273326657;0,00000066870648974864
-0,48991897313242710500;0,00000113623292228587;0,00000041911317998874;0,00000005800106721416;0,00000001120165358994;0,00000001069188473250;0,00000101759421598343;0,00000043187772369116;0,00000063913761874959;0,00000000960654262034;0,00000046249980652328;0,00000070185218197980;0,00000001085650993954;0,00000022873116271270;0,00000121496351565269;0,00000022229642300174;0,00000155352704116461;0,00000175009989380450;0,00000210180201797254;0,00000129887616627852;0,00000066566972237378
-0,48791505049511246800;0,00000113497978036789;0,00000041750100171997;0,00000005774459268983;0,00000001129927804619;0,00000001085546536219;0,00000101299229299452;0,00000042938839779528;0,00000063688684957085;0,00000000968968992472;0,00000045978704592341;0,00000069971478164638;0,00000001086938873449;0,00000022764748763275;0,00000120893785965404;0,00000022123101120074;0,00000154505595934131;0,00000174239651865696;0,00000209205991109954;0,00000129091185633966;0,00000066261719390051
-0,48591112785779783100;0,00000113369801596773;0,00000041591143465665;0,00000005748890233524;0,00000001138678849020;0,00000001100546411095;0,00000100835217000463;0,00000042691713327031;0,00000063460914807417;0,00000000976896348378;0,00000045705642557157;0,00000069754514908235;0,00000001088476637215;0,00000022656126744079;0,00000120290002817105;0,00000022016474935148;0,00000153658981092999;0,00000173458870771297;0,00000208226670678565;0,00000128295980344996;0,00000065954890432883
-0,48390720522048319400;0,00000113238762908540;0,00000041434447879878;0,00000005723399615040;0,00000001146418492200;0,00000001114188097879;0,00000100367384701377;0,00000042446393011623;0,00000063230451425955;0,00000000984436329751;0,00000045430794546776;0,00000069534328428771;0,00000001090264285252;0,00000022547250213683;0,00000119685002120373;0,00000021909763745397;0,00000152812859593065;0,00000172667646097253;0,00000207242240503086;0,00000127502000760945;0,00000065646485365875
-0,48190328258316855700;0,00000113104861972090;0,00000041280013414635;0,00000005697987413531;0,00000001153146734157;0,00000001126471596570;0,00000099895732402193;0,00000042202878833305;0,00000062997294812700;0,00000000991588936591;0,00000045154160561199;0,00000069310918726246;0,00000001092301817560;0,00000022438119172086;0,00000119078783875209;0,00000021802967550820;0,00000151967231434328;0,00000171865977843564;0,00000206252700583517;0,00000126709246881811;0,00000065336504189026
-0,47989935994585392000;0,00000112968098787423;0,00000041127840069937;0,00000005672653628997;0,00000001158863574892;0,00000001137396907168;0,00000099420260102911;0,00000041961170792077;0,00000062761444967651;0,00000000998354168898;0,00000044875740600425;0,00000069084285800661;0,00000001094589234139;0,00000022328733619287;0,00000118471348081612;0,00000021696086351418;0,00000151122096616789;0,00000171053866010231;0,00000205258050919858;0,00000125917718707595;0,00000065024946902336
-0,47789543730853928400;0,00000112828473354538;0,00000040977927845784;0,00000005647398261437;0,00000001163569014404;0,00000001146964029673;0,00000098940967803531;0,00000041721268887938;0,00000062522901890808;0,00000001004732026672;0,00000044595534664454;0,00000068854429652014;0,00000001097126534990;0,00000022219093555288;0,00000117862694739581;0,00000021589120147191;0,00000150277455140448;0,00000170231310597254;0,00000204258291512110;0,00000125127416238297;0,00000064711813505805
-0,47589151467122470200;0,00000112685985673436;0,00000040830276742175;0,00000005622221310853;0,00000001167263052694;0,00000001155172964085;0,00000098457855504054;0,00000041483173120890;0,00000062281665582172;0,00000001010722509914;0,00000044313542753287;0,00000068621350280306;0,00000001099913720111;0,00000022109198980088;0,00000117252823849118;0,00000021482068938139;0,00000149433307005305;0,00000169398311604631;0,00000203253422360273;0,00000124338339473916;0,00000064397103999433
