Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE


2025-04-04_17h45m29s,09m
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,49993858631900023300;0,00000325518194474112;0,00000203718920927237;0,00000035577225912868;0,00000083023576036379;0,00000000724642843348;0,00000192062932615593;0,00000001117632510547;0,00000129908241202272;0,00000368739532207735;0,00000075526374320590;0,00000001182348052121;0,00000128748952518182;0,00000041785088988507;0,00000052177399820999;0,00000117539307907079;0,00000001022673426915;0,00000054851675904985;0,00000024084273147414;0,00000220913841094888;0,00000143419613250346
-0,49793466368168559600;0,00000323826553794476;0,00000203186566289331;0,00000035459826034266;0,00000082670086746356;0,00000000721758188685;0,00000191406741883857;0,00000001118946400305;0,00000129548514723455;0,00000367474752343183;0,00000075207780277213;0,00000001167054901702;0,00000128330096373341;0,00000041622374359307;0,00000051977340281489;0,00000117191954652966;0,00000001029276683301;0,00000054643005314262;0,00000023966732328835;0,00000220070958853084;0,00000143251861573849
-0,49593074104437096000;0,00000322139075509381;0,00000202651979555410;0,00000035340166204241;0,00000082316661171129;0,00000000719754347546;0,00000190752094141604;0,00000001120143595429;0,00000129191386288741;0,00000366206461638026;0,00000074888455823663;0,00000001152947416880;0,00000127906839398112;0,00000041459359500708;0,00000051776164268744;0,00000116839185580746;0,00000001035747897233;0,00000054432954102645;0,00000023850140401606;0,00000219226681135785;0,00000143072402987459
-0,49392681840705632300;0,00000320455759618826;0,00000202115160725472;0,00000035218246422793;0,00000081963299310697;0,00000000718631319934;0,00000190098989388836;0,00000001121224095917;0,00000128836855898128;0,00000364934660092266;0,00000074568400959939;0,00000001140025597656;0,00000127479181592494;0,00000041296044412711;0,00000051573871782763;0,00000116481000690418;0,00000001042087068712;0,00000054221522270135;0,00000023734497365728;0,00000218381007942990;0,00000142881237491175
-0,49192289576974174100;0,00000318776606122812;0,00000201576109799518;0,00000035094066689924;0,00000081610001165062;0,00000000718389105846;0,00000189447427625551;0,00000001122187901772;0,00000128484923551619;0,00000363659347705900;0,00000074247615686043;0,00000001128289444028;0,00000127047122956488;0,00000041132429095316;0,00000051370462823547;0,00000116117399981982;0,00000001048294197738;0,00000054008709816731;0,00000023619803221199;0,00000217533939274699;0,00000142678365084999
-0,48991897313242710500;0,00000317101615021337;0,00000201034826777548;0,00000034967627005632;0,00000081256766734222;0,00000000719027705285;0,00000188797408851750;0,00000001123035012991;0,00000128135589249211;0,00000362380524478931;0,00000073926100001974;0,00000001117738955998;0,00000126610663490094;0,00000040968513548523;0,00000051165937391096;0,00000115748383455439;0,00000001054369284310;0,00000053794516742433;0,00000023506057968021;0,00000216685475130914;0,00000142463785768930
-0,48791505049511246800;0,00000315430786314404;0,00000200491311659562;0,00000034838927369918;0,00000080903596018179;0,00000000720547118248;0,00000188148933067433;0,00000001123765429576;0,00000127788852990906;0,00000361098190411357;0,00000073603853907731;0,00000001108374133566;0,00000126169803193311;0,00000040804297772331;0,00000050960295485409;0,00000115373951110788;0,00000001060312328429;0,00000053578943047242;0,00000023393261606193;0,00000215835615511633;0,00000142237499542968
-0,48591112785779783100;0,00000313764120002010;0,00000199945564445561;0,00000034707967782782;0,00000080550489016931;0,00000000722947344737;0,00000187502000272599;0,00000001124379151526;0,00000127444714776703;0,00000359812345503179;0,00000073280877403316;0,00000001100194976730;0,00000125724542066140;0,00000040639781766740;0,00000050753537106487;0,00000114994102948030;0,00000001066123330095;0,00000053361988731156;0,00000023281414135715;0,00000214984360416856;0,00000141999506407113
-0,48390720522048319400;0,00000312101616084157;0,00000199397585135543;0,00000034574748244223;0,00000080197445730479;0,00000000726228384751;0,00000186856610467249;0,00000001124876178842;0,00000127103174606603;0,00000358522989754396;0,00000072957170488727;0,00000001093201485492;0,00000125274880108580;0,00000040474965531751;0,00000050545662254329;0,00000114608838967164;0,00000001071802289307;0,00000053143653794177;0,00000023170515556587;0,00000214131709846584;0,00000141749806361365
-0,48190328258316855700;0,00000310443274560844;0,00000198847373729509;0,00000034439268754243;0,00000079844466158823;0,00000000730390238291;0,00000186212763651383;0,00000001125256511523;0,00000126764232480605;0,00000357230123165009;0,00000072632733163965;0,00000001087393659852;0,00000124820817320632;0,00000040309849067364;0,00000050336670928935;0,00000114218159168190;0,00000001077349206065;0,00000052923938236304;0,00000023060565868810;0,00000213277663800817;0,00000141488399405724
