Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE


2025-04-04_10h38m41s,19m
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,49993858631900023300;0,00000195463998454469;0,00000163937714686351;0,00000024563542791539;0,00000072565791771070;0,00000000854161869739;0,00000154185118100286;0,00000001146642464982;0,00000107264508622994;0,00000300132800607052;0,00000059356148323243;0,00000001227792370518;0,00000101906499993549;0,00000034105036723880;0,00000046070476657501;0,00000091049928832821;0,00000001211105289046;0,00000047724352453383;0,00000019711634541344;0,00000175631402882198;0,00000114191336515923
-0,49793466368168559600;0,00000194485987031539;0,00000163653238473864;0,00000024476060836961;0,00000072249206240208;0,00000000882618742102;0,00000153708102402314;0,00000001154920124548;0,00000106918004306844;0,00000299410342813206;0,00000059049523186909;0,00000001215895669040;0,00000101521997696620;0,00000033981843025165;0,00000045839336143248;0,00000090737430431413;0,00000001220501392097;0,00000047524578042244;0,00000019633822887583;0,00000174969730408700;0,00000113829864506764
-0,49593074104437096000;0,00000193514156021071;0,00000163372179555982;0,00000024387758903137;0,00000071930466701892;0,00000000909713030670;0,00000153226639791320;0,00000001162802842710;0,00000106570568545678;0,00000298691340999812;0,00000058743456670363;0,00000001204899235372;0,00000101136591564242;0,00000033858410790057;0,00000045609152773657;0,00000090422722275553;0,00000001229199094167;0,00000047324361277442;0,00000019555397028888;0,00000174307414016656;0,00000113464188322387
-0,49392681840705632300;0,00000192548505423067;0,00000163094537932706;0,00000024298636990067;0,00000071609573156121;0,00000000935444735445;0,00000152740730267305;0,00000001170290619467;0,00000106222201339494;0,00000297975795166870;0,00000058437948773604;0,00000001194803069514;0,00000100750281596417;0,00000033734740018556;0,00000045379926548726;0,00000090105804365239;0,00000001237198395258;0,00000047123702158976;0,00000019476356965258;0,00000173644453706067;0,00000113094307962791
-0,49192289576974174100;0,00000191589035237526;0,00000162820313604034;0,00000024208695097750;0,00000071286525602894;0,00000000959813856426;0,00000152250373830269;0,00000001177383454819;0,00000105872902688294;0,00000297263705314381;0,00000058132999496632;0,00000001185607171465;0,00000100363067793143;0,00000033610830710663;0,00000045151657468456;0,00000089786676700474;0,00000001244499295369;0,00000046922600686846;0,00000019396702696693;0,00000172980849476933;0,00000112720223427977
-0,48991897313242710500;0,00000190635745464447;0,00000162549506569969;0,00000024117933226186;0,00000070961324042213;0,00000000982820393613;0,00000151755570480211;0,00000001184081348766;0,00000105522672592077;0,00000296555071442345;0,00000057828608839448;0,00000001177311541226;0,00000099974950154421;0,00000033486682866376;0,00000044924345532847;0,00000089465339281255;0,00000001251101794500;0,00000046721056861052;0,00000019316434223193;0,00000172316601329253;0,00000112341934717944
-0,48791505049511246800;0,00000189688636103832;0,00000162282116830509;0,00000024026351375376;0,00000070633968474077;0,00000001004464347006;0,00000151256320217132;0,00000001190384301308;0,00000105171511050844;0,00000295849893550761;0,00000057524776802052;0,00000001169916178797;0,00000099585928680251;0,00000033362296485697;0,00000044697990741898;0,00000089141792107584;0,00000001257005892651;0,00000046519070681595;0,00000019235551544759;0,00000171651709263029;0,00000111959441832692
-0,48591112785779783100;0,00000188747707155680;0,00000162018144385654;0,00000023933949545320;0,00000070304458898486;0,00000001024745716605;0,00000150752623041032;0,00000001196292312446;0,00000104819418064594;0,00000295148171639629;0,00000057221503384442;0,00000001163421084177;0,00000099196003370633;0,00000033237671568624;0,00000044472593095610;0,00000088816035179460;0,00000001262211589822;0,00000046316642148475;0,00000019154054661389;0,00000170986173278259;0,00000111572744772222
-0,48390720522048319400;0,00000187812958619991;0,00000161757589235404;0,00000023840727736017;0,00000069972795315440;0,00000001043664502411;0,00000150244478951910;0,00000001201805382179;0,00000104466393633327;0,00000294449905708950;0,00000056918788586620;0,00000001157826257367;0,00000098805174225566;0,00000033112808115159;0,00000044248152593983;0,00000088488068496884;0,00000001266718886013;0,00000046113771261690;0,00000019071943573085;0,00000170319993374944;0,00000111181843536533
-0,48190328258316855700;0,00000186884390496765;0,00000161500451379760;0,00000023746685947467;0,00000069638977724939;0,00000001061220704423;0,00000149731887949767;0,00000001206923510507;0,00000104112437757044;0,00000293755095758724;0,00000056616632408586;0,00000001153131698366;0,00000098413441245051;0,00000032987706125301;0,00000044024669237017;0,00000088157892059855;0,00000001270527781224;0,00000045910458021242;0,00000018989218279847;0,00000169653169553083;0,00000110786738125626
