Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-04-03_14h17m10s,89m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
14h17m16s,66m;0,000000636460;0,000000524696;0,498014887064;-0,375695382805;0,000000000545;-0,000000000438;0,000001828566;0,000000304142;0,500018809701;-0,337620852697;0,000000005063;-0,000000002900;0,000000023091;0,000000011893;0,477975660691;-0,431805216650;0,000000000139;-0,000000000199;0,000000013822;0,000000011071;0,467956047504;0,500018809701;0,000000000103;-0,000000000416;0,000000013394;0,000000010894;-0,499938586319;0,500018809701;0,000000000035;-0,000000000287;0,000003477709;0,000000446690;0,500018809701;-0,329605162147;0,000000009952;-0,000000006533;0,000000352721;0,000000317471;0,500018809701;-0,169291351162;0,000000000306;-0,000000000260;0,000000621278;0,000000561849;0,500018809701;-0,107169749405;0,000000000903;-0,000000000482;0,000000012897;0,000000011607;0,423869749483;0,271571629047;0,000000000133;-0,000000000068;0,000000417778;0,000000386043;0,500018809701;-0,069095219296;0,000000000269;-0,000000000657;0,000001721126;0,000000371465;0,500018809701;-0,399742454453;0,000000003912;-0,000000003493;0,000000016862;0,000000011266;0,435893285307;-0,469879746759;0,000000000062;-0,000000000222;0,000000180090;0,000000163511;-0,499938586319;0,217465717840;0,000000000161;-0,000000000491;0,000003583169;0,000000582096;0,500018809701;-0,317581626323;0,000000010364;-0,000000006671;0,000000660325;0,000000132950;0,500018809701;-0,317581626323;0,000000002200;-0,000000001319;0,000005102840;0,000000700805;0,500018809701;-0,313573781049;0,000000014899;-0,000000010262;0,000006514933;0,000000839785;0,500018809701;-0,329605162147;0,000000018787;-0,000000011679;0,000006754164;0,000001131801;0,500018809701;-0,345636543246;0,000000019368;-0,000000010097;0,000004891402;0,000000627780;0,500018809701;-0,341628697971;0,000000012790;-0,000000009425;0,000001788175;0,000000237161;0,500018809701;-0,303554167862;0,000000006075;-0,000000003589
14h17m23s,91m;0,000000646288;0,000000496871;0,500018809701;-0,353652233795;0,000000000696;-0,000000000465;0,000001869379;0,000000310989;0,500018809701;-0,327601239510;0,000000005068;-0,000000002258;0,000000022398;0,000000011216;0,500018809701;-0,483907205220;0,000000000262;-0,000000000109;0,000000012884;0,000000011393;-0,327601239510;-0,477895437309;0,000000000076;-0,000000000134;0,000000013751;0,000000011244;-0,499938586319;-0,465871901485;0,000000000050;-0,000000000334;0,000003556392;0,000000434997;0,500018809701;-0,333613007422;0,000000010050;-0,000000006552;0,000000396900;0,000000352188;0,500018809701;-0,209369803908;0,000000000430;-0,000000000365;0,000000638273;0,000000571388;0,500018809701;-0,097150136219;0,000000001021;-0,000000000719;0,000000012940;0,000000011637;0,483987428602;-0,429801294013;0,000000000110;-0,000000000065;0,000000456871;0,000000417363;0,500018809701;-0,121197207867;0,000000000750;-0,000000000247;0,000001817505;0,000000369730;0,500018809701;-0,383711073355;0,000000004270;-0,000000002838;0,000000017405;0,000000010860;0,500018809701;-0,499938586319;0,000000000200;-0,000000000027;0,000000201749;0,000000176179;-0,499938586319;-0,081118755120;0,000000000279;-0,000000000757;0,000003679418;0,000000578210;0,500018809701;-0,323593394235;0,000000010522;-0,000000006783;0,000000673969;0,000000131074;0,500018809701;-0,307562013137;0,000000002235;-0,000000001347;0,000005170897;0,000000696138;0,500018809701;-0,321589471598;0,000000014808;-0,000000010004;0,000006604424;0,000000848711;0,500018809701;-0,335616930059;0,000000018516;-0,000000011267;0,000006851440;0,000001146841;0,500018809701;-0,353652233795;0,000000019560;-0,000000009941;0,000004940939;0,000000625135;0,500018809701;-0,351648311158;0,000000012632;-0,000000009982;0,000001805471;0,000000236052;0,500018809701;-0,317581626323;0,000000004910;-0,000000003546
14h17m31s,21m;0,000000648902;0,000000488621;0,469959970141;-0,355656156432;0,000000000848;-0,000000001020;0,000001879891;0,000000310920;0,500018809701;-0,329605162147;0,000000005121;-0,000000002518;0,000000021075;0,000000011329;0,473967815416;-0,465871901485;0,000000000099;-0,000000000267;0,000000013195;0,000000011805;0,467956047504;-0,459860133573;0,000000000058;-0,000000000216;0,000000013459;0,000000010997;-0,499938586319;0,500018809701;0,000000000070;-0,000000000345;0,000003584218;0,000000436979;0,500018809701;-0,335616930059;0,000000010023;-0,000000006518;0,000000416109;0,000000367716;0,500018809701;-0,129212898416;0,000000000518;-0,000000000381;0,000000662468;0,000000588788;0,500018809701;-0,231412952919;0,000000000895;-0,000000000529;0,000000013738;0,000000010315;0,500018809701;-0,499938586319;0,000000000333;-0,000000000056;0,000000486161;0,000000440171;0,500018809701;-0,037032457099;0,000000001007;-0,000000000353;0,000001842463;0,000000374337;0,500018809701;-0,375695382805;0,000000004438;-0,000000002947;0,000000017833;0,000000011043;0,500018809701;-0,427797371376;0,000000000101;-0,000000000067;0,000000224692;0,000000200736;-0,493926818407;-0,027012843913;0,000000000167;-0,000000000252;0,000003744405;0,000000581086;0,500018809701;-0,323593394235;0,000000010505;-0,000000006777;0,000000678122;0,000000128457;0,500018809701;-0,233416875556;0,000000002249;-0,000000001216;0,000005202204;0,000000702529;0,500018809701;-0,323593394235;0,000000014706;-0,000000010179;0,000006637304;0,000000850473;0,500018809701;-0,335616930059;0,000000018252;-0,000000011539;0,000006897435;0,000001163344;0,500018809701;-0,357660079070;0,000000019470;-0,000000009890;0,000004965191;0,000000622357;0,500018809701;-0,349644388520;0,000000012713;-0,000000010164;0,000001797522;0,000000234597;0,500018809701;-0,345636543246;0,000000004835;-0,000000004718
14h17m38s,44m;0,000000661899;0,000000480098;0,500018809701;-0,369683614894;0,000000000832;-0,000000001483;0,000001896528;0,000000313006;0,500018809701;-0,331609084785;0,000000005159;-0,000000002223;0,000000021696;0,000000011405;0,500018809701;-0,499938586319;0,000000000260;-0,000000000018;0,000000013002;0,000000011474;0,423869749483;-0,473887592034;0,000000000060;-0,000000000142;0,000000013358;0,000000011285;-0,499938586319;0,500018809701;0,000000000038;-0,000000000256;0,000003607464;0,000000439324;0,500018809701;-0,335616930059;0,000000010093;-0,000000006687;0,000000427607;0,000000376113;0,481983505965;-0,175303119074;0,000000000429;-0,000000000468;0,000000667814;0,000000595759;0,500018809701;-0,221393339732;0,000000000801;-0,000000000777;0,000000013519;0,000000011475;0,500018809701;-0,499938586319;0,000000000182;-0,000000000027;0,000000500600;0,000000455016;0,500018809701;-0,147248202152;0,000000000591;-0,000000000421;0,000001846448;0,000000375867;0,500018809701;-0,371687537531;0,000000004554;-0,000000002960;0,000000016534;0,000000010689;0,500018809701;-0,499938586319;0,000000000101;-0,000000000024;0,000000223812;0,000000198227;-0,499938586319;-0,029016766550;0,000000000142;-0,000000000264;0,000003774365;0,000000584569;0,500018809701;-0,325597316873;0,000000010318;-0,000000006472;0,000000679829;0,000000127182;0,500018809701;-0,233416875556;0,000000002239;-0,000000001267;0,000005225026;0,000000710134;0,500018809701;-0,325597316873;0,000000014705;-0,000000010198;0,000006680475;0,000000859772;0,500018809701;-0,337620852697;0,000000017975;-0,000000011426;0,000006935007;0,000001169952;0,500018809701;-0,361667924344;0,000000019232;-0,000000010264;0,000004981469;0,000000624825;0,500018809701;-0,355656156432;0,000000012748;-0,000000009701;0,000001828378;0,000000233587;0,500018809701;-0,331609084785;0,000000004912;-0,000000003846
14h17m45s,60m;0,000000667508;0,000000481737;0,500018809701;-0,335616930059;0,000000001289;-0,000000000505;0,000001893763;0,000000313275;0,500018809701;-0,331609084785;0,000000005211;-0,000000002092;0,000000021493;0,000000010950;0,500018809701;-0,499938586319;0,000000000252;-0,000000000031;0,000000012987;0,000000011265;-0,499938586319;-0,465871901485;0,000000000043;-0,000000000237;0,000000012794;0,000000011566;-0,025008921275;-0,471883669397;0,000000000061;-0,000000000169;0,000003631001;0,000000443185;0,500018809701;-0,335616930059;0,000000010045;-0,000000006568;0,000000436589;0,000000384721;0,500018809701;-0,169291351162;0,000000000321;-0,000000000552;0,000000691307;0,000000614656;0,500018809701;-0,125205053141;0,000000000570;-0,000000000907;0,000000013026;0,000000011653;-0,471883669397;-0,419781680826;0,000000000176;-0,000000000064;0,000000516440;0,000000464335;0,500018809701;-0,115185439955;0,000000000488;-0,000000000321;0,000001857540;0,000000381366;0,500018809701;-0,363671846982;0,000000004539;-0,000000003227;0,000000017272;0,000000011386;0,500018809701;-0,499938586319;0,000000000208;-0,000000000014;0,000000228164;0,000000200797;-0,499938586319;0,023085222020;0,000000000171;-0,000000000672;0,000003785939;0,000000582038;0,500018809701;-0,325597316873;0,000000010531;-0,000000006390;0,000000682483;0,000000126632;0,500018809701;-0,223397262370;0,000000002202;-0,000000001165;0,000005226343;0,000000704714;0,500018809701;-0,325597316873;0,000000014560;-0,000000009969;0,000006679100;0,000000856273;0,500018809701;-0,337620852697;0,000000017983;-0,000000010979;0,000006951198;0,000001155091;0,500018809701;-0,357660079070;0,000000019231;-0,000000009954;0,000004994096;0,000000625074;0,500018809701;-0,355656156432;0,000000012820;-0,000000009832;0,000001812000;0,000000230414;0,500018809701;-0,335616930059;0,000000004818;-0,000000004180
14h17m52s,78m;0,000000618171;0,000000453154;0,492003119152;-0,327601239510;0,000000000702;-0,000000000699;0,000001898483;0,000000309787;0,500018809701;-0,327601239510;0,000000005243;-0,000000002147;0,000000021442;0,000000011385;0,500018809701;-0,421785603464;0,000000000259;-0,000000000086;0,000000013053;0,000000010860;0,129293121798;-0,499938586319;0,000000000192;-0,000000000021;0,000000012988;0,000000011560;0,500018809701;-0,499938586319;0,000000000205;-0,000000000052;0,000003633144;0,000000443269;0,500018809701;-0,333613007422;0,000000010125;-0,000000006537;0,000000446288;0,000000393332;0,500018809701;-0,167287428525;0,000000000267;-0,000000000731;0,000000697994;0,000000619485;0,500018809701;-0,087130523032;0,000000000656;-0,000000000717;0,000000012802;0,000000011270;-0,499938586319;0,500018809701;0,000000000035;-0,000000000176;0,000000525588;0,000000468564;0,500018809701;-0,085126600395;0,000000000351;-0,000000000439;0,000001861554;0,000000382354;0,500018809701;-0,359664001707;0,000000004545;-0,000000003553;0,000000016375;0,000000011103;0,489999196514;-0,323593394235;0,000000000100;-0,000000000053;0,000000234053;0,000000205156;-0,499938586319;-0,129212898416;0,000000000403;-0,000000000644;0,000003796947;0,000000580883;0,500018809701;-0,323593394235;0,000000010344;-0,000000006728;0,000000682118;0,000000126777;0,500018809701;-0,225401185007;0,000000002197;-0,000000001281;0,000005235333;0,000000705506;0,500018809701;-0,321589471598;0,000000014561;-0,000000009956;0,000006669530;0,000000850822;0,500018809701;-0,335616930059;0,000000018007;-0,000000010980;0,000006964341;0,000001154929;0,500018809701;-0,353652233795;0,000000019256;-0,000000009864;0,000004983918;0,000000623784;0,500018809701;-0,351648311158;0,000000012862;-0,000000009526;0,000001811772;0,000000228063;0,500018809701;-0,331609084785;0,000000004965;-0,000000004008
14h17m59s,98m;0,000000655595;0,000000466803;0,500018809701;-0,325597316873;0,000000001418;-0,000000000386;0,000001894915;0,000000308511;0,500018809701;-0,327601239510;0,000000004940;-0,000000002192;0,000000021065;0,000000010544;0,500018809701;-0,499938586319;0,000000000259;-0,000000000016;0,000000013169;0,000000010300;0,421865826846;-0,499938586319;0,000000000191;-0,000000000065;0,000000012779;0,000000010803;0,425873672120;-0,499938586319;0,000000000113;-0,000000000049;0,000003637397;0,000000443679;0,500018809701;-0,333613007422;0,000000010109;-0,000000006390;0,000000456916;0,000000395913;0,500018809701;-0,175303119074;0,000000000360;-0,000000000823;0,000000701264;0,000000620628;0,487995273877;-0,175303119074;0,000000000604;-0,000000000750;0,000000013328;0,000000010683;0,465952124867;0,500018809701;0,000000000059;-0,000000000354;0,000000533449;0,000000473586;0,500018809701;-0,123201130504;0,000000000401;-0,000000000710;0,000001861735;0,000000386755;0,500018809701;-0,353652233795;0,000000004689;-0,000000003702;0,000000016279;0,000000011608;0,467956047504;-0,457856210935;0,000000000078;-0,000000000264;0,000000231945;0,000000204248;-0,499938586319;-0,093142290944;0,000000000336;-0,000000000298;0,000003798409;0,000000577032;0,500018809701;-0,321589471598;0,000000010552;-0,000000006825;0,000000683175;0,000000125692;0,500018809701;-0,223397262370;0,000000002175;-0,000000001316;0,000005235185;0,000000699051;0,500018809701;-0,319585548961;0,000000014531;-0,000000009870;0,000006686327;0,000000844189;0,500018809701;-0,333613007422;0,000000017846;-0,000000011493;0,000006951943;0,000001148495;0,500018809701;-0,347640465883;0,000000019387;-0,000000009954;0,000004980838;0,000000620847;0,500018809701;-0,347640465883;0,000000012798;-0,000000009375;0,000001806764;0,000000227419;0,500018809701;-0,317581626323;0,000000005022;-0,000000004329
14h18m07s,08m;0,000000643046;0,000000466428;0,500018809701;-0,293534554676;0,000000000778;-0,000000000638;0,000001896288;0,000000309132;0,500018809701;-0,321589471598;0,000000004927;-0,000000002161;0,000000021294;0,000000011357;0,500018809701;-0,499938586319;0,000000000310;-0,000000000025;0,000000012778;0,000000011115;0,423869749483;-0,481903282583;0,000000000106;-0,000000000096;0,000000013224;0,000000011269;0,465952124867;0,500018809701;0,000000000057;-0,000000000278;0,000003638143;0,000000443155;0,500018809701;-0,329605162147;0,000000010145;-0,000000006357;0,000000465402;0,000000401813;0,500018809701;-0,127208975778;0,000000000399;-0,000000000515;0,000000718728;0,000000633008;0,485991351240;-0,085126600395;0,000000000873;-0,000000002416;0,000000012895;0,000000011080;0,500018809701;-0,499938586319;0,000000000256;-0,000000000056;0,000000545376;0,000000477078;0,500018809701;-0,083122677758;0,000000000971;-0,000000000484;0,000001868497;0,000000387998;0,500018809701;-0,349644388520;0,000000004632;-0,000000003558;0,000000016211;0,000000010978;0,500018809701;-0,375695382805;0,000000000064;-0,000000000100;0,000000239598;0,000000207641;0,475971738053;-0,033024611825;0,000000000316;-0,000000000473;0,000003786371;0,000000583134;0,500018809701;-0,317581626323;0,000000010586;-0,000000007040;0,000000678942;0,000000127477;0,500018809701;-0,201354113359;0,000000002168;-0,000000001483;0,000005224918;0,000000698872;0,500018809701;-0,313573781049;0,000000014461;-0,000000009796;0,000006674146;0,000000849502;0,500018809701;-0,329605162147;0,000000017838;-0,000000011664;0,000006939173;0,000001138420;0,500018809701;-0,345636543246;0,000000019429;-0,000000009889;0,000004971835;0,000000619282;0,500018809701;-0,341628697971;0,000000012835;-0,000000009417;0,000001794236;0,000000231361;0,500018809701;-0,323593394235;0,000000005001;-0,000000003508
14h18m14s,26m;0,000000631102;0,000000454747;0,431885440032;-0,321589471598;0,000000000789;-0,000000000812;0,000001893245;0,000000309958;0,500018809701;-0,317581626323;0,000000005120;-0,000000002047;0,000000020319;0,000000010664;0,500018809701;-0,499938586319;0,000000000226;-0,000000000034;0,000000013500;0,000000010588;0,500018809701;-0,499938586319;0,000000000270;-0,000000000062;0,000000013139;0,000000010982;0,500018809701;-0,499938586319;0,000000000148;-0,000000000018;0,000003627783;0,000000445051;0,500018809701;-0,325597316873;0,000000010112;-0,000000006628;0,000000460598;0,000000396067;0,500018809701;-0,161275660613;0,000000000709;-0,000000000504;0,000000732162;0,000000625534;0,500018809701;-0,117189362592;0,000000000766;-0,000000000797;0,000000012717;0,000000011017;0,127289199160;-0,499938586319;0,000000000132;-0,000000000044;0,000000541381;0,000000478264;0,500018809701;-0,069095219296;0,000000000431;-0,000000000809;0,000001864549;0,000000386968;0,500018809701;-0,337620852697;0,000000004804;-0,000000003866;0,000000016370;0,000000010208;0,500018809701;-0,499938586319;0,000000000225;-0,000000000034;0,000000659413;0,000000105972;0,500018809701;-0,273495328302;0,000000002035;-0,000000001629;0,000003762502;0,000000585259;0,500018809701;-0,309565935774;0,000000010443;-0,000000006519;0,000000672405;0,000000124049;0,500018809701;-0,195342345447;0,000000002163;-0,000000001361;0,000005183232;0,000000709900;0,500018809701;-0,305558090499;0,000000014385;-0,000000009819;0,000006620278;0,000000867394;0,500018809701;-0,323593394235;0,000000017773;-0,000000011677;0,000006934503;0,000001145032;0,500018809701;-0,341628697971;0,000000019230;-0,000000010431;0,000004929038;0,000000624574;0,500018809701;-0,337620852697;0,000000012830;-0,000000009948;0,000001785937;0,000000230668;0,500018809701;-0,317581626323;0,000000004769;-0,000000003487
14h18m21s,36m;0,000000626871;0,000000452172;0,453928589043;-0,287522786764;0,000000000871;-0,000000000528;0,000001877422;0,000000308552;0,500018809701;-0,305558090499;0,000000005150;-0,000000002195;0,000000019517;0,000000011095;0,500018809701;-0,475891514671;0,000000000170;-0,000000000141;0,000000013160;0,000000011006;-0,499938586319;-0,467875824122;0,000000000063;-0,000000000321;0,000000012801;0,000000011271;-0,125205053141;0,500018809701;0,000000000051;-0,000000000204;0,000003610358;0,000000445058;0,500018809701;-0,321589471598;0,000000010081;-0,000000006495;0,000000461225;0,000000397118;0,500018809701;-0,217385494458;0,000000000333;-0,000000000580;0,000000750474;0,000000641849;0,500018809701;-0,173299196437;0,000000000729;-0,000000002046;0,000000013459;0,000000011066;0,500018809701;-0,499938586319;0,000000000215;-0,000000000050;0,000000546286;0,000000472979;0,500018809701;-0,165283505887;0,000000000926;-0,000000000557;0,000001872559;0,000000389874;0,500018809701;-0,331609084785;0,000000004713;-0,000000003877;0,000000015973;0,000000010879;0,500018809701;-0,375695382805;0,000000000213;-0,000000000045;0,000000701409;0,000000106778;0,500018809701;-0,265479637753;0,000000001901;-0,000000001566;0,000003753732;0,000000578597;0,500018809701;-0,301550245225;0,000000010389;-0,000000006835;0,000000668203;0,000000123543;0,500018809701;-0,193338422810;0,000000002114;-0,000000001263;0,000005174031;0,000000705925;0,500018809701;-0,303554167862;0,000000014291;-0,000000009803;0,000006599762;0,000000856898;0,500018809701;-0,319585548961;0,000000017614;-0,000000011571;0,000006913526;0,000001141198;0,500018809701;-0,335616930059;0,000000019163;-0,000000010183;0,000004914214;0,000000622497;0,500018809701;-0,333613007422;0,000000012810;-0,000000009668;0,000001757837;0,000000224742;0,500018809701;-0,309565935774;0,000000004701;-0,000000003606
