Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-04-04_12h55m39s,90m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
12h55m45s,67m;0,000007645807;0,000001574681;0,500018809701;-0,369683614894;0,000000019517;-0,000000010614;0,000005215273;0,000001592644;0,500018809701;-0,377699305443;0,000000010609;-0,000000003660;0,000000747196;0,000000148723;0,500018809701;-0,221393339732;0,000000002243;-0,000000001061;0,000001718592;0,000000317491;0,500018809701;-0,215381571820;0,000000004705;-0,000000003872;0,000000017656;0,000000009975;0,463948202229;-0,485911127858;0,000000000108;-0,000000000103;0,000004073081;0,000000907856;0,500018809701;-0,193338422810;0,000000011115;-0,000000006836;0,000000012815;0,000000011285;0,453928589043;0,500018809701;0,000000000052;-0,000000000161;0,000002041777;0,000000450666;0,500018809701;-0,155263892701;0,000000006151;-0,000000005384;0,000008142211;0,000002704862;0,500018809701;-0,327601239510;0,000000016735;-0,000000009965;0,000001490333;0,000000234183;0,500018809701;-0,193338422810;0,000000004719;-0,000000003492;0,000000012998;0,000000011620;0,500018809701;-0,275499250940;0,000000000225;-0,000000000065;0,000002703734;0,000000536443;0,500018809701;-0,195342345447;0,000000008063;-0,000000004846;0,000000778009;0,000000156528;0,500018809701;-0,181314886986;0,000000002362;-0,000000001772;0,000001027767;0,000000192908;0,500018809701;-0,185322732261;0,000000002900;-0,000000002333;0,000002387738;0,000000433747;0,500018809701;-0,175303119074;0,000000007156;-0,000000004550;0,000000013514;0,000000011140;-0,499938586319;-0,371687537531;0,000000000052;-0,000000000299;0,000000913054;0,000000193576;0,500018809701;-0,163279583250;0,000000005188;-0,000000002389;0,000000451772;0,000000081978;0,500018809701;-0,171295273799;0,000000001392;-0,000000001152;0,000003957937;0,000000821165;0,500018809701;-0,167287428525;0,000000012545;-0,000000008415;0,000002641857;0,000000530567;0,500018809701;-0,167287428525;0,000000007518;-0,000000006103
12h55m52s,90m;0,000007082533;0,000001585859;0,500018809701;-0,231412952919;0,000000019528;-0,000000014477;0,000004875275;0,000001615440;0,500018809701;-0,287522786764;0,000000010624;-0,000000004678;0,000000703383;0,000000151593;0,500018809701;-0,157267815338;0,000000002441;-0,000000001428;0,000001612240;0,000000316720;0,500018809701;-0,163279583250;0,000000004780;-0,000000003913;0,000000017649;0,000000006735;0,471963892779;-0,499938586319;0,000000000372;-0,000000000193;0,000003930217;0,000000907697;0,500018809701;-0,151256047426;0,000000011124;-0,000000006897;0,000000013195;0,000000011360;0,500018809701;-0,499938586319;0,000000000231;-0,000000000042;0,000001975369;0,000000450226;0,500018809701;-0,123201130504;0,000000006102;-0,000000005262;0,000008016434;0,000002693510;0,500018809701;-0,297542399950;0,000000017022;-0,000000010948;0,000001444522;0,000000234386;0,500018809701;-0,165283505887;0,000000004777;-0,000000003460;0,000000012761;0,000000011438;-0,427797371376;-0,375695382805;0,000000000142;-0,000000000152;0,000002673771;0,000000539337;0,500018809701;-0,169291351162;0,000000008115;-0,000000004873;0,000000765815;0,000000158338;0,500018809701;-0,159271737976;0,000000002428;-0,000000001872;0,000001011645;0,000000194773;0,500018809701;-0,165283505887;0,000000002989;-0,000000002232;0,000002340798;0,000000435552;0,500018809701;-0,147248202152;0,000000007008;-0,000000004677;0,000000012645;0,000000011169;0,500018809701;-0,219389417095;0,000000000095;-0,000000000058;0,000000889695;0,000000202321;0,500018809701;-0,153259970064;0,000000003959;-0,000000002557;0,000000435895;0,000000081893;0,500018809701;-0,143240356877;0,000000001450;-0,000000001093;0,000003866488;0,000000822461;0,500018809701;-0,147248202152;0,000000012567;-0,000000008103;0,000002568909;0,000000534951;0,500018809701;-0,151256047426;0,000000007409;-0,000000006392
12h56m00s,11m;0,000006922036;0,000001585061;0,500018809701;-0,203358035996;0,000000019423;-0,000000016758;0,000004756321;0,000001621799;0,500018809701;-0,261471792479;0,000000010762;-0,000000005442;0,000000684342;0,000000149285;0,500018809701;-0,129212898416;0,000000002431;-0,000000001536;0,000001578080;0,000000316197;0,500018809701;-0,139232511602;0,000000004728;-0,000000003950;0,000000016747;0,000000007033;0,433889362670;-0,499938586319;0,000000000301;-0,000000000044;0,000003835961;0,000000907920;0,500018809701;-0,133220743690;0,000000011183;-0,000000006900;0,000000013375;0,000000011288;-0,499938586319;0,500018809701;0,000000000033;-0,000000000225;0,000001938890;0,000000453429;0,500018809701;-0,099154058856;0,000000005965;-0,000000005401;0,000007906383;0,000002682826;0,500018809701;-0,277503173577;0,000000017084;-0,000000012342;0,000001417743;0,000000235825;0,500018809701;-0,147248202152;0,000000004744;-0,000000003601;0,000000013048;0,000000011514;0,500018809701;-0,499938586319;0,000000000211;-0,000000000055;0,000002632427;0,000000540516;0,500018809701;-0,145244279514;0,000000008109;-0,000000004882;0,000000757499;0,000000156550;0,500018809701;-0,137228588965;0,000000002369;-0,000000001735;0,000000993227;0,000000193430;0,500018809701;-0,141236434240;0,000000002953;-0,000000002352;0,000002296196;0,000000437172;0,500018809701;-0,131216821053;0,000000006925;-0,000000004713;0,000000012962;0,000000010810;-0,463867978847;-0,499938586319;0,000000000274;-0,000000000042;0,000000860480;0,000000196274;0,500018809701;-0,127208975778;0,000000002837;-0,000000002839;0,000000423803;0,000000082906;0,500018809701;-0,129212898416;0,000000001463;-0,000000001171;0,000003786588;0,000000821987;0,500018809701;-0,127208975778;0,000000012546;-0,000000008371;0,000002509595;0,000000531133;0,500018809701;-0,129212898416;0,000000007430;-0,000000006428
12h56m07s,35m;0,000006809850;0,000001585705;0,500018809701;-0,181314886986;0,000000019078;-0,000000016939;0,000004653665;0,000001624222;0,500018809701;-0,245440411380;0,000000010838;-0,000000005853;0,000000664328;0,000000152375;0,500018809701;-0,101157981493;0,000000002282;-0,000000001556;0,000001552936;0,000000316747;0,500018809701;-0,123201130504;0,000000004715;-0,000000003942;0,000000016564;0,000000006602;0,500018809701;-0,499938586319;0,000000000480;-0,000000000016;0,000003755830;0,000000905349;0,500018809701;-0,117189362592;0,000000011218;-0,000000006877;0,000000013507;0,000000011481;0,500018809701;-0,027012843913;0,000000000194;-0,000000000044;0,000001904220;0,000000452127;0,500018809701;-0,085126600395;0,000000005916;-0,000000005426;0,000007814465;0,000002675983;0,500018809701;-0,259467869841;0,000000017230;-0,000000011903;0,000001388738;0,000000234499;0,500018809701;-0,129212898416;0,000000004718;-0,000000003474;0,000000012662;0,000000011213;-0,325597316873;-0,471883669397;0,000000000068;-0,000000000188;0,000002589353;0,000000540796;0,500018809701;-0,129212898416;0,000000008157;-0,000000004931;0,000000743979;0,000000158437;0,500018809701;-0,123201130504;0,000000002497;-0,000000001956;0,000000977159;0,000000193265;0,500018809701;-0,125205053141;0,000000003057;-0,000000002335;0,000002251737;0,000000439393;0,500018809701;-0,115185439955;0,000000006779;-0,000000004752;0,000000012592;0,000000011367;-0,477895437309;-0,425793448738;0,000000000120;-0,000000000127;0,000000855823;0,000000198414;0,500018809701;-0,119193285229;0,000000003093;-0,000000002598;0,000000409362;0,000000082660;0,500018809701;-0,119193285229;0,000000001395;-0,000000001152;0,000003747057;0,000000822418;0,500018809701;-0,113181517317;0,000000012529;-0,000000008269;0,000002479643;0,000000532556;0,500018809701;-0,117189362592;0,000000007526;-0,000000006408
12h56m14s,53m;0,000006737043;0,000001580649;0,500018809701;-0,167287428525;0,000000019004;-0,000000018061;0,000004580537;0,000001625609;0,500018809701;-0,231412952919;0,000000010793;-0,000000006824;0,000000661542;0,000000152721;0,500018809701;-0,095146213581;0,000000002345;-0,000000001542;0,000001539923;0,000000316963;0,500018809701;-0,109173672043;0,000000004736;-0,000000003949;0,000000016659;0,000000007117;0,500018809701;-0,499938586319;0,000000000451;-0,000000000016;0,000003709587;0,000000904842;0,500018809701;-0,105165826768;0,000000011087;-0,000000006941;0,000000012984;0,000000011555;0,125285276523;-0,499938586319;0,000000000146;-0,000000000041;0,000001875696;0,000000453732;0,500018809701;-0,075106987208;0,000000005774;-0,000000005532;0,000007744389;0,000002672053;0,500018809701;-0,247444334017;0,000000017172;-0,000000012374;0,000001371877;0,000000233625;0,500018809701;-0,119193285229;0,000000004728;-0,000000003465;0,000000012824;0,000000011118;0,423869749483;-0,499938586319;0,000000000121;-0,000000000061;0,000002560312;0,000000540069;0,500018809701;-0,117189362592;0,000000008217;-0,000000004928;0,000000737090;0,000000157504;0,500018809701;-0,105165826768;0,000000002351;-0,000000001756;0,000000967856;0,000000199322;0,500018809701;-0,115185439955;0,000000002964;-0,000000002368;0,000002226179;0,000000441754;0,500018809701;-0,107169749405;0,000000006811;-0,000000004773;0,000000013010;0,000000010680;-0,499938586319;0,500018809701;0,000000000024;-0,000000000240;0,000000830554;0,000000193233;0,500018809701;-0,087130523032;0,000000002792;-0,000000002969;0,000000405206;0,000000083145;0,500018809701;-0,107169749405;0,000000001451;-0,000000001150;0,000003714724;0,000000825402;0,500018809701;-0,103161904131;0,000000012637;-0,000000009023;0,000002478193;0,000000537448;0,500018809701;-0,103161904131;0,000000007592;-0,000000006349
12h56m21s,69m;0,000006687712;0,000001584667;0,500018809701;-0,155263892701;0,000000018916;-0,000000017078;0,000004546686;0,000001625560;0,500018809701;-0,223397262370;0,000000010964;-0,000000006603;0,000000657442;0,000000151255;0,500018809701;-0,103161904131;0,000000002596;-0,000000001380;0,000001509607;0,000000315102;0,500018809701;-0,103161904131;0,000000004878;-0,000000003965;0,000000017866;0,000000005515;0,500018809701;-0,499938586319;0,000000000451;-0,000000000039;0,000003667229;0,000000905255;0,500018809701;-0,095146213581;0,000000011067;-0,000000006951;0,000000013363;0,000000010934;0,500018809701;-0,499938586319;0,000000000234;-0,000000000040;0,000001854669;0,000000452840;0,500018809701;-0,069095219296;0,000000005940;-0,000000005426;0,000007694981;0,000002670726;0,500018809701;-0,243436488743;0,000000017102;-0,000000012415;0,000001358086;0,000000235313;0,500018809701;-0,107169749405;0,000000004757;-0,000000003432;0,000000013220;0,000000011849;-0,499938586319;0,227485331026;0,000000000051;-0,000000000115;0,000002546989;0,000000538835;0,500018809701;-0,111177594680;0,000000008122;-0,000000005037;0,000000727861;0,000000157186;0,500018809701;-0,105165826768;0,000000002426;-0,000000001750;0,000000959913;0,000000196796;0,500018809701;-0,107169749405;0,000000002988;-0,000000002354;0,000002207382;0,000000433974;0,500018809701;-0,097150136219;0,000000006856;-0,000000004970;0,000000012698;0,000000011297;0,500018809701;-0,027012843913;0,000000000174;-0,000000000046;0,000000848071;0,000000195060;0,500018809701;-0,103161904131;0,000000003217;-0,000000002777;0,000000405669;0,000000082850;0,500018809701;-0,111177594680;0,000000001629;-0,000000001099;0,000003674104;0,000000825186;0,500018809701;-0,095146213581;0,000000012488;-0,000000008288;0,000002424172;0,000000539682;0,500018809701;-0,097150136219;0,000000007431;-0,000000006323
12h56m28s,87m;0,000006651436;0,000001582822;0,500018809701;-0,149252124789;0,000000018940;-0,000000018790;0,000004511140;0,000001630806;0,500018809701;-0,217385494458;0,000000011147;-0,000000006862;0,000000651179;0,000000153765;0,500018809701;-0,089134445670;0,000000002331;-0,000000001645;0,000001515143;0,000000318272;0,500018809701;-0,097150136219;0,000000005265;-0,000000003925;0,000000017321;0,000000006328;0,500018809701;-0,499938586319;0,000000000453;-0,000000000009;0,000003653032;0,000000906286;0,500018809701;-0,091138368307;0,000000011040;-0,000000006894;0,000000013403;0,000000011569;0,500018809701;-0,327601239510;0,000000000194;-0,000000000031;0,000001838748;0,000000454794;0,500018809701;-0,061079528747;0,000000005828;-0,000000005599;0,000007660626;0,000002668208;0,500018809701;-0,235420798193;0,000000017149;-0,000000012717;0,000001349203;0,000000234038;0,500018809701;-0,111177594680;0,000000004726;-0,000000003439;0,000000013062;0,000000011550;0,327681462892;-0,499938586319;0,000000000133;-0,000000000052;0,000002536223;0,000000539653;0,500018809701;-0,105165826768;0,000000008114;-0,000000005031;0,000000724503;0,000000156316;0,500018809701;-0,097150136219;0,000000002358;-0,000000001766;0,000000948562;0,000000194381;0,500018809701;-0,105165826768;0,000000003018;-0,000000002361;0,000002188561;0,000000432137;0,500018809701;-0,093142290944;0,000000006736;-0,000000004812;0,000000012578;0,000000011318;0,500018809701;-0,125205053141;0,000000000048;-0,000000000048;0,000000821113;0,000000198500;0,500018809701;-0,081118755120;0,000000003002;-0,000000003045;0,000000402493;0,000000082610;0,500018809701;-0,115185439955;0,000000001471;-0,000000001156;0,000003668732;0,000000828121;0,500018809701;-0,093142290944;0,000000012311;-0,000000008420;0,000002420940;0,000000532834;0,500018809701;-0,097150136219;0,000000007467;-0,000000006460
12h56m36s,09m;0,000006614029;0,000001584923;0,500018809701;-0,147248202152;0,000000018937;-0,000000017187;0,000004483950;0,000001630706;0,500018809701;-0,211373726546;0,000000010877;-0,000000006717;0,000000637025;0,000000154372;0,500018809701;-0,085126600395;0,000000002411;-0,000000001735;0,000001494383;0,000000316137;0,500018809701;-0,093142290944;0,000000004761;-0,000000003887;0,000000017707;0,000000006933;0,500018809701;-0,499938586319;0,000000000400;-0,000000000013;0,000003634654;0,000000905167;0,500018809701;-0,089134445670;0,000000010969;-0,000000007027;0,000000013204;0,000000011013;0,500018809701;-0,495930741044;0,000000000231;-0,000000000044;0,000001835441;0,000000454391;0,500018809701;-0,059075606110;0,000000005838;-0,000000005593;0,000007631973;0,000002669274;0,500018809701;-0,233416875556;0,000000017125;-0,000000012648;0,000001343221;0,000000234510;0,500018809701;-0,101157981493;0,000000004680;-0,000000003526;0,000000012943;0,000000011729;0,423869749483;-0,375695382805;0,000000000123;-0,000000000105;0,000002526020;0,000000539905;0,500018809701;-0,105165826768;0,000000008094;-0,000000005032;0,000000720661;0,000000156694;0,500018809701;-0,095146213581;0,000000002307;-0,000000001764;0,000000949138;0,000000197303;0,500018809701;-0,103161904131;0,000000003004;-0,000000002339;0,000002170948;0,000000435382;0,500018809701;-0,093142290944;0,000000006675;-0,000000004971;0,000000012444;0,000000011504;-0,499938586319;-0,069095219296;0,000000000037;-0,000000000125;0,000000825367;0,000000199567;0,500018809701;-0,075106987208;0,000000003167;-0,000000002461;0,000000397072;0,000000083279;0,500018809701;-0,095146213581;0,000000001501;-0,000000001168;0,000003644070;0,000000826222;0,500018809701;-0,089134445670;0,000000012572;-0,000000008632;0,000002417221;0,000000537103;0,500018809701;-0,093142290944;0,000000007511;-0,000000006517
12h56m43s,29m;0,000006589583;0,000001584635;0,500018809701;-0,143240356877;0,000000019037;-0,000000017211;0,000004466920;0,000001631273;0,500018809701;-0,205361958634;0,000000010870;-0,000000007092;0,000000638115;0,000000167758;0,500018809701;-0,083122677758;0,000000002338;-0,000000001856;0,000001484191;0,000000315827;0,500018809701;-0,087130523032;0,000000004621;-0,000000003908;0,000000016207;0,000000007841;0,453928589043;-0,499938586319;0,000000000160;-0,000000000070;0,000003619285;0,000000906825;0,500018809701;-0,085126600395;0,000000010988;-0,000000007015;0,000000012685;0,000000011290;0,321669694980;-0,073103064571;0,000000000060;-0,000000000192;0,000001822365;0,000000453057;0,500018809701;-0,057071683472;0,000000005978;-0,000000005567;0,000007611448;0,000002669148;0,500018809701;-0,229409030282;0,000000017095;-0,000000012650;0,000001333840;0,000000236221;0,500018809701;-0,097150136219;0,000000004666;-0,000000003508;0,000000012927;0,000000011468;-0,127208975778;-0,181314886986;0,000000000045;-0,000000000152;0,000002511197;0,000000536502;0,500018809701;-0,095146213581;0,000000008108;-0,000000004979;0,000000721089;0,000000156830;0,500018809701;-0,089134445670;0,000000002444;-0,000000001769;0,000000939667;0,000000196081;0,500018809701;-0,097150136219;0,000000002931;-0,000000002363;0,000002159473;0,000000437275;0,500018809701;-0,089134445670;0,000000006758;-0,000000005092;0,000000012623;0,000000011402;0,465952124867;0,500018809701;0,000000000037;-0,000000000181;0,000000822190;0,000000195303;0,500018809701;-0,077110909846;0,000000002952;-0,000000002638;0,000000392989;0,000000083342;0,500018809701;-0,091138368307;0,000000001385;-0,000000001179;0,000003636426;0,000000824810;0,500018809701;-0,085126600395;0,000000012433;-0,000000008498;0,000002413163;0,000000540671;0,500018809701;-0,091138368307;0,000000007667;-0,000000006392
12h56m50s,43m;0,000006559829;0,000001586066;0,500018809701;-0,139232511602;0,000000018939;-0,000000017173;0,000004459178;0,000001633968;0,500018809701;-0,203358035996;0,000000010952;-0,000000006738;0,000000642166;0,000000159114;0,500018809701;-0,081118755120;0,000000002357;-0,000000001614;0,000001478900;0,000000317465;0,500018809701;-0,085126600395;0,000000004691;-0,000000003976;0,000000016583;0,000000008163;0,463948202229;-0,499938586319;0,000000000135;-0,000000000042;0,000003608029;0,000000904928;0,500018809701;-0,081118755120;0,000000010857;-0,000000007038;0,000000012891;0,000000011597;-0,499938586319;-0,175303119074;0,000000000044;-0,000000000194;0,000001819762;0,000000456176;0,500018809701;-0,055067760835;0,000000005856;-0,000000005633;0,000007580757;0,000002669160;0,500018809701;-0,225401185007;0,000000017064;-0,000000012788;0,000001327682;0,000000232795;0,500018809701;-0,091138368307;0,000000004688;-0,000000003516;0,000000012809;0,000000011761;-0,221393339732;-0,477895437309;0,000000000064;-0,000000000081;0,000002502946;0,000000538051;0,500018809701;-0,097150136219;0,000000008016;-0,000000005040;0,000000716449;0,000000156685;0,500018809701;-0,089134445670;0,000000002327;-0,000000001754;0,000000938792;0,000000199067;0,500018809701;-0,095146213581;0,000000002920;-0,000000002294;0,000002154909;0,000000441780;0,500018809701;-0,083122677758;0,000000006947;-0,000000004940;0,000000013214;0,000000010776;-0,499938586319;0,500018809701;0,000000000050;-0,000000000265;0,000000797365;0,000000196457;0,500018809701;-0,069095219296;0,000000002767;-0,000000002504;0,000000393810;0,000000083734;0,500018809701;-0,101157981493;0,000000001637;-0,000000001085;0,000003634966;0,000000831016;0,500018809701;-0,083122677758;0,000000012548;-0,000000008509;0,000002411704;0,000000538337;0,500018809701;-0,089134445670;0,000000007703;-0,000000006300
