Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-04-04_11h46m21s,37m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
11h46m27s,14m;0,000007696447;0,000001591087;0,500018809701;-0,383711073355;0,000000020106;-0,000000010421;0,000005313156;0,000001600989;0,500018809701;-0,385714995992;0,000000010385;-0,000000003231;0,000000734607;0,000000164691;0,500018809701;-0,235420798193;0,000000002326;-0,000000001455;0,000001714179;0,000000319426;0,500018809701;-0,219389417095;0,000000004765;-0,000000003931;0,000000018929;0,000000007468;0,500018809701;-0,499938586319;0,000000000399;-0,000000000010;0,000004122783;0,000000909945;0,500018809701;-0,195342345447;0,000000011577;-0,000000006737;0,000000012814;0,000000011209;0,500018809701;-0,499938586319;0,000000000204;-0,000000000049;0,000002034146;0,000000449559;0,500018809701;-0,155263892701;0,000000006718;-0,000000005387;0,000008176668;0,000002714383;0,500018809701;-0,337620852697;0,000000016994;-0,000000009222;0,000001499417;0,000000235172;0,500018809701;-0,195342345447;0,000000004973;-0,000000003380;0,000000012726;0,000000011125;-0,499938586319;0,500018809701;0,000000000036;-0,000000000193;0,000002724769;0,000000532482;0,500018809701;-0,203358035996;0,000000008396;-0,000000004717;0,000000786703;0,000000153837;0,500018809701;-0,185322732261;0,000000002285;-0,000000001712;0,000001043470;0,000000193591;0,500018809701;-0,187326654898;0,000000002999;-0,000000002209;0,000002403340;0,000000443019;0,500018809701;-0,179310964349;0,000000007211;-0,000000004428;0,000000012798;0,000000011195;0,500018809701;-0,499938586319;0,000000000199;-0,000000000042;0,000000935513;0,000000188843;0,500018809701;-0,155263892701;0,000000003214;-0,000000002456;0,000000460028;0,000000080961;0,500018809701;-0,163279583250;0,000000001724;-0,000000001393;0,000003965693;0,000000814981;0,500018809701;-0,167287428525;0,000000012886;-0,000000008438;0,000002672705;0,000000528743;0,500018809701;-0,169291351162;0,000000008338;-0,000000005994
11h46m34s,36m;0,000007110793;0,000001584518;0,500018809701;-0,231412952919;0,000000019885;-0,000000014222;0,000004928577;0,000001626145;0,500018809701;-0,289526709401;0,000000010593;-0,000000004646;0,000000692027;0,000000153587;0,500018809701;-0,165283505887;0,000000002157;-0,000000001255;0,000001616680;0,000000315731;0,500018809701;-0,161275660613;0,000000004750;-0,000000004194;0,000000016422;0,000000007467;0,465952124867;-0,499938586319;0,000000000129;-0,000000000137;0,000003929385;0,000000906432;0,500018809701;-0,147248202152;0,000000011679;-0,000000007071;0,000000013319;0,000000011257;0,500018809701;-0,427797371376;0,000000000170;-0,000000000058;0,000001961996;0,000000446134;0,500018809701;-0,117189362592;0,000000006531;-0,000000005394;0,000008009608;0,000002696831;0,500018809701;-0,299546322588;0,000000017169;-0,000000010169;0,000001446038;0,000000234969;0,500018809701;-0,163279583250;0,000000004868;-0,000000003434;0,000000012787;0,000000011396;0,421865826846;0,471963892779;0,000000000196;-0,000000000069;0,000002674331;0,000000528900;0,500018809701;-0,169291351162;0,000000008414;-0,000000004847;0,000000768167;0,000000155055;0,500018809701;-0,153259970064;0,000000002450;-0,000000001745;0,000001013248;0,000000192436;0,500018809701;-0,157267815338;0,000000003015;-0,000000002285;0,000002322550;0,000000437360;0,500018809701;-0,145244279514;0,000000007117;-0,000000004500;0,000000012159;0,000000011116;0,375775606187;-0,323593394235;0,000000000067;-0,000000000053;0,000000901140;0,000000181953;0,500018809701;-0,125205053141;0,000000002904;-0,000000002499;0,000000442361;0,000000082405;0,500018809701;-0,135224666328;0,000000001796;-0,000000001117;0,000003850944;0,000000815857;0,500018809701;-0,139232511602;0,000000012844;-0,000000008133;0,000002592402;0,000000523141;0,500018809701;-0,141236434240;0,000000008068;-0,000000006132
11h46m41s,58m;0,000006939303;0,000001585117;0,500018809701;-0,197346268084;0,000000019830;-0,000000015623;0,000004780009;0,000001630158;0,500018809701;-0,265479637753;0,000000010480;-0,000000005567;0,000000691866;0,000000157462;0,500018809701;-0,099154058856;0,000000002194;-0,000000001628;0,000001569142;0,000000316505;0,500018809701;-0,133220743690;0,000000004848;-0,000000003764;0,000000016830;0,000000007155;0,487995273877;-0,499938586319;0,000000000323;-0,000000000059;0,000003834045;0,000000906995;0,500018809701;-0,129212898416;0,000000011539;-0,000000006922;0,000000012812;0,000000011214;0,500018809701;-0,325597316873;0,000000000123;-0,000000000051;0,000001918601;0,000000446118;0,500018809701;-0,095146213581;0,000000006359;-0,000000005212;0,000007894936;0,000002685943;0,500018809701;-0,279507096214;0,000000017330;-0,000000011049;0,000001412152;0,000000235789;0,500018809701;-0,141236434240;0,000000004692;-0,000000003391;0,000000012493;0,000000011289;-0,225401185007;0,500018809701;0,000000000048;-0,000000000095;0,000002619481;0,000000537308;0,500018809701;-0,151256047426;0,000000008321;-0,000000004819;0,000000750130;0,000000155801;0,500018809701;-0,139232511602;0,000000002335;-0,000000001700;0,000000993272;0,000000192158;0,500018809701;-0,139232511602;0,000000003006;-0,000000002310;0,000002275717;0,000000438401;0,500018809701;-0,131216821053;0,000000006851;-0,000000004523;0,000000012940;0,000000010466;-0,499938586319;0,500018809701;0,000000000025;-0,000000000225;0,000000868115;0,000000193306;0,500018809701;-0,109173672043;0,000000003098;-0,000000002361;0,000000422401;0,000000081443;0,500018809701;-0,119193285229;0,000000001654;-0,000000001216;0,000003792274;0,000000815052;0,500018809701;-0,125205053141;0,000000012621;-0,000000008549;0,000002529397;0,000000529078;0,500018809701;-0,125205053141;0,000000007893;-0,000000006019
11h46m48s,64m;0,000006819643;0,000001584826;0,500018809701;-0,179310964349;0,000000019590;-0,000000015941;0,000004701577;0,000001637893;0,500018809701;-0,245440411380;0,000000010735;-0,000000005998;0,000000664267;0,000000180233;0,500018809701;-0,131216821053;0,000000002093;-0,000000001438;0,000001539023;0,000000317174;0,500018809701;-0,119193285229;0,000000004734;-0,000000004298;0,000000016581;0,000000007613;0,471963892779;-0,499938586319;0,000000000244;-0,000000000240;0,000003768296;0,000000910461;0,500018809701;-0,113181517317;0,000000011376;-0,000000006826;0,000000012287;0,000000011191;-0,375695382805;-0,425793448738;0,000000000175;-0,000000000058;0,000001884069;0,000000441867;0,500018809701;-0,083122677758;0,000000006217;-0,000000005270;0,000007815149;0,000002677415;0,500018809701;-0,267483560391;0,000000017394;-0,000000011671;0,000001393464;0,000000234839;0,500018809701;-0,127208975778;0,000000004838;-0,000000003431;0,000000012548;0,000000011308;0,123281353886;0,377779528825;0,000000000151;-0,000000000050;0,000002584818;0,000000533846;0,500018809701;-0,137228588965;0,000000008265;-0,000000004813;0,000000729161;0,000000157033;0,500018809701;-0,127208975778;0,000000002257;-0,000000001669;0,000000977283;0,000000191775;0,500018809701;-0,129212898416;0,000000002990;-0,000000002392;0,000002249366;0,000000441696;0,500018809701;-0,121197207867;0,000000007006;-0,000000004730;0,000000012753;0,000000011000;0,500018809701;-0,225401185007;0,000000000126;-0,000000000061;0,000000900596;0,000000184332;0,500018809701;-0,101157981493;0,000000003444;-0,000000002563;0,000000419577;0,000000082723;0,500018809701;-0,109173672043;0,000000001721;-0,000000001261;0,000003751690;0,000000815801;0,500018809701;-0,113181517317;0,000000012772;-0,000000008318;0,000002504411;0,000000533326;0,500018809701;-0,115185439955;0,000000007624;-0,000000005842
11h46m55s,78m;0,000006769415;0,000001588754;0,500018809701;-0,171295273799;0,000000019511;-0,000000016371;0,000004660383;0,000001639041;0,500018809701;-0,237424720831;0,000000010588;-0,000000005932;0,000000637560;0,000000161799;0,500018809701;-0,103161904131;0,000000002197;-0,000000001553;0,000001539845;0,000000318088;0,500018809701;-0,107169749405;0,000000004824;-0,000000004199;0,000000015914;0,000000008800;0,479979583328;-0,499938586319;0,000000000123;-0,000000000035;0,000003730232;0,000000910786;0,500018809701;-0,101157981493;0,000000011412;-0,000000007071;0,000000012617;0,000000010318;-0,499938586319;0,500018809701;0,000000000021;-0,000000000246;0,000001862763;0,000000443672;0,500018809701;-0,075106987208;0,000000006280;-0,000000005289;0,000007774548;0,000002674749;0,500018809701;-0,257463947204;0,000000017440;-0,000000012023;0,000001382260;0,000000234322;0,500018809701;-0,119193285229;0,000000004791;-0,000000003353;0,000000012735;0,000000010705;-0,373691460168;-0,499938586319;0,000000000285;-0,000000000059;0,000002576542;0,000000535355;0,500018809701;-0,129212898416;0,000000008165;-0,000000004826;0,000000733873;0,000000157202;0,500018809701;-0,119193285229;0,000000002303;-0,000000001677;0,000000973396;0,000000194881;0,500018809701;-0,119193285229;0,000000002996;-0,000000002228;0,000002230593;0,000000444281;0,500018809701;-0,113181517317;0,000000006908;-0,000000004666;0,000000013195;0,000000010293;-0,499938586319;0,500018809701;0,000000000045;-0,000000000285;0,000000864852;0,000000191130;0,500018809701;-0,107169749405;0,000000003415;-0,000000002343;0,000000416527;0,000000080649;0,500018809701;-0,113181517317;0,000000001610;-0,000000001198;0,000003721633;0,000000818191;0,500018809701;-0,111177594680;0,000000012511;-0,000000008449;0,000002476023;0,000000534535;0,500018809701;-0,113181517317;0,000000007871;-0,000000006071
11h47m02s,98m;0,000006726610;0,000001589099;0,500018809701;-0,165283505887;0,000000019425;-0,000000016851;0,000004626338;0,000001637283;0,500018809701;-0,231412952919;0,000000010683;-0,000000006249;0,000000669278;0,000000160111;0,500018809701;-0,085126600395;0,000000002167;-0,000000001646;0,000001525349;0,000000316934;0,500018809701;-0,099154058856;0,000000004789;-0,000000003778;0,000000016488;0,000000008250;0,467956047504;-0,499938586319;0,000000000163;-0,000000000234;0,000003705956;0,000000908608;0,500018809701;-0,097150136219;0,000000011356;-0,000000006877;0,000000012548;0,000000010974;-0,175303119074;-0,499938586319;0,000000000208;-0,000000000057;0,000001852120;0,000000450030;0,500018809701;-0,069095219296;0,000000006160;-0,000000005185;0,000007736875;0,000002671981;0,500018809701;-0,249448256655;0,000000017504;-0,000000012024;0,000001371362;0,000000236112;0,500018809701;-0,113181517317;0,000000004738;-0,000000003477;0,000000012620;0,000000011211;-0,227405107644;-0,479899359946;0,000000000062;-0,000000000087;0,000002560650;0,000000536159;0,500018809701;-0,125205053141;0,000000008224;-0,000000004806;0,000000736393;0,000000158260;0,500018809701;-0,109173672043;0,000000002379;-0,000000001691;0,000000965022;0,000000196184;0,500018809701;-0,111177594680;0,000000003010;-0,000000002368;0,000002215887;0,000000439207;0,500018809701;-0,099154058856;0,000000006908;-0,000000004787;0,000000013515;0,000000010893;-0,499938586319;0,500018809701;0,000000000032;-0,000000000253;0,000000864077;0,000000199673;0,500018809701;-0,101157981493;0,000000003977;-0,000000003430;0,000000412819;0,000000081052;0,500018809701;-0,105165826768;0,000000001443;-0,000000001136;0,000003697072;0,000000819748;0,500018809701;-0,107169749405;0,000000012493;-0,000000008609;0,000002448079;0,000000537435;0,500018809701;-0,109173672043;0,000000007843;-0,000000005978
11h47m10s,21m;0,000006701940;0,000001591202;0,500018809701;-0,157267815338;0,000000019613;-0,000000017037;0,000004608294;0,000001639764;0,500018809701;-0,227405107644;0,000000011560;-0,000000006538;0,000000633258;0,000000177490;0,500018809701;-0,113181517317;0,000000002142;-0,000000002199;0,000001502904;0,000000318125;0,500018809701;-0,099154058856;0,000000004869;-0,000000003782;0,000000016779;0,000000006347;0,500018809701;-0,499938586319;0,000000000450;-0,000000000021;0,000003688709;0,000000906397;0,500018809701;-0,095146213581;0,000000011320;-0,000000006809;0,000000013000;0,000000011083;0,500018809701;-0,499938586319;0,000000000154;-0,000000000025;0,000001837859;0,000000446376;0,500018809701;-0,067091296659;0,000000005991;-0,000000005230;0,000007715587;0,000002670250;0,500018809701;-0,247444334017;0,000000017425;-0,000000011897;0,000001364090;0,000000234679;0,500018809701;-0,113181517317;0,000000004813;-0,000000003436;0,000000012589;0,000000011284;0,219469640477;-0,499938586319;0,000000000075;-0,000000000049;0,000002544502;0,000000536081;0,500018809701;-0,119193285229;0,000000008180;-0,000000004821;0,000000733988;0,000000157125;0,500018809701;-0,109173672043;0,000000002408;-0,000000001695;0,000000958481;0,000000193330;0,500018809701;-0,109173672043;0,000000002951;-0,000000002287;0,000002197435;0,000000441242;0,500018809701;-0,097150136219;0,000000006930;-0,000000004823;0,000000012512;0,000000010961;-0,499938586319;-0,175303119074;0,000000000044;-0,000000000172;0,000000848543;0,000000195346;0,500018809701;-0,075106987208;0,000000003077;-0,000000002377;0,000000406452;0,000000081118;0,500018809701;-0,101157981493;0,000000001454;-0,000000001242;0,000003687669;0,000000819760;0,500018809701;-0,099154058856;0,000000012428;-0,000000008395;0,000002416566;0,000000537026;0,500018809701;-0,097150136219;0,000000008018;-0,000000005769
11h47m17s,43m;0,000006668928;0,000001590918;0,500018809701;-0,155263892701;0,000000019458;-0,000000018401;0,000004579259;0,000001642057;0,500018809701;-0,223397262370;0,000000010837;-0,000000006435;0,000000737558;0,000000160607;0,500018809701;-0,093142290944;0,000000002632;-0,000000001561;0,000001500849;0,000000319306;0,500018809701;-0,095146213581;0,000000004773;-0,000000003819;0,000000017069;0,000000007334;0,500018809701;-0,499938586319;0,000000000350;-0,000000000014;0,000003685143;0,000000910970;0,500018809701;-0,091138368307;0,000000011187;-0,000000006830;0,000000012517;0,000000011153;0,125285276523;-0,027012843913;0,000000000098;-0,000000000029;0,000001832273;0,000000447863;0,500018809701;-0,063083451384;0,000000005982;-0,000000005272;0,000007694995;0,000002670606;0,500018809701;-0,243436488743;0,000000017338;-0,000000012244;0,000001355912;0,000000235723;0,500018809701;-0,105165826768;0,000000004738;-0,000000003378;0,000000012488;0,000000011287;-0,221393339732;0,500018809701;0,000000000025;-0,000000000117;0,000002537665;0,000000537844;0,500018809701;-0,115185439955;0,000000008194;-0,000000004762;0,000000722290;0,000000155775;0,500018809701;-0,097150136219;0,000000002381;-0,000000001723;0,000000949289;0,000000193976;0,500018809701;-0,103161904131;0,000000003111;-0,000000002258;0,000002185744;0,000000447033;0,500018809701;-0,097150136219;0,000000006932;-0,000000004649;0,000000012633;0,000000010961;0,500018809701;-0,499938586319;0,000000000255;-0,000000000061;0,000000848579;0,000000194865;0,500018809701;-0,103161904131;0,000000003098;-0,000000002364;0,000000403748;0,000000082894;0,500018809701;-0,103161904131;0,000000002007;-0,000000001225;0,000003675171;0,000000819732;0,500018809701;-0,097150136219;0,000000012568;-0,000000008387;0,000002407490;0,000000536855;0,500018809701;-0,097150136219;0,000000007649;-0,000000005899
11h47m24s,67m;0,000006654736;0,000001590346;0,500018809701;-0,149252124789;0,000000019399;-0,000000017111;0,000004566649;0,000001640126;0,500018809701;-0,221393339732;0,000000011191;-0,000000006845;0,000000781784;0,000000157990;0,500018809701;-0,089134445670;0,000000004153;-0,000000001435;0,000001495383;0,000000320014;0,500018809701;-0,093142290944;0,000000004688;-0,000000003889;0,000000016382;0,000000007884;0,500018809701;-0,499938586319;0,000000000130;-0,000000000028;0,000003659061;0,000000909239;0,500018809701;-0,089134445670;0,000000011299;-0,000000006899;0,000000013235;0,000000010923;-0,499938586319;0,500018809701;0,000000000023;-0,000000000218;0,000001825557;0,000000448865;0,500018809701;-0,063083451384;0,000000006184;-0,000000005173;0,000007667601;0,000002669659;0,500018809701;-0,241432566105;0,000000017308;-0,000000012874;0,000001349569;0,000000235503;0,500018809701;-0,101157981493;0,000000004794;-0,000000003468;0,000000012916;0,000000011455;0,471963892779;0,423869749483;0,000000000081;-0,000000000202;0,000002536602;0,000000536188;0,500018809701;-0,115185439955;0,000000008177;-0,000000004954;0,000000730692;0,000000158092;0,500018809701;-0,103161904131;0,000000002355;-0,000000001710;0,000000951783;0,000000191539;0,500018809701;-0,109173672043;0,000000002938;-0,000000002290;0,000002177341;0,000000441796;0,500018809701;-0,093142290944;0,000000007020;-0,000000004855;0,000000013288;0,000000011031;-0,499938586319;0,025089144657;0,000000000052;-0,000000000291;0,000000863970;0,000000199445;0,500018809701;-0,091138368307;0,000000003374;-0,000000002437;0,000000400186;0,000000082974;0,500018809701;-0,093142290944;0,000000001479;-0,000000001147;0,000003667536;0,000000822932;0,500018809701;-0,095146213581;0,000000012471;-0,000000008710;0,000002437237;0,000000533784;0,500018809701;-0,095146213581;0,000000007835;-0,000000006067
11h47m31s,92m;0,000006646604;0,000001589531;0,500018809701;-0,145244279514;0,000000019377;-0,000000017258;0,000004543949;0,000001638423;0,500018809701;-0,217385494458;0,000000010890;-0,000000006683;0,000000715123;0,000000164242;0,500018809701;-0,109173672043;0,000000002588;-0,000000001624;0,000001484561;0,000000319242;0,500018809701;-0,091138368307;0,000000004915;-0,000000003936;0,000000016301;0,000000007469;0,427877594758;-0,499938586319;0,000000000165;-0,000000000052;0,000003650590;0,000000909631;0,500018809701;-0,085126600395;0,000000011192;-0,000000006850;0,000000012759;0,000000011287;0,223477485752;-0,499938586319;0,000000000051;-0,000000000047;0,000001832951;0,000000448441;0,500018809701;-0,059075606110;0,000000006067;-0,000000005273;0,000007657278;0,000002665455;0,500018809701;-0,237424720831;0,000000017416;-0,000000012316;0,000001348765;0,000000235679;0,500018809701;-0,097150136219;0,000000004840;-0,000000003415;0,000000013010;0,000000011029;-0,499938586319;0,500018809701;0,000000000038;-0,000000000235;0,000002527145;0,000000537332;0,500018809701;-0,105165826768;0,000000008246;-0,000000004869;0,000000729519;0,000000158280;0,500018809701;-0,097150136219;0,000000002330;-0,000000001681;0,000000949072;0,000000194046;0,500018809701;-0,103161904131;0,000000002962;-0,000000002407;0,000002179509;0,000000442210;0,500018809701;-0,091138368307;0,000000006867;-0,000000004708;0,000000012773;0,000000010940;-0,465871901485;-0,499938586319;0,000000000250;-0,000000000042;0,000000835901;0,000000195795;0,500018809701;-0,093142290944;0,000000003065;-0,000000002412;0,000000403274;0,000000082407;0,500018809701;-0,095146213581;0,000000001550;-0,000000001168;0,000003651596;0,000000822159;0,500018809701;-0,091138368307;0,000000012624;-0,000000008526;0,000002403310;0,000000536085;0,500018809701;-0,093142290944;0,000000007644;-0,000000005931
