Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,399912778839000  To 0,399993002221000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE


2025-04-03_14h19m50s,41m
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,39991277883900000500;0,00000052198725533408;0,00000039323274375851;0,00000001096963360783;0,00000000989445591987;0,00000001212793530534;0,00000072957196866665;0,00000040936750788639;0,00000065442965703094;0,00000001248629576352;0,00000041087102360613;0,00000055336856851893;0,00000001275254315769;0,00000017025610703960;0,00000084806305822866;0,00000018644293954266;0,00000107866561812581;0,00000123428201312731;0,00000136169833257840;0,00000085434078735670;0,00000035616335968099
-0,39830976124168537800;0,00000052181245964397;0,00000039190363710989;0,00000001105218061597;0,00000001007709095033;0,00000001201818302443;0,00000072460918176283;0,00000040850874473647;0,00000065218903900902;0,00000001238816890303;0,00000040105048056726;0,00000055027717913597;0,00000001257659510508;0,00000016890425982653;0,00000084310384120923;0,00000018552300643390;0,00000107121311291045;0,00000122730629591487;0,00000135460433803019;0,00000084823489596736;0,00000035299561061158
-0,39670674364437075200;0,00000052162156227956;0,00000039056650080931;0,00000001113125855419;0,00000001025208797013;0,00000001191760587561;0,00000071965502606815;0,00000040766973963293;0,00000065001828183104;0,00000001229693967190;0,00000039155492400727;0,00000054722229110888;0,00000001241034564620;0,00000016758009933944;0,00000083817243887666;0,00000018461151887255;0,00000106381209524977;0,00000122032639470394;0,00000134759690129794;0,00000084218041719510;0,00000034985737799898
-0,39510372604705612500;0,00000052141456324086;0,00000038922133485676;0,00000001120686742251;0,00000001041944697926;0,00000001182620385888;0,00000071470950158261;0,00000040685049257576;0,00000064791738549700;0,00000001221260807015;0,00000038238435392615;0,00000054420390443767;0,00000001225379478103;0,00000016628362557833;0,00000083326885123097;0,00000018370847685861;0,00000105646256514378;0,00000121334230949452;0,00000134067602238166;0,00000083617735103993;0,00000034674866184318
-0,39350070844974149900;0,00000052119146252788;0,00000038786813925226;0,00000001127900722092;0,00000001057916797773;0,00000001174397697425;0,00000070977260830621;0,00000040605100356497;0,00000064588635000691;0,00000001213517409776;0,00000037353877032390;0,00000054122201912233;0,00000001210694250959;0,00000016501483854321;0,00000082839307827216;0,00000018281388039208;0,00000104916452259247;0,00000120635404028661;0,00000133384170128134;0,00000083022569750185;0,00000034366946214419
-0,39189769085242687200;0,00000052095226014060;0,00000038650691399579;0,00000001134767794941;0,00000001073125096553;0,00000001167092522170;0,00000070484434623895;0,00000040527127260055;0,00000064392517536076;0,00000001206463775475;0,00000036501817320052;0,00000053827663516286;0,00000001196978883186;0,00000016377373823407;0,00000082354512000021;0,00000018192772947297;0,00000104191796759585;0,00000119936158708021;0,00000132709393799699;0,00000082432545658086;0,00000034061977890201
-0,39029467325511224500;0,00000052069695607904;0,00000038513765908736;0,00000001141287960800;0,00000001087569594267;0,00000001160704860125;0,00000069992471538083;0,00000040451129968250;0,00000064203386155857;0,00000001200099904110;0,00000035682256255601;0,00000053536775255927;0,00000001184233374786;0,00000016256032465092;0,00000081872497641513;0,00000018105002410127;0,00000103472290015391;0,00000119236494987532;0,00000132043273252861;0,00000081847662827697;0,00000033759961211663
-0,38869165565779761900;0,00000052042555034318;0,00000038376037452697;0,00000001147461219668;0,00000001101250290914;0,00000001155234711288;0,00000069501371573185;0,00000040377108481083;0,00000064021240860031;0,00000001194425795683;0,00000034895193839038;0,00000053249537131155;0,00000001172457725757;0,00000016137459779375;0,00000081393264751693;0,00000018018076427698;0,00000102757932026665;0,00000118536412867193;0,00000131385808487619;0,00000081267921259016;0,00000033460896178806
-0,38708863806048299200;0,00000052013804293304;0,00000038237506031462;0,00000001153287571545;0,00000001114167186495;0,00000001150682075661;0,00000069011134729201;0,00000040305062798554;0,00000063846081648600;0,00000001189441450193;0,00000034140630070362;0,00000052965949141971;0,00000001161651936100;0,00000016021655766257;0,00000080916813330560;0,00000017931995000011;0,00000102048722793408;0,00000117835912347006;0,00000130736999503974;0,00000080693320952044;0,00000033164782791629
-0,38548562046316836600;0,00000051983443384860;0,00000038098171645030;0,00000001158767016431;0,00000001126320281010;0,00000001147046953243;0,00000068521761006131;0,00000040234992920662;0,00000063677908521564;0,00000001185146867639;0,00000033418564949573;0,00000052686011288374;0,00000001151816005816;0,00000015908620425737;0,00000080443143378114;0,00000017846758127064;0,00000101344662315619;0,00000117134993426970;0,00000130096846301926;0,00000080123861906781;0,00000032871621050133
