Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE


2025-04-03_12h24m18s,48m
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,49993858631900023300;0,00000075599177476083;0,00000094942253460781;0,00000000995874267924;0,00000001102878497695;0,00000001159532144882;0,00000192262481544183;0,00000104371511029801;0,00000101021773390754;0,00000001159782830115;0,00000111074357752680;0,00000112751201661910;0,00000001215417807566;0,00000041115233753263;0,00000215938290963952;0,00000039701030493745;0,00000300685991015355;0,00000322676805067430;0,00000341817025716788;0,00000253580001979376;0,00000099083190226061
-0,49793466368168559600;0,00000075572840863121;0,00000094584453556320;0,00000001019388835837;0,00000001109822774842;0,00000001163510028970;0,00000191877204045513;0,00000103983623767536;0,00000100812780380010;0,00000001147802534023;0,00000110574333917138;0,00000112583997787355;0,00000001218535997749;0,00000041007612737181;0,00000215355919936222;0,00000039601339727569;0,00000299743920852683;0,00000321858052967489;0,00000340782268891560;0,00000252625668566799;0,00000098994974710472
-0,49593074104437096000;0,00000075544960022466;0,00000094226895783769;0,00000001041670605944;0,00000001116635858751;0,00000001167384787915;0,00000191481675078479;0,00000103595250809304;0,00000100599706770341;0,00000001136906913775;0,00000110077218233751;0,00000112412605238965;0,00000001221335006988;0,00000040897648757116;0,00000214764721039868;0,00000039499932480249;0,00000298793274716709;0,00000321029072654008;0,00000339737954614175;0,00000251671183308189;0,00000098893096963973
-0,49392681840705632300;0,00000075515534954116;0,00000093869580143126;0,00000001062719578243;0,00000001123317749422;0,00000001171156421717;0,00000191075894643081;0,00000103206392155104;0,00000100382552561747;0,00000001127095969371;0,00000109583010702521;0,00000112237024016742;0,00000001223814835282;0,00000040785341813069;0,00000214164694274890;0,00000039396808751784;0,00000297834052607431;0,00000320189864126988;0,00000338684082884633;0,00000250716546203545;0,00000098777556986565
-0,49192289576974174100;0,00000075484565658073;0,00000093512506634392;0,00000001082535752735;0,00000001129868446854;0,00000001174824930377;0,00000190659862739318;0,00000102817047804936;0,00000100161317754228;0,00000001118369700810;0,00000109091711323446;0,00000112057254120684;0,00000001225975482631;0,00000040670691905040;0,00000213555839641289;0,00000039291968542174;0,00000296866254524849;0,00000319340427386427;0,00000337620653702935;0,00000249761757252868;0,00000098648354778247
-0,48991897313242710500;0,00000075452052134337;0,00000093155675257567;0,00000001101119129420;0,00000001136287951048;0,00000001178390313893;0,00000190233579367191;0,00000102427217758800;0,00000099936002347784;0,00000001110728108093;0,00000108603320096526;0,00000111873295550791;0,00000001227816949036;0,00000040553699033029;0,00000212938157139065;0,00000039185411851420;0,00000295889880468964;0,00000318480762432326;0,00000336547667069080;0,00000248806816456158;0,00000098505490339021
-0,48791505049511246800;0,00000075417994382906;0,00000092799086012651;0,00000001118469708298;0,00000001142576262004;0,00000001181852572266;0,00000189797044526699;0,00000102036902016697;0,00000099706606342416;0,00000001104171191219;0,00000108117837021763;0,00000111685148307064;0,00000001229339234496;0,00000040434363197036;0,00000212311646768218;0,00000039077138679522;0,00000294904930439776;0,00000317610869264686;0,00000335465122983067;0,00000247851723813415;0,00000098348963668884
-0,48591112785779783100;0,00000075382392403782;0,00000092442738899644;0,00000001134587489369;0,00000001148733379721;0,00000001185211705496;0,00000189350258217843;0,00000101646100578626;0,00000099473129738122;0,00000001098698950189;0,00000107635262099155;0,00000111492812389504;0,00000001230542339011;0,00000040312684397061;0,00000211676308528747;0,00000038967149026479;0,00000293911404437284;0,00000316730747883505;0,00000334373021444899;0,00000246896479324638;0,00000098178774767839
-0,48390720522048319400;0,00000075345246196964;0,00000092086633918545;0,00000001149472472633;0,00000001154759304200;0,00000001188467713583;0,00000188893220440622;0,00000101254813444587;0,00000099235572534904;0,00000001094311385003;0,00000107155595328702;0,00000111296287798108;0,00000001231426262581;0,00000040188662633104;0,00000211032142420653;0,00000038855442892291;0,00000292909302461488;0,00000315840398288784;0,00000333271362454573;0,00000245941082989828;0,00000097994923635884
-0,48190328258316855700;0,00000075306555762453;0,00000091730771069356;0,00000001163124658090;0,00000001160654035440;0,00000001191620596527;0,00000188425931195037;0,00000100863040614581;0,00000098993934732761;0,00000001091008495661;0,00000106678836710405;0,00000111095574532879;0,00000001231991005207;0,00000040062297905164;0,00000210379148443936;0,00000038742020276959;0,00000291898624512390;0,00000314939820480523;0,00000332160146012090;0,00000244985534808985;0,00000097797410273019
-0,47989935994585392000;0,00000075266321100247;0,00000091375150352075;0,00000001175544045740;0,00000001166417573442;0,00000001194670354328;0,00000187948390481087;0,00000100470782088607;0,00000098748216331693;0,00000001088790282162;0,00000106204986244264;0,00000110890672593815;0,00000001232236566888;0,00000039933590213243;0,00000209717326598596;0,00000038626881180482;0,00000290879370589987;0,00000314029014458722;0,00000331039372117451;0,00000244029834782108;0,00000097586234679246
-0,47789543730853928400;0,00000075224542210348;0,00000091019771766703;0,00000001186730635583;0,00000001172049918206;0,00000001197616986986;0,00000187460598298773;0,00000100078037866665;0,00000098498417331700;0,00000001087656744506;0,00000105734043930278;0,00000110681581980917;0,00000001232162947624;0,00000039802539557339;0,00000209046676884632;0,00000038510025602861;0,00000289851540694282;0,00000313107980223381;0,00000329909040770655;0,00000243073982909199;0,00000097361396854562
-0,47589151467122470200;0,00000075181219092755;0,00000090664635313240;0,00000001196684427619;0,00000001177551069732;0,00000001200460494501;0,00000186962554648094;0,00000099684807948756;0,00000098244537732783;0,00000001087607882695;0,00000105266009768448;0,00000110468302694184;0,00000001231770147416;0,00000039669145937454;0,00000208367199302045;0,00000038391453544095;0,00000288815134825273;0,00000312176717774501;0,00000328769151971702;0,00000242117979190256;0,00000097122896798970
-0,47388759203391006600;0,00000075136351747469;0,00000090309740991686;0,00000001205405421847;0,00000001182921028019;0,00000001203200876873;0,00000186454259529051;0,00000099291092334879;0,00000097986577534940;0,00000001088643696727;0,00000104800883758774;0,00000110250834733617;0,00000001231058166263;0,00000039533409353586;0,00000207678893850834;0,00000038271165004185;0,00000287770152982960;0,00000311235227112080;0,00000327619705720592;0,00000241161823625279;0,00000096870734512468
-0,47188366939659542900;0,00000075089940174488;0,00000089955088802040;0,00000001212893618269;0,00000001188159793067;0,00000001205838134102;0,00000185935712941644;0,00000098896891025034;0,00000097724536738173;0,00000001090764186602;0,00000104338665901255;0,00000110029178099216;0,00000001230027004165;0,00000039395329805736;0,00000206981760531001;0,00000038149159983130;0,00000286716595167344;0,00000310283508236119;0,00000326460702017325;0,00000240205516214270;0,00000096604909995057
-0,46987974675928079200;0,00000075041984373814;0,00000089600678744304;0,00000001219149016884;0,00000001193267364878;0,00000001208372266188;0,00000185406914885872;0,00000098502204019222;0,00000097458415342481;0,00000001093969352322;0,00000103879356195892;0,00000109803332790981;0,00000001228676661123;0,00000039254907293904;0,00000206275799342544;0,00000038025438480931;0,00000285654461378425;0,00000309321561146618;0,00000325292140861902;0,00000239249056957227;0,00000096325423246736
-0,46787582412196615500;0,00000074992484345447;0,00000089246510818476;0,00000001224171617691;0,00000001198243743450;0,00000001210803273131;0,00000184867865361735;0,00000098107031317442;0,00000097188213347864;0,00000001098259193885;0,00000103422954642685;0,00000109573298808911;0,00000001227007137135;0,00000039112141818090;0,00000205561010285463;0,00000037900000497587;0,00000284583751616202;0,00000308349385843577;0,00000324114022254322;0,00000238292445854151;0,00000096032274267506
-0,46587190148465151800;0,00000074941440089385;0,00000088892585024557;0,00000001227961420692;0,00000001203088928784;0,00000001213131154931;0,00000184318564369234;0,00000097711372919694;0,00000096913930754322;0,00000001103633711291;0,00000102969461241633;0,00000109339076153007;0,00000001225018432204;0,00000038967033378294;0,00000204837393359760;0,00000037772846033098;0,00000283504465880676;0,00000307366982326996;0,00000322926346194585;0,00000237335682905042;0,00000095725463057367
-0,46386797884733688100;0,00000074888851605630;0,00000088538901362547;0,00000001230518425885;0,00000001207802920879;0,00000001215355911588;0,00000183759011908369;0,00000097315228825978;0,00000096635567561855;0,00000001110092904541;0,00000102518875992737;0,00000109100664823269;0,00000001222710546327;0,00000038819581974516;0,00000204104948565433;0,00000037643975087465;0,00000282416604171846;0,00000306374350596875;0,00000321729112682691;0,00000236378768109899;0,00000095404989616318
-0,46186405621002230000;0,00000074834718894181;0,00000088185459832446;0,00000001231842633272;0,00000001212385719736;0,00000001217477543102;0,00000183189207979139;0,00000096918599036295;0,00000096353123770464;0,00000001117636773635;0,00000102071198895996;0,00000108858064819696;0,00000001220083479506;0,00000038669787606755;0,00000203363675902483;0,00000037513387660687;0,00000281320166489713;0,00000305371490653214;0,00000320522321718640;0,00000235421701468723;0,00000095070853944360
-0,45986013357270766300;0,00000074779041955039;0,00000087832260434254;0,00000001231934042851;0,00000001216837325355;0,00000001219496049473;0,00000182609152581544;0,00000096521483550644;0,00000096066599380147;0,00000001126265318573;0,00000101626429951411;0,00000108611276142289;0,00000001217137231740;0,00000038517650275013;0,00000202613575370909;0,00000037381083752765;0,00000280215152834276;0,00000304358402496013;0,00000319305973302432;0,00000234464482981514;0,00000094723056041493
-0,45785621093539302600;0,00000074721820788202;0,00000087479303167971;0,00000001230792654623;0,00000001221157737735;0,00000001221411430702;0,00000182018845715585;0,00000096123882369025;0,00000095775994390906;0,00000001135978539354;0,00000101184569158982;0,00000108360298791048;0,00000001213871803029;0,00000038363169979288;0,00000201854646970712;0,00000037247063363698;0,00000279101563205536;0,00000303335086125272;0,00000318080067434068;0,00000233507112648272;0,00000094361595907716
-0,45585228829807839000;0,00000074663055393672;0,00000087126588033596;0,00000001228418468588;0,00000001225346956877;0,00000001223223686787;0,00000181418287381262;0,00000095725795491439;0,00000095481308802740;0,00000001146776435979;0,00000100745616518708;0,00000108105132765972;0,00000001210287193374;0,00000038206346719582;0,00000201086890701892;0,00000037111326493487;0,00000277979397603493;0,00000302301541540991;0,00000316844604113547;0,00000232549590468996;0,00000093986473543030
-0,45384836566076375300;0,00000074602745771448;0,00000086774115031130;0,00000001224811484747;0,00000001229404982781;0,00000001224932817729;0,00000180807477578574;0,00000095327222917885;0,00000095182542615649;0,00000001158659008447;0,00000100309572030590;0,00000107845778067063;0,00000001206383402774;0,00000038047180495893;0,00000200310306564449;0,00000036973873142131;0,00000276848656028146;0,00000301257768743170;0,00000315599583340869;0,00000231591916443687;0,00000093597688947434
-0,45184444302344911600;0,00000074540891921531;0,00000086421884160573;0,00000001219971703098;0,00000001233331815446;0,00000001226538823528;0,00000180186416307522;0,00000094928164648363;0,00000094879695829633;0,00000001171626256759;0,00000099876435694628;0,00000107582234694318;0,00000001202160431229;0,00000037885671308222;0,00000199524894558382;0,00000036834703309631;0,00000275709338479496;0,00000300203767731809;0,00000314345005116034;0,00000230634090572345;0,00000093195242120929
-0,44984052038613447900;0,00000074479392785454;0,00000086070498815526;0,00000001214691833477;0,00000001237013370082;0,00000001228031791369;0,00000179559080409238;0,00000094528038485523;0,00000094573532144086;0,00000001184707727020;0,00000099443154857562;0,00000107315163840936;0,00000001197987336590;0,00000037722029308897;0,00000198734638312321;0,00000036695074350358;0,00000274563825477521;0,00000299140115390230;0,00000313081910262244;0,00000229674090539743;0,00000092786531331514
-0,44783659774881984200;0,00000074420147304751;0,00000085720562389588;0,00000001209764585719;0,00000001240335561896;0,00000001229401808436;0,00000178929446724856;0,00000094126262232012;0,00000094264815258401;0,00000001196932965334;0,00000099006676866134;0,00000107045226700110;0,00000001194233176707;0,00000037556464650245;0,00000197943521454893;0,00000036556243618685;0,00000273414497542201;0,00000298067388601755;0,00000311811339602701;0,00000228709894030656;0,00000092378954847187
-0,44583267511150526100;0,00000074363155479423;0,00000085372074882760;0,00000001205189959824;0,00000001243298390889;0,00000001230648874731;0,00000178297515254376;0,00000093722835887831;0,00000093953545172578;0,00000001208301971702;0,00000098567001720344;0,00000106772423271841;0,00000001190897951580;0,00000037388977332265;0,00000197151543986098;0,00000036418211114611;0,00000272261354673536;0,00000296985587366384;0,00000310533293137404;0,00000227741501045083;0,00000091972512667948
-0,44382875247419062400;0,00000074308417309469;0,00000085025036295042;0,00000001200967955791;0,00000001245901857061;0,00000001231772990253;0,00000177663285997797;0,00000093317759452979;0,00000093639721886618;0,00000001218814746124;0,00000098124129420193;0,00000106496753556129;0,00000001187981661209;0,00000037219567354960;0,00000196358705905937;0,00000036280976838138;0,00000271104396871525;0,00000295894711684118;0,00000309247770866354;0,00000226768911583025;0,00000091567204793798
-0,44182482983687598700;0,00000074255932794890;0,00000084679446626434;0,00000001197098573622;0,00000001248145960412;0,00000001232774155001;0,00000177026758955120;0,00000092911032927457;0,00000093323345400519;0,00000001228471288599;0,00000097678059965679;0,00000106218217552975;0,00000001185484305594;0,00000037048234718327;0,00000195565007214409;0,00000036144540789263;0,00000269943624136169;0,00000294794761554956;0,00000307954772789550;0,00000225792125644481;0,00000091163031224737
-0,43982090719956135100;0,00000074205701935686;0,00000084335305876935;0,00000001193581813316;0,00000001250030700942;0,00000001233652368977;0,00000176387934126344;0,00000092502656311265;0,00000093004415714283;0,00000001237271599128;0,00000097228793356803;0,00000105936815262377;0,00000001183405884735;0,00000036874979422367;0,00000194770447911514;0,00000036008902967989;0,00000268779036467468;0,00000293685736978899;0,00000306654298906993;0,00000224811143229451;0,00000090759991960764
-0,43781698456224671400;0,00000074157724731856;0,00000083992614046547;0,00000001190417674872;0,00000001251556078650;0,00000001234407632179;0,00000175746811511470;0,00000092092629604403;0,00000092682932827910;0,00000001245215677710;0,00000096776329593565;0,00000105652546684336;0,00000001181746398632;0,00000036699801467080;0,00000193975027997254;0,00000035874063374314;0,00000267610633865421;0,00000292567637955945;0,00000305346349218682;0,00000223825964337936;0,00000090358087001879
-0,43581306192493207700;0,00000074112001183401;0,00000083651371135268;0,00000001187606158292;0,00000001252722093537;0,00000001235039944608;0,00000175103391110498;0,00000091680952806870;0,00000092358896741398;0,00000001252303524346;0,00000096320668675965;0,00000105365411818852;0,00000001180505847285;0,00000036522700852467;0,00000193178747471626;0,00000035740022008238;0,00000266438416330030;0,00000291440464486096;0,00000304030923724618;0,00000222836588969935;0,00000089957316348083
-0,43380913928761744000;0,00000074068531290320;0,00000083311577143099;0,00000001185147263574;0,00000001253528745603;0,00000001235549306264;0,00000174457672923427;0,00000091267625918667;0,00000092032307454749;0,00000001258535139036;0,00000095861810604003;0,00000105075410665926;0,00000001179684230694;0,00000036343677578527;0,00000192381606334632;0,00000035606778869763;0,00000265262383861292;0,00000290304216569351;0,00000302708022424800;0,00000221843017125449;0,00000089557679999375
-0,43180521665030280300;0,00000074027315052613;0,00000082973232070040;0,00000001183040990720;0,00000001253976034848;0,00000001235935717147;0,00000173809656950258;0,00000090852648939794;0,00000091703164967961;0,00000001263910521779;0,00000095399755377679;0,00000104782543225556;0,00000001179281548859;0,00000036162731645259;0,00000191583604586271;0,00000035474333958887;0,00000264082536459210;0,00000289158894205711;0,00000301377645319229;0,00000220845248804477;0,00000089159177955755
-0,42980129401298822200;0,00000073988352470281;0,00000082636335916090;0,00000001181287339728;0,00000001254063961271;0,00000001236199177257;0,00000173159343190990;0,00000090436021870250;0,00000091371469281037;0,00000001268429672576;0,00000094934502996992;0,00000104486809497744;0,00000001179297801780;0,00000035979863052665;0,00000190784742226544;0,00000035342687275610;0,00000262898874123782;0,00000288004497395174;0,00000300039792407904;0,00000219843284007019;0,00000088761810217224
-0,42779737137567358500;0,00000073951643543324;0,00000082300888681250;0,00000001179886310599;0,00000001253792524874;0,00000001236339686594;0,00000172506731645624;0,00000090017744710037;0,00000091037220393974;0,00000001272092591427;0,00000094466053461944;0,00000104188209482488;0,00000001179732989457;0,00000035795071800744;0,00000189985019255451;0,00000035211838819933;0,00000261711396855009;0,00000286841026137742;0,00000298694463690826;0,00000218837122733076;0,00000088365576783782
-0,42579344873835894800;0,00000073917188271741;0,00000081966890365521;0,00000001178837903333;0,00000001253161725655;0,00000001236357245158;0,00000171851822314160;0,00000089597817459152;0,00000090700418306774;0,00000001274899278331;0,00000093994406772534;0,00000103886743179789;0,00000001180587111890;0,00000035608357889497;0,00000189184435672990;0,00000035081788591856;0,00000260520104652891;0,00000285668480433414;0,00000297341659167995;0,00000217826764982647;0,00000087970477655428
-0,42378952610104431100;0,00000073884986655533;0,00000081634340968900;0,00000001178142117930;0,00000001252171563615;0,00000001236251852948;0,00000171194615196597;0,00000089176240117598;0,00000090361063019435;0,00000001276849733289;0,00000093519562928761;0,00000103582410589648;0,00000001181860169079;0,00000035419721318922;0,00000188382991479164;0,00000034952536591379;0,00000259324997517427;0,00000284486860282191;0,00000295981378839410;0,00000216812210755733;0,00000087576512832162
-0,42178560346372967500;0,00000073855038694699;0,00000081303240491390;0,00000001177798954390;0,00000001250822038754;0,00000001236023509966;0,00000170535110292936;0,00000088753012685373;0,00000090019154531959;0,00000001277943956300;0,00000093041521930627;0,00000103275211712063;0,00000001183552161024;0,00000035229162089020;0,00000187580686673970;0,00000034824082818501;0,00000258126075448618;0,00000283296165684071;0,00000294613622705071;0,00000215793460052333;0,00000087183682313985
-0,41978168082641503800;0,00000073827344389240;0,00000080973588932990;0,00000001177808412713;0,00000001249113151071;0,00000001235672216210;0,00000169873307603177;0,00000088328135162479;0,00000089674692844346;0,00000001278181947365;0,00000092560283778130;0,00000102965146547036;0,00000001185663087725;0,00000035036680199792;0,00000186777521257410;0,00000034696427273223;0,00000256923338446464;0,00000282096396639056;0,00000293238390764979;0,00000214770512872448;0,00000086791986100896
-0,41777775818910040100;0,00000073801903739156;0,00000080645386293699;0,00000001178170492899;0,00000001247044900568;0,00000001235197971681;0,00000169209207127319;0,00000087901607548913;0,00000089327677956594;0,00000001277563706484;0,00000092075848471272;0,00000102652215094565;0,00000001188192949182;0,00000034842275651237;0,00000185973495229484;0,00000034569569955544;0,00000255716786510964;0,00000280887553147146;0,00000291855683019134;0,00000213743369216077;0,00000086401424192896
-0,41577383555178582000;0,00000073778716744446;0,00000080318632573518;0,00000001178885194948;0,00000001244617287243;0,00000001234600776379;0,00000168542808865362;0,00000087473429844678;0,00000088978109868705;0,00000001276089233657;0,00000091588216010051;0,00000102336417354652;0,00000001191141745396;0,00000034645948443354;0,00000185168608590191;0,00000034443510865465;0,00000254506419642119;0,00000279669635208339;0,00000290465499467535;0,00000212712029083220;0,00000086011996589984
-0,41376991291447118300;0,00000073757783405110;0,00000079993327772447;0,00000001179952518860;0,00000001241830311097;0,00000001233880630304;0,00000167874112817308;0,00000087043602049772;0,00000088625988580678;0,00000001273758528883;0,00000091097386394469;0,00000102017753327295;0,00000001194509476365;0,00000034447698576145;0,00000184362861339531;0,00000034318250002986;0,00000253292237839929;0,00000278442642822637;0,00000289067840110183;0,00000211676492473878;0,00000085623703292161
-0,41176599027715654600;0,00000073739103721149;0,00000079669471890486;0,00000001181372464634;0,00000001238683972130;0,00000001233037533456;0,00000167203118983155;0,00000086612124164196;0,00000088271314092513;0,00000001270571592162;0,00000090603359624524;0,00000101696223012496;0,00000001198296142090;0,00000034247526049609;0,00000183556253477505;0,00000034193787368106;0,00000252074241104394;0,00000277206575990039;0,00000287662704947077;0,00000210636759388050;0,00000085236544299426
-0,40976206763984190900;0,00000073722677692562;0,00000079347064927635;0,00000001183145032272;0,00000001235178270342;0,00000001232071485835;0,00000166529827362903;0,00000086178996187950;0,00000087914086404210;0,00000001266528423495;0,00000090106135700217;0,00000101371826410253;0,00000001202501742571;0,00000034045430863746;0,00000182748785004113;0,00000034070122960826;0,00000250852429435513;0,00000275961434710545;0,00000286250093978218;0,00000209592829825737;0,00000084850519611779
-0,40775814500252727200;0,00000073708505319351;0,00000079026106883893;0,00000001185270221772;0,00000001231313205732;0,00000001230982487441;0,00000165854237956554;0,00000085744218121033;0,00000087554305515770;0,00000001261629022882;0,00000089605714621548;0,00000101044563520568;0,00000001207126277808;0,00000033841413018557;0,00000181940455919353;0,00000033947256781146;0,00000249626802833287;0,00000274707218984155;0,00000284830007203605;0,00000208544703786938;0,00000084465629229221
-0,40575422236521263600;0,00000073696586601513;0,00000078706597759261;0,00000001187748033136;0,00000001227088778301;0,00000001229770538273;0,00000165176350764105;0,00000085307789963446;0,00000087191971427192;0,00000001255873390323;0,00000089102096388517;0,00000100714434343439;0,00000001212169747801;0,00000033635472514040;0,00000181131266223228;0,00000033825188829065;0,00000248397361297715;0,00000273443928810870;0,00000283402444623239;0,00000207492381271653;0,00000084081873151751
-0,40375029972789799900;0,00000073686921539050;0,00000078388537553739;0,00000001190578466362;0,00000001222504988049;0,00000001228435638333;0,00000164496165785559;0,00000084869711715189;0,00000086827084138476;0,00000001249261525817;0,00000088595281001125;0,00000100381438878868;0,00000001217632152551;0,00000033427609350197;0,00000180321215915735;0,00000033703919104584;0,00000247164104828799;0,00000272171564190689;0,00000281967406237119;0,00000206435862279883;0,00000083699251379370
-0,40174637709058336200;0,00000073679510131962;0,00000078071926267327;0,00000001193761521451;0,00000001217561834976;0,00000001226977787619;0,00000163813683020914;0,00000084429983376261;0,00000086459643649622;0,00000001241793429364;0,00000088085268459370;0,00000100045577126853;0,00000001223513492056;0,00000033217823527026;0,00000179510304996876;0,00000033583447607703;0,00000245927033426537;0,00000270890125123613;0,00000280524892045246;0,00000205375146811628;0,00000083317763912077
-0,39974245445326878100;0,00000073672162743244;0,00000077756456959587;0,00000001197005215643;0,00000001212640778995;0,00000001225552869431;0,00000163129646013790;0,00000083989984403328;0,00000086091001438461;0,00000001234175158205;0,00000087574851301053;0,00000099707739983204;0,00000001229381707335;0,00000033008638890944;0,00000178698350931754;0,00000033463254959924;0,00000244688361209361;0,00000269603425200796;0,00000279077336623448;0,00000204311626917522;0,00000082935852260174
-0,39773853181595414400;0,00000073662689735891;0,00000077441822690083;0,00000001200017566178;0,00000001208123280018;0,00000001224316767066;0,00000162444798307804;0,00000083551094253054;0,00000085722508982821;0,00000001227112769576;0,00000087066822063977;0,00000099368818343725;0,00000001234804739406;0,00000032802579288364;0,00000177885171185469;0,00000033342821782753;0,00000243450302295703;0,00000268315278013395;0,00000277627174547553;0,00000203246694648203;0,00000082551957933962
-0,39573460917863950700;0,00000073651091109905;0,00000077128023458814;0,00000001202798573055;0,00000001204009338046;0,00000001223269480525;0,00000161759139902959;0,00000083113312925438;0,00000085354166282705;0,00000001220606263480;0,00000086561180748141;0,00000099028812208419;0,00000001239782588268;0,00000032599644719287;0,00000177070765758024;0,00000033222148076189;0,00000242212856685563;0,00000267025683561411;0,00000276174405817560;0,00000202180350003670;0,00000082166080933441
-0,39373068654132487000;0,00000073637366865285;0,00000076815059265781;0,00000001205348236274;0,00000001200298953078;0,00000001222411009807;0,00000161072670799252;0,00000082676640420481;0,00000084985973338110;0,00000001214655639914;0,00000086057927353545;0,00000098687721577285;0,00000001244315253922;0,00000032399835183712;0,00000176255134649416;0,00000033101233840231;0,00000240976024378940;0,00000265734641844843;0,00000274719030433471;0,00000201112592983924;0,00000081778221258611
-0,39172676390401023300;0,00000073621517002031;0,00000076502930110983;0,00000001207666555837;0,00000001196992125115;0,00000001221741354913;0,00000160385390996685;0,00000082241076738183;0,00000084617930149037;0,00000001209260898880;0,00000085557061880188;0,00000098345546450323;0,00000001248402736368;0,00000032203150681640;0,00000175438277859648;0,00000032980079074881;0,00000239739805375835;0,00000264442152863690;0,00000273261048395284;0,00000200043423588964;0,00000081388378909472
