Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-04-04_19h47m24s,48m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
19h47m30s,23m;0,000001303584;0,000000850935;-0,499938586319;0,011061686196;0,000000002450;-0,000000002422;0,000001428774;0,000000314985;0,500018809701;-0,155263892701;0,000000004990;-0,000000002783;0,000000174549;0,000000040727;0,500018809701;-0,087130523032;0,000000000569;-0,000000000438;0,000000012392;0,000000009849;-0,025008921275;-0,469879746759;0,000000000076;-0,000000000254;0,000000012261;0,000000010780;0,467956047504;-0,499938586319;0,000000000036;-0,000000000157;0,000002731006;0,000000492604;0,500018809701;-0,145244279514;0,000000008539;-0,000000005637;0,000001106467;0,000000188388;0,500018809701;-0,093142290944;0,000000003935;-0,000000002679;0,000001653875;0,000000390110;0,500018809701;-0,163279583250;0,000000005489;-0,000000003362;0,000000013905;0,000000008305;0,465952124867;-0,499938586319;0,000000000142;-0,000000000208;0,000001352118;0,000000201447;0,500018809701;-0,197346268084;0,000000003853;-0,000000003712;0,000001503541;0,000000411995;0,500018809701;-0,143240356877;0,000000004346;-0,000000003490;0,000000013823;0,000000010617;0,500018809701;-0,499938586319;0,000000000180;-0,000000000046;0,000000564888;0,000000088696;0,500018809701;-0,139232511602;0,000000001886;-0,000000001232;0,000003073442;0,000000574511;0,500018809701;-0,179310964349;0,000000009296;-0,000000006698;0,000000542446;0,000000144899;0,500018809701;-0,211373726546;0,000000001776;-0,000000001287;0,000004029887;0,000000694292;0,500018809701;-0,173299196437;0,000000012371;-0,000000009035;0,000004942675;0,000000812050;0,500018809701;-0,193338422810;0,000000014738;-0,000000009866;0,000005261005;0,000001050050;0,500018809701;-0,183318809623;0,000000015152;-0,000000011263;0,000003741625;0,000000619380;0,500018809701;-0,215381571820;0,000000010807;-0,000000008319;0,000001482171;0,000000240221;0,500018809701;-0,137228588965;0,000000005150;-0,000000003700
19h47m37s,37m;0,000001304620;0,000000845306;-0,499938586319;0,031100912569;0,000000001944;-0,000000002382;0,000001406950;0,000000321786;0,500018809701;-0,133220743690;0,000000004969;-0,000000002961;0,000000167929;0,000000039374;0,500018809701;-0,075106987208;0,000000000545;-0,000000000484;0,000000012681;0,000000010268;0,467956047504;-0,465871901485;0,000000000069;-0,000000000248;0,000000012151;0,000000009635;0,469959970141;-0,499938586319;0,000000000257;-0,000000000118;0,000002675521;0,000000495571;0,500018809701;-0,131216821053;0,000000008726;-0,000000005644;0,000001075761;0,000000187997;0,500018809701;-0,079114832483;0,000000003679;-0,000000002671;0,000001632374;0,000000396360;0,500018809701;-0,155263892701;0,000000005266;-0,000000004193;0,000000013707;0,000000008068;0,465952124867;-0,499938586319;0,000000000097;-0,000000000259;0,000001330882;0,000000202200;0,500018809701;-0,187326654898;0,000000003883;-0,000000003187;0,000001473060;0,000000401955;0,500018809701;-0,137228588965;0,000000004227;-0,000000003439;0,000000013253;0,000000010644;0,481983505965;-0,499938586319;0,000000000093;-0,000000000050;0,000000580657;0,000000090138;0,500018809701;-0,131216821053;0,000000002037;-0,000000001223;0,000003039999;0,000000581283;0,500018809701;-0,171295273799;0,000000009344;-0,000000006772;0,000000536361;0,000000141781;0,500018809701;-0,027012843913;0,000000001803;-0,000000001088;0,000003984748;0,000000707101;0,500018809701;-0,167287428525;0,000000012211;-0,000000009072;0,000004891193;0,000000823338;0,500018809701;-0,185322732261;0,000000014793;-0,000000010043;0,000005195595;0,000001064069;0,500018809701;-0,175303119074;0,000000015002;-0,000000011336;0,000003712038;0,000000617679;0,500018809701;-0,207365881271;0,000000010717;-0,000000008227;0,000001489620;0,000000247169;0,500018809701;-0,131216821053;0,000000004982;-0,000000003725
19h47m44s,50m;0,000001302674;0,000000838978;-0,499938586319;0,033104835207;0,000000001941;-0,000000002380;0,000001389827;0,000000317331;0,500018809701;-0,125205053141;0,000000005044;-0,000000003001;0,000000168256;0,000000040998;0,500018809701;-0,047052070286;0,000000000624;-0,000000000372;0,000000012842;0,000000009242;0,500018809701;-0,499938586319;0,000000000193;-0,000000000028;0,000000012260;0,000000010007;0,425873672120;-0,499938586319;0,000000000062;-0,000000000036;0,000002646709;0,000000493790;0,500018809701;-0,123201130504;0,000000008491;-0,000000005520;0,000001056315;0,000000186311;0,500018809701;-0,073103064571;0,000000003630;-0,000000002699;0,000001611596;0,000000400557;0,500018809701;-0,147248202152;0,000000005489;-0,000000003479;0,000000014078;0,000000006577;0,500018809701;-0,499938586319;0,000000000182;-0,000000000013;0,000001314050;0,000000200662;0,500018809701;-0,179310964349;0,000000003802;-0,000000003132;0,000001466500;0,000000402577;0,500018809701;-0,127208975778;0,000000004517;-0,000000003501;0,000000012850;0,000000009714;0,473967815416;-0,499938586319;0,000000000212;-0,000000000087;0,000000544783;0,000000087823;0,500018809701;-0,115185439955;0,000000001952;-0,000000001235;0,000003013417;0,000000576633;0,500018809701;-0,159271737976;0,000000009452;-0,000000006777;0,000000535510;0,000000143919;0,500018809701;-0,203358035996;0,000000001762;-0,000000001100;0,000003953701;0,000000695597;0,500018809701;-0,153259970064;0,000000012331;-0,000000009094;0,000004852140;0,000000815297;0,500018809701;-0,177307041711;0,000000014752;-0,000000009980;0,000005150813;0,000001058611;0,500018809701;-0,167287428525;0,000000014955;-0,000000011063;0,000003673148;0,000000617841;0,500018809701;-0,197346268084;0,000000010820;-0,000000007999;0,000001479319;0,000000242842;0,500018809701;-0,121197207867;0,000000005018;-0,000000003933
19h48m00s,18m;0,000001321249;0,000000873167;-0,499938586319;0,023085222020;0,000000001709;-0,000000002392;0,000001398871;0,000000316678;0,500018809701;-0,131216821053;0,000000004970;-0,000000003548;0,000000168357;0,000000042191;0,500018809701;-0,065087374022;0,000000000544;-0,000000000395;0,000000013060;0,000000009227;0,500018809701;-0,499938586319;0,000000000202;-0,000000000029;0,000000012597;0,000000009528;0,500018809701;-0,499938586319;0,000000000181;-0,000000000040;0,000002659918;0,000000493093;0,500018809701;-0,129212898416;0,000000008579;-0,000000005617;0,000001070265;0,000000189681;0,500018809701;-0,083122677758;0,000000003656;-0,000000002611;0,000001611905;0,000000399855;0,500018809701;-0,151256047426;0,000000005348;-0,000000003519;0,000000014230;0,000000007174;0,500018809701;-0,499938586319;0,000000000397;-0,000000000013;0,000001327583;0,000000201663;0,500018809701;-0,185322732261;0,000000004276;-0,000000003186;0,000001480187;0,000000416788;0,500018809701;-0,131216821053;0,000000004390;-0,000000003519;0,000000013045;0,000000010762;0,469959970141;-0,467875824122;0,000000000034;-0,000000000145;0,000000548567;0,000000090036;0,500018809701;-0,121197207867;0,000000002034;-0,000000001252;0,000003022971;0,000000576191;0,500018809701;-0,165283505887;0,000000009423;-0,000000006790;0,000000534989;0,000000143012;0,500018809701;-0,201354113359;0,000000001828;-0,000000001377;0,000003966290;0,000000693562;0,500018809701;-0,161275660613;0,000000012335;-0,000000009151;0,000004867867;0,000000813720;0,500018809701;-0,181314886986;0,000000014765;-0,000000010156;0,000005169110;0,000001059425;0,500018809701;-0,169291351162;0,000000014977;-0,000000011169;0,000003691033;0,000000618611;0,500018809701;-0,205361958634;0,000000010809;-0,000000008125;0,000001470757;0,000000242838;0,500018809701;-0,131216821053;0,000000005115;-0,000000003692
19h48m07s,28m;0,000001305058;0,000000852438;-0,499938586319;0,053144061580;0,000000001838;-0,000000002457;0,000001385533;0,000000319011;0,500018809701;-0,121197207867;0,000000005028;-0,000000002900;0,000000168817;0,000000040450;0,500018809701;-0,045048147649;0,000000000719;-0,000000000322;0,000000012338;0,000000009111;0,417857981571;-0,499938586319;0,000000000112;-0,000000000036;0,000000012151;0,000000009707;0,321669694980;-0,469879746759;0,000000000077;-0,000000000274;0,000002626536;0,000000493906;0,500018809701;-0,121197207867;0,000000008503;-0,000000005599;0,000001059802;0,000000187276;0,500018809701;-0,075106987208;0,000000003614;-0,000000002914;0,000001603019;0,000000393308;0,500018809701;-0,139232511602;0,000000005705;-0,000000003338;0,000000013730;0,000000005211;0,425873672120;-0,499938586319;0,000000000436;-0,000000000064;0,000001310592;0,000000200018;0,500018809701;-0,177307041711;0,000000003897;-0,000000003097;0,000001465694;0,000000407930;0,500018809701;-0,125205053141;0,000000004308;-0,000000003668;0,000000013348;0,000000010907;0,473967815416;-0,443828752474;0,000000000071;-0,000000000170;0,000000553644;0,000000087773;0,500018809701;-0,117189362592;0,000000002523;-0,000000001282;0,000003005224;0,000000574607;0,500018809701;-0,155263892701;0,000000009485;-0,000000006811;0,000000534030;0,000000144822;0,500018809701;-0,197346268084;0,000000001853;-0,000000001178;0,000003937428;0,000000695768;0,500018809701;-0,155263892701;0,000000012348;-0,000000009217;0,000004827649;0,000000813671;0,500018809701;-0,175303119074;0,000000014826;-0,000000010140;0,000005126001;0,000001063568;0,500018809701;-0,165283505887;0,000000015052;-0,000000011368;0,000003665465;0,000000620134;0,500018809701;-0,197346268084;0,000000010873;-0,000000008152;0,000001461761;0,000000245291;0,500018809701;-0,123201130504;0,000000005179;-0,000000003855
19h48m14s,34m;0,000001315086;0,000000850462;-0,499938586319;0,045128371031;0,000000001933;-0,000000002372;0,000001380558;0,000000324854;0,500018809701;-0,125205053141;0,000000004995;-0,000000003394;0,000000169436;0,000000040649;0,500018809701;-0,045048147649;0,000000000796;-0,000000000395;0,000000012517;0,000000009284;0,500018809701;-0,499938586319;0,000000000134;-0,000000000039;0,000000012437;0,000000009634;0,459940356955;-0,473887592034;0,000000000098;-0,000000000231;0,000002614377;0,000000494732;0,500018809701;-0,115185439955;0,000000008494;-0,000000005780;0,000001050690;0,000000185695;0,500018809701;-0,065087374022;0,000000003706;-0,000000002681;0,000001607161;0,000000398350;0,500018809701;-0,137228588965;0,000000005353;-0,000000003212;0,000000014870;0,000000005466;0,500018809701;-0,499938586319;0,000000000359;-0,000000000034;0,000001298234;0,000000200853;0,500018809701;-0,175303119074;0,000000003896;-0,000000003166;0,000001440252;0,000000408464;0,500018809701;-0,123201130504;0,000000004165;-0,000000003478;0,000000012979;0,000000010901;0,465952124867;-0,473887592034;0,000000000042;-0,000000000232;0,000000530416;0,000000085799;0,500018809701;-0,115185439955;0,000000001803;-0,000000001360;0,000002987630;0,000000575709;0,500018809701;-0,151256047426;0,000000009504;-0,000000006882;0,000000532653;0,000000143993;0,500018809701;-0,195342345447;0,000000001815;-0,000000001120;0,000003920231;0,000000694019;0,500018809701;-0,149252124789;0,000000012387;-0,000000009152;0,000004801532;0,000000811030;0,500018809701;-0,171295273799;0,000000014818;-0,000000010212;0,000005097618;0,000001067922;0,500018809701;-0,159271737976;0,000000014962;-0,000000011235;0,000003645480;0,000000617739;0,500018809701;-0,193338422810;0,000000010855;-0,000000008124;0,000001446099;0,000000247293;0,500018809701;-0,121197207867;0,000000005531;-0,000000003748
19h48m21s,41m;0,000001321869;0,000000851624;-0,499938586319;0,047132293668;0,000000002017;-0,000000002412;0,000001378536;0,000000326313;0,500018809701;-0,119193285229;0,000000005055;-0,000000003449;0,000000168325;0,000000040920;0,500018809701;-0,051059915561;0,000000000557;-0,000000000368;0,000000012584;0,000000009123;0,500018809701;-0,499938586319;0,000000000240;-0,000000000032;0,000000012502;0,000000009811;0,500018809701;-0,499938586319;0,000000000217;-0,000000000043;0,000002609124;0,000000496737;0,500018809701;-0,113181517317;0,000000008473;-0,000000005628;0,000001043053;0,000000188282;0,500018809701;-0,069095219296;0,000000003589;-0,000000002935;0,000001558899;0,000000408455;0,500018809701;-0,141236434240;0,000000005360;-0,000000003714;0,000000014048;0,000000006141;0,500018809701;-0,499938586319;0,000000000520;-0,000000000028;0,000001300058;0,000000201035;0,500018809701;-0,169291351162;0,000000003927;-0,000000003234;0,000001443241;0,000000407707;0,500018809701;-0,119193285229;0,000000004124;-0,000000003457;0,000000012685;0,000000009616;0,500018809701;-0,499938586319;0,000000000109;-0,000000000028;0,000000532839;0,000000087290;0,500018809701;-0,101157981493;0,000000001958;-0,000000001491;0,000002982763;0,000000574310;0,500018809701;-0,149252124789;0,000000009384;-0,000000006846;0,000000531313;0,000000143692;0,500018809701;-0,201354113359;0,000000001813;-0,000000001210;0,000003908908;0,000000691819;0,500018809701;-0,145244279514;0,000000012360;-0,000000009217;0,000004786671;0,000000810363;0,500018809701;-0,169291351162;0,000000014845;-0,000000010127;0,000005086628;0,000001064746;0,500018809701;-0,161275660613;0,000000015072;-0,000000011282;0,000003629194;0,000000616894;0,500018809701;-0,191334500173;0,000000010864;-0,000000008042;0,000001455363;0,000000246467;0,500018809701;-0,123201130504;0,000000005087;-0,000000003650
19h48m28s,51m;0,000001316948;0,000000843094;-0,499938586319;0,049136216305;0,000000002289;-0,000000002390;0,000001368596;0,000000324171;0,500018809701;-0,115185439955;0,000000004926;-0,000000003679;0,000000166350;0,000000041524;0,500018809701;-0,039036379737;0,000000000687;-0,000000000403;0,000000012562;0,000000008496;0,425873672120;-0,499938586319;0,000000000136;-0,000000000048;0,000000012277;0,000000010166;0,077191133228;-0,471883669397;0,000000000065;-0,000000000204;0,000002602506;0,000000493393;0,500018809701;-0,111177594680;0,000000008544;-0,000000005685;0,000001037999;0,000000187066;0,500018809701;-0,051059915561;0,000000003785;-0,000000002588;0,000001561074;0,000000397220;0,500018809701;-0,133220743690;0,000000005234;-0,000000003428;0,000000013091;0,000000007444;0,469959970141;-0,499938586319;0,000000000139;-0,000000000036;0,000001298929;0,000000198804;0,500018809701;-0,177307041711;0,000000003943;-0,000000003304;0,000001431055;0,000000415666;0,500018809701;-0,127208975778;0,000000004186;-0,000000003578;0,000000012888;0,000000010207;0,469959970141;-0,473887592034;0,000000000060;-0,000000000156;0,000000536577;0,000000088827;0,500018809701;-0,103161904131;0,000000002199;-0,000000001249;0,000002979529;0,000000581339;0,500018809701;-0,151256047426;0,000000009401;-0,000000006908;0,000000528248;0,000000142002;0,500018809701;-0,002965772265;0,000000001845;-0,000000001168;0,000003901087;0,000000706208;0,500018809701;-0,145244279514;0,000000012273;-0,000000009199;0,000004783175;0,000000822037;0,500018809701;-0,163279583250;0,000000014786;-0,000000010154;0,000005086040;0,000001070502;0,500018809701;-0,155263892701;0,000000015026;-0,000000011341;0,000003619383;0,000000617101;0,500018809701;-0,187326654898;0,000000010796;-0,000000008277;0,000001449619;0,000000245471;0,500018809701;-0,121197207867;0,000000005121;-0,000000003693
19h48m35s,58m;0,000001316871;0,000000854903;-0,499938586319;0,047132293668;0,000000001838;-0,000000002257;0,000001370144;0,000000327310;0,500018809701;-0,123201130504;0,000000004661;-0,000000003617;0,000000163407;0,000000040187;0,500018809701;-0,061079528747;0,000000000577;-0,000000000340;0,000000013525;0,000000009141;0,500018809701;-0,499938586319;0,000000000247;-0,000000000019;0,000000012223;0,000000009646;0,221473563114;-0,499938586319;0,000000000190;-0,000000000021;0,000002593927;0,000000491790;0,500018809701;-0,109173672043;0,000000008657;-0,000000005585;0,000001038147;0,000000188368;0,500018809701;-0,061079528747;0,000000003780;-0,000000002621;0,000001533431;0,000000403615;0,500018809701;-0,137228588965;0,000000004958;-0,000000003598;0,000000013456;0,000000007094;0,500018809701;-0,499938586319;0,000000000389;-0,000000000017;0,000001290504;0,000000201346;0,500018809701;-0,167287428525;0,000000003895;-0,000000003190;0,000001446567;0,000000411887;0,500018809701;-0,119193285229;0,000000004508;-0,000000003513;0,000000013504;0,000000009733;0,500018809701;-0,499938586319;0,000000000263;-0,000000000059;0,000000529281;0,000000088436;0,500018809701;-0,109173672043;0,000000001792;-0,000000001253;0,000002970498;0,000000575436;0,500018809701;-0,147248202152;0,000000009350;-0,000000006964;0,000000527733;0,000000145056;0,500018809701;-0,203358035996;0,000000001820;-0,000000001198;0,000003896773;0,000000694597;0,500018809701;-0,143240356877;0,000000012376;-0,000000009245;0,000004779476;0,000000813224;0,500018809701;-0,165283505887;0,000000014839;-0,000000010078;0,000005088119;0,000001072963;0,500018809701;-0,157267815338;0,000000015086;-0,000000011348;0,000003617804;0,000000617183;0,500018809701;-0,187326654898;0,000000010833;-0,000000008358;0,000001445218;0,000000249866;0,500018809701;-0,117189362592;0,000000004991;-0,000000003761
19h48m42s,69m;0,000001332443;0,000000840413;-0,499938586319;0,041120525756;0,000000002124;-0,000000002437;0,000001364722;0,000000325943;0,500018809701;-0,123201130504;0,000000004641;-0,000000003718;0,000000165074;0,000000040889;0,500018809701;-0,047052070286;0,000000000571;-0,000000000416;0,000000012581;0,000000008611;0,500018809701;-0,499938586319;0,000000000265;-0,000000000018;0,000000012171;0,000000009343;-0,079114832483;-0,499938586319;0,000000000273;-0,000000000036;0,000002590387;0,000000492546;0,500018809701;-0,109173672043;0,000000008691;-0,000000005568;0,000001036355;0,000000186573;0,500018809701;-0,051059915561;0,000000003667;-0,000000002629;0,000001540212;0,000000399559;0,500018809701;-0,137228588965;0,000000005076;-0,000000003529;0,000000013173;0,000000005200;0,483987428602;-0,499938586319;0,000000000554;-0,000000000062;0,000001295202;0,000000201965;0,500018809701;-0,165283505887;0,000000003910;-0,000000003207;0,000001444238;0,000000412519;0,500018809701;-0,117189362592;0,000000004390;-0,000000003426;0,000000012700;0,000000010463;0,463948202229;-0,483907205220;0,000000000051;-0,000000000059;0,000000543783;0,000000088440;0,500018809701;-0,095146213581;0,000000002303;-0,000000001741;0,000002974089;0,000000573341;0,500018809701;-0,145244279514;0,000000009406;-0,000000006840;0,000000529792;0,000000144300;0,500018809701;-0,193338422810;0,000000001830;-0,000000001219;0,000003891506;0,000000695373;0,500018809701;-0,143240356877;0,000000012349;-0,000000009203;0,000004771992;0,000000813467;0,500018809701;-0,165283505887;0,000000014870;-0,000000010219;0,000005065963;0,000001067873;0,500018809701;-0,155263892701;0,000000015189;-0,000000011310;0,000003616241;0,000000617918;0,500018809701;-0,185322732261;0,000000010774;-0,000000008270;0,000001440912;0,000000248558;0,500018809701;-0,115185439955;0,000000004938;-0,000000003770
