Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-04-04_20h02m45s,53m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
20h02m51s,27m;0,000007665190;0,000001495367;0,500018809701;-0,353652233795;0,000000017843;-0,000000011259;0,000005194219;0,000001559875;0,500018809701;-0,381707150717;0,000000010869;-0,000000002563;0,000000761350;0,000000156745;0,500018809701;-0,243436488743;0,000000002227;-0,000000001195;0,000001675740;0,000000277131;0,500018809701;-0,241432566105;0,000000004524;-0,000000003667;0,000000016777;0,000000006838;0,500018809701;-0,499938586319;0,000000000193;-0,000000000005;0,000004115348;0,000000875380;0,500018809701;-0,219389417095;0,000000010284;-0,000000006689;0,000000012235;0,000000011264;-0,499938586319;-0,285518864126;0,000000000040;-0,000000000076;0,000002108062;0,000000447413;0,500018809701;-0,167287428525;0,000000006153;-0,000000005451;0,000008329205;0,000002683470;0,500018809701;-0,349644388520;0,000000015838;-0,000000010100;0,000001507338;0,000000227820;0,500018809701;-0,205361958634;0,000000004643;-0,000000003322;0,000000012753;0,000000010998;-0,499938586319;0,500018809701;0,000000000024;-0,000000000191;0,000002879586;0,000000530978;0,500018809701;-0,199350190722;0,000000008318;-0,000000004972;0,000000791322;0,000000153705;0,500018809701;-0,197346268084;0,000000002370;-0,000000001729;0,000001029142;0,000000184152;0,500018809701;-0,193338422810;0,000000002841;-0,000000002255;0,000002418911;0,000000424654;0,500018809701;-0,185322732261;0,000000006818;-0,000000004855;0,000000013084;0,000000010345;-0,499938586319;0,500018809701;0,000000000018;-0,000000000208;0,000000947064;0,000000197858;0,500018809701;-0,169291351162;0,000000003444;-0,000000002785;0,000000461517;0,000000084495;0,500018809701;-0,175303119074;0,000000001693;-0,000000000990;0,000003965130;0,000000804961;0,500018809701;-0,163279583250;0,000000012197;-0,000000008335;0,000002287029;0,000000441719;0,500018809701;-0,167287428525;0,000000006755;-0,000000005320
20h02m58s,40m;0,000007097506;0,000001507322;0,500018809701;-0,227405107644;0,000000018623;-0,000000015282;0,000004833646;0,000001580377;0,500018809701;-0,289526709401;0,000000011163;-0,000000004601;0,000000715291;0,000000157802;0,500018809701;-0,179310964349;0,000000002252;-0,000000001851;0,000001570646;0,000000276115;0,500018809701;-0,177307041711;0,000000004391;-0,000000003603;0,000000016892;0,000000006185;0,500018809701;-0,499938586319;0,000000000318;-0,000000000008;0,000003939630;0,000000874930;0,500018809701;-0,171295273799;0,000000010453;-0,000000006806;0,000000012369;0,000000011180;0,321669694980;-0,487915050495;0,000000000071;-0,000000000039;0,000002017572;0,000000448353;0,500018809701;-0,127208975778;0,000000005991;-0,000000005559;0,000008149466;0,000002664558;0,500018809701;-0,313573781049;0,000000016195;-0,000000012605;0,000001456060;0,000000229285;0,500018809701;-0,173299196437;0,000000004644;-0,000000003334;0,000000012627;0,000000010732;-0,177307041711;-0,499938586319;0,000000000247;-0,000000000041;0,000002825750;0,000000529484;0,500018809701;-0,169291351162;0,000000008273;-0,000000005053;0,000000774705;0,000000154330;0,500018809701;-0,159271737976;0,000000002318;-0,000000001751;0,000001009645;0,000000183990;0,500018809701;-0,171295273799;0,000000002916;-0,000000002344;0,000002382300;0,000000427624;0,500018809701;-0,159271737976;0,000000006743;-0,000000004921;0,000000012194;0,000000011216;-0,473887592034;-0,129212898416;0,000000000087;-0,000000000037;0,000000886772;0,000000197818;0,500018809701;-0,145244279514;0,000000003297;-0,000000002150;0,000000451905;0,000000082881;0,500018809701;-0,157267815338;0,000000001682;-0,000000000951;0,000003899029;0,000000807447;0,500018809701;-0,143240356877;0,000000012236;-0,000000008539;0,000002264665;0,000000441698;0,500018809701;-0,147248202152;0,000000006717;-0,000000005264
20h03m05s,51m;0,000006975434;0,000001505713;0,500018809701;-0,207365881271;0,000000018877;-0,000000016036;0,000004745616;0,000001584548;0,500018809701;-0,273495328302;0,000000011173;-0,000000005165;0,000000707472;0,000000158380;0,500018809701;-0,171295273799;0,000000002268;-0,000000001443;0,000001537044;0,000000276560;0,500018809701;-0,161275660613;0,000000004364;-0,000000003725;0,000000016567;0,000000006107;0,500018809701;-0,499938586319;0,000000000410;-0,000000000027;0,000003875986;0,000000874517;0,500018809701;-0,153259970064;0,000000010513;-0,000000006911;0,000000012252;0,000000011255;0,125285276523;-0,499938586319;0,000000000094;-0,000000000032;0,000001979623;0,000000446638;0,500018809701;-0,113181517317;0,000000005945;-0,000000005644;0,000008075376;0,000002656249;0,500018809701;-0,299546322588;0,000000016218;-0,000000012729;0,000001433703;0,000000229650;0,500018809701;-0,161275660613;0,000000004718;-0,000000003423;0,000000013226;0,000000011245;0,500018809701;-0,027012843913;0,000000000193;-0,000000000043;0,000002790414;0,000000529445;0,500018809701;-0,153259970064;0,000000008328;-0,000000005130;0,000000767160;0,000000153388;0,500018809701;-0,151256047426;0,000000002335;-0,000000001781;0,000001002419;0,000000185469;0,500018809701;-0,159271737976;0,000000002995;-0,000000002276;0,000002339895;0,000000424818;0,500018809701;-0,147248202152;0,000000006899;-0,000000004972;0,000000012597;0,000000011009;-0,465871901485;-0,221393339732;0,000000000208;-0,000000000037;0,000000864759;0,000000202366;0,500018809701;-0,135224666328;0,000000003389;-0,000000002354;0,000000442303;0,000000082147;0,500018809701;-0,147248202152;0,000000001756;-0,000000001031;0,000003859192;0,000000805938;0,500018809701;-0,131216821053;0,000000012378;-0,000000008748;0,000002236935;0,000000444978;0,500018809701;-0,139232511602;0,000000006659;-0,000000005480
20h03m12s,58m;0,000006898799;0,000001509203;0,500018809701;-0,195342345447;0,000000018917;-0,000000017158;0,000004695795;0,000001587642;0,500018809701;-0,261471792479;0,000000011255;-0,000000005641;0,000000689818;0,000000158425;0,500018809701;-0,153259970064;0,000000002289;-0,000000001354;0,000001529083;0,000000281316;0,500018809701;-0,151256047426;0,000000004524;-0,000000003673;0,000000016262;0,000000007276;0,463948202229;-0,493926818407;0,000000000150;-0,000000000192;0,000003840344;0,000000875563;0,500018809701;-0,145244279514;0,000000010551;-0,000000007144;0,000000012804;0,000000010830;0,500018809701;-0,499938586319;0,000000000201;-0,000000000039;0,000001967949;0,000000446416;0,500018809701;-0,107169749405;0,000000005869;-0,000000005738;0,000008020330;0,000002654605;0,500018809701;-0,289526709401;0,000000016211;-0,000000012193;0,000001421078;0,000000228723;0,500018809701;-0,151256047426;0,000000004605;-0,000000003631;0,000000012881;0,000000011095;0,500018809701;-0,327601239510;0,000000000152;-0,000000000031;0,000002769222;0,000000529559;0,500018809701;-0,145244279514;0,000000008314;-0,000000005107;0,000000756087;0,000000153052;0,500018809701;-0,139232511602;0,000000002330;-0,000000001745;0,000000988434;0,000000186937;0,500018809701;-0,147248202152;0,000000002897;-0,000000002415;0,000002313718;0,000000431919;0,500018809701;-0,139232511602;0,000000006818;-0,000000005150;0,000000012443;0,000000010862;-0,477895437309;-0,423789526101;0,000000000130;-0,000000000082;0,000000853952;0,000000198786;0,500018809701;-0,129212898416;0,000000003648;-0,000000002285;0,000000436121;0,000000081251;0,500018809701;-0,135224666328;0,000000001612;-0,000000000949;0,000003826637;0,000000807044;0,500018809701;-0,123201130504;0,000000012474;-0,000000008788;0,000002202199;0,000000447357;0,500018809701;-0,133220743690;0,000000006720;-0,000000005444
20h03m19s,67m;0,000006835403;0,000001506279;0,500018809701;-0,187326654898;0,000000018868;-0,000000017319;0,000004652234;0,000001587303;0,500018809701;-0,253456101929;0,000000011293;-0,000000005913;0,000000685514;0,000000158266;0,500018809701;-0,139232511602;0,000000002332;-0,000000001502;0,000001514831;0,000000282818;0,500018809701;-0,149252124789;0,000000004444;-0,000000003678;0,000000016458;0,000000006465;0,465952124867;-0,499938586319;0,000000000144;-0,000000000227;0,000003800482;0,000000873278;0,500018809701;-0,139232511602;0,000000010584;-0,000000007167;0,000000012616;0,000000011465;0,500018809701;-0,323593394235;0,000000000104;-0,000000000040;0,000001948982;0,000000448604;0,500018809701;-0,099154058856;0,000000005961;-0,000000005737;0,000007971354;0,000002656547;0,500018809701;-0,283514941489;0,000000016248;-0,000000012420;0,000001410029;0,000000230101;0,500018809701;-0,147248202152;0,000000004636;-0,000000003698;0,000000012541;0,000000011020;-0,027012843913;0,500018809701;0,000000000028;-0,000000000120;0,000002741711;0,000000530688;0,500018809701;-0,137228588965;0,000000008211;-0,000000005315;0,000000751228;0,000000153763;0,500018809701;-0,135224666328;0,000000002433;-0,000000001783;0,000000983587;0,000000186117;0,500018809701;-0,139232511602;0,000000002930;-0,000000002348;0,000002304185;0,000000430454;0,500018809701;-0,133220743690;0,000000006741;-0,000000005004;0,000000013206;0,000000010880;-0,499938586319;0,500018809701;0,000000000022;-0,000000000197;0,000000843982;0,000000197992;0,500018809701;-0,123201130504;0,000000002966;-0,000000004115;0,000000436289;0,000000081622;0,500018809701;-0,131216821053;0,000000001647;-0,000000001004;0,000003800396;0,000000805367;0,500018809701;-0,117189362592;0,000000012204;-0,000000008946;0,000002187065;0,000000444472;0,500018809701;-0,125205053141;0,000000006675;-0,000000005428
20h03m26s,74m;0,000006789101;0,000001507129;0,500018809701;-0,181314886986;0,000000018834;-0,000000016783;0,000004613941;0,000001588268;0,500018809701;-0,249448256655;0,000000011289;-0,000000006037;0,000000677724;0,000000160089;0,500018809701;-0,143240356877;0,000000002144;-0,000000001427;0,000001498080;0,000000280292;0,500018809701;-0,139232511602;0,000000004502;-0,000000003645;0,000000016422;0,000000006117;0,471963892779;-0,499938586319;0,000000000340;-0,000000000155;0,000003775006;0,000000874921;0,500018809701;-0,131216821053;0,000000010617;-0,000000007272;0,000000012410;0,000000011211;0,431885440032;-0,499938586319;0,000000000116;-0,000000000050;0,000001925372;0,000000446307;0,500018809701;-0,091138368307;0,000000006018;-0,000000005880;0,000007925863;0,000002660487;0,500018809701;-0,277503173577;0,000000016096;-0,000000013002;0,000001397461;0,000000232665;0,500018809701;-0,141236434240;0,000000004648;-0,000000003538;0,000000012925;0,000000010572;0,500018809701;-0,499938586319;0,000000000269;-0,000000000053;0,000002725474;0,000000530361;0,500018809701;-0,133220743690;0,000000008237;-0,000000005266;0,000000748735;0,000000153719;0,500018809701;-0,131216821053;0,000000002382;-0,000000001748;0,000000968329;0,000000187232;0,500018809701;-0,137228588965;0,000000002912;-0,000000002380;0,000002273898;0,000000431191;0,500018809701;-0,129212898416;0,000000006710;-0,000000005098;0,000000012919;0,000000011108;0,500018809701;-0,425793448738;0,000000000081;-0,000000000050;0,000000833900;0,000000208258;0,500018809701;-0,113181517317;0,000000003064;-0,000000002289;0,000000429817;0,000000082058;0,500018809701;-0,131216821053;0,000000001675;-0,000000000960;0,000003771191;0,000000810225;0,500018809701;-0,111177594680;0,000000012346;-0,000000009207;0,000002177791;0,000000443722;0,500018809701;-0,119193285229;0,000000006638;-0,000000005490
20h03m33s,83m;0,000006752343;0,000001505521;0,500018809701;-0,173299196437;0,000000018824;-0,000000017712;0,000004586050;0,000001588708;0,500018809701;-0,241432566105;0,000000011320;-0,000000006258;0,000000667560;0,000000161037;0,500018809701;-0,131216821053;0,000000002232;-0,000000001599;0,000001490799;0,000000280422;0,500018809701;-0,133220743690;0,000000004423;-0,000000003791;0,000000016388;0,000000006688;0,469959970141;-0,499938586319;0,000000000124;-0,000000000245;0,000003753076;0,000000874725;0,500018809701;-0,127208975778;0,000000010662;-0,000000007296;0,000000013045;0,000000010920;0,500018809701;-0,499938586319;0,000000000155;-0,000000000022;0,000001921233;0,000000446478;0,500018809701;-0,087130523032;0,000000005999;-0,000000005783;0,000007890285;0,000002663692;0,500018809701;-0,271491405665;0,000000016191;-0,000000012905;0,000001388176;0,000000230830;0,500018809701;-0,133220743690;0,000000004737;-0,000000003574;0,000000012546;0,000000011457;0,477975660691;0,021081299383;0,000000000056;-0,000000000095;0,000002705223;0,000000530126;0,500018809701;-0,129212898416;0,000000008184;-0,000000005372;0,000000744426;0,000000153407;0,500018809701;-0,125205053141;0,000000002360;-0,000000001763;0,000000971032;0,000000186835;0,500018809701;-0,133220743690;0,000000003368;-0,000000002382;0,000002271705;0,000000424016;0,500018809701;-0,125205053141;0,000000006790;-0,000000005153;0,000000012355;0,000000011266;0,373771683550;-0,221393339732;0,000000000044;-0,000000000150;0,000000833985;0,000000195174;0,500018809701;-0,107169749405;0,000000002945;-0,000000002303;0,000000427504;0,000000080686;0,500018809701;-0,125205053141;0,000000001672;-0,000000001027;0,000003742821;0,000000807467;0,500018809701;-0,105165826768;0,000000012076;-0,000000009036;0,000002160258;0,000000444176;0,500018809701;-0,109173672043;0,000000006769;-0,000000005431
20h03m40s,92m;0,000006707231;0,000001506005;0,500018809701;-0,169291351162;0,000000018756;-0,000000016922;0,000004553962;0,000001589116;0,500018809701;-0,239428643468;0,000000011311;-0,000000006338;0,000000660631;0,000000160538;0,500018809701;-0,129212898416;0,000000002155;-0,000000001591;0,000001485435;0,000000284538;0,500018809701;-0,131216821053;0,000000004416;-0,000000003663;0,000000016599;0,000000005430;0,496010964426;-0,499938586319;0,000000000409;-0,000000000044;0,000003729176;0,000000879597;0,500018809701;-0,123201130504;0,000000010579;-0,000000007349;0,000000012447;0,000000010452;0,500018809701;-0,499938586319;0,000000000148;-0,000000000026;0,000001910887;0,000000450630;0,500018809701;-0,081118755120;0,000000005951;-0,000000005837;0,000007856834;0,000002664583;0,500018809701;-0,267483560391;0,000000016029;-0,000000012988;0,000001378861;0,000000234808;0,500018809701;-0,137228588965;0,000000004535;-0,000000003447;0,000000012323;0,000000011063;-0,499938586319;0,500018809701;0,000000000042;-0,000000000188;0,000002694987;0,000000532690;0,500018809701;-0,121197207867;0,000000008300;-0,000000005455;0,000000736494;0,000000154326;0,500018809701;-0,119193285229;0,000000002249;-0,000000001799;0,000000957442;0,000000188294;0,500018809701;-0,123201130504;0,000000002922;-0,000000002327;0,000002243666;0,000000425902;0,500018809701;-0,117189362592;0,000000006983;-0,000000005097;0,000000012528;0,000000011085;-0,499938586319;0,021081299383;0,000000000037;-0,000000000175;0,000000826011;0,000000197393;0,500018809701;-0,117189362592;0,000000002742;-0,000000002475;0,000000424634;0,000000079955;0,500018809701;-0,123201130504;0,000000001704;-0,000000001022;0,000003724679;0,000000808748;0,500018809701;-0,101157981493;0,000000012058;-0,000000009205;0,000002154969;0,000000443937;0,500018809701;-0,103161904131;0,000000006774;-0,000000005449
20h03m48s,02m;0,000006678649;0,000001508697;0,500018809701;-0,163279583250;0,000000018749;-0,000000017250;0,000004528655;0,000001589736;0,500018809701;-0,233416875556;0,000000011358;-0,000000006349;0,000000659203;0,000000159702;0,500018809701;-0,119193285229;0,000000002215;-0,000000001630;0,000001472609;0,000000281919;0,500018809701;-0,121197207867;0,000000004486;-0,000000003711;0,000000015780;0,000000004776;0,500018809701;-0,499938586319;0,000000000511;-0,000000000017;0,000003704106;0,000000875580;0,500018809701;-0,119193285229;0,000000010575;-0,000000007310;0,000000012215;0,000000010676;-0,021001076001;0,500018809701;0,000000000040;-0,000000000134;0,000001898482;0,000000446583;0,500018809701;-0,079114832483;0,000000006008;-0,000000005858;0,000007825639;0,000002673011;0,500018809701;-0,259467869841;0,000000015988;-0,000000013457;0,000001376694;0,000000229417;0,500018809701;-0,123201130504;0,000000004561;-0,000000003423;0,000000012668;0,000000010362;0,417857981571;-0,499938586319;0,000000000156;-0,000000000058;0,000002676905;0,000000533162;0,500018809701;-0,113181517317;0,000000008125;-0,000000005495;0,000000735973;0,000000155618;0,500018809701;-0,113181517317;0,000000002457;-0,000000001837;0,000000953911;0,000000185359;0,500018809701;-0,121197207867;0,000000002922;-0,000000002377;0,000002230452;0,000000429998;0,500018809701;-0,117189362592;0,000000006937;-0,000000005125;0,000000012134;0,000000010968;0,333693230804;-0,499938586319;0,000000000049;-0,000000000023;0,000000840682;0,000000202157;0,500018809701;-0,103161904131;0,000000002925;-0,000000002851;0,000000418615;0,000000081071;0,500018809701;-0,115185439955;0,000000001588;-0,000000001302;0,000003703944;0,000000809739;0,500018809701;-0,097150136219;0,000000012165;-0,000000009097;0,000002146780;0,000000444297;0,500018809701;-0,107169749405;0,000000006686;-0,000000005472
20h03m55s,10m;0,000006654763;0,000001506540;0,500018809701;-0,161275660613;0,000000018844;-0,000000017180;0,000004506982;0,000001590724;0,500018809701;-0,229409030282;0,000000011327;-0,000000006958;0,000000658232;0,000000159914;0,500018809701;-0,119193285229;0,000000002232;-0,000000002432;0,000001470948;0,000000281580;0,500018809701;-0,119193285229;0,000000004482;-0,000000003682;0,000000016752;0,000000005202;0,500018809701;-0,499938586319;0,000000000400;-0,000000000016;0,000003692661;0,000000875510;0,500018809701;-0,113181517317;0,000000010593;-0,000000007347;0,000000012661;0,000000011191;0,465952124867;0,500018809701;0,000000000037;-0,000000000199;0,000001892021;0,000000448988;0,500018809701;-0,075106987208;0,000000005922;-0,000000005783;0,000007803190;0,000002675762;0,500018809701;-0,255460024567;0,000000016023;-0,000000013599;0,000001371998;0,000000232039;0,500018809701;-0,123201130504;0,000000004624;-0,000000003387;0,000000013175;0,000000010571;-0,499938586319;0,500018809701;0,000000000037;-0,000000000270;0,000002670660;0,000000534381;0,500018809701;-0,115185439955;0,000000008211;-0,000000005490;0,000000730929;0,000000154211;0,500018809701;-0,117189362592;0,000000002217;-0,000000001824;0,000000949036;0,000000185549;0,500018809701;-0,117189362592;0,000000002939;-0,000000002386;0,000002215070;0,000000428078;0,500018809701;-0,109173672043;0,000000006675;-0,000000005081;0,000000012312;0,000000011371;0,467956047504;-0,167287428525;0,000000000033;-0,000000000125;0,000000828585;0,000000204599;0,500018809701;-0,111177594680;0,000000002897;-0,000000002447;0,000000416990;0,000000079735;0,500018809701;-0,119193285229;0,000000001865;-0,000000001024;0,000003694979;0,000000808607;0,500018809701;-0,097150136219;0,000000012042;-0,000000009202;0,000002128917;0,000000446152;0,500018809701;-0,099154058856;0,000000006702;-0,000000005431
