Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-04-03_12h28m11s,99m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
12h28m17s,74m;0,000006758684;0,000001613350;0,500018809701;-0,067091296659;0,000000024037;-0,000000021103;0,000002326615;0,000002118661;-0,233416875556;0,500018809701;0,000000000514;-0,000000001263;0,000000312039;0,000000265640;-0,119193285229;0,500018809701;0,000000000289;-0,000000000370;0,000000963204;0,000000886486;-0,225401185007;0,500018809701;0,000000000284;-0,000000001016;0,000000086916;0,000000000840;0,500018809701;-0,499938586319;0,000000001014;-0,000000000019;0,000001979707;0,000001862240;-0,221393339732;0,500018809701;0,000000000446;-0,000000000872;0,000000012938;0,000000011387;-0,277503173577;-0,223397262370;0,000000000149;-0,000000000066;0,000002138028;0,000000498849;0,500018809701;-0,035028534462;0,000000008660;-0,000000008359;0,000008368729;0,000003271778;0,500018809701;-0,141236434240;0,000000020089;-0,000000020730;0,000001466488;0,000000250642;0,500018809701;-0,077110909846;0,000000005345;-0,000000004965;0,000000013893;0,000000011159;0,500018809701;-0,499938586319;0,000000000262;-0,000000000032;0,000002995898;0,000000587061;0,500018809701;-0,045048147649;0,000000011980;-0,000000007614;0,000000718540;0,000000158087;0,500018809701;-0,039036379737;0,000000002947;-0,000000002482;0,000001002834;0,000000212726;0,500018809701;-0,039036379737;0,000000003675;-0,000000003421;0,000002331668;0,000000488726;0,500018809701;-0,033024611825;0,000000008051;-0,000000007615;0,000000012692;0,000000011449;0,425873672120;-0,499938586319;0,000000000069;-0,000000000036;0,000000895145;0,000000203882;0,500018809701;-0,067091296659;0,000000003558;-0,000000003466;0,000000122088;0,000000111102;0,071179365316;-0,499938586319;0,000000000108;-0,000000000105;0,000003848667;0,000000858462;0,500018809701;-0,059075606110;0,000000014172;-0,000000012765;0,000002823673;0,000000560526;0,500018809701;-0,067091296659;0,000000010078;-0,000000009779
12h28m24s,95m;0,000006794189;0,000001619436;0,500018809701;-0,067091296659;0,000000024731;-0,000000020808;0,000001756455;0,000001630572;-0,223397262370;0,500018809701;0,000000000516;-0,000000000680;0,000000218967;0,000000193199;-0,159271737976;0,500018809701;0,000000000254;-0,000000000213;0,000000665620;0,000000591096;-0,163279583250;0,500018809701;0,000000000359;-0,000000000393;0,000000081540;-0,000000011305;0,500018809701;-0,499938586319;0,000000002127;-0,000000000024;0,000001422344;0,000001323138;-0,169291351162;0,500018809701;0,000000000541;-0,000000000529;0,000000013120;0,000000011644;0,500018809701;0,075187210590;0,000000000120;-0,000000000033;0,000002097342;0,000000490930;0,500018809701;-0,029016766550;0,000000008152;-0,000000008068;0,000008355403;0,000003207767;0,500018809701;-0,137228588965;0,000000020313;-0,000000022415;0,000001452414;0,000000250908;0,500018809701;-0,071099141934;0,000000005245;-0,000000005025;0,000000013059;0,000000011767;0,223477485752;0,373771683550;0,000000000168;-0,000000000057;0,000003018459;0,000000584469;0,500018809701;-0,043044225011;0,000000012050;-0,000000007501;0,000000728230;0,000000159520;0,500018809701;-0,037032457099;0,000000002790;-0,000000002496;0,000000990793;0,000000211464;0,500018809701;-0,031020689187;0,000000003629;-0,000000003403;0,000002375817;0,000000480565;0,500018809701;-0,023004998638;0,000000008642;-0,000000007277;0,000000012981;0,000000011394;-0,499938586319;0,023085222020;0,000000000057;-0,000000000217;0,000000881577;0,000000214553;0,500018809701;-0,065087374022;0,000000003582;-0,000000004457;0,000000099449;0,000000088723;-0,071099141934;-0,499938586319;0,000000000257;-0,000000000062;0,000003887455;0,000000866484;0,500018809701;-0,053063838198;0,000000014233;-0,000000012312;0,000002765118;0,000000556200;0,500018809701;-0,063083451384;0,000000009865;-0,000000009750
12h28m32s,04m;0,000006885220;0,000001618814;0,500018809701;-0,063083451384;0,000000024018;-0,000000020809;0,000001663623;0,000001556940;-0,135224666328;0,500018809701;0,000000000466;-0,000000000719;0,000000196231;0,000000176596;-0,185322732261;0,500018809701;0,000000000444;-0,000000000240;0,000000557473;0,000000492534;-0,087130523032;0,500018809701;0,000000000449;-0,000000000466;0,000000080355;-0,000000014224;0,500018809701;-0,499938586319;0,000000002505;-0,000000000010;0,000001217104;0,000001119048;-0,169291351162;0,500018809701;0,000000000677;-0,000000000701;0,000000012923;0,000000010686;0,500018809701;-0,499938586319;0,000000000226;-0,000000000051;0,000002092854;0,000000487866;0,500018809701;-0,025008921275;0,000000007943;-0,000000008067;0,000008339010;0,000003167320;0,500018809701;-0,131216821053;0,000000020665;-0,000000019262;0,000001445058;0,000000249962;0,500018809701;-0,067091296659;0,000000005401;-0,000000004968;0,000000013338;0,000000012010;-0,423789526101;-0,473887592034;0,000000000070;-0,000000000187;0,000002993758;0,000000580010;0,500018809701;-0,035028534462;0,000000012075;-0,000000007482;0,000000721448;0,000000159932;0,500018809701;-0,029016766550;0,000000002738;-0,000000002496;0,000000983595;0,000000203658;0,500018809701;-0,025008921275;0,000000003584;-0,000000003309;0,000002382184;0,000000460710;0,500018809701;-0,021001076001;0,000000008774;-0,000000007288;0,000000013528;0,000000011560;0,500018809701;-0,023004998638;0,000000000224;-0,000000000039;0,000000903715;0,000000207427;0,500018809701;-0,047052070286;0,000000003470;-0,000000003650;0,000000089733;0,000000080501;-0,119193285229;-0,469879746759;0,000000000099;-0,000000000369;0,000003884696;0,000000879655;0,500018809701;-0,045048147649;0,000000014320;-0,000000012112;0,000002754998;0,000000554901;0,500018809701;-0,059075606110;0,000000009598;-0,000000009846
12h28m39s,28m;0,000006901532;0,000001618459;0,500018809701;-0,055067760835;0,000000023866;-0,000000020694;0,000001654916;0,000001543498;-0,161275660613;0,500018809701;0,000000000518;-0,000000000669;0,000000194971;0,000000174384;-0,029016766550;0,500018809701;0,000000000168;-0,000000000346;0,000000514377;0,000000447185;-0,209369803908;0,500018809701;0,000000000392;-0,000000000515;0,000000081267;-0,000000015339;0,500018809701;-0,499938586319;0,000000002692;-0,000000000012;0,000001132029;0,000001037770;-0,167287428525;0,500018809701;0,000000000891;-0,000000000570;0,000000013006;0,000000011374;0,225481408389;-0,499938586319;0,000000000151;-0,000000000034;0,000002078632;0,000000486545;0,500018809701;-0,021001076001;0,000000007879;-0,000000008286;0,000008329198;0,000003137678;0,500018809701;-0,129212898416;0,000000020699;-0,000000020786;0,000001429436;0,000000251727;0,500018809701;-0,063083451384;0,000000005437;-0,000000004991;0,000000013254;0,000000011894;-0,325597316873;-0,473887592034;0,000000000094;-0,000000000161;0,000002970127;0,000000579764;0,500018809701;-0,035028534462;0,000000011972;-0,000000007608;0,000000741815;0,000000161731;0,500018809701;-0,023004998638;0,000000002760;-0,000000002430;0,000000990116;0,000000205676;0,500018809701;-0,021001076001;0,000000003645;-0,000000003207;0,000002367986;0,000000464334;0,500018809701;-0,016993230726;0,000000008910;-0,000000007332;0,000000012742;0,000000011468;0,425873672120;0,073183287953;0,000000000098;-0,000000000043;0,000000889352;0,000000214041;0,500018809701;-0,057071683472;0,000000003533;-0,000000003989;0,000000086798;0,000000078715;-0,021001076001;-0,471883669397;0,000000000083;-0,000000000198;0,000003863948;0,000000873779;0,500018809701;-0,041040302374;0,000000014038;-0,000000012118;0,000002717138;0,000000551129;0,500018809701;-0,053063838198;0,000000009633;-0,000000009757
12h28m46s,43m;0,000006927044;0,000001626453;0,500018809701;-0,055067760835;0,000000023448;-0,000000020708;0,000001645448;0,000001530888;-0,139232511602;0,500018809701;0,000000000604;-0,000000000500;0,000000184511;0,000000165911;-0,137228588965;0,500018809701;0,000000000191;-0,000000000275;0,000000485037;0,000000411614;-0,113181517317;0,500018809701;0,000000000435;-0,000000000804;0,000000082620;-0,000000013492;0,500018809701;-0,499938586319;0,000000002507;-0,000000000028;0,000001070015;0,000000977939;-0,173299196437;0,500018809701;0,000000001113;-0,000000000476;0,000000012873;0,000000011754;0,421865826846;0,469959970141;0,000000000187;-0,000000000068;0,000002094509;0,000000492856;0,500018809701;-0,016993230726;0,000000008064;-0,000000008291;0,000008327796;0,000003114711;0,500018809701;-0,127208975778;0,000000020794;-0,000000019408;0,000001424638;0,000000252039;0,500018809701;-0,061079528747;0,000000005289;-0,000000004966;0,000000013671;0,000000011805;0,500018809701;-0,223397262370;0,000000000090;-0,000000000079;0,000002958503;0,000000580449;0,500018809701;-0,033024611825;0,000000011823;-0,000000007715;0,000000737577;0,000000160076;0,500018809701;-0,021001076001;0,000000002807;-0,000000002456;0,000000975659;0,000000202576;0,500018809701;-0,016993230726;0,000000003653;-0,000000003366;0,000002351609;0,000000470280;0,500018809701;-0,014989308089;0,000000008781;-0,000000007263;0,000000012903;0,000000011444;-0,327601239510;-0,175303119074;0,000000000063;-0,000000000233;0,000000892601;0,000000213076;0,500018809701;-0,035028534462;0,000000003752;-0,000000003425;0,000000446730;0,000000088356;0,500018809701;-0,025008921275;0,000000001813;-0,000000001781;0,000003849419;0,000000859042;0,500018809701;-0,031020689187;0,000000014369;-0,000000012285;0,000002690995;0,000000550439;0,500018809701;-0,045048147649;0,000000009863;-0,000000009822
12h28m53s,61m;0,000006976024;0,000001687538;0,500018809701;-0,055067760835;0,000000023185;-0,000000020184;0,000001643460;0,000001522682;-0,207365881271;0,500018809701;0,000000000689;-0,000000000527;0,000000182829;0,000000162244;-0,107169749405;0,500018809701;0,000000000176;-0,000000000139;0,000000473002;0,000000398115;-0,131216821053;0,500018809701;0,000000000520;-0,000000000412;0,000000080057;-0,000000010847;0,500018809701;-0,499938586319;0,000000001933;-0,000000000006;0,000001038499;0,000000946143;-0,129212898416;0,500018809701;0,000000000597;-0,000000000568;0,000000013331;0,000000011274;-0,499938586319;0,500018809701;0,000000000058;-0,000000000244;0,000002088601;0,000000499967;0,500018809701;-0,014989308089;0,000000007767;-0,000000008213;0,000008299881;0,000003095604;0,500018809701;-0,123201130504;0,000000020830;-0,000000017865;0,000001417673;0,000000253372;0,500018809701;-0,055067760835;0,000000005319;-0,000000004929;0,000000013377;0,000000011657;0,421865826846;-0,499938586319;0,000000000169;-0,000000000079;0,000002940087;0,000000579655;0,500018809701;-0,031020689187;0,000000011817;-0,000000007727;0,000000715321;0,000000162086;0,500018809701;-0,016993230726;0,000000002834;-0,000000002451;0,000000964941;0,000000204140;0,500018809701;-0,008977540177;0,000000003648;-0,000000003262;0,000002346279;0,000000472604;0,500018809701;-0,008977540177;0,000000008924;-0,000000007236;0,000000013759;0,000000011029;0,500018809701;-0,499938586319;0,000000000286;-0,000000000040;0,000000876964;0,000000216191;0,500018809701;-0,027012843913;0,000000003488;-0,000000003424;0,000000438972;0,000000088112;0,500018809701;-0,023004998638;0,000000001740;-0,000000001788;0,000003832242;0,000000860193;0,500018809701;-0,029016766550;0,000000014197;-0,000000012338;0,000002686167;0,000000548180;0,500018809701;-0,045048147649;0,000000009606;-0,000000009499
12h29m00s,76m;0,000007000425;0,000001712259;0,500018809701;-0,053063838198;0,000000023495;-0,000000020427;0,000001648204;0,000001519522;-0,171295273799;0,500018809701;0,000000001115;-0,000000000570;0,000000180759;0,000000163237;-0,077110909846;0,500018809701;0,000000000299;-0,000000000140;0,000000459260;0,000000383595;-0,099154058856;0,500018809701;0,000000000684;-0,000000000406;0,000000082509;-0,000000013519;0,500018809701;-0,499938586319;0,000000002323;-0,000000000003;0,000001012670;0,000000929647;-0,095146213581;0,500018809701;0,000000000760;-0,000000000449;0,000000013065;0,000000011489;-0,425793448738;-0,171295273799;0,000000000079;-0,000000000193;0,000002083639;0,000000495734;0,500018809701;-0,012985385452;0,000000007765;-0,000000008412;0,000008279940;0,000003084602;0,500018809701;-0,119193285229;0,000000020933;-0,000000017974;0,000001409153;0,000000252434;0,500018809701;-0,055067760835;0,000000005403;-0,000000005007;0,000000013119;0,000000011955;0,321669694980;0,471963892779;0,000000000144;-0,000000000053;0,000002930518;0,000000579173;0,500018809701;-0,027012843913;0,000000011724;-0,000000007670;0,000000720884;0,000000159487;0,500018809701;-0,012985385452;0,000000002736;-0,000000002432;0,000000959522;0,000000202907;0,500018809701;-0,002965772265;0,000000003674;-0,000000003343;0,000002370456;0,000000483914;0,500018809701;-0,004969694902;0,000000009079;-0,000000007102;0,000000013773;0,000000011253;0,500018809701;-0,499938586319;0,000000000210;-0,000000000038;0,000000840045;0,000000206438;0,500018809701;-0,027012843913;0,000000003821;-0,000000003479;0,000000437245;0,000000086411;0,500018809701;-0,025008921275;0,000000001923;-0,000000002172;0,000003820498;0,000000858421;0,500018809701;-0,025008921275;0,000000014338;-0,000000012268;0,000002689149;0,000000549531;0,500018809701;-0,041040302374;0,000000009406;-0,000000009614
12h29m07s,96m;0,000006981189;0,000001712645;0,500018809701;-0,049055992923;0,000000023695;-0,000000020357;0,000001658431;0,000001516949;-0,167287428525;0,500018809701;0,000000000735;-0,000000000631;0,000000179646;0,000000160069;-0,179310964349;-0,499938586319;0,000000000569;-0,000000000115;0,000000459233;0,000000380272;-0,089134445670;0,500018809701;0,000000000793;-0,000000000428;0,000000080932;-0,000000011607;0,500018809701;-0,499938586319;0,000000001919;-0,000000000030;0,000000999553;0,000000917780;-0,091138368307;0,500018809701;0,000000000545;-0,000000000455;0,000000013421;0,000000011498;-0,499938586319;0,500018809701;0,000000000029;-0,000000000227;0,000002086167;0,000000496784;0,500018809701;-0,010981462814;0,000000007808;-0,000000008436;0,000008266216;0,000003075097;0,500018809701;-0,117189362592;0,000000020884;-0,000000018149;0,000001403082;0,000000253219;0,500018809701;-0,049055992923;0,000000005359;-0,000000004903;0,000000013876;0,000000011978;0,500018809701;0,077191133228;0,000000000114;-0,000000000040;0,000002925382;0,000000577403;0,500018809701;-0,025008921275;0,000000011771;-0,000000007636;0,000000720630;0,000000161884;0,500018809701;-0,010981462814;0,000000002724;-0,000000002512;0,000000957564;0,000000203957;0,500018809701;-0,006973617540;0,000000003595;-0,000000003274;0,000002372577;0,000000488596;0,500018809701;0,001042073010;0,000000009074;-0,000000006835;0,000000013632;0,000000011330;-0,499938586319;0,023085222020;0,000000000075;-0,000000000230;0,000000875855;0,000000218781;0,500018809701;-0,027012843913;0,000000004523;-0,000000003428;0,000000442567;0,000000086423;0,500018809701;-0,014989308089;0,000000001888;-0,000000001874;0,000003808585;0,000000858657;0,500018809701;-0,023004998638;0,000000014323;-0,000000012145;0,000002668512;0,000000552955;0,500018809701;-0,039036379737;0,000000009466;-0,000000009636
12h29m15s,18m;0,000006980732;0,000001723281;0,500018809701;-0,049055992923;0,000000023684;-0,000000020429;0,000001666634;0,000001516891;-0,173299196437;0,500018809701;0,000000000904;-0,000000000630;0,000000180625;0,000000159467;-0,123201130504;0,500018809701;0,000000000220;-0,000000000128;0,000000453568;0,000000370278;-0,123201130504;0,500018809701;0,000000000617;-0,000000000794;0,000000080543;-0,000000007411;0,500018809701;-0,499938586319;0,000000001791;-0,000000000021;0,000000985010;0,000000905548;-0,137228588965;0,500018809701;0,000000000523;-0,000000000562;0,000000013185;0,000000011653;0,475971738053;0,421865826846;0,000000000168;-0,000000000154;0,000002088043;0,000000497796;0,500018809701;-0,010981462814;0,000000007798;-0,000000008368;0,000008248527;0,000003069844;0,500018809701;-0,115185439955;0,000000020853;-0,000000018426;0,000001399831;0,000000251372;0,500018809701;-0,045048147649;0,000000005344;-0,000000005027;0,000000013376;0,000000011546;0,227485331026;-0,499938586319;0,000000000068;-0,000000000046;0,000002908291;0,000000577561;0,500018809701;-0,023004998638;0,000000011679;-0,000000007729;0,000000728587;0,000000166384;0,500018809701;-0,010981462814;0,000000002610;-0,000000002536;0,000000953418;0,000000202972;0,500018809701;0,003045995647;0,000000003614;-0,000000003224;0,000002383011;0,000000496164;0,500018809701;0,003045995647;0,000000009089;-0,000000006866;0,000000012882;0,000000011752;0,469959970141;0,500018809701;0,000000000107;-0,000000000185;0,000000874606;0,000000209184;0,500018809701;-0,023004998638;0,000000003840;-0,000000003315;0,000000433531;0,000000085939;0,500018809701;-0,014989308089;0,000000001807;-0,000000001599;0,000003815281;0,000000860986;0,500018809701;-0,018997153363;0,000000014476;-0,000000012306;0,000002686482;0,000000546634;0,500018809701;-0,033024611825;0,000000009598;-0,000000009614
12h29m22s,33m;0,000006973391;0,000001724054;0,500018809701;-0,045048147649;0,000000024100;-0,000000020500;0,000001665734;0,000001514474;-0,171295273799;0,500018809701;0,000000001198;-0,000000000640;0,000000180163;0,000000158593;-0,139232511602;-0,499938586319;0,000000000406;-0,000000000142;0,000000445719;0,000000363190;-0,097150136219;0,500018809701;0,000000000641;-0,000000000479;0,000000080114;-0,000000016964;0,500018809701;-0,499938586319;0,000000002376;-0,000000000045;0,000000969413;0,000000896051;-0,127208975778;0,500018809701;0,000000000500;-0,000000000404;0,000000012786;0,000000010912;0,461944279592;0,500018809701;0,000000000063;-0,000000000211;0,000002094632;0,000000500597;0,500018809701;-0,006973617540;0,000000007802;-0,000000008527;0,000008218224;0,000003065312;0,500018809701;-0,111177594680;0,000000020952;-0,000000018477;0,000001392568;0,000000254029;0,500018809701;-0,045048147649;0,000000005457;-0,000000004872;0,000000013240;0,000000011805;-0,275499250940;-0,425793448738;0,000000000053;-0,000000000076;0,000002898194;0,000000577199;0,500018809701;-0,021001076001;0,000000011708;-0,000000007689;0,000000723593;0,000000165965;0,500018809701;-0,006973617540;0,000000002796;-0,000000002533;0,000000949987;0,000000205855;0,500018809701;0,003045995647;0,000000003533;-0,000000003159;0,000002367710;0,000000488963;0,500018809701;0,003045995647;0,000000008957;-0,000000006776;0,000000013256;0,000000011694;0,500018809701;0,371767760913;0,000000000234;-0,000000000053;0,000000849963;0,000000212697;0,500018809701;-0,018997153363;0,000000004211;-0,000000003548;0,000000430935;0,000000086735;0,500018809701;-0,002965772265;0,000000001802;-0,000000001764;0,000003785545;0,000000860727;0,500018809701;-0,016993230726;0,000000014329;-0,000000012182;0,000002677291;0,000000546040;0,500018809701;-0,031020689187;0,000000009567;-0,000000009642
