Number of Devices Configurations: 20;;;;;;;;;;;;;;;;;;;;
Fixed Source: Voltage Source 2;;;;;;;;;;;;;;;;;;;;
Fixed Source Value: 0,010000509846000;;;;;;;;;;;;;;;;;;;;
Variable Source: Voltage Source 1;;;;;;;;;;;;;;;;;;;;
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps;;;;;;;;;;;;;;;;;;;;
Display Measurement: ;;;;;;;;;;;;;;;;;;;;
ADC Gain: 10;;;;;;;;;;;;;;;;;;;;
Sense Resistor 1: 100;;;;;;;;;;;;;;;;;;;;
Sense Resistor 2: 998;;;;;;;;;;;;;;;;;;;;
Time to Wait After Each Sweep (ms): 1000;;;;;;;;;;;;;;;;;;;;
Delay after each Step inside sweep (us): 200;;;;;;;;;;;;;;;;;;;;
Number of ADC readings at each setpoint (for averages):  2;;;;;;;;;;;;;;;;;;;;
forward and backward sweep: FALSE;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
2025-04-07_11h50m01s,71m;;;;;;;;;;;;;;;;;;;;
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,499938586;5,24332E-07;5,85985E-07;6,97702E-07;1,38323E-06;4,87118E-08;6,46417E-07;3,49106E-06;6,52132E-07;6,58845E-07;8,11796E-07;2,42155E-06;2,36172E-06;1,17413E-08;2,1258E-06;3,93354E-07;1,83554E-06;1,08951E-08;8,83103E-09;1,02633E-08;8,67742E-07
-0,497934664;5,2049E-07;5,83578E-07;6,94755E-07;1,37838E-06;4,83929E-08;6,43807E-07;3,47974E-06;6,49401E-07;6,57191E-07;8,0795E-07;2,41469E-06;2,35972E-06;1,18501E-08;2,11814E-06;3,92762E-07;1,82852E-06;1,09814E-08;9,14151E-09;1,03711E-08;8,64166E-07
-0,495930741;5,16664E-07;5,81121E-07;6,91767E-07;1,37346E-06;4,80713E-08;6,41172E-07;3,46835E-06;6,46653E-07;6,5552E-07;8,04154E-07;2,40774E-06;2,35768E-06;1,19509E-08;2,11045E-06;3,92156E-07;1,8215E-06;1,10631E-08;9,43548E-09;1,04742E-08;8,60602E-07
-0,493926818;5,12854E-07;5,78614E-07;6,88736E-07;1,36848E-06;4,77469E-08;6,38513E-07;3,45691E-06;6,43887E-07;6,53833E-07;8,00408E-07;2,4007E-06;2,35558E-06;1,20437E-08;2,10271E-06;3,91538E-07;1,81447E-06;1,11401E-08;9,71294E-09;1,05724E-08;8,5705E-07
-0,491922896;5,09061E-07;5,76058E-07;6,85662E-07;1,36344E-06;4,74198E-08;6,3583E-07;3,4454E-06;6,41105E-07;6,52128E-07;7,96712E-07;2,39357E-06;2,35344E-06;1,21285E-08;2,09494E-06;3,90907E-07;1,80743E-06;1,12124E-08;9,97389E-09;1,06659E-08;8,5351E-07
-0,489918973;5,05284E-07;5,73452E-07;6,82546E-07;1,35834E-06;4,70899E-08;6,33121E-07;3,43384E-06;6,38305E-07;6,50406E-07;7,93066E-07;2,38635E-06;2,35124E-06;1,22054E-08;2,08712E-06;3,90263E-07;1,80038E-06;1,128E-08;1,02183E-08;1,07547E-08;8,49983E-07
-0,48791505;5,01523E-07;5,70797E-07;6,79388E-07;1,35318E-06;4,67572E-08;6,30388E-07;3,42221E-06;6,35488E-07;6,48667E-07;7,8947E-07;2,37904E-06;2,349E-06;1,22743E-08;2,07926E-06;3,89606E-07;1,79332E-06;1,13429E-08;1,04463E-08;1,08386E-08;8,46467E-07
-0,485911128;4,97779E-07;5,68092E-07;6,76188E-07;1,34796E-06;4,64218E-08;6,27631E-07;3,41052E-06;6,32654E-07;6,46912E-07;7,85924E-07;2,37164E-06;2,34671E-06;1,23352E-08;2,07136E-06;3,88936E-07;1,78626E-06;1,14011E-08;1,06577E-08;1,09178E-08;8,42964E-07
-0,483907205;4,94051E-07;5,65337E-07;6,72945E-07;1,34267E-06;4,60836E-08;6,24849E-07;3,39877E-06;6,29802E-07;6,45139E-07;7,82429E-07;2,36415E-06;2,34437E-06;1,23881E-08;2,06342E-06;3,88253E-07;1,77918E-06;1,14546E-08;1,08526E-08;1,09922E-08;8,39473E-07
-0,481903283;4,9034E-07;5,62533E-07;6,69659E-07;1,33732E-06;4,57426E-08;6,22042E-07;3,38696E-06;6,26934E-07;6,43349E-07;7,78983E-07;2,35658E-06;2,34198E-06;1,24331E-08;2,05544E-06;3,87557E-07;1,7721E-06;1,15035E-08;1,1031E-08;1,10618E-08;8,35994E-07
-0,47989936;4,86645E-07;5,59679E-07;6,66332E-07;1,33192E-06;4,53989E-08;6,19211E-07;3,37508E-06;6,24049E-07;6,41543E-07;7,75588E-07;2,34891E-06;2,33955E-06;1,247E-08;2,04742E-06;3,86848E-07;1,76501E-06;1,15476E-08;1,11929E-08;1,11267E-08;8,32527E-07
-0,477895437;4,82966E-07;5,56775E-07;6,62962E-07;1,32645E-06;4,50525E-08;6,16355E-07;3,36315E-06;6,21146E-07;6,39719E-07;7,72242E-07;2,34115E-06;2,33706E-06;1,2499E-08;2,03936E-06;3,86126E-07;1,75792E-06;1,1587E-08;1,13383E-08;1,11867E-08;8,29072E-07
-0,475891515;4,79304E-07;5,53822E-07;6,59549E-07;1,32091E-06;4,47032E-08;6,13474E-07;3,35116E-06;6,18226E-07;6,37879E-07;7,68947E-07;2,3333E-06;2,33452E-06;1,252E-08;2,03125E-06;3,85391E-07;1,75081E-06;1,16218E-08;1,14672E-08;1,1242E-08;8,25629E-07
-0,473887592;4,75658E-07;5,50819E-07;6,56094E-07;1,31532E-06;4,43513E-08;6,10569E-07;3,3391E-06;6,15289E-07;6,36021E-07;7,65702E-07;2,32536E-06;2,33194E-06;1,25331E-08;2,02311E-06;3,84643E-07;1,7437E-06;1,16518E-08;1,15795E-08;1,12926E-08;8,22199E-07
-0,471883669;4,72028E-07;5,47766E-07;6,52597E-07;1,30967E-06;4,39965E-08;6,0764E-07;3,32698E-06;6,12335E-07;6,34147E-07;7,62507E-07;2,31734E-06;2,32931E-06;1,25381E-08;2,01492E-06;3,83881E-07;1,73658E-06;1,16772E-08;1,16754E-08;1,13383E-08;8,1878E-07
-0,469879747;4,68415E-07;5,44664E-07;6,49058E-07;1,30395E-06;4,3639E-08;6,04685E-07;3,3148E-06;6,09364E-07;6,32256E-07;7,59361E-07;2,30922E-06;2,32663E-06;1,25352E-08;2,0067E-06;3,83107E-07;1,72945E-06;1,16979E-08;1,17547E-08;1,13793E-08;8,15374E-07
-0,467875824;4,64819E-07;5,41512E-07;6,45476E-07;1,29817E-06;4,32788E-08;6,01706E-07;3,30257E-06;6,06375E-07;6,30347E-07;7,56266E-07;2,30101E-06;2,32389E-06;1,25242E-08;1,99843E-06;3,8232E-07;1,72231E-06;1,17138E-08;1,18176E-08;1,14155E-08;8,1198E-07
-0,465871901;4,61238E-07;5,3831E-07;6,41852E-07;1,29233E-06;4,29158E-08;5,98703E-07;3,29027E-06;6,0337E-07;6,28422E-07;7,53221E-07;2,29272E-06;2,32112E-06;1,25053E-08;1,99013E-06;3,8152E-07;1,71517E-06;1,17251E-08;1,18639E-08;1,14469E-08;8,08598E-07
-0,463867979;4,57674E-07;5,35059E-07;6,38185E-07;1,28643E-06;4,255E-08;5,95675E-07;3,2779E-06;6,00347E-07;6,2648E-07;7,50226E-07;2,28433E-06;2,31829E-06;1,24785E-08;1,98178E-06;3,80707E-07;1,70801E-06;1,17317E-08;1,18937E-08;1,14736E-08;8,05228E-07
-0,461864056;4,54127E-07;5,31758E-07;6,34476E-07;1,28047E-06;4,21815E-08;5,92623E-07;3,26548E-06;5,97307E-07;6,2452E-07;7,47282E-07;2,27586E-06;2,31541E-06;1,24436E-08;1,97339E-06;3,79881E-07;1,70085E-06;1,17336E-08;1,1907E-08;1,14954E-08;8,0187E-07
-0,459860134;4,50596E-07;5,28408E-07;6,30725E-07;1,27444E-06;4,18102E-08;5,89545E-07;3,253E-06;5,9425E-07;6,22544E-07;7,44387E-07;2,26729E-06;2,31248E-06;1,24008E-08;1,96496E-06;3,79042E-07;1,69368E-06;1,17308E-08;1,19038E-08;1,15125E-08;7,98525E-07
-0,457856211;4,47081E-07;5,25007E-07;6,26931E-07;1,26836E-06;4,14361E-08;5,86444E-07;3,24045E-06;5,91176E-07;6,20551E-07;7,41542E-07;2,25864E-06;2,30951E-06;1,23499E-08;1,95649E-06;3,78189E-07;1,68651E-06;1,17233E-08;1,18841E-08;1,15249E-08;7,95191E-07
-0,455852288;4,43583E-07;5,21558E-07;6,23095E-07;1,26221E-06;4,10593E-08;5,83317E-07;3,22785E-06;5,88084E-07;6,18541E-07;7,38748E-07;2,24989E-06;2,30649E-06;1,22911E-08;1,94798E-06;3,77324E-07;1,67932E-06;1,17111E-08;1,18479E-08;1,15324E-08;7,9187E-07
