Number of Devices Configurations: 20;;;;;;;;;;;;;;;;;;;;
Fixed Source: Voltage Source 2;;;;;;;;;;;;;;;;;;;;
Fixed Source Value: 0,010000509846000;;;;;;;;;;;;;;;;;;;;
Variable Source: Voltage Source 1;;;;;;;;;;;;;;;;;;;;
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps;;;;;;;;;;;;;;;;;;;;
Display Measurement: ;;;;;;;;;;;;;;;;;;;;
ADC Gain: 10;;;;;;;;;;;;;;;;;;;;
Sense Resistor 1: 100;;;;;;;;;;;;;;;;;;;;
Sense Resistor 2: 998;;;;;;;;;;;;;;;;;;;;
Time to Wait After Each Sweep (ms): 1000;;;;;;;;;;;;;;;;;;;;
Delay after each Step inside sweep (us): 200;;;;;;;;;;;;;;;;;;;;
Number of ADC readings at each setpoint (for averages):  2;;;;;;;;;;;;;;;;;;;;
forward and backward sweep: FALSE;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
2025-04-06_10h32m55s,93m;;;;;;;;;;;;;;;;;;;;
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,499938586;1,15799E-06;9,68028E-07;1,03861E-06;2,09845E-06;7,45331E-08;9,69158E-07;4,93377E-06;8,94093E-07;8,7394E-07;1,17993E-06;3,48523E-06;3,52245E-06;1,17191E-08;3,16539E-06;5,94845E-07;2,51939E-06;1,06899E-08;9,9312E-09;1,0097E-08;3,03405E-06
-0,497934664;1,15489E-06;9,66442E-07;1,03939E-06;2,09353E-06;7,4566E-08;9,66305E-07;4,92059E-06;8,9207E-07;8,71522E-07;1,17602E-06;3,47373E-06;3,52095E-06;1,1772E-08;3,15566E-06;5,94093E-07;2,51467E-06;1,07667E-08;1,00023E-08;1,01959E-08;3,02706E-06
-0,495930741;1,15173E-06;9,64777E-07;1,04003E-06;2,08853E-06;7,45811E-08;9,63428E-07;4,90726E-06;8,9E-07;8,69062E-07;1,17209E-06;3,46222E-06;3,5193E-06;1,18203E-08;3,14585E-06;5,93308E-07;2,50979E-06;1,08394E-08;1,00704E-08;1,02884E-08;3,01997E-06
-0,493926818;1,14849E-06;9,63036E-07;1,04052E-06;2,08345E-06;7,45784E-08;9,60526E-07;4,89377E-06;8,8788E-07;8,66557E-07;1,16813E-06;3,4507E-06;3,51751E-06;1,1864E-08;3,13593E-06;5,9249E-07;2,50475E-06;1,0908E-08;1,01356E-08;1,03746E-08;3,01277E-06
-0,491922896;1,14519E-06;9,61217E-07;1,04086E-06;2,07829E-06;7,45578E-08;9,576E-07;4,88014E-06;8,85713E-07;8,6401E-07;1,16414E-06;3,43916E-06;3,51556E-06;1,1903E-08;3,12592E-06;5,9164E-07;2,49953E-06;1,09725E-08;1,01979E-08;1,04544E-08;3,00548E-06
-0,489918973;1,14182E-06;9,59321E-07;1,04105E-06;2,07305E-06;7,45195E-08;9,5465E-07;4,86635E-06;8,83497E-07;8,61419E-07;1,16013E-06;3,42761E-06;3,51346E-06;1,19375E-08;3,11581E-06;5,90756E-07;2,49414E-06;1,10328E-08;1,02573E-08;1,05279E-08;2,99808E-06
-0,48791505;1,13838E-06;9,57348E-07;1,0411E-06;2,06773E-06;7,44633E-08;9,51674E-07;4,85241E-06;8,81233E-07;8,58784E-07;1,15609E-06;3,41605E-06;3,51121E-06;1,19673E-08;3,10561E-06;5,8984E-07;2,48859E-06;1,10891E-08;1,03138E-08;1,0595E-08;2,99058E-06
-0,485911128;1,13487E-06;9,55297E-07;1,04099E-06;2,06232E-06;7,43893E-08;9,48675E-07;4,83833E-06;8,7892E-07;8,56106E-07;1,15203E-06;3,40448E-06;3,50881E-06;1,19926E-08;3,09531E-06;5,8889E-07;2,48287E-06;1,11412E-08;1,03673E-08;1,06558E-08;2,98297E-06
-0,483907205;1,13129E-06;9,53169E-07;1,04073E-06;2,05683E-06;7,42975E-08;9,4565E-07;4,82409E-06;8,76559E-07;8,53385E-07;1,14795E-06;3,39289E-06;3,50627E-06;1,20132E-08;3,08491E-06;5,87908E-07;2,47698E-06;1,11892E-08;1,0418E-08;1,07102E-08;2,97526E-06
-0,481903283;1,12765E-06;9,50964E-07;1,04033E-06;2,05126E-06;7,41878E-08;9,42602E-07;4,8097E-06;8,7415E-07;8,5062E-07;1,14384E-06;3,38129E-06;3,50357E-06;1,20292E-08;3,07442E-06;5,86893E-07;2,47092E-06;1,12331E-08;1,04657E-08;1,07583E-08;2,96745E-06
-0,47989936;1,12393E-06;9,48681E-07;1,03978E-06;2,04561E-06;7,40604E-08;9,39528E-07;4,79516E-06;8,71692E-07;8,47812E-07;1,1397E-06;3,36968E-06;3,50072E-06;1,20406E-08;3,06383E-06;5,85845E-07;2,46469E-06;1,12729E-08;1,05105E-08;1,08E-08;2,95954E-06
-0,477895437;1,12015E-06;9,46321E-07;1,03908E-06;2,03987E-06;7,39151E-08;9,36431E-07;4,78047E-06;8,69186E-07;8,44961E-07;1,13554E-06;3,35806E-06;3,49772E-06;1,20474E-08;3,05314E-06;5,84764E-07;2,4583E-06;1,13086E-08;1,05524E-08;1,08354E-08;2,95153E-06
-0,475891515;1,1163E-06;9,43884E-07;1,03823E-06;2,03406E-06;7,37521E-08;9,33308E-07;4,76563E-06;8,66631E-07;8,42066E-07;1,13135E-06;3,34642E-06;3,49457E-06;1,20496E-08;3,04236E-06;5,8365E-07;2,45174E-06;1,13401E-08;1,05914E-08;1,08645E-08;2,94341E-06
-0,473887592;1,11238E-06;9,41369E-07;1,03723E-06;2,02816E-06;7,35712E-08;9,30161E-07;4,75064E-06;8,64029E-07;8,39128E-07;1,12714E-06;3,33477E-06;3,49127E-06;1,20472E-08;3,03149E-06;5,82504E-07;2,44501E-06;1,13676E-08;1,06274E-08;1,08872E-08;2,93519E-06
-0,471883669;1,10839E-06;9,38777E-07;1,03608E-06;2,02218E-06;7,33725E-08;9,2699E-07;4,73549E-06;8,61377E-07;8,36146E-07;1,1229E-06;3,32311E-06;3,48782E-06;1,20401E-08;3,02051E-06;5,81324E-07;2,43811E-06;1,13909E-08;1,06606E-08;1,09035E-08;2,92687E-06
-0,469879747;1,10433E-06;9,36108E-07;1,03478E-06;2,01611E-06;7,31559E-08;9,23794E-07;4,7202E-06;8,58678E-07;8,33121E-07;1,11864E-06;3,31144E-06;3,48422E-06;1,20285E-08;3,00944E-06;5,80112E-07;2,43104E-06;1,14101E-08;1,06908E-08;1,09135E-08;2,91845E-06
-0,467875824;1,1002E-06;9,33361E-07;1,03333E-06;2,00997E-06;7,29216E-08;9,20574E-07;4,70476E-06;8,5593E-07;8,30053E-07;1,11435E-06;3,29975E-06;3,48047E-06;1,20123E-08;2,99828E-06;5,78867E-07;2,42381E-06;1,14252E-08;1,07181E-08;1,09171E-08;2,90992E-06
-0,465871901;1,096E-06;9,30537E-07;1,03174E-06;2,00374E-06;7,26695E-08;9,17329E-07;4,68916E-06;8,53134E-07;8,26941E-07;1,11004E-06;3,28805E-06;3,47656E-06;1,19914E-08;2,98702E-06;5,77589E-07;2,4164E-06;1,14362E-08;1,07425E-08;1,09144E-08;2,90129E-06
-0,463867979;1,09174E-06;9,27636E-07;1,02999E-06;1,99743E-06;7,23995E-08;9,14059E-07;4,67342E-06;8,50289E-07;8,23786E-07;1,1057E-06;3,27634E-06;3,47251E-06;1,19659E-08;2,97566E-06;5,76278E-07;2,40883E-06;1,14431E-08;1,0764E-08;1,09054E-08;2,89256E-06
-0,461864056;1,0874E-06;9,24657E-07;1,0281E-06;1,99104E-06;7,21117E-08;9,10765E-07;4,65752E-06;8,47396E-07;8,20587E-07;1,10134E-06;3,26462E-06;3,46831E-06;1,19359E-08;2,96421E-06;5,74934E-07;2,40109E-06;1,14459E-08;1,07825E-08;1,089E-08;2,88373E-06
-0,459860134;1,083E-06;9,21602E-07;1,02606E-06;1,98457E-06;7,18061E-08;9,07447E-07;4,64147E-06;8,44455E-07;8,17345E-07;1,09695E-06;3,25288E-06;3,46396E-06;1,19012E-08;2,95266E-06;5,73557E-07;2,39318E-06;1,14445E-08;1,07981E-08;1,08682E-08;2,87479E-06
-0,457856211;1,07853E-06;9,18468E-07;1,02387E-06;1,97801E-06;7,14827E-08;9,04104E-07;4,62528E-06;8,41465E-07;8,1406E-07;1,09254E-06;3,24113E-06;3,45946E-06;1,18619E-08;2,94101E-06;5,72148E-07;2,3851E-06;1,14391E-08;1,08109E-08;1,08401E-08;2,86575E-06
-0,455852288;1,07399E-06;9,15258E-07;1,02153E-06;1,97138E-06;7,11415E-08;9,00736E-07;4,60893E-06;8,38427E-07;8,10731E-07;1,0881E-06;3,22937E-06;3,4548E-06;1,1818E-08;2,92927E-06;5,70705E-07;2,37686E-06;1,14295E-08;1,08207E-08;1,08057E-08;2,85661E-06
