Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE


2025-04-08_00h12m44s,03m
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,49993858631900023300;0,00000029814878536656;0,00000058750085674072;0,00000012234613580756;0,00000000952457939174;0,00000000968814480514;0,00000101918280398284;0,00000026815044123330;0,00000001099909996394;0,00000096538323263363;0,00000002457442979495;0,00000113248917411287;0,00000151844393093879;0,00000093911870598170;0,00000001203020192085;0,00000000812497602815;0,00000139911312253687;0,00000161275055268712;0,00000196093194998327;0,00000044510929584221;0,00000078587808506851
-0,49793466368168559600;0,00000029672188619387;0,00000058533660547518;0,00000012182898994768;0,00000000966398039154;0,00000000986676031162;0,00000101569625157700;0,00000026754367254871;0,00000001097373614724;0,00000096007555441599;0,00000002433609739832;0,00000112799793350917;0,00000151403412729931;0,00000093727691079325;0,00000001203568914049;0,00000000837106867213;0,00000139987597739604;0,00000160619116214659;0,00000195503690456839;0,00000044307200781885;0,00000078234356338348
-0,49593074104437096000;0,00000029527472546933;0,00000058309759495390;0,00000012129688912418;0,00000000979532940568;0,00000001003577475406;0,00000101216024598712;0,00000026691708827797;0,00000001095298204812;0,00000095487525101040;0,00000002410617357248;0,00000112351448184257;0,00000150960115940829;0,00000093542193923520;0,00000001203939693306;0,00000000860332568822;0,00000140076609720733;0,00000159960471846294;0,00000194911867719685;0,00000044106204571272;0,00000077882651084882
-0,49392681840705632300;0,00000029380730319294;0,00000058078382517687;0,00000012074983333706;0,00000000991862643417;0,00000001019518813247;0,00000100857478721319;0,00000026627068842108;0,00000001093683766658;0,00000094978232241687;0,00000002388465831742;0,00000111903881911305;0,00000150514502726574;0,00000093355379130755;0,00000001204132529854;0,00000000882174707643;0,00000140178348197074;0,00000159299122163617;0,00000194317726786863;0,00000043907940952383;0,00000077532692746454
-0,49192289576974174100;0,00000029231961936472;0,00000057839529614410;0,00000012018782258631;0,00000001003387147700;0,00000001034500044685;0,00000100493987525521;0,00000026560447297806;0,00000001092530300262;0,00000094479676863541;0,00000002367155163314;0,00000111457094532061;0,00000150066573087164;0,00000093167246701030;0,00000001204147423694;0,00000000902633283676;0,00000140292813168626;0,00000158635067166628;0,00000193721267658375;0,00000043712409925216;0,00000077184481323064
-0,48991897313242710500;0,00000029081167398465;0,00000057593200785558;0,00000011961085687194;0,00000001014106453419;0,00000001048521169720;0,00000100125551011320;0,00000026491844194888;0,00000001091837805624;0,00000093991858966601;0,00000002346685351964;0,00000111011086046526;0,00000149616327022601;0,00000092977796634345;0,00000001203984374825;0,00000000921708296920;0,00000140420004635390;0,00000157968306855327;0,00000193122490334220;0,00000043519611489772;0,00000076838016814711
-0,48791505049511246800;0,00000028928346705273;0,00000057339396031131;0,00000011901893619395;0,00000001024020560572;0,00000001061582188352;0,00000099752169178713;0,00000026421259533357;0,00000001091606282745;0,00000093514778550867;0,00000002327056397692;0,00000110565856454700;0,00000149163764532884;0,00000092787028930700;0,00000001203643383249;0,00000000939399747375;0,00000140559922597365;0,00000157298841229715;0,00000192521394814399;0,00000043329545646051;0,00000076493299221396
-0,48591112785779783100;0,00000028773499856897;0,00000057078115351130;0,00000011841206055234;0,00000001033129469161;0,00000001073683100581;0,00000099373842027703;0,00000026348693313211;0,00000001091835731624;0,00000093048435616340;0,00000002308268300498;0,00000110121405756582;0,00000148708885618013;0,00000092594943590096;0,00000001203124448964;0,00000000955707635042;0,00000140712567054553;0,00000156626670289791;0,00000191917981098910;0,00000043142212394054;0,00000076150328543118
-0,48390720522048319400;0,00000028616626853337;0,00000056809358745555;0,00000011779022994710;0,00000001041433179184;0,00000001084823906407;0,00000098990569558287;0,00000026274145534451;0,00000001092526152261;0,00000092592830163018;0,00000002290321060383;0,00000109677733952173;0,00000148251690277988;0,00000092401540612531;0,00000001202427571970;0,00000000970631959921;0,00000140877938006951;0,00000155951794035555;0,00000191312249187755;0,00000042957611733779;0,00000075809104779877
-0,48190328258316855700;0,00000028457727694592;0,00000056533126214405;0,00000011715344437823;0,00000001048931690642;0,00000001095004605830;0,00000098602351770468;0,00000026197616197077;0,00000001093677544657;0,00000092147962190903;0,00000002273214677345;0,00000109234841041472;0,00000147792178512809;0,00000092206819998006;0,00000001201552752269;0,00000000984172722011;0,00000141056035454562;0,00000155274212467007;0,00000190704199080932;0,00000042775743665228;0,00000075469627931675
-0,47989935994585392000;0,00000028296802380663;0,00000056249417757680;0,00000011650170384575;0,00000001055625003535;0,00000001104225198850;0,00000098209188664244;0,00000026119105301088;0,00000001095289908810;0,00000091713831699994;0,00000002256949151386;0,00000108792727024480;0,00000147330350322476;0,00000092010781746521;0,00000001200499989859;0,00000000996329921313;0,00000141246859397384;0,00000154593925584147;0,00000190093830778443;0,00000042596608188399;0,00000075131897998510
-0,47789543730853928400;0,00000028133850911550;0,00000055958233375381;0,00000011583500834963;0,00000001061513117863;0,00000001112485685467;0,00000097811080239615;0,00000026038612846485;0,00000001097363244722;0,00000091290438690291;0,00000002241524482504;0,00000108351391901196;0,00000146866205706990;0,00000091813425858076;0,00000001199269284741;0,00000001007103557826;0,00000141450409835417;0,00000153910933386976;0,00000189481144280287;0,00000042420205303294;0,00000074795914980382
-0,47589151467122470200;0,00000027968873287252;0,00000055659573067507;0,00000011515335788990;0,00000001066596033625;0,00000001119786065681;0,00000097408026496582;0,00000025956138833268;0,00000001099897552392;0,00000090877783161794;0,00000002226940670701;0,00000107910835671621;0,00000146399744666349;0,00000091614752332672;0,00000001197860636915;0,00000001016493631551;0,00000141666686768663;0,00000153225235875492;0,00000188866139586465;0,00000042246535009911;0,00000074461678877292
