Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE


2025-04-06_07h59m13s,67m
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,49993858631900023300;0,00000084018373962391;0,00000105319248274679;0,00000017824688412507;0,00000136840912634688;0,00000001178029605321;0,00000125813633817079;0,00000032913653849033;0,00000001145517608423;0,00000117543804913655;0,00000003475756220328;0,00000098587521690732;0,00000175672016047617;0,00000142338062065867;0,00000001343192842267;0,00000001277828995456;0,00000335667776525652;0,00000177330895949208;0,00000234265507208150;0,00000050193729177607;0,00000137831716697726
-0,49793466368168559600;0,00000083981872514726;0,00000105550646349502;0,00000017906219300145;0,00000137169531287066;0,00000001189117508541;0,00000126290826372189;0,00000033051925087836;0,00000001153572781505;0,00000118007203886540;0,00000003468574125786;0,00000099145536256777;0,00000176001523935279;0,00000142666570927957;0,00000001322913928388;0,00000001266697405745;0,00000335815507806865;0,00000177812107296122;0,00000235219669308276;0,00000050386610676492;0,00000138308198972910
-0,49593074104437096000;0,00000083944127458784;0,00000105774411690231;0,00000017984273152882;0,00000137488787953778;0,00000001199437564691;0,00000126755673126065;0,00000033186073514839;0,00000001161283626453;0,00000118461298820838;0,00000003462342324152;0,00000099690811984143;0,00000176325753828384;0,00000142988884577563;0,00000001303930238593;0,00000001256266592236;0,00000335959527017291;0,00000178281818732801;0,00000236145216932888;0,00000050572794438942;0,00000138766896233260
-0,49392681840705632300;0,00000083905138794566;0,00000105990544296867;0,00000018058849970717;0,00000137798682634824;0,00000001208989773774;0,00000127208174078707;0,00000033316099130040;0,00000001168650143268;0,00000118906089716547;0,00000003457060815426;0,00000100223348872828;0,00000176644705726932;0,00000143305003014686;0,00000001286241772883;0,00000001246536554931;0,00000336099834156931;0,00000178740030259247;0,00000237042150081986;0,00000050752280464957;0,00000139207808478775
-0,49192289576974174100;0,00000083864906522071;0,00000106199044169409;0,00000018129949753652;0,00000138099215330203;0,00000001217774135787;0,00000127648329230116;0,00000033442001933441;0,00000001175672331950;0,00000119341576573667;0,00000003452729599610;0,00000100743146922834;0,00000176958379630922;0,00000143614926239324;0,00000001269848531259;0,00000001237507293829;0,00000336236429225786;0,00000179186741875458;0,00000237910468755569;0,00000050925068754537;0,00000139630935709456
-0,48991897313242710500;0,00000083823430641300;0,00000106399911307859;0,00000018197572501686;0,00000138390386039915;0,00000001225790650732;0,00000128076138580290;0,00000033563781925041;0,00000001182350192499;0,00000119767759392199;0,00000003449348676702;0,00000101250206134159;0,00000177266775540356;0,00000143918654251480;0,00000001254750513720;0,00000001229178808929;0,00000336369312223854;0,00000179621953581436;0,00000238750172953638;0,00000051091159307682;0,00000140036277925303
-0,48791505049511246800;0,00000083780711152253;0,00000106593145712215;0,00000018261718214818;0,00000138672194763960;0,00000001233039318608;0,00000128491602129230;0,00000033681439104841;0,00000001188683724914;0,00000120184638172142;0,00000003446918046702;0,00000101744526506805;0,00000177569893455232;0,00000144216187051151;0,00000001240947720267;0,00000001221551100233;0,00000336498483151137;0,00000180045665377179;0,00000239561262676192;0,00000051250552124391;0,00000140423835126316
-0,48591112785779783100;0,00000083736748054929;0,00000106778747382478;0,00000018322386893049;0,00000138944641502339;0,00000001239520139416;0,00000128894719876937;0,00000033794973472839;0,00000001194672929196;0,00000120592212913497;0,00000003445437709612;0,00000102226108040770;0,00000177867733375551;0,00000144507524638339;0,00000001228440150898;0,00000001214624167740;0,00000336623942007634;0,00000180457877262688;0,00000240343737923231;0,00000051403247204665;0,00000140793607312495
-0,48390720522048319400;0,00000083691541349328;0,00000106956716318648;0,00000018379578536379;0,00000139207726255051;0,00000001245233113155;0,00000129285491823410;0,00000033904385029037;0,00000001200317805345;0,00000120990483616264;0,00000003444907665429;0,00000102694950736055;0,00000178160295301312;0,00000144792667013044;0,00000001217227805615;0,00000001208398011449;0,00000336745688793344;0,00000180858589237963;0,00000241097598694756;0,00000051549244548504;0,00000141145594483840
-0,48190328258316855700;0,00000083645091035451;0,00000107127052520724;0,00000018433293144808;0,00000139461449022096;0,00000001250178239825;0,00000129663917968649;0,00000034009673773434;0,00000001205618353360;0,00000121379450280442;0,00000003445327914156;0,00000103151054592661;0,00000178447579232517;0,00000145071614175265;0,00000001207310684417;0,00000001202872631362;0,00000336863723508269;0,00000181247801303004;0,00000241822844990767;0,00000051688544155908;0,00000141479796640350
