Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-04-06_15h37m19s,46m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
15h37m25s,18m;0,000000650777;0,000000163022;0,500018809701;-0,427797371376;0,000000001409;-0,000000001121;0,000001409436;0,000000260551;0,500018809701;-0,313573781049;0,000000004751;-0,000000003074;0,000000273962;0,000000057542;0,500018809701;-0,279507096214;0,000000000818;-0,000000000633;0,000000012652;0,000000011394;0,469959970141;0,225481408389;0,000000000033;-0,000000000111;0,000000012596;0,000000011574;-0,375695382805;-0,227405107644;0,000000000129;-0,000000000031;0,000002222691;0,000000420543;0,500018809701;-0,307562013137;0,000000006810;-0,000000004648;0,000000544764;0,000000128146;0,500018809701;-0,245440411380;0,000000001940;-0,000000000945;0,000000012811;0,000000011230;-0,423789526101;0,500018809701;0,000000000052;-0,000000000101;0,000002022440;0,000000405800;0,500018809701;-0,277503173577;0,000000007542;-0,000000008160;0,000000061183;0,000000014281;0,487995273877;-0,279507096214;0,000000000369;-0,000000000189;0,000001984571;0,000000381911;0,500018809701;-0,311569858411;0,000000005710;-0,000000004501;0,000002685202;0,000000710629;0,500018809701;-0,257463947204;0,000000007617;-0,000000004355;0,000001643307;0,000000397971;0,500018809701;-0,255460024567;0,000000005190;-0,000000003633;0,000000013213;0,000000011234;-0,327601239510;0,500018809701;0,000000000058;-0,000000000226;0,000000012746;0,000000011561;0,275579474322;-0,427797371376;0,000000000083;-0,000000000135;0,000001541300;0,000001375020;0,500018809701;-0,225401185007;0,000000001703;-0,000000000886;0,000003399083;0,000000592267;0,500018809701;-0,303554167862;0,000000011145;-0,000000006413;0,000003680438;0,000000985226;0,500018809701;-0,299546322588;0,000000010874;-0,000000007866;0,000000818341;0,000000145376;0,500018809701;-0,255460024567;0,000000002559;-0,000000001952;0,000001397925;0,000000260341;0,500018809701;-0,325597316873;0,000000003826;-0,000000003387
15h37m32s,35m;0,000000595261;0,000000150970;0,500018809701;-0,363671846982;0,000000001429;-0,000000001624;0,000001461207;0,000000263171;0,500018809701;-0,293534554676;0,000000005549;-0,000000003442;0,000000289682;0,000000058096;0,500018809701;-0,221393339732;0,000000001398;-0,000000000776;0,000000013198;0,000000011387;0,500018809701;-0,499938586319;0,000000000151;-0,000000000028;0,000000012694;0,000000011446;-0,327601239510;-0,499938586319;0,000000000106;-0,000000000034;0,000002277682;0,000000412370;0,500018809701;-0,295538477313;0,000000006815;-0,000000004847;0,000000537218;0,000000124499;0,500018809701;-0,243436488743;0,000000001599;-0,000000001199;0,000000012636;0,000000011281;-0,499938586319;0,321669694980;0,000000000054;-0,000000000040;0,000002071106;0,000000398311;0,500018809701;-0,235420798193;0,000000006657;-0,000000004286;0,000000060897;0,000000014751;0,500018809701;-0,239428643468;0,000000000285;-0,000000000161;0,000002057887;0,000000385296;0,500018809701;-0,293534554676;0,000000005968;-0,000000004751;0,000002864371;0,000000694316;0,500018809701;-0,243436488743;0,000000008202;-0,000000004490;0,000001739125;0,000000393043;0,500018809701;-0,247444334017;0,000000005770;-0,000000003779;0,000000012817;0,000000011546;0,025089144657;-0,499938586319;0,000000000106;-0,000000000023;0,000000012880;0,000000011529;-0,129212898416;-0,477895437309;0,000000000069;-0,000000000112;0,000001574564;0,000001361575;0,500018809701;-0,227405107644;0,000000004081;-0,000000001073;0,000003447436;0,000000577270;0,500018809701;-0,293534554676;0,000000010955;-0,000000006549;0,000003691464;0,000000983105;0,500018809701;-0,299546322588;0,000000010540;-0,000000005630;0,000000818355;0,000000140697;0,500018809701;-0,247444334017;0,000000002560;-0,000000001959;0,000001405785;0,000000259996;0,500018809701;-0,323593394235;0,000000003770;-0,000000003935
15h37m39s,52m;0,000000597642;0,000000152216;0,500018809701;-0,361667924344;0,000000001553;-0,000000002072;0,000001495466;0,000000261318;0,500018809701;-0,283514941489;0,000000005607;-0,000000003786;0,000000295954;0,000000055403;0,500018809701;-0,225401185007;0,000000000967;-0,000000000628;0,000000012863;0,000000011213;0,500018809701;-0,499938586319;0,000000000114;-0,000000000024;0,000000012625;0,000000011306;-0,129212898416;0,500018809701;0,000000000025;-0,000000000126;0,000002306373;0,000000410778;0,500018809701;-0,289526709401;0,000000006942;-0,000000004889;0,000000545478;0,000000123560;0,500018809701;-0,241432566105;0,000000001498;-0,000000001161;0,000000012581;0,000000011372;-0,279507096214;-0,499938586319;0,000000000141;-0,000000000015;0,000002062277;0,000000396453;0,500018809701;-0,237424720831;0,000000007536;-0,000000003983;0,000000058494;0,000000011242;0,500018809701;-0,219389417095;0,000000000326;-0,000000000164;0,000002081485;0,000000383313;0,500018809701;-0,283514941489;0,000000005988;-0,000000004846;0,000002914789;0,000000686876;0,500018809701;-0,233416875556;0,000000008513;-0,000000004733;0,000001785871;0,000000388323;0,500018809701;-0,241432566105;0,000000005629;-0,000000003906;0,000000013165;0,000000011321;0,500018809701;-0,499938586319;0,000000000229;-0,000000000062;0,000000012677;0,000000010268;0,327681462892;-0,499938586319;0,000000000168;-0,000000000034;0,000001546876;0,000001366384;0,500018809701;-0,263475715116;0,000000001386;-0,000000000926;0,000003452053;0,000000569623;0,500018809701;-0,283514941489;0,000000011065;-0,000000006643;0,000003720443;0,000000989886;0,500018809701;-0,299546322588;0,000000010552;-0,000000006431;0,000000814034;0,000000143073;0,500018809701;-0,243436488743;0,000000002501;-0,000000001898;0,000001403169;0,000000259449;0,500018809701;-0,317581626323;0,000000003750;-0,000000003479
15h37m46s,60m;0,000000567378;0,000000140677;0,500018809701;-0,349644388520;0,000000001382;-0,000000001847;0,000001512445;0,000000258836;0,500018809701;-0,279507096214;0,000000005651;-0,000000004076;0,000000292277;0,000000057439;0,500018809701;-0,229409030282;0,000000000936;-0,000000000880;0,000000013554;0,000000011514;0,500018809701;-0,499938586319;0,000000000188;-0,000000000040;0,000000012356;0,000000010472;-0,383711073355;-0,499938586319;0,000000000155;-0,000000000028;0,000002316173;0,000000403328;0,500018809701;-0,279507096214;0,000000007155;-0,000000005092;0,000000538536;0,000000121469;0,500018809701;-0,233416875556;0,000000001589;-0,000000001151;0,000000012725;0,000000010687;-0,473887592034;0,500018809701;0,000000000100;-0,000000000269;0,000002063347;0,000000377166;0,500018809701;-0,231412952919;0,000000006198;-0,000000004176;0,000000062114;0,000000015196;0,500018809701;-0,199350190722;0,000000000672;-0,000000000166;0,000002091887;0,000000384694;0,500018809701;-0,273495328302;0,000000005956;-0,000000004862;0,000002936677;0,000000688041;0,500018809701;-0,225401185007;0,000000008648;-0,000000004651;0,000001834915;0,000000392173;0,500018809701;-0,229409030282;0,000000006130;-0,000000003967;0,000000012749;0,000000010361;0,500018809701;-0,499938586319;0,000000000286;-0,000000000039;0,000000012693;0,000000010774;0,423869749483;-0,499938586319;0,000000000096;-0,000000000059;0,000001585910;0,000001386154;0,500018809701;-0,203358035996;0,000000001134;-0,000000000842;0,000003444534;0,000000566139;0,500018809701;-0,273495328302;0,000000011260;-0,000000007483;0,000003728935;0,000000990110;0,500018809701;-0,285518864126;0,000000010813;-0,000000005936;0,000000809078;0,000000141688;0,500018809701;-0,235420798193;0,000000002558;-0,000000001827;0,000001394686;0,000000257931;0,500018809701;-0,307562013137;0,000000003764;-0,000000003507
15h37m53s,73m;0,000000586502;0,000000138822;0,500018809701;-0,339624775334;0,000000003117;-0,000000001957;0,000001515269;0,000000258490;0,500018809701;-0,271491405665;0,000000005234;-0,000000003841;0,000000298388;0,000000057252;0,500018809701;-0,247444334017;0,000000001066;-0,000000000885;0,000000012935;0,000000010912;0,500018809701;-0,499938586319;0,000000000238;-0,000000000036;0,000000012454;0,000000011490;-0,423789526101;0,277583396959;0,000000000096;-0,000000000032;0,000002313720;0,000000409558;0,500018809701;-0,271491405665;0,000000007035;-0,000000005092;0,000000538800;0,000000122083;0,500018809701;-0,229409030282;0,000000001529;-0,000000000919;0,000000012706;0,000000011327;-0,499938586319;0,225481408389;0,000000000034;-0,000000000104;0,000002038891;0,000000400326;0,500018809701;-0,231412952919;0,000000006637;-0,000000004038;0,000000059388;0,000000015193;0,500018809701;-0,211373726546;0,000000000370;-0,000000000108;0,000002087519;0,000000382119;0,500018809701;-0,259467869841;0,000000005915;-0,000000004971;0,000002928151;0,000000702900;0,500018809701;-0,225401185007;0,000000008427;-0,000000004879;0,000001823481;0,000000398066;0,500018809701;-0,225401185007;0,000000005601;-0,000000004262;0,000000012838;0,000000010914;-0,271491405665;-0,499938586319;0,000000000137;-0,000000000071;0,000000012733;0,000000010138;-0,179310964349;-0,499938586319;0,000000000201;-0,000000000018;0,000001573732;0,000001382224;0,500018809701;-0,189330577535;0,000000001288;-0,000000000458;0,000003420860;0,000000568782;0,500018809701;-0,259467869841;0,000000011068;-0,000000006909;0,000003720889;0,000000992704;0,500018809701;-0,277503173577;0,000000010551;-0,000000006280;0,000000791456;0,000000142709;0,500018809701;-0,231412952919;0,000000002499;-0,000000001782;0,000001384204;0,000000254291;0,500018809701;-0,293534554676;0,000000003731;-0,000000003441
15h38m00s,79m;0,000000560932;0,000000141830;0,500018809701;-0,327601239510;0,000000001418;-0,000000001641;0,000001506725;0,000000259399;0,500018809701;-0,255460024567;0,000000005260;-0,000000003644;0,000000292401;0,000000058823;0,500018809701;-0,137228588965;0,000000001200;-0,000000000717;0,000000012361;0,000000011452;-0,225401185007;-0,499938586319;0,000000000034;-0,000000000016;0,000000012728;0,000000011616;-0,499938586319;-0,467875824122;0,000000000033;-0,000000000162;0,000002289801;0,000000409004;0,500018809701;-0,259467869841;0,000000006942;-0,000000005159;0,000000524446;0,000000123800;0,500018809701;-0,217385494458;0,000000001575;-0,000000001161;0,000000012422;0,000000011485;-0,379703228080;-0,499938586319;0,000000000143;-0,000000000044;0,000002024292;0,000000401627;0,500018809701;-0,225401185007;0,000000006055;-0,000000004316;0,000000052328;0,000000011808;0,500018809701;-0,171295273799;0,000000000362;-0,000000000195;0,000002078271;0,000000380576;0,500018809701;-0,245440411380;0,000000005786;-0,000000004977;0,000002902730;0,000000705184;0,500018809701;-0,209369803908;0,000000008503;-0,000000005119;0,000001766326;0,000000387658;0,500018809701;-0,197346268084;0,000000005312;-0,000000004223;0,000000012665;0,000000010667;-0,277503173577;-0,499938586319;0,000000000228;-0,000000000036;0,000000012864;0,000000010286;0,500018809701;-0,499938586319;0,000000000154;-0,000000000020;0,000001522909;0,000001341120;0,475971738053;-0,229409030282;0,000000001093;-0,000000000987;0,000003384373;0,000000563767;0,500018809701;-0,241432566105;0,000000011284;-0,000000006883;0,000003689868;0,000000997206;0,500018809701;-0,261471792479;0,000000010662;-0,000000006320;0,000000780292;0,000000141281;0,500018809701;-0,211373726546;0,000000002410;-0,000000001769;0,000001361259;0,000000254362;0,500018809701;-0,279507096214;0,000000003679;-0,000000003474
15h38m07s,81m;0,000000556995;0,000000141989;0,477975660691;-0,299546322588;0,000000002164;-0,000000001711;0,000001478965;0,000000259773;0,500018809701;-0,239428643468;0,000000005156;-0,000000007039;0,000000280721;0,000000060618;0,500018809701;-0,185322732261;0,000000001023;-0,000000000773;0,000000012336;0,000000011283;0,465952124867;0,500018809701;0,000000000040;-0,000000000146;0,000000012428;0,000000011339;-0,375695382805;-0,499938586319;0,000000000120;-0,000000000075;0,000002266121;0,000000406963;0,500018809701;-0,239428643468;0,000000006980;-0,000000005081;0,000000518422;0,000000120571;0,500018809701;-0,203358035996;0,000000001542;-0,000000001042;0,000000012381;0,000000011288;-0,323593394235;0,483987428602;0,000000000037;-0,000000000068;0,000001966892;0,000000395283;0,500018809701;-0,205361958634;0,000000007007;-0,000000005862;0,000000046769;0,000000008527;0,487995273877;-0,177307041711;0,000000000324;-0,000000000258;0,000002048706;0,000000379057;0,500018809701;-0,229409030282;0,000000005797;-0,000000005191;0,000002871015;0,000000703185;0,500018809701;-0,191334500173;0,000000008373;-0,000000005152;0,000001730407;0,000000392511;0,500018809701;-0,187326654898;0,000000005146;-0,000000004054;0,000000012751;0,000000011356;0,500018809701;-0,479899359946;0,000000000167;-0,000000000052;0,000000012542;0,000000010801;0,455932511680;-0,477895437309;0,000000000050;-0,000000000148;0,000001560392;0,000001366811;0,500018809701;-0,169291351162;0,000000001426;-0,000000001734;0,000003331617;0,000000564007;0,500018809701;-0,221393339732;0,000000011231;-0,000000006964;0,000003629219;0,000000989681;0,500018809701;-0,237424720831;0,000000010322;-0,000000006284;0,000000764638;0,000000140465;0,500018809701;-0,197346268084;0,000000002594;-0,000000001815;0,000001338625;0,000000254273;0,500018809701;-0,263475715116;0,000000003600;-0,000000003541
15h38m14s,96m;0,000000546360;0,000000148124;0,500018809701;-0,275499250940;0,000000002319;-0,000000001838;0,000001444114;0,000000259449;0,500018809701;-0,217385494458;0,000000005522;-0,000000003286;0,000000273701;0,000000059934;0,500018809701;-0,203358035996;0,000000001303;-0,000000001078;0,000000012620;0,000000011234;0,073183287953;-0,473887592034;0,000000000044;-0,000000000112;0,000000012580;0,000000010655;-0,025008921275;0,500018809701;0,000000000024;-0,000000000193;0,000002225311;0,000000407848;0,500018809701;-0,219389417095;0,000000006876;-0,000000005247;0,000000495502;0,000000123727;0,500018809701;-0,179310964349;0,000000001650;-0,000000001044;0,000000012545;0,000000011173;-0,075106987208;0,321669694980;0,000000000075;-0,000000000057;0,000001945475;0,000000393036;0,500018809701;-0,213377649183;0,000000005891;-0,000000004252;0,000000053103;0,000000012001;0,500018809701;-0,137228588965;0,000000000312;-0,000000000187;0,000002015046;0,000000379531;0,500018809701;-0,209369803908;0,000000005807;-0,000000005176;0,000002817184;0,000000711301;0,500018809701;-0,175303119074;0,000000008372;-0,000000005340;0,000001758866;0,000000391965;0,500018809701;-0,167287428525;0,000000005622;-0,000000004516;0,000000012583;0,000000010992;-0,323593394235;-0,469879746759;0,000000000048;-0,000000000166;0,000000012699;0,000000011229;0,471963892779;-0,439820907200;0,000000000068;-0,000000000168;0,000001508788;0,000001349173;0,500018809701;-0,081118755120;0,000000001136;-0,000000001126;0,000003272913;0,000000560106;0,500018809701;-0,199350190722;0,000000010903;-0,000000007229;0,000003562544;0,000000992193;0,500018809701;-0,219389417095;0,000000010190;-0,000000006573;0,000000752391;0,000000140792;0,500018809701;-0,167287428525;0,000000002455;-0,000000001926;0,000001317128;0,000000255652;0,500018809701;-0,237424720831;0,000000003597;-0,000000003550
15h38m22s,12m;0,000000533505;0,000000146464;0,500018809701;-0,241432566105;0,000000001749;-0,000000001723;0,000001415815;0,000000261531;0,500018809701;-0,201354113359;0,000000004906;-0,000000003347;0,000000265642;0,000000061500;0,500018809701;-0,089134445670;0,000000001039;-0,000000000536;0,000000012537;0,000000011326;-0,373691460168;-0,499938586319;0,000000000112;-0,000000000031;0,000000012793;0,000000010570;-0,375695382805;-0,499938586319;0,000000000284;-0,000000000042;0,000002184447;0,000000404999;0,500018809701;-0,201354113359;0,000000006922;-0,000000005197;0,000000488834;0,000000126428;0,500018809701;-0,163279583250;0,000000001711;-0,000000001121;0,000000012632;0,000000011102;-0,499938586319;0,500018809701;0,000000000022;-0,000000000121;0,000001895635;0,000000399933;0,500018809701;-0,157267815338;0,000000005794;-0,000000004156;0,000000047297;0,000000011537;0,335697153441;-0,179310964349;0,000000000443;-0,000000000201;0,000001982790;0,000000379902;0,500018809701;-0,189330577535;0,000000005733;-0,000000005337;0,000002773109;0,000000708244;0,500018809701;-0,149252124789;0,000000008402;-0,000000005266;0,000001748424;0,000000392772;0,500018809701;-0,151256047426;0,000000005558;-0,000000004697;0,000000012465;0,000000010720;-0,025008921275;-0,463867978847;0,000000000043;-0,000000000192;0,000000012475;0,000000010180;0,467956047504;-0,499938586319;0,000000000195;-0,000000000155;0,000001484150;0,000001293869;0,500018809701;-0,103161904131;0,000000001739;-0,000000001688;0,000003216538;0,000000559574;0,500018809701;-0,181314886986;0,000000011135;-0,000000007233;0,000003482865;0,000000988226;0,500018809701;-0,197346268084;0,000000010173;-0,000000006692;0,000000736233;0,000000141148;0,500018809701;-0,151256047426;0,000000002446;-0,000000001873;0,000001288195;0,000000255211;0,500018809701;-0,219389417095;0,000000003621;-0,000000003573
15h38m29s,27m;0,000000510360;0,000000138596;0,500018809701;-0,211373726546;0,000000001810;-0,000000001863;0,000001388431;0,000000259834;0,500018809701;-0,171295273799;0,000000004651;-0,000000003418;0,000000261707;0,000000060800;0,500018809701;-0,167287428525;0,000000000911;-0,000000000608;0,000000012574;0,000000011067;0,500018809701;-0,499938586319;0,000000000122;-0,000000000024;0,000000012260;0,000000010794;-0,421785603464;-0,499938586319;0,000000000147;-0,000000000035;0,000002145084;0,000000407591;0,500018809701;-0,181314886986;0,000000006775;-0,000000005174;0,000000468993;0,000000125106;0,500018809701;-0,131216821053;0,000000001669;-0,000000001036;0,000000012365;0,000000010298;-0,023004998638;0,500018809701;0,000000000027;-0,000000000140;0,000001854159;0,000000410286;0,500018809701;-0,133220743690;0,000000006698;-0,000000004481;0,000000050561;0,000000012946;0,487995273877;-0,083122677758;0,000000000343;-0,000000000123;0,000001958988;0,000000379141;0,500018809701;-0,173299196437;0,000000005755;-0,000000005303;0,000002726605;0,000000711679;0,500018809701;-0,141236434240;0,000000008326;-0,000000005306;0,000001719673;0,000000390808;0,500018809701;-0,135224666328;0,000000005369;-0,000000004548;0,000000012639;0,000000010533;-0,499938586319;-0,465871901485;0,000000000053;-0,000000000296;0,000000012397;0,000000010700;0,077191133228;-0,465871901485;0,000000000024;-0,000000000124;0,000001519903;0,000001339267;0,500018809701;-0,119193285229;0,000000002057;-0,000000001199;0,000003173695;0,000000558886;0,500018809701;-0,163279583250;0,000000011079;-0,000000007297;0,000003431711;0,000000989386;0,500018809701;-0,181314886986;0,000000009988;-0,000000006511;0,000000725731;0,000000141044;0,500018809701;-0,137228588965;0,000000002396;-0,000000001888;0,000001276015;0,000000256809;0,500018809701;-0,203358035996;0,000000003503;-0,000000003641
