Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE


2025-04-08_02h47m24s,66m
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,49993858631900023300;0,00000187351455209658;0,00000001590596714588;0,00000021564986964488;0,00000001212823534862;0,00000001065391347375;0,00000008604708836616;0,00000003097480368528;0,00000265933686651006;0,00000172453101012100;0,00000232814289611762;0,00000138365275266120;0,00000229524739628488;0,00000021184423932589;0,00000208695153615488;0,00000001113913051002;0,00000081593324517617;0,00000534276287247009;0,00000166677381493883;0,00000482821124620563;0,00000070589703019921
-0,49793466368168559600;0,00000187167593761787;0,00000001579900874561;0,00000021434317254361;0,00000001191457622327;0,00000001070711936684;0,00000008568474750993;0,00000003096714866110;0,00000264876795867044;0,00000171708716370800;0,00000231970518913855;0,00000138105165602363;0,00000229372942022898;0,00000021667697563431;0,00000208132553646429;0,00000001110199438050;0,00000081261240460026;0,00000534029300197892;0,00000166322399129144;0,00000481324920425363;0,00000070319400717660
-0,49593074104437096000;0,00000186976977078308;0,00000001569760280378;0,00000021304029176338;0,00000001171398188348;0,00000001075721115119;0,00000008531609679446;0,00000003095587699920;0,00000263819116381943;0,00000170960832176398;0,00000231126073690379;0,00000137834118817387;0,00000229214646874919;0,00000022129864088219;0,00000207561341856919;0,00000001106973355731;0,00000080926828800493;0,00000533769183218956;0,00000165959321427149;0,00000479820873728664;0,00000070051782127826
-0,49392681840705632300;0,00000186779605159222;0,00000001560174932038;0,00000021174122730419;0,00000001152645232926;0,00000001080418882679;0,00000008494113621975;0,00000003094098869959;0,00000262760648195700;0,00000170209448428893;0,00000230280953941335;0,00000137552134911189;0,00000229049854184554;0,00000022570923506952;0,00000206981518246958;0,00000001104234804046;0,00000080590089539020;0,00000533495936310201;0,00000165588148387896;0,00000478308984530467;0,00000069786847250420
-0,49192289576974174100;0,00000186575478004528;0,00000001551144829542;0,00000021044597916605;0,00000001135198756061;0,00000001084805239365;0,00000008455986578580;0,00000003092248376227;0,00000261701391308318;0,00000169454565128285;0,00000229435159666721;0,00000137259213883772;0,00000228878563951801;0,00000022990875819631;0,00000206393082816545;0,00000001101983782993;0,00000080251022675606;0,00000533209559471629;0,00000165208880011386;0,00000476789252830770;0,00000069524596085443
-0,48991897313242710500;0,00000186364595614227;0,00000001542669972890;0,00000020915454734895;0,00000001119058757751;0,00000001088880185177;0,00000008417228549261;0,00000003090036218724;0,00000260641345719795;0,00000168696182274575;0,00000228588690866539;0,00000136955355735134;0,00000228700776176660;0,00000023389721026255;0,00000205796035565680;0,00000001100220292573;0,00000079909628210251;0,00000532910052703237;0,00000164821516297619;0,00000475261678629574;0,00000069265028632893
-0,48791505049511246800;0,00000186146957988319;0,00000001534750362081;0,00000020786693185289;0,00000001104225237998;0,00000001092643720114;0,00000008377839534018;0,00000003087462397449;0,00000259580511430132;0,00000167934299867763;0,00000227741547540787;0,00000136640560465276;0,00000228516490859132;0,00000023767459126825;0,00000205190376494365;0,00000001098944332785;0,00000079565906142954;0,00000532597416005028;0,00000164426057246595;0,00000473726261926879;0,00000069008144892771
-0,48591112785779783100;0,00000185922565126803;0,00000001527385997116;0,00000020658313267788;0,00000001090698196802;0,00000001096095844177;0,00000008337819532851;0,00000003084526912403;0,00000258518888439329;0,00000167168917907849;0,00000226893729689467;0,00000136314828074198;0,00000228325707999217;0,00000024124090121341;0,00000204576105602598;0,00000001098155903631;0,00000079219856473717;0,00000532271649377000;0,00000164022502858314;0,00000472183002722686;0,00000068753944865077
-0,48390720522048319400;0,00000185691417029680;0,00000001520576877994;0,00000020530314982390;0,00000001078477634161;0,00000001099236557365;0,00000008297168545760;0,00000003081229763586;0,00000257456476747386;0,00000166400036394832;0,00000226045237312577;0,00000135978158561899;0,00000228128427596914;0,00000024459614009802;0,00000203953222890380;0,00000001097855005109;0,00000078871479202539;0,00000531932752819154;0,00000163610853132776;0,00000470631901016993;0,00000068502428549811
-0,48190328258316855700;0,00000185453513696949;0,00000001514323004716;0,00000020402698329097;0,00000001067563550078;0,00000001102065859680;0,00000008255886572745;0,00000003077570950997;0,00000256393276354302;0,00000165627655328712;0,00000225196070410118;0,00000135630551928380;0,00000227924649652224;0,00000024774030792209;0,00000203321728357710;0,00000001098041637221;0,00000078520774329420;0,00000531580726331490;0,00000163191108069980;0,00000469072956809801;0,00000068253595946972
-0,47989935994585392000;0,00000185208855128612;0,00000001508624377281;0,00000020275463307909;0,00000001057955944550;0,00000001104583751120;0,00000008213973613806;0,00000003073550474638;0,00000255329287260078;0,00000164851774709490;0,00000224346228982091;0,00000135272008173640;0,00000227714374165147;0,00000025067340468562;0,00000202681622004589;0,00000001098715799965;0,00000078167741854359;0,00000531215569914007;0,00000162763267669928;0,00000467506170101111;0,00000068007447056562
-0,47789543730853928400;0,00000184957441324666;0,00000001503480995690;0,00000020148609918824;0,00000001049654817579;0,00000001106790231686;0,00000008171429668943;0,00000003069168334507;0,00000254264509464713;0,00000164072394537166;0,00000223495713028494;0,00000134902527297681;0,00000227497601135682;0,00000025339543038860;0,00000202032903831017;0,00000001099877493342;0,00000077812381777358;0,00000530837283566707;0,00000162327331932618;0,00000465931540890921;0,00000067763981878580
-0,47589151467122470200;0,00000184699272285114;0,00000001498892859943;0,00000020022138161844;0,00000001042660169164;0,00000001108685301377;0,00000008128254738155;0,00000003064424530604;0,00000253198942968209;0,00000163289514811739;0,00000222644522549328;0,00000134522109300500;0,00000227274330563829;0,00000025590638503104;0,00000201375573836994;0,00000001101526717352;0,00000077454694098415;0,00000530445867289587;0,00000161883300858051;0,00000464349069179233;0,00000067523200413025
-0,47388759203391006600;0,00000184434348009954;0,00000001494859970039;0,00000019896048036967;0,00000001036971999306;0,00000001110268960194;0,00000008084448821444;0,00000003059319062931;0,00000252132587770564;0,00000162503135533210;0,00000221792657544594;0,00000134130754182100;0,00000227044562449590;0,00000025820626861294;0,00000200709632022519;0,00000001103663471995;0,00000077094678817532;0,00000530041321082650;0,00000161431174446227;0,00000462758754966045;0,00000067285102659899
