Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE


2025-04-07_13h21m54s,96m
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,49993858631900023300;0,00000179450396734715;0,00000001648231928493;0,00000022240148444276;0,00000001169725922546;0,00000001035350469252;0,00000008670245123117;0,00000003211012751884;0,00000269895749955784;0,00000172180965839867;0,00000239474844258536;0,00000142986155204262;0,00000245107382329804;0,00000007556138134585;0,00000219420769764719;0,00000001022132539046;0,00000082855517695183;0,00000524591984671817;0,00000160529752974140;0,00000476662457215563;0,00000070023123933705
-0,49793466368168559600;0,00000179216608520414;0,00000001650245686872;0,00000022113868021561;0,00000001168731376660;0,00000001051785682288;0,00000008625348135336;0,00000003207617914898;0,00000268747804858627;0,00000171389467756347;0,00000238449370216407;0,00000142466213167789;0,00000244754833038397;0,00000007520578360652;0,00000218682214788808;0,00000001037266934417;0,00000082503549363902;0,00000524306879839742;0,00000160164827421488;0,00000475067399727437;0,00000069875382160825
-0,49593074104437096000;0,00000178979573007437;0,00000001652119791893;0,00000021987459462356;0,00000001167655764808;0,00000001067178281758;0,00000008580033157137;0,00000003204125975201;0,00000267604027992891;0,00000170599732434493;0,00000237433311666634;0,00000141947547833913;0,00000244399660973689;0,00000007484672841207;0,00000217941414110165;0,00000001051652555476;0,00000082150120228121;0,00000524012507834792;0,00000159791775232555;0,00000473470156214722;0,00000069722572182212
-0,49392681840705632300;0,00000178739290195787;0,00000001653854243555;0,00000021860922766661;0,00000001166499086990;0,00000001081528267662;0,00000008534300188522;0,00000003200536932793;0,00000266464419358574;0,00000169811759874306;0,00000236426668609215;0,00000141430159202633;0,00000244041866135681;0,00000007448421576249;0,00000217198367728788;0,00000001065289402221;0,00000081795230287841;0,00000523708868656965;0,00000159410596407343;0,00000471870726677416;0,00000069564693997866
-0,49192289576974174100;0,00000178495760085462;0,00000001655449041858;0,00000021734257934476;0,00000001165261343206;0,00000001094835640001;0,00000008488149229489;0,00000003196850787672;0,00000265328978955679;0,00000169025550075787;0,00000235429441044151;0,00000140914047273951;0,00000243681448524372;0,00000007411824565778;0,00000216453075644678;0,00000001078177474653;0,00000081438879543061;0,00000523395962306264;0,00000159021290945850;0,00000470269111115521;0,00000069401747607788
-0,48991897313242710500;0,00000178248982676462;0,00000001656904186803;0,00000021607464965801;0,00000001163942533456;0,00000001107100398773;0,00000008441580280038;0,00000003193067539841;0,00000264197706784203;0,00000168241103038934;0,00000234441628971442;0,00000140399212047864;0,00000243318408139761;0,00000007374881809795;0,00000215705537857835;0,00000001090316772772;0,00000081081067993782;0,00000523073788782686;0,00000158623858848076;0,00000468665309529035;0,00000069233733011978
-0,48791505049511246800;0,00000177998957968788;0,00000001658219678389;0,00000021480543860637;0,00000001162542657740;0,00000001118322543979;0,00000008394593340171;0,00000003189187189297;0,00000263070602844148;0,00000167458418763748;0,00000233463232391088;0,00000139885653524375;0,00000242952744981850;0,00000007337593308298;0,00000214955754368259;0,00000001101707296578;0,00000080721795640003;0,00000522742348086234;0,00000158218300114023;0,00000467059321917960;0,00000069060650210435
-0,48591112785779783100;0,00000177745685962440;0,00000001659395516616;0,00000021353494618982;0,00000001161061716057;0,00000001128502075619;0,00000008347188409886;0,00000003185209736043;0,00000261947667135513;0,00000166677497250229;0,00000232494251303089;0,00000139373371703482;0,00000242584459050638;0,00000007299959061289;0,00000214203725175950;0,00000001112349046070;0,00000080361062481725;0,00000522401640216905;0,00000157804614743689;0,00000465451148282294;0,00000068882499203159
-0,48390720522048319400;0,00000177489166657417;0,00000001660431701484;0,00000021226317240838;0,00000001159499708409;0,00000001137638993693;0,00000008299365489185;0,00000003181135180076;0,00000260828899658298;0,00000165898338498377;0,00000231534685707445;0,00000138862366585185;0,00000242213550346124;0,00000007261979068766;0,00000213449450280908;0,00000001122242021250;0,00000079998868518947;0,00000522051665174701;0,00000157382802737075;0,00000463840788622039;0,00000068699279990151
-0,48190328258316855700;0,00000177229400053720;0,00000001661328232993;0,00000021099011726203;0,00000001157856634794;0,00000001145733298201;0,00000008251124578066;0,00000003176963521398;0,00000259714300412503;0,00000165120942508192;0,00000230584535604156;0,00000138352638169486;0,00000241840018868310;0,00000007223653330731;0,00000212692929683132;0,00000001131386222116;0,00000079635213751670;0,00000521692422959622;0,00000156952864094181;0,00000462228242937194;0,00000068510992571410
