Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE


2025-04-07_10h47m55s,22m
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,49993858631900023300;0,00000168471323708128;0,00000001608556902447;0,00000020992159492882;0,00000000996183501488;0,00000001188555342503;0,00000008062713944906;0,00000002412774259779;0,00000252163700768933;0,00000161127532101569;0,00000227864919273401;0,00000137677146266807;0,00000236564893178154;0,00000004850495478333;0,00000209615246048049;0,00000001241584695538;0,00000079533937161842;0,00000514648468607953;0,00000152577631243787;0,00000467786905220016;0,00000069505368674253
-0,49793466368168559600;0,00000168275115412931;0,00000001631861240127;0,00000020868034713091;0,00000000994726079707;0,00000001168326154331;0,00000008013163783449;0,00000002445407201646;0,00000251217191065551;0,00000160439015935052;0,00000226962993983837;0,00000137322962891255;0,00000236206223361535;0,00000004764648069916;0,00000208981400721220;0,00000001218309930961;0,00000079136656696802;0,00000514205491356433;0,00000151965870293207;0,00000466222334108446;0,00000069289159281397
-0,49593074104437096000;0,00000168073896494385;0,00000001653724887016;0,00000020743555752887;0,00000000993788043880;0,00000001149465782199;0,00000007963600163293;0,00000002475814859108;0,00000250265085357171;0,00000159748064476282;0,00000226065243192232;0,00000136961332601717;0,00000235841704851499;0,00000004684696003593;0,00000208339921018688;0,00000001196586617012;0,00000078740822104624;0,00000513754357174990;0,00000151357192801893;0,00000464648601753930;0,00000069071636140655
-0,49392681840705632300;0,00000167867666952490;0,00000001674147843114;0,00000020618722612271;0,00000000993369394009;0,00000001131974226107;0,00000007914023084440;0,00000002503997232168;0,00000249307383643791;0,00000159054677725258;0,00000225171666898587;0,00000136592255398193;0,00000235471337648046;0,00000004610639279365;0,00000207690806940451;0,00000001176414753692;0,00000078346433385310;0,00000513295066063626;0,00000150751598769847;0,00000463065708156468;0,00000068852799252029
-0,49192289576974174100;0,00000167656426787247;0,00000001693130108421;0,00000020493535291241;0,00000000993470130092;0,00000001115851486054;0,00000007864432546888;0,00000002529954320823;0,00000248344085925413;0,00000158358855681982;0,00000224282265102900;0,00000136215731280682;0,00000235095121751175;0,00000004542477897232;0,00000207034058486510;0,00000001157794340999;0,00000077953490538857;0,00000512827618022340;0,00000150149088197069;0,00000461473653316059;0,00000068632648615518
-0,48991897313242710500;0,00000167440175998655;0,00000001710671682937;0,00000020367993789799;0,00000000994090252129;0,00000001101097562041;0,00000007814828550637;0,00000002553686125075;0,00000247375192202035;0,00000157660598346452;0,00000223397037805172;0,00000135831760249185;0,00000234713057160886;0,00000004480211857194;0,00000206369675656865;0,00000001140725378935;0,00000077561993565267;0,00000512352013051132;0,00000149549661083557;0,00000459872437232704;0,00000068411184231121
-0,48791505049511246800;0,00000167218914586715;0,00000001726772566662;0,00000020242098107944;0,00000000995229760121;0,00000001087712454067;0,00000007765211095688;0,00000002575192644924;0,00000246400702473658;0,00000156959905718669;0,00000222515985005402;0,00000135440342303701;0,00000234325143877179;0,00000004423841159250;0,00000205697658451516;0,00000001125207867499;0,00000077171942464540;0,00000511868251150003;0,00000148953317429313;0,00000458262059906402;0,00000068188406098840
-0,48591112785779783100;0,00000166992642551426;0,00000001741432759596;0,00000020115848245676;0,00000000996888654068;0,00000001075696162134;0,00000007715580182041;0,00000002594473880369;0,00000245420616740282;0,00000156256777798634;0,00000221639106703592;0,00000135041477444231;0,00000233931381900055;0,00000004373365803401;0,00000205018006870463;0,00000001111241806690;0,00000076783337236674;0,00000511376332318951;0,00000148360057234335;0,00000456642521337154;0,00000067964314218674
-0,48390720522048319400;0,00000166761359892788;0,00000001754652261739;0,00000019989244202995;0,00000000999066933969;0,00000001065048686239;0,00000007665935809695;0,00000002611529831410;0,00000244434935001907;0,00000155551214586345;0,00000220766402899741;0,00000134635165670774;0,00000233531771229514;0,00000004328785789647;0,00000204330720913706;0,00000001098827196510;0,00000076396177881672;0,00000510876256557978;0,00000147769880498625;0,00000455013821524960;0,00000067738908590622
-0,48190328258316855700;0,00000166525066610802;0,00000001766431073091;0,00000019862285979901;0,00000001001764599825;0,00000001055770026385;0,00000007616277978651;0,00000002626360498048;0,00000243443657258532;0,00000154843216081803;0,00000219897873593848;0,00000134221406983330;0,00000233126311865555;0,00000004290101117988;0,00000203635800581245;0,00000001087964036957;0,00000076010464399532;0,00000510368023867083;0,00000147182787222182;0,00000453375960469819;0,00000067512189214686
-0,47989935994585392000;0,00000166283762705468;0,00000001776769193652;0,00000019734973576394;0,00000001004981651636;0,00000001047860182570;0,00000007566606688908;0,00000002638965880282;0,00000242446783510159;0,00000154132782285008;0,00000219033518785915;0,00000133800201381900;0,00000232715003808178;0,00000004257311788423;0,00000202933245873080;0,00000001078652328033;0,00000075626196790254;0,00000509851634246266;0,00000146598777405007;0,00000451728938171732;0,00000067284156090865
-0,47789543730853928400;0,00000166037448176785;0,00000001785666623422;0,00000019607306992475;0,00000001008718089401;0,00000001041319154795;0,00000007516921940467;0,00000002649345978112;0,00000241444313756786;0,00000153419913195960;0,00000218173338475940;0,00000133371548866484;0,00000232297847057384;0,00000004230417800953;0,00000202223056789210;0,00000001070892069737;0,00000075243375053839;0,00000509327087695527;0,00000146017851047098;0,00000450072754630698;0,00000067054809219158
-0,47589151467122470200;0,00000165786123024753;0,00000001793123362401;0,00000019479286228142;0,00000001012973913121;0,00000001036146943059;0,00000007467223733328;0,00000002657500791539;0,00000240436247998415;0,00000152704608814659;0,00000217317332663924;0,00000132935449437081;0,00000231874841613172;0,00000004209419155578;0,00000201505233329637;0,00000001064683262069;0,00000074861999190286;0,00000508794384214866;0,00000145440008148457;0,00000448407409846718;0,00000066824148599567
-0,47388759203391006600;0,00000165529787249373;0,00000001799139410588;0,00000019350911283397;0,00000001017749122795;0,00000001032343547363;0,00000007417512067490;0,00000002663430320563;0,00000239422586235044;0,00000151986869141104;0,00000216465501349867;0,00000132491903093691;0,00000231445987475542;0,00000004194315852298;0,00000200779775494360;0,00000001060025905028;0,00000074482069199596;0,00000508253523804284;0,00000144865248709083;0,00000446732903819791;0,00000066592174232091
-0,47188366939659542900;0,00000165268440850644;0,00000001803714767985;0,00000019222182158239;0,00000001023043718425;0,00000001029908967707;0,00000007367786942954;0,00000002667134565183;0,00000238403328466674;0,00000151266694175297;0,00000215617844533769;0,00000132040909836315;0,00000231011284644495;0,00000004185107891113;0,00000200046683283378;0,00000001056919998616;0,00000074103585081768;0,00000507704506463779;0,00000144293572728976;0,00000445049236549918;0,00000066358886116729
-0,46987974675928079200;0,00000165002083828567;0,00000001806849434591;0,00000019093098852668;0,00000001028857700008;0,00000001028843204090;0,00000007318048359719;0,00000002668613525399;0,00000237378474693305;0,00000150544083917237;0,00000214774362215630;0,00000131582469664952;0,00000230570733120031;0,00000004181795272022;0,00000199305956696692;0,00000001055365542832;0,00000073726546836802;0,00000507147332193353;0,00000143724980208136;0,00000443356408037099;0,00000066124284253483
-0,46787582412196615500;0,00000164730716183141;0,00000001808543410406;0,00000018963661366684;0,00000001035191067547;0,00000001029146256513;0,00000007268296317786;0,00000002667867201212;0,00000236348024914936;0,00000149819038366923;0,00000213935054395450;0,00000131116582579603;0,00000230124332902149;0,00000004184377995026;0,00000198557595734303;0,00000001055362537676;0,00000073350954464699;0,00000506582000993005;0,00000143159471146564;0,00000441654418281333;0,00000065888368642352
-0,46587190148465151800;0,00000164454337914366;0,00000001808796695430;0,00000018833869700287;0,00000001042043821040;0,00000001030818124975;0,00000007218530817155;0,00000002664895592621;0,00000235311979131569;0,00000149091557524356;0,00000213099921073229;0,00000130643248580268;0,00000229672083990849;0,00000004192856060125;0,00000197801600396209;0,00000001056910983148;0,00000072976807965459;0,00000506008512862735;0,00000142597045544259;0,00000439943267282621;0,00000065651139283335
-0,46386797884733688100;0,00000164172949022243;0,00000001807609289662;0,00000018703723853477;0,00000001049415960487;0,00000001033858809478;0,00000007168751857825;0,00000002659698699626;0,00000234270337343202;0,00000148361641389537;0,00000212268962248966;0,00000130162467666945;0,00000229213986386131;0,00000004207229467318;0,00000197037970682411;0,00000001060010879248;0,00000072604107339081;0,00000505426867802543;0,00000142037703401221;0,00000438222955040962;0,00000065412596176434
-0,46186405621002230000;0,00000163886549506772;0,00000001804981193104;0,00000018573223826254;0,00000001057307485890;0,00000001038268310019;0,00000007118959439797;0,00000002652276522228;0,00000233223099549837;0,00000147629289962464;0,00000211442177922663;0,00000129674239839637;0,00000228750040087996;0,00000004227498216607;0,00000196266706592909;0,00000001064662225976;0,00000072232852585565;0,00000504837065812430;0,00000141481444717450;0,00000436493481556357;0,00000065172739321648
-0,45986013357270766300;0,00000163595139367952;0,00000001800912405755;0,00000018442369618619;0,00000001065718397246;0,00000001044046626601;0,00000007069153563070;0,00000002642629060426;0,00000232170265751472;0,00000146894503243138;0,00000210619568094318;0,00000129178565098342;0,00000228280245096444;0,00000004253662307990;0,00000195487808127703;0,00000001070865023332;0,00000071863043704912;0,00000504239106892394;0,00000140928269492946;0,00000434754846828805;0,00000064931568718977
