Sweep Time (mili secs)5,592000E+3;;;;;;;;;;;;;;;;;;;;
Number of Devices Configurations: 20;;;;;;;;;;;;;;;;;;;;
Fixed Source: Voltage Source 2;;;;;;;;;;;;;;;;;;;;
Fixed Source Value: 0,010000509846000;;;;;;;;;;;;;;;;;;;;
Variable Source: Voltage Source 1;;;;;;;;;;;;;;;;;;;;
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps;;;;;;;;;;;;;;;;;;;;
Display Measurement: ;;;;;;;;;;;;;;;;;;;;
ADC Gain: 10;;;;;;;;;;;;;;;;;;;;
Sense Resistor 1: 100;;;;;;;;;;;;;;;;;;;;
Sense Resistor 2: 998;;;;;;;;;;;;;;;;;;;;
Time to Wait After Each Sweep (ms): 1000;;;;;;;;;;;;;;;;;;;;
Delay after each Step inside sweep (us): 200;;;;;;;;;;;;;;;;;;;;
Number of ADC readings at each setpoint (for averages):  2;;;;;;;;;;;;;;;;;;;;
forward and backward sweep: FALSE;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
2025-04-07_15h55m29s,05m;;;;;;;;;;;;;;;;;;;;
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,499938586;2,065E-06;7,85307E-06;1,17965E-08;1,17737E-08;2,33511E-06;2,91135E-06;1,42307E-06;1,10775E-08;1,13088E-08;1,49221E-06;2,05366E-06;4,14755E-06;2,48606E-06;3,50494E-06;1,11433E-08;4,61177E-06;1,10697E-06;6,21082E-06;3,36912E-06;2,39786E-06
-0,497934664;2,05646E-06;7,85598E-06;1,17835E-08;1,18158E-08;2,3286E-06;2,90126E-06;1,42007E-06;1,11539E-08;1,13449E-08;1,48824E-06;2,04577E-06;4,13279E-06;2,47769E-06;3,49038E-06;1,12131E-08;4,59625E-06;1,10296E-06;6,19667E-06;3,35831E-06;2,39023E-06
-0,495930741;2,048E-06;7,85831E-06;1,17716E-08;1,18548E-08;2,32203E-06;2,89112E-06;1,41704E-06;1,12245E-08;1,13786E-08;1,48424E-06;2,03783E-06;4,11798E-06;2,46928E-06;3,47578E-06;1,12792E-08;4,58063E-06;1,09895E-06;6,1823E-06;3,34746E-06;2,38261E-06
