Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-04-08_02h53m47s,48m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
02h53m53s,23m;0,000003483577;0,000000797153;0,500018809701;-0,303554167862;0,000000008955;-0,000000007646;0,000008255145;0,000003056734;0,500018809701;-0,199350190722;0,000000028821;-0,000000032140;0,000000013173;0,000000011425;-0,467875824122;-0,499938586319;0,000000000245;-0,000000000049;0,000000013072;0,000000011441;0,425873672120;-0,499938586319;0,000000000125;-0,000000000051;0,000003680990;0,000000772890;0,500018809701;-0,183318809623;0,000000011254;-0,000000008539;0,000005018839;0,000000752630;0,500018809701;-0,191334500173;0,000000015578;-0,000000012875;0,000002198690;0,000000447186;0,500018809701;-0,169291351162;0,000000006525;-0,000000005820;0,000000012941;0,000000011039;-0,499938586319;-0,465871901485;0,000000000048;-0,000000000265;0,000000012691;0,000000011405;0,277583396959;0,500018809701;0,000000000032;-0,000000000157;0,000002568853;0,000000495882;0,500018809701;-0,179310964349;0,000000008181;-0,000000006479;0,000003969147;0,000000670429;0,500018809701;-0,167287428525;0,000000012731;-0,000000008460;0,000006825331;0,000001313168;0,500018809701;-0,165283505887;0,000000024721;-0,000000015996;0,000004304788;0,000000755285;0,500018809701;-0,167287428525;0,000000013797;-0,000000010824;0,000006971154;0,000001368283;0,500018809701;-0,183318809623;0,000000021350;-0,000000012398;0,000000013193;0,000000012146;0,500018809701;-0,129212898416;0,000000000123;-0,000000000061;0,000007444695;0,000001363754;0,500018809701;-0,141236434240;0,000000027095;-0,000000017637;0,000002075254;0,000000384055;0,500018809701;-0,133220743690;0,000000007043;-0,000000004132;0,000009153706;0,000001909937;0,500018809701;-0,111177594680;0,000000033066;-0,000000023033;0,000005408776;0,000001009907;0,500018809701;-0,105165826768;0,000000018311;-0,000000011779;0,000003482029;0,000000711890;0,500018809701;-0,111177594680;0,000000012127;-0,000000008629
02h54m00s,36m;0,000003248355;0,000000802564;0,500018809701;-0,173299196437;0,000000009002;-0,000000007505;0,000007859780;0,000003061995;0,500018809701;-0,103161904131;0,000000028675;-0,000000033241;0,000000013824;0,000000011649;0,500018809701;-0,499938586319;0,000000000247;-0,000000000035;0,000000013001;0,000000011576;0,227485331026;-0,499938586319;0,000000000153;-0,000000000044;0,000003462096;0,000000771621;0,500018809701;-0,117189362592;0,000000011247;-0,000000008629;0,000004717855;0,000000752116;0,500018809701;-0,129212898416;0,000000015732;-0,000000012866;0,000002057671;0,000000454805;0,500018809701;-0,113181517317;0,000000006493;-0,000000005865;0,000000012756;0,000000011286;0,131297044435;-0,477895437309;0,000000000070;-0,000000000123;0,000000012611;0,000000011602;-0,125205053141;-0,179310964349;0,000000000024;-0,000000000097;0,000002465328;0,000000499412;0,500018809701;-0,135224666328;0,000000008058;-0,000000006494;0,000003824114;0,000000663185;0,500018809701;-0,121197207867;0,000000012709;-0,000000008268;0,000006628513;0,000001315178;0,500018809701;-0,127208975778;0,000000024646;-0,000000016149;0,000004156949;0,000000755822;0,500018809701;-0,131216821053;0,000000013934;-0,000000010846;0,000006766544;0,000001366275;0,500018809701;-0,145244279514;0,000000021307;-0,000000014193;0,000000012906;0,000000011823;0,123281353886;-0,499938586319;0,000000000140;-0,000000000035;0,000007244965;0,000001366829;0,500018809701;-0,113181517317;0,000000027226;-0,000000018131;0,000002005466;0,000000386871;0,500018809701;-0,103161904131;0,000000007088;-0,000000003893;0,000008925711;0,000001914595;0,500018809701;-0,085126600395;0,000000033043;-0,000000023245;0,000005247797;0,000001008079;0,500018809701;-0,079114832483;0,000000018381;-0,000000012055;0,000003385856;0,000000710253;0,500018809701;-0,083122677758;0,000000012108;-0,000000008628
02h54m07s,45m;0,000003157788;0,000000802927;0,500018809701;-0,143240356877;0,000000008743;-0,000000007387;0,000007766868;0,000003069259;0,500018809701;-0,071099141934;0,000000028275;-0,000000033986;0,000000013038;0,000000011416;0,373771683550;-0,499938586319;0,000000000241;-0,000000000058;0,000000012877;0,000000011287;0,500018809701;-0,499938586319;0,000000000194;-0,000000000031;0,000003373510;0,000000778363;0,500018809701;-0,099154058856;0,000000011328;-0,000000008665;0,000004594880;0,000000751247;0,500018809701;-0,107169749405;0,000000015830;-0,000000012870;0,000001988478;0,000000460540;0,500018809701;-0,091138368307;0,000000006478;-0,000000005902;0,000000012541;0,000000011032;-0,233416875556;-0,469879746759;0,000000000063;-0,000000000222;0,000000012692;0,000000010817;0,077191133228;0,500018809701;0,000000000051;-0,000000000244;0,000002417026;0,000000499723;0,500018809701;-0,115185439955;0,000000008064;-0,000000006570;0,000003744470;0,000000661187;0,500018809701;-0,099154058856;0,000000012982;-0,000000008737;0,000006523824;0,000001321376;0,500018809701;-0,109173672043;0,000000024683;-0,000000016326;0,000004084599;0,000000758738;0,500018809701;-0,115185439955;0,000000013980;-0,000000010980;0,000006658384;0,000001365749;0,500018809701;-0,129212898416;0,000000021281;-0,000000014615;0,000000012768;0,000000011431;0,327681462892;-0,499938586319;0,000000000088;-0,000000000030;0,000007136395;0,000001371722;0,500018809701;-0,095146213581;0,000000027145;-0,000000018192;0,000001954971;0,000000385469;0,500018809701;-0,087130523032;0,000000007192;-0,000000004351;0,000008789937;0,000001915861;0,500018809701;-0,069095219296;0,000000033031;-0,000000023359;0,000005162143;0,000001005975;0,500018809701;-0,063083451384;0,000000018338;-0,000000012120;0,000003340726;0,000000714846;0,500018809701;-0,067091296659;0,000000012123;-0,000000008644
02h54m14s,57m;0,000003102706;0,000000802600;0,500018809701;-0,129212898416;0,000000008893;-0,000000007979;0,000007701878;0,000003083400;0,500018809701;-0,061079528747;0,000000029409;-0,000000033900;0,000000013168;0,000000011786;-0,499938586319;-0,075106987208;0,000000000034;-0,000000000164;0,000000013188;0,000000011678;0,171375497181;0,227485331026;0,000000000053;-0,000000000107;0,000003323065;0,000000776065;0,500018809701;-0,081118755120;0,000000011250;-0,000000008765;0,000004517302;0,000000751530;0,500018809701;-0,095146213581;0,000000015721;-0,000000012943;0,000001950870;0,000000462874;0,500018809701;-0,077110909846;0,000000006323;-0,000000005948;0,000000013186;0,000000011508;0,500018809701;-0,497934663682;0,000000000185;-0,000000000034;0,000000012818;0,000000011079;0,321669694980;-0,499938586319;0,000000000065;-0,000000000044;0,000002382825;0,000000500174;0,500018809701;-0,105165826768;0,000000008005;-0,000000006511;0,000003679966;0,000000659725;0,500018809701;-0,087130523032;0,000000012814;-0,000000008472;0,000006441900;0,000001318756;0,500018809701;-0,093142290944;0,000000024739;-0,000000016420;0,000004015538;0,000000761072;0,500018809701;-0,101157981493;0,000000013840;-0,000000010998;0,000006569938;0,000001369397;0,500018809701;-0,119193285229;0,000000021125;-0,000000015243;0,000000012870;0,000000011739;-0,079114832483;-0,023004998638;0,000000000122;-0,000000000051;0,000007050669;0,000001369932;0,500018809701;-0,083122677758;0,000000027096;-0,000000018298;0,000001941583;0,000000388159;0,500018809701;-0,075106987208;0,000000007080;-0,000000004155;0,000008685714;0,000001925123;0,500018809701;-0,057071683472;0,000000032810;-0,000000023635;0,000005092292;0,000001008853;0,500018809701;-0,051059915561;0,000000018210;-0,000000012201;0,000003302998;0,000000715016;0,500018809701;-0,057071683472;0,000000012092;-0,000000008674
02h54m21s,68m;0,000003073405;0,000000802507;0,500018809701;-0,117189362592;0,000000008927;-0,000000007590;0,000007775188;0,000003093824;-0,479899359946;-0,051059915561;0,000000028382;-0,000000034063;0,000000013582;0,000000011140;-0,499938586319;0,500018809701;0,000000000030;-0,000000000234;0,000000013543;0,000000011661;-0,499938586319;-0,459860133573;0,000000000055;-0,000000000208;0,000003281630;0,000000769939;0,500018809701;-0,071099141934;0,000000011246;-0,000000008854;0,000004451381;0,000000751310;0,500018809701;-0,083122677758;0,000000015715;-0,000000013025;0,000001932978;0,000000464698;0,500018809701;-0,065087374022;0,000000006376;-0,000000006029;0,000000013072;0,000000011738;0,463948202229;0,500018809701;0,000000000043;-0,000000000179;0,000000013071;0,000000011555;0,471963892779;-0,435813061925;0,000000000065;-0,000000000186;0,000002356794;0,000000500779;0,500018809701;-0,089134445670;0,000000008034;-0,000000006497;0,000003648389;0,000000662066;0,500018809701;-0,079114832483;0,000000012794;-0,000000008684;0,000006383923;0,000001315654;0,500018809701;-0,085126600395;0,000000025019;-0,000000016406;0,000003977193;0,000000759930;0,500018809701;-0,091138368307;0,000000013901;-0,000000010996;0,000006497130;0,000001369817;0,500018809701;-0,107169749405;0,000000021151;-0,000000015801;0,000000012806;0,000000011655;-0,273495328302;-0,499938586319;0,000000000162;-0,000000000031;0,000006985466;0,000001370496;0,500018809701;-0,073103064571;0,000000027319;-0,000000018357;0,000001922740;0,000000386980;0,500018809701;-0,065087374022;0,000000007061;-0,000000004044;0,000008607919;0,000001924984;0,500018809701;-0,047052070286;0,000000032628;-0,000000023656;0,000005027301;0,000001013193;0,500018809701;-0,045048147649;0,000000018041;-0,000000012246;0,000003267435;0,000000715175;0,500018809701;-0,053063838198;0,000000012240;-0,000000008652
02h54m28s,84m;0,000003057267;0,000000803174;0,500018809701;-0,109173672043;0,000000008734;-0,000000007671;0,000007879787;0,000003093623;-0,477895437309;-0,035028534462;0,000000028645;-0,000000033664;0,000000013069;0,000000011345;-0,177307041711;-0,499938586319;0,000000000204;-0,000000000036;0,000000013413;0,000000011420;0,500018809701;-0,499938586319;0,000000000244;-0,000000000049;0,000003261557;0,000000788521;0,500018809701;-0,065087374022;0,000000011058;-0,000000008750;0,000004404823;0,000000760636;0,500018809701;-0,079114832483;0,000000015450;-0,000000013029;0,000001907563;0,000000471536;0,500018809701;-0,063083451384;0,000000006251;-0,000000006075;0,000000012876;0,000000011517;0,175383342456;-0,437816984562;0,000000000043;-0,000000000070;0,000000012645;0,000000011289;0,275579474322;-0,465871901485;0,000000000031;-0,000000000186;0,000002333115;0,000000509314;0,500018809701;-0,091138368307;0,000000007716;-0,000000006693;0,000003610991;0,000000663172;0,500018809701;-0,073103064571;0,000000012666;-0,000000008666;0,000006327320;0,000001333473;0,500018809701;-0,081118755120;0,000000024540;-0,000000016526;0,000003942942;0,000000762101;0,500018809701;-0,087130523032;0,000000013727;-0,000000011090;0,000006456043;0,000001372458;0,500018809701;-0,101157981493;0,000000021013;-0,000000016005;0,000000012963;0,000000011516;0,467956047504;0,223477485752;0,000000000069;-0,000000000178;0,000006928350;0,000001382139;0,500018809701;-0,071099141934;0,000000026886;-0,000000018487;0,000001896471;0,000000389897;0,500018809701;-0,063083451384;0,000000006999;-0,000000004230;0,000008535760;0,000001938923;0,500018809701;-0,043044225011;0,000000032312;-0,000000023776;0,000004983409;0,000001007784;0,500018809701;-0,035028534462;0,000000018078;-0,000000012206;0,000003238338;0,000000714715;0,500018809701;-0,043044225011;0,000000011990;-0,000000008588
02h54m35s,92m;0,000003037456;0,000000804334;0,500018809701;-0,099154058856;0,000000008799;-0,000000007565;0,000007974226;0,000003101510;-0,479899359946;-0,027012843913;0,000000028813;-0,000000034222;0,000000013034;0,000000011650;-0,231412952919;-0,171295273799;0,000000000043;-0,000000000133;0,000000012991;0,000000011682;0,421865826846;-0,375695382805;0,000000000071;-0,000000000089;0,000003218127;0,000000771790;0,500018809701;-0,059075606110;0,000000010953;-0,000000008839;0,000004359058;0,000000751424;0,500018809701;-0,069095219296;0,000000015759;-0,000000013046;0,000001878387;0,000000466224;0,500018809701;-0,053063838198;0,000000006275;-0,000000006096;0,000000013082;0,000000011115;0,471963892779;-0,499938586319;0,000000000193;-0,000000000095;0,000000012879;0,000000011684;0,179391187731;-0,499938586319;0,000000000100;-0,000000000045;0,000002321942;0,000000501230;0,500018809701;-0,075106987208;0,000000007986;-0,000000006632;0,000003582065;0,000000662904;0,500018809701;-0,063083451384;0,000000012902;-0,000000008834;0,000006293327;0,000001318977;0,500018809701;-0,071099141934;0,000000024989;-0,000000016534;0,000003923776;0,000000762311;0,500018809701;-0,077110909846;0,000000013804;-0,000000011166;0,000006404996;0,000001371084;0,500018809701;-0,095146213581;0,000000021161;-0,000000016282;0,000000013088;0,000000011805;0,500018809701;-0,129212898416;0,000000000178;-0,000000000035;0,000006881026;0,000001371406;0,500018809701;-0,061079528747;0,000000027060;-0,000000018631;0,000001885480;0,000000388855;0,500018809701;-0,051059915561;0,000000007085;-0,000000004212;0,000008491888;0,000001924761;0,500018809701;-0,035028534462;0,000000032426;-0,000000023824;0,000004951011;0,000001011146;0,500018809701;-0,029016766550;0,000000018181;-0,000000012327;0,000003217972;0,000000715894;0,500018809701;-0,037032457099;0,000000012049;-0,000000008530
02h54m43s,03m;0,000003007487;0,000000803561;0,500018809701;-0,095146213581;0,000000008664;-0,000000007841;0,000008150472;0,000003110585;-0,495930741044;-0,023004998638;0,000000028692;-0,000000034435;0,000000013496;0,000000011223;0,500018809701;-0,499938586319;0,000000000256;-0,000000000060;0,000000012990;0,000000011859;0,135304889710;0,073183287953;0,000000000148;-0,000000000039;0,000003201199;0,000000777376;0,500018809701;-0,053063838198;0,000000011075;-0,000000008884;0,000004333742;0,000000750248;0,500018809701;-0,065087374022;0,000000015558;-0,000000013022;0,000001871181;0,000000469560;0,500018809701;-0,051059915561;0,000000006195;-0,000000005973;0,000000012919;0,000000011086;0,175383342456;-0,471883669397;0,000000000057;-0,000000000170;0,000000012961;0,000000011816;0,371767760913;-0,127208975778;0,000000000042;-0,000000000114;0,000002307298;0,000000500119;0,500018809701;-0,071099141934;0,000000008014;-0,000000006558;0,000003556654;0,000000662403;0,500018809701;-0,057071683472;0,000000012881;-0,000000008686;0,000006257328;0,000001321809;0,500018809701;-0,067091296659;0,000000024951;-0,000000016585;0,000003888223;0,000000762437;0,500018809701;-0,073103064571;0,000000013772;-0,000000011039;0,000006366358;0,000001368955;0,500018809701;-0,089134445670;0,000000021085;-0,000000016407;0,000000012979;0,000000011775;0,175383342456;0,500018809701;0,000000000041;-0,000000000174;0,000006836720;0,000001370484;0,500018809701;-0,057071683472;0,000000027151;-0,000000018575;0,000001882053;0,000000388676;0,500018809701;-0,049055992923;0,000000007078;-0,000000004239;0,000008450176;0,000001924531;0,500018809701;-0,031020689187;0,000000032654;-0,000000023841;0,000004926177;0,000001010924;0,500018809701;-0,027012843913;0,000000018096;-0,000000012384;0,000003216735;0,000000711560;0,500018809701;-0,031020689187;0,000000012056;-0,000000008728
02h54m50s,11m;0,000002979877;0,000000798781;0,500018809701;-0,087130523032;0,000000008673;-0,000000008864;0,000008176213;0,000003110031;-0,487915050495;-0,016993230726;0,000000028701;-0,000000034742;0,000000013310;0,000000011243;-0,499938586319;0,500018809701;0,000000000044;-0,000000000222;0,000000013943;0,000000011192;-0,499938586319;0,500018809701;0,000000000033;-0,000000000225;0,000003178219;0,000000769986;0,500018809701;-0,049055992923;0,000000010956;-0,000000008895;0,000004306621;0,000000749748;0,500018809701;-0,061079528747;0,000000015613;-0,000000013011;0,000001857898;0,000000471687;0,500018809701;-0,041040302374;0,000000006373;-0,000000006090;0,000000013610;0,000000011069;0,500018809701;-0,499938586319;0,000000000169;-0,000000000033;0,000000013420;0,000000011441;0,500018809701;-0,223397262370;0,000000000116;-0,000000000041;0,000002295796;0,000000502095;0,500018809701;-0,067091296659;0,000000007938;-0,000000006543;0,000003540218;0,000000663398;0,500018809701;-0,053063838198;0,000000012682;-0,000000008729;0,000006224850;0,000001323467;0,500018809701;-0,063083451384;0,000000024924;-0,000000016648;0,000003869428;0,000000763151;0,500018809701;-0,069095219296;0,000000013790;-0,000000011139;0,000006329451;0,000001370824;0,500018809701;-0,085126600395;0,000000021051;-0,000000016857;0,000000012891;0,000000011942;0,335697153441;-0,379703228080;0,000000000042;-0,000000000036;0,000006806546;0,000001375127;0,500018809701;-0,053063838198;0,000000026956;-0,000000018643;0,000001868094;0,000000387467;0,500018809701;-0,045048147649;0,000000007150;-0,000000004585;0,000008415565;0,000001931329;0,500018809701;-0,027012843913;0,000000032474;-0,000000023980;0,000004895501;0,000001014843;0,500018809701;-0,021001076001;0,000000018113;-0,000000012404;0,000003198003;0,000000713352;0,500018809701;-0,027012843913;0,000000012237;-0,000000008647
02h54m57s,19m;0,000002981111;0,000000801278;0,500018809701;-0,087130523032;0,000000008678;-0,000000007606;0,000008211075;0,000003112272;-0,485911127858;-0,014989308089;0,000000029206;-0,000000034560;0,000000013082;0,000000011640;0,321669694980;-0,473887592034;0,000000000112;-0,000000000114;0,000000012961;0,000000011855;-0,323593394235;-0,077110909846;0,000000000044;-0,000000000137;0,000003173409;0,000000777069;0,500018809701;-0,047052070286;0,000000010993;-0,000000008891;0,000004284628;0,000000754013;0,500018809701;-0,059075606110;0,000000015604;-0,000000013042;0,000001848744;0,000000473020;0,500018809701;-0,041040302374;0,000000006384;-0,000000006088;0,000000013361;0,000000011605;0,467956047504;-0,467875824122;0,000000000057;-0,000000000228;0,000000012774;0,000000011471;0,483987428602;-0,499938586319;0,000000000136;-0,000000000037;0,000002286662;0,000000503011;0,500018809701;-0,065087374022;0,000000007947;-0,000000006647;0,000003516661;0,000000663247;0,500018809701;-0,049055992923;0,000000012690;-0,000000008944;0,000006204801;0,000001324538;0,500018809701;-0,059075606110;0,000000024957;-0,000000016645;0,000003855742;0,000000764436;0,500018809701;-0,065087374022;0,000000013764;-0,000000011186;0,000006300228;0,000001367445;0,500018809701;-0,081118755120;0,000000021069;-0,000000016517;0,000000013387;0,000000011717;-0,499938586319;0,500018809701;0,000000000021;-0,000000000147;0,000006778659;0,000001373203;0,500018809701;-0,047052070286;0,000000026933;-0,000000018670;0,000001862380;0,000000386416;0,500018809701;-0,039036379737;0,000000007207;-0,000000004279;0,000008382283;0,000001934369;0,500018809701;-0,023004998638;0,000000032441;-0,000000024009;0,000004866767;0,000001013699;0,500018809701;-0,018997153363;0,000000018055;-0,000000012457;0,000003182926;0,000000712807;0,500018809701;-0,025008921275;0,000000012095;-0,000000008640
