Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-04-07_18h18m47s,16m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
18h18m52s,88m;0,000001980683;0,000000328436;0,500018809701;-0,273495328302;0,000000005413;-0,000000004702;0,000006015536;0,000001192433;0,500018809701;-0,267483560391;0,000000016471;-0,000000012173;0,000002254785;0,000000789089;0,500018809701;-0,269487483028;0,000000005143;-0,000000004525;0,000002747408;0,000000599081;0,500018809701;-0,247444334017;0,000000007285;-0,000000005425;0,000002058131;0,000000761873;0,500018809701;-0,291530632038;0,000000004880;-0,000000001936;0,000002233871;0,000000829695;0,500018809701;-0,227405107644;0,000000004859;-0,000000002741;0,000000208376;0,000000036317;0,500018809701;-0,187326654898;0,000000000646;-0,000000000475;0,000001250223;0,000000221319;0,500018809701;-0,171295273799;0,000000003950;-0,000000002882;0,000001763369;0,000000301449;0,500018809701;-0,165283505887;0,000000005507;-0,000000004650;0,000000011948;0,000000009460;0,439901130582;-0,477895437309;0,000000000091;-0,000000000170;0,000001389355;0,000000293036;0,500018809701;-0,187326654898;0,000000004192;-0,000000003437;0,000000012656;0,000000011318;0,500018809701;-0,425793448738;0,000000000150;-0,000000000052;0,000004339248;0,000000849343;0,500018809701;-0,191334500173;0,000000013453;-0,000000012118;0,000001928126;0,000000402735;0,500018809701;-0,199350190722;0,000000006022;-0,000000004068;0,000000012051;0,000000010591;0,227485331026;-0,173299196437;0,000000000080;-0,000000000057;0,000000755854;0,000000143717;0,500018809701;-0,179310964349;0,000000002119;-0,000000001818;0,000000012371;0,000000010489;0,373771683550;-0,225401185007;0,000000000102;-0,000000000104;0,000001923194;0,000000941296;0,500018809701;-0,165283505887;0,000000003972;-0,000000004340;0,000000020163;0,000000008559;0,500018809701;-0,499938586319;0,000000000435;-0,000000000124;0,000000407796;0,000000066832;0,500018809701;-0,069095219296;0,000000001721;-0,000000001344
18h18m59s,97m;0,000001872767;0,000000328505;0,500018809701;-0,181314886986;0,000000005664;-0,000000004526;0,000005732227;0,000001193963;0,500018809701;-0,189330577535;0,000000016723;-0,000000012925;0,000002089052;0,000000734666;0,500018809701;-0,209369803908;0,000000005064;-0,000000004710;0,000002618747;0,000000596547;0,500018809701;-0,185322732261;0,000000007455;-0,000000005732;0,000001964660;0,000000752436;0,500018809701;-0,247444334017;0,000000004965;-0,000000002609;0,000002146147;0,000000820914;0,500018809701;-0,183318809623;0,000000005260;-0,000000003072;0,000000199733;0,000000036966;0,500018809701;-0,131216821053;0,000000000664;-0,000000000446;0,000001180571;0,000000224326;0,500018809701;-0,135224666328;0,000000003964;-0,000000002944;0,000001691695;0,000000304370;0,500018809701;-0,127208975778;0,000000005450;-0,000000004534;0,000000013317;0,000000008522;0,500018809701;-0,499938586319;0,000000000362;-0,000000000057;0,000001357612;0,000000288601;0,500018809701;-0,149252124789;0,000000004272;-0,000000003465;0,000000012371;0,000000011356;0,323673617617;-0,377699305443;0,000000000140;-0,000000000045;0,000004219489;0,000000846407;0,500018809701;-0,163279583250;0,000000013777;-0,000000012199;0,000001866046;0,000000407143;0,500018809701;-0,169291351162;0,000000006233;-0,000000004552;0,000000012169;0,000000011021;0,377779528825;-0,217385494458;0,000000000131;-0,000000000086;0,000000731540;0,000000144882;0,500018809701;-0,151256047426;0,000000002079;-0,000000001876;0,000000012300;0,000000010768;0,500018809701;-0,029016766550;0,000000000174;-0,000000000051;0,000001877725;0,000000947962;0,500018809701;-0,147248202152;0,000000003927;-0,000000004323;0,000000020408;0,000000009743;0,465952124867;-0,469879746759;0,000000000146;-0,000000000682;0,000000395313;0,000000068012;0,500018809701;-0,043044225011;0,000000001756;-0,000000001338
18h19m07s,04m;0,000001828291;0,000000330201;0,500018809701;-0,159271737976;0,000000005676;-0,000000004754;0,000005620326;0,000001195087;0,500018809701;-0,165283505887;0,000000016707;-0,000000013110;0,000002027332;0,000000710737;0,500018809701;-0,185322732261;0,000000005177;-0,000000004688;0,000002567560;0,000000599068;0,500018809701;-0,165283505887;0,000000007456;-0,000000005761;0,000001930669;0,000000748499;0,500018809701;-0,223397262370;0,000000005162;-0,000000002778;0,000002115274;0,000000816100;0,500018809701;-0,163279583250;0,000000005018;-0,000000003215;0,000000194464;0,000000036065;0,500018809701;-0,125205053141;0,000000000627;-0,000000000558;0,000001162719;0,000000225324;0,500018809701;-0,113181517317;0,000000003956;-0,000000002939;0,000001651662;0,000000301850;0,500018809701;-0,111177594680;0,000000005570;-0,000000004523;0,000000012664;0,000000008116;0,500018809701;-0,499938586319;0,000000000318;-0,000000000072;0,000001330613;0,000000290790;0,500018809701;-0,129212898416;0,000000004206;-0,000000003470;0,000000012387;0,000000011087;0,469959970141;0,500018809701;0,000000000057;-0,000000000208;0,000004154276;0,000000849751;0,500018809701;-0,145244279514;0,000000013265;-0,000000012225;0,000001840404;0,000000402570;0,500018809701;-0,145244279514;0,000000005834;-0,000000004350;0,000000013048;0,000000010735;0,500018809701;0,073183287953;0,000000000279;-0,000000000051;0,000000717902;0,000000146753;0,500018809701;-0,137228588965;0,000000002102;-0,000000001922;0,000000012312;0,000000010807;0,469959970141;0,023085222020;0,000000000049;-0,000000000169;0,000001895989;0,000000953833;0,500018809701;-0,125205053141;0,000000004238;-0,000000004429;0,000000020373;0,000000008019;0,500018809701;-0,499938586319;0,000000000585;-0,000000000114;0,000000387345;0,000000066514;0,500018809701;-0,029016766550;0,000000001795;-0,000000001324
18h19m14s,10m;0,000001803897;0,000000326548;0,500018809701;-0,141236434240;0,000000005718;-0,000000004714;0,000005556892;0,000001196910;0,500018809701;-0,149252124789;0,000000016386;-0,000000013139;0,000001991567;0,000000698716;0,500018809701;-0,177307041711;0,000000005229;-0,000000004722;0,000002533989;0,000000599034;0,500018809701;-0,151256047426;0,000000007534;-0,000000005774;0,000001902565;0,000000746674;0,500018809701;-0,205361958634;0,000000005010;-0,000000002960;0,000002101688;0,000000815727;0,500018809701;-0,147248202152;0,000000004997;-0,000000003343;0,000000193929;0,000000035922;0,500018809701;-0,115185439955;0,000000000734;-0,000000000525;0,000001136714;0,000000225033;0,500018809701;-0,099154058856;0,000000004035;-0,000000002915;0,000001625656;0,000000305860;0,500018809701;-0,095146213581;0,000000005529;-0,000000004495;0,000000012341;0,000000008645;0,273575551684;-0,499938586319;0,000000000289;-0,000000000178;0,000001315997;0,000000289134;0,500018809701;-0,117189362592;0,000000004224;-0,000000003460;0,000000012546;0,000000011516;0,421865826846;-0,499938586319;0,000000000043;-0,000000000036;0,000004099409;0,000000848070;0,500018809701;-0,135224666328;0,000000013620;-0,000000012232;0,000001803450;0,000000405220;0,500018809701;-0,139232511602;0,000000005943;-0,000000004346;0,000000012096;0,000000010929;0,473967815416;-0,125205053141;0,000000000042;-0,000000000085;0,000000711272;0,000000146456;0,500018809701;-0,123201130504;0,000000002207;-0,000000001800;0,000000012140;0,000000010646;-0,499938586319;-0,077110909846;0,000000000081;-0,000000000173;0,000001860908;0,000000951734;0,500018809701;-0,115185439955;0,000000005351;-0,000000004451;0,000000021975;0,000000008981;0,500018809701;-0,499938586319;0,000000000526;-0,000000000046;0,000000384738;0,000000064673;0,500018809701;-0,021001076001;0,000000001838;-0,000000001352
18h19m21s,19m;0,000001779794;0,000000326089;0,500018809701;-0,129212898416;0,000000005804;-0,000000004588;0,000005501890;0,000001198307;0,500018809701;-0,141236434240;0,000000016526;-0,000000013188;0,000001961727;0,000000688369;0,500018809701;-0,165283505887;0,000000005231;-0,000000004797;0,000002514274;0,000000597185;0,500018809701;-0,139232511602;0,000000007458;-0,000000005717;0,000001886550;0,000000746945;0,500018809701;-0,203358035996;0,000000005313;-0,000000003028;0,000002084285;0,000000814172;0,500018809701;-0,139232511602;0,000000005344;-0,000000003351;0,000000188797;0,000000036093;0,500018809701;-0,093142290944;0,000000000623;-0,000000000570;0,000001126117;0,000000221907;0,500018809701;-0,089134445670;0,000000003996;-0,000000002900;0,000001613728;0,000000303236;0,500018809701;-0,089134445670;0,000000005546;-0,000000004596;0,000000012732;0,000000008034;0,500018809701;-0,499938586319;0,000000000279;-0,000000000041;0,000001299915;0,000000289300;0,500018809701;-0,109173672043;0,000000004235;-0,000000003521;0,000000013045;0,000000011195;0,500018809701;-0,499938586319;0,000000000207;-0,000000000027;0,000004058044;0,000000849492;0,500018809701;-0,123201130504;0,000000013453;-0,000000012277;0,000001785127;0,000000407108;0,500018809701;-0,129212898416;0,000000006037;-0,000000004623;0,000000012137;0,000000010634;0,471963892779;-0,329605162147;0,000000000041;-0,000000000103;0,000000698654;0,000000148094;0,500018809701;-0,119193285229;0,000000002178;-0,000000001817;0,000000011982;0,000000010843;0,500018809701;-0,499938586319;0,000000000133;-0,000000000039;0,000001822825;0,000000953531;0,500018809701;-0,107169749405;0,000000003791;-0,000000004423;0,000000021493;0,000000008679;0,500018809701;-0,499938586319;0,000000000573;-0,000000000027;0,000000379257;0,000000066336;0,500018809701;-0,010981462814;0,000000001799;-0,000000001319
18h19m28s,26m;0,000001772279;0,000000325356;0,500018809701;-0,123201130504;0,000000005909;-0,000000004604;0,000005456882;0,000001193953;0,500018809701;-0,133220743690;0,000000016389;-0,000000013370;0,000001943438;0,000000678066;0,500018809701;-0,159271737976;0,000000005143;-0,000000004751;0,000002494846;0,000000600850;0,500018809701;-0,139232511602;0,000000007363;-0,000000005797;0,000001866355;0,000000749116;0,500018809701;-0,189330577535;0,000000005031;-0,000000003132;0,000002073143;0,000000812662;0,500018809701;-0,135224666328;0,000000004941;-0,000000003405;0,000000187080;0,000000037266;0,500018809701;-0,087130523032;0,000000000640;-0,000000000512;0,000001114379;0,000000228305;0,500018809701;-0,091138368307;0,000000003969;-0,000000003028;0,000001590941;0,000000305640;0,500018809701;-0,081118755120;0,000000005452;-0,000000004521;0,000000012338;0,000000007341;0,423869749483;-0,499938586319;0,000000000257;-0,000000000068;0,000001292566;0,000000288918;0,500018809701;-0,099154058856;0,000000004279;-0,000000003526;0,000000012469;0,000000010985;0,465952124867;0,500018809701;0,000000000043;-0,000000000212;0,000004039313;0,000000849549;0,500018809701;-0,119193285229;0,000000013501;-0,000000012362;0,000001768837;0,000000406228;0,500018809701;-0,119193285229;0,000000006102;-0,000000004529;0,000000012192;0,000000010917;0,500018809701;-0,379703228080;0,000000000167;-0,000000000040;0,000000695162;0,000000148075;0,500018809701;-0,111177594680;0,000000002155;-0,000000001893;0,000000012264;0,000000010752;0,467956047504;-0,085126600395;0,000000000061;-0,000000000224;0,000001827566;0,000000957495;0,500018809701;-0,109173672043;0,000000003806;-0,000000004280;0,000000019629;0,000000008272;0,500018809701;-0,499938586319;0,000000000530;-0,000000000096;0,000000375919;0,000000065918;0,500018809701;-0,002965772265;0,000000001780;-0,000000001351
18h19m35s,28m;0,000001757270;0,000000325618;0,500018809701;-0,115185439955;0,000000005831;-0,000000004609;0,000005427778;0,000001197879;0,500018809701;-0,129212898416;0,000000016547;-0,000000013409;0,000001922360;0,000000671341;0,500018809701;-0,145244279514;0,000000005195;-0,000000004790;0,000002476609;0,000000599764;0,500018809701;-0,129212898416;0,000000007521;-0,000000005771;0,000001852990;0,000000743833;0,500018809701;-0,183318809623;0,000000005124;-0,000000003179;0,000002065355;0,000000810341;0,500018809701;-0,127208975778;0,000000005053;-0,000000003445;0,000000185812;0,000000037576;0,500018809701;-0,083122677758;0,000000000737;-0,000000000456;0,000001107432;0,000000222726;0,500018809701;-0,079114832483;0,000000003945;-0,000000002958;0,000001579662;0,000000302053;0,500018809701;-0,073103064571;0,000000005476;-0,000000004571;0,000000012388;0,000000009594;0,467956047504;-0,447836597749;0,000000000066;-0,000000000284;0,000001282816;0,000000288892;0,500018809701;-0,093142290944;0,000000004265;-0,000000003499;0,000000012468;0,000000011355;-0,469879746759;-0,325597316873;0,000000000166;-0,000000000043;0,000004001246;0,000000850239;0,500018809701;-0,111177594680;0,000000013424;-0,000000012195;0,000001737454;0,000000411236;0,500018809701;-0,115185439955;0,000000005957;-0,000000004696;0,000000012290;0,000000010648;0,485991351240;-0,115185439955;0,000000000099;-0,000000000059;0,000000689309;0,000000147814;0,500018809701;-0,107169749405;0,000000002264;-0,000000001839;0,000000012052;0,000000010644;0,421865826846;-0,023004998638;0,000000000172;-0,000000000056;0,000001818892;0,000000954633;0,500018809701;-0,097150136219;0,000000003968;-0,000000004460;0,000000018784;0,000000010456;0,473967815416;-0,465871901485;0,000000000168;-0,000000000402;0,000000378606;0,000000067138;0,500018809701;-0,000961849628;0,000000001748;-0,000000001272
18h19m42s,39m;0,000001745487;0,000000326403;0,500018809701;-0,111177594680;0,000000005738;-0,000000004742;0,000005406554;0,000001199577;0,500018809701;-0,125205053141;0,000000016376;-0,000000013388;0,000001908970;0,000000667895;0,500018809701;-0,147248202152;0,000000005114;-0,000000004857;0,000002465254;0,000000600677;0,500018809701;-0,125205053141;0,000000007471;-0,000000005860;0,000001844764;0,000000744847;0,500018809701;-0,177307041711;0,000000005102;-0,000000003200;0,000002061084;0,000000811604;0,500018809701;-0,123201130504;0,000000005373;-0,000000003496;0,000000185648;0,000000036183;0,500018809701;-0,081118755120;0,000000000768;-0,000000000495;0,000001099232;0,000000224832;0,500018809701;-0,077110909846;0,000000003932;-0,000000002995;0,000001567493;0,000000305596;0,500018809701;-0,073103064571;0,000000005512;-0,000000004582;0,000000012583;0,000000009322;0,463948202229;-0,467875824122;0,000000000065;-0,000000000407;0,000001271844;0,000000290762;0,500018809701;-0,087130523032;0,000000004289;-0,000000003494;0,000000012330;0,000000011243;0,500018809701;-0,499938586319;0,000000000121;-0,000000000025;0,000003993952;0,000000852194;0,500018809701;-0,109173672043;0,000000013209;-0,000000012263;0,000001740903;0,000000407134;0,500018809701;-0,117189362592;0,000000005825;-0,000000004717;0,000000011944;0,000000010646;0,419861904208;-0,171295273799;0,000000000076;-0,000000000102;0,000000680892;0,000000149258;0,500018809701;-0,099154058856;0,000000002221;-0,000000001831;0,000000011827;0,000000010534;0,437897207944;-0,171295273799;0,000000000050;-0,000000000139;0,000001805017;0,000000957588;0,500018809701;-0,085126600395;0,000000003939;-0,000000004773;0,000000018913;0,000000009702;0,469959970141;-0,469879746759;0,000000000179;-0,000000000572;0,000000365407;0,000000063635;0,500018809701;0,011061686196;0,000000001736;-0,000000001392
18h19m49s,48m;0,000001737519;0,000000327027;0,500018809701;-0,113181517317;0,000000005773;-0,000000004650;0,000005376555;0,000001200041;0,500018809701;-0,119193285229;0,000000016541;-0,000000013302;0,000001896727;0,000000660130;0,500018809701;-0,141236434240;0,000000005186;-0,000000004840;0,000002454587;0,000000600905;0,500018809701;-0,119193285229;0,000000007421;-0,000000005874;0,000001832870;0,000000743853;0,500018809701;-0,171295273799;0,000000005188;-0,000000003265;0,000002054070;0,000000812009;0,500018809701;-0,119193285229;0,000000005130;-0,000000003521;0,000000184790;0,000000037053;0,500018809701;-0,077110909846;0,000000000635;-0,000000000489;0,000001095295;0,000000224268;0,500018809701;-0,069095219296;0,000000003962;-0,000000002934;0,000001564619;0,000000298946;0,500018809701;-0,063083451384;0,000000005452;-0,000000004574;0,000000012253;0,000000007704;0,425873672120;-0,499938586319;0,000000000193;-0,000000000076;0,000001268570;0,000000289566;0,500018809701;-0,083122677758;0,000000004328;-0,000000003482;0,000000012623;0,000000010829;-0,499938586319;0,500018809701;0,000000000052;-0,000000000241;0,000003968021;0,000000853080;0,500018809701;-0,101157981493;0,000000013492;-0,000000012316;0,000001736679;0,000000407673;0,500018809701;-0,109173672043;0,000000006001;-0,000000004822;0,000000012169;0,000000010766;0,500018809701;-0,323593394235;0,000000000079;-0,000000000030;0,000000678810;0,000000147572;0,500018809701;-0,093142290944;0,000000002169;-0,000000001951;0,000000012739;0,000000010677;0,500018809701;-0,025008921275;0,000000000136;-0,000000000052;0,000001811688;0,000000962282;0,500018809701;-0,085126600395;0,000000003980;-0,000000004549;0,000000019012;0,000000008566;0,500018809701;-0,499938586319;0,000000000538;-0,000000000114;0,000000368906;0,000000066657;0,500018809701;0,013065608834;0,000000001682;-0,000000001353
18h19m56s,51m;0,000001727942;0,000000326831;0,500018809701;-0,103161904131;0,000000005748;-0,000000004651;0,000005355647;0,000001200220;0,500018809701;-0,113181517317;0,000000016705;-0,000000013433;0,000001882007;0,000000651385;0,500018809701;-0,135224666328;0,000000005208;-0,000000004880;0,000002444543;0,000000599204;0,500018809701;-0,117189362592;0,000000007452;-0,000000005830;0,000001823867;0,000000742254;0,500018809701;-0,171295273799;0,000000005062;-0,000000003307;0,000002043531;0,000000810981;0,500018809701;-0,111177594680;0,000000005026;-0,000000003543;0,000000180829;0,000000035632;0,500018809701;-0,075106987208;0,000000000594;-0,000000000500;0,000001091319;0,000000222428;0,500018809701;-0,065087374022;0,000000003977;-0,000000003015;0,000001552459;0,000000302336;0,500018809701;-0,061079528747;0,000000005458;-0,000000004628;0,000000012305;0,000000008367;0,500018809701;-0,499938586319;0,000000000269;-0,000000000077;0,000001257291;0,000000290984;0,500018809701;-0,079114832483;0,000000004248;-0,000000003489;0,000000012430;0,000000011402;0,377779528825;-0,423789526101;0,000000000056;-0,000000000048;0,000003958610;0,000000853242;0,500018809701;-0,101157981493;0,000000013279;-0,000000012498;0,000001727826;0,000000408017;0,500018809701;-0,113181517317;0,000000006076;-0,000000004819;0,000000012447;0,000000010201;0,500018809701;-0,499938586319;0,000000000301;-0,000000000070;0,000000677183;0,000000147702;0,500018809701;-0,093142290944;0,000000002319;-0,000000001924;0,000000012293;0,000000010617;-0,471883669397;-0,223397262370;0,000000000193;-0,000000000065;0,000001799128;0,000000961478;0,500018809701;-0,079114832483;0,000000003868;-0,000000004505;0,000000017318;0,000000009296;0,427877594758;-0,483907205220;0,000000000158;-0,000000000096;0,000000365577;0,000000063213;0,500018809701;0,015069531471;0,000000001745;-0,000000001686
