Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE


2025-04-07_09h22m50s,13m
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,49993858631900023300;0,00000058751326349660;0,00000202481861503448;0,00000092278136009134;0,00000097605025325484;0,00000088287636753286;0,00000106188688362838;0,00000010150636867814;0,00000059584031741369;0,00000082519039765343;-0,00000001699815426350;0,00000063017834145223;0,00000000575333166638;0,00000235451725781972;0,00000080482771009806;0,00000001177520405625;0,00000033956674526215;0,00000000306572256581;0,00000142465932306766;0,00000000778618502350;0,00000018937963703575
-0,49793466368168559600;0,00000058149694907947;0,00000201370793836645;0,00000091885916652683;0,00000097243185150175;0,00000088095793042453;0,00000105984293683783;0,00000010100676551452;0,00000059362591475492;0,00000082237067171711;-0,00000001631017108800;0,00000062809247251671;0,00000000584865392344;0,00000234499644191501;0,00000080236141098008;0,00000001168671355968;0,00000033893843520387;0,00000000321616064554;0,00000142153086432468;0,00000000768173614093;0,00000018877975194658
-0,49593074104437096000;0,00000057553837334520;0,00000200257810975467;0,00000091489704678229;0,00000096877961720672;0,00000087902940802714;0,00000105778448589826;0,00000010051397250811;0,00000059139496078050;0,00000081950920978164;-0,00000001565418345327;0,00000062596337689298;0,00000000594001869619;0,00000233544102636060;0,00000079984276030358;0,00000001160329755499;0,00000033829419390199;0,00000000335930971196;0,00000141837676949788;0,00000000758657358873;0,00000018816980682869
-0,49392681840705632300;0,00000056963753629380;0,00000199142912919914;0,00000091089500085773;0,00000096509355036973;0,00000087709080034071;0,00000105571153080967;0,00000010002798965889;0,00000058914745549041;0,00000081660601184701;-0,00000001503019135930;0,00000062379105458103;0,00000000602742598462;0,00000232585101115647;0,00000079727175806855;0,00000001152495604219;0,00000033763402135651;0,00000000349516976507;0,00000141519703858729;0,00000000750069736689;0,00000018754980168209
-0,49192289576974174100;0,00000056379443792526;0,00000198026099669986;0,00000090685302875314;0,00000096137365099078;0,00000087514210736522;0,00000105362407157206;0,00000009954881696688;0,00000058688339888467;0,00000081366107791323;-0,00000001443819480610;0,00000062157550558086;0,00000000611087578873;0,00000231622639630264;0,00000079464840427499;0,00000001145168902127;0,00000033695791756745;0,00000000362374080486;0,00000141199167159289;0,00000000742410747542;0,00000018691973650678
-0,48991897313242710500;0,00000055800907823959;0,00000196907371225683;0,00000090277113046852;0,00000095761991906989;0,00000087318332910069;0,00000105152210818544;0,00000009907645443207;0,00000058460279096326;0,00000081067440798030;-0,00000001387819379367;0,00000061931672989248;0,00000000619036810852;0,00000230656718179910;0,00000079197269892291;0,00000001138349649223;0,00000033626588253478;0,00000000374502283134;0,00000140876066851469;0,00000000735680391431;0,00000018627961130277
-0,48791505049511246800;0,00000055228145723678;0,00000195786727587005;0,00000089864930600387;0,00000095383235460704;0,00000087121446554710;0,00000104940564064979;0,00000009861090205447;0,00000058230563172619;0,00000080764600204821;-0,00000001335018832200;0,00000061701472751589;0,00000000626590294400;0,00000229687336764586;0,00000078924464201231;0,00000001132037845507;0,00000033555791625852;0,00000000385901584451;0,00000140550402935268;0,00000000729878668357;0,00000018562942607004
-0,48591112785779783100;0,00000054661157491684;0,00000194664168753952;0,00000089448755535919;0,00000095001095760224;0,00000086923551670446;0,00000104727466896512;0,00000009815215983407;0,00000057999192117347;0,00000080457586011696;-0,00000001285417839111;0,00000061466949845108;0,00000000633748029515;0,00000228714495384291;0,00000078646423354317;0,00000001126233490979;0,00000033483401873867;0,00000000396571984436;0,00000140222175410687;0,00000000725005578319;0,00000018496918080860
-0,48390720522048319400;0,00000054099943127976;0,00000193539694726524;0,00000089028587853449;0,00000094615572805549;0,00000086724648257277;0,00000104512919313144;0,00000009770022777087;0,00000057766165930508;0,00000080146398218657;-0,00000001239016400098;0,00000061228104269806;0,00000000640510016199;0,00000227738194039025;0,00000078363147351551;0,00000001120936585640;0,00000033409418997522;0,00000000406513483090;0,00000139891384277726;0,00000000721061121318;0,00000018429887551845
-0,48190328258316855700;0,00000053544502632555;0,00000192413305504720;0,00000088604427552975;0,00000094226666596678;0,00000086524736315204;0,00000104296921314874;0,00000009725510586487;0,00000057531484612103;0,00000079831036825701;-0,00000001195814515162;0,00000060984936025683;0,00000000646876254452;0,00000226758432728788;0,00000078074636192933;0,00000001116147129488;0,00000033333842996817;0,00000000415726080413;0,00000139558029536384;0,00000000718045297353;0,00000018361851019960
-0,47989935994585392000;0,00000052994836005421;0,00000191285001088542;0,00000088176274634499;0,00000093834377133613;0,00000086323815844225;0,00000104079472901701;0,00000009681679411608;0,00000057295148162133;0,00000079511501832831;-0,00000001155812184303;0,00000060737445112738;0,00000000652846744272;0,00000225775211453581;0,00000077780889878462;0,00000001111865122525;0,00000033256673871753;0,00000000424209776404;0,00000139222111186662;0,00000000715958106425;0,00000018292808485203
-0,47789543730853928400;0,00000052450943246573;0,00000190154781477989;0,00000087744129098020;0,00000093438704416352;0,00000086121886844341;0,00000103860574073627;0,00000009638529252448;0,00000057057156580596;0,00000079187793240045;-0,00000001119009407520;0,00000060485631530971;0,00000000658421485660;0,00000224788530213403;0,00000077481908408138;0,00000001108090564750;0,00000033177911622329;0,00000000431964571064;0,00000138883629228560;0,00000000714799548533;0,00000018222759947575
-0,47589151467122470200;0,00000051912824356012;0,00000189022646673060;0,00000087307990943539;0,00000093039648444895;0,00000085918949315551;0,00000103640224830651;0,00000009596060109010;0,00000056817509867493;0,00000078859911047343;-0,00000001085406184815;0,00000060229495280384;0,00000000663600478617;0,00000223798389008255;0,00000077177691781962;0,00000001104823456162;0,00000033097556248546;0,00000000438990464392;0,00000138542583662077;0,00000000714569623677;0,00000018151705407077
-0,47388759203391006600;0,00000051380479333737;0,00000187888596673757;0,00000086867860171054;0,00000092637209219244;0,00000085715003257857;0,00000103418425172773;0,00000009554271981291;0,00000056576208022825;0,00000078527855254726;-0,00000001055002516186;0,00000059969036360974;0,00000000668383723142;0,00000222804787838136;0,00000076868239999933;0,00000001102063796764;0,00000033015607750403;0,00000000445287456389;0,00000138198974487214;0,00000000715268331858;0,00000018079644863707
-0,47188366939659542900;0,00000050853908179749;0,00000186752631480078;0,00000086423736780567;0,00000092231386739397;0,00000085510048671258;0,00000103195175099993;0,00000009513164869293;0,00000056333251046590;0,00000078191625862194;-0,00000001027798401634;0,00000059704254772744;0,00000000672771219235;0,00000221807726703046;0,00000076553553062052;0,00000001099811586553;0,00000032932066127900;0,00000000450855547055;0,00000137852801703971;0,00000000716895673076;0,00000018006578317466
-0,46987974675928079200;0,00000050333110894047;0,00000185614751092025;0,00000085975620772077;0,00000091822181005355;0,00000085304085555754;0,00000102970474612311;0,00000009472738773015;0,00000056088638938789;0,00000077851222869747;-0,00000001003793841158;0,00000059435150515692;0,00000000676762966897;0,00000220807205602986;0,00000076233630968318;0,00000001098066825530;0,00000032846931381039;0,00000000455694736389;0,00000137504065312347;0,00000000719451647330;0,00000017932505768355
-0,46787582412196615500;0,00000049818087476632;0,00000184474955509596;0,00000085523512145584;0,00000091409592017118;0,00000085097113911344;0,00000102744323709727;0,00000009432993692457;0,00000055842371699422;0,00000077506646277383;-0,00000000982988834760;0,00000059161723589818;0,00000000680358966126;0,00000219803224537955;0,00000075908473718732;0,00000001096829513696;0,00000032760203509817;0,00000000459805024392;0,00000137152765312343;0,00000000722936254621;0,00000017857427216372
-0,46587190148465151800;0,00000049308837927503;0,00000183333244732793;0,00000085067410901089;0,00000090993619774686;0,00000084889133738030;0,00000102516722392241;0,00000009393929627620;0,00000055594449328489;0,00000077157896085105;-0,00000000965383382438;0,00000058883973995123;0,00000000683559216924;0,00000218795783507953;0,00000075578081313293;0,00000001096099651049;0,00000032671882514236;0,00000000463186411064;0,00000136798901703958;0,00000000727349494948;0,00000017781342661519
-0,46386797884733688100;0,00000048805362246661;0,00000182189618761614;0,00000084607317038590;0,00000090574264278058;0,00000084680145035810;0,00000102287670659854;0,00000009355546578503;0,00000055344871825990;0,00000076804972292911;-0,00000000950977484193;0,00000058601901731607;0,00000000686363719290;0,00000217784882512980;0,00000075242453752001;0,00000001095877237591;0,00000032581968394295;0,00000000465838896404;0,00000136442474487194;0,00000000732691368311;0,00000017704252103794
-0,46186405621002230000;0,00000048307660434106;0,00000181044077596060;0,00000084143230558089;0,00000090151525527235;0,00000084470147804686;0,00000102057168512564;0,00000009317844545106;0,00000055093639191926;0,00000076447874900802;-0,00000000939771140025;0,00000058315506799269;0,00000000688772473224;0,00000216770521553037;0,00000074901591034857;0,00000001096162273321;0,00000032490461149995;0,00000000467762480413;0,00000136083483662049;0,00000000738961874711;0,00000017626155543199
