Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE


2025-04-07_17h08m29s,48m
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,49993858631900023300;0,00000020923966396942;0,00000000962971244169;0,00000000993493118681;0,00000005033267410013;0,00000172203600688839;0,00000024184129343014;0,00000099919955339752;0,00000001063413686450;0,00000121381649556911;0,00000055434408161110;0,00000263956033868748;0,00000270120691207410;0,00000058814552834101;0,00000066318345799867;0,00000001206497085132;0,00000001088665379999;0,00000001115014099584;0,00000000633913423752;0,00000000792431232787;0,00000000757992855518
-0,49793466368168559600;0,00000020742990769060;0,00000000957569491564;0,00000000987811816947;0,00000005007193555583;0,00000171583348527948;0,00000024004900982592;0,00000099560985082739;0,00000001074456125320;0,00000120853887077655;0,00000055220273971589;0,00000263628854699294;0,00000269727381997209;0,00000058568307675268;0,00000066040839949480;0,00000001193498391100;0,00000001103452937560;0,00000001126981089436;0,00000000694620794864;0,00000000835432956786;0,00000000791834888133
-0,49593074104437096000;0,00000020562666755714;0,00000000952850963881;0,00000000982818562024;0,00000004981913617336;0,00000170956947588696;0,00000023829284807578;0,00000099197837464097;0,00000001084744709372;0,00000120321572458954;0,00000055001349429208;0,00000263298695175959;0,00000269332414766532;0,00000058321587745572;0,00000065763260783571;0,00000001181254004848;0,00000001117328562141;0,00000001138105181231;0,00000000751699655178;0,00000000875834524169;0,00000000824229220031
-0,49392681840705632300;0,00000020382994356905;0,00000000948815661120;0,00000000978513353912;0,00000004957427595270;0,00000170324397871086;0,00000023657280817972;0,00000098830512483827;0,00000001094279438606;0,00000119784705700808;0,00000054777634533965;0,00000262965555298744;0,00000268935789515380;0,00000058074393045013;0,00000065485608302140;0,00000001169763926376;0,00000001130292253742;0,00000001148386374970;0,00000000805150004692;0,00000000913635934939;0,00000000855175851213
-0,49192289576974174100;0,00000020203973572632;0,00000000945463583281;0,00000000974896192611;0,00000004933735489386;0,00000169685699375116;0,00000023488889013774;0,00000098459010141929;0,00000001103060313022;0,00000119243286803217;0,00000054549129285862;0,00000262629435067648;0,00000268537506243752;0,00000057826723573592;0,00000065207882505189;0,00000001159028155684;0,00000001142344012363;0,00000001157824670653;0,00000000854971843408;0,00000000948837189094;0,00000000884674781678
-0,48991897313242710500;0,00000020025604402896;0,00000000942794730364;0,00000000971967078122;0,00000004910837299684;0,00000169040852100787;0,00000023324109394985;0,00000098083330438402;0,00000001111087332619;0,00000118697315766181;0,00000054315833684899;0,00000262290334482672;0,00000268137564951648;0,00000057578579331307;0,00000064930083392715;0,00000001149046692772;0,00000001153483838003;0,00000001166420068280;0,00000000901165171325;0,00000000981438286635;0,00000000912726011426
-0,48791505049511246800;0,00000019847886847696;0,00000000940809102369;0,00000000969726010444;0,00000004888733026164;0,00000168389856048099;0,00000023162941961603;0,00000097703473373248;0,00000001118360497399;0,00000118146792589701;0,00000054077747731074;0,00000261948253543816;0,00000267735965639069;0,00000057329960318160;0,00000064652210964721;0,00000001139819537641;0,00000001163711730663;0,00000001174172567850;0,00000000943729988443;0,00000001011439227562;0,00000000939329540458
-0,48591112785779783100;0,00000019670820907033;0,00000000939506699295;0,00000000968172989578;0,00000004867422668826;0,00000167732711217052;0,00000023005386713630;0,00000097319438946465;0,00000001124879807361;0,00000117591717273775;0,00000053834871424389;0,00000261603192251078;0,00000267332708306014;0,00000057080866534149;0,00000064374265221204;0,00000001131346690290;0,00000001173027690342;0,00000001181082169365;0,00000000982666294763;0,00000001038840011874;0,00000000964485368773
-0,48390720522048319400;0,00000019494406580906;0,00000000938887521144;0,00000000967308015522;0,00000004846906227670;0,00000167069417607645;0,00000022851443651064;0,00000096931227158054;0,00000001130645262504;0,00000117032089818404;0,00000053587204764844;0,00000261255150604461;0,00000266927792952483;0,00000056831297979276;0,00000064096246162167;0,00000001123628150719;0,00000001181431717041;0,00000001187148872823;0,00000001017974090283;0,00000001063640639572;0,00000000988193496372
-0,48190328258316855700;0,00000019318643869315;0,00000000938951567914;0,00000000967131088278;0,00000004827183702696;0,00000166399975219880;0,00000022701112773907;0,00000096538838008014;0,00000001135656862829;0,00000116467910223589;0,00000053334747752437;0,00000260904128603963;0,00000266521219578477;0,00000056581254653540;0,00000063818153787608;0,00000001116663918928;0,00000001188923810760;0,00000001192372678224;0,00000001049653375005;0,00000001085841110655;0,00000001010453923254
-0,47989935994585392000;0,00000019143532772261;0,00000000939698839606;0,00000000967642207845;0,00000004808255093904;0,00000165724384053755;0,00000022554394082158;0,00000096142271496347;0,00000001139914608337;0,00000115899178489328;0,00000053077500387171;0,00000260550126249584;0,00000266112988183995;0,00000056330736556941;0,00000063539988097527;0,00000001110453994918;0,00000001195503971498;0,00000001196753585570;0,00000001077704148929;0,00000001105441425125;0,00000001031266649420
-0,47789543730853928400;0,00000018969073289744;0,00000000941129336221;0,00000000968841374224;0,00000004790120401293;0,00000165042644109270;0,00000022411287575818;0,00000095741527623051;0,00000001143418499026;0,00000115325894615623;0,00000052815462669043;0,00000260193143541325;0,00000265703098769037;0,00000056079743689479;0,00000063261749091925;0,00000001104998378688;0,00000001201172199257;0,00000001200291594859;0,00000001102126412053;0,00000001122441582980;0,00000001050631674869
-0,47589151467122470200;0,00000018795265421763;0,00000000943243057757;0,00000000970728587414;0,00000004772779624865;0,00000164354755386427;0,00000022271793254885;0,00000095336606388127;0,00000001146168534897;0,00000114748058602473;0,00000052548634598055;0,00000259833180479185;0,00000265291551333604;0,00000055828276051155;0,00000062983436770802;0,00000001100297070238;0,00000001205928494035;0,00000001202986706092;0,00000001122920164379;0,00000001136841584220;0,00000001068548999601
-0,47388759203391006600;0,00000018622109168318;0,00000000946040004215;0,00000000973303847415;0,00000004756232764618;0,00000163660717885224;0,00000022135911119361;0,00000094927507791574;0,00000001148164715950;0,00000114165670449878;0,00000052277016174206;0,00000259470237063165;0,00000264878345877695;0,00000055576333641967;0,00000062705051134157;0,00000001096350069568;0,00000001209772855832;0,00000001204838919269;0,00000001140085405906;0,00000001148641428847;0,00000001085018623617
-0,47188366939659542900;0,00000018449604529410;0,00000000949520175595;0,00000000976567154227;0,00000004740479820553;0,00000162960531605662;0,00000022003641169244;0,00000094514231833394;0,00000001149407042185;0,00000113578730157837;0,00000052000607397496;0,00000259104313293264;0,00000264463482401311;0,00000055323916461917;0,00000062426592181991;0,00000001093157376679;0,00000001212705284649;0,00000001205848234389;0,00000001153622136634;0,00000001157841116859;0,00000001100040546917
-0,46987974675928079200;0,00000018277751505038;0,00000000953683571896;0,00000000980518507850;0,00000004725520792670;0,00000162254196547741;0,00000021874983404536;0,00000094096778513585;0,00000001149895513602;0,00000112987237726352;0,00000051719408267926;0,00000258735409169483;0,00000264046960904450;0,00000055071024511004;0,00000062148059914303;0,00000001090718991570;0,00000001214725780486;0,00000001206014651454;0,00000001163530356564;0,00000001164440648256;0,00000001113614769499
