Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE


2025-04-07_19h32m47s,07m
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,49993858631900023300;0,00000020324457067153;0,00000001112459832528;0,00000001035302091565;0,00000005101737944164;0,00000167791104226555;0,00000023544808517873;0,00000097243556566064;0,00000001097532538333;0,00000118639183613345;0,00000053357618615490;0,00000263405187885430;0,00000269830188427341;0,00000057496919219226;0,00000065305216257949;0,00000001153605083784;0,00000001133833263000;0,00000001044623902303;0,00000000560577310600;0,00000000707730000276;0,00000000881931392834
-0,49793466368168559600;0,00000020151394351949;0,00000001105409521965;0,00000001043475517067;0,00000005103074973657;0,00000167175929105799;0,00000023435551596397;0,00000096879311358454;0,00000001100765312564;0,00000118101905688527;0,00000053098963751562;0,00000263066258339624;0,00000269358477570694;0,00000057290063113612;0,00000065019723427339;0,00000001149736068406;0,00000001144266201214;0,00000001062627099611;0,00000000604155069790;0,00000000737009894376;0,00000000891024308198
-0,49593074104437096000;0,00000019977913344007;0,00000001098626887729;0,00000001051084799162;0,00000005102469795258;0,00000166553259427166;0,00000023326059920023;0,00000096509599079583;0,00000001103740459121;0,00000117560489503846;0,00000052839998152864;0,00000262725014668223;0,00000268887366313320;0,00000057080498008257;0,00000064735135890321;0,00000001145932967703;0,00000001153930359818;0,00000001079461498104;0,00000000645667986027;0,00000000765207040358;0,00000000900257024344
-0,49392681840705632300;0,00000019804014043328;0,00000001092111929822;0,00000001058129937850;0,00000005099922408967;0,00000165923095190655;0,00000023216333488752;0,00000096134419729451;0,00000001106457978006;0,00000117014935059300;0,00000052580721819396;0,00000262381456871229;0,00000268416854655219;0,00000056868223903161;0,00000064451453646893;0,00000001142195781674;0,00000001162825738813;0,00000001095127097783;0,00000000685116059311;0,00000000792321438225;0,00000000909629541274
-0,49192289576974174100;0,00000019629696449912;0,00000001085864648242;0,00000001064610933131;0,00000005095432814784;0,00000165285436396266;0,00000023106372302584;0,00000095753773308057;0,00000001108917869217;0,00000116465242354890;0,00000052321134751158;0,00000262035584948642;0,00000267946942596389;0,00000056653240798322;0,00000064168676697056;0,00000001138524510318;0,00000001170952338197;0,00000001109623898648;0,00000000722499289641;0,00000000818353087976;0,00000000919141858985
-0,48991897313242710500;0,00000019454960563757;0,00000001079885042991;0,00000001070527785005;0,00000005089001012710;0,00000164640283043998;0,00000022996176361519;0,00000095367659815402;0,00000001111120132756;0,00000115911411390617;0,00000052061236948151;0,00000261687398900460;0,00000267477630136832;0,00000056435548693742;0,00000063886805040809;0,00000001134919153636;0,00000001178310157972;0,00000001122951900700;0,00000000757817677017;0,00000000843301989610;0,00000000928793977480
-0,48791505049511246800;0,00000019279806384866;0,00000001074173114067;0,00000001075880493472;0,00000005080627002744;0,00000163987635133853;0,00000022885745665556;0,00000094976079251486;0,00000001113064768621;0,00000115353442166480;0,00000051801028410373;0,00000261336898726685;0,00000267008917276547;0,00000056215147589421;0,00000063605838678153;0,00000001131379711628;0,00000001184899198136;0,00000001135111103937;0,00000000791071221440;0,00000000867168143129;0,00000000938585896757
-0,48591112785779783100;0,00000019104233913237;0,00000001068728861472;0,00000001080669058532;0,00000005070310784887;0,00000163327492665830;0,00000022775080214696;0,00000094579031616308;0,00000001114751776814;0,00000114791334682478;0,00000051540509137826;0,00000260984084427316;0,00000266540804015535;0,00000055992037485358;0,00000063325777609088;0,00000001127906184295;0,00000001190719458691;0,00000001146101508361;0,00000000822259922910;0,00000000889951548531;0,00000000948517616817
-0,48390720522048319400;0,00000018928243148870;0,00000001063552285205;0,00000001084893480185;0,00000005058052359138;0,00000162659855639928;0,00000022664180008939;0,00000094176516909869;0,00000001116181157333;0,00000114225088938613;0,00000051279679130509;0,00000260628956002354;0,00000266073290353795;0,00000055766218381553;0,00000063046621833613;0,00000001124498571634;0,00000001195770939636;0,00000001155923113971;0,00000000851383781426;0,00000000911652205817;0,00000000958589137660
-0,48190328258316855700;0,00000018751834091766;0,00000001058643385265;0,00000001088553758431;0,00000005043851725497;0,00000161984724056149;0,00000022553045048285;0,00000093768535132169;0,00000001117352910180;0,00000113654704934884;0,00000051018538388422;0,00000260271513451798;0,00000265606376291327;0,00000055537690278007;0,00000062768371351730;0,00000001121156873648;0,00000001200053640972;0,00000001164575920766;0,00000000878442796989;0,00000000932270114987;0,00000000968800459285
-0,47989935994585392000;0,00000018575006741924;0,00000001054002161654;0,00000001091649893270;0,00000005027708883964;0,00000161302097914492;0,00000022441675332734;0,00000093355086283207;0,00000001118267035354;0,00000113080182671290;0,00000050757086911565;0,00000259911756775648;0,00000265140061828131;0,00000055306453174719;0,00000062491026163436;0,00000001117881090336;0,00000001203567562697;0,00000001172059928748;0,00000000903436969598;0,00000000951805276041;0,00000000979151581693
-0,47789543730853928400;0,00000018397761099345;0,00000001049628614370;0,00000001094181884703;0,00000005009623834540;0,00000160611977214957;0,00000022330070862285;0,00000092936170362984;0,00000001118923532854;0,00000112501522147833;0,00000050495324699938;0,00000259549685973904;0,00000264674346964208;0,00000055072507071689;0,00000062214586268734;0,00000001114671221698;0,00000001206312704813;0,00000001178375137916;0,00000000926366299254;0,00000000970257688978;0,00000000989642504884
-0,47589151467122470200;0,00000018220097164028;0,00000001045522743415;0,00000001096149732728;0,00000004989596577224;0,00000159914361957543;0,00000022218231636939;0,00000092511787371499;0,00000001119322402682;0,00000111918723364512;0,00000050233251753541;0,00000259185301046567;0,00000264209231699557;0,00000054835851968918;0,00000061939051667622;0,00000001111527267733;0,00000001208289067318;0,00000001183521548270;0,00000000947230785956;0,00000000987627353800;0,00000001000273228858
-0,47388759203391006600;0,00000018042014935974;0,00000001041684548788;0,00000001097553437346;0,00000004967627112016;0,00000159209252142252;0,00000022106157656696;0,00000092081937308753;0,00000001119463644836;0,00000111331786321327;0,00000049970868072374;0,00000258818601993636;0,00000263744716034178;0,00000054596487866405;0,00000061664422360100;0,00000001108449228443;0,00000001209496650214;0,00000001187499159810;0,00000000966030429705;0,00000001003914270505;0,00000001011043753614
-0,47188366939659542900;0,00000017863514415182;0,00000001038114030488;0,00000001098392998557;0,00000004943715438916;0,00000158496647769083;0,00000021993848921556;0,00000091646620174746;0,00000001119347259318;0,00000110740711018278;0,00000049708173656438;0,00000258449588815111;0,00000263280799968072;0,00000054354414764150;0,00000061390698346170;0,00000001105437103826;0,00000001209935453500;0,00000001190307972536;0,00000000982765230501;0,00000001019118439094;0,00000001021954079153
-0,46987974675928079200;0,00000017684595601653;0,00000001034811188517;0,00000001098668416361;0,00000004917861557925;0,00000157776548838036;0,00000021881305431518;0,00000091205835969477;0,00000001118973246126;0,00000110145497455365;0,00000049445168505732;0,00000258078261510992;0,00000262817483501238;0,00000054109632662154;0,00000061117879625830;0,00000001102490893883;0,00000001209605477176;0,00000001191947986448;0,00000000997435188343;0,00000001033239859567;0,00000001033004205475
-0,46787582412196615500;0,00000017505258495386;0,00000001031776022874;0,00000001098379690758;0,00000004890065469043;0,00000157048955349111;0,00000021768527186583;0,00000090759584692947;0,00000001118341605262;0,00000109546145632588;0,00000049181852620255;0,00000257704620081280;0,00000262354766633676;0,00000053862141560416;0,00000060845966199080;0,00000001099610598614;0,00000001208506721242;0,00000001192419201546;0,00000001010040303232;0,00000001046278531924;0,00000001044194132579
-0,46587190148465151800;0,00000017325503096382;0,00000001029008533558;0,00000001097526821748;0,00000004860327172268;0,00000156313867302308;0,00000021655514186751;0,00000090307866345156;0,00000001117452336725;0,00000108942655549948;0,00000048918226000009;0,00000257328664525974;0,00000261892649365387;0,00000053611941458937;0,00000060574958065922;0,00000001096796218019;0,00000001206639185698;0,00000001191721617830;0,00000001020580575167;0,00000001058234456165;0,00000001055523860466
-0,46386797884733688100;0,00000017145329404640;0,00000001026508720571;0,00000001096109809332;0,00000004828646667602;0,00000155571284697626;0,00000021542266432022;0,00000089850680926103;0,00000001116305440514;0,00000108335027207443;0,00000048654288644993;0,00000256950394845075;0,00000261431131696370;0,00000053359032357716;0,00000060304855226354;0,00000001094047752098;0,00000001204002870545;0,00000001189855235300;0,00000001029056004149;0,00000001069107632290;0,00000001066993389136
-0,46186405621002230000;0,00000016964737420160;0,00000001024276583911;0,00000001094128653508;0,00000004795023955044;0,00000154821207535067;0,00000021428783922396;0,00000089388028435789;0,00000001114900916631;0,00000107723260605074;0,00000048390040555207;0,00000256569811038581;0,00000260970213626625;0,00000053103414256753;0,00000060035657680376;0,00000001091365200850;0,00000001200597775781;0,00000001186820053956;0,00000001035466590177;0,00000001078898060298;0,00000001078602718588
-0,45986013357270766300;0,00000016783727142944;0,00000001022312123580;0,00000001091583354277;0,00000004759459034595;0,00000154063635814630;0,00000021315066657872;0,00000088919908874214;0,00000001113238765075;0,00000107107355742841;0,00000048125481730652;0,00000256186913106494;0,00000260509895156152;0,00000052845087156049;0,00000059767365427990;0,00000001088748564277;0,00000001196423901408;0,00000001182616073799;0,00000001039812333252;0,00000001087605740190;0,00000001090351848823
-0,45785621093539302600;0,00000016602298572989;0,00000001020615339577;0,00000001088473911639;0,00000004721951906253;0,00000153298569536315;0,00000021201114638451;0,00000088446322241377;0,00000001111318985845;0,00000106487312620745;0,00000047860612171326;0,00000255801701048814;0,00000260050176284952;0,00000052584051055603;0,00000059499978469194;0,00000001086197842377;0,00000001191481247425;0,00000001177243294827;0,00000001042093233373;0,00000001095230671966;0,00000001102240779841
-0,45585228829807839000;0,00000016420451710297;0,00000001019186231901;0,00000001084800325595;0,00000004682502570020;0,00000152526008700122;0,00000021086927864133;0,00000087967268537279;0,00000001109141578943;0,00000105863131238784;0,00000047595431877230;0,00000255414174865539;0,00000259591057013024;0,00000052320305955416;0,00000059233496803988;0,00000001083713035152;0,00000001185769813832;0,00000001170701717042;0,00000001042309290541;0,00000001101772855626;0,00000001114269511642
-0,45384836566076375300;0,00000016238186554868;0,00000001018024800554;0,00000001080562596143;0,00000004641111025896;0,00000151745953306051;0,00000020972506334918;0,00000087482747761919;0,00000001106706544368;0,00000105234811596960;0,00000047329940848365;0,00000255024334556671;0,00000259132537340369;0,00000052053851855487;0,00000058967920432373;0,00000001081294142600;0,00000001179289600629;0,00000001162991340442;0,00000001040460504755;0,00000001107232291170;0,00000001126438044225
-0,45184444302344911600;0,00000016055503106701;0,00000001017131045535;0,00000001075760723284;0,00000004597777273879;0,00000150958403354102;0,00000020857850050805;0,00000086992759915298;0,00000001104013882120;0,00000104602353695271;0,00000047064139084730;0,00000254632180122209;0,00000258674617266985;0,00000051784688755816;0,00000058703249354349;0,00000001078941164722;0,00000001172040607816;0,00000001154112165029;0,00000001036546876017;0,00000001111608978598;0,00000001138746377591
-0,44984052038613447900;0,00000015873747223378;0,00000001016478662011;0,00000001070882054091;0,00000004554223963294;0,00000150164164411388;0,00000020743043852920;0,00000086498805023018;0,00000001101353190448;0,00000103967383563190;0,00000046797465026809;0,00000254242229142449;0,00000258220671309234;0,00000051513940506563;0,00000058438171803268;0,00000001076722738695;0,00000001164722079156;0,00000001145044161677;0,00000001031729552334;0,00000001115214265233;0,00000001150665938239
-0,44783659774881984200;0,00000015694264762480;0,00000001016041345149;0,00000001066413935636;0,00000004512173743462;0,00000149364042045022;0,00000020628172582387;0,00000086002383110680;0,00000001099014067604;0,00000103331527230185;0,00000046529357115089;0,00000253858999197687;0,00000257774073983476;0,00000051242730957888;0,00000058171376012481;0,00000001074707501696;0,00000001158033258409;0,00000001136767301262;0,00000001027169681716;0,00000001118359498399;0,00000001161668152668
-0,44583267511150526100;0,00000015517055724007;0,00000001015819094949;0,00000001062356367918;0,00000004471626614383;0,00000148558036255005;0,00000020513236239206;0,00000085503494178284;0,00000001096996513587;0,00000102694784696259;0,00000046259815349568;0,00000253482490287923;0,00000257334825289710;0,00000050971060109791;0,00000057902861981989;0,00000001072895453726;0,00000001151974145575;0,00000001129281583784;0,00000001022867264165;0,00000001121044678095;0,00000001171753020878
-0,44382875247419062400;0,00000015342120107959;0,00000001015811911413;0,00000001058709350939;0,00000004432582576058;0,00000147746147041336;0,00000020398234823376;0,00000085002138225831;0,00000001095300528396;0,00000102057155961410;0,00000045988839730248;0,00000253112702413157;0,00000256902925227936;0,00000050698927962272;0,00000057632629711792;0,00000001071286594784;0,00000001146544740656;0,00000001122587009242;0,00000001018822299679;0,00000001123269804322;0,00000001180920542869
-0,44182482983687598700;0,00000015169457914336;0,00000001016019794538;0,00000001055472884697;0,00000004395041628486;0,00000146928374404015;0,00000020283168334899;0,00000084498315253320;0,00000001093926112033;0,00000101418641025639;0,00000045716430257127;0,00000252749635573388;0,00000256478373798155;0,00000050426334515330;0,00000057360679201889;0,00000001069880924870;0,00000001141745043651;0,00000001116683577638;0,00000001015034788258;0,00000001125034877079;0,00000001189170718640
-0,43982090719956135100;0,00000014999069143138;0,00000001016442744326;0,00000001052646969194;0,00000004359003771667;0,00000146104718343042;0,00000020168036773773;0,00000083992025260752;0,00000001092873264496;0,00000100779239888945;0,00000045442586930206;0,00000252393289768617;0,00000256061171000366;0,00000050153279768965;0,00000057087010452281;0,00000001068678443985;0,00000001137575054559;0,00000001111571288970;0,00000001011504729903;0,00000001126339896368;0,00000001196503548194
-0,43781698456224671400;0,00000014830953794365;0,00000001017080760776;0,00000001050231604428;0,00000004324469005602;0,00000145275178858418;0,00000020052840139999;0,00000083483268248126;0,00000001092141985787;0,00000100138952551328;0,00000045167309749485;0,00000252043664998844;0,00000255651316834570;0,00000049879763723179;0,00000056811623462968;0,00000001067679152128;0,00000001134034773381;0,00000001107250143240;0,00000001008232124614;0,00000001127184862187;0,00000001202919031528
