Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-04-11_12h43m56s,13m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
12h44m01s,91m;0,000000015999;0,000000011047;0,500018809701;-0,421785603464;0,000000000259;-0,000000000076;0,000003293397;0,000000501061;0,500018809701;-0,231412952919;0,000000010664;-0,000000006947;0,000000012709;0,000000011162;0,500018809701;-0,129212898416;0,000000000152;-0,000000000044;0,000003748571;0,000000723374;0,500018809701;-0,213377649183;0,000000010633;-0,000000007525;0,000000012513;0,000000011419;0,500018809701;0,467956047504;0,000000000163;-0,000000000039;0,000001890226;0,000000291035;0,500018809701;-0,147248202152;0,000000006289;-0,000000003983;0,000001573051;0,000000291186;0,500018809701;-0,157267815338;0,000000005252;-0,000000003883;0,000004879561;0,000001011113;0,500018809701;-0,173299196437;0,000000014850;-0,000000010031;0,000004868497;0,000001013428;0,500018809701;-0,167287428525;0,000000014852;-0,000000010040;0,000000014582;0,000000008325;0,479979583328;-0,499938586319;0,000000000459;-0,000000000187;0,000001580367;0,000000491305;0,500018809701;-0,147248202152;0,000000004189;-0,000000002278;0,000000626337;0,000000098569;0,500018809701;-0,137228588965;0,000000002088;-0,000000001603;0,000003254562;0,000000750883;0,500018809701;-0,151256047426;0,000000010448;-0,000000008676;0,000002027068;0,000000345558;0,500018809701;-0,121197207867;0,000000006450;-0,000000005914;0,000001141380;0,000000224457;0,500018809701;-0,105165826768;0,000000003811;-0,000000002998;0,000003322018;0,000000870937;0,500018809701;-0,149252124789;0,000000009749;-0,000000008211;0,000004754296;0,000001215535;0,500018809701;-0,133220743690;0,000000013358;-0,000000009901;0,000000875064;0,000000237158;0,500018809701;-0,115185439955;0,000000002510;-0,000000001859;0,000000013636;0,000000012103;0,467956047504;-0,075106987208;0,000000000046;-0,000000000208;0,000000431105;0,000000077786;0,500018809701;-0,153259970064;0,000000001450;-0,000000001649
12h44m09s,12m;0,000000014495;0,000000009823;0,500018809701;-0,499938586319;0,000000000304;-0,000000000066;0,000003069244;0,000000509398;0,500018809701;-0,141236434240;0,000000010643;-0,000000007531;0,000000012739;0,000000011173;0,500018809701;-0,499938586319;0,000000000218;-0,000000000064;0,000003535646;0,000000729274;0,500018809701;-0,149252124789;0,000000010608;-0,000000007861;0,000000013225;0,000000011055;-0,499938586319;0,500018809701;0,000000000022;-0,000000000236;0,000001813247;0,000000288957;0,500018809701;-0,093142290944;0,000000006357;-0,000000004106;0,000001515206;0,000000289842;0,500018809701;-0,111177594680;0,000000005172;-0,000000004060;0,000004704150;0,000001015701;0,500018809701;-0,131216821053;0,000000014757;-0,000000010165;0,000004708804;0,000001016879;0,500018809701;-0,129212898416;0,000000014877;-0,000000010091;0,000000014836;0,000000007260;0,500018809701;-0,499938586319;0,000000000586;-0,000000000087;0,000001530754;0,000000495785;0,500018809701;-0,111177594680;0,000000004310;-0,000000002451;0,000000607854;0,000000099094;0,500018809701;-0,111177594680;0,000000002126;-0,000000001706;0,000003187927;0,000000751963;0,500018809701;-0,125205053141;0,000000010597;-0,000000008731;0,000001988049;0,000000347691;0,500018809701;-0,091138368307;0,000000006473;-0,000000005824;0,000001119625;0,000000224431;0,500018809701;-0,079114832483;0,000000003854;-0,000000003019;0,000003259104;0,000000875025;0,500018809701;-0,129212898416;0,000000009902;-0,000000008210;0,000004650137;0,000001219337;0,500018809701;-0,111177594680;0,000000013333;-0,000000010096;0,000000868155;0,000000239737;0,500018809701;-0,093142290944;0,000000002651;-0,000000001890;0,000000014846;0,000000011750;0,500018809701;-0,123201130504;0,000000000253;-0,000000000074;0,000000431358;0,000000075611;0,500018809701;-0,123201130504;0,000000001902;-0,000000001044
12h44m16s,39m;0,000000014816;0,000000011285;0,467956047504;0,500018809701;0,000000000137;-0,000000000544;0,000002992292;0,000000511031;0,500018809701;-0,117189362592;0,000000010707;-0,000000007620;0,000000012621;0,000000010899;0,500018809701;-0,427797371376;0,000000000102;-0,000000000088;0,000003467602;0,000000732450;0,500018809701;-0,129212898416;0,000000010549;-0,000000008087;0,000000012666;0,000000010981;0,421865826846;-0,499938586319;0,000000000177;-0,000000000074;0,000001777601;0,000000290256;0,500018809701;-0,077110909846;0,000000006446;-0,000000004213;0,000001492331;0,000000290034;0,500018809701;-0,089134445670;0,000000005074;-0,000000004069;0,000004617725;0,000001021744;0,500018809701;-0,111177594680;0,000000014925;-0,000000010187;0,000004628481;0,000001020433;0,500018809701;-0,111177594680;0,000000014714;-0,000000010101;0,000000017241;0,000000006226;0,500018809701;-0,499938586319;0,000000000751;-0,000000000114;0,000001502377;0,000000495644;0,500018809701;-0,099154058856;0,000000004510;-0,000000002571;0,000000595474;0,000000098905;0,500018809701;-0,089134445670;0,000000002200;-0,000000001603;0,000003145186;0,000000760384;0,500018809701;-0,107169749405;0,000000010526;-0,000000008704;0,000001957036;0,000000346676;0,500018809701;-0,077110909846;0,000000006523;-0,000000005927;0,000001106278;0,000000225750;0,500018809701;-0,063083451384;0,000000003882;-0,000000003015;0,000003195857;0,000000873391;0,500018809701;-0,115185439955;0,000000009834;-0,000000008289;0,000004581774;0,000001214083;0,500018809701;-0,097150136219;0,000000013387;-0,000000010061;0,000000856238;0,000000240283;0,500018809701;-0,075106987208;0,000000002688;-0,000000001914;0,000000013208;0,000000011304;0,323673617617;-0,475891514671;0,000000000101;-0,000000000209;0,000000421809;0,000000077210;0,500018809701;-0,093142290944;0,000000001467;-0,000000001270
12h44m23s,57m;0,000000013409;0,000000010401;0,500018809701;-0,499938586319;0,000000000238;-0,000000000071;0,000002950485;0,000000510860;0,500018809701;-0,097150136219;0,000000010675;-0,000000007652;0,000000012352;0,000000010833;0,327681462892;-0,375695382805;0,000000000149;-0,000000000153;0,000003406971;0,000000737516;0,500018809701;-0,115185439955;0,000000010475;-0,000000008178;0,000000012783;0,000000010664;0,467956047504;0,500018809701;0,000000000076;-0,000000000320;0,000001759507;0,000000290460;0,500018809701;-0,063083451384;0,000000006350;-0,000000004217;0,000001464968;0,000000291302;0,500018809701;-0,077110909846;0,000000005292;-0,000000004070;0,000004556066;0,000001022149;0,500018809701;-0,097150136219;0,000000014859;-0,000000010248;0,000004566877;0,000001022324;0,500018809701;-0,097150136219;0,000000014970;-0,000000010290;0,000000015705;0,000000005584;0,500018809701;-0,499938586319;0,000000000637;-0,000000000163;0,000001477175;0,000000496725;0,500018809701;-0,085126600395;0,000000004422;-0,000000002731;0,000000591351;0,000000099666;0,500018809701;-0,081118755120;0,000000002147;-0,000000001573;0,000003126681;0,000000769316;0,500018809701;-0,093142290944;0,000000010646;-0,000000008715;0,000001930811;0,000000347455;0,500018809701;-0,069095219296;0,000000006529;-0,000000005918;0,000001090223;0,000000225259;0,500018809701;-0,055067760835;0,000000003845;-0,000000003043;0,000003153677;0,000000878820;0,500018809701;-0,105165826768;0,000000009802;-0,000000008332;0,000004535751;0,000001214161;0,500018809701;-0,087130523032;0,000000013357;-0,000000010130;0,000000840238;0,000000240378;0,500018809701;-0,059075606110;0,000000002738;-0,000000001920;0,000000013465;0,000000011602;0,500018809701;-0,499938586319;0,000000000204;-0,000000000057;0,000000413326;0,000000076031;0,500018809701;-0,085126600395;0,000000001433;-0,000000001672
12h44m30s,62m;0,000000013776;0,000000010857;-0,499938586319;-0,463867978847;0,000000000046;-0,000000000376;0,000002910914;0,000000509395;0,500018809701;-0,089134445670;0,000000010613;-0,000000007618;0,000000012648;0,000000011204;-0,499938586319;0,123281353886;0,000000000039;-0,000000000177;0,000003374028;0,000000738706;0,500018809701;-0,103161904131;0,000000010356;-0,000000008217;0,000000012729;0,000000011253;0,500018809701;-0,427797371376;0,000000000113;-0,000000000054;0,000001740718;0,000000291454;0,500018809701;-0,051059915561;0,000000006301;-0,000000004318;0,000001453568;0,000000293082;0,500018809701;-0,071099141934;0,000000005041;-0,000000004081;0,000004532396;0,000001023222;0,500018809701;-0,089134445670;0,000000014886;-0,000000010289;0,000004526151;0,000001024436;0,500018809701;-0,089134445670;0,000000014897;-0,000000010284;0,000000014329;0,000000008895;0,423869749483;-0,499938586319;0,000000000379;-0,000000000124;0,000001456599;0,000000496061;0,500018809701;-0,079114832483;0,000000004360;-0,000000002720;0,000000586669;0,000000099218;0,500018809701;-0,075106987208;0,000000002095;-0,000000001567;0,000003109331;0,000000777003;0,500018809701;-0,085126600395;0,000000010546;-0,000000008759;0,000001920749;0,000000350429;0,500018809701;-0,059075606110;0,000000006534;-0,000000005937;0,000001079594;0,000000224723;0,500018809701;-0,043044225011;0,000000003883;-0,000000003061;0,000003140926;0,000000879644;0,500018809701;-0,095146213581;0,000000009903;-0,000000008453;0,000004496712;0,000001216134;0,500018809701;-0,081118755120;0,000000013319;-0,000000010174;0,000000834470;0,000000240866;0,500018809701;-0,059075606110;0,000000002676;-0,000000001968;0,000000013244;0,000000011645;0,492003119152;-0,423789526101;0,000000000193;-0,000000000081;0,000000416049;0,000000078270;0,500018809701;-0,103161904131;0,000000001724;-0,000000001010
12h44m37s,79m;0,000000013459;0,000000011127;0,483987428602;-0,223397262370;0,000000000099;-0,000000000088;0,000002912306;0,000000515865;0,500018809701;-0,087130523032;0,000000010592;-0,000000007642;0,000000012490;0,000000011106;0,500018809701;-0,423789526101;0,000000000149;-0,000000000043;0,000003341859;0,000000738401;0,500018809701;-0,101157981493;0,000000010476;-0,000000008227;0,000000012256;0,000000011138;0,423869749483;0,275579474322;0,000000000103;-0,000000000056;0,000001736179;0,000000290836;0,500018809701;-0,049055992923;0,000000006362;-0,000000004311;0,000001446066;0,000000293461;0,500018809701;-0,067091296659;0,000000005115;-0,000000004074;0,000004498247;0,000001021907;0,500018809701;-0,083122677758;0,000000014864;-0,000000010365;0,000004495491;0,000001022168;0,500018809701;-0,083122677758;0,000000014854;-0,000000010485;0,000000014924;0,000000010173;0,469959970141;-0,499938586319;0,000000000146;-0,000000000501;0,000001456612;0,000000498992;0,500018809701;-0,071099141934;0,000000005044;-0,000000002666;0,000000577821;0,000000099111;0,500018809701;-0,069095219296;0,000000002050;-0,000000001571;0,000003090998;0,000000782708;0,500018809701;-0,077110909846;0,000000010589;-0,000000008708;0,000001910525;0,000000349831;0,500018809701;-0,055067760835;0,000000006494;-0,000000005948;0,000001070464;0,000000225829;0,500018809701;-0,043044225011;0,000000003829;-0,000000003051;0,000003118682;0,000000879908;0,500018809701;-0,089134445670;0,000000009753;-0,000000008445;0,000004473916;0,000001218421;0,500018809701;-0,075106987208;0,000000013326;-0,000000010254;0,000000835820;0,000000241642;0,500018809701;-0,047052070286;0,000000002724;-0,000000001949;0,000000013527;0,000000011505;0,500018809701;-0,427797371376;0,000000000180;-0,000000000063;0,000000414631;0,000000078293;0,500018809701;-0,093142290944;0,000000001775;-0,000000001016
12h44m44s,95m;0,000000013679;0,000000010532;0,500018809701;-0,499938586319;0,000000000252;-0,000000000057;0,000002881743;0,000000512548;0,500018809701;-0,081118755120;0,000000010653;-0,000000007683;0,000000013192;0,000000010862;-0,499938586319;-0,465871901485;0,000000000054;-0,000000000333;0,000003329042;0,000000742487;0,500018809701;-0,095146213581;0,000000010338;-0,000000008270;0,000000012855;0,000000010933;-0,499938586319;0,423869749483;0,000000000065;-0,000000000216;0,000001725238;0,000000290864;0,500018809701;-0,045048147649;0,000000006366;-0,000000004387;0,000001439152;0,000000294562;0,500018809701;-0,059075606110;0,000000005084;-0,000000004046;0,000004462598;0,000001023168;0,500018809701;-0,079114832483;0,000000014930;-0,000000010328;0,000004487391;0,000001023814;0,500018809701;-0,079114832483;0,000000014867;-0,000000010353;0,000000014860;0,000000008756;0,500018809701;-0,499938586319;0,000000000566;-0,000000000108;0,000001445603;0,000000499396;0,500018809701;-0,063083451384;0,000000005203;-0,000000002660;0,000000580634;0,000000099195;0,500018809701;-0,061079528747;0,000000002133;-0,000000001559;0,000003089086;0,000000788018;0,500018809701;-0,073103064571;0,000000010631;-0,000000008707;0,000001889678;0,000000349116;0,500018809701;-0,051059915561;0,000000006426;-0,000000005997;0,000001070982;0,000000225552;0,500018809701;-0,039036379737;0,000000003805;-0,000000003096;0,000003099644;0,000000882375;0,500018809701;-0,085126600395;0,000000009724;-0,000000008512;0,000004442938;0,000001216318;0,500018809701;-0,073103064571;0,000000013416;-0,000000010296;0,000000830770;0,000000241944;0,500018809701;-0,047052070286;0,000000002738;-0,000000002004;0,000000013471;0,000000011586;0,377779528825;-0,499938586319;0,000000000210;-0,000000000069;0,000000411104;0,000000078267;0,500018809701;-0,085126600395;0,000000001428;-0,000000001075
12h44m52s,19m;0,000000013118;0,000000010614;0,423869749483;-0,471883669397;0,000000000121;-0,000000000239;0,000002856316;0,000000508115;0,500018809701;-0,077110909846;0,000000010518;-0,000000007593;0,000000012481;0,000000011167;0,273575551684;-0,325597316873;0,000000000108;-0,000000000104;0,000003323447;0,000000742615;0,500018809701;-0,091138368307;0,000000010342;-0,000000008378;0,000000012630;0,000000010688;0,500018809701;-0,499938586319;0,000000000273;-0,000000000057;0,000001717611;0,000000289722;0,500018809701;-0,039036379737;0,000000006393;-0,000000004369;0,000001431377;0,000000294681;0,500018809701;-0,057071683472;0,000000005011;-0,000000004063;0,000004475316;0,000001023874;0,500018809701;-0,077110909846;0,000000014994;-0,000000010369;0,000004466754;0,000001023418;0,500018809701;-0,075106987208;0,000000015149;-0,000000010399;0,000000014703;0,000000010451;0,465952124867;0,500018809701;0,000000000106;-0,000000000593;0,000001432284;0,000000499681;0,500018809701;-0,065087374022;0,000000004393;-0,000000002718;0,000000579692;0,000000099037;0,500018809701;-0,057071683472;0,000000002141;-0,000000001572;0,000003078832;0,000000791176;0,500018809701;-0,067091296659;0,000000010692;-0,000000008659;0,000001884181;0,000000350440;0,500018809701;-0,047052070286;0,000000006536;-0,000000006024;0,000001067123;0,000000224769;0,500018809701;-0,035028534462;0,000000003824;-0,000000003081;0,000003090760;0,000000879810;0,500018809701;-0,083122677758;0,000000009742;-0,000000008390;0,000004428508;0,000001216028;0,500018809701;-0,069095219296;0,000000013275;-0,000000010176;0,000000836106;0,000000243841;0,500018809701;-0,043044225011;0,000000002747;-0,000000001993;0,000000013512;0,000000011485;0,500018809701;-0,499938586319;0,000000000212;-0,000000000062;0,000000408781;0,000000078683;0,500018809701;-0,079114832483;0,000000001423;-0,000000001140
12h44m59s,43m;0,000000013422;0,000000011263;0,423869749483;-0,375695382805;0,000000000228;-0,000000000070;0,000002865019;0,000000514419;0,500018809701;-0,073103064571;0,000000010645;-0,000000007762;0,000000012192;0,000000010527;0,421865826846;-0,499938586319;0,000000000117;-0,000000000055;0,000003308928;0,000000743455;0,500018809701;-0,089134445670;0,000000010224;-0,000000008368;0,000000013045;0,000000009850;-0,499938586319;0,500018809701;0,000000000033;-0,000000000330;0,000001710269;0,000000291062;0,500018809701;-0,039036379737;0,000000006370;-0,000000004429;0,000001423758;0,000000295206;0,500018809701;-0,053063838198;0,000000005169;-0,000000004084;0,000004457712;0,000001027154;0,500018809701;-0,073103064571;0,000000015093;-0,000000010489;0,000004466328;0,000001028316;0,500018809701;-0,073103064571;0,000000014993;-0,000000010339;0,000000015268;0,000000008083;0,500018809701;-0,499938586319;0,000000000410;-0,000000000052;0,000001431731;0,000000503898;0,500018809701;-0,053063838198;0,000000004549;-0,000000002744;0,000000579296;0,000000099521;0,500018809701;-0,057071683472;0,000000002133;-0,000000001541;0,000003065839;0,000000793705;0,500018809701;-0,065087374022;0,000000010563;-0,000000008748;0,000001876938;0,000000348586;0,500018809701;-0,045048147649;0,000000006437;-0,000000006013;0,000001059166;0,000000225176;0,500018809701;-0,033024611825;0,000000003799;-0,000000003028;0,000003086036;0,000000882247;0,500018809701;-0,081118755120;0,000000009853;-0,000000008363;0,000004414854;0,000001216944;0,500018809701;-0,065087374022;0,000000013246;-0,000000010247;0,000000836609;0,000000243160;0,500018809701;-0,039036379737;0,000000002713;-0,000000001990;0,000000013262;0,000000011055;-0,425793448738;-0,479899359946;0,000000000170;-0,000000000168;0,000000403348;0,000000076572;0,500018809701;-0,073103064571;0,000000001417;-0,000000001168
12h45m06s,61m;0,000000014407;0,000000010324;0,465952124867;0,500018809701;0,000000000118;-0,000000000586;0,000002863789;0,000000518024;0,500018809701;-0,071099141934;0,000000010374;-0,000000007572;0,000000012696;0,000000010988;0,487995273877;-0,325597316873;0,000000000196;-0,000000000076;0,000003299917;0,000000741691;0,500018809701;-0,085126600395;0,000000010471;-0,000000008231;0,000000012886;0,000000010965;0,500018809701;-0,127208975778;0,000000000173;-0,000000000051;0,000001707241;0,000000289399;0,500018809701;-0,035028534462;0,000000006320;-0,000000004452;0,000001422554;0,000000297400;0,500018809701;-0,051059915561;0,000000005154;-0,000000004086;0,000004436842;0,000001029004;0,500018809701;-0,069095219296;0,000000014954;-0,000000010388;0,000004423982;0,000001025939;0,500018809701;-0,071099141934;0,000000015104;-0,000000010420;0,000000014584;0,000000008381;0,423869749483;-0,499938586319;0,000000000320;-0,000000000140;0,000001419354;0,000000500607;0,500018809701;-0,063083451384;0,000000004353;-0,000000002912;0,000000573875;0,000000098233;0,500018809701;-0,057071683472;0,000000002140;-0,000000001607;0,000003063639;0,000000797803;0,500018809701;-0,061079528747;0,000000010713;-0,000000008862;0,000001875592;0,000000348200;0,500018809701;-0,043044225011;0,000000006508;-0,000000005987;0,000001056422;0,000000225465;0,500018809701;-0,031020689187;0,000000003788;-0,000000003061;0,000003070570;0,000000882639;0,500018809701;-0,079114832483;0,000000009744;-0,000000008478;0,000004407305;0,000001218028;0,500018809701;-0,061079528747;0,000000013291;-0,000000010199;0,000000832338;0,000000243189;0,500018809701;-0,035028534462;0,000000002804;-0,000000002020;0,000000013514;0,000000011135;0,425873672120;-0,499938586319;0,000000000199;-0,000000000087;0,000000402706;0,000000076281;0,500018809701;-0,071099141934;0,000000001437;-0,000000001339
