Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-04-11_16h26m03s,38m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
16h26m09s,15m;0,000002994953;0,000000546374;0,500018809701;-0,281511018852;0,000000008771;-0,000000006828;0,000002318899;0,000000515200;0,500018809701;-0,227405107644;0,000000006045;-0,000000003911;0,000000038389;0,000000024081;0,500018809701;-0,131216821053;0,000000000106;-0,000000000076;0,000001795686;0,000000327554;0,500018809701;-0,137228588965;0,000000006191;-0,000000005287;0,000000659766;0,000000120280;0,500018809701;-0,137228588965;0,000000002089;-0,000000001835;0,000000012511;0,000000011381;0,500018809701;-0,499938586319;0,000000000157;-0,000000000046;0,000000682483;0,000000375112;0,409842291022;-0,249448256655;0,000000002146;-0,000000000923;0,000000847215;0,000000182558;0,500018809701;-0,121197207867;0,000000002742;-0,000000002160;0,000000014176;0,000000010491;0,500018809701;-0,499938586319;0,000000000219;-0,000000000032;0,000000329977;0,000000087741;0,500018809701;-0,245440411380;0,000000000896;-0,000000000658;0,000000723988;0,000000138188;0,500018809701;-0,105165826768;0,000000002353;-0,000000002040;0,000001532921;0,000000371925;0,500018809701;-0,125205053141;0,000000004636;-0,000000004372;0,000002499221;0,000000558496;0,500018809701;-0,113181517317;0,000000009003;-0,000000007634;0,000003044009;0,000000589503;0,500018809701;-0,097150136219;0,000000010253;-0,000000007257;0,000001460107;0,000000264908;0,500018809701;-0,079114832483;0,000000005409;-0,000000003608;0,000000758996;0,000000155895;0,500018809701;-0,113181517317;0,000000002409;-0,000000001769;0,000003397364;0,000000677310;0,500018809701;-0,081118755120;0,000000012001;-0,000000009084;0,000003182393;0,000000668082;0,500018809701;-0,099154058856;0,000000010379;-0,000000008604;0,000002689444;0,000000847087;0,500018809701;-0,145244279514;0,000000006697;-0,000000005791;0,000004406498;0,000001230855;0,500018809701;-0,099154058856;0,000000013158;-0,000000010597
16h26m16s,41m;0,000002742502;0,000000545687;0,500018809701;-0,143240356877;0,000000009069;-0,000000007023;0,000002135909;0,000000518331;0,500018809701;-0,135224666328;0,000000006039;-0,000000004484;0,000000038254;0,000000023982;0,500018809701;-0,047052070286;0,000000000289;-0,000000000058;0,000001685646;0,000000329279;0,500018809701;-0,081118755120;0,000000006374;-0,000000005481;0,000000617939;0,000000127902;0,500018809701;-0,095146213581;0,000000002157;-0,000000001766;0,000000012650;0,000000011140;-0,123201130504;-0,277503173577;0,000000000079;-0,000000000139;0,000000683003;0,000000376879;0,457936434317;-0,227405107644;0,000000002113;-0,000000001216;0,000000820281;0,000000180891;0,500018809701;-0,083122677758;0,000000002761;-0,000000002190;0,000000012883;0,000000010873;0,475971738053;-0,499938586319;0,000000000104;-0,000000000121;0,000000325606;0,000000087561;0,500018809701;-0,225401185007;0,000000001078;-0,000000000761;0,000000705553;0,000000139695;0,500018809701;-0,077110909846;0,000000002318;-0,000000002051;0,000001492722;0,000000371217;0,500018809701;-0,103161904131;0,000000004562;-0,000000004424;0,000002459233;0,000000554546;0,500018809701;-0,091138368307;0,000000008706;-0,000000007601;0,000002969747;0,000000586718;0,500018809701;-0,077110909846;0,000000010098;-0,000000007193;0,000001412085;0,000000264302;0,500018809701;-0,059075606110;0,000000005251;-0,000000003604;0,000000736794;0,000000154527;0,500018809701;-0,093142290944;0,000000002300;-0,000000001742;0,000003321454;0,000000680130;0,500018809701;-0,063083451384;0,000000011967;-0,000000009099;0,000003082923;0,000000671515;0,500018809701;-0,081118755120;0,000000010414;-0,000000008652;0,000002631033;0,000000849839;0,500018809701;-0,129212898416;0,000000006757;-0,000000005955;0,000004311123;0,000001233366;0,500018809701;-0,079114832483;0,000000013224;-0,000000010492
16h26m23s,66m;0,000002657211;0,000000547153;0,500018809701;-0,119193285229;0,000000009152;-0,000000007100;0,000002076598;0,000000519978;0,500018809701;-0,113181517317;0,000000006033;-0,000000004596;0,000000036885;0,000000024028;0,475971738053;-0,069095219296;0,000000000075;-0,000000000131;0,000001644821;0,000000330326;0,500018809701;-0,059075606110;0,000000006410;-0,000000005504;0,000000596829;0,000000124524;0,500018809701;-0,073103064571;0,000000002279;-0,000000001777;0,000000012835;0,000000010610;0,500018809701;-0,499938586319;0,000000000241;-0,000000000041;0,000000683058;0,000000376689;0,500018809701;-0,207365881271;0,000000002071;-0,000000000890;0,000000801611;0,000000180406;0,500018809701;-0,065087374022;0,000000002736;-0,000000002218;0,000000012702;0,000000010318;-0,323593394235;-0,473887592034;0,000000000115;-0,000000000264;0,000000315673;0,000000089023;0,500018809701;-0,185322732261;0,000000000890;-0,000000001103;0,000000685245;0,000000138795;0,500018809701;-0,061079528747;0,000000002320;-0,000000002047;0,000001463881;0,000000371827;0,500018809701;-0,087130523032;0,000000004475;-0,000000004400;0,000002427757;0,000000558028;0,500018809701;-0,077110909846;0,000000008752;-0,000000007580;0,000002909485;0,000000591008;0,500018809701;-0,059075606110;0,000000010073;-0,000000007361;0,000001389491;0,000000266212;0,500018809701;-0,039036379737;0,000000005231;-0,000000003631;0,000000717740;0,000000154948;0,500018809701;-0,077110909846;0,000000002326;-0,000000001800;0,000003261529;0,000000682575;0,500018809701;-0,047052070286;0,000000011992;-0,000000009081;0,000003043594;0,000000674190;0,500018809701;-0,065087374022;0,000000010537;-0,000000008574;0,000002586336;0,000000848605;0,500018809701;-0,111177594680;0,000000006703;-0,000000006210;0,000004257292;0,000001237878;0,500018809701;-0,063083451384;0,000000013398;-0,000000010417
16h26m30s,86m;0,000002615912;0,000000547606;0,500018809701;-0,099154058856;0,000000009077;-0,000000007023;0,000002037661;0,000000522091;0,500018809701;-0,097150136219;0,000000005994;-0,000000004586;0,000000037841;0,000000023792;0,500018809701;-0,029016766550;0,000000000355;-0,000000000074;0,000001608891;0,000000331109;0,500018809701;-0,045048147649;0,000000006389;-0,000000005480;0,000000577256;0,000000122207;0,500018809701;-0,067091296659;0,000000002120;-0,000000001743;0,000000013103;0,000000010699;-0,499938586319;-0,467875824122;0,000000000074;-0,000000000365;0,000000682325;0,000000376171;0,475971738053;-0,189330577535;0,000000002102;-0,000000001022;0,000000795433;0,000000180139;0,500018809701;-0,051059915561;0,000000002735;-0,000000002210;0,000000012980;0,000000011093;0,469959970141;-0,443828752474;0,000000000065;-0,000000000221;0,000000315885;0,000000088916;0,500018809701;-0,219389417095;0,000000000937;-0,000000000811;0,000000672001;0,000000138119;0,500018809701;-0,043044225011;0,000000002413;-0,000000002019;0,000001441825;0,000000372171;0,500018809701;-0,073103064571;0,000000004474;-0,000000004478;0,000002367000;0,000000558782;0,500018809701;-0,067091296659;0,000000008769;-0,000000007636;0,000002867246;0,000000590628;0,500018809701;-0,047052070286;0,000000010134;-0,000000007382;0,000001371759;0,000000264420;0,500018809701;-0,029016766550;0,000000005359;-0,000000003609;0,000000710041;0,000000156845;0,500018809701;-0,069095219296;0,000000002470;-0,000000001799;0,000003227066;0,000000681724;0,500018809701;-0,035028534462;0,000000012029;-0,000000009144;0,000003011553;0,000000675989;0,500018809701;-0,055067760835;0,000000010428;-0,000000008534;0,000002553799;0,000000848082;0,500018809701;-0,101157981493;0,000000006781;-0,000000006015;0,000004198122;0,000001240793;0,500018809701;-0,055067760835;0,000000013288;-0,000000010675
16h26m38s,05m;0,000002582560;0,000000547424;0,500018809701;-0,089134445670;0,000000008980;-0,000000007090;0,000002014155;0,000000522424;0,500018809701;-0,087130523032;0,000000006024;-0,000000004615;0,000000036313;0,000000024256;0,500018809701;-0,031020689187;0,000000000196;-0,000000000106;0,000001592962;0,000000329618;0,500018809701;-0,037032457099;0,000000006378;-0,000000005502;0,000000569099;0,000000126119;0,500018809701;-0,059075606110;0,000000002026;-0,000000001739;0,000000012365;0,000000011082;0,469959970141;0,319665772343;0,000000000054;-0,000000000169;0,000000682436;0,000000376810;0,471963892779;-0,185322732261;0,000000002068;-0,000000000863;0,000000788751;0,000000180754;0,500018809701;-0,041040302374;0,000000002716;-0,000000002197;0,000000013537;0,000000009460;0,500018809701;-0,499938586319;0,000000000285;-0,000000000031;0,000000312291;0,000000089752;0,500018809701;-0,183318809623;0,000000001097;-0,000000000758;0,000000667938;0,000000139677;0,500018809701;-0,039036379737;0,000000002460;-0,000000002065;0,000001427793;0,000000372921;0,500018809701;-0,067091296659;0,000000004618;-0,000000004410;0,000002365769;0,000000561276;0,500018809701;-0,059075606110;0,000000008876;-0,000000007688;0,000002843774;0,000000589384;0,500018809701;-0,039036379737;0,000000010149;-0,000000007386;0,000001353080;0,000000264572;0,500018809701;-0,023004998638;0,000000005296;-0,000000003576;0,000000695962;0,000000154718;0,500018809701;-0,063083451384;0,000000002338;-0,000000001796;0,000003199550;0,000000682684;0,500018809701;-0,029016766550;0,000000012031;-0,000000009122;0,000002977415;0,000000677693;0,500018809701;-0,047052070286;0,000000010567;-0,000000008509;0,000002534429;0,000000847702;0,500018809701;-0,099154058856;0,000000006762;-0,000000005964;0,000004169993;0,000001240165;0,500018809701;-0,047052070286;0,000000013143;-0,000000010668
16h26m45s,19m;0,000002552668;0,000000545111;0,500018809701;-0,081118755120;0,000000009079;-0,000000007108;0,000001995530;0,000000518252;0,500018809701;-0,081118755120;0,000000005974;-0,000000004709;0,000000035270;0,000000023742;0,467956047504;0,015069531471;0,000000000075;-0,000000000286;0,000001577371;0,000000328717;0,500018809701;-0,031020689187;0,000000006333;-0,000000005500;0,000000564429;0,000000124620;0,500018809701;-0,047052070286;0,000000002183;-0,000000001868;0,000000012648;0,000000011226;-0,499938586319;-0,431805216650;0,000000000036;-0,000000000126;0,000000681452;0,000000376920;0,471963892779;-0,179310964349;0,000000002065;-0,000000000873;0,000000782231;0,000000179725;0,500018809701;-0,035028534462;0,000000002731;-0,000000002228;0,000000013176;0,000000010145;0,500018809701;-0,499938586319;0,000000000236;-0,000000000036;0,000000310891;0,000000090078;0,500018809701;-0,215381571820;0,000000001083;-0,000000000771;0,000000661490;0,000000137313;0,500018809701;-0,031020689187;0,000000002380;-0,000000002079;0,000001417660;0,000000373428;0,500018809701;-0,059075606110;0,000000004510;-0,000000004344;0,000002347563;0,000000562066;0,500018809701;-0,051059915561;0,000000008719;-0,000000007613;0,000002821498;0,000000592603;0,500018809701;-0,033024611825;0,000000010068;-0,000000007464;0,000001342008;0,000000265255;0,500018809701;-0,016993230726;0,000000005339;-0,000000003656;0,000000698419;0,000000155688;0,500018809701;-0,051059915561;0,000000002430;-0,000000001859;0,000003180733;0,000000683715;0,500018809701;-0,025008921275;0,000000011947;-0,000000009070;0,000002954352;0,000000679502;0,500018809701;-0,043044225011;0,000000010465;-0,000000008579;0,000002523648;0,000000847942;0,500018809701;-0,093142290944;0,000000006721;-0,000000006084;0,000004153228;0,000001240707;0,500018809701;-0,041040302374;0,000000013280;-0,000000010678
16h26m52s,43m;0,000002526435;0,000000545640;0,500018809701;-0,077110909846;0,000000009144;-0,000000007041;0,000001985585;0,000000522811;0,500018809701;-0,077110909846;0,000000006030;-0,000000004813;0,000000035452;0,000000023961;0,471963892779;0,019077376745;0,000000000073;-0,000000000376;0,000001574396;0,000000327773;0,500018809701;-0,027012843913;0,000000006329;-0,000000005533;0,000000562095;0,000000124165;0,500018809701;-0,039036379737;0,000000002157;-0,000000001747;0,000000013309;0,000000010728;0,500018809701;-0,499938586319;0,000000000174;-0,000000000040;0,000000681917;0,000000377694;0,500018809701;-0,175303119074;0,000000002088;-0,000000000905;0,000000778096;0,000000179858;0,500018809701;-0,031020689187;0,000000002733;-0,000000002240;0,000000012401;0,000000009831;0,500018809701;-0,499938586319;0,000000000141;-0,000000000040;0,000000309092;0,000000090363;0,500018809701;-0,181314886986;0,000000001011;-0,000000000813;0,000000661767;0,000000138106;0,500018809701;-0,027012843913;0,000000002411;-0,000000002135;0,000001413047;0,000000374529;0,500018809701;-0,057071683472;0,000000004582;-0,000000004417;0,000002327662;0,000000561844;0,500018809701;-0,047052070286;0,000000008775;-0,000000007671;0,000002808567;0,000000593651;0,500018809701;-0,029016766550;0,000000010136;-0,000000007561;0,000001326703;0,000000266503;0,500018809701;-0,012985385452;0,000000005347;-0,000000003657;0,000000686898;0,000000155636;0,500018809701;-0,055067760835;0,000000002298;-0,000000001803;0,000003171706;0,000000684355;0,500018809701;-0,021001076001;0,000000012028;-0,000000009148;0,000002948308;0,000000679442;0,500018809701;-0,039036379737;0,000000010415;-0,000000008606;0,000002511156;0,000000850118;0,500018809701;-0,091138368307;0,000000006726;-0,000000006166;0,000004133812;0,000001238015;0,500018809701;-0,037032457099;0,000000013314;-0,000000010637
16h26m59s,64m;0,000002520361;0,000000548785;0,500018809701;-0,073103064571;0,000000009111;-0,000000007112;0,000001982623;0,000000522946;0,500018809701;-0,073103064571;0,000000005961;-0,000000004742;0,000000036606;0,000000024098;0,500018809701;-0,021001076001;0,000000000240;-0,000000000071;0,000001565128;0,000000326865;0,500018809701;-0,023004998638;0,000000006362;-0,000000005524;0,000000553687;0,000000123625;0,500018809701;-0,037032457099;0,000000002404;-0,000000001785;0,000000012246;0,000000011013;-0,223397262370;-0,279507096214;0,000000000037;-0,000000000108;0,000000680522;0,000000376566;0,483987428602;-0,173299196437;0,000000002047;-0,000000000885;0,000000771793;0,000000179953;0,500018809701;-0,029016766550;0,000000002696;-0,000000002233;0,000000012783;0,000000010374;0,463948202229;-0,467875824122;0,000000000055;-0,000000000287;0,000000306068;0,000000090087;0,500018809701;-0,175303119074;0,000000000854;-0,000000000907;0,000000650962;0,000000138615;0,500018809701;-0,023004998638;0,000000002352;-0,000000002092;0,000001415822;0,000000373856;0,500018809701;-0,053063838198;0,000000004563;-0,000000004480;0,000002346210;0,000000559334;0,500018809701;-0,043044225011;0,000000008697;-0,000000007608;0,000002801192;0,000000591163;0,500018809701;-0,027012843913;0,000000010166;-0,000000007549;0,000001324438;0,000000266692;0,500018809701;-0,010981462814;0,000000005318;-0,000000003610;0,000000682302;0,000000155085;0,500018809701;-0,047052070286;0,000000002344;-0,000000001796;0,000003147077;0,000000685946;0,500018809701;-0,016993230726;0,000000011896;-0,000000009155;0,000002940722;0,000000681556;0,500018809701;-0,037032457099;0,000000010342;-0,000000008624;0,000002498847;0,000000847660;0,500018809701;-0,085126600395;0,000000006722;-0,000000006120;0,000004118099;0,000001238422;0,500018809701;-0,035028534462;0,000000013204;-0,000000010701
16h27m06s,85m;0,000002508632;0,000000546802;0,500018809701;-0,071099141934;0,000000009127;-0,000000007167;0,000001966272;0,000000520865;0,500018809701;-0,071099141934;0,000000006023;-0,000000004826;0,000000035427;0,000000023648;0,471963892779;0,017073454108;0,000000000073;-0,000000000250;0,000001556379;0,000000327845;0,500018809701;-0,021001076001;0,000000006383;-0,000000005557;0,000000555510;0,000000128035;0,500018809701;-0,035028534462;0,000000002282;-0,000000002405;0,000000012531;0,000000010676;0,465952124867;0,500018809701;0,000000000055;-0,000000000267;0,000000681514;0,000000377503;0,473967815416;-0,169291351162;0,000000002070;-0,000000000909;0,000000774113;0,000000180577;0,500018809701;-0,025008921275;0,000000002763;-0,000000002259;0,000000013456;0,000000010701;0,500018809701;-0,499938586319;0,000000000180;-0,000000000038;0,000000304933;0,000000091413;0,500018809701;-0,213377649183;0,000000000909;-0,000000000759;0,000000648854;0,000000139227;0,500018809701;-0,021001076001;0,000000002319;-0,000000002048;0,000001401686;0,000000375564;0,500018809701;-0,051059915561;0,000000004601;-0,000000004380;0,000002327222;0,000000560188;0,500018809701;-0,041040302374;0,000000008682;-0,000000007626;0,000002787052;0,000000593229;0,500018809701;-0,023004998638;0,000000010177;-0,000000007530;0,000001329557;0,000000265809;0,500018809701;-0,006973617540;0,000000005319;-0,000000003619;0,000000681717;0,000000155681;0,500018809701;-0,043044225011;0,000000002485;-0,000000001845;0,000003138109;0,000000685506;0,500018809701;-0,014989308089;0,000000011909;-0,000000009135;0,000002930757;0,000000681031;0,500018809701;-0,033024611825;0,000000010348;-0,000000008623;0,000002489216;0,000000848148;0,500018809701;-0,083122677758;0,000000006749;-0,000000006192;0,000004101668;0,000001239044;0,500018809701;-0,033024611825;0,000000013314;-0,000000010725
16h27m14s,05m;0,000002498114;0,000000549027;0,500018809701;-0,069095219296;0,000000009106;-0,000000007089;0,000001965388;0,000000523795;0,500018809701;-0,067091296659;0,000000005952;-0,000000004704;0,000000035967;0,000000023961;0,500018809701;-0,016993230726;0,000000000306;-0,000000000074;0,000001549020;0,000000328085;0,500018809701;-0,018997153363;0,000000006319;-0,000000005531;0,000000551041;0,000000124063;0,500018809701;-0,035028534462;0,000000001983;-0,000000001926;0,000000013039;0,000000010288;-0,499938586319;0,500018809701;0,000000000055;-0,000000000328;0,000000681008;0,000000377549;0,481983505965;-0,167287428525;0,000000002048;-0,000000000917;0,000000769612;0,000000180371;0,500018809701;-0,025008921275;0,000000002661;-0,000000002234;0,000000012862;0,000000010978;0,500018809701;-0,429801294013;0,000000000149;-0,000000000049;0,000000306428;0,000000091000;0,500018809701;-0,141236434240;0,000000001002;-0,000000000751;0,000000644901;0,000000138407;0,500018809701;-0,018997153363;0,000000002350;-0,000000002104;0,000001393269;0,000000373102;0,500018809701;-0,045048147649;0,000000004607;-0,000000004431;0,000002310679;0,000000558509;0,500018809701;-0,037032457099;0,000000008725;-0,000000007619;0,000002779436;0,000000593347;0,500018809701;-0,021001076001;0,000000010249;-0,000000007553;0,000001318546;0,000000267073;0,500018809701;-0,004969694902;0,000000005367;-0,000000003588;0,000000675290;0,000000155748;0,500018809701;-0,041040302374;0,000000002240;-0,000000001818;0,000003127674;0,000000688370;0,500018809701;-0,010981462814;0,000000011942;-0,000000009156;0,000002902606;0,000000683976;0,500018809701;-0,031020689187;0,000000010284;-0,000000008659;0,000002484987;0,000000848138;0,500018809701;-0,081118755120;0,000000006747;-0,000000006102;0,000004098847;0,000001236703;0,500018809701;-0,031020689187;0,000000013215;-0,000000010708
