Number of Devices Configurations: 20;;;;;;;;;;;;;;;;;;;;
Fixed Source: Voltage Source 2;;;;;;;;;;;;;;;;;;;;
Fixed Source Value: 0,010000741406000;;;;;;;;;;;;;;;;;;;;
Variable Source: Voltage Source 1;;;;;;;;;;;;;;;;;;;;
Variable Source Sweep from -0,499987228760000  To 0,499971596776001 With 500 Steps;;;;;;;;;;;;;;;;;;;;
Display Measurement: ;;;;;;;;;;;;;;;;;;;;
ADC Gain: 10;;;;;;;;;;;;;;;;;;;;
Sense Resistor 1: 100;;;;;;;;;;;;;;;;;;;;
Sense Resistor 2: 998;;;;;;;;;;;;;;;;;;;;
Time to Wait After Each Sweep (ms): 1000;;;;;;;;;;;;;;;;;;;;
Delay after each Step inside sweep (us): 200;;;;;;;;;;;;;;;;;;;;
Number of ADC readings at each setpoint (for averages):  2;;;;;;;;;;;;;;;;;;;;
forward and backward sweep: FALSE;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
2025-04-15_07h31m22s,50m;;;;;;;;;;;;;;;;;;;;
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,499987229;2,81553E-06;1,15263E-06;1,06716E-08;3,24535E-06;3,24433E-06;6,42877E-07;2,82511E-06;1,25045E-08;1,83381E-06;2,18291E-06;1,19465E-06;1,75466E-06;1,58875E-06;1,95972E-06;1,19641E-08;1,07767E-08;2,46383E-06;1,03836E-06;2,75204E-06;9,96553E-09
-0,497983303;2,81351E-06;1,1514E-06;1,07869E-08;3,24402E-06;3,24247E-06;6,42812E-07;2,822E-06;1,23887E-08;1,83532E-06;2,18027E-06;1,19459E-06;1,75284E-06;1,58825E-06;1,95746E-06;1,17192E-08;1,07847E-08;2,46264E-06;1,03732E-06;2,75289E-06;9,93939E-09
-0,495979378;2,8114E-06;1,15014E-06;1,08965E-08;3,24261E-06;3,24056E-06;6,42725E-07;2,81882E-06;1,22784E-08;1,8367E-06;2,17756E-06;1,19444E-06;1,75095E-06;1,5877E-06;1,95514E-06;1,14904E-08;1,07943E-08;2,46135E-06;1,03624E-06;2,7536E-06;9,91849E-09
-0,493975452;2,80921E-06;1,14886E-06;1,10002E-08;3,24112E-06;3,23859E-06;6,42616E-07;2,81557E-06;1,21735E-08;1,83798E-06;2,1748E-06;1,1942E-06;1,74899E-06;1,58708E-06;1,95275E-06;1,12779E-08;1,08053E-08;2,45994E-06;1,03513E-06;2,75419E-06;9,90285E-09
-0,491971527;2,80693E-06;1,14756E-06;1,1098E-08;3,23955E-06;3,23656E-06;6,42485E-07;2,81225E-06;1,20741E-08;1,83914E-06;2,17198E-06;1,19386E-06;1,74697E-06;1,58641E-06;1,9503E-06;1,10816E-08;1,08179E-08;2,45843E-06;1,03397E-06;2,75465E-06;9,89246E-09
-0,489967601;2,80457E-06;1,14623E-06;1,11901E-08;3,2379E-06;3,23448E-06;6,42333E-07;2,80885E-06;1,19801E-08;1,84019E-06;2,16911E-06;1,19342E-06;1,74487E-06;1,58568E-06;1,94778E-06;1,09014E-08;1,08321E-08;2,4568E-06;1,03277E-06;2,75499E-06;9,88733E-09
-0,487963676;2,80212E-06;1,14487E-06;1,12763E-08;3,23618E-06;3,23234E-06;6,42159E-07;2,80538E-06;1,18915E-08;1,84112E-06;2,16618E-06;1,1929E-06;1,74271E-06;1,58489E-06;1,9452E-06;1,07374E-08;1,08477E-08;2,45506E-06;1,03154E-06;2,75519E-06;9,88745E-09
-0,48595975;2,79959E-06;1,14349E-06;1,13566E-08;3,23437E-06;3,23015E-06;6,41963E-07;2,80184E-06;1,18084E-08;1,84195E-06;2,16319E-06;1,19228E-06;1,74048E-06;1,58405E-06;1,94255E-06;1,05896E-08;1,08649E-08;2,45321E-06;1,03026E-06;2,75527E-06;9,89282E-09
-0,483955825;2,79697E-06;1,14209E-06;1,14312E-08;3,23249E-06;3,22789E-06;6,41746E-07;2,79822E-06;1,17306E-08;1,84265E-06;2,16014E-06;1,19157E-06;1,73819E-06;1,58315E-06;1,93984E-06;1,0458E-08;1,08836E-08;2,45125E-06;1,02894E-06;2,75521E-06;9,90345E-09
-0,481951899;2,79427E-06;1,14066E-06;1,14999E-08;3,23053E-06;3,22558E-06;6,41507E-07;2,79453E-06;1,16584E-08;1,84325E-06;2,15704E-06;1,19077E-06;1,73582E-06;1,58219E-06;1,93706E-06;1,03426E-08;1,09038E-08;2,44918E-06;1,02759E-06;2,75503E-06;9,91933E-09
-0,479947974;2,79149E-06;1,1392E-06;1,15628E-08;3,22849E-06;3,22322E-06;6,41246E-07;2,79077E-06;1,15915E-08;1,84373E-06;2,15389E-06;1,18987E-06;1,73339E-06;1,58117E-06;1,93421E-06;1,02433E-08;1,09255E-08;2,447E-06;1,02619E-06;2,75472E-06;9,94046E-09
-0,477944048;2,78862E-06;1,13772E-06;1,16198E-08;3,22637E-06;3,22079E-06;6,40963E-07;2,78694E-06;1,15301E-08;1,8441E-06;2,15067E-06;1,18888E-06;1,73089E-06;1,5801E-06;1,9313E-06;1,01603E-08;1,09488E-08;2,44471E-06;1,02475E-06;2,75429E-06;9,96685E-09
-0,475940123;2,78566E-06;1,13621E-06;1,16711E-08;3,22417E-06;3,21831E-06;6,40658E-07;2,78303E-06;1,14742E-08;1,84436E-06;2,1474E-06;1,1878E-06;1,72833E-06;1,57897E-06;1,92832E-06;1,00934E-08;1,09736E-08;2,44231E-06;1,02327E-06;2,75372E-06;9,99849E-09
-0,473936197;2,78262E-06;1,13468E-06;1,17165E-08;3,22189E-06;3,21578E-06;6,40332E-07;2,77905E-06;1,14236E-08;1,8445E-06;2,14407E-06;1,18663E-06;1,72569E-06;1,57778E-06;1,92528E-06;1,00427E-08;1,09999E-08;2,43979E-06;1,02176E-06;2,75303E-06;1,00354E-08
-0,471932272;2,77949E-06;1,13313E-06;1,1756E-08;3,21954E-06;3,21318E-06;6,39984E-07;2,775E-06;1,13785E-08;1,84453E-06;2,14069E-06;1,18536E-06;1,72299E-06;1,57654E-06;1,92217E-06;1,00082E-08;1,10277E-08;2,43717E-06;1,0202E-06;2,7522E-06;1,00775E-08
-0,469928346;2,77628E-06;1,13155E-06;1,17897E-08;3,2171E-06;3,21053E-06;6,39614E-07;2,77087E-06;1,13389E-08;1,84445E-06;2,13725E-06;1,184E-06;1,72022E-06;1,57524E-06;1,919E-06;9,98987E-09;1,1057E-08;2,43443E-06;1,0186E-06;2,75125E-06;1,01249E-08
-0,467924421;2,77299E-06;1,12994E-06;1,18176E-08;3,21459E-06;3,20782E-06;6,39223E-07;2,76667E-06;1,13047E-08;1,84425E-06;2,13375E-06;1,18255E-06;1,71738E-06;1,57388E-06;1,91576E-06;9,98773E-09;1,10879E-08;2,43159E-06;1,01696E-06;2,75017E-06;1,01776E-08
-0,465920495;2,76961E-06;1,12831E-06;1,18397E-08;3,21199E-06;3,20506E-06;6,3881E-07;2,7624E-06;1,12759E-08;1,84394E-06;2,1302E-06;1,181E-06;1,71448E-06;1,57246E-06;1,91246E-06;1,00018E-08;1,11203E-08;2,42863E-06;1,01528E-06;2,74896E-06;1,02355E-08
-0,46391657;2,76614E-06;1,12665E-06;1,18559E-08;3,20932E-06;3,20224E-06;6,38375E-07;2,75805E-06;1,12525E-08;1,84352E-06;2,12659E-06;1,17936E-06;1,7115E-06;1,57099E-06;1,90909E-06;1,0032E-08;1,11542E-08;2,42556E-06;1,01356E-06;2,74763E-06;1,02986E-08
-0,461912644;2,76259E-06;1,12497E-06;1,18664E-08;3,20657E-06;3,19936E-06;6,37918E-07;2,75363E-06;1,12346E-08;1,84298E-06;2,12292E-06;1,17763E-06;1,70846E-06;1,56946E-06;1,90565E-06;1,00784E-08;1,11897E-08;2,42238E-06;1,0118E-06;2,74616E-06;1,03671E-08
-0,459908719;2,75896E-06;1,12326E-06;1,18709E-08;3,20374E-06;3,19643E-06;6,3744E-07;2,74914E-06;1,12221E-08;1,84233E-06;2,1192E-06;1,1758E-06;1,70536E-06;1,56787E-06;1,90215E-06;1,0141E-08;1,12266E-08;2,41909E-06;1,01E-06;2,74457E-06;1,04407E-08
-0,457904793;2,75524E-06;1,12153E-06;1,18697E-08;3,20083E-06;3,19343E-06;6,36939E-07;2,74458E-06;1,12151E-08;1,84157E-06;2,11542E-06;1,17388E-06;1,70218E-06;1,56623E-06;1,89859E-06;1,02198E-08;1,12651E-08;2,41569E-06;1,00816E-06;2,74285E-06;1,05196E-08
-0,455900868;2,75143E-06;1,11977E-06;1,18626E-08;3,19785E-06;3,19039E-06;6,36417E-07;2,73994E-06;1,12135E-08;1,84069E-06;2,11158E-06;1,17187E-06;1,69894E-06;1,56453E-06;1,89495E-06;1,03147E-08;1,13051E-08;2,41218E-06;1,00629E-06;2,741E-06;1,06038E-08
-0,453896942;2,74754E-06;1,11799E-06;1,18497E-08;3,19478E-06;3,18728E-06;6,35874E-07;2,73523E-06;1,12173E-08;1,8397E-06;2,10769E-06;1,16977E-06;1,69563E-06;1,56277E-06;1,89126E-06;1,04259E-08;1,13466E-08;2,40856E-06;1,00437E-06;2,73902E-06;1,06932E-08
-0,451893017;2,74357E-06;1,11619E-06;1,18309E-08;3,19164E-06;3,18412E-06;6,35308E-07;2,73045E-06;1,12266E-08;1,8386E-06;2,10374E-06;1,16757E-06;1,69225E-06;1,56095E-06;1,88749E-06;1,05532E-08;1,13897E-08;2,40483E-06;1,0024E-06;2,73691E-06;1,07879E-08
-0,449889091;2,73953E-06;1,11436E-06;1,18099E-08;3,18842E-06;3,18089E-06;6,34722E-07;2,72561E-06;1,12385E-08;1,83741E-06;2,09975E-06;1,16532E-06;1,68882E-06;1,55908E-06;1,88369E-06;1,06841E-08;1,14313E-08;2,40102E-06;1,00042E-06;2,7347E-06;1,08819E-08
-0,447885166;2,73545E-06;1,11251E-06;1,179E-08;3,18513E-06;3,1776E-06;6,34115E-07;2,72072E-06;1,12505E-08;1,83615E-06;2,09573E-06;1,16305E-06;1,68538E-06;1,55716E-06;1,87986E-06;1,0806E-08;1,14687E-08;2,39717E-06;9,98429E-07;2,73239E-06;1,09692E-08
-0,44588124;2,73133E-06;1,11064E-06;1,17713E-08;3,18177E-06;3,17425E-06;6,33488E-07;2,71578E-06;1,12625E-08;1,83482E-06;2,09168E-06;1,16076E-06;1,68192E-06;1,55518E-06;1,876E-06;1,09188E-08;1,15018E-08;2,39327E-06;9,9643E-07;2,73E-06;1,10499E-08
-0,443877315;2,72716E-06;1,10876E-06;1,17538E-08;3,17834E-06;3,17082E-06;6,3284E-07;2,71079E-06;1,12744E-08;1,83343E-06;2,08761E-06;1,15845E-06;1,67843E-06;1,55315E-06;1,87212E-06;1,10226E-08;1,15305E-08;2,38934E-06;9,94422E-07;2,72752E-06;1,1124E-08
-0,441873389;2,72296E-06;1,10685E-06;1,17375E-08;3,17485E-06;3,16734E-06;6,32173E-07;2,70575E-06;1,12864E-08;1,83197E-06;2,08351E-06;1,15612E-06;1,67492E-06;1,55107E-06;1,86821E-06;1,11174E-08;1,1555E-08;2,38537E-06;9,92408E-07;2,72495E-06;1,11914E-08
-0,439869464;2,71871E-06;1,10493E-06;1,17224E-08;3,17128E-06;3,16378E-06;6,31485E-07;2,70067E-06;1,12983E-08;1,83044E-06;2,07938E-06;1,15378E-06;1,6714E-06;1,54894E-06;1,86428E-06;1,12031E-08;1,15752E-08;2,38135E-06;9,90385E-07;2,72229E-06;1,12522E-08
-0,437865538;2,71442E-06;1,10299E-06;1,17085E-08;3,16765E-06;3,16016E-06;6,30777E-07;2,69554E-06;1,13102E-08;1,82884E-06;2,07522E-06;1,15141E-06;1,66785E-06;1,54675E-06;1,86033E-06;1,12798E-08;1,15911E-08;2,3773E-06;9,88355E-07;2,71954E-06;1,13064E-08
-0,435861613;2,71009E-06;1,10103E-06;1,16957E-08;3,16394E-06;3,15647E-06;6,30049E-07;2,69036E-06;1,13222E-08;1,82718E-06;2,07104E-06;1,14903E-06;1,66428E-06;1,54451E-06;1,85635E-06;1,13475E-08;1,16027E-08;2,3732E-06;9,86317E-07;2,7167E-06;1,13539E-08
-0,433857687;2,70571E-06;1,09906E-06;1,16842E-08;3,16017E-06;3,15272E-06;6,293E-07;2,68513E-06;1,13341E-08;1,82545E-06;2,06683E-06;1,14663E-06;1,66069E-06;1,54222E-06;1,85235E-06;1,14061E-08;1,161E-08;2,36906E-06;9,84271E-07;2,71378E-06;1,13947E-08
-0,431853762;2,70129E-06;1,09706E-06;1,16738E-08;3,15633E-06;3,1489E-06;6,28531E-07;2,67985E-06;1,1346E-08;1,82365E-06;2,0626E-06;1,1442E-06;1,65708E-06;1,53987E-06;1,84832E-06;1,14557E-08;1,16129E-08;2,36488E-06;9,82218E-07;2,71076E-06;1,14289E-08
-0,429849836;2,69684E-06;1,09505E-06;1,16646E-08;3,15242E-06;3,14501E-06;6,27742E-07;2,67452E-06;1,13579E-08;1,82178E-06;2,05833E-06;1,14176E-06;1,65345E-06;1,53747E-06;1,84427E-06;1,14962E-08;1,16116E-08;2,36066E-06;9,80157E-07;2,70766E-06;1,14565E-08
-0,427845911;2,69234E-06;1,09301E-06;1,16567E-08;3,14843E-06;3,14106E-06;6,26932E-07;2,66915E-06;1,13698E-08;1,81985E-06;2,05404E-06;1,13931E-06;1,6498E-06;1,53502E-06;1,8402E-06;1,15277E-08;1,16061E-08;2,3564E-06;9,78088E-07;2,70446E-06;1,14775E-08
-0,425841985;2,68779E-06;1,09096E-06;1,16499E-08;3,14438E-06;3,13704E-06;6,26103E-07;2,66373E-06;1,13817E-08;1,81785E-06;2,04973E-06;1,13683E-06;1,64612E-06;1,53252E-06;1,83609E-06;1,15502E-08;1,15962E-08;2,3521E-06;9,76012E-07;2,70118E-06;1,14918E-08
-0,42383806;2,68321E-06;1,08889E-06;1,16443E-08;3,14026E-06;3,13296E-06;6,25253E-07;2,65826E-06;1,13936E-08;1,81578E-06;2,04538E-06;1,13433E-06;1,64243E-06;1,52996E-06;1,83197E-06;1,15636E-08;1,1582E-08;2,34776E-06;9,73928E-07;2,69781E-06;1,14994E-08
-0,421834134;2,67858E-06;1,0868E-06;1,16399E-08;3,13608E-06;3,12881E-06;6,24382E-07;2,65274E-06;1,14055E-08;1,81365E-06;2,04101E-06;1,13182E-06;1,63871E-06;1,52735E-06;1,82782E-06;1,1568E-08;1,15635E-08;2,34337E-06;9,71836E-07;2,69435E-06;1,15004E-08
-0,419830209;2,67391E-06;1,0847E-06;1,16367E-08;3,13182E-06;3,12459E-06;6,23492E-07;2,64717E-06;1,14173E-08;1,81144E-06;2,03661E-06;1,12928E-06;1,63498E-06;1,52469E-06;1,82365E-06;1,15634E-08;1,15407E-08;2,33894E-06;9,69737E-07;2,6908E-06;1,14948E-08
-0,417826283;2,6692E-06;1,08257E-06;1,16346E-08;3,12749E-06;3,12031E-06;6,22581E-07;2,64156E-06;1,14292E-08;1,80917E-06;2,03218E-06;1,12673E-06;1,63122E-06;1,52198E-06;1,81945E-06;1,15498E-08;1,15136E-08;2,33448E-06;9,6763E-07;2,68716E-06;1,14825E-08
-0,415822358;2,66445E-06;1,08043E-06;1,16338E-08;3,12309E-06;3,11596E-06;6,2165E-07;2,6359E-06;1,14411E-08;1,80684E-06;2,02773E-06;1,12416E-06;1,62744E-06;1,51921E-06;1,81523E-06;1,15271E-08;1,14823E-08;2,32997E-06;9,65515E-07;2,68344E-06;1,14636E-08
-0,413818432;2,65965E-06;1,07826E-06;1,16341E-08;3,11863E-06;3,11155E-06;6,20699E-07;2,63019E-06;1,14529E-08;1,80443E-06;2,02325E-06;1,12157E-06;1,62364E-06;1,51639E-06;1,81098E-06;1,14953E-08;1,14466E-08;2,32542E-06;9,63392E-07;2,67962E-06;1,14381E-08
-0,411814507;2,65482E-06;1,07608E-06;1,16357E-08;3,11409E-06;3,10706E-06;6,19727E-07;2,62443E-06;1,14647E-08;1,80196E-06;2,01874E-06;1,11896E-06;1,61982E-06;1,51352E-06;1,80671E-06;1,14545E-08;1,14066E-08;2,32083E-06;9,61262E-07;2,67571E-06;1,14059E-08
-0,409810581;2,64994E-06;1,07388E-06;1,16384E-08;3,10949E-06;3,10252E-06;6,18735E-07;2,61862E-06;1,14766E-08;1,79942E-06;2,0142E-06;1,11633E-06;1,61598E-06;1,5106E-06;1,80242E-06;1,14047E-08;1,13624E-08;2,3162E-06;9,59124E-07;2,67172E-06;1,13671E-08
-0,407806656;2,64502E-06;1,07166E-06;1,16423E-08;3,10481E-06;3,0979E-06;6,17723E-07;2,61276E-06;1,14884E-08;1,79682E-06;2,00964E-06;1,11369E-06;1,61212E-06;1,50762E-06;1,7981E-06;1,13459E-08;1,13138E-08;2,31153E-06;9,56979E-07;2,66764E-06;1,13216E-08
-0,40580273;2,64005E-06;1,06942E-06;1,16475E-08;3,10007E-06;3,09322E-06;6,16691E-07;2,60686E-06;1,15002E-08;1,79414E-06;2,00505E-06;1,11102E-06;1,60824E-06;1,50459E-06;1,79375E-06;1,1278E-08;1,1261E-08;2,30681E-06;9,54826E-07;2,66347E-06;1,12695E-08
