Number of Devices Configurations: 20;;;;;;;;;;;;;;;;;;;;
Fixed Source: Voltage Source 2;;;;;;;;;;;;;;;;;;;;
Fixed Source Value: 0,010000741406000;;;;;;;;;;;;;;;;;;;;
Variable Source: Voltage Source 1;;;;;;;;;;;;;;;;;;;;
Variable Source Sweep from -0,499987228760000  To 0,499971596776001 With 500 Steps;;;;;;;;;;;;;;;;;;;;
Display Measurement: ;;;;;;;;;;;;;;;;;;;;
ADC Gain: 10;;;;;;;;;;;;;;;;;;;;
Sense Resistor 1: 100;;;;;;;;;;;;;;;;;;;;
Sense Resistor 2: 998;;;;;;;;;;;;;;;;;;;;
Time to Wait After Each Sweep (ms): 1000;;;;;;;;;;;;;;;;;;;;
Delay after each Step inside sweep (us): 200;;;;;;;;;;;;;;;;;;;;
Number of ADC readings at each setpoint (for averages):  2;;;;;;;;;;;;;;;;;;;;
forward and backward sweep: FALSE;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
2025-04-14_12h05m04s,99m;;;;;;;;;;;;;;;;;;;;
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,499987229;3,04243E-06;1,23234E-06;3,63579E-06;3,76255E-06;3,745E-06;6,41461E-07;2,73811E-06;9,32429E-09;1,98231E-06;2,16481E-06;1,03749E-06;1,65068E-06;1,57839E-06;1,74555E-06;6,30612E-09;9,14265E-09;2,36123E-06;9,5813E-07;2,70171E-06;5,84786E-09
-0,497983303;3,0374E-06;1,22989E-06;3,63303E-06;3,76013E-06;3,74307E-06;6,41715E-07;2,73545E-06;9,38099E-09;1,98275E-06;2,16077E-06;1,03662E-06;1,64742E-06;1,5774E-06;1,74253E-06;6,52728E-09;9,25935E-09;2,35944E-06;9,56641E-07;2,70017E-06;6,11429E-09
-0,495979378;3,03231E-06;1,22742E-06;3,63013E-06;3,75754E-06;3,74095E-06;6,41919E-07;2,73266E-06;9,43542E-09;1,98305E-06;2,15669E-06;1,0357E-06;1,64412E-06;1,57632E-06;1,73947E-06;6,73597E-09;9,36894E-09;2,35748E-06;9,5511E-07;2,69849E-06;6,36426E-09
-0,493975452;3,02718E-06;1,22494E-06;3,62711E-06;3,75479E-06;3,73862E-06;6,42075E-07;2,72973E-06;9,48756E-09;1,98321E-06;2,15257E-06;1,03471E-06;1,64078E-06;1,57515E-06;1,73634E-06;6,93218E-09;9,47141E-09;2,35536E-06;9,53538E-07;2,69667E-06;6,59775E-09
-0,491971527;3,02198E-06;1,22243E-06;3,62395E-06;3,75186E-06;3,73611E-06;6,42183E-07;2,72667E-06;9,53743E-09;1,98324E-06;2,1484E-06;1,03366E-06;1,63739E-06;1,57388E-06;1,73316E-06;7,11592E-09;9,56677E-09;2,35309E-06;9,51924E-07;2,6947E-06;6,81478E-09
-0,489967601;3,01673E-06;1,2199E-06;3,62066E-06;3,74877E-06;3,7334E-06;6,42241E-07;2,72348E-06;9,58501E-09;1,98312E-06;2,14418E-06;1,03256E-06;1,63395E-06;1,57252E-06;1,72992E-06;7,28719E-09;9,65501E-09;2,35066E-06;9,50269E-07;2,69259E-06;7,01534E-09
-0,487963676;3,01143E-06;1,21736E-06;3,61723E-06;3,7455E-06;3,73049E-06;6,42251E-07;2,72015E-06;9,63031E-09;1,98287E-06;2,13992E-06;1,03139E-06;1,63047E-06;1,57107E-06;1,72662E-06;7,44599E-09;9,73613E-09;2,34806E-06;9,48572E-07;2,69034E-06;7,19943E-09
-0,48595975;3,00608E-06;1,21479E-06;3,61368E-06;3,74207E-06;3,72739E-06;6,42212E-07;2,71669E-06;9,67333E-09;1,98248E-06;2,13562E-06;1,03017E-06;1,62694E-06;1,56952E-06;1,72326E-06;7,59231E-09;9,81014E-09;2,34531E-06;9,46834E-07;2,68794E-06;7,36704E-09
-0,483955825;3,00067E-06;1,21221E-06;3,60999E-06;3,73847E-06;3,72409E-06;6,42125E-07;2,71309E-06;9,71407E-09;1,98195E-06;2,13127E-06;1,02888E-06;1,62336E-06;1,56788E-06;1,71985E-06;7,72615E-09;9,87703E-09;2,3424E-06;9,45055E-07;2,68541E-06;7,51819E-09
-0,481951899;2,99521E-06;1,2096E-06;3,60617E-06;3,73471E-06;3,7206E-06;6,41988E-07;2,70936E-06;9,75253E-09;1,98128E-06;2,12687E-06;1,02753E-06;1,61974E-06;1,56614E-06;1,71638E-06;7,84753E-09;9,9368E-09;2,33933E-06;9,43234E-07;2,68273E-06;7,65287E-09
-0,479947974;2,98969E-06;1,20698E-06;3,60222E-06;3,73077E-06;3,71691E-06;6,41803E-07;2,70549E-06;9,78871E-09;1,98047E-06;2,12243E-06;1,02613E-06;1,61607E-06;1,56431E-06;1,71285E-06;7,95643E-09;9,98946E-09;2,3361E-06;9,41371E-07;2,6799E-06;7,77108E-09
-0,477944048;2,98412E-06;1,20433E-06;3,59813E-06;3,72667E-06;3,71303E-06;6,41569E-07;2,7015E-06;9,82261E-09;1,97953E-06;2,11794E-06;1,02466E-06;1,61236E-06;1,56239E-06;1,70927E-06;8,05286E-09;1,0035E-08;2,33272E-06;9,39467E-07;2,67693E-06;7,87282E-09
-0,475940123;2,9785E-06;1,20167E-06;3,59392E-06;3,72239E-06;3,70895E-06;6,41286E-07;2,69736E-06;9,85423E-09;1,97845E-06;2,11341E-06;1,02314E-06;1,6086E-06;1,56037E-06;1,70562E-06;8,13681E-09;1,00734E-08;2,32917E-06;9,37522E-07;2,67383E-06;7,9581E-09
-0,473936197;2,97282E-06;1,19899E-06;3,58957E-06;3,71795E-06;3,70468E-06;6,40955E-07;2,69309E-06;9,88357E-09;1,97722E-06;2,10883E-06;1,02155E-06;1,6048E-06;1,55826E-06;1,70192E-06;8,20829E-09;1,01047E-08;2,32546E-06;9,35535E-07;2,67057E-06;8,0269E-09
-0,471932272;2,96709E-06;1,19628E-06;3,58509E-06;3,71334E-06;3,70021E-06;6,40575E-07;2,68869E-06;9,91063E-09;1,97586E-06;2,10421E-06;1,01991E-06;1,60095E-06;1,55605E-06;1,69816E-06;8,2673E-09;1,01289E-08;2,3216E-06;9,33506E-07;2,66718E-06;8,07923E-09
-0,469928346;2,96131E-06;1,19356E-06;3,58048E-06;3,70856E-06;3,69555E-06;6,40146E-07;2,68416E-06;9,9354E-09;1,97437E-06;2,09954E-06;1,0182E-06;1,59705E-06;1,55376E-06;1,69435E-06;8,31384E-09;1,0146E-08;2,31758E-06;9,31436E-07;2,66364E-06;8,1151E-09
-0,467924421;2,95547E-06;1,19082E-06;3,57573E-06;3,70361E-06;3,69069E-06;6,39668E-07;2,67949E-06;9,9579E-09;1,97273E-06;2,09483E-06;1,01643E-06;1,59311E-06;1,55136E-06;1,69048E-06;8,3479E-09;1,0156E-08;2,3134E-06;9,29325E-07;2,65996E-06;8,13449E-09
-0,465920495;2,94957E-06;1,18806E-06;3,57086E-06;3,69849E-06;3,68563E-06;6,39141E-07;2,67468E-06;9,97811E-09;1,97096E-06;2,09007E-06;1,01461E-06;1,58912E-06;1,54888E-06;1,68654E-06;8,36948E-09;1,01588E-08;2,30905E-06;9,27172E-07;2,65613E-06;8,13742E-09
-0,46391657;2,94363E-06;1,18528E-06;3,56585E-06;3,69321E-06;3,68038E-06;6,38566E-07;2,66974E-06;9,99605E-09;1,96904E-06;2,08527E-06;1,01272E-06;1,58509E-06;1,5463E-06;1,68256E-06;8,3786E-09;1,01545E-08;2,30456E-06;9,24978E-07;2,65217E-06;8,12387E-09
-0,461912644;2,93763E-06;1,18248E-06;3,56071E-06;3,68776E-06;3,67494E-06;6,37942E-07;2,66467E-06;1,00117E-08;1,96699E-06;2,08042E-06;1,01078E-06;1,58101E-06;1,54363E-06;1,67851E-06;8,37524E-09;1,01432E-08;2,2999E-06;9,22742E-07;2,64806E-06;8,09386E-09
-0,459908719;2,93157E-06;1,17966E-06;3,55543E-06;3,68213E-06;3,6693E-06;6,37269E-07;2,65946E-06;1,00251E-08;1,9648E-06;2,07552E-06;1,00877E-06;1,57688E-06;1,54086E-06;1,67441E-06;8,35941E-09;1,01246E-08;2,29508E-06;9,20465E-07;2,64381E-06;8,04737E-09
-0,457904793;2,92547E-06;1,17682E-06;3,55003E-06;3,67634E-06;3,66347E-06;6,36548E-07;2,65412E-06;1,00362E-08;1,96248E-06;2,07058E-06;1,0067E-06;1,57271E-06;1,538E-06;1,67024E-06;8,3311E-09;1,0099E-08;2,2901E-06;9,18146E-07;2,63941E-06;7,98442E-09
-0,455900868;2,9193E-06;1,17396E-06;3,54449E-06;3,67038E-06;3,65744E-06;6,35778E-07;2,64865E-06;1,0045E-08;1,96001E-06;2,0656E-06;1,00458E-06;1,56849E-06;1,53504E-06;1,66603E-06;8,29032E-09;1,00663E-08;2,28497E-06;9,15786E-07;2,63487E-06;7,905E-09
-0,453896942;2,91309E-06;1,17108E-06;3,53882E-06;3,66426E-06;3,65121E-06;6,34959E-07;2,64304E-06;1,00515E-08;1,95741E-06;2,06057E-06;1,00239E-06;1,56423E-06;1,53199E-06;1,66175E-06;8,23707E-09;1,00264E-08;2,27967E-06;9,13385E-07;2,63019E-06;7,80911E-09
-0,451893017;2,90682E-06;1,16818E-06;3,53302E-06;3,65796E-06;3,64479E-06;6,34091E-07;2,63729E-06;1,00558E-08;1,95466E-06;2,05549E-06;1,00015E-06;1,55992E-06;1,52885E-06;1,65742E-06;8,17135E-09;9,97947E-09;2,27422E-06;9,10941E-07;2,62537E-06;7,69675E-09
-0,449889091;2,9005E-06;1,16526E-06;3,5271E-06;3,65153E-06;3,63824E-06;6,3319E-07;2,63147E-06;1,00586E-08;1,95182E-06;2,05039E-06;9,97859E-07;1,55557E-06;1,52564E-06;1,65304E-06;8,10189E-09;9,93076E-09;2,26866E-06;9,08476E-07;2,62044E-06;7,5812E-09
-0,447885166;2,89413E-06;1,16232E-06;3,52108E-06;3,64501E-06;3,63163E-06;6,32272E-07;2,62562E-06;1,00607E-08;1,94892E-06;2,04528E-06;9,95543E-07;1,5512E-06;1,5224E-06;1,64862E-06;8,03743E-09;9,88571E-09;2,26305E-06;9,06006E-07;2,61543E-06;7,47574E-09
-0,44588124;2,8877E-06;1,15936E-06;3,51496E-06;3,63839E-06;3,62495E-06;6,31336E-07;2,61975E-06;1,00623E-08;1,94596E-06;2,04016E-06;9,93201E-07;1,54681E-06;1,51913E-06;1,64418E-06;7,97797E-09;9,84431E-09;2,25739E-06;9,03533E-07;2,61036E-06;7,38036E-09
-0,443877315;2,88123E-06;1,15639E-06;3,50874E-06;3,63168E-06;3,6182E-06;6,30383E-07;2,61385E-06;1,00632E-08;1,94293E-06;2,03503E-06;9,90832E-07;1,54239E-06;1,51581E-06;1,63969E-06;7,92352E-09;9,80656E-09;2,25168E-06;9,01055E-07;2,60521E-06;7,29508E-09
-0,441873389;2,8747E-06;1,15339E-06;3,50242E-06;3,62488E-06;3,61139E-06;6,29412E-07;2,60792E-06;1,00635E-08;1,93985E-06;2,0299E-06;9,88437E-07;1,53794E-06;1,51247E-06;1,63518E-06;7,87407E-09;9,77245E-09;2,24591E-06;8,98575E-07;2,59999E-06;7,21989E-09
-0,439869464;2,86813E-06;1,15038E-06;3,49599E-06;3,61798E-06;3,60451E-06;6,28424E-07;2,60197E-06;1,00631E-08;1,93671E-06;2,02475E-06;9,86015E-07;1,53347E-06;1,50909E-06;1,63063E-06;7,82962E-09;9,742E-09;2,2401E-06;8,9609E-07;2,5947E-06;7,15478E-09
-0,437865538;2,8615E-06;1,14734E-06;3,48946E-06;3,61099E-06;3,59757E-06;6,27419E-07;2,59599E-06;1,00621E-08;1,93351E-06;2,0196E-06;9,83566E-07;1,52898E-06;1,50567E-06;1,62605E-06;7,79017E-09;9,7152E-09;2,23423E-06;8,93601E-07;2,58934E-06;7,09977E-09
-0,435861613;2,85483E-06;1,14429E-06;3,48284E-06;3,6039E-06;3,59056E-06;6,26396E-07;2,58998E-06;1,00605E-08;1,93024E-06;2,01445E-06;9,81091E-07;1,52445E-06;1,50222E-06;1,62143E-06;7,75573E-09;9,69204E-09;2,22832E-06;8,91109E-07;2,5839E-06;7,05484E-09
-0,433857687;2,8481E-06;1,14122E-06;3,47611E-06;3,59672E-06;3,58349E-06;6,25356E-07;2,58395E-06;1,00583E-08;1,92692E-06;2,00928E-06;9,7859E-07;1,51991E-06;1,49873E-06;1,61678E-06;7,72629E-09;9,67254E-09;2,22235E-06;8,88613E-07;2,5784E-06;7,02E-09
-0,431853762;2,84132E-06;1,13812E-06;3,46927E-06;3,58945E-06;3,57635E-06;6,24299E-07;2,5779E-06;1,00554E-08;1,92353E-06;2,0041E-06;9,76062E-07;1,51534E-06;1,49521E-06;1,61209E-06;7,70185E-09;9,65669E-09;2,21633E-06;8,86113E-07;2,57282E-06;6,99525E-09
-0,429849836;2,83449E-06;1,13501E-06;3,46234E-06;3,58208E-06;3,56915E-06;6,23224E-07;2,57181E-06;1,00519E-08;1,92009E-06;1,99892E-06;9,73507E-07;1,51074E-06;1,49165E-06;1,60737E-06;7,68241E-09;9,64448E-09;2,21026E-06;8,83609E-07;2,56717E-06;6,98059E-09
-0,427845911;2,82761E-06;1,13188E-06;3,45531E-06;3,57462E-06;3,56188E-06;6,22131E-07;2,5657E-06;1,00478E-08;1,91659E-06;1,99373E-06;9,70925E-07;1,50612E-06;1,48806E-06;1,60262E-06;7,66798E-09;9,63593E-09;2,20414E-06;8,81101E-07;2,56144E-06;6,97602E-09
-0,425841985;2,82068E-06;1,12873E-06;3,44817E-06;3,56706E-06;3,55454E-06;6,21021E-07;2,55957E-06;1,0043E-08;1,91302E-06;1,98853E-06;9,68318E-07;1,50147E-06;1,48443E-06;1,59783E-06;7,65855E-09;9,63102E-09;2,19797E-06;8,7859E-07;2,55565E-06;6,98154E-09
-0,42383806;2,8137E-06;1,12556E-06;3,44094E-06;3,55941E-06;3,54714E-06;6,19894E-07;2,55341E-06;1,00377E-08;1,9094E-06;1,98333E-06;9,65683E-07;1,49679E-06;1,48077E-06;1,59301E-06;7,65412E-09;9,62977E-09;2,19175E-06;8,76075E-07;2,54978E-06;6,99714E-09
-0,421834134;2,80666E-06;1,12237E-06;3,4336E-06;3,55167E-06;3,53968E-06;6,1875E-07;2,54723E-06;1,00316E-08;1,90571E-06;1,97811E-06;9,63022E-07;1,4921E-06;1,47707E-06;1,58816E-06;7,65469E-09;9,63217E-09;2,18547E-06;8,73556E-07;2,54384E-06;7,02284E-09
-0,419830209;2,79958E-06;1,11916E-06;3,42616E-06;3,54383E-06;3,53215E-06;6,17587E-07;2,54101E-06;1,0025E-08;1,90197E-06;1,97289E-06;9,60334E-07;1,48737E-06;1,47334E-06;1,58327E-06;7,66027E-09;9,63821E-09;2,17915E-06;8,71033E-07;2,53783E-06;7,05863E-09
-0,417826283;2,79244E-06;1,11594E-06;3,41862E-06;3,53589E-06;3,52455E-06;6,16408E-07;2,53478E-06;1,00177E-08;1,89816E-06;1,96766E-06;9,5762E-07;1,48262E-06;1,46958E-06;1,57835E-06;7,67085E-09;9,64791E-09;2,17277E-06;8,68506E-07;2,53175E-06;7,1045E-09
-0,415822358;2,78526E-06;1,11269E-06;3,41097E-06;3,52787E-06;3,51689E-06;6,15211E-07;2,52851E-06;1,00098E-08;1,89429E-06;1,96242E-06;9,54879E-07;1,47785E-06;1,46577E-06;1,57339E-06;7,68643E-09;9,66125E-09;2,16634E-06;8,65976E-07;2,52559E-06;7,16046E-09
-0,413818432;2,77802E-06;1,10942E-06;3,40323E-06;3,51975E-06;3,50916E-06;6,13997E-07;2,52222E-06;1,00013E-08;1,89037E-06;1,95718E-06;9,52112E-07;1,47305E-06;1,46194E-06;1,5684E-06;7,70701E-09;9,67825E-09;2,15986E-06;8,63442E-07;2,51937E-06;7,22652E-09
-0,411814507;2,77074E-06;1,10614E-06;3,39538E-06;3,51153E-06;3,50137E-06;6,12765E-07;2,51591E-06;9,99214E-09;1,88638E-06;1,95192E-06;9,49318E-07;1,46823E-06;1,45806E-06;1,56337E-06;7,7326E-09;9,69889E-09;2,15333E-06;8,60904E-07;2,51307E-06;7,30266E-09
-0,409810581;2,7634E-06;1,10283E-06;3,38744E-06;3,50322E-06;3,49351E-06;6,11516E-07;2,50957E-06;9,98235E-09;1,88233E-06;1,94666E-06;9,46497E-07;1,46338E-06;1,45416E-06;1,55832E-06;7,76319E-09;9,72319E-09;2,14675E-06;8,58362E-07;2,5067E-06;7,38889E-09
-0,407806656;2,75601E-06;1,09951E-06;3,37939E-06;3,49482E-06;3,48559E-06;6,1025E-07;2,5032E-06;9,97194E-09;1,87823E-06;1,94139E-06;9,4365E-07;1,4585E-06;1,45022E-06;1,55322E-06;7,79878E-09;9,75113E-09;2,14012E-06;8,55816E-07;2,50025E-06;7,48521E-09
-0,40580273;2,74857E-06;1,09617E-06;3,37124E-06;3,48632E-06;3,4776E-06;6,08966E-07;2,49681E-06;9,96089E-09;1,87406E-06;1,93611E-06;9,40777E-07;1,4536E-06;1,44624E-06;1,5481E-06;7,83937E-09;9,78273E-09;2,13344E-06;8,53267E-07;2,49374E-06;7,59162E-09
