Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000741406000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,299973399248000  To 0,699985426288000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE


2025-04-14_14h42m22s,86m
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,29997339924799959500;0,00000333604231944367;0,00000128147560460159;0,00000338250214725625;0,00000340144863777249;0,00000340486549079802;0,00000079664258387233;0,00000326401138167351;0,00000000895151745111;0,00000236456415085168;0,00000246500022151153;0,00000131573456579274;0,00000207545406519302;0,00000201776785981827;0,00000234599236365415;0,00000000518243959996;0,00000000931294661550;0,00000313239477480833;0,00000127189974168681;0,00000351071546781451;-0,00000000229778437113
-0,29796947374592341900;0,00000333281704219674;0,00000128036344273072;0,00000338338053509081;0,00000340387140507499;0,00000340551648114996;0,00000079632187697508;0,00000326143878653718;0,00000000902717566025;0,00000236568787374022;0,00000246209671008435;0,00000131600086715786;0,00000207229730733965;0,00000201596916371510;0,00000234294303538347;0,00000000527949172435;0,00000000928124116470;0,00000312919960862451;0,00000127026303405025;0,00000350930111725950;-0,00000000221808304774
-0,29596554824384729800;0,00000332953035179482;0,00000127921748319850;0,00000338405174114259;0,00000340603423227460;0,00000340598896693018;0,00000079596752525729;0,00000325875735333476;0,00000000909931467772;0,00000236665449898434;0,00000245914512923478;0,00000131619462744096;0,00000206912538942664;0,00000201412533254624;0,00000233986732811494;0,00000000537173022774;0,00000000925117322989;0,00000312595270907186;0,00000126860489647931;0,00000350778732997106;-0,00000000214029323816
-0,29396162274177112200;0,00000332618224823793;0,00000127803772600492;0,00000338451576541161;0,00000340793711937133;0,00000340628294813867;0,00000079557952871896;0,00000325596708206627;0,00000000916793450350;0,00000236746402658406;0,00000245614547896282;0,00000131631584664206;0,00000206593831145397;0,00000201223636631168;0,00000233676524184855;0,00000000545915511013;0,00000000922274281106;0,00000312265407615038;0,00000126692532897400;0,00000350617410594918;-0,00000000206441494239
-0,29195769723969500200;0,00000332277273152606;0,00000127682417114998;0,00000338477260789785;0,00000340958006636518;0,00000340639842477544;0,00000079515788736009;0,00000325306797273170;0,00000000923303513760;0,00000236811645653936;0,00000245309775926848;0,00000131636452476115;0,00000206273607342166;0,00000201030226501142;0,00000233363677658432;0,00000000554176637152;0,00000000919594990822;0,00000311930370986007;0,00000126522433153432;0,00000350446144519386;-0,00000000199044816043
-0,28995377173761882600;0,00000331930180165921;0,00000127557681863369;0,00000338482226860132;0,00000341096307325613;0,00000340633539684048;0,00000079470260118068;0,00000325006002533105;0,00000000929461658002;0,00000236861178885026;0,00000245000197015174;0,00000131634066179823;0,00000205951867532969;0,00000200832302864546;0,00000233048193232223;0,00000000561956401192;0,00000000917079452138;0,00000311590161020094;0,00000126350190416027;0,00000350264934770511;-0,00000000191839289227
-0,28794984623554270600;0,00000331576945863737;0,00000127429566845604;0,00000338466474752202;0,00000341208614004420;0,00000340609386433379;0,00000079421367018073;0,00000324694323986432;0,00000000935267883076;0,00000236895002351674;0,00000244685811161261;0,00000131624425775331;0,00000205628611717808;0,00000200629865721380;0,00000232730070906229;0,00000000569254803131;0,00000000914727665052;0,00000311244777717297;0,00000126175804685184;0,00000350073781348292;-0,00000000184824913793
-0,28594592073346653000;0,00000331217570246056;0,00000127298072061704;0,00000338430004465994;0,00000341294926672938;0,00000340567382725538;0,00000079369109436025;0,00000324371761633152;0,00000000940722188982;0,00000236913116053881;0,00000244366618365110;0,00000131607531262637;0,00000205303839896682;0,00000200422915071645;0,00000232409310680450;0,00000000576071842971;0,00000000912539629564;0,00000310894221077618;0,00000125999275960904;0,00000349872684252730;-0,00000000178001689739
-0,28394199523139035400;0,00000330852053312877;0,00000127163197511668;0,00000338372816001510;0,00000341355245331168;0,00000340507528560524;0,00000079313487371923;0,00000324038315473264;0,00000000945824575719;0,00000236915519991648;0,00000244042618626719;0,00000131583382641743;0,00000204977552069591;0,00000200211450915340;0,00000232085912554886;0,00000000582407520711;0,00000000910515345676;0,00000310538491101057;0,00000125820604243187;0,00000349661643483824;-0,00000000171369617066
-0,28193806972931423300;0,00000330480395064200;0,00000127024943195496;0,00000338294909358748;0,00000341389569979109;0,00000340429823938338;0,00000079254500825766;0,00000323693985506768;0,00000000950575043288;0,00000236902214164973;0,00000243713811946089;0,00000131551979912648;0,00000204649748236535;0,00000199995473252465;0,00000231759876529536;0,00000000588261836351;0,00000000908654813386;0,00000310177587787612;0,00000125639789532033;0,00000349440659041574;-0,00000000164928695775
