Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000741406000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499987228760000  To 0,499971596776001 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-04-20_15h36m12s,18m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
15h36m18s,04m;0,000000232808;0,000000081990;-0,499987228760;0,131249304394;0,000000000893;-0,000000000633;0,000001587640;0,000000372510;-0,499987228760;0,109206123871;0,000000006493;-0,000000004946;0,000001233944;0,000000260890;-0,499987228760;0,125237527888;0,000000005043;-0,000000003945;0,000001224498;0,000000247899;-0,499987228760;0,149284633913;0,000000005035;-0,000000003520;0,000000011698;0,000000009111;0,173331739938;0,499971596776;0,000000000147;-0,000000000263;0,000000584689;0,000000142859;-0,499987228760;0,117221825879;0,000000002361;-0,000000001757;0,000000378263;0,000000086571;-0,499987228760;0,159304261423;0,000000001571;-0,000000001052;0,000001737986;0,000000409693;-0,499987228760;0,119225751382;0,000000006789;-0,000000005437;0,000002940956;0,000000715833;-0,499987228760;0,167319963431;0,000000011585;-0,000000008785;0,000000180131;0,000000041869;-0,499987228760;0,169323888933;0,000000001092;-0,000000000854;0,000000012968;0,000000009459;0,499971596776;-0,499987228760;0,000000000226;-0,000000000023;0,000002869366;0,000000766109;-0,499987228760;0,105198272867;0,000000011686;-0,000000008571;0,000002505032;0,000000563418;-0,499987228760;0,115217900377;0,000000010114;-0,000000007794;0,000000013025;0,000000010050;-0,499987228760;-0,465920495225;0,000000000067;-0,000000000411;0,000001476154;0,000000446422;-0,499987228760;0,119225751382;0,000000005224;-0,000000004397;0,000001178897;0,000000994829;-0,261520094013;0,475924490751;0,000000003250;-0,000000000878;0,000001149894;0,000000260714;-0,499987228760;0,099186496361;0,000000005262;-0,000000003566;0,000000370399;0,000000077398;-0,499987228760;0,141268931904;0,000000001382;-0,000000001166;0,000002607850;0,000000731950;-0,499987228760;0,105198272867;0,000000011028;-0,000000007730;0,000001256308;0,000000412836;-0,499987228760;0,089166868850;0,000000005172;-0,000000003500
15h36m25s,31m;0,000000228042;0,000000082226;-0,499987228760;0,131249304394;0,000000000874;-0,000000000652;0,000001584842;0,000000373386;-0,499987228760;0,111210049373;0,000000006444;-0,000000004865;0,000001234580;0,000000258074;-0,499987228760;0,129245378892;0,000000005068;-0,000000003838;0,000001226221;0,000000248516;-0,499987228760;0,153292484917;0,000000005008;-0,000000003509;0,000000012119;0,000000010245;0,499971596776;0,463900937739;0,000000000251;-0,000000000041;0,000000583037;0,000000143059;-0,499987228760;0,119225751382;0,000000002394;-0,000000001746;0,000000378086;0,000000085532;-0,499987228760;0,163312112427;0,000000001604;-0,000000001083;0,000001744257;0,000000410660;-0,499987228760;0,121229676884;0,000000006794;-0,000000005374;0,000002951135;0,000000714519;-0,499987228760;0,169323888933;0,000000011630;-0,000000008753;0,000000178934;0,000000042535;-0,499987228760;0,175335665440;0,000000000928;-0,000000000716;0,000000011949;0,000000009897;0,223429877489;-0,481951899241;0,000000000276;-0,000000000113;0,000002864247;0,000000764159;-0,499987228760;0,107202198369;0,000000011532;-0,000000008375;0,000002489361;0,000000565464;-0,499987228760;0,115217900377;0,000000009851;-0,000000007876;0,000000011970;0,000000010019;0,465904863241;-0,499987228760;0,000000000179;-0,000000000231;0,000001464975;0,000000436345;-0,499987228760;0,119225751382;0,000000005286;-0,000000004396;0,000001161712;0,000000978945;-0,281559349034;0,461897012237;0,000000003914;-0,000000000750;0,000001145437;0,000000259500;-0,499987228760;0,101190421863;0,000000005254;-0,000000003542;0,000000371258;0,000000076578;-0,499987228760;0,145276782909;0,000000001355;-0,000000001130;0,000002600497;0,000000731438;-0,499987228760;0,105198272867;0,000000010984;-0,000000007667;0,000001248180;0,000000412690;-0,499987228760;0,087162943348;0,000000005163;-0,000000003432
15h36m32s,57m;0,000000232032;0,000000082562;-0,499987228760;0,133253229896;0,000000000914;-0,000000000642;0,000001590280;0,000000373176;-0,499987228760;0,113213974875;0,000000006460;-0,000000004903;0,000001237497;0,000000257518;-0,499987228760;0,129245378892;0,000000005032;-0,000000003941;0,000001223771;0,000000249258;-0,499987228760;0,153292484917;0,000000005005;-0,000000003446;0,000000011925;0,000000010026;-0,499987228760;-0,461912644221;0,000000000056;-0,000000000228;0,000000584551;0,000000142747;-0,499987228760;0,119225751382;0,000000002473;-0,000000001786;0,000000379122;0,000000084966;-0,499987228760;0,161308186925;0,000000001570;-0,000000001046;0,000001740990;0,000000410113;-0,499987228760;0,123233602386;0,000000006830;-0,000000005369;0,000002955352;0,000000715196;-0,499987228760;0,169323888933;0,000000011637;-0,000000008738;0,000000180740;0,000000045936;-0,499987228760;0,143272857406;0,000000000761;-0,000000000627;0,000000011813;0,000000007959;0,459893086734;0,499971596776;0,000000000074;-0,000000000439;0,000002859578;0,000000766530;-0,499987228760;0,109206123871;0,000000011469;-0,000000008509;0,000002494230;0,000000565743;-0,499987228760;0,117221825879;0,000000009868;-0,000000007798;0,000000011900;0,000000010042;0,421818502195;-0,477944048237;0,000000000266;-0,000000000114;0,000001472599;0,000000439839;-0,499987228760;0,121229676884;0,000000005275;-0,000000004450;0,000001155241;0,000000978189;-0,267531870519;0,467908788743;0,000000002779;-0,000000000952;0,000001143970;0,000000260065;-0,499987228760;0,101190421863;0,000000005234;-0,000000003534;0,000000372085;0,000000077510;-0,499987228760;0,147280708411;0,000000001356;-0,000000001130;0,000002591815;0,000000731892;-0,499987228760;0,107202198369;0,000000010991;-0,000000007671;0,000001250235;0,000000412723;-0,499987228760;0,091170794352;0,000000005107;-0,000000003447
15h36m39s,82m;0,000000229945;0,000000082618;-0,499987228760;0,135257155398;0,000000000952;-0,000000000578;0,000001590743;0,000000373152;-0,499987228760;0,115217900377;0,000000006392;-0,000000004851;0,000001237661;0,000000258188;-0,499987228760;0,133253229896;0,000000005016;-0,000000003936;0,000001226041;0,000000248080;-0,499987228760;0,155296410419;0,000000004981;-0,000000003426;0,000000012095;0,000000009232;0,463900937739;0,499971596776;0,000000000108;-0,000000000368;0,000000585414;0,000000141807;-0,499987228760;0,123233602386;0,000000002325;-0,000000001776;0,000000382609;0,000000085673;-0,499987228760;0,163312112427;0,000000001608;-0,000000001062;0,000001740823;0,000000410143;-0,499987228760;0,125237527888;0,000000006715;-0,000000005391;0,000002954269;0,000000715779;-0,499987228760;0,171327814436;0,000000011591;-0,000000008652;0,000000181301;0,000000042988;-0,499987228760;0,153292484917;0,000000000669;-0,000000000716;0,000000012376;0,000000010280;0,499971596776;-0,487963675748;0,000000000270;-0,000000000060;0,000002861040;0,000000766849;-0,499987228760;0,109206123871;0,000000011490;-0,000000008324;0,000002501237;0,000000563771;-0,499987228760;0,119225751382;0,000000009860;-0,000000007715;0,000000011752;0,000000010568;-0,125253159872;0,499971596776;0,000000000033;-0,000000000042;0,000001475323;0,000000435218;-0,499987228760;0,123233602386;0,000000005211;-0,000000004335;0,000001152024;0,000000973432;-0,257512243009;0,493959820270;0,000000002453;-0,000000000790;0,000001147182;0,000000260357;-0,499987228760;0,105198272867;0,000000005240;-0,000000003536;0,000000370555;0,000000078374;-0,499987228760;0,149284633913;0,000000001441;-0,000000001126;0,000002600747;0,000000732578;-0,499987228760;0,107202198369;0,000000011032;-0,000000007613;0,000001251317;0,000000412332;-0,499987228760;0,089166868850;0,000000005204;-0,000000003476
15h36m47s,13m;0,000000231696;0,000000082277;-0,499987228760;0,145276782909;0,000000000893;-0,000000000879;0,000001593044;0,000000374373;-0,499987228760;0,115217900377;0,000000006387;-0,000000004890;0,000001239926;0,000000258459;-0,499987228760;0,135257155398;0,000000004957;-0,000000003936;0,000001227959;0,000000248908;-0,499987228760;0,155296410419;0,000000005007;-0,000000003397;0,000000011751;0,000000009681;0,467908788743;-0,499987228760;0,000000000253;-0,000000000201;0,000000587289;0,000000141548;-0,499987228760;0,121229676884;0,000000002313;-0,000000001772;0,000000380573;0,000000086499;-0,499987228760;0,161308186925;0,000000001541;-0,000000001040;0,000001743791;0,000000411979;-0,499987228760;0,127241453390;0,000000006791;-0,000000005344;0,000002969716;0,000000713866;-0,499987228760;0,173331739938;0,000000011604;-0,000000008695;0,000000176683;0,000000043255;-0,499987228760;0,175335665440;0,000000000854;-0,000000001108;0,000000012161;0,000000009211;0,499971596776;-0,499987228760;0,000000000181;-0,000000000021;0,000002863244;0,000000767962;-0,499987228760;0,111210049373;0,000000011386;-0,000000008239;0,000002511471;0,000000564885;-0,499987228760;0,121229676884;0,000000009929;-0,000000007768;0,000000011906;0,000000009187;0,463900937739;0,499971596776;0,000000000155;-0,000000000349;0,000001475501;0,000000438701;-0,499987228760;0,123233602386;0,000000005121;-0,000000004361;0,000001164464;0,000000981376;-0,249496541000;0,499971596776;0,000000003211;-0,000000000737;0,000001143718;0,000000259494;-0,499987228760;0,105198272867;0,000000005224;-0,000000003552;0,000000372248;0,000000077893;-0,499987228760;0,147280708411;0,000000001314;-0,000000001112;0,000002617628;0,000000730541;-0,499987228760;0,109206123871;0,000000010982;-0,000000007669;0,000001261780;0,000000414219;-0,499987228760;0,089166868850;0,000000005167;-0,000000003481
15h36m54s,40m;0,000000231491;0,000000082603;-0,499987228760;0,141268931904;0,000000000890;-0,000000000757;0,000001594540;0,000000373482;-0,499987228760;0,117221825879;0,000000006450;-0,000000004853;0,000001245407;0,000000258493;-0,499987228760;0,135257155398;0,000000005005;-0,000000003897;0,000001225471;0,000000247278;-0,499987228760;0,159304261423;0,000000004995;-0,000000003427;0,000000012570;0,000000010265;0,499971596776;-0,499987228760;0,000000000144;-0,000000000030;0,000000588430;0,000000141621;-0,499987228760;0,123233602386;0,000000002301;-0,000000001715;0,000000382831;0,000000085869;-0,499987228760;0,163312112427;0,000000001577;-0,000000001081;0,000001743182;0,000000409730;-0,499987228760;0,127241453390;0,000000006824;-0,000000005310;0,000002964728;0,000000717526;-0,499987228760;0,173331739938;0,000000011493;-0,000000008658;0,000000169741;0,000000043882;-0,499987228760;0,167319963431;0,000000000702;-0,000000000642;0,000000012755;0,000000009785;-0,499987228760;-0,467924420727;0,000000000231;-0,000000000443;0,000002864876;0,000000767879;-0,499987228760;0,111210049373;0,000000011574;-0,000000008441;0,000002513755;0,000000567871;-0,499987228760;0,121229676884;0,000000009933;-0,000000007838;0,000000012145;0,000000009764;0,465904863241;-0,499987228760;0,000000000225;-0,000000000251;0,000001490935;0,000000441479;-0,499987228760;0,125237527888;0,000000005154;-0,000000004369;0,000001155983;0,000000976148;-0,303602529557;0,469912714245;0,000000002808;-0,000000000750;0,000001149343;0,000000259976;-0,499987228760;0,105198272867;0,000000005201;-0,000000003530;0,000000370630;0,000000077651;-0,499987228760;0,153292484917;0,000000001328;-0,000000001123;0,000002609179;0,000000733401;-0,499987228760;0,109206123871;0,000000010999;-0,000000007661;0,000001263027;0,000000414769;-0,499987228760;0,095178645357;0,000000005212;-0,000000003535
15h37m01s,69m;0,000000226577;0,000000082549;-0,499987228760;0,151288559415;0,000000000956;-0,000000000574;0,000001594573;0,000000373699;-0,499987228760;0,117221825879;0,000000006415;-0,000000004845;0,000001243070;0,000000256938;-0,499987228760;0,135257155398;0,000000005011;-0,000000003968;0,000001237950;0,000000248609;-0,499987228760;0,157300335921;0,000000005019;-0,000000003458;0,000000012430;0,000000009939;-0,499987228760;0,475924490751;0,000000000110;-0,000000000298;0,000000588334;0,000000141793;-0,499987228760;0,125237527888;0,000000002334;-0,000000001741;0,000000382503;0,000000084567;-0,499987228760;0,167319963431;0,000000001580;-0,000000001074;0,000001745828;0,000000412230;-0,499987228760;0,129245378892;0,000000006793;-0,000000005399;0,000002969970;0,000000718334;-0,499987228760;0,175335665440;0,000000011573;-0,000000008763;0,000000170928;0,000000044526;-0,499987228760;0,137261080900;0,000000000727;-0,000000000632;0,000000011815;0,000000009533;0,175335665440;0,499971596776;0,000000000112;-0,000000000236;0,000002885708;0,000000768203;-0,499987228760;0,113213974875;0,000000011385;-0,000000008402;0,000002507154;0,000000566628;-0,499987228760;0,123233602386;0,000000009904;-0,000000007905;0,000000011867;0,000000010100;0,429834204203;-0,467924420727;0,000000000053;-0,000000000239;0,000001501565;0,000000441789;-0,499987228760;0,127241453390;0,000000005238;-0,000000004383;0,000001164821;0,000000968798;-0,233465136984;0,499971596776;0,000000003065;-0,000000000864;0,000001150034;0,000000259976;-0,499987228760;0,107202198369;0,000000005201;-0,000000003530;0,000000370750;0,000000076592;-0,499987228760;0,151288559415;0,000000001394;-0,000000001116;0,000002619159;0,000000731120;-0,499987228760;0,111210049373;0,000000010985;-0,000000007642;0,000001271178;0,000000415106;-0,499987228760;0,099186496361;0,000000005114;-0,000000003613
15h37m09s,03m;0,000000230328;0,000000081962;-0,499987228760;0,149284633913;0,000000000854;-0,000000000710;0,000001598435;0,000000373925;-0,499987228760;0,119225751382;0,000000006450;-0,000000004858;0,000001252509;0,000000258709;-0,499987228760;0,139265006402;0,000000005061;-0,000000003897;0,000001233834;0,000000248267;-0,499987228760;0,161308186925;0,000000005012;-0,000000003446;0,000000012034;0,000000009869;-0,469928346229;0,499971596776;0,000000000288;-0,000000000262;0,000000587556;0,000000140913;-0,499987228760;0,127241453390;0,000000002333;-0,000000001721;0,000000382903;0,000000086917;-0,499987228760;0,165316037929;0,000000001554;-0,000000001037;0,000001754954;0,000000409765;-0,499987228760;0,129245378892;0,000000006736;-0,000000005403;0,000002971186;0,000000716043;-0,499987228760;0,175335665440;0,000000011833;-0,000000008731;0,000000177272;0,000000042838;-0,499987228760;0,177339590942;0,000000000853;-0,000000000596;0,000000012731;0,000000008517;0,499971596776;-0,499987228760;0,000000000435;-0,000000000047;0,000002886301;0,000000765766;-0,499987228760;0,115217900377;0,000000011409;-0,000000008262;0,000002513647;0,000000566594;-0,499987228760;0,125237527888;0,000000009900;-0,000000007857;0,000000011615;0,000000009858;0,273528015041;0,499971596776;0,000000000115;-0,000000000203;0,000001492905;0,000000443681;-0,499987228760;0,125237527888;0,000000005138;-0,000000004421;0,000001164490;0,000000974465;-0,233465136984;0,477928416253;0,000000001624;-0,000000000874;0,000001151083;0,000000260957;-0,499987228760;0,105198272867;0,000000005219;-0,000000003560;0,000000374011;0,000000077894;-0,499987228760;0,155296410419;0,000000001391;-0,000000001131;0,000002608742;0,000000731128;-0,499987228760;0,113213974875;0,000000010964;-0,000000007604;0,000001272229;0,000000415009;-0,499987228760;0,101190421863;0,000000005105;-0,000000003568
15h37m16s,35m;0,000000228040;0,000000082564;-0,499987228760;0,155296410419;0,000000001284;-0,000000000583;0,000001598809;0,000000373851;-0,499987228760;0,121229676884;0,000000006413;-0,000000004817;0,000001251841;0,000000259488;-0,499987228760;0,139265006402;0,000000004986;-0,000000003960;0,000001235806;0,000000247811;-0,499987228760;0,161308186925;0,000000005017;-0,000000003431;0,000000011709;0,000000009736;-0,467924420727;0,499971596776;0,000000000267;-0,000000000259;0,000000591651;0,000000140918;-0,499987228760;0,129245378892;0,000000002291;-0,000000001756;0,000000384045;0,000000085133;-0,499987228760;0,169323888933;0,000000001595;-0,000000001206;0,000001755615;0,000000411126;-0,499987228760;0,131249304394;0,000000006853;-0,000000005345;0,000002980455;0,000000717187;-0,499987228760;0,179343516444;0,000000011647;-0,000000008658;0,000000175103;0,000000043762;-0,499987228760;0,201386696967;0,000000000675;-0,000000000569;0,000000012572;0,000000010149;-0,499987228760;0,499971596776;0,000000000029;-0,000000000276;0,000002873360;0,000000764017;-0,499987228760;0,115217900377;0,000000011402;-0,000000008251;0,000002521110;0,000000567667;-0,499987228760;0,125237527888;0,000000010015;-0,000000007804;0,000000012209;0,000000009808;0,499971596776;-0,499987228760;0,000000000196;-0,000000000033;0,000001488530;0,000000444181;-0,499987228760;0,125237527888;0,000000005246;-0,000000004418;0,000001166356;0,000000984896;-0,195390552444;0,499971596776;0,000000002156;-0,000000000807;0,000001156887;0,000000259760;-0,499987228760;0,109206123871;0,000000005204;-0,000000003553;0,000000376310;0,000000076377;-0,499987228760;0,155296410419;0,000000001512;-0,000000001151;0,000002629364;0,000000731907;-0,499987228760;0,113213974875;0,000000010960;-0,000000007600;0,000001270922;0,000000414777;-0,499987228760;0,097182570859;0,000000005161;-0,000000003546
15h37m23s,61m;0,000000230937;0,000000081374;-0,499987228760;0,151288559415;0,000000001003;-0,000000000667;0,000001601346;0,000000374715;-0,499987228760;0,121229676884;0,000000006482;-0,000000004861;0,000001252320;0,000000259417;-0,499987228760;0,143272857406;0,000000005054;-0,000000003938;0,000001242707;0,000000248417;-0,499987228760;0,163312112427;0,000000004978;-0,000000003504;0,000000011776;0,000000009519;0,467908788743;-0,499987228760;0,000000000284;-0,000000000272;0,000000592171;0,000000140779;-0,499987228760;0,129245378892;0,000000002332;-0,000000001759;0,000000385317;0,000000086232;-0,499987228760;0,167319963431;0,000000001597;-0,000000001045;0,000001759742;0,000000411224;-0,499987228760;0,131249304394;0,000000006861;-0,000000005350;0,000002967092;0,000000715071;-0,499987228760;0,179343516444;0,000000011630;-0,000000008605;0,000000177331;0,000000042755;-0,499987228760;0,175335665440;0,000000000871;-0,000000000670;0,000000013173;0,000000008916;0,499971596776;-0,499987228760;0,000000000288;-0,000000000039;0,000002889052;0,000000764784;-0,499987228760;0,117221825879;0,000000011446;-0,000000008396;0,000002525839;0,000000567795;-0,499987228760;0,127241453390;0,000000009918;-0,000000007921;0,000000011711;0,000000009981;-0,127257085374;0,499971596776;0,000000000029;-0,000000000125;0,000001500202;0,000000450102;-0,499987228760;0,127241453390;0,000000005250;-0,000000004449;0,000001166448;0,000000979802;-0,277551498030;0,499971596776;0,000000002209;-0,000000000947;0,000001153616;0,000000260564;-0,499987228760;0,107202198369;0,000000005219;-0,000000003557;0,000000373712;0,000000077726;-0,499987228760;0,159304261423;0,000000001389;-0,000000001147;0,000002628635;0,000000732992;-0,499987228760;0,113213974875;0,000000010933;-0,000000007646;0,000001269358;0,000000415640;-0,499987228760;0,093174719855;0,000000005206;-0,000000003587
