Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000741406000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499987228760000  To 0,499971596776001 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-04-20_20h07m36s,91m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
20h07m42s,72m;0,000000242891;0,000000078504;-0,499987228760;0,155296410419;0,000000000823;-0,000000000698;0,000001620709;0,000000368156;-0,499987228760;0,123233602386;0,000000006410;-0,000000004928;0,000001254424;0,000000257680;-0,499987228760;0,135257155398;0,000000005005;-0,000000003973;0,000001259326;0,000000256270;-0,499987228760;0,159304261423;0,000000005052;-0,000000003513;0,000000012987;0,000000010910;-0,499987228760;0,123233602386;0,000000000021;-0,000000000218;0,000000592818;0,000000142417;-0,499987228760;0,123233602386;0,000000002382;-0,000000001741;0,000000390112;0,000000084657;-0,499987228760;0,163312112427;0,000000001475;-0,000000001107;0,000001775842;0,000000405358;-0,499987228760;0,133253229896;0,000000006897;-0,000000005463;0,000002973681;0,000000710855;-0,499987228760;0,169323888933;0,000000011511;-0,000000008879;0,000000183790;0,000000044893;-0,499987228760;0,163312112427;0,000000000685;-0,000000001089;0,000000012341;0,000000009932;-0,499987228760;-0,469928346229;0,000000000225;-0,000000000383;0,000002965281;0,000000755596;-0,499987228760;0,117221825879;0,000000011536;-0,000000008696;0,000002539641;0,000000562333;-0,499987228760;0,131249304394;0,000000010026;-0,000000007940;0,000000012115;0,000000009369;0,375728215647;-0,499987228760;0,000000000212;-0,000000000138;0,000001446859;0,000000426579;-0,499987228760;0,131249304394;0,000000004704;-0,000000004308;0,000001229287;0,000001017133;-0,293582902046;0,499971596776;0,000000003718;-0,000000001039;0,000001173061;0,000000257480;-0,499987228760;0,101190421863;0,000000005207;-0,000000003651;0,000000376383;0,000000076072;-0,499987228760;0,157300335921;0,000000001415;-0,000000001192;0,000002695310;0,000000731225;-0,499987228760;0,111210049373;0,000000010974;-0,000000007878;0,000001291406;0,000000399530;-0,499987228760;0,097182570859;0,000000005185;-0,000000003830
20h07m49s,88m;0,000000241414;0,000000079818;-0,491971526752;0,153292484917;0,000000001141;-0,000000000609;0,000001608483;0,000000367599;-0,499987228760;0,123233602386;0,000000006385;-0,000000004874;0,000001249709;0,000000258680;-0,499987228760;0,135257155398;0,000000005070;-0,000000003966;0,000001257500;0,000000254799;-0,499987228760;0,161308186925;0,000000004994;-0,000000003511;0,000000012168;0,000000009907;0,469912714245;-0,499987228760;0,000000000305;-0,000000000195;0,000000594032;0,000000141812;-0,499987228760;0,123233602386;0,000000002354;-0,000000001746;0,000000390349;0,000000085489;-0,499987228760;0,163312112427;0,000000001674;-0,000000001158;0,000001762352;0,000000405685;-0,499987228760;0,133253229896;0,000000006980;-0,000000005486;0,000002959991;0,000000710330;-0,499987228760;0,167319963431;0,000000011510;-0,000000008816;0,000000184594;0,000000044561;-0,499987228760;0,143272857406;0,000000000560;-0,000000000861;0,000000011948;0,000000010081;0,073135464834;0,499971596776;0,000000000027;-0,000000000136;0,000002946932;0,000000754974;-0,499987228760;0,117221825879;0,000000011526;-0,000000008558;0,000002530598;0,000000562241;-0,499987228760;0,129245378892;0,000000009958;-0,000000007884;0,000000012500;0,000000009829;0,499971596776;-0,499987228760;0,000000000100;-0,000000000026;0,000001439443;0,000000424930;-0,499987228760;0,131249304394;0,000000004626;-0,000000004222;0,000001234671;0,000001006681;-0,307610380561;0,499971596776;0,000000003967;-0,000000001189;0,000001169471;0,000000257089;-0,499987228760;0,103194347365;0,000000005261;-0,000000003670;0,000000379183;0,000000076530;-0,499987228760;0,153292484917;0,000000001354;-0,000000001140;0,000002683751;0,000000729762;-0,499987228760;0,111210049373;0,000000010958;-0,000000007809;0,000001292221;0,000000400839;-0,499987228760;0,093174719855;0,000000005251;-0,000000003891
20h07m57s,06m;0,000000244917;0,000000079529;-0,499987228760;0,141268931904;0,000000000954;-0,000000000629;0,000001605839;0,000000368087;-0,499987228760;0,121229676884;0,000000006391;-0,000000004885;0,000001248559;0,000000257655;-0,499987228760;0,137261080900;0,000000005011;-0,000000003882;0,000001259881;0,000000254126;-0,499987228760;0,161308186925;0,000000005047;-0,000000003651;0,000000012251;0,000000010079;0,499971596776;-0,499987228760;0,000000000197;-0,000000000034;0,000000590448;0,000000142541;-0,499987228760;0,121229676884;0,000000002538;-0,000000001719;0,000000388382;0,000000085572;-0,499987228760;0,161308186925;0,000000001519;-0,000000001078;0,000001756773;0,000000404484;-0,499987228760;0,131249304394;0,000000006945;-0,000000005318;0,000002965710;0,000000713039;-0,499987228760;0,169323888933;0,000000011430;-0,000000008779;0,000000179036;0,000000045954;-0,499987228760;0,167319963431;0,000000000782;-0,000000000724;0,000000013201;0,000000010526;0,499971596776;0,463900937739;0,000000000352;-0,000000000081;0,000002929823;0,000000759387;-0,499987228760;0,115217900377;0,000000011477;-0,000000008457;0,000002534576;0,000000562225;-0,499987228760;0,127241453390;0,000000009988;-0,000000007853;0,000000012260;0,000000010727;0,465904863241;-0,499987228760;0,000000000113;-0,000000000212;0,000001438744;0,000000423785;-0,499987228760;0,131249304394;0,000000004672;-0,000000004187;0,000001230315;0,000001021649;-0,237472987988;0,499971596776;0,000000003968;-0,000000001193;0,000001164494;0,000000257224;-0,499987228760;0,101190421863;0,000000005182;-0,000000003681;0,000000375930;0,000000076909;-0,499987228760;0,157300335921;0,000000001386;-0,000000001174;0,000002677937;0,000000729452;-0,499987228760;0,111210049373;0,000000010994;-0,000000007812;0,000001295356;0,000000401513;-0,499987228760;0,093174719855;0,000000005125;-0,000000003751
20h08m04s,29m;0,000000241307;0,000000079757;-0,499987228760;0,141268931904;0,000000000899;-0,000000000627;0,000001604612;0,000000369209;-0,499987228760;0,121229676884;0,000000006411;-0,000000004858;0,000001250485;0,000000259255;-0,499987228760;0,137261080900;0,000000005070;-0,000000003883;0,000001265163;0,000000253571;-0,499987228760;0,161308186925;0,000000004907;-0,000000003580;0,000000012850;0,000000010885;0,499971596776;-0,133268861880;0,000000000201;-0,000000000020;0,000000589515;0,000000141882;-0,499987228760;0,121229676884;0,000000002342;-0,000000001725;0,000000385247;0,000000085675;-0,499987228760;0,159304261423;0,000000001486;-0,000000001088;0,000001766501;0,000000404584;-0,499987228760;0,131249304394;0,000000006969;-0,000000005384;0,000002966464;0,000000711593;-0,499987228760;0,169323888933;0,000000011427;-0,000000008815;0,000000183503;0,000000044286;-0,499987228760;0,159304261423;0,000000000994;-0,000000000795;0,000000012435;0,000000009976;0,499971596776;-0,499987228760;0,000000000235;-0,000000000043;0,000002937067;0,000000757214;-0,499987228760;0,115217900377;0,000000011482;-0,000000008552;0,000002528893;0,000000561743;-0,499987228760;0,127241453390;0,000000009839;-0,000000007834;0,000000012417;0,000000010449;0,465904863241;0,499971596776;0,000000000140;-0,000000000272;0,000001432248;0,000000424336;-0,499987228760;0,133253229896;0,000000004623;-0,000000004209;0,000001232280;0,000001016705;-0,283563274536;0,499971596776;0,000000002792;-0,000000001031;0,000001166051;0,000000257159;-0,499987228760;0,101190421863;0,000000005244;-0,000000003712;0,000000376510;0,000000075610;-0,499987228760;0,159304261423;0,000000001441;-0,000000001162;0,000002684489;0,000000729358;-0,499987228760;0,111210049373;0,000000010950;-0,000000007834;0,000001296072;0,000000400969;-0,499987228760;0,097182570859;0,000000005220;-0,000000003727
20h08m11s,54m;0,000000238803;0,000000079371;-0,491971526752;0,139265006402;0,000000000835;-0,000000000677;0,000001606739;0,000000369636;-0,499987228760;0,121229676884;0,000000006375;-0,000000004892;0,000001248403;0,000000259986;-0,499987228760;0,137261080900;0,000000005069;-0,000000003895;0,000001261641;0,000000253745;-0,499987228760;0,163312112427;0,000000005029;-0,000000003542;0,000000012089;0,000000010640;0,373724290145;0,499971596776;0,000000000139;-0,000000000214;0,000000593204;0,000000142049;-0,499987228760;0,121229676884;0,000000002311;-0,000000001742;0,000000388381;0,000000086334;-0,499987228760;0,161308186925;0,000000001470;-0,000000001093;0,000001759320;0,000000404920;-0,499987228760;0,131249304394;0,000000006851;-0,000000005391;0,000002970142;0,000000711209;-0,499987228760;0,169323888933;0,000000011413;-0,000000008795;0,000000180842;0,000000046323;-0,499987228760;0,159304261423;0,000000000812;-0,000000000760;0,000000012432;0,000000009656;0,499971596776;-0,499987228760;0,000000000224;-0,000000000032;0,000002950201;0,000000755745;-0,499987228760;0,117221825879;0,000000011309;-0,000000008628;0,000002529365;0,000000560826;-0,499987228760;0,129245378892;0,000000009892;-0,000000007824;0,000000011865;0,000000010371;0,421818502195;-0,465920495225;0,000000000060;-0,000000000183;0,000001424906;0,000000425475;-0,499987228760;0,133253229896;0,000000004786;-0,000000004294;0,000001230570;0,000001023025;-0,269535796021;0,485944118261;0,000000004440;-0,000000000907;0,000001165181;0,000000257689;-0,499987228760;0,099186496361;0,000000005209;-0,000000003663;0,000000376173;0,000000076936;-0,499987228760;0,161308186925;0,000000001431;-0,000000001192;0,000002674574;0,000000729380;-0,499987228760;0,111210049373;0,000000010959;-0,000000007793;0,000001296722;0,000000401423;-0,499987228760;0,093174719855;0,000000005179;-0,000000003741
20h08m18s,83m;0,000000240828;0,000000081252;-0,499987228760;0,141268931904;0,000000000832;-0,000000000602;0,000001607776;0,000000370332;-0,499987228760;0,121229676884;0,000000006384;-0,000000004864;0,000001250933;0,000000260137;-0,499987228760;0,137261080900;0,000000005024;-0,000000003999;0,000001262813;0,000000254241;-0,499987228760;0,163312112427;0,000000004849;-0,000000003523;0,000000012452;0,000000010638;0,499971596776;-0,375743847631;0,000000000212;-0,000000000090;0,000000591026;0,000000141705;-0,499987228760;0,121229676884;0,000000002355;-0,000000001733;0,000000388220;0,000000086475;-0,499987228760;0,163312112427;0,000000001495;-0,000000001115;0,000001758732;0,000000405232;-0,499987228760;0,131249304394;0,000000006862;-0,000000005380;0,000002966876;0,000000713155;-0,499987228760;0,169323888933;0,000000011451;-0,000000008803;0,000000182384;0,000000045377;-0,499987228760;0,141268931904;0,000000000557;-0,000000000687;0,000000012390;0,000000010233;-0,499987228760;-0,463916569723;0,000000000073;-0,000000000278;0,000002937344;0,000000756759;-0,499987228760;0,117221825879;0,000000011320;-0,000000008575;0,000002538035;0,000000562422;-0,499987228760;0,129245378892;0,000000009910;-0,000000007798;0,000000012707;0,000000010460;0,499971596776;-0,499987228760;0,000000000119;-0,000000000024;0,000001451656;0,000000422669;-0,499987228760;0,133253229896;0,000000004720;-0,000000004280;0,000001232756;0,000001010643;-0,315626082569;0,491955894768;0,000000001929;-0,000000001030;0,000001168282;0,000000257150;-0,499987228760;0,101190421863;0,000000005200;-0,000000003693;0,000000378304;0,000000078130;-0,499987228760;0,157300335921;0,000000001390;-0,000000001176;0,000002685828;0,000000728636;-0,499987228760;0,113213974875;0,000000010928;-0,000000007819;0,000001295577;0,000000402666;-0,499987228760;0,101190421863;0,000000005179;-0,000000003764
20h08m26s,07m;0,000000240669;0,000000080634;-0,499987228760;0,147280708411;0,000000000844;-0,000000000628;0,000001608030;0,000000369962;-0,499987228760;0,123233602386;0,000000006384;-0,000000004837;0,000001255420;0,000000258720;-0,499987228760;0,137261080900;0,000000004986;-0,000000003917;0,000001260058;0,000000254122;-0,499987228760;0,161308186925;0,000000004783;-0,000000003593;0,000000012448;0,000000010760;0,499971596776;0,467908788743;0,000000000249;-0,000000000169;0,000000591930;0,000000141835;-0,499987228760;0,123233602386;0,000000002419;-0,000000001748;0,000000385534;0,000000084529;-0,499987228760;0,165316037929;0,000000001541;-0,000000001112;0,000001760754;0,000000405897;-0,499987228760;0,133253229896;0,000000006838;-0,000000005403;0,000002964320;0,000000711391;-0,499987228760;0,171327814436;0,000000011347;-0,000000008763;0,000000178443;0,000000047350;-0,499987228760;0,149284633913;0,000000000598;-0,000000000629;0,000000012048;0,000000010318;-0,023052959266;0,499971596776;0,000000000079;-0,000000000183;0,000002939766;0,000000755509;-0,499987228760;0,119225751382;0,000000011375;-0,000000008575;0,000002535794;0,000000562138;-0,499987228760;0,129245378892;0,000000009900;-0,000000007843;0,000000012304;0,000000010433;-0,423838059681;-0,473936197233;0,000000000115;-0,000000000243;0,000001449586;0,000000424735;-0,499987228760;0,135257155398;0,000000004815;-0,000000004310;0,000001238525;0,000001016320;-0,259516168511;0,499971596776;0,000000003889;-0,000000000977;0,000001171459;0,000000257169;-0,499987228760;0,103194347365;0,000000005252;-0,000000003654;0,000000377154;0,000000077651;-0,499987228760;0,159304261423;0,000000001524;-0,000000001148;0,000002687068;0,000000730053;-0,499987228760;0,113213974875;0,000000010960;-0,000000007828;0,000001305389;0,000000401896;-0,499987228760;0,101190421863;0,000000005211;-0,000000003772
20h08m33s,29m;0,000000242445;0,000000079712;-0,499987228760;0,153292484917;0,000000000895;-0,000000000678;0,000001603186;0,000000371369;-0,499987228760;0,123233602386;0,000000006392;-0,000000004866;0,000001251307;0,000000260197;-0,499987228760;0,141268931904;0,000000005000;-0,000000003915;0,000001262689;0,000000254440;-0,499987228760;0,163312112427;0,000000004849;-0,000000003516;0,000000011753;0,000000009550;0,463900937739;0,499971596776;0,000000000099;-0,000000000273;0,000000594566;0,000000141818;-0,499987228760;0,125237527888;0,000000002353;-0,000000001733;0,000000390764;0,000000085004;-0,499987228760;0,163312112427;0,000000001500;-0,000000001183;0,000001764099;0,000000407115;-0,499987228760;0,133253229896;0,000000006797;-0,000000005455;0,000002961750;0,000000711549;-0,499987228760;0,171327814436;0,000000011495;-0,000000008823;0,000000180563;0,000000046918;-0,499987228760;0,165316037929;0,000000000881;-0,000000000667;0,000000012037;0,000000009271;0,487948043764;-0,499987228760;0,000000000342;-0,000000000054;0,000002954583;0,000000755451;-0,499987228760;0,119225751382;0,000000011437;-0,000000008543;0,000002543077;0,000000561802;-0,499987228760;0,129245378892;0,000000009927;-0,000000007881;0,000000011954;0,000000010518;-0,329653561084;-0,271539721523;0,000000000115;-0,000000000087;0,000001435337;0,000000422010;-0,499987228760;0,135257155398;0,000000004737;-0,000000004356;0,000001231343;0,000001013707;-0,241480838992;0,499971596776;0,000000004100;-0,000000001026;0,000001167000;0,000000257673;-0,499987228760;0,103194347365;0,000000005181;-0,000000003694;0,000000376958;0,000000076452;-0,499987228760;0,157300335921;0,000000001418;-0,000000001195;0,000002690342;0,000000728309;-0,499987228760;0,115217900377;0,000000010971;-0,000000007870;0,000001302121;0,000000402059;-0,499987228760;0,101190421863;0,000000005341;-0,000000003761
20h08m40s,59m;0,000000237905;0,000000079523;-0,499987228760;0,145276782909;0,000000000823;-0,000000000585;0,000001604518;0,000000371275;-0,499987228760;0,123233602386;0,000000006322;-0,000000004871;0,000001258699;0,000000259523;-0,499987228760;0,141268931904;0,000000005079;-0,000000003913;0,000001264177;0,000000253678;-0,499987228760;0,163312112427;0,000000004954;-0,000000003580;0,000000011931;0,000000010622;-0,323641784577;-0,471932271731;0,000000000129;-0,000000000178;0,000000594296;0,000000142702;-0,499987228760;0,125237527888;0,000000002333;-0,000000001689;0,000000387947;0,000000085251;-0,499987228760;0,165316037929;0,000000001493;-0,000000001071;0,000001767907;0,000000406649;-0,499987228760;0,133253229896;0,000000006850;-0,000000005350;0,000002978961;0,000000712651;-0,499987228760;0,171327814436;0,000000011480;-0,000000008729;0,000000182496;0,000000047087;-0,499987228760;0,149284633913;0,000000000690;-0,000000000904;0,000000012267;0,000000010215;0,499971596776;-0,473936197233;0,000000000297;-0,000000000189;0,000002944787;0,000000757063;-0,499987228760;0,119225751382;0,000000011310;-0,000000008511;0,000002544244;0,000000561650;-0,499987228760;0,131249304394;0,000000009868;-0,000000007865;0,000000012055;0,000000010599;0,463900937739;0,499971596776;0,000000000031;-0,000000000200;0,000001433510;0,000000423973;-0,499987228760;0,135257155398;0,000000004660;-0,000000004262;0,000001234812;0,000001016685;-0,305606455059;0,499971596776;0,000000003541;-0,000000001005;0,000001169381;0,000000256930;-0,499987228760;0,107202198369;0,000000005246;-0,000000003652;0,000000378088;0,000000077782;-0,499987228760;0,161308186925;0,000000001353;-0,000000001167;0,000002686846;0,000000729400;-0,499987228760;0,113213974875;0,000000010937;-0,000000007823;0,000001299843;0,000000400891;-0,499987228760;0,097182570859;0,000000005198;-0,000000003767
20h08m47s,95m;0,000000242419;0,000000079847;-0,499987228760;0,153292484917;0,000000000870;-0,000000000975;0,000001606582;0,000000372769;-0,499987228760;0,125237527888;0,000000006344;-0,000000004865;0,000001255368;0,000000258785;-0,499987228760;0,143272857406;0,000000004982;-0,000000003945;0,000001260497;0,000000252910;-0,499987228760;0,165316037929;0,000000005134;-0,000000003509;0,000000012507;0,000000009694;0,499971596776;-0,499987228760;0,000000000225;-0,000000000019;0,000000596224;0,000000140925;-0,499987228760;0,125237527888;0,000000002346;-0,000000001736;0,000000392151;0,000000085463;-0,499987228760;0,163312112427;0,000000001519;-0,000000001195;0,000001765458;0,000000405844;-0,499987228760;0,133253229896;0,000000006829;-0,000000005380;0,000002978759;0,000000713873;-0,499987228760;0,171327814436;0,000000011390;-0,000000008763;0,000000178496;0,000000045541;-0,499987228760;0,157300335921;0,000000000589;-0,000000000659;0,000000012257;0,000000009778;0,469912714245;-0,499987228760;0,000000000329;-0,000000000304;0,000002943172;0,000000754488;-0,499987228760;0,119225751382;0,000000011487;-0,000000008569;0,000002545411;0,000000561781;-0,499987228760;0,131249304394;0,000000009844;-0,000000007860;0,000000011757;0,000000010811;0,181347441946;0,023037327282;0,000000000033;-0,000000000034;0,000001437169;0,000000425850;-0,499987228760;0,135257155398;0,000000004676;-0,000000004322;0,000001244761;0,000001007939;-0,275547572527;0,499971596776;0,000000003428;-0,000000000972;0,000001170606;0,000000257416;-0,499987228760;0,103194347365;0,000000005190;-0,000000003704;0,000000377889;0,000000076983;-0,499987228760;0,157300335921;0,000000001389;-0,000000001168;0,000002703455;0,000000729257;-0,499987228760;0,115217900377;0,000000010905;-0,000000007795;0,000001306886;0,000000403167;-0,499987228760;0,101190421863;0,000000005276;-0,000000003693
