Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-04-19_11h43m39s,36m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
11h43m46s,29m;0,000000701423;0,000000148721;0,500018809701;-0,257463947204;0,000000001998;-0,000000001515;0,000004256746;0,000000685013;0,500018809701;-0,263475715116;0,000000014340;-0,000000010482;0,000003567670;0,000000452069;0,500018809701;-0,247444334017;0,000000011162;-0,000000007949;0,000003422943;0,000000448950;0,500018809701;-0,219389417095;0,000000011080;-0,000000007629;0,000000011886;0,000000010616;0,500018809701;0,465952124867;0,000000000176;-0,000000000041;0,000001838542;0,000000274932;0,500018809701;-0,223397262370;0,000000005694;-0,000000003958;0,000001026899;0,000000149724;0,500018809701;-0,195342345447;0,000000003370;-0,000000002098;0,000004628090;0,000000736769;0,500018809701;-0,227405107644;0,000000014852;-0,000000010243;0,000006767098;0,000001255280;0,500018809701;-0,177307041711;0,000000022661;-0,000000016479;0,000000442081;0,000000075472;0,500018809701;-0,191334500173;0,000000001563;-0,000000000936;0,000000012532;0,000000010971;-0,499938586319;-0,463867978847;0,000000000033;-0,000000000192;0,000007340482;0,000001468979;0,500018809701;-0,209369803908;0,000000023992;-0,000000014628;0,000007163337;0,000001041501;0,500018809701;-0,199350190722;0,000000022212;-0,000000015269;0,000000013439;0,000000010772;0,471963892779;-0,465871901485;0,000000000056;-0,000000000184;0,000003907581;0,000000783981;0,500018809701;-0,211373726546;0,000000010538;-0,000000007960;0,000002034225;0,000001898945;0,500018809701;-0,135224666328;0,000000000990;-0,000000002257;0,000003388698;0,000000460146;0,500018809701;-0,219389417095;0,000000011253;-0,000000006673;0,000000819193;0,000000120588;0,500018809701;-0,183318809623;0,000000002709;-0,000000002248;0,000006644484;0,000001326570;0,500018809701;-0,217385494458;0,000000022479;-0,000000014382;0,000003684716;0,000000723727;0,500018809701;-0,227405107644;0,000000011170;-0,000000005812
11h43m54s,17m;0,000000693609;0,000000152295;0,500018809701;-0,185322732261;0,000000002156;-0,000000001460;0,000004075616;0,000000696419;0,500018809701;-0,205361958634;0,000000014129;-0,000000009725;0,000003398888;0,000000449893;0,500018809701;-0,199350190722;0,000000010945;-0,000000007703;0,000003278483;0,000000444113;0,500018809701;-0,175303119074;0,000000011032;-0,000000007112;0,000000011824;0,000000010663;0,465952124867;-0,499938586319;0,000000000093;-0,000000000090;0,000001762550;0,000000274170;0,500018809701;-0,187326654898;0,000000005540;-0,000000003888;0,000000981312;0,000000148029;0,500018809701;-0,161275660613;0,000000003353;-0,000000002186;0,000004488754;0,000000728412;0,500018809701;-0,191334500173;0,000000014170;-0,000000010163;0,000006500440;0,000001261453;0,500018809701;-0,143240356877;0,000000022151;-0,000000016776;0,000000425682;0,000000076913;0,500018809701;-0,155263892701;0,000000001374;-0,000000000988;0,000000011914;0,000000009962;-0,465871901485;-0,499938586319;0,000000000260;-0,000000000036;0,000007160755;0,000001434689;0,500018809701;-0,183318809623;0,000000023489;-0,000000015713;0,000007041628;0,000001052632;0,500018809701;-0,175303119074;0,000000021938;-0,000000015520;0,000000012557;0,000000009626;0,500018809701;-0,499938586319;0,000000000228;-0,000000000018;0,000003776661;0,000000779186;0,500018809701;-0,189330577535;0,000000010636;-0,000000008030;0,000002034745;0,000001882709;0,500018809701;-0,147248202152;0,000000001079;-0,000000002323;0,000003316974;0,000000459255;0,500018809701;-0,197346268084;0,000000010963;-0,000000006640;0,000000789940;0,000000123874;0,500018809701;-0,161275660613;0,000000002755;-0,000000002201;0,000006455376;0,000001317495;0,500018809701;-0,195342345447;0,000000022087;-0,000000014349;0,000003723384;0,000000749139;0,500018809701;-0,203358035996;0,000000011031;-0,000000005797
11h44m01s,99m;0,000000680372;0,000000150782;0,500018809701;-0,167287428525;0,000000002101;-0,000000001408;0,000004005975;0,000000696596;0,500018809701;-0,183318809623;0,000000014030;-0,000000009600;0,000003342165;0,000000449849;0,500018809701;-0,181314886986;0,000000011029;-0,000000007662;0,000003218210;0,000000447188;0,500018809701;-0,159271737976;0,000000010806;-0,000000007070;0,000000012269;0,000000011167;-0,499938586319;-0,465871901485;0,000000000029;-0,000000000156;0,000001730626;0,000000275476;0,500018809701;-0,175303119074;0,000000005569;-0,000000003755;0,000000960323;0,000000149599;0,500018809701;-0,145244279514;0,000000003254;-0,000000002167;0,000004426846;0,000000729534;0,500018809701;-0,177307041711;0,000000014368;-0,000000010101;0,000006403191;0,000001264244;0,500018809701;-0,131216821053;0,000000022115;-0,000000016995;0,000000427352;0,000000076002;0,500018809701;-0,139232511602;0,000000001517;-0,000000000945;0,000000012361;0,000000010459;-0,499938586319;0,500018809701;0,000000000042;-0,000000000208;0,000007077928;0,000001429714;0,500018809701;-0,171295273799;0,000000023344;-0,000000016432;0,000006980591;0,000001051576;0,500018809701;-0,161275660613;0,000000021869;-0,000000015694;0,000000012821;0,000000011326;0,477975660691;-0,327601239510;0,000000000045;-0,000000000070;0,000003775743;0,000000770077;0,500018809701;-0,175303119074;0,000000010797;-0,000000008191;0,000002046438;0,000001897943;0,500018809701;-0,137228588965;0,000000000908;-0,000000000659;0,000003263182;0,000000459836;0,500018809701;-0,189330577535;0,000000010906;-0,000000006584;0,000000786694;0,000000124600;0,500018809701;-0,149252124789;0,000000002718;-0,000000002135;0,000006372031;0,000001314334;0,500018809701;-0,187326654898;0,000000021847;-0,000000014354;0,000003714387;0,000000751613;0,500018809701;-0,195342345447;0,000000011206;-0,000000005988
11h44m09s,84m;0,000000690804;0,000000151471;0,500018809701;-0,151256047426;0,000000002216;-0,000000002090;0,000003971811;0,000000699300;0,500018809701;-0,175303119074;0,000000013945;-0,000000009658;0,000003310038;0,000000447046;0,500018809701;-0,173299196437;0,000000011021;-0,000000007769;0,000003173012;0,000000450379;0,500018809701;-0,149252124789;0,000000010558;-0,000000007074;0,000000012144;0,000000011242;-0,499938586319;0,269567706410;0,000000000067;-0,000000000075;0,000001725500;0,000000274027;0,500018809701;-0,167287428525;0,000000005559;-0,000000003775;0,000000953839;0,000000148646;0,500018809701;-0,141236434240;0,000000003248;-0,000000002174;0,000004404220;0,000000726196;0,500018809701;-0,169291351162;0,000000014212;-0,000000010436;0,000006358600;0,000001273737;0,500018809701;-0,123201130504;0,000000022208;-0,000000016966;0,000000422696;0,000000077842;0,500018809701;-0,139232511602;0,000000001498;-0,000000001036;0,000000012573;0,000000011056;0,500018809701;-0,269487483028;0,000000000122;-0,000000000159;0,000007041881;0,000001435548;0,500018809701;-0,165283505887;0,000000023399;-0,000000016740;0,000006920504;0,000001051109;0,500018809701;-0,153259970064;0,000000021959;-0,000000016074;0,000000013016;0,000000010279;0,465952124867;-0,499938586319;0,000000000051;-0,000000000228;0,000003729445;0,000000778459;0,500018809701;-0,169291351162;0,000000010972;-0,000000008143;0,000002012532;0,000001880254;0,423869749483;-0,113181517317;0,000000001088;-0,000000001015;0,000003253905;0,000000458440;0,500018809701;-0,185322732261;0,000000010867;-0,000000006598;0,000000779799;0,000000121304;0,500018809701;-0,145244279514;0,000000002662;-0,000000002185;0,000006355495;0,000001315761;0,500018809701;-0,183318809623;0,000000021794;-0,000000014111;0,000003710340;0,000000749714;0,500018809701;-0,189330577535;0,000000011285;-0,000000005933
11h44m17s,70m;0,000000691446;0,000000152089;0,500018809701;-0,149252124789;0,000000002167;-0,000000001481;0,000003959492;0,000000700641;0,500018809701;-0,169291351162;0,000000013953;-0,000000009702;0,000003285686;0,000000448790;0,500018809701;-0,169291351162;0,000000010974;-0,000000007796;0,000003176680;0,000000448364;0,500018809701;-0,143240356877;0,000000010672;-0,000000007091;0,000000012593;0,000000011460;0,500018809701;-0,465871901485;0,000000000084;-0,000000000117;0,000001718059;0,000000273786;0,500018809701;-0,163279583250;0,000000005527;-0,000000003835;0,000000940345;0,000000149111;0,500018809701;-0,137228588965;0,000000003323;-0,000000002184;0,000004390913;0,000000725817;0,500018809701;-0,165283505887;0,000000014412;-0,000000010275;0,000006327565;0,000001270082;0,500018809701;-0,121197207867;0,000000021909;-0,000000017088;0,000000418905;0,000000078071;0,500018809701;-0,131216821053;0,000000001427;-0,000000001051;0,000000012033;0,000000009929;0,463948202229;0,500018809701;0,000000000048;-0,000000000267;0,000007019088;0,000001440416;0,500018809701;-0,159271737976;0,000000023397;-0,000000016682;0,000006901063;0,000001051036;0,500018809701;-0,149252124789;0,000000022093;-0,000000016036;0,000000012924;0,000000009870;0,500018809701;-0,499938586319;0,000000000259;-0,000000000035;0,000003757584;0,000000766690;0,500018809701;-0,161275660613;0,000000010623;-0,000000007980;0,000002043729;0,000001877062;0,500018809701;-0,109173672043;0,000000001038;-0,000000001102;0,000003237914;0,000000457524;0,500018809701;-0,183318809623;0,000000010881;-0,000000006810;0,000000774576;0,000000124335;0,500018809701;-0,141236434240;0,000000002645;-0,000000002214;0,000006318906;0,000001316188;0,500018809701;-0,181314886986;0,000000021579;-0,000000014250;0,000003743496;0,000000753587;0,500018809701;-0,183318809623;0,000000011276;-0,000000005893
11h44m25s,56m;0,000000695545;0,000000151924;0,500018809701;-0,143240356877;0,000000002240;-0,000000001407;0,000003952975;0,000000700325;0,500018809701;-0,165283505887;0,000000013967;-0,000000009656;0,000003279704;0,000000448628;0,500018809701;-0,165283505887;0,000000010866;-0,000000007749;0,000003165608;0,000000448817;0,500018809701;-0,141236434240;0,000000010585;-0,000000007068;0,000000012312;0,000000010795;-0,499938586319;-0,465871901485;0,000000000032;-0,000000000195;0,000001709225;0,000000271003;0,500018809701;-0,163279583250;0,000000005390;-0,000000003811;0,000000937939;0,000000150012;0,500018809701;-0,133220743690;0,000000003366;-0,000000002147;0,000004389732;0,000000727607;0,500018809701;-0,161275660613;0,000000014054;-0,000000010212;0,000006302636;0,000001273057;0,500018809701;-0,117189362592;0,000000021765;-0,000000017174;0,000000412594;0,000000076147;0,500018809701;-0,125205053141;0,000000001474;-0,000000000934;0,000000012398;0,000000010638;-0,499938586319;-0,465871901485;0,000000000041;-0,000000000244;0,000007031325;0,000001438068;0,500018809701;-0,157267815338;0,000000023191;-0,000000016702;0,000006899719;0,000001057675;0,500018809701;-0,147248202152;0,000000021912;-0,000000016157;0,000000013900;0,000000011202;0,500018809701;-0,467875824122;0,000000000205;-0,000000000030;0,000003756709;0,000000767269;0,500018809701;-0,161275660613;0,000000011012;-0,000000008208;0,000002050315;0,000001888357;0,500018809701;-0,083122677758;0,000000001174;-0,000000000903;0,000003229819;0,000000457747;0,500018809701;-0,181314886986;0,000000010767;-0,000000006648;0,000000774473;0,000000124239;0,500018809701;-0,143240356877;0,000000002708;-0,000000002133;0,000006296637;0,000001316959;0,500018809701;-0,179310964349;0,000000021401;-0,000000014245;0,000003769597;0,000000755763;0,500018809701;-0,181314886986;0,000000011266;-0,000000005844
11h44m33s,33m;0,000000686999;0,000000152212;0,500018809701;-0,139232511602;0,000000002299;-0,000000002042;0,000003954045;0,000000699168;0,500018809701;-0,163279583250;0,000000013895;-0,000000009719;0,000003271628;0,000000449489;0,500018809701;-0,163279583250;0,000000011110;-0,000000007773;0,000003169764;0,000000445959;0,500018809701;-0,139232511602;0,000000010747;-0,000000007066;0,000000013151;0,000000011159;0,500018809701;-0,131216821053;0,000000000194;-0,000000000031;0,000001701213;0,000000274265;0,500018809701;-0,157267815338;0,000000005422;-0,000000003873;0,000000941844;0,000000148338;0,500018809701;-0,129212898416;0,000000003318;-0,000000002193;0,000004381942;0,000000727896;0,500018809701;-0,159271737976;0,000000013991;-0,000000010435;0,000006281418;0,000001275843;0,500018809701;-0,115185439955;0,000000021646;-0,000000017255;0,000000418427;0,000000077597;0,500018809701;-0,129212898416;0,000000001429;-0,000000000900;0,000000012697;0,000000010768;0,500018809701;0,461944279592;0,000000000235;-0,000000000029;0,000007017636;0,000001439905;0,500018809701;-0,155263892701;0,000000023278;-0,000000016486;0,000006913027;0,000001046265;0,500018809701;-0,147248202152;0,000000021832;-0,000000016160;0,000000012312;0,000000010230;0,500018809701;-0,499938586319;0,000000000232;-0,000000000038;0,000003747986;0,000000765982;0,500018809701;-0,157267815338;0,000000010714;-0,000000008188;0,000002022387;0,000001879558;0,500018809701;-0,107169749405;0,000000001089;-0,000000001934;0,000003218031;0,000000457627;0,500018809701;-0,179310964349;0,000000010678;-0,000000006713;0,000000774398;0,000000123778;0,500018809701;-0,145244279514;0,000000002717;-0,000000002137;0,000006298936;0,000001315716;0,500018809701;-0,177307041711;0,000000021451;-0,000000014016;0,000003819035;0,000000776247;0,500018809701;-0,183318809623;0,000000011237;-0,000000005719
11h44m41s,18m;0,000000692891;0,000000155886;0,500018809701;-0,141236434240;0,000000002277;-0,000000001620;0,000003955985;0,000000700522;0,500018809701;-0,163279583250;0,000000013925;-0,000000009677;0,000003271630;0,000000450492;0,500018809701;-0,161275660613;0,000000011040;-0,000000007846;0,000003164063;0,000000447677;0,500018809701;-0,139232511602;0,000000010534;-0,000000007133;0,000000011904;0,000000010756;-0,463867978847;-0,499938586319;0,000000000141;-0,000000000025;0,000001703200;0,000000273156;0,500018809701;-0,159271737976;0,000000005503;-0,000000003907;0,000000943741;0,000000149539;0,500018809701;-0,127208975778;0,000000003269;-0,000000002141;0,000004375447;0,000000728527;0,500018809701;-0,157267815338;0,000000014101;-0,000000010523;0,000006278753;0,000001278625;0,500018809701;-0,113181517317;0,000000021885;-0,000000017223;0,000000417910;0,000000075517;0,500018809701;-0,131216821053;0,000000001451;-0,000000001374;0,000000012447;0,000000009953;0,500018809701;-0,499938586319;0,000000000253;-0,000000000060;0,000007014979;0,000001437517;0,500018809701;-0,151256047426;0,000000023287;-0,000000016779;0,000006921240;0,000001053545;0,500018809701;-0,147248202152;0,000000021819;-0,000000015996;0,000000013908;0,000000011247;0,500018809701;-0,131216821053;0,000000000188;-0,000000000019;0,000003755867;0,000000767203;0,500018809701;-0,155263892701;0,000000011271;-0,000000008225;0,000002054586;0,000001886927;0,500018809701;-0,123201130504;0,000000001169;-0,000000001489;0,000003215836;0,000000457609;0,500018809701;-0,179310964349;0,000000010721;-0,000000006736;0,000000775755;0,000000122609;0,500018809701;-0,141236434240;0,000000002721;-0,000000002065;0,000006289469;0,000001315593;0,500018809701;-0,175303119074;0,000000021317;-0,000000014099;0,000003828047;0,000000790385;0,500018809701;-0,181314886986;0,000000011396;-0,000000005695
11h44m48s,95m;0,000000724014;0,000000154473;0,500018809701;-0,141236434240;0,000000002318;-0,000000001664;0,000003940657;0,000000699950;0,500018809701;-0,161275660613;0,000000013885;-0,000000009796;0,000003272046;0,000000450705;0,500018809701;-0,161275660613;0,000000010991;-0,000000007747;0,000003159692;0,000000447745;0,500018809701;-0,137228588965;0,000000010576;-0,000000007119;0,000000012769;0,000000011353;-0,499938586319;-0,465871901485;0,000000000036;-0,000000000195;0,000001709979;0,000000273709;0,500018809701;-0,153259970064;0,000000005508;-0,000000003857;0,000000937489;0,000000148408;0,500018809701;-0,127208975778;0,000000003297;-0,000000002175;0,000004390376;0,000000724618;0,500018809701;-0,155263892701;0,000000014173;-0,000000010364;0,000006277583;0,000001283655;0,500018809701;-0,113181517317;0,000000021784;-0,000000017134;0,000000424865;0,000000077797;0,500018809701;-0,123201130504;0,000000001441;-0,000000000957;0,000000012020;0,000000010285;-0,499938586319;0,500018809701;0,000000000043;-0,000000000229;0,000007002010;0,000001437744;0,500018809701;-0,153259970064;0,000000023528;-0,000000017035;0,000006950149;0,000001063729;0,500018809701;-0,147248202152;0,000000021954;-0,000000016112;0,000000013043;0,000000010866;0,467956047504;-0,465871901485;0,000000000050;-0,000000000197;0,000003769322;0,000000770056;0,500018809701;-0,155263892701;0,000000010739;-0,000000008153;0,000002025802;0,000001870153;0,500018809701;-0,133220743690;0,000000001626;-0,000000001444;0,000003204032;0,000000457850;0,500018809701;-0,177307041711;0,000000010648;-0,000000006711;0,000000777024;0,000000123091;0,500018809701;-0,143240356877;0,000000002757;-0,000000002107;0,000006281542;0,000001316274;0,500018809701;-0,175303119074;0,000000021334;-0,000000014292;0,000003832429;0,000000799310;0,500018809701;-0,179310964349;0,000000011145;-0,000000005477
11h44m56s,76m;0,000000699367;0,000000152705;0,500018809701;-0,141236434240;0,000000002444;-0,000000001538;0,000003941929;0,000000701194;0,500018809701;-0,159271737976;0,000000013936;-0,000000009700;0,000003262115;0,000000449473;0,500018809701;-0,159271737976;0,000000010989;-0,000000007874;0,000003150354;0,000000448198;0,500018809701;-0,137228588965;0,000000010509;-0,000000007218;0,000000012465;0,000000010589;0,461944279592;0,500018809701;0,000000000031;-0,000000000227;0,000001705417;0,000000273672;0,500018809701;-0,155263892701;0,000000005459;-0,000000003871;0,000000939556;0,000000148830;0,500018809701;-0,125205053141;0,000000003351;-0,000000002244;0,000004379190;0,000000725731;0,500018809701;-0,155263892701;0,000000013995;-0,000000010390;0,000006274985;0,000001284280;0,500018809701;-0,111177594680;0,000000021800;-0,000000017078;0,000000412891;0,000000077795;0,500018809701;-0,127208975778;0,000000001321;-0,000000000988;0,000000012294;0,000000010106;-0,499938586319;0,500018809701;0,000000000056;-0,000000000267;0,000007023826;0,000001438018;0,500018809701;-0,151256047426;0,000000023455;-0,000000016732;0,000006969497;0,000001067097;0,500018809701;-0,145244279514;0,000000022098;-0,000000015959;0,000000012614;0,000000010820;0,500018809701;-0,465871901485;0,000000000037;-0,000000000138;0,000003751444;0,000000775004;0,500018809701;-0,155263892701;0,000000011405;-0,000000008192;0,000002049014;0,000001860346;0,483987428602;-0,121197207867;0,000000001950;-0,000000001489;0,000003206601;0,000000458029;0,500018809701;-0,177307041711;0,000000010654;-0,000000006661;0,000000774178;0,000000122432;0,500018809701;-0,139232511602;0,000000002742;-0,000000002154;0,000006279695;0,000001315743;0,500018809701;-0,175303119074;0,000000021208;-0,000000014308;0,000003806538;0,000000799490;0,500018809701;-0,179310964349;0,000000011150;-0,000000005870
