Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000741406000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499987228760000  To 0,499971596776001 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-04-20_09h28m56s,04m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
09h29m01s,97m;0,000000237605;0,000000083732;-0,499987228760;0,139265006402;0,000000001477;-0,000000000630;0,000001541505;0,000000372400;-0,499987228760;0,117221825879;0,000000006660;-0,000000004721;0,000001228988;0,000000259862;-0,499987228760;0,129245378892;0,000000005317;-0,000000003836;0,000001201357;0,000000248688;-0,499987228760;0,151288559415;0,000000005231;-0,000000003524;0,000000011948;0,000000010259;-0,499987228760;0,467908788743;0,000000000268;-0,000000000244;0,000000579163;0,000000143288;-0,499987228760;0,123233602386;0,000000002456;-0,000000001717;0,000000386530;0,000000086166;-0,499987228760;0,161308186925;0,000000001537;-0,000000001087;0,000001706535;0,000000406248;-0,499987228760;0,125237527888;0,000000007176;-0,000000005167;0,000002888025;0,000000705191;-0,499987228760;0,167319963431;0,000000011841;-0,000000008560;0,000000176056;0,000000044692;-0,499987228760;0,141268931904;0,000000000608;-0,000000000596;0,000000012467;0,000000009604;-0,499987228760;-0,467924420727;0,000000000170;-0,000000000440;0,000002806905;0,000000756147;-0,499987228760;0,117221825879;0,000000011642;-0,000000008440;0,000002519836;0,000000568868;-0,499987228760;0,129245378892;0,000000010449;-0,000000007899;0,000000012047;0,000000010386;0,427830278701;-0,465920495225;0,000000000032;-0,000000000194;0,000001451735;0,000000425383;-0,499987228760;0,129245378892;0,000000005513;-0,000000004309;0,000001075856;0,000000998318;-0,125253159872;0,439853831714;0,000000000478;-0,000000000542;0,000001130783;0,000000262403;-0,499987228760;0,107202198369;0,000000005423;-0,000000003498;0,000000371806;0,000000078529;-0,499987228760;0,151288559415;0,000000001425;-0,000000001223;0,000002567159;0,000000736016;-0,499987228760;0,111210049373;0,000000011344;-0,000000007356;0,000001197551;0,000000381804;0,499971596776;0,107202198369;0,000000005283;-0,000000003239
09h29m09s,25m;0,000000241285;0,000000084981;-0,499987228760;0,131249304394;0,000000000992;-0,000000000620;0,000001539914;0,000000372580;-0,499987228760;0,117221825879;0,000000006611;-0,000000004667;0,000001230488;0,000000261077;-0,499987228760;0,129245378892;0,000000005265;-0,000000003884;0,000001204035;0,000000249100;-0,499987228760;0,153292484917;0,000000005133;-0,000000003444;0,000000012354;0,000000010647;-0,499987228760;0,373724290145;0,000000000197;-0,000000000263;0,000000579136;0,000000144762;-0,499987228760;0,123233602386;0,000000002671;-0,000000001714;0,000000388578;0,000000086651;-0,499987228760;0,159304261423;0,000000001531;-0,000000001052;0,000001703275;0,000000406971;-0,499987228760;0,125237527888;0,000000007155;-0,000000005174;0,000002891027;0,000000705868;-0,499987228760;0,169323888933;0,000000011732;-0,000000008558;0,000000182464;0,000000044429;-0,499987228760;0,171327814436;0,000000000756;-0,000000001216;0,000000012292;0,000000010444;0,499971596776;-0,489967601250;0,000000000263;-0,000000000069;0,000002785835;0,000000755177;-0,499987228760;0,119225751382;0,000000011580;-0,000000008385;0,000002525590;0,000000571962;-0,499987228760;0,131249304394;0,000000010355;-0,000000007855;0,000000012668;0,000000009524;0,499971596776;-0,499987228760;0,000000000140;-0,000000000020;0,000001460512;0,000000426328;-0,499987228760;0,129245378892;0,000000005622;-0,000000004257;0,000001079384;0,000000985499;-0,159319893407;0,499971596776;0,000000000949;-0,000000000507;0,000001126846;0,000000263668;-0,499987228760;0,107202198369;0,000000005431;-0,000000003528;0,000000370271;0,000000079043;-0,499987228760;0,149284633913;0,000000001466;-0,000000001184;0,000002564117;0,000000737242;-0,499987228760;0,113213974875;0,000000011283;-0,000000007417;0,000001188782;0,000000381233;0,499971596776;0,111210049373;0,000000005188;-0,000000003205
09h29m16s,49m;0,000000240732;0,000000085070;-0,499987228760;0,137261080900;0,000000000919;-0,000000000584;0,000001551722;0,000000373173;-0,499987228760;0,119225751382;0,000000006655;-0,000000004707;0,000001231652;0,000000259844;-0,499987228760;0,131249304394;0,000000005272;-0,000000003826;0,000001202386;0,000000248213;-0,499987228760;0,157300335921;0,000000005140;-0,000000003439;0,000000011908;0,000000010684;0,499971596776;-0,471932271731;0,000000000123;-0,000000000173;0,000000582827;0,000000144191;-0,499987228760;0,125237527888;0,000000002416;-0,000000001702;0,000000390609;0,000000086383;-0,499987228760;0,165316037929;0,000000001726;-0,000000001065;0,000001708982;0,000000408366;-0,499987228760;0,129245378892;0,000000007191;-0,000000005148;0,000002888441;0,000000705921;-0,499987228760;0,171327814436;0,000000011705;-0,000000008625;0,000000180013;0,000000043336;-0,499987228760;0,171327814436;0,000000000646;-0,000000000716;0,000000012257;0,000000009920;0,375728215647;-0,499987228760;0,000000000302;-0,000000000252;0,000002796731;0,000000758726;-0,499987228760;0,121229676884;0,000000011628;-0,000000008395;0,000002515962;0,000000571485;-0,499987228760;0,133253229896;0,000000010370;-0,000000007828;0,000000011965;0,000000009842;0,499971596776;-0,473936197233;0,000000000166;-0,000000000185;0,000001444561;0,000000428974;-0,499987228760;0,131249304394;0,000000005678;-0,000000004333;0,000001076733;0,000000990760;-0,221441583971;0,453881310228;0,000000000736;-0,000000000562;0,000001126631;0,000000263964;-0,499987228760;0,105198272867;0,000000005399;-0,000000003514;0,000000369259;0,000000078552;-0,499987228760;0,149284633913;0,000000001388;-0,000000001146;0,000002562782;0,000000735544;-0,499987228760;0,115217900377;0,000000011211;-0,000000007383;0,000001190670;0,000000382874;-0,499987228760;0,111210049373;0,000000005222;-0,000000003201
09h29m23s,73m;0,000000241864;0,000000086052;-0,493975452254;0,145276782909;0,000000000912;-0,000000000603;0,000001550728;0,000000373751;-0,499987228760;0,121229676884;0,000000006626;-0,000000004658;0,000001235755;0,000000260675;-0,499987228760;0,133253229896;0,000000005212;-0,000000003825;0,000001210157;0,000000249581;-0,499987228760;0,155296410419;0,000000005187;-0,000000003523;0,000000013220;0,000000010281;-0,499987228760;-0,463916569723;0,000000000172;-0,000000000363;0,000000584197;0,000000143640;-0,499987228760;0,129245378892;0,000000002440;-0,000000001697;0,000000391335;0,000000085504;-0,499987228760;0,167319963431;0,000000001507;-0,000000001078;0,000001711911;0,000000408818;-0,499987228760;0,129245378892;0,000000007164;-0,000000005219;0,000002890486;0,000000706140;-0,499987228760;0,173331739938;0,000000011721;-0,000000008562;0,000000181771;0,000000048021;-0,499987228760;0,177339590942;0,000000000684;-0,000000000561;0,000000011964;0,000000009847;0,275531940543;-0,499987228760;0,000000000302;-0,000000000311;0,000002789603;0,000000757163;-0,499987228760;0,121229676884;0,000000011558;-0,000000008381;0,000002531906;0,000000571579;-0,499987228760;0,133253229896;0,000000010228;-0,000000007845;0,000000011978;0,000000010266;0,075139390336;0,499971596776;0,000000000146;-0,000000000217;0,000001468446;0,000000427749;-0,499987228760;0,131249304394;0,000000005598;-0,000000004287;0,000001083243;0,000000984579;-0,209418030959;0,485944118261;0,000000000652;-0,000000000598;0,000001135551;0,000000262823;-0,499987228760;0,109206123871;0,000000005400;-0,000000003498;0,000000371535;0,000000078306;-0,499987228760;0,145276782909;0,000000001427;-0,000000001195;0,000002559156;0,000000735526;-0,499987228760;0,115217900377;0,000000011215;-0,000000007301;0,000001196129;0,000000383634;0,499971596776;0,111210049373;0,000000005271;-0,000000003130
09h29m31s,09m;0,000000239665;0,000000085060;-0,499987228760;0,141268931904;0,000000000990;-0,000000000620;0,000001553450;0,000000374431;-0,499987228760;0,123233602386;0,000000006645;-0,000000004696;0,000001239014;0,000000261432;-0,499987228760;0,135257155398;0,000000005230;-0,000000003841;0,000001212577;0,000000248867;-0,499987228760;0,161308186925;0,000000005203;-0,000000003449;0,000000011844;0,000000009956;-0,077158947822;-0,499987228760;0,000000000234;-0,000000000030;0,000000587111;0,000000143891;-0,499987228760;0,127241453390;0,000000002374;-0,000000001668;0,000000389526;0,000000086254;-0,499987228760;0,169323888933;0,000000001556;-0,000000001067;0,000001717869;0,000000407634;-0,499987228760;0,131249304394;0,000000007140;-0,000000005259;0,000002903343;0,000000708284;-0,499987228760;0,175335665440;0,000000011625;-0,000000008488;0,000000180078;0,000000044106;-0,499987228760;0,181347441946;0,000000001076;-0,000000001190;0,000000013115;0,000000010039;0,499971596776;-0,487963675748;0,000000000328;-0,000000000073;0,000002793100;0,000000758716;-0,499987228760;0,121229676884;0,000000011583;-0,000000008248;0,000002530833;0,000000570800;-0,499987228760;0,133253229896;0,000000010246;-0,000000007901;0,000000012191;0,000000010596;-0,031068661274;0,027045178286;0,000000000200;-0,000000000165;0,000001462331;0,000000431256;-0,499987228760;0,133253229896;0,000000005547;-0,000000004303;0,000001079686;0,000000979159;-0,191382701440;0,499971596776;0,000000000679;-0,000000000552;0,000001134401;0,000000263656;-0,499987228760;0,111210049373;0,000000005365;-0,000000003538;0,000000372337;0,000000077271;-0,499987228760;0,149284633913;0,000000001469;-0,000000001154;0,000002562258;0,000000735315;-0,499987228760;0,117221825879;0,000000011159;-0,000000007311;0,000001195295;0,000000383584;-0,499987228760;0,111210049373;0,000000005320;-0,000000003179
09h29m38s,39m;0,000000245096;0,000000085715;-0,499987228760;0,149284633913;0,000000000957;-0,000000000621;0,000001560633;0,000000374610;-0,499987228760;0,123233602386;0,000000006598;-0,000000004661;0,000001242088;0,000000261625;-0,499987228760;0,137261080900;0,000000005291;-0,000000003824;0,000001217020;0,000000249962;-0,499987228760;0,159304261423;0,000000005204;-0,000000003508;0,000000012645;0,000000010161;-0,499987228760;0,481936267257;0,000000000064;-0,000000000296;0,000000586825;0,000000144249;-0,499987228760;0,129245378892;0,000000002518;-0,000000001741;0,000000388170;0,000000084824;-0,499987228760;0,173331739938;0,000000001649;-0,000000001052;0,000001726635;0,000000409749;-0,499987228760;0,131249304394;0,000000007251;-0,000000005166;0,000002911136;0,000000707653;-0,499987228760;0,177339590942;0,000000011753;-0,000000008523;0,000000178490;0,000000043836;-0,499987228760;0,199382771465;0,000000000658;-0,000000000644;0,000000012997;0,000000010183;-0,499987228760;-0,179359148428;0,000000000036;-0,000000000236;0,000002796475;0,000000756467;-0,499987228760;0,123233602386;0,000000011592;-0,000000008275;0,000002535541;0,000000575138;-0,499987228760;0,137261080900;0,000000010293;-0,000000007885;0,000000012969;0,000000009292;0,499971596776;-0,499987228760;0,000000000174;-0,000000000021;0,000001456591;0,000000426441;-0,499987228760;0,135257155398;0,000000005606;-0,000000004320;0,000001095753;0,000000990998;-0,205410179955;0,469912714245;0,000000001037;-0,000000000715;0,000001136484;0,000000263410;-0,499987228760;0,111210049373;0,000000005367;-0,000000003521;0,000000375885;0,000000077938;-0,499987228760;0,147280708411;0,000000001466;-0,000000001160;0,000002565585;0,000000736895;-0,499987228760;0,117221825879;0,000000011148;-0,000000007372;0,000001196047;0,000000384690;-0,499987228760;0,113213974875;0,000000005220;-0,000000003188
09h29m45s,56m;0,000000245214;0,000000087302;-0,499987228760;0,153292484917;0,000000000964;-0,000000000884;0,000001561823;0,000000375737;-0,499987228760;0,125237527888;0,000000006602;-0,000000004670;0,000001242560;0,000000261855;-0,499987228760;0,139265006402;0,000000005255;-0,000000003868;0,000001220039;0,000000248993;-0,499987228760;0,163312112427;0,000000005179;-0,000000003436;0,000000011671;0,000000010501;-0,471932271731;-0,123249234370;0,000000000114;-0,000000000038;0,000000588293;0,000000144255;-0,499987228760;0,127241453390;0,000000002448;-0,000000001695;0,000000392345;0,000000086430;-0,499987228760;0,171327814436;0,000000001582;-0,000000001052;0,000001728839;0,000000409749;-0,499987228760;0,133253229896;0,000000007152;-0,000000005286;0,000002906248;0,000000706783;-0,499987228760;0,177339590942;0,000000011685;-0,000000008526;0,000000177508;0,000000044397;-0,499987228760;0,177339590942;0,000000000777;-0,000000000567;0,000000012013;0,000000010024;0,487948043764;-0,499987228760;0,000000000243;-0,000000000046;0,000002808524;0,000000756022;-0,499987228760;0,125237527888;0,000000011547;-0,000000008260;0,000002539356;0,000000573298;-0,499987228760;0,139265006402;0,000000010186;-0,000000007888;0,000000011997;0,000000010844;-0,029064735772;-0,469928346229;0,000000000034;-0,000000000123;0,000001469533;0,000000431063;-0,499987228760;0,139265006402;0,000000005446;-0,000000004275;0,000001096426;0,000000985636;-0,219437658469;0,499971596776;0,000000001414;-0,000000000936;0,000001142591;0,000000264361;-0,499987228760;0,111210049373;0,000000005350;-0,000000003525;0,000000372676;0,000000078753;-0,499987228760;0,153292484917;0,000000001443;-0,000000001149;0,000002581077;0,000000736240;-0,499987228760;0,119225751382;0,000000011205;-0,000000007416;0,000001213740;0,000000384990;-0,499987228760;0,115217900377;0,000000005193;-0,000000003252
09h29m52s,92m;0,000000249035;0,000000085734;-0,499987228760;0,157300335921;0,000000000970;-0,000000000650;0,000001564495;0,000000375784;-0,499987228760;0,127241453390;0,000000006639;-0,000000004668;0,000001247370;0,000000260878;-0,499987228760;0,139265006402;0,000000005254;-0,000000003876;0,000001224069;0,000000249982;-0,499987228760;0,163312112427;0,000000005275;-0,000000003458;0,000000012350;0,000000010180;-0,499987228760;-0,467924420727;0,000000000181;-0,000000000311;0,000000588120;0,000000144042;-0,499987228760;0,135257155398;0,000000002425;-0,000000001766;0,000000389443;0,000000085836;-0,499987228760;0,173331739938;0,000000001662;-0,000000001055;0,000001727433;0,000000409641;-0,499987228760;0,135257155398;0,000000007038;-0,000000005278;0,000002922528;0,000000711037;-0,499987228760;0,179343516444;0,000000011741;-0,000000008568;0,000000181969;0,000000047306;-0,499987228760;0,173331739938;0,000000000775;-0,000000000637;0,000000013442;0,000000010474;-0,499987228760;0,499971596776;0,000000000038;-0,000000000316;0,000002820513;0,000000760363;-0,499987228760;0,127241453390;0,000000011387;-0,000000008521;0,000002551316;0,000000575495;-0,499987228760;0,141268931904;0,000000010213;-0,000000007851;0,000000012611;0,000000009637;0,499971596776;-0,499987228760;0,000000000154;-0,000000000028;0,000001468639;0,000000426733;-0,499987228760;0,139265006402;0,000000005470;-0,000000004224;0,000001088578;0,000000981726;-0,189378775938;0,499971596776;0,000000001498;-0,000000000565;0,000001145308;0,000000263100;-0,499987228760;0,113213974875;0,000000005394;-0,000000003538;0,000000373213;0,000000078024;-0,499987228760;0,153292484917;0,000000001412;-0,000000001137;0,000002582624;0,000000737071;-0,499987228760;0,121229676884;0,000000011177;-0,000000007366;0,000001213275;0,000000384908;-0,499987228760;0,115217900377;0,000000005203;-0,000000003281
09h30m00s,29m;0,000000243246;0,000000085570;-0,499987228760;0,159304261423;0,000000000944;-0,000000000881;0,000001569177;0,000000375926;-0,499987228760;0,127241453390;0,000000006606;-0,000000004687;0,000001252456;0,000000262716;-0,499987228760;0,141268931904;0,000000005269;-0,000000003866;0,000001228532;0,000000250277;-0,499987228760;0,165316037929;0,000000005235;-0,000000003407;0,000000012486;0,000000010743;-0,499987228760;-0,179359148428;0,000000000089;-0,000000000178;0,000000590962;0,000000144578;-0,499987228760;0,135257155398;0,000000002625;-0,000000001695;0,000000392880;0,000000086536;-0,499987228760;0,177339590942;0,000000001558;-0,000000001092;0,000001727129;0,000000408820;-0,499987228760;0,135257155398;0,000000007095;-0,000000005287;0,000002929127;0,000000712027;-0,499987228760;0,181347441946;0,000000011589;-0,000000008587;0,000000180075;0,000000045554;-0,499987228760;0,201386696967;0,000000000619;-0,000000000662;0,000000012148;0,000000010280;0,423822427697;-0,465920495225;0,000000000217;-0,000000000238;0,000002827537;0,000000759269;-0,499987228760;0,127241453390;0,000000011400;-0,000000008340;0,000002557641;0,000000571864;-0,499987228760;0,143272857406;0,000000010452;-0,000000007909;0,000000011920;0,000000010292;-0,279555423532;-0,499987228760;0,000000000208;-0,000000000113;0,000001483359;0,000000425482;-0,499987228760;0,141268931904;0,000000005692;-0,000000004265;0,000001097195;0,000000983851;-0,209418030959;0,475924490751;0,000000000790;-0,000000000544;0,000001145780;0,000000263992;-0,499987228760;0,113213974875;0,000000005352;-0,000000003569;0,000000374127;0,000000078371;-0,499987228760;0,163312112427;0,000000001469;-0,000000001169;0,000002597502;0,000000736488;-0,499987228760;0,121229676884;0,000000011166;-0,000000007399;0,000001213617;0,000000383956;-0,499987228760;0,117221825879;0,000000005228;-0,000000003215
09h30m07s,61m;0,000000244949;0,000000086039;-0,499987228760;0,145276782909;0,000000000979;-0,000000000575;0,000001575286;0,000000376336;-0,499987228760;0,129245378892;0,000000006633;-0,000000004653;0,000001253240;0,000000262829;-0,499987228760;0,145276782909;0,000000005408;-0,000000003892;0,000001225761;0,000000249345;-0,499987228760;0,167319963431;0,000000005306;-0,000000003469;0,000000012016;0,000000009939;0,475924490751;-0,499987228760;0,000000000281;-0,000000000111;0,000000592861;0,000000144039;-0,499987228760;0,133253229896;0,000000002424;-0,000000001706;0,000000390648;0,000000086484;-0,499987228760;0,177339590942;0,000000001509;-0,000000001090;0,000001734059;0,000000410435;-0,499987228760;0,137261080900;0,000000007086;-0,000000005305;0,000002936588;0,000000710415;-0,499987228760;0,181347441946;0,000000011668;-0,000000008484;0,000000181246;0,000000043340;-0,499987228760;0,177339590942;0,000000001091;-0,000000000577;0,000000012830;0,000000010329;0,499971596776;-0,475940122735;0,000000000296;-0,000000000111;0,000002832535;0,000000760284;-0,499987228760;0,129245378892;0,000000011482;-0,000000008289;0,000002572545;0,000000573294;-0,499987228760;0,143272857406;0,000000010349;-0,000000007901;0,000000012196;0,000000010141;0,463900937739;-0,499987228760;0,000000000151;-0,000000000263;0,000001486799;0,000000428221;-0,499987228760;0,141268931904;0,000000005498;-0,000000004267;0,000001099494;0,000000981773;-0,221441583971;0,493959820270;0,000000000748;-0,000000000665;0,000001146891;0,000000263602;-0,499987228760;0,115217900377;0,000000005331;-0,000000003570;0,000000373871;0,000000078280;-0,499987228760;0,161308186925;0,000000001482;-0,000000001160;0,000002592670;0,000000737393;-0,499987228760;0,123233602386;0,000000011126;-0,000000007431;0,000001213417;0,000000385504;-0,499987228760;0,115217900377;0,000000005263;-0,000000003231
