Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000741406000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499987228760000  To 0,499971596776001 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE


2025-04-20_10h39m57s,12m
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,49998722875999979100;0,00000000514540851691;0,00000189900979555073;0,00000116623485241214;0,00000001104653354161;0,00000000368688941356;0,00000001064625523998;0,00000038668513751774;0,00000259611706212005;0,00000149718077749244;0,00000001341919776629;0,00000045835696650931;0,00000323232455831817;0,00000150769459363882;0,00000590781749376639;0,00000001063084884461;0,00000001142250486777;0,00000207856063036293;0,00000001113808398515;0,00000001018683344360;0,00000063819938883827
-0,49798330325792361500;0,00000000521909894289;0,00000189716677107559;0,00000116607126581171;0,00000001103178566173;0,00000000337279412879;0,00000001070293643564;0,00000038627322259256;0,00000259174715072200;0,00000149509366130564;0,00000001318580232433;0,00000045757941977617;0,00000322715783206572;0,00000150775969409813;0,00000590547226086816;0,00000001072741774785;0,00000001144869107932;0,00000207449267819801;0,00000001107897877193;0,00000001028296200892;0,00000063723483429767
-0,49597937775584749500;0,00000000529156804610;0,00000189523232520876;0,00000116583768588316;0,00000001101822907889;0,00000000310382492032;0,00000001075847360072;0,00000038584052609390;0,00000258736014534697;0,00000149300238985050;0,00000001296499884388;0,00000045680564231340;0,00000322192085212399;0,00000150767612016920;0,00000590290817125927;0,00000001081691726191;0,00000001147277739774;0,00000207043071603370;0,00000001102649560360;0,00000001037592971916;0,00000063627355059227
-0,49397545225377131900;0,00000000536281582655;0,00000189320645795026;0,00000116553411262648;0,00000001100586379309;0,00000000287998178815;0,00000001081286673522;0,00000038538704802177;0,00000258295604599497;0,00000149090696312703;0,00000001275678732494;0,00000045603563412099;0,00000321661361849299;0,00000150744387185201;0,00000590012522493972;0,00000001089934738678;0,00000001149476382305;0,00000206637474387001;0,00000001098063448016;0,00000001046573657434;0,00000063531553772206
-0,49197152675169519800;0,00000000543284228423;0,00000189108916930008;0,00000116516054604167;0,00000001099468980432;0,00000000270126473229;0,00000001086611583914;0,00000038491278837617;0,00000257853485266600;0,00000148880738113524;0,00000001256116776751;0,00000045526939519894;0,00000321123613117272;0,00000150706294914656;0,00000589712342190952;0,00000001097470812247;0,00000001151465035524;0,00000206232476170694;0,00000001094139540160;0,00000001055238257444;0,00000063436079568704
-0,48996760124961902200;0,00000000550164741915;0,00000188888045925822;0,00000116471698612873;0,00000001098470711259;0,00000000256767375274;0,00000001091822091249;0,00000038441774715708;0,00000257409656536005;0,00000148670364387511;0,00000001237814017159;0,00000045450692554726;0,00000320578839016318;0,00000150653335205286;0,00000589390276216866;0,00000001104299946897;0,00000001153243699431;0,00000205828076954449;0,00000001090877836794;0,00000001063586771948;0,00000063340932448722
-0,48796367574754284600;0,00000000556923123131;0,00000188658032782468;0,00000116420343288766;0,00000001097591571790;0,00000000247920884948;0,00000001096918195525;0,00000038390192436453;0,00000256964118407712;0,00000148459575134666;0,00000001220770453719;0,00000045374822516594;0,00000320027039546437;0,00000150585508057090;0,00000589046324571715;0,00000001110422142628;0,00000001154812374026;0,00000205424276738266;0,00000001088278337916;0,00000001071619200945;0,00000063246112412260
-0,48595975024546672600;0,00000000563559372071;0,00000188418877499946;0,00000116361988631846;0,00000001096831562025;0,00000000243587002253;0,00000001101899896744;0,00000038336531999849;0,00000256516870881723;0,00000148248370354987;0,00000001204986086430;0,00000045299329405499;0,00000319468214707628;0,00000150502813470069;0,00000588680487255498;0,00000001115837399441;0,00000001156171059309;0,00000205021075522145;0,00000001086341043526;0,00000001079335544434;0,00000063151619459317
-0,48395582474339055000;0,00000000570073488734;0,00000188170580078256;0,00000116296634642114;0,00000001096190681963;0,00000000243765727189;0,00000001106767194905;0,00000038280793405899;0,00000256067913958035;0,00000148036750048475;0,00000001190460915291;0,00000045224213221440;0,00000318902364499893;0,00000150405251444223;0,00000588292764268216;0,00000001120545717335;0,00000001157319755281;0,00000204618473306085;0,00000001085065953626;0,00000001086735802417;0,00000063057453589893
-0,48195189924131443000;0,00000000576465473121;0,00000187913140517398;0,00000116224281319569;0,00000001095668931606;0,00000000248457059755;0,00000001111520090008;0,00000038222976654600;0,00000255617247636651;0,00000147824714215131;0,00000001177194940304;0,00000045149473964417;0,00000318329488923230;0,00000150292821979551;0,00000587883155609868;0,00000001124547096310;0,00000001158258461941;0,00000204216470090088;0,00000001084453068214;0,00000001093819974893;0,00000062963614803989
-0,47994797373923825400;0,00000000582735325232;0,00000187646558817371;0,00000116144928664211;0,00000001095266310952;0,00000000257660999951;0,00000001116158582053;0,00000038163081745955;0,00000255164871917569;0,00000147612262854953;0,00000001165188161469;0,00000045075111634431;0,00000317749587977640;0,00000150165525076053;0,00000587451661280454;0,00000001127841536367;0,00000001158987179288;0,00000203815065874152;0,00000001084502387291;0,00000001100588061861;0,00000062870103101604
-0,47794404823716213300;0,00000000588883045066;0,00000187370834978177;0,00000116058576676040;0,00000001094982820002;0,00000000271377547777;0,00000001120682671041;0,00000038101108679961;0,00000254710786800789;0,00000147399395967943;0,00000001154440578784;0,00000045001126231481;0,00000317162661663123;0,00000150023360733730;0,00000586998281279975;0,00000001130429037506;0,00000001159505907324;0,00000203414260658278;0,00000001085213910856;0,00000001107040063323;0,00000062776918482739
-0,47594012273508595700;0,00000000594908632624;0,00000187085968999815;0,00000115965225355056;0,00000001094818458756;0,00000000289606703234;0,00000001125092356970;0,00000038037057456621;0,00000254254992286312;0,00000147186113554099;0,00000001144952192250;0,00000044927517755568;0,00000316568709979679;0,00000149866328952581;0,00000586523015608430;0,00000001132309599725;0,00000001159814646049;0,00000203014054442466;0,00000001086587638911;0,00000001113175979278;0,00000062684060947393
-0,47393619723300978200;0,00000000600812087906;0,00000186791960882285;0,00000115864874701260;0,00000001094773227213;0,00000000312348466321;0,00000001129387639842;0,00000037970928075932;0,00000253797488374138;0,00000146972415613422;0,00000001136723001868;0,00000044854286206691;0,00000315967732927307;0,00000149694429732607;0,00000586025864265820;0,00000001133483223026;0,00000001159913395461;0,00000202614447226716;0,00000001088623571454;0,00000001118995809725;0,00000062591530495567
-0,47193227173093366100;0,00000000606593410911;0,00000186488810625586;0,00000115757524714651;0,00000001094847125375;0,00000000339602837038;0,00000001133568519656;0,00000037902720537896;0,00000253338275064266;0,00000146758302145913;0,00000001129753007637;0,00000044781431584850;0,00000315359730506008;0,00000149507663073807;0,00000585506827252144;0,00000001133949907408;0,00000001159802155561;0,00000202215439011028;0,00000001091321708486;0,00000001124499554666;0,00000062499327127260
-0,46992834622885748500;0,00000000612252601640;0,00000186176518229720;0,00000115643175395229;0,00000001095040153240;0,00000000371369815386;0,00000001137634996412;0,00000037832434842513;0,00000252877352356697;0,00000146543773151570;0,00000001124042209557;0,00000044708953890046;0,00000314744702715783;0,00000149306028976182;0,00000584965904567403;0,00000001133709652872;0,00000001159480926350;0,00000201817029795402;0,00000001094682050006;0,00000001129687214100;0,00000062407450842473
-0,46792442072678136500;0,00000000617789660093;0,00000185855083694686;0,00000115521826742994;0,00000001095352310809;0,00000000407649401364;0,00000001141587070110;0,00000037760070989782;0,00000252414720251431;0,00000146328828630394;0,00000001119590607628;0,00000044636853122279;0,00000314122649556630;0,00000149089527439732;0,00000584403096211596;0,00000001132762459417;0,00000001158949707827;0,00000201419219579837;0,00000001098704596016;0,00000001134558788027;0,00000062315901641205
-0,46592049522470518900;0,00000000623204586270;0,00000185524507020483;0,00000115393478757946;0,00000001095783598082;0,00000000448441594973;0,00000001145424740751;0,00000037685628979704;0,00000251950378748467;0,00000146113468582386;0,00000001116398201850;0,00000044565129281547;0,00000313493571028550;0,00000148858158464455;0,00000583818402184724;0,00000001131108327044;0,00000001158208499992;0,00000201022008364335;0,00000001103389346514;0,00000001139114276446;0,00000062224679523456
-0,46391656972262901300;0,00000000628497380170;0,00000185184788207113;0,00000115258131440085;0,00000001096334015058;0,00000000493746396212;0,00000001149148008333;0,00000037609108812278;0,00000251484327847805;0,00000145897693007544;0,00000001114464992223;0,00000044493782367853;0,00000312857467131542;0,00000148611922050354;0,00000583211822486786;0,00000001128747255752;0,00000001157257302845;0,00000200625396148894;0,00000001108736301500;0,00000001143353679359;0,00000062133784489227
-0,46191264422055289300;0,00000000633668041794;0,00000184835927254575;0,00000115115784789412;0,00000001097003561739;0,00000000543563805081;0,00000001152756872858;0,00000037530510487504;0,00000251016567549446;0,00000145681501905869;0,00000001113790978748;0,00000044422812381194;0,00000312214337865608;0,00000148350818197427;0,00000582583357117782;0,00000001125679245541;0,00000001156096116386;0,00000200229382933515;0,00000001114745460976;0,00000001147276996765;0,00000062043216538517
-0,45990871871847671700;0,00000000638716571141;0,00000184477924162868;0,00000114966438805926;0,00000001097792238123;0,00000000597893821580;0,00000001156251334325;0,00000037449834005383;0,00000250547097853390;0,00000145464895277362;0,00000001114376161423;0,00000044352219321572;0,00000311564183230746;0,00000148074846905674;0,00000581933006077713;0,00000001121904296411;0,00000001154724940616;0,00000199833968718198;0,00000001121416824940;0,00000001150884228664;0,00000061952975671327
-0,45790479321640059600;0,00000000643642968213;0,00000184110778931994;0,00000114810093489627;0,00000001098700044211;0,00000000656736445710;0,00000001159631392734;0,00000037367079365915;0,00000250075918759636;0,00000145247873122021;0,00000001116220540250;0,00000044282003188987;0,00000310907003226957;0,00000147784008175096;0,00000581260769366578;0,00000001117422408363;0,00000001153143775533;0,00000199439153502943;0,00000001128750393393;0,00000001154175375056;0,00000061863061887656
