Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000741406000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499987228760000  To 0,499971596776001 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE


2025-04-20_09h32m11s,86m
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,49998722875999979100;0,00000000427620111182;0,00000186087680340236;0,00000115555686906783;0,00000001081004349880;0,00000000079460729954;0,00000001220450874586;0,00000037709583056294;0,00000256157754324755;0,00000145235813677452;0,00000001250760880933;0,00000044796434482876;0,00000319743851943915;0,00000146822572874777;0,00000587195621931112;0,00000001201136726915;0,00000001080149444037;0,00000201451209896234;0,00000001022569440320;0,00000001035755566643;0,00000062642280844388
-0,49798330325792361500;0,00000000426625383736;0,00000185844236631095;0,00000115525963492846;0,00000001081445978610;0,00000000117024072827;0,00000001202043042144;0,00000037666601146780;0,00000255762073243198;0,00000144999156209068;0,00000001245715383441;0,00000044725058647204;0,00000319209428453446;0,00000146810605884611;0,00000586664833697419;0,00000001184370676452;0,00000001081162350369;0,00000201136816323339;0,00000001037227071872;0,00000001056171633563;0,00000062612331678709
-0,49597937775584749500;0,00000000426168554135;0,00000185596399424393;0,00000115488994160832;0,00000001081841528227;0,00000000154278809695;0,00000001184791003075;0,00000037622193589522;0,00000255361780124467;0,00000144763322642019;0,00000001240733883210;0,00000044653925811267;0,00000318670067433012;0,00000146782563529398;0,00000586124565485486;0,00000001168671163966;0,00000001082263445326;0,00000200818388456612;0,00000001050985103825;0,00000001075179549583;0,00000062579331712720
-0,49397545225377131900;0,00000000426249622378;0,00000185344168720132;0,00000115444778910740;0,00000001082190998730;0,00000000191224940558;0,00000001168694757379;0,00000037576360384519;0,00000254956874968563;0,00000144528312976307;0,00000001235816380238;0,00000044583035975065;0,00000318125768882611;0,00000146738445809136;0,00000585574817295312;0,00000001154038189458;0,00000001083452728909;0,00000200495926296052;0,00000001063843536178;0,00000001092779314703;0,00000062543280946423
-0,49197152675169519800;0,00000000426868588466;0,00000185087544518311;0,00000115393317742571;0,00000001082494390120;0,00000000227862465416;0,00000001153754305055;0,00000037529101531773;0,00000254547357775485;0,00000144294127211932;0,00000001230962874527;0,00000044512389138597;0,00000317576532802245;0,00000146678252723827;0,00000585015589126899;0,00000001140471752928;0,00000001084730201117;0,00000200169429841659;0,00000001075802368931;0,00000001108970928922;0,00000062504179379817
-0,48996760124961902200;0,00000000428025452399;0,00000184826526818929;0,00000115334610656324;0,00000001082751702397;0,00000000264191384268;0,00000001139969646103;0,00000037480417031283;0,00000254133228545233;0,00000144060765348892;0,00000001226173366075;0,00000044441985301864;0,00000317022359191913;0,00000146601984273470;0,00000584446880980246;0,00000001127971854374;0,00000001086095861951;0,00000199838899093433;0,00000001086861602084;0,00000001123754392241;0,00000062462027012901
-0,48796367574754284600;0,00000000429720214177;0,00000184561115621988;0,00000115268657652001;0,00000001082962935561;0,00000000300211697116;0,00000001127340780523;0,00000037430306883048;0,00000253714487277808;0,00000143828227387189;0,00000001221447854884;0,00000044371824464866;0,00000316463248051614;0,00000146509640458065;0,00000583868692855352;0,00000001116538493798;0,00000001087549711410;0,00000199504334051375;0,00000001097021235637;0,00000001137129704660;0,00000062416823845676
-0,48595975024546672600;0,00000000431952873799;0,00000184291310927487;0,00000115195458729600;0,00000001083128089611;0,00000000335923403958;0,00000001115867708316;0,00000037378771087069;0,00000253291133973208;0,00000143596513326822;0,00000001216786340953;0,00000044301906627602;0,00000315899199381350;0,00000146401221277612;0,00000583281024752219;0,00000001106171671200;0,00000001089091749495;0,00000199165734715483;0,00000001106281269590;0,00000001149096866179;0,00000062368569878142
-0,48395582474339055000;0,00000000434723431267;0,00000184017112735426;0,00000115115013889121;0,00000001083247164548;0,00000000371326504795;0,00000001105550429482;0,00000037325809643347;0,00000252863168631435;0,00000143365623167792;0,00000001212188824282;0,00000044232231790073;0,00000315330213181120;0,00000146276726732112;0,00000582683876670846;0,00000001096871386579;0,00000001090721976206;0,00000198823101085760;0,00000001114641703944;0,00000001159655876798;0,00000062317265110299
-0,48195189924131443000;0,00000000438031886579;0,00000183738521045805;0,00000115027323130566;0,00000001083320160372;0,00000000406420999626;0,00000001096388944019;0,00000037271422551880;0,00000252430591252488;0,00000143135556910097;0,00000001207655304871;0,00000044162799952278;0,00000314756289450924;0,00000146136156821564;0,00000582077248611233;0,00000001088637639935;0,00000001092440391542;0,00000198476433162203;0,00000001122102538698;0,00000001168806736516;0,00000062262909542147
