Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-04-19_09h49m18s,56m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
09h49m25s,11m;0,000000016605;0,000000009723;0,433889362670;-0,499938586319;0,000000000274;-0,000000000039;0,000003621117;0,000000611708;0,500018809701;-0,002965772265;0,000000014794;-0,000000014030;0,000001270895;0,000001095045;-0,137228588965;0,500018809701;0,000000001999;-0,000000000901;0,000000025272;0,000000005032;0,467956047504;-0,499938586319;0,000000000452;-0,000000000795;0,000000026652;-0,000000003070;0,500018809701;-0,499938586319;0,000000001910;-0,000000000114;0,000000012424;0,000000011071;-0,499938586319;0,500018809701;0,000000000019;-0,000000000138;0,000000702467;0,000000112147;0,500018809701;-0,008977540177;0,000000002909;-0,000000002736;0,000005208988;0,000001515592;0,500018809701;0,007053840922;0,000000017750;-0,000000014928;0,000002697155;0,000000541059;0,500018809701;0,013065608834;0,000000011674;-0,000000010526;0,000000011731;0,000000010235;0,231493176301;0,500018809701;0,000000000080;-0,000000000177;0,000000011956;0,000000011037;-0,499938586319;-0,373691460168;0,000000000037;-0,000000000093;0,000007335270;0,000001943886;0,500018809701;-0,053063838198;0,000000024478;-0,000000022326;0,000003224764;0,000000799865;0,500018809701;-0,029016766550;0,000000011623;-0,000000009708;0,000013045749;0,000004430549;0,500018809701;-0,049055992923;0,000000038132;-0,000000032742;0,000000012489;0,000000010950;0,500018809701;0,459940356955;0,000000000175;-0,000000000017;0,000000011702;0,000000010731;-0,455852288298;-0,499938586319;0,000000000093;-0,000000000101;0,000004134605;0,000000704737;0,500018809701;-0,023004998638;0,000000016666;-0,000000015114;0,000000011903;0,000000011036;-0,369683614894;-0,177307041711;0,000000000108;-0,000000000025;0,000000011888;0,000000010690;-0,499938586319;0,500018809701;0,000000000028;-0,000000000153;0,000001199812;0,000000355885;0,500018809701;-0,023004998638;0,000000003672;-0,000000004039
09h49m32s,87m;0,000000018109;0,000000010216;0,500018809701;-0,499938586319;0,000000000273;-0,000000000029;0,000003720314;0,000000612917;0,500018809701;-0,010981462814;0,000000014720;-0,000000014112;0,000000749611;0,000000619662;-0,147248202152;0,500018809701;0,000000001112;-0,000000000701;0,000000028375;-0,000000005261;0,500018809701;-0,499938586319;0,000000002004;-0,000000000140;0,000000022193;-0,000000010710;0,500018809701;-0,499938586319;0,000000002664;-0,000000000079;0,000000011763;0,000000010600;0,463948202229;0,500018809701;0,000000000020;-0,000000000142;0,000000712372;0,000000109889;0,500018809701;-0,010981462814;0,000000002995;-0,000000002684;0,000005314167;0,000001526905;0,500018809701;0,005049918284;0,000000018017;-0,000000015369;0,000002718989;0,000000535991;0,500018809701;0,015069531471;0,000000011816;-0,000000010573;0,000000012240;0,000000010844;-0,499938586319;-0,131216821053;0,000000000092;-0,000000000097;0,000000011938;0,000000010446;-0,463867978847;-0,499938586319;0,000000000191;-0,000000000032;0,000007467339;0,000001968526;0,500018809701;-0,057071683472;0,000000024733;-0,000000022712;0,000003327657;0,000000826529;0,500018809701;-0,027012843913;0,000000011759;-0,000000009061;0,000013222119;0,000004441071;0,500018809701;-0,047052070286;0,000000038963;-0,000000032932;0,000000011762;0,000000009802;-0,461864056210;-0,499938586319;0,000000000236;-0,000000000021;0,000000011960;0,000000011252;-0,499938586319;-0,465871901485;0,000000000016;-0,000000000096;0,000004156936;0,000000701056;0,500018809701;-0,023004998638;0,000000016453;-0,000000015035;0,000000011796;0,000000010652;-0,021001076001;-0,499938586319;0,000000000093;-0,000000000012;0,000000012299;0,000000010834;-0,499938586319;-0,467875824122;0,000000000041;-0,000000000208;0,000001205927;0,000000356730;0,500018809701;-0,023004998638;0,000000003865;-0,000000004063
09h49m40s,68m;0,000000016937;0,000000009922;0,467956047504;-0,499938586319;0,000000000107;-0,000000000163;0,000003761756;0,000000608969;0,500018809701;-0,008977540177;0,000000014948;-0,000000013892;0,000000629318;0,000000525717;-0,095146213581;-0,499938586319;0,000000000880;-0,000000000545;0,000000024248;-0,000000005203;0,465952124867;-0,499938586319;0,000000001110;-0,000000001046;0,000000026747;-0,000000001790;0,500018809701;-0,499938586319;0,000000001011;-0,000000000070;0,000000011802;0,000000011202;-0,473887592034;-0,185322732261;0,000000000081;-0,000000000025;0,000000717379;0,000000113180;0,500018809701;-0,010981462814;0,000000003037;-0,000000002692;0,000005390892;0,000001539052;0,500018809701;0,007053840922;0,000000018228;-0,000000015907;0,000002729564;0,000000530494;0,500018809701;0,017073454108;0,000000011860;-0,000000010599;0,000000011983;0,000000010531;-0,467875824122;-0,499938586319;0,000000000211;-0,000000000044;0,000000012315;0,000000011066;-0,499938586319;0,421865826846;0,000000000033;-0,000000000163;0,000007510742;0,000001978624;0,500018809701;-0,057071683472;0,000000024451;-0,000000022767;0,000003340117;0,000000838653;0,500018809701;-0,027012843913;0,000000011708;-0,000000009278;0,000013301892;0,000004445814;0,500018809701;-0,045048147649;0,000000039475;-0,000000033257;0,000000011811;0,000000011247;0,500018809701;-0,499938586319;0,000000000077;-0,000000000021;0,000000011852;0,000000010849;-0,413769912914;0,500018809701;0,000000000020;-0,000000000102;0,000004196213;0,000000698478;0,500018809701;-0,021001076001;0,000000016293;-0,000000014994;0,000000011937;0,000000011015;-0,263475715116;-0,499938586319;0,000000000121;-0,000000000024;0,000000011789;0,000000011023;0,373771683550;0,500018809701;0,000000000013;-0,000000000091;0,000001212425;0,000000348486;0,500018809701;-0,016993230726;0,000000003963;-0,000000004167
09h49m48s,49m;0,000000016493;0,000000009427;0,500018809701;-0,499938586319;0,000000000270;-0,000000000022;0,000003732312;0,000000610394;0,500018809701;-0,006973617540;0,000000014939;-0,000000014071;0,000000576873;0,000000488687;-0,101157981493;-0,481903282583;0,000000000894;-0,000000000481;0,000000026470;-0,000000007264;0,500018809701;-0,499938586319;0,000000002206;-0,000000000116;0,000000021491;-0,000000006891;0,423869749483;-0,499938586319;0,000000002162;-0,000000000066;0,000000011857;0,000000010663;0,461944279592;0,500018809701;0,000000000018;-0,000000000141;0,000000711714;0,000000110717;0,500018809701;-0,006973617540;0,000000002893;-0,000000002728;0,000005417157;0,000001542058;0,500018809701;0,009057763559;0,000000018479;-0,000000016035;0,000002752631;0,000000528763;0,500018809701;0,019077376745;0,000000012050;-0,000000010717;0,000000012616;0,000000011021;-0,499938586319;-0,463867978847;0,000000000030;-0,000000000199;0,000000011981;0,000000011079;-0,467875824122;-0,499938586319;0,000000000136;-0,000000000032;0,000007509983;0,000001996425;0,500018809701;-0,055067760835;0,000000024530;-0,000000023065;0,000003364411;0,000000839269;0,500018809701;-0,025008921275;0,000000012236;-0,000000009189;0,000013367312;0,000004459221;0,500018809701;-0,041040302374;0,000000039986;-0,000000033438;0,000000011712;0,000000011001;0,025089144657;0,500018809701;0,000000000032;-0,000000000082;0,000000011916;0,000000011322;-0,499938586319;0,021081299383;0,000000000035;-0,000000000043;0,000004187700;0,000000698328;0,500018809701;-0,018997153363;0,000000016418;-0,000000015125;0,000000011802;0,000000010972;0,241512789487;-0,499938586319;0,000000000074;-0,000000000033;0,000000011907;0,000000011164;-0,499938586319;0,423869749483;0,000000000018;-0,000000000088;0,000001230041;0,000000354476;0,500018809701;-0,016993230726;0,000000004069;-0,000000004281
09h49m56s,31m;0,000000017214;0,000000010595;0,469959970141;-0,467875824122;0,000000000062;-0,000000000238;0,000003728643;0,000000611868;0,500018809701;-0,006973617540;0,000000014990;-0,000000013991;0,000000532886;0,000000461422;-0,115185439955;-0,449840520386;0,000000000710;-0,000000000478;0,000000025641;-0,000000006245;0,500018809701;-0,499938586319;0,000000002176;-0,000000000119;0,000000026631;0,000000000814;0,500018809701;-0,499938586319;0,000000000806;-0,000000000067;0,000000011807;0,000000011260;0,500018809701;-0,179310964349;0,000000000073;-0,000000000022;0,000000711608;0,000000112226;0,500018809701;-0,004969694902;0,000000003082;-0,000000002744;0,000005444925;0,000001542989;0,500018809701;0,009057763559;0,000000018578;-0,000000016213;0,000002742567;0,000000529865;0,500018809701;0,021081299383;0,000000011994;-0,000000010831;0,000000012017;0,000000010635;-0,499938586319;0,500018809701;0,000000000021;-0,000000000168;0,000000012304;0,000000011099;-0,499938586319;0,500018809701;0,000000000032;-0,000000000130;0,000007537832;0,000002009213;0,500018809701;-0,051059915561;0,000000024522;-0,000000023268;0,000003362899;0,000000848305;0,500018809701;-0,025008921275;0,000000011868;-0,000000009394;0,000013401368;0,000004471558;0,500018809701;-0,037032457099;0,000000040492;-0,000000033632;0,000000012025;0,000000011404;0,500018809701;0,113261740699;0,000000000050;-0,000000000015;0,000000011969;0,000000011572;-0,377699305443;0,217465717840;0,000000000025;-0,000000000025;0,000004187908;0,000000699054;0,500018809701;-0,016993230726;0,000000016168;-0,000000015260;0,000000012016;0,000000010778;-0,465871901485;-0,499938586319;0,000000000165;-0,000000000027;0,000000011900;0,000000010662;-0,417777758189;0,500018809701;0,000000000040;-0,000000000155;0,000001231564;0,000000347620;0,500018809701;-0,016993230726;0,000000004253;-0,000000004266
09h50m04s,14m;0,000000017018;0,000000010631;0,500018809701;-0,499938586319;0,000000000160;-0,000000000033;0,000003721223;0,000000609787;0,500018809701;-0,002965772265;0,000000015284;-0,000000014226;0,000000555731;0,000000459709;-0,101157981493;-0,481903282583;0,000000000942;-0,000000000593;0,000000027093;-0,000000004954;0,500018809701;-0,499938586319;0,000000001936;-0,000000000133;0,000000021390;-0,000000005225;0,459940356955;-0,499938586319;0,000000001913;-0,000000000215;0,000000011909;0,000000011097;-0,499938586319;0,500018809701;0,000000000027;-0,000000000118;0,000000716833;0,000000111722;0,500018809701;-0,002965772265;0,000000002931;-0,000000002638;0,000005439896;0,000001537453;0,500018809701;0,011061686196;0,000000018523;-0,000000016267;0,000002728777;0,000000529073;0,500018809701;0,021081299383;0,000000011812;-0,000000010816;0,000000012187;0,000000010833;0,500018809701;0,465952124867;0,000000000189;-0,000000000041;0,000000012078;0,000000010716;-0,417777758189;-0,471883669397;0,000000000061;-0,000000000168;0,000007612938;0,000002033450;0,500018809701;-0,049055992923;0,000000024795;-0,000000022859;0,000003366143;0,000000851190;0,500018809701;-0,023004998638;0,000000011932;-0,000000009361;0,000013433327;0,000004475913;0,500018809701;-0,033024611825;0,000000040960;-0,000000033950;0,000000012108;0,000000010722;-0,499938586319;0,500018809701;0,000000000032;-0,000000000149;0,000000012286;0,000000011215;-0,499938586319;-0,465871901485;0,000000000057;-0,000000000147;0,000004189078;0,000000701181;0,500018809701;-0,014989308089;0,000000016282;-0,000000015020;0,000000011776;0,000000010883;0,215461795202;-0,499938586319;0,000000000099;-0,000000000044;0,000000011892;0,000000010622;-0,499938586319;-0,467875824122;0,000000000040;-0,000000000180;0,000001216555;0,000000353863;0,500018809701;-0,008977540177;0,000000003976;-0,000000004232
09h50m12s,04m;0,000000017190;0,000000010416;0,500018809701;-0,465871901485;0,000000000052;-0,000000000276;0,000003737511;0,000000608694;0,500018809701;-0,000961849628;0,000000015369;-0,000000014194;0,000000553777;0,000000453206;-0,123201130504;-0,499938586319;0,000000000970;-0,000000000666;0,000000023981;-0,000000006580;0,467956047504;-0,499938586319;0,000000001039;-0,000000000685;0,000000027883;-0,000000001700;0,500018809701;-0,499938586319;0,000000001178;-0,000000000060;0,000000011873;0,000000011172;0,500018809701;0,467956047504;0,000000000098;-0,000000000026;0,000000709799;0,000000110992;0,500018809701;0,003045995647;0,000000002959;-0,000000002612;0,000005442678;0,000001536731;0,500018809701;0,011061686196;0,000000018494;-0,000000016378;0,000002736192;0,000000527915;0,500018809701;0,023085222020;0,000000011773;-0,000000010761;0,000000011825;0,000000009693;0,459940356955;0,500018809701;0,000000000057;-0,000000000239;0,000000011781;0,000000010250;-0,461864056210;-0,499938586319;0,000000000176;-0,000000000020;0,000007782301;0,000002135695;0,500018809701;-0,049055992923;0,000000025418;-0,000000022013;0,000003395814;0,000000849669;0,500018809701;-0,021001076001;0,000000012200;-0,000000009352;0,000013475731;0,000004470107;0,500018809701;-0,029016766550;0,000000041294;-0,000000034066;0,000000011687;0,000000010843;0,500018809701;0,467956047504;0,000000000123;-0,000000000031;0,000000011882;0,000000011244;-0,473887592034;-0,421785603464;0,000000000080;-0,000000000031;0,000004170009;0,000000700378;0,500018809701;-0,012985385452;0,000000016118;-0,000000015102;0,000000011865;0,000000010958;0,500018809701;0,073183287953;0,000000000051;-0,000000000017;0,000000012095;0,000000010688;-0,499938586319;-0,463867978847;0,000000000095;-0,000000000179;0,000001217824;0,000000348588;0,500018809701;-0,010981462814;0,000000004189;-0,000000004206
09h50m19s,89m;0,000000018289;0,000000010702;0,500018809701;-0,429801294013;0,000000000278;-0,000000000047;0,000003689353;0,000000610700;0,500018809701;0,001042073010;0,000000015126;-0,000000014168;0,000000565709;0,000000454339;-0,137228588965;-0,477895437309;0,000000001158;-0,000000000825;0,000000027623;-0,000000004628;0,500018809701;-0,499938586319;0,000000001777;-0,000000000115;0,000000021256;-0,000000007728;0,500018809701;-0,499938586319;0,000000002250;-0,000000000075;0,000000011961;0,000000010487;-0,465871901485;-0,499938586319;0,000000000201;-0,000000000037;0,000000710822;0,000000111071;0,500018809701;0,005049918284;0,000000002994;-0,000000002714;0,000005443023;0,000001534175;0,500018809701;0,013065608834;0,000000018737;-0,000000016628;0,000002715349;0,000000526513;0,500018809701;0,025089144657;0,000000011671;-0,000000010837;0,000000013167;0,000000011014;-0,499938586319;0,500018809701;0,000000000022;-0,000000000251;0,000000012090;0,000000010962;0,500018809701;0,465952124867;0,000000000159;-0,000000000035;0,000007809712;0,000002180487;0,500018809701;-0,047052070286;0,000000025319;-0,000000021430;0,000003386902;0,000000851932;0,500018809701;-0,018997153363;0,000000011944;-0,000000009478;0,000013493992;0,000004481418;0,500018809701;-0,027012843913;0,000000041761;-0,000000034618;0,000000011889;0,000000011090;0,469959970141;0,421865826846;0,000000000037;-0,000000000120;0,000000012220;0,000000011353;0,500018809701;-0,277503173577;0,000000000099;-0,000000000013;0,000004168045;0,000000701389;0,500018809701;-0,010981462814;0,000000016228;-0,000000015074;0,000000012129;0,000000011003;-0,499938586319;-0,467875824122;0,000000000033;-0,000000000161;0,000000012479;0,000000010702;0,500018809701;-0,499938586319;0,000000000190;-0,000000000037;0,000001208398;0,000000348972;0,500018809701;-0,008977540177;0,000000004091;-0,000000004307
09h50m27s,80m;0,000000018045;0,000000011014;0,500018809701;-0,465871901485;0,000000000189;-0,000000000066;0,000003680853;0,000000610266;0,500018809701;0,003045995647;0,000000015154;-0,000000013853;0,000000568261;0,000000452554;-0,123201130504;-0,481903282583;0,000000001180;-0,000000000603;0,000000028968;-0,000000003911;0,500018809701;-0,499938586319;0,000000001514;-0,000000000077;0,000000027416;-0,000000001797;0,500018809701;-0,499938586319;0,000000001665;-0,000000000120;0,000000011834;0,000000011428;-0,373691460168;0,465952124867;0,000000000037;-0,000000000016;0,000000706814;0,000000112961;0,500018809701;0,011061686196;0,000000002913;-0,000000002707;0,000005442419;0,000001534481;0,500018809701;0,015069531471;0,000000018539;-0,000000016557;0,000002710298;0,000000527189;0,500018809701;0,027093067295;0,000000011511;-0,000000010794;0,000000013137;0,000000010249;-0,499938586319;0,500018809701;0,000000000036;-0,000000000276;0,000000012325;0,000000011143;0,500018809701;-0,381707150717;0,000000000141;-0,000000000119;0,000007807722;0,000002203396;0,500018809701;-0,047052070286;0,000000025371;-0,000000021086;0,000003372500;0,000000856252;0,500018809701;-0,016993230726;0,000000012062;-0,000000009600;0,000013512050;0,000004490691;0,500018809701;-0,023004998638;0,000000041946;-0,000000035109;0,000000012097;0,000000011091;-0,499938586319;-0,465871901485;0,000000000021;-0,000000000132;0,000000011867;0,000000010652;-0,465871901485;-0,499938586319;0,000000000157;-0,000000000022;0,000004168516;0,000000703680;0,500018809701;-0,006973617540;0,000000016208;-0,000000015010;0,000000011929;0,000000010930;-0,499938586319;-0,467875824122;0,000000000037;-0,000000000155;0,000000012005;0,000000010481;-0,499938586319;-0,469879746759;0,000000000061;-0,000000000241;0,000001221906;0,000000347695;0,500018809701;-0,004969694902;0,000000004375;-0,000000004139
09h50m35s,67m;0,000000017410;0,000000010958;0,500018809701;-0,467875824122;0,000000000106;-0,000000000122;0,000003692419;0,000000609297;0,500018809701;0,005049918284;0,000000015225;-0,000000013842;0,000000579001;0,000000448354;-0,125205053141;-0,499938586319;0,000000001281;-0,000000000685;0,000000023044;0,000000003699;0,475971738053;-0,499938586319;0,000000000454;-0,000000000214;0,000000027048;-0,000000004634;0,500018809701;-0,499938586319;0,000000001862;-0,000000000108;0,000000011684;0,000000011086;-0,379703228080;-0,499938586319;0,000000000075;-0,000000000012;0,000000708208;0,000000110073;0,500018809701;0,013065608834;0,000000002979;-0,000000002759;0,000005431270;0,000001535074;0,500018809701;0,017073454108;0,000000018535;-0,000000016603;0,000002720788;0,000000528203;0,500018809701;0,029096989932;0,000000011732;-0,000000010723;0,000000011857;0,000000010201;0,461944279592;0,500018809701;0,000000000019;-0,000000000196;0,000000011839;0,000000011026;-0,409762067640;-0,469879746759;0,000000000033;-0,000000000104;0,000007818824;0,000002211996;0,500018809701;-0,043044225011;0,000000025532;-0,000000021039;0,000003366037;0,000000853833;0,500018809701;-0,014989308089;0,000000011899;-0,000000009603;0,000013541945;0,000004487395;0,500018809701;-0,021001076001;0,000000042440;-0,000000035440;0,000000011971;0,000000010909;0,500018809701;0,371767760913;0,000000000102;-0,000000000057;0,000000011876;0,000000011069;-0,125205053141;-0,499938586319;0,000000000037;-0,000000000023;0,000004165582;0,000000704787;0,500018809701;-0,004969694902;0,000000016253;-0,000000015010;0,000000012279;0,000000011111;0,500018809701;-0,423789526101;0,000000000122;-0,000000000028;0,000000011830;0,000000009557;-0,459860133573;-0,499938586319;0,000000000255;-0,000000000027;0,000001214311;0,000000349203;0,500018809701;-0,004969694902;0,000000004445;-0,000000004249
