Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE


2025-04-19_14h21m19s,47m
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,49993858631900023300;0,00000001021111935775;0,00000183993892431621;0,00000118934588913209;0,00000001222796110822;0,00000000010106845703;0,00000001153783306420;0,00000040503878980007;0,00000278612380625402;0,00000168858150698021;0,00000001150661589382;0,00000001087941309933;0,00000353746489096338;0,00000159603430620265;0,00000684424576466492;0,00000001201425129135;0,00000001160682628151;0,00000222284687599099;0,00000001130977225890;0,00000001213435264746;0,00000065351219364174
-0,49793466368168559600;0,00000001041112474170;0,00000183246939262462;0,00000118443879984590;0,00000001217214779125;0,00000000183881813282;0,00000001157842316708;0,00000040357016962697;0,00000278100269055350;0,00000168359311504010;0,00000001156578798823;0,00000001100476623637;0,00000352683993692865;0,00000159090641966763;0,00000680974937153599;0,00000001192679987585;0,00000001164013275685;0,00000221628855677137;0,00000001135753894445;0,00000001205607587370;0,00000065105912542774
-0,49593074104437096000;0,00000001059940147834;0,00000182491548329901;0,00000117951003137001;0,00000001211892326511;0,00000000348484725112;0,00000001161577999393;0,00000040207959277871;0,00000277570033133006;0,00000167853353012499;0,00000001162099020890;0,00000001112270930891;0,00000351614147394293;0,00000158578341849106;0,00000677576215975010;0,00000001184479436683;0,00000001167101452023;0,00000220961061324012;0,00000001140269740032;0,00000001198252326934;0,00000064860820748590
-0,49392681840705632300;0,00000001077594956770;0,00000181727719633938;0,00000117455958370441;0,00000001206828752981;0,00000000503915581192;0,00000001164990354473;0,00000040056705925529;0,00000277021672858371;0,00000167340275223490;0,00000001167222255584;0,00000001123324231696;0,00000350536950200622;0,00000158066530267295;0,00000674228412930724;0,00000001176823476429;0,00000001169947157165;0,00000220281304539727;0,00000001144524762654;0,00000001191369483438;0,00000064615943981621
-0,49192289576974174100;0,00000001094076900976;0,00000180955453174572;0,00000116958745684909;0,00000001202024058534;0,00000000650174381524;0,00000001168079381949;0,00000039903256905672;0,00000276455188231443;0,00000166820078136982;0,00000001171948502905;0,00000001133636526052;0,00000349452402111853;0,00000157555207221329;0,00000670931528020742;0,00000001169712106825;0,00000001172550391112;0,00000219589585324280;0,00000001148518962308;0,00000001184959056882;0,00000064371282241868
-0,48991897313242710500;0,00000001109385980452;0,00000180174748951804;0,00000116459365080406;0,00000001197478243170;0,00000000787261126106;0,00000001170845081820;0,00000039747612218300;0,00000275870579252223;0,00000166292761752975;0,00000001176277762853;0,00000001143207813958;0,00000348360503127984;0,00000157044372711208;0,00000667685561245063;0,00000001163145327869;0,00000001174911153863;0,00000218885903677671;0,00000001152252338996;0,00000001179021047265;0,00000064126835529330
-0,48791505049511246800;0,00000001123522195199;0,00000179385606965634;0,00000115957816556932;0,00000001193191306890;0,00000000915175814940;0,00000001173287454088;0,00000039589771863412;0,00000275267845920712;0,00000165758326071469;0,00000001180210035428;0,00000001152038095415;0,00000347261253249017;0,00000156534026736932;0,00000664490512603688;0,00000001157123139562;0,00000001177029445419;0,00000218170259599901;0,00000001155724892717;0,00000001173555454589;0,00000063882603844007
-0,48591112785779783100;0,00000001136485545216;0,00000178588027216062;0,00000115454100114487;0,00000001189163249694;0,00000001033918448024;0,00000001175406498751;0,00000039429735841009;0,00000274646988236908;0,00000165216771092465;0,00000001183745320631;0,00000001160127370423;0,00000346154652474951;0,00000156024169298501;0,00000661346382096616;0,00000001151645541903;0,00000001178905265779;0,00000217442653090969;0,00000001158936623472;0,00000001168562278852;0,00000063638587185899
-0,48390720522048319400;0,00000001148276030504;0,00000177782009703088;0,00000114948215753071;0,00000001185394071581;0,00000001143489025360;0,00000001177202215809;0,00000039267504151090;0,00000274008006200812;0,00000164668096815961;0,00000001186883618460;0,00000001167475638981;0,00000345040700805787;0,00000155514800395916;0,00000658253169723848;0,00000001146712534893;0,00000001180538614943;0,00000216703084150875;0,00000001161887531259;0,00000001164041520055;0,00000063394785555007
-0,48190328258316855700;0,00000001158893651063;0,00000176967554426711;0,00000114440163472683;0,00000001181883772551;0,00000001243887546946;0,00000001178674605264;0,00000039103076793655;0,00000273350899812424;0,00000164112303241959;0,00000001189624928916;0,00000001174082901089;0,00000343919398241523;0,00000155005920029175;0,00000655210875485383;0,00000001142324118532;0,00000001181929492912;0,00000215951552779620;0,00000001164577616081;0,00000001159993178198;0,00000063151198951330
-0,47989935994585392000;0,00000001168338406892;0,00000176144661386932;0,00000113929943273324;0,00000001178632352605;0,00000001335114012783;0,00000001179823667114;0,00000038936453768705;0,00000272675669071745;0,00000163549390370459;0,00000001191969251999;0,00000001179949156749;0,00000342790744782161;0,00000154497528198280;0,00000652219499381222;0,00000001138480292819;0,00000001183077899685;0,00000215188058977204;0,00000001167006877935;0,00000001156417253281;0,00000062907827374868
