Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000741406000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499987228760000  To 0,499971596776001 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE


2025-04-20_14h32m42s,06m
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,49998722875999979100;0,00000066100807380449;0,00000001216935706062;0,00000114610252840645;0,00000000866890976238;0,00000170455728979892;0,00000001142971678180;0,00000221692667932432;0,00000017981320369039;0,00000188253244170427;0,00000080343557311825;0,00000136374661005402;0,00000162875087510507;0,00000162871600592558;0,00000343348927284002;0,00000001095727781441;0,00000001162661248024;0,00000001001150423380;0,00000172788725642174;0,00000944851877036927;0,00000001253828246148
-0,49798330325792361500;0,00000066276763865353;0,00000001191474512699;0,00000114348558930337;0,00000000890185996318;0,00000170145117838946;0,00000001139975075572;0,00000221304659908549;0,00000017967472919317;0,00000188059727054445;0,00000080105291584775;0,00000136161992134735;0,00000162486570525209;0,00000162476756099944;0,00000342816103313035;0,00000001092522856243;0,00000001144121179400;0,00000001012467839684;0,00000172503478848220;0,00000943643995126796;0,00000001224000085045
-0,49597937775584749500;0,00000066445232631415;0,00000001167717902442;0,00000114083011092733;0,00000000912241866304;0,00000169829171385484;0,00000001137183994022;0,00000220912267994248;0,00000017952547177644;0,00000187854270404075;0,00000079866501992943;0,00000135945928027368;0,00000162094768038210;0,00000162078445902954;0,00000342271599671789;0,00000001089489155555;0,00000001126861552107;0,00000001023173492767;0,00000172214071902609;0,00000942420036446324;0,00000001196020026207
-0,49397545225377131900;0,00000066606213678635;0,00000001145665875291;0,00000113813609327835;0,00000000933058586194;0,00000169507889619504;0,00000001134598433528;0,00000220515492189527;0,00000017936543144019;0,00000187636874219318;0,00000079627188536327;0,00000135726468683300;0,00000161699680049510;0,00000161676670001587;0,00000341715416360264;0,00000001086626679376;0,00000001110882366145;0,00000001033267382630;0,00000171920504805341;0,00000941180000995510;0,00000001169888069633
-0,49197152675169519800;0,00000066759707007012;0,00000001125318431245;0,00000113540353635642;0,00000000952636155990;0,00000169181272541008;0,00000001132218394091;0,00000220114332494386;0,00000017919460818442;0,00000187407538500175;0,00000079387351214928;0,00000135503614102532;0,00000161301306559109;0,00000161271428395844;0,00000341147553378459;0,00000001083935427706;0,00000001096183621515;0,00000001042749509273;0,00000171622777556416;0,00000939923888774354;0,00000001145604215325
-0,48996760124961902200;0,00000066905712616546;0,00000001106675570306;0,00000113263244016153;0,00000000970974575691;0,00000168849320149996;0,00000001130043875712;0,00000219708788908827;0,00000017901300200914;0,00000187166263246643;0,00000079146990028745;0,00000135277364285062;0,00000160899647567008;0,00000160862721085725;0,00000340568010726374;0,00000001081415400546;0,00000001082765318216;0,00000001051619872694;0,00000171320890155834;0,00000938651699782856;0,00000001123168463281
-0,48796367574754284600;0,00000067044230507238;0,00000001089737292472;0,00000112982280469370;0,00000000988073845297;0,00000168512032446466;0,00000001128074878389;0,00000219298861432848;0,00000017882061291434;0,00000186913048458725;0,00000078906104977779;0,00000135047719230893;0,00000160494703073205;0,00000160450548071229;0,00000339976788404010;0,00000001079066597894;0,00000001070627456248;0,00000001059878472896;0,00000171014842603596;0,00000937363434021017;0,00000001102580813503
-0,48595975024546672600;0,00000067175260679087;0,00000001074503597743;0,00000112697462995291;0,00000001003933964808;0,00000168169409430420;0,00000001126311402124;0,00000218884550066450;0,00000017861744090002;0,00000186647894136420;0,00000078664696062030;0,00000134814678940022;0,00000160086473077701;0,00000160034909352357;0,00000339373886411367;0,00000001076889019752;0,00000001059770035612;0,00000001067525309877;0,00000170704634899701;0,00000936059091488836;0,00000001083841265989
-0,48395582474339055000;0,00000067298803132094;0,00000001060974486121;0,00000112408791593918;0,00000001018554934224;0,00000167821451101857;0,00000001124753446915;0,00000218465854809632;0,00000017840348596619;0,00000186370800279727;0,00000078422763281498;0,00000134578243412451;0,00000159674957580496;0,00000159615804929109;0,00000338759304748444;0,00000001074882666119;0,00000001050193056307;0,00000001074560383637;0,00000170390267044148;0,00000934738672186313;0,00000001066949820740
-0,48195189924131443000;0,00000067414857866259;0,00000001049149957605;0,00000112116266265249;0,00000001031936753545;0,00000167468157460777;0,00000001123401012763;0,00000218042775662395;0,00000017817874811284;0,00000186081766888647;0,00000078180306636182;0,00000134338412648180;0,00000159260156581591;0,00000159193234801484;0,00000338133043415242;0,00000001073047536995;0,00000001041896518334;0,00000001080983694177;0,00000170071739036939;0,00000933402176113448;0,00000001051906477756
-0,47994797373923825400;0,00000067523424881581;0,00000001039030012194;0,00000111819887009286;0,00000001044079422771;0,00000167109528507180;0,00000001122254099669;0,00000217615312624738;0,00000017794322733997;0,00000185780793963180;0,00000077937326126084;0,00000134095186647208;0,00000158842070080984;0,00000158767198969483;0,00000337495102411760;0,00000001071383632380;0,00000001034880421692;0,00000001086795241496;0,00000169749050878073;0,00000932049603270242;0,00000001038711237038
-0,47794404823716213300;0,00000067624504178060;0,00000001030614649889;0,00000111519653826027;0,00000001054982941903;0,00000166745564241067;0,00000001121312707631;0,00000217183465696663;0,00000017769692364759;0,00000185467881503326;0,00000077693821751201;0,00000133848565409535;0,00000158420698078677;0,00000158337697433106;0,00000336845481737999;0,00000001069890952275;0,00000001029144766382;0,00000001091995025595;0,00000169422202567551;0,00000930680953656694;0,00000001027364098584
