Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE


2025-04-19_11h49m55s,90m
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,49993858631900023300;0,00000058380607730826;0,00000001349584111641;0,00000102153960416506;0,00000001110967851371;0,00000082632762519086;0,00000001262044372440;0,00000223690055549852;0,00000018070534322590;0,00000183700728283559;0,00000053093314269534;0,00000133055826980750;0,00000121068291203094;0,00000121375639970064;0,00000411475610755381;0,00000001084148328231;0,00000001250959039955;0,00000001166604023963;0,00000153547672074729;0,00001101028464533091;0,00000001179659430204
-0,49793466368168559600;0,00000058361231389952;0,00000001326012633200;0,00000101519731226378;0,00000001127448075508;0,00000082626513285901;0,00000001249562921249;0,00000222615773591894;0,00000017982079109158;0,00000182824128029819;0,00000053093340381518;0,00000132425472325729;0,00000120635492700197;0,00000120856084093464;0,00000409364763351521;0,00000001096363306757;0,00000001233190259581;0,00000001172282598343;0,00000153201180560598;0,00001097194137753991;0,00000001183564034109
-0,49593074104437096000;0,00000058342327474669;0,00000001303766069887;0,00000100883319365378;0,00000001142928445488;0,00000082621568648564;0,00000001237815509483;0,00000221533947426933;0,00000017892214444965;0,00000181944298194159;0,00000053093984846783;0,00000131793972386653;0,00000120207718920072;0,00000120345833337045;0,00000407291763051732;0,00000001107836293729;0,00000001216519482256;0,00000001177491705308;0,00000152844791301313;0,00001093306107774075;0,00000001187119056180
-0,49392681840705632300;0,00000058323895984977;0,00000001282844421703;0,00000100244724833507;0,00000001157408961310;0,00000082617928607077;0,00000001226802137140;0,00000220444577054971;0,00000017800940330011;0,00000181061238776577;0,00000053095247665327;0,00000131161327163520;0,00000119784969862719;0,00000119844887700809;0,00000405256609856016;0,00000001118567289147;0,00000001200946707979;0,00000001182231344858;0,00000152478504296876;0,00001089364374593343;0,00000001190324496418
-0,49192289576974174100;0,00000058305936920877;0,00000001263247688648;0,00000099603947630764;0,00000001170889622974;0,00000082615593161438;0,00000001216522804221;0,00000219347662476006;0,00000017708256764296;0,00000180174949777075;0,00000053097128837151;0,00000130527536656331;0,00000119367245528137;0,00000119353247184755;0,00000403259303764371;0,00000001128556293012;0,00000001186471936752;0,00000001186501516993;0,00000152102319547285;0,00001085368938211796;0,00000001193180354824
-0,48991897313242710500;0,00000058288450282369;0,00000001244975870721;0,00000098960987757150;0,00000001183370430480;0,00000082614562311648;0,00000001206977510726;0,00000218243203690039;0,00000017614163747821;0,00000179285431195651;0,00000053099628362255;0,00000129892600865086;0,00000118954545916328;0,00000118870911788883;0,00000401299844776798;0,00000001137803305324;0,00000001173095168573;0,00000001190302221714;0,00000151716237052542;0,00001081319798629434;0,00000001195686631396
-0,48791505049511246800;0,00000058271436069452;0,00000001228028967923;0,00000098315845212664;0,00000001194851383828;0,00000082614836057708;0,00000001198166256656;0,00000217131200697070;0,00000017518661280585;0,00000178392683032306;0,00000053102746240639;0,00000129256519789785;0,00000118546871027290;0,00000118397881513193;0,00000399378232893296;0,00000001146308326081;0,00000001160816403443;0,00000001193633459019;0,00000151320256812645;0,00001077216955846256;0,00000001197843326135
-0,48591112785779783100;0,00000058254894282126;0,00000001212406980253;0,00000097668519997306;0,00000001205332483019;0,00000082616414399616;0,00000001190089042009;0,00000216011653497099;0,00000017421749362588;0,00000177496705287041;0,00000053106482472303;0,00000128619293430428;0,00000118144220861023;0,00000117934156357685;0,00000397494468113867;0,00000001154071355285;0,00000001149635641363;0,00000001196495228910;0,00000150914378827596;0,00001073060409862262;0,00000001199650439042
-0,48390720522048319400;0,00000058238824920392;0,00000001198109907711;0,00000097019012111076;0,00000001214813728051;0,00000082619297337373;0,00000001182745866786;0,00000214884562090125;0,00000017323427993831;0,00000176597497959854;0,00000053110837057247;0,00000127980921787015;0,00000117746595417529;0,00000117479736322360;0,00000395648550438509;0,00000001161092392935;0,00000001139552882331;0,00000001198887531386;0,00000150498603097393;0,00001068850160677453;0,00000001201107970115
-0,48190328258316855700;0,00000058223227984250;0,00000001185137750298;0,00000096367321553975;0,00000001223295118925;0,00000082623484870979;0,00000001176136730987;0,00000213749926476150;0,00000017223697174312;0,00000175695061050747;0,00000053115809995470;0,00000127341404859546;0,00000117353994696806;0,00000117034621407217;0,00000393840479867223;0,00000001167371439032;0,00000001130568126348;0,00000001200810366446;0,00000150072929622037;0,00001064586208291828;0,00000001202215919356
-0,47989935994585392000;0,00000058208103473699;0,00000001173490508014;0,00000095713448326002;0,00000001230776655642;0,00000082628977000434;0,00000001170261634613;0,00000212607746655172;0,00000017122556904033;0,00000174789394559718;0,00000053121401286974;0,00000126700742648021;0,00000116966418698855;0,00000116598811612256;0,00000392070256400009;0,00000001172908493575;0,00000001122681373415;0,00000001202263734092;0,00000149637358401529;0,00001060268552705388;0,00000001202974286763
-0,47789543730853928400;0,00000058193451388740;0,00000001163168180858;0,00000095057392427158;0,00000001237258338200;0,00000082635773725738;0,00000001165120577662;0,00000211458022627192;0,00000017020007182994;0,00000173880498486768;0,00000053127610931757;0,00000126058935152440;0,00000116583867423676;0,00000116172306937477;0,00000390337880036866;0,00000001177703556564;0,00000001115892623530;0,00000001203247634323;0,00000149191889435867;0,00001055897193918132;0,00000001203383072337
-0,47589151467122470200;0,00000058179271729372;0,00000001154170768831;0,00000094399153857442;0,00000001242740166601;0,00000082643875046890;0,00000001160713560135;0,00000210300754392210;0,00000016916048011193;0,00000172968372831898;0,00000053134438929820;0,00000125415982372803;0,00000116206340871269;0,00000115755107382880;0,00000388643350777795;0,00000001181756628000;0,00000001110201876694;0,00000001203762067139;0,00000148736522725052;0,00001051472131930061;0,00000001203442276079
