Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000741406000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499987228760000  To 0,499971596776001 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE


2025-04-20_15h47m24s,44m
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,49998722875999979100;0,00000033398012670480;0,00000078242493451076;0,00000071239756357190;0,00000000799614995673;0,00000001058628465545;-0,00000020801063370297;0,00000165770070340966;0,00000163042862187412;0,00000001131925820923;0,00000002317585832608;0,00000240134833233754;0,00000089617274639563;0,00000307930268890207;0,00000136615240740189;0,00000208794318287919;0,00000192527117837385;0,00000105139296903062;0,00000001031976079951;0,00000456060730988163;0,00000700237476287748
-0,49798330325792361500;0,00000033403131293950;0,00000078103036849208;0,00000071514424168744;0,00000000822413289292;0,00000001054649671073;-0,00000020717359638413;0,00000165395105529437;0,00000162824301258058;0,00000001132400147558;0,00000002302891842920;0,00000239761826613741;0,00000089419778275804;0,00000307356075434017;0,00000136388374058740;0,00000208302391033750;0,00000192016235348533;0,00000104972359383855;0,00000001032163623408;0,00000455848046107030;0,00000701065211666969
-0,49597937775584749500;0,00000033406225368660;0,00000077962647523442;0,00000071777298550401;0,00000000844017188977;0,00000001050879023487;-0,00000020632878726187;0,00000165017782204137;0,00000162600022516340;0,00000001132597925227;0,00000002289250784319;0,00000239381906461367;0,00000089219766496234;0,00000306774704274765;0,00000136156364813850;0,00000207808552961352;0,00000191501861894153;0,00000104804365605335;0,00000001032508929112;0,00000455618743724235;0,00000701856028702263
-0,49397545225377131900;0,00000033407294894609;0,00000077821325473777;0,00000072028379502160;0,00000000864426694729;0,00000001047316522787;-0,00000020547620633619;0,00000164638100365065;0,00000162370025962259;0,00000001132519153928;0,00000002276662656805;0,00000238995072776632;0,00000089017239300853;0,00000306186155412449;0,00000135919213005516;0,00000207312804070723;0,00000190983997474246;0,00000104635315567502;0,00000001033011997064;0,00000455372823839777;0,00000702609927393628
-0,49197152675169519800;0,00000033406339871798;0,00000077679070700215;0,00000072267667024021;0,00000000883641806546;0,00000001043962168974;-0,00000020461585360709;0,00000164256060012223;0,00000162134311595814;0,00000001132163833663;0,00000002265127460380;0,00000238601325559536;0,00000088812196689660;0,00000305590428847072;0,00000135676918633740;0,00000206815144361864;0,00000190462642088811;0,00000104465209270356;0,00000001033672827263;0,00000455110286453655;0,00000703326907741066
-0,48996760124961902200;0,00000033403360300225;0,00000077535883202755;0,00000072495161115984;0,00000000901662524429;0,00000001040815962047;-0,00000020374772907458;0,00000163871661145609;0,00000161892879417006;0,00000001131531964430;0,00000002254645195041;0,00000238200664810079;0,00000088604638662656;0,00000304987524578631;0,00000135429481698522;0,00000206315573834774;0,00000189937795737849;0,00000104294046713897;0,00000001034491419709;0,00000454831131565871;0,00000704006969744575
-0,48796367574754284600;0,00000033398356179892;0,00000077391762981397;0,00000072710861778050;0,00000000918488848379;0,00000001037877902007;-0,00000020287183273864;0,00000163484903765224;0,00000161645729425834;0,00000001130623546231;0,00000002245215860791;0,00000237793090528261;0,00000088394565219841;0,00000304377442607128;0,00000135176902199861;0,00000205814092489455;0,00000189409458421360;0,00000104121827898126;0,00000001035467774402;0,00000454535359176424;0,00000704650113404157
-0,48595975024546672600;0,00000033391327510799;0,00000077246710036141;0,00000072914769010219;0,00000000934120778394;0,00000001035147988853;-0,00000020198816459929;0,00000163095787871068;0,00000161392861622299;0,00000001129438579065;0,00000002236839457628;0,00000237378602714083;0,00000088181976361215;0,00000303760182932563;0,00000134919180137757;0,00000205310700325905;0,00000188877630139343;0,00000103948552823042;0,00000001036601891343;0,00000454222969285314;0,00000705256338719811
-0,48395582474339055000;0,00000033382274292944;0,00000077100724366987;0,00000073106882812490;0,00000000948558314475;0,00000001032626222586;-0,00000020109672465651;0,00000162704313463140;0,00000161134276006400;0,00000001127977062932;0,00000002229515985552;0,00000236957201367544;0,00000087966872086777;0,00000303135745554935;0,00000134656315512211;0,00000204805397344125;0,00000188342310891799;0,00000103774221488645;0,00000001037893770531;0,00000453893961892540;0,00000705825645691536
-0,48195189924131443000;0,00000033371196526329;0,00000076953805973934;0,00000073287203184863;0,00000000961801456623;0,00000001030312603205;-0,00000020019751291032;0,00000162310480541442;0,00000160869972578138;0,00000001126238997832;0,00000002223245444564;0,00000236528886488644;0,00000087749252396529;0,00000302504130474244;0,00000134388308323223;0,00000204298183544115;0,00000187803500678728;0,00000103598833894936;0,00000001039343411967;0,00000453548336998104;0,00000706358034319334
-0,47994797373923825400;0,00000033358094210953;0,00000076805954856984;0,00000073455730127339;0,00000000973850204836;0,00000001028207130711;-0,00000019929052936071;0,00000161914289105972;0,00000160599951337513;0,00000001124224383764;0,00000002218027834664;0,00000236093658077383;0,00000087529117290469;0,00000301865337690491;0,00000134115158570792;0,00000203789058925875;0,00000187261199500129;0,00000103422390041913;0,00000001040950815650;0,00000453186094602005;0,00000706853504603203
-0,47794404823716213300;0,00000033342967346816;0,00000076657171016136;0,00000073612463639917;0,00000000984704559116;0,00000001026309805103;-0,00000019837577400768;0,00000161515739156731;0,00000160324212284524;0,00000001121933220730;0,00000002213863155851;0,00000235651516133761;0,00000087306466768597;0,00000301219367203675;0,00000133836866254918;0,00000203278023489405;0,00000186715407356002;0,00000103244889929578;0,00000001042715981580;0,00000452807234704243;0,00000707312056543145
-0,47594012273508595700;0,00000033325815933918;0,00000076507454451390;0,00000073757403722597;0,00000000994364519461;0,00000001024620626381;-0,00000019745324685123;0,00000161114830693719;0,00000160042755419171;0,00000001119365508729;0,00000002210751408125;0,00000235202460657779;0,00000087081300830915;0,00000300566219013796;0,00000133553431375602;0,00000202765077234704;0,00000186166124246349;0,00000103066333557930;0,00000001044638909757;0,00000452411757304818;0,00000707733690139158
-0,47393619723300978200;0,00000033306639972260;0,00000076356805162746;0,00000073890550375380;0,00000001002830085873;0,00000001023139594546;-0,00000019652294789136;0,00000160711563716936;0,00000159755580741455;0,00000001116521247761;0,00000002208692591488;0,00000234746491649435;0,00000086853619477421;0,00000299905893120856;0,00000133264853932843;0,00000202250220161773;0,00000185613350171168;0,00000102886720926970;0,00000001046719600181;0,00000451999662403730;0,00000708118405391244
-0,47193227173093366100;0,00000033285439461841;0,00000076205223150204;0,00000074011903598265;0,00000001010101258350;0,00000001021866709597;-0,00000019558487712807;0,00000160305938226382;0,00000159462688251375;0,00000001113400437826;0,00000002207686705937;0,00000234283609108731;0,00000086623422708117;0,00000299238389524852;0,00000132971133926642;0,00000201733452270612;0,00000185057085130459;0,00000102706052036696;0,00000001048958052853;0,00000451570950000980;0,00000708466202299401
