Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-04-19_07h21m40s,36m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
07h21m46s,83m;0,000000619917;0,000000375249;-0,497934663682;0,125285276523;0,000000001789;-0,000000001603;0,000001336600;0,000001253614;-0,191334500173;0,500018809701;0,000000000264;-0,000000000448;0,000001216570;0,000000730143;0,500018809701;0,007053840922;0,000000004317;-0,000000002696;0,000000012050;0,000000010004;0,500018809701;-0,499938586319;0,000000000121;-0,000000000005;0,000000011700;0,000000011227;-0,265479637753;-0,499938586319;0,000000000013;-0,000000000004;0,000000441494;-0,000000010201;0,500018809701;-0,499938586319;0,000000002240;0,000000000177;0,000003292228;0,000000531676;0,500018809701;0,017073454108;0,000000013385;-0,000000011784;0,000003070509;0,000000617832;0,500018809701;0,041120525756;0,000000013476;-0,000000011140;0,000000011898;0,000000011644;-0,127208975778;0,413850136296;0,000000000009;-0,000000000018;0,000000039316;0,000000017715;0,500018809701;0,015069531471;0,000000000240;-0,000000000163;0,000005041200;0,000000946097;0,500018809701;-0,000961849628;0,000000021167;-0,000000016989;0,000001751207;0,000000326959;0,500018809701;0,027093067295;0,000000007815;-0,000000006650;0,000006661850;0,000001123346;0,500018809701;-0,000961849628;0,000000026976;-0,000000020542;0,000003190632;0,000000709521;0,500018809701;-0,023004998638;0,000000011963;-0,000000008186;0,000004696743;0,000000968701;0,500018809701;-0,021001076001;0,000000017629;-0,000000014277;0,000005065468;0,000000777309;0,500018809701;-0,029016766550;0,000000019319;-0,000000016008;0,000002291700;0,000000436819;0,500018809701;0,003045995647;0,000000009258;-0,000000007444;0,000000012060;0,000000011609;0,500018809701;-0,075106987208;0,000000000049;-0,000000000005;0,000005496023;0,000005034492;-0,149252124789;0,500018809701;0,000000004084;-0,000000002523;0,000010030461;0,000009771769;-0,313573781049;0,500018809701;0,000000000705;-0,000000001316
07h21m54s,77m;0,000000689526;0,000000338161;0,500018809701;0,071179365316;0,000000002469;-0,000000001653;0,000001108618;0,000000973800;-0,189330577535;0,500018809701;0,000000000578;-0,000000000811;0,000001241089;0,000000726640;0,500018809701;-0,004969694902;0,000000003747;-0,000000002708;0,000000012682;0,000000011538;-0,499938586319;0,131297044435;0,000000000048;-0,000000000091;0,000000011840;0,000000010124;0,479979583328;-0,499938586319;0,000000000132;-0,000000000010;0,000000445021;-0,000000011387;0,500018809701;-0,499938586319;0,000000002066;0,000000000171;0,000003324835;0,000000534963;0,500018809701;0,013065608834;0,000000013368;-0,000000011751;0,000003138068;0,000000616049;0,500018809701;0,037112680481;0,000000013711;-0,000000011312;0,000000011888;0,000000011656;-0,491922895770;0,213457872565;0,000000000005;-0,000000000006;0,000000039377;0,000000017759;0,500018809701;-0,175303119074;0,000000000207;-0,000000000185;0,000005225383;0,000000937172;0,500018809701;-0,008977540177;0,000000021605;-0,000000017493;0,000001789461;0,000000324942;0,500018809701;0,021081299383;0,000000007622;-0,000000006314;0,000006844936;0,000001118265;0,500018809701;-0,010981462814;0,000000027504;-0,000000020944;0,000003282678;0,000000692507;0,500018809701;-0,031020689187;0,000000012256;-0,000000008475;0,000004779439;0,000000962347;0,500018809701;-0,029016766550;0,000000017442;-0,000000014454;0,000005118023;0,000000772554;0,500018809701;-0,035028534462;0,000000019432;-0,000000016150;0,000002302765;0,000000433929;0,500018809701;-0,002965772265;0,000000009297;-0,000000007645;0,000000011881;0,000000011577;-0,455852288298;-0,499938586319;0,000000000028;-0,000000000007;0,000009347269;0,000002527885;0,500018809701;0,017073454108;0,000000039973;-0,000000030969;0,000011100607;0,000007297141;0,500018809701;0,003045995647;0,000000021354;-0,000000018290
07h22m02s,74m;0,000000724215;0,000000325689;0,500018809701;0,051140138943;0,000000002379;-0,000000001751;0,000001511744;0,000000318262;0,500018809701;0,015069531471;0,000000006296;-0,000000005601;0,000001250167;0,000000724639;0,500018809701;-0,006973617540;0,000000004359;-0,000000002731;0,000000013138;0,000000010492;0,500018809701;-0,499938586319;0,000000000145;-0,000000000006;0,000000012475;0,000000011349;0,500018809701;-0,499938586319;0,000000000025;-0,000000000006;0,000000445375;-0,000000010921;0,500018809701;-0,499938586319;0,000000002076;0,000000000179;0,000003332096;0,000000536996;0,500018809701;0,011061686196;0,000000013460;-0,000000011799;0,000003172933;0,000000616711;0,500018809701;0,037112680481;0,000000013809;-0,000000011533;0,000000011877;0,000000011610;-0,467875824122;-0,499938586319;0,000000000040;-0,000000000010;0,000000041271;0,000000017914;0,500018809701;0,049136216305;0,000000000190;-0,000000000109;0,000005265892;0,000000936186;0,500018809701;-0,010981462814;0,000000021710;-0,000000017464;0,000001784225;0,000000320015;0,500018809701;0,015069531471;0,000000007844;-0,000000006778;0,000006895139;0,000001114111;0,500018809701;-0,012985385452;0,000000027599;-0,000000020939;0,000003310062;0,000000685978;0,500018809701;-0,031020689187;0,000000012387;-0,000000008644;0,000004775008;0,000000957079;0,500018809701;-0,029016766550;0,000000017925;-0,000000014615;0,000005154933;0,000000777292;0,500018809701;-0,037032457099;0,000000019260;-0,000000016135;0,000002291720;0,000000433706;0,500018809701;-0,004969694902;0,000000009273;-0,000000007576;0,000000011776;0,000000011665;-0,341628697971;0,015069531471;0,000000000004;-0,000000000003;0,000009622990;0,000002582295;0,500018809701;0,023085222020;0,000000042818;-0,000000032305;0,000010862503;0,000006751252;0,500018809701;0,001042073010;0,000000023163;-0,000000019922
07h22m10s,70m;0,000000741102;0,000000319816;0,500018809701;0,041120525756;0,000000002518;-0,000000001709;0,000001533753;0,000000317781;0,500018809701;0,011061686196;0,000000006449;-0,000000005458;0,000001244416;0,000000726163;0,500018809701;-0,002965772265;0,000000003563;-0,000000002772;0,000000016489;0,000000012308;0,500018809701;-0,499938586319;0,000000000278;-0,000000000053;0,000000016404;0,000000014354;0,500018809701;-0,499938586319;0,000000000039;-0,000000000021;0,000000449215;-0,000000011005;0,500018809701;-0,499938586319;0,000000002022;0,000000000173;0,000003340001;0,000000537136;0,500018809701;0,011061686196;0,000000013437;-0,000000011744;0,000003185419;0,000000617624;0,500018809701;0,037112680481;0,000000013972;-0,000000011365;0,000000011766;0,000000011610;0,175383342456;0,023085222020;0,000000000003;-0,000000000003;0,000000039875;0,000000017720;0,500018809701;0,043124448393;0,000000000283;-0,000000000113;0,000005292022;0,000000934623;0,500018809701;-0,010981462814;0,000000021820;-0,000000017717;0,000001795933;0,000000321818;0,500018809701;0,017073454108;0,000000007881;-0,000000006855;0,000006906887;0,000001112134;0,500018809701;-0,012985385452;0,000000027692;-0,000000021322;0,000003323289;0,000000679183;0,500018809701;-0,029016766550;0,000000012438;-0,000000008669;0,000004791302;0,000000952510;0,500018809701;-0,029016766550;0,000000017931;-0,000000014698;0,000005115968;0,000000776860;0,500018809701;-0,037032457099;0,000000019025;-0,000000016213;0,000002290710;0,000000431757;0,500018809701;-0,002965772265;0,000000009302;-0,000000007734;0,000000011875;0,000000011661;-0,233416875556;-0,327601239510;0,000000000008;-0,000000000006;0,000009572320;0,000002577176;0,500018809701;0,023085222020;0,000000042965;-0,000000032790;0,000010819173;0,000006582570;0,500018809701;0,001042073010;0,000000023763;-0,000000020816
07h22m18s,65m;0,000000761081;0,000000313963;0,500018809701;0,035108757844;0,000000002597;-0,000000001782;0,000001531222;0,000000318614;0,500018809701;0,009057763559;0,000000006551;-0,000000005558;0,000001230881;0,000000721271;0,500018809701;-0,000961849628;0,000000003525;-0,000000002776;0,000000020127;0,000000014744;0,417857981571;0,031100912569;0,000000000364;-0,000000000232;0,000000016876;0,000000014412;0,467956047504;-0,193338422810;0,000000000070;-0,000000000077;0,000000454049;-0,000000010675;0,500018809701;-0,499938586319;0,000000002211;0,000000000189;0,000003347036;0,000000538505;0,500018809701;0,011061686196;0,000000013499;-0,000000011762;0,000003187986;0,000000619914;0,500018809701;0,037112680481;0,000000013937;-0,000000011378;0,000000011873;0,000000011624;0,500018809701;0,419861904208;0,000000000011;-0,000000000002;0,000000034212;0,000000016650;0,500018809701;0,059155829492;0,000000000168;-0,000000000220;0,000005311391;0,000000932175;0,500018809701;-0,010981462814;0,000000021785;-0,000000017918;0,000001782995;0,000000323762;0,500018809701;0,017073454108;0,000000007937;-0,000000006651;0,000006933908;0,000001111754;0,500018809701;-0,012985385452;0,000000027791;-0,000000021271;0,000003325780;0,000000673220;0,500018809701;-0,029016766550;0,000000012721;-0,000000008834;0,000004775134;0,000000954136;0,500018809701;-0,029016766550;0,000000017942;-0,000000014503;0,000005103687;0,000000775334;0,500018809701;-0,035028534462;0,000000019479;-0,000000016458;0,000002299362;0,000000427852;0,500018809701;-0,006973617540;0,000000009294;-0,000000007675;0,000000011768;0,000000011665;0,225481408389;0,285599087508;0,000000000005;-0,000000000003;0,000009515988;0,000002576506;0,500018809701;0,023085222020;0,000000043126;-0,000000033143;0,000010803172;0,000006519138;0,500018809701;0,005049918284;0,000000023809;-0,000000021343
07h22m26s,60m;0,000000769968;0,000000315215;0,500018809701;0,031100912569;0,000000002605;-0,000000001715;0,000001539819;0,000000320534;0,500018809701;0,009057763559;0,000000006509;-0,000000005552;0,000001230667;0,000000718515;0,500018809701;0,001042073010;0,000000005443;-0,000000002792;0,000000013621;0,000000011822;-0,323593394235;-0,499938586319;0,000000000173;-0,000000000019;0,000000014874;0,000000011864;-0,411765990277;-0,499938586319;0,000000000101;-0,000000000058;0,000000454886;-0,000000010971;0,500018809701;-0,499938586319;0,000000002098;0,000000000176;0,000003344116;0,000000539508;0,500018809701;0,013065608834;0,000000013464;-0,000000011777;0,000003194095;0,000000618898;0,500018809701;0,037112680481;0,000000014007;-0,000000011598;0,000000011729;0,000000011548;-0,165283505887;-0,229409030282;0,000000000005;-0,000000000006;0,000000035886;0,000000016476;-0,499938586319;0,037112680481;0,000000000357;-0,000000000218;0,000005321307;0,000000931656;0,500018809701;-0,010981462814;0,000000021861;-0,000000017894;0,000001781117;0,000000323364;0,500018809701;0,015069531471;0,000000007986;-0,000000006604;0,000006939224;0,000001109895;0,500018809701;-0,010981462814;0,000000027960;-0,000000021436;0,000003338374;0,000000671047;0,500018809701;-0,027012843913;0,000000012645;-0,000000008823;0,000004779832;0,000000951249;0,500018809701;-0,027012843913;0,000000017916;-0,000000014575;0,000005106022;0,000000776391;0,500018809701;-0,035028534462;0,000000019530;-0,000000016083;0,000002290311;0,000000431212;0,500018809701;-0,004969694902;0,000000009168;-0,000000007910;0,000000011763;0,000000011610;0,187406878280;0,425873672120;0,000000000005;-0,000000000011;0,000009474410;0,000002570248;0,500018809701;0,023085222020;0,000000043299;-0,000000033614;0,000010789390;0,000006462909;0,500018809701;0,007053840922;0,000000024024;-0,000000022015
07h22m34s,53m;0,000000796923;0,000000313789;0,500018809701;0,027093067295;0,000000002666;-0,000000001758;0,000001540444;0,000000319889;0,500018809701;0,009057763559;0,000000006501;-0,000000005573;0,000001221566;0,000000712467;0,500018809701;0,003045995647;0,000000004026;-0,000000002716;0,000000018516;0,000000014200;0,500018809701;-0,409762067640;0,000000000140;-0,000000000059;0,000000016641;0,000000015027;-0,121197207867;0,239508866850;0,000000000111;-0,000000000034;0,000000456482;-0,000000010620;0,500018809701;-0,499938586319;0,000000002043;0,000000000182;0,000003347588;0,000000539905;0,500018809701;0,013065608834;0,000000013451;-0,000000011781;0,000003197357;0,000000618882;0,500018809701;0,037112680481;0,000000013944;-0,000000011603;0,000000011777;0,000000011620;-0,467875824122;-0,381707150717;0,000000000013;-0,000000000006;0,000000035063;0,000000016667;0,500018809701;0,043124448393;0,000000000357;-0,000000000152;0,000005320161;0,000000934271;0,500018809701;-0,010981462814;0,000000021789;-0,000000018069;0,000001780683;0,000000322045;0,500018809701;0,017073454108;0,000000007438;-0,000000006669;0,000006950786;0,000001110558;0,500018809701;-0,010981462814;0,000000027951;-0,000000021533;0,000003347463;0,000000666164;0,500018809701;-0,027012843913;0,000000012901;-0,000000009274;0,000004804335;0,000000947565;0,500018809701;-0,027012843913;0,000000018237;-0,000000014558;0,000005116442;0,000000771087;0,500018809701;-0,033024611825;0,000000019498;-0,000000016207;0,000002306751;0,000000426819;0,500018809701;-0,002965772265;0,000000009293;-0,000000007965;0,000000011763;0,000000011307;-0,273495328302;-0,499938586319;0,000000000051;-0,000000000003;0,000009448081;0,000002560532;0,500018809701;0,025089144657;0,000000042955;-0,000000033874;0,000010787996;0,000006421055;0,500018809701;0,007053840922;0,000000024531;-0,000000022565
07h22m42s,47m;0,000000793667;0,000000310387;0,500018809701;0,021081299383;0,000000002632;-0,000000001903;0,000001532153;0,000000320320;0,500018809701;0,009057763559;0,000000006448;-0,000000005478;0,000001215482;0,000000708536;0,500018809701;0,003045995647;0,000000002954;-0,000000002748;0,000000016010;0,000000012954;0,421865826846;-0,499938586319;0,000000000209;-0,000000000081;0,000000016515;0,000000013778;0,500018809701;-0,499938586319;0,000000000155;-0,000000000034;0,000000458956;-0,000000011376;0,500018809701;-0,499938586319;0,000000002056;0,000000000185;0,000003344516;0,000000541101;0,500018809701;0,013065608834;0,000000013516;-0,000000011839;0,000003199872;0,000000621785;0,500018809701;0,037112680481;0,000000014018;-0,000000011701;0,000000011747;0,000000011619;0,155344116083;-0,321589471598;0,000000000005;-0,000000000003;0,000000034025;0,000000016547;0,500018809701;-0,010981462814;0,000000000179;-0,000000000135;0,000005334398;0,000000934642;0,500018809701;-0,008977540177;0,000000021875;-0,000000017853;0,000001774251;0,000000323195;0,500018809701;0,017073454108;0,000000007636;-0,000000006287;0,000006952901;0,000001109797;0,500018809701;-0,008977540177;0,000000027835;-0,000000021675;0,000003342228;0,000000666209;0,500018809701;-0,025008921275;0,000000012793;-0,000000009115;0,000004764582;0,000000949474;0,500018809701;-0,025008921275;0,000000018169;-0,000000014354;0,000005097558;0,000000776395;0,500018809701;-0,033024611825;0,000000019391;-0,000000016228;0,000002299371;0,000000427516;0,500018809701;-0,004969694902;0,000000009295;-0,000000007941;0,000000011870;0,000000011609;0,125285276523;0,500018809701;0,000000000007;-0,000000000023;0,000009427926;0,000002568468;0,500018809701;0,025089144657;0,000000042625;-0,000000033844;0,000010744514;0,000006424648;0,500018809701;0,009057763559;0,000000023835;-0,000000023259
07h22m50s,39m;0,000000808721;0,000000310617;0,500018809701;0,021081299383;0,000000002701;-0,000000001947;0,000001530775;0,000000319533;0,500018809701;0,009057763559;0,000000006445;-0,000000005593;0,000001208035;0,000000708907;0,500018809701;0,003045995647;0,000000003138;-0,000000002649;0,000000015057;0,000000013379;-0,165283505887;-0,499938586319;0,000000000040;-0,000000000051;0,000000015534;0,000000013239;0,500018809701;-0,497934663682;0,000000000090;-0,000000000043;0,000000469315;-0,000000010370;0,500018809701;-0,499938586319;0,000000002266;0,000000000174;0,000003344518;0,000000540722;0,500018809701;0,015069531471;0,000000013460;-0,000000011881;0,000003205157;0,000000622647;0,500018809701;0,039116603119;0,000000013884;-0,000000011626;0,000000011761;0,000000011639;0,371767760913;0,021081299383;0,000000000004;-0,000000000005;0,000000035936;0,000000016887;0,500018809701;0,029096989932;0,000000000203;-0,000000000132;0,000005338284;0,000000932781;0,500018809701;-0,008977540177;0,000000021920;-0,000000017908;0,000001774524;0,000000321316;0,500018809701;0,021081299383;0,000000008021;-0,000000006433;0,000006952350;0,000001108926;0,500018809701;-0,008977540177;0,000000028023;-0,000000021799;0,000003367820;0,000000668891;0,500018809701;-0,025008921275;0,000000012912;-0,000000009179;0,000004784677;0,000000949679;0,500018809701;-0,023004998638;0,000000017682;-0,000000014486;0,000005091461;0,000000777121;0,500018809701;-0,033024611825;0,000000019401;-0,000000016128;0,000002293557;0,000000427513;0,500018809701;-0,002965772265;0,000000009010;-0,000000007935;0,000000011861;0,000000011668;0,500018809701;-0,163279583250;0,000000000025;-0,000000000006;0,000009400693;0,000002557614;0,500018809701;0,025089144657;0,000000042905;-0,000000034341;0,000010763466;0,000006405498;0,500018809701;0,011061686196;0,000000024294;-0,000000023423
07h22m58s,28m;0,000000831315;0,000000312808;0,500018809701;0,019077376745;0,000000002769;-0,000000001825;0,000001530022;0,000000318680;0,500018809701;0,009057763559;0,000000006478;-0,000000005469;0,000001207773;0,000000710896;0,500018809701;0,003045995647;0,000000003672;-0,000000002706;0,000000017964;0,000000015208;-0,417777758189;0,065167597404;0,000000000069;-0,000000000239;0,000000019555;0,000000014578;-0,329605162147;0,135304889710;0,000000000165;-0,000000000156;0,000000467831;-0,000000011215;0,500018809701;-0,499938586319;0,000000002148;0,000000000188;0,000003343697;0,000000540903;0,500018809701;0,015069531471;0,000000013428;-0,000000011846;0,000003205060;0,000000620628;0,500018809701;0,039116603119;0,000000013880;-0,000000011658;0,000000011867;0,000000011589;-0,291530632038;-0,221393339732;0,000000000006;-0,000000000022;0,000000032446;0,000000016317;0,500018809701;-0,010981462814;0,000000000146;-0,000000000160;0,000005340946;0,000000933128;0,500018809701;-0,008977540177;0,000000022202;-0,000000017973;0,000001790856;0,000000322892;0,500018809701;0,019077376745;0,000000008456;-0,000000006427;0,000006963157;0,000001110103;0,500018809701;-0,006973617540;0,000000027952;-0,000000021808;0,000003381183;0,000000670444;0,500018809701;-0,023004998638;0,000000012936;-0,000000009061;0,000004780003;0,000000945538;0,500018809701;-0,021001076001;0,000000018078;-0,000000014543;0,000005096759;0,000000775664;0,500018809701;-0,031020689187;0,000000019567;-0,000000015902;0,000002289822;0,000000428140;0,500018809701;-0,002965772265;0,000000009113;-0,000000008021;0,000000011926;0,000000011662;0,500018809701;0,451924666405;0,000000000022;-0,000000000003;0,000009398022;0,000002554842;0,500018809701;0,027093067295;0,000000042739;-0,000000034342;0,000010747311;0,000006420105;0,500018809701;0,013065608834;0,000000024024;-0,000000023844
