Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000741406000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499987228760000  To 0,499971596776001 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-04-20_10h46m14s,98m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
10h46m20s,85m;0,000000376897;0,000000168182;0,499971596776;0,091170794352;0,000000001284;-0,000000000897;0,000000774445;0,000000175260;-0,499987228760;0,131249304394;0,000000002898;-0,000000002331;0,000000707152;0,000000278847;-0,419830208677;0,231445579498;0,000000002022;-0,000000002001;0,000000012831;0,000000007962;0,499971596776;-0,499987228760;0,000000000249;-0,000000000023;0,000000012025;0,000000009903;0,273528015041;-0,499987228760;0,000000000203;-0,000000000232;0,000000085242;-0,000000192576;0,499971596776;-0,499987228760;0,000000001211;0,000000000057;0,000001688615;0,000000303126;-0,499987228760;0,137261080900;0,000000006395;-0,000000004908;0,000001695131;0,000000350774;-0,499987228760;0,165316037929;0,000000006522;-0,000000005086;0,000000011627;0,000000010215;-0,373739922129;0,499971596776;0,000000000095;-0,000000000196;0,000000024324;0,000000014283;-0,499987228760;0,125237527888;0,000000000097;-0,000000000200;0,000002492855;0,000000533363;-0,499987228760;0,123233602386;0,000000010122;-0,000000007483;0,000000931641;0,000000176085;-0,499987228760;0,161308186925;0,000000003640;-0,000000002747;0,000003184505;0,000000643485;-0,499987228760;0,127241453390;0,000000012646;-0,000000009516;0,000001396724;0,000000419308;-0,499987228760;0,101190421863;0,000000005815;-0,000000004200;0,000002163708;0,000000557848;-0,499987228760;0,099186496361;0,000000008383;-0,000000006370;0,000002170736;0,000000437097;-0,499987228760;0,093174719855;0,000000009444;-0,000000007364;0,000001061593;0,000000230317;-0,499987228760;0,135257155398;0,000000003652;-0,000000003316;0,000000012225;0,000000010339;0,499971596776;0,465904863241;0,000000000262;-0,000000000229;0,000004677110;0,000001399658;-0,499987228760;0,167319963431;0,000000018076;-0,000000014085;0,000006886460;0,000003682930;-0,461912644221;0,203390622469;0,000000013590;-0,000000015517
10h46m28s,22m;0,000000376075;0,000000167509;0,499971596776;0,089166868850;0,000000001301;-0,000000000921;0,000000775618;0,000000176099;-0,499987228760;0,137261080900;0,000000002837;-0,000000002365;0,000000705240;0,000000275578;-0,419830208677;0,229441653996;0,000000001949;-0,000000002033;0,000000011660;0,000000009027;0,277535866046;-0,499987228760;0,000000000225;-0,000000000191;0,000000011603;0,000000010129;-0,227453360478;-0,467924420727;0,000000000023;-0,000000000107;0,000000089291;-0,000000192216;0,499971596776;-0,499987228760;0,000000001141;0,000000000053;0,000001689618;0,000000302789;-0,499987228760;0,141268931904;0,000000006398;-0,000000004933;0,000001695121;0,000000349921;-0,499987228760;0,167319963431;0,000000006525;-0,000000005053;0,000000011557;0,000000010378;0,483940192759;-0,499987228760;0,000000000159;-0,000000000038;0,000000024461;0,000000013948;-0,479947973739;0,121229676884;0,000000000122;-0,000000000169;0,000002486144;0,000000532678;-0,499987228760;0,125237527888;0,000000010132;-0,000000007419;0,000000922566;0,000000177383;-0,499987228760;0,159304261423;0,000000003277;-0,000000002718;0,000003167420;0,000000642593;-0,499987228760;0,127241453390;0,000000012567;-0,000000009414;0,000001390907;0,000000420534;-0,499987228760;0,103194347365;0,000000005750;-0,000000004174;0,000002159328;0,000000556691;-0,499987228760;0,097182570859;0,000000008471;-0,000000006448;0,000002164874;0,000000437752;-0,499987228760;0,093174719855;0,000000009378;-0,000000007265;0,000001057215;0,000000230882;-0,499987228760;0,137261080900;0,000000003514;-0,000000003423;0,000000012796;0,000000009768;0,499971596776;-0,499987228760;0,000000000195;-0,000000000027;0,000004622080;0,000001393386;-0,499987228760;0,167319963431;0,000000017986;-0,000000013905;0,000006782067;0,000003609780;-0,455900867714;0,205394547971;0,000000013841;-0,000000015108
10h46m35s,47m;0,000000369500;0,000000166344;0,499971596776;0,109206123871;0,000000001270;-0,000000000874;0,000000778264;0,000000175254;-0,499987228760;0,137261080900;0,000000002844;-0,000000002347;0,000000707333;0,000000275801;-0,417826283175;0,233449505000;0,000000001936;-0,000000001979;0,000000011793;0,000000008984;-0,325645710079;-0,499987228760;0,000000000092;-0,000000000038;0,000000012138;0,000000010310;0,499971596776;0,465904863241;0,000000000256;-0,000000000046;0,000000092382;-0,000000194381;0,499971596776;-0,499987228760;0,000000001199;0,000000000104;0,000001693427;0,000000302605;-0,499987228760;0,143272857406;0,000000006394;-0,000000004893;0,000001704109;0,000000350325;-0,499987228760;0,169323888933;0,000000006514;-0,000000005050;0,000000011915;0,000000010335;0,467908788743;-0,499987228760;0,000000000221;-0,000000000228;0,000000024429;0,000000014153;-0,471932271731;0,221425951987;0,000000000171;-0,000000000106;0,000002491560;0,000000532823;-0,499987228760;0,125237527888;0,000000010099;-0,000000007374;0,000000935535;0,000000175737;-0,499987228760;0,165316037929;0,000000003527;-0,000000002998;0,000003185253;0,000000644093;-0,499987228760;0,129245378892;0,000000012641;-0,000000009494;0,000001407413;0,000000421408;-0,499987228760;0,103194347365;0,000000005765;-0,000000004232;0,000002166481;0,000000556007;-0,499987228760;0,101190421863;0,000000008497;-0,000000006360;0,000002167632;0,000000439059;-0,499987228760;0,095178645357;0,000000009385;-0,000000007350;0,000001058103;0,000000231189;-0,499987228760;0,137261080900;0,000000003522;-0,000000003357;0,000000011960;0,000000010742;-0,027060810270;0,499971596776;0,000000000021;-0,000000000063;0,000004643869;0,000001392317;-0,499987228760;0,169323888933;0,000000017837;-0,000000013873;0,000006837299;0,000003591996;-0,459908718718;0,211406324477;0,000000014169;-0,000000015269
10h46m42s,76m;0,000000370899;0,000000167390;0,499971596776;0,093174719855;0,000000001484;-0,000000000927;0,000000776634;0,000000175405;-0,499987228760;0,143272857406;0,000000002888;-0,000000002372;0,000000709168;0,000000274998;-0,417826283175;0,233449505000;0,000000001955;-0,000000002008;0,000000012094;0,000000009285;0,465904863241;-0,499987228760;0,000000000203;-0,000000000314;0,000000011646;0,000000009811;0,371720364643;0,499971596776;0,000000000101;-0,000000000239;0,000000076740;-0,000000189225;0,495963745772;-0,499987228760;0,000000001174;-0,000000000112;0,000001701293;0,000000302226;-0,499987228760;0,145276782909;0,000000006378;-0,000000004901;0,000001701055;0,000000350160;-0,499987228760;0,171327814436;0,000000006504;-0,000000005025;0,000000012285;0,000000010121;0,499971596776;-0,499987228760;0,000000000235;-0,000000000034;0,000000024029;0,000000013944;-0,459908718718;0,173331739938;0,000000000191;-0,000000000085;0,000002498889;0,000000531799;-0,499987228760;0,127241453390;0,000000010163;-0,000000007412;0,000000921763;0,000000176040;-0,499987228760;0,165316037929;0,000000003315;-0,000000002657;0,000003190216;0,000000642957;-0,499987228760;0,131249304394;0,000000012578;-0,000000009358;0,000001397894;0,000000421783;-0,499987228760;0,107202198369;0,000000005768;-0,000000004214;0,000002174129;0,000000557474;-0,499987228760;0,103194347365;0,000000008457;-0,000000006473;0,000002173012;0,000000437119;-0,499987228760;0,097182570859;0,000000009422;-0,000000007281;0,000001054724;0,000000231444;-0,499987228760;0,143272857406;0,000000003635;-0,000000003327;0,000000012290;0,000000010029;0,499971596776;-0,499987228760;0,000000000181;-0,000000000022;0,000004633273;0,000001395297;-0,499987228760;0,171327814436;0,000000017925;-0,000000013908;0,000006842667;0,000003563158;-0,463916569723;0,213410249979;0,000000014045;-0,000000015307
10h46m49s,99m;0,000000352813;0,000000167008;0,499971596776;0,095178645357;0,000000001332;-0,000000000893;0,000000785476;0,000000175806;-0,499987228760;0,145276782909;0,000000002910;-0,000000002351;0,000000708920;0,000000275492;-0,413818432171;0,243469132510;0,000000001956;-0,000000002006;0,000000012030;0,000000008568;0,373724290145;-0,499987228760;0,000000000350;-0,000000000161;0,000000012139;0,000000010182;0,467908788743;0,499971596776;0,000000000176;-0,000000000285;0,000000083052;-0,000000191327;0,483940192759;-0,499987228760;0,000000001163;-0,000000000501;0,000001708846;0,000000302798;-0,499987228760;0,147280708411;0,000000006388;-0,000000004892;0,000001710569;0,000000350316;-0,499987228760;0,173331739938;0,000000006474;-0,000000005047;0,000000012159;0,000000010421;0,499971596776;-0,499987228760;0,000000000099;-0,000000000032;0,000000024343;0,000000014745;-0,465920495225;0,179343516444;0,000000000252;-0,000000000065;0,000002502966;0,000000532525;-0,499987228760;0,129245378892;0,000000010127;-0,000000007383;0,000000946821;0,000000176471;-0,499987228760;0,167319963431;0,000000003306;-0,000000002805;0,000003203604;0,000000643658;-0,499987228760;0,133253229896;0,000000012536;-0,000000009488;0,000001406023;0,000000422215;-0,499987228760;0,107202198369;0,000000005716;-0,000000004263;0,000002176363;0,000000556294;-0,499987228760;0,105198272867;0,000000008563;-0,000000006368;0,000002193017;0,000000438593;-0,499987228760;0,099186496361;0,000000009369;-0,000000007366;0,000001066343;0,000000231227;-0,499987228760;0,141268931904;0,000000003455;-0,000000003330;0,000000012540;0,000000010594;-0,499987228760;-0,463916569723;0,000000000063;-0,000000000235;0,000004643512;0,000001390622;-0,499987228760;0,175335665440;0,000000017754;-0,000000013858;0,000006822345;0,000003559328;-0,459908718718;0,215414175481;0,000000014333;-0,000000015329
10h46m57s,25m;0,000000349593;0,000000165342;0,497967671274;0,113213974875;0,000000001371;-0,000000000843;0,000000790728;0,000000174847;-0,499987228760;0,147280708411;0,000000002849;-0,000000002339;0,000000715937;0,000000275869;-0,421834134179;0,245473058012;0,000000002011;-0,000000002005;0,000000012695;0,000000008694;0,499971596776;-0,499987228760;0,000000000269;-0,000000000047;0,000000011682;0,000000010022;-0,279555423532;-0,499987228760;0,000000000138;-0,000000000018;0,000000085842;-0,000000194292;0,493959820270;-0,499987228760;0,000000001324;-0,000000000283;0,000001711653;0,000000303021;-0,499987228760;0,149284633913;0,000000006391;-0,000000004903;0,000001715968;0,000000350284;-0,499987228760;0,175335665440;0,000000006527;-0,000000005065;0,000000012055;0,000000010813;-0,499987228760;-0,173347371922;0,000000000027;-0,000000000151;0,000000024266;0,000000014408;-0,499987228760;0,169323888933;0,000000000177;-0,000000000306;0,000002512641;0,000000533369;-0,499987228760;0,133253229896;0,000000010162;-0,000000007405;0,000000945081;0,000000174867;-0,499987228760;0,171327814436;0,000000003215;-0,000000002712;0,000003212599;0,000000644068;-0,499987228760;0,135257155398;0,000000012485;-0,000000009536;0,000001404144;0,000000423077;-0,499987228760;0,111210049373;0,000000005747;-0,000000004220;0,000002188253;0,000000555591;-0,499987228760;0,109206123871;0,000000008526;-0,000000006482;0,000002200122;0,000000439215;-0,499987228760;0,101190421863;0,000000009386;-0,000000007239;0,000001064299;0,000000231940;-0,499987228760;0,147280708411;0,000000003420;-0,000000003334;0,000000012731;0,000000010239;0,499971596776;-0,499987228760;0,000000000184;-0,000000000025;0,000004650959;0,000001394618;-0,499987228760;0,177339590942;0,000000017654;-0,000000013857;0,000006802406;0,000003533825;-0,455900867714;0,217418100983;0,000000014355;-0,000000015339
10h47m04s,61m;0,000000356215;0,000000165767;0,499971596776;0,115217900377;0,000000001295;-0,000000000831;0,000000790848;0,000000175624;-0,499987228760;0,153292484917;0,000000002838;-0,000000002338;0,000000715555;0,000000276329;-0,415822357673;0,251484834519;0,000000001927;-0,000000001999;0,000000012497;0,000000009075;0,499971596776;-0,499987228760;0,000000000215;-0,000000000021;0,000000011742;0,000000009917;0,473920565249;-0,499987228760;0,000000000186;-0,000000000113;0,000000083481;-0,000000193149;0,483940192759;-0,499987228760;0,000000001175;-0,000000000491;0,000001718850;0,000000302090;-0,499987228760;0,153292484917;0,000000006376;-0,000000004908;0,000001721377;0,000000349313;-0,499987228760;0,177339590942;0,000000006521;-0,000000005068;0,000000011993;0,000000010609;0,499971596776;0,071131539332;0,000000000189;-0,000000000120;0,000000024435;0,000000014028;-0,461912644221;0,081151166842;0,000000000229;-0,000000000105;0,000002527874;0,000000534360;-0,499987228760;0,135257155398;0,000000010132;-0,000000007383;0,000000943560;0,000000175526;-0,499987228760;0,171327814436;0,000000003264;-0,000000002780;0,000003223614;0,000000645392;-0,499987228760;0,137261080900;0,000000012497;-0,000000009462;0,000001421612;0,000000422711;-0,499987228760;0,111210049373;0,000000005720;-0,000000004227;0,000002199862;0,000000557189;-0,499987228760;0,109206123871;0,000000008400;-0,000000006541;0,000002203020;0,000000438477;-0,499987228760;0,101190421863;0,000000009330;-0,000000007351;0,000001066455;0,000000231470;-0,499987228760;0,149284633913;0,000000003439;-0,000000003316;0,000000011781;0,000000009901;0,075139390336;0,499971596776;0,000000000098;-0,000000000190;0,000004634321;0,000001393298;-0,499987228760;0,179343516444;0,000000017766;-0,000000013844;0,000006784997;0,000003527161;-0,453896942212;0,219422026485;0,000000014558;-0,000000015387
10h47m11s,95m;0,000000362649;0,000000166966;0,499971596776;0,113213974875;0,000000001364;-0,000000000825;0,000000794780;0,000000175764;-0,499987228760;0,151288559415;0,000000002839;-0,000000002303;0,000000725414;0,000000275690;-0,419830208677;0,255492685523;0,000000002030;-0,000000002003;0,000000012394;0,000000009112;0,499971596776;-0,499987228760;0,000000000166;-0,000000000039;0,000000012017;0,000000010186;0,499971596776;-0,499987228760;0,000000000117;-0,000000000020;0,000000084164;-0,000000192448;0,485944118261;-0,499987228760;0,000000001146;-0,000000000492;0,000001724955;0,000000302857;-0,499987228760;0,155296410419;0,000000006415;-0,000000004904;0,000001724124;0,000000350365;-0,499987228760;0,181347441946;0,000000006526;-0,000000005039;0,000000011552;0,000000010675;0,479932341755;0,281543717050;0,000000000040;-0,000000000033;0,000000024726;0,000000013598;-0,381755624138;0,215414175481;0,000000000308;-0,000000000244;0,000002532235;0,000000533513;-0,499987228760;0,137261080900;0,000000010202;-0,000000007479;0,000000941974;0,000000174223;-0,499987228760;0,175335665440;0,000000003373;-0,000000002633;0,000003213109;0,000000644911;-0,499987228760;0,141268931904;0,000000012514;-0,000000009418;0,000001421867;0,000000422903;-0,499987228760;0,115217900377;0,000000005721;-0,000000004289;0,000002206391;0,000000556828;-0,499987228760;0,113213974875;0,000000008428;-0,000000006506;0,000002201769;0,000000438178;-0,499987228760;0,105198272867;0,000000009348;-0,000000007261;0,000001072240;0,000000230992;-0,499987228760;0,151288559415;0,000000003466;-0,000000003342;0,000000011853;0,000000010056;0,461897012237;0,499971596776;0,000000000085;-0,000000000221;0,000004677077;0,000001394082;-0,499987228760;0,181347441946;0,000000017793;-0,000000013907;0,000006808677;0,000003525644;-0,453896942212;0,221425951987;0,000000014326;-0,000000015352
10h47m19s,29m;0,000000357592;0,000000166947;0,499971596776;0,119225751382;0,000000001321;-0,000000000856;0,000000799832;0,000000175091;-0,499987228760;0,157300335921;0,000000002858;-0,000000002361;0,000000725435;0,000000276779;-0,417826283175;0,259500536527;0,000000001960;-0,000000002000;0,000000012390;0,000000009014;0,465904863241;-0,499987228760;0,000000000361;-0,000000000206;0,000000011769;0,000000010360;-0,467924420727;0,499971596776;0,000000000192;-0,000000000197;0,000000089042;-0,000000191411;0,499971596776;-0,499987228760;0,000000001134;0,000000000073;0,000001727194;0,000000302369;-0,499987228760;0,159304261423;0,000000006391;-0,000000004934;0,000001731021;0,000000350472;-0,499987228760;0,183351367448;0,000000006538;-0,000000005061;0,000000011822;0,000000010486;0,471916639747;0,417810651191;0,000000000123;-0,000000000167;0,000000024802;0,000000014572;-0,481951899241;0,221425951987;0,000000000093;-0,000000000157;0,000002545549;0,000000533391;-0,499987228760;0,141268931904;0,000000010155;-0,000000007459;0,000000949746;0,000000175108;-0,499987228760;0,175335665440;0,000000003135;-0,000000002781;0,000003231740;0,000000644811;-0,499987228760;0,143272857406;0,000000012609;-0,000000009456;0,000001418951;0,000000422365;-0,499987228760;0,117221825879;0,000000005718;-0,000000004279;0,000002210107;0,000000557003;-0,499987228760;0,115217900377;0,000000008583;-0,000000006499;0,000002219740;0,000000438731;-0,499987228760;0,107202198369;0,000000009331;-0,000000007416;0,000001075568;0,000000230535;-0,499987228760;0,153292484917;0,000000003701;-0,000000003378;0,000000011788;0,000000009791;0,277535866046;0,499971596776;0,000000000030;-0,000000000204;0,000004676287;0,000001391307;-0,499987228760;0,185355292950;0,000000017836;-0,000000013856;0,000006837466;0,000003533228;-0,457904793216;0,225433802992;0,000000014565;-0,000000015330
10h47m26s,55m;0,000000360059;0,000000168493;0,499971596776;0,119225751382;0,000000001359;-0,000000000823;0,000000798411;0,000000174565;-0,499987228760;0,159304261423;0,000000002868;-0,000000002312;0,000000723796;0,000000277645;-0,419830208677;0,259500536527;0,000000001940;-0,000000002002;0,000000012450;0,000000010055;0,469912714245;-0,499987228760;0,000000000233;-0,000000000209;0,000000012399;0,000000010597;-0,499987228760;-0,179359148428;0,000000000080;-0,000000000216;0,000000090024;-0,000000192181;0,499971596776;-0,499987228760;0,000000001342;0,000000000087;0,000001733975;0,000000302672;-0,499987228760;0,161308186925;0,000000006399;-0,000000004941;0,000001738677;0,000000350766;-0,499987228760;0,187359218452;0,000000006553;-0,000000005022;0,000000011920;0,000000010531;-0,499987228760;0,469912714245;0,000000000171;-0,000000000117;0,000000023670;0,000000013636;-0,427845910685;0,181347441946;0,000000000410;-0,000000000082;0,000002530692;0,000000533442;-0,499987228760;0,143272857406;0,000000010119;-0,000000007535;0,000000951567;0,000000175095;-0,499987228760;0,179343516444;0,000000003193;-0,000000002739;0,000003236571;0,000000644574;-0,499987228760;0,145276782909;0,000000012482;-0,000000009529;0,000001424267;0,000000423716;-0,499987228760;0,119225751382;0,000000005714;-0,000000004261;0,000002219084;0,000000556592;-0,499987228760;0,117221825879;0,000000008403;-0,000000006544;0,000002224791;0,000000438669;-0,499987228760;0,111210049373;0,000000009295;-0,000000007420;0,000001075607;0,000000230710;-0,499987228760;0,157300335921;0,000000003456;-0,000000003268;0,000000011776;0,000000010451;-0,499987228760;0,499971596776;0,000000000026;-0,000000000164;0,000004704482;0,000001391389;-0,499987228760;0,185355292950;0,000000017753;-0,000000014002;0,000006882444;0,000003534704;-0,459908718718;0,227437728494;0,000000014383;-0,000000015370
