Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-04-19_14h28m23s,54m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
14h28m30s,07m;0,000000828159;0,000000236720;0,500018809701;-0,499938586319;0,000000002004;0,000000000005;0,000000466727;0,000000368656;0,500018809701;-0,205361958634;0,000000000533;-0,000000000280;0,000001394229;0,000000468839;0,500018809701;-0,385714995992;0,000000003447;-0,000000008664;0,000000014996;0,000000011463;0,500018809701;-0,129212898416;0,000000000043;-0,000000000048;0,000000012779;0,000000011404;0,500018809701;-0,459860133573;0,000000000126;-0,000000000087;0,000000482047;-0,000000009293;0,500018809701;-0,499938586319;0,000000003138;0,000000000109;0,000004317732;0,000000525439;0,500018809701;-0,253456101929;0,000000012945;-0,000000008606;0,000004229394;0,000000625099;0,500018809701;-0,221393339732;0,000000014079;-0,000000008179;0,000000012165;0,000000010613;-0,499938586319;0,500018809701;0,000000000025;-0,000000000134;0,000000047520;0,000000016519;0,500018809701;-0,241432566105;0,000000000339;-0,000000000112;0,000005929437;0,000000975166;0,500018809701;-0,255460024567;0,000000019643;-0,000000011197;0,000002084445;0,000000303800;0,500018809701;-0,213377649183;0,000000006281;-0,000000004550;0,000007977732;0,000001372630;0,500018809701;-0,261471792479;0,000000024236;-0,000000012881;0,000003911124;0,000000807456;0,500018809701;-0,317581626323;0,000000010375;-0,000000004400;0,000005719764;0,000001056243;0,500018809701;-0,277503173577;0,000000017108;-0,000000009501;0,000006141171;0,000000755743;0,500018809701;-0,275499250940;0,000000018912;-0,000000012020;0,000002364375;0,000000392378;0,500018809701;-0,235420798193;0,000000007321;-0,000000004941;0,000000012041;0,000000011238;-0,499938586319;-0,469879746759;0,000000000032;-0,000000000121;0,000004055773;0,000003688486;0,500018809701;-0,159271737976;0,000000002763;-0,000000002661;0,000006832849;0,000006524432;0,500018809701;-0,201354113359;0,000000001601;-0,000000001054
14h28m37s,89m;0,000000749894;0,000000246604;0,500018809701;-0,327601239510;0,000000002247;-0,000000000987;0,000000420920;0,000000315668;0,500018809701;-0,213377649183;0,000000000716;-0,000000000522;0,000001459799;0,000000460393;0,500018809701;-0,291530632038;0,000000003672;-0,000000001153;0,000000013706;0,000000010161;0,500018809701;-0,499938586319;0,000000000206;-0,000000000019;0,000000012398;0,000000011086;0,467956047504;-0,471883669397;0,000000000042;-0,000000000159;0,000000488981;-0,000000002310;0,500018809701;-0,499938586319;0,000000002055;0,000000000130;0,000004264395;0,000000523955;0,500018809701;-0,239428643468;0,000000012894;-0,000000008672;0,000004233625;0,000000622245;0,500018809701;-0,203358035996;0,000000014036;-0,000000008432;0,000000012006;0,000000010136;-0,457856210935;-0,499938586319;0,000000000188;-0,000000000042;0,000000048148;0,000000017780;0,500018809701;-0,143240356877;0,000000000295;-0,000000000302;0,000006138043;0,000000966100;0,500018809701;-0,241432566105;0,000000020492;-0,000000011804;0,000002091117;0,000000313724;0,500018809701;-0,207365881271;0,000000006044;-0,000000004325;0,000008194376;0,000001315061;0,500018809701;-0,255460024567;0,000000024657;-0,000000013592;0,000004082624;0,000000807291;0,500018809701;-0,301550245225;0,000000011009;-0,000000004425;0,000005814657;0,000001027853;0,500018809701;-0,271491405665;0,000000016893;-0,000000009925;0,000006174955;0,000000759126;0,500018809701;-0,271491405665;0,000000018625;-0,000000011666;0,000002330844;0,000000386814;0,500018809701;-0,229409030282;0,000000007252;-0,000000005237;0,000000012559;0,000000011260;-0,499938586319;-0,463867978847;0,000000000025;-0,000000000157;0,000004246967;0,000003891697;0,500018809701;-0,143240356877;0,000000003088;-0,000000001746;0,000007006545;0,000006698604;0,500018809701;-0,211373726546;0,000000002678;-0,000000000783
14h28m45s,74m;0,000000754900;0,000000246874;0,500018809701;-0,297542399950;0,000000002259;-0,000000001092;0,000000417711;0,000000311339;0,500018809701;-0,251452179292;0,000000000752;-0,000000000422;0,000001475417;0,000000447642;0,500018809701;-0,261471792479;0,000000003876;-0,000000001726;0,000000013621;0,000000009858;0,473967815416;-0,499938586319;0,000000000238;-0,000000000072;0,000000012078;0,000000011119;0,367759915638;0,500018809701;0,000000000017;-0,000000000120;0,000000485918;-0,000000001638;0,500018809701;-0,499938586319;0,000000001966;0,000000000115;0,000004231458;0,000000523885;0,500018809701;-0,229409030282;0,000000012795;-0,000000008709;0,000004204350;0,000000616352;0,500018809701;-0,193338422810;0,000000014020;-0,000000008630;0,000000011762;0,000000010899;-0,010981462814;0,500018809701;0,000000000020;-0,000000000071;0,000000048238;0,000000016815;0,500018809701;-0,211373726546;0,000000000585;-0,000000000203;0,000006191491;0,000000963496;0,500018809701;-0,229409030282;0,000000020639;-0,000000012178;0,000002066778;0,000000316090;0,500018809701;-0,197346268084;0,000000006237;-0,000000004430;0,000008235198;0,000001272075;0,500018809701;-0,241432566105;0,000000025200;-0,000000014386;0,000004136843;0,000000795529;0,500018809701;-0,283514941489;0,000000011166;-0,000000005027;0,000005808309;0,000001007916;0,500018809701;-0,261471792479;0,000000017022;-0,000000010004;0,000006181428;0,000000748410;0,500018809701;-0,259467869841;0,000000018661;-0,000000011654;0,000002345582;0,000000381271;0,500018809701;-0,219389417095;0,000000007199;-0,000000005123;0,000000012062;0,000000011270;-0,499938586319;0,500018809701;0,000000000018;-0,000000000099;0,000004284946;0,000003927146;0,500018809701;-0,131216821053;0,000000002878;-0,000000002412;0,000007059758;0,000006727126;0,500018809701;-0,209369803908;0,000000003984;-0,000000000979
14h28m53s,60m;0,000000767584;0,000000248136;0,500018809701;-0,273495328302;0,000000002219;-0,000000001181;0,000000399763;0,000000300093;0,500018809701;-0,219389417095;0,000000000596;-0,000000000216;0,000001471247;0,000000435209;0,500018809701;-0,229409030282;0,000000003935;-0,000000002274;0,000000014757;0,000000011404;0,500018809701;-0,459860133573;0,000000000198;-0,000000000038;0,000000011743;0,000000010111;0,425873672120;-0,499938586319;0,000000000175;-0,000000000013;0,000000498959;-0,000000011997;0,500018809701;-0,499938586319;0,000000002179;0,000000000147;0,000004170690;0,000000523423;0,500018809701;-0,217385494458;0,000000012806;-0,000000008752;0,000004163747;0,000000613167;0,500018809701;-0,181314886986;0,000000013919;-0,000000008615;0,000000012134;0,000000011364;0,500018809701;0,433889362670;0,000000000045;-0,000000000065;0,000000042168;0,000000017154;0,500018809701;-0,173299196437;0,000000000417;-0,000000000065;0,000006173327;0,000000960647;0,500018809701;-0,213377649183;0,000000020704;-0,000000012297;0,000002043447;0,000000314057;0,500018809701;-0,183318809623;0,000000006079;-0,000000004614;0,000008200663;0,000001238883;0,500018809701;-0,225401185007;0,000000025298;-0,000000014832;0,000004157434;0,000000783957;0,500018809701;-0,261471792479;0,000000011445;-0,000000005179;0,000005759908;0,000000991996;0,500018809701;-0,241432566105;0,000000017231;-0,000000010176;0,000006103547;0,000000756923;0,500018809701;-0,243436488743;0,000000018520;-0,000000012005;0,000002345061;0,000000377714;0,500018809701;-0,203358035996;0,000000007156;-0,000000004883;0,000000012042;0,000000010701;-0,465871901485;-0,499938586319;0,000000000182;-0,000000000030;0,000004252622;0,000003900326;0,500018809701;-0,093142290944;0,000000001921;-0,000000002903;0,000007014509;0,000006681139;0,500018809701;-0,227405107644;0,000000002319;-0,000000001629
14h29m01s,48m;0,000000750659;0,000000248866;0,500018809701;-0,241432566105;0,000000002260;-0,000000001251;0,000000378219;0,000000293163;0,500018809701;-0,233416875556;0,000000000703;-0,000000000410;0,000001465687;0,000000430314;0,500018809701;-0,201354113359;0,000000003981;-0,000000002757;0,000000013168;0,000000009971;0,479979583328;-0,499938586319;0,000000000206;-0,000000000024;0,000000011903;0,000000010813;0,457936434317;-0,483907205220;0,000000000046;-0,000000000059;0,000000497732;-0,000000001733;0,500018809701;-0,499938586319;0,000000002051;0,000000000111;0,000004094640;0,000000523026;0,500018809701;-0,197346268084;0,000000012663;-0,000000008890;0,000004101322;0,000000616509;0,500018809701;-0,165283505887;0,000000013698;-0,000000008705;0,000000012030;0,000000011240;0,500018809701;0,463948202229;0,000000000104;-0,000000000020;0,000000039817;0,000000016919;0,496010964426;-0,129212898416;0,000000000172;-0,000000000090;0,000006119941;0,000000957142;0,500018809701;-0,193338422810;0,000000020899;-0,000000012486;0,000001986362;0,000000307410;0,500018809701;-0,163279583250;0,000000006538;-0,000000004742;0,000008065920;0,000001215368;0,500018809701;-0,203358035996;0,000000025405;-0,000000015263;0,000004102100;0,000000775175;0,500018809701;-0,239428643468;0,000000011679;-0,000000005329;0,000005665703;0,000000980048;0,500018809701;-0,223397262370;0,000000016803;-0,000000010184;0,000005991975;0,000000752993;0,500018809701;-0,227405107644;0,000000018560;-0,000000012180;0,000002275698;0,000000374445;0,500018809701;-0,183318809623;0,000000007336;-0,000000005276;0,000000011913;0,000000010332;-0,465871901485;-0,499938586319;0,000000000215;-0,000000000033;0,000004186161;0,000003823205;0,500018809701;-0,085126600395;0,000000002240;-0,000000002083;0,000006926903;0,000006590975;0,500018809701;-0,183318809623;0,000000001723;-0,000000001119
14h29m09s,35m;0,000000760536;0,000000253726;0,500018809701;-0,217385494458;0,000000002297;-0,000000001377;0,000000350484;0,000000288881;0,500018809701;-0,369683614894;0,000000000623;-0,000000000360;0,000001451599;0,000000427325;0,500018809701;-0,173299196437;0,000000004110;-0,000000003068;0,000000013534;0,000000010137;0,500018809701;-0,499938586319;0,000000000155;-0,000000000017;0,000000011832;0,000000009706;0,381787374099;-0,499938586319;0,000000000244;-0,000000000023;0,000000506073;-0,000000008293;0,500018809701;-0,499938586319;0,000000002120;0,000000000166;0,000004013129;0,000000521450;0,500018809701;-0,179310964349;0,000000012634;-0,000000008811;0,000004025014;0,000000615970;0,500018809701;-0,145244279514;0,000000013702;-0,000000008754;0,000000012059;0,000000010876;0,500018809701;-0,425793448738;0,000000000106;-0,000000000034;0,000000043439;0,000000016576;0,500018809701;-0,155263892701;0,000000000226;-0,000000000077;0,000006026517;0,000000955168;0,500018809701;-0,175303119074;0,000000020705;-0,000000012506;0,000001953230;0,000000309534;0,500018809701;-0,143240356877;0,000000006278;-0,000000004601;0,000007961276;0,000001198139;0,500018809701;-0,185322732261;0,000000025547;-0,000000015484;0,000004047868;0,000000768964;0,500018809701;-0,219389417095;0,000000011775;-0,000000005462;0,000005582327;0,000000971456;0,500018809701;-0,203358035996;0,000000016636;-0,000000010352;0,000005895695;0,000000759095;0,500018809701;-0,207365881271;0,000000018334;-0,000000012468;0,000002223918;0,000000377142;0,500018809701;-0,167287428525;0,000000007145;-0,000000005157;0,000000012211;0,000000011285;0,500018809701;0,373771683550;0,000000000110;-0,000000000025;0,000004121931;0,000003749210;0,500018809701;-0,155263892701;0,000000002077;-0,000000002270;0,000006825365;0,000006476646;0,500018809701;-0,169291351162;0,000000002003;-0,000000001403
14h29m17s,18m;0,000000746508;0,000000257360;0,500018809701;-0,191334500173;0,000000002470;-0,000000001415;0,000000329205;0,000000290315;0,500018809701;0,121277431249;0,000000000635;-0,000000000065;0,000001432973;0,000000428288;0,500018809701;-0,147248202152;0,000000004079;-0,000000003218;0,000000012946;0,000000009653;0,481983505965;-0,499938586319;0,000000000206;-0,000000000027;0,000000012034;0,000000010794;0,465952124867;-0,467875824122;0,000000000040;-0,000000000166;0,000000507293;-0,000000001653;0,500018809701;-0,499938586319;0,000000002151;0,000000000118;0,000003938385;0,000000523701;0,500018809701;-0,161275660613;0,000000012617;-0,000000008896;0,000003944833;0,000000615136;0,500018809701;-0,129212898416;0,000000013454;-0,000000008688;0,000000011784;0,000000011029;-0,259467869841;-0,499938586319;0,000000000089;-0,000000000064;0,000000038060;0,000000017303;0,500018809701;-0,049055992923;0,000000000154;-0,000000000346;0,000005949557;0,000000948562;0,500018809701;-0,157267815338;0,000000020646;-0,000000012488;0,000001936311;0,000000306175;0,500018809701;-0,127208975778;0,000000006418;-0,000000004512;0,000007834406;0,000001188069;0,500018809701;-0,169291351162;0,000000025210;-0,000000015468;0,000004004442;0,000000760997;0,500018809701;-0,197346268084;0,000000011726;-0,000000005621;0,000005490956;0,000000967659;0,500018809701;-0,187326654898;0,000000016849;-0,000000010266;0,000005809988;0,000000752122;0,500018809701;-0,191334500173;0,000000018416;-0,000000012453;0,000002185608;0,000000380519;0,500018809701;-0,149252124789;0,000000007004;-0,000000005360;0,000000011754;0,000000010628;-0,004969694902;-0,499938586319;0,000000000124;-0,000000000021;0,000004042516;0,000003651681;0,500018809701;-0,133220743690;0,000000002380;-0,000000004314;0,000006722184;0,000006358939;0,500018809701;-0,203358035996;0,000000002868;-0,000000001463
14h29m25s,05m;0,000000762996;0,000000259992;0,500018809701;-0,177307041711;0,000000002519;-0,000000001424;0,000000312138;0,000000291702;0,500018809701;0,267563783773;0,000000000312;-0,000000000179;0,000001423243;0,000000429832;0,500018809701;-0,125205053141;0,000000004121;-0,000000003370;0,000000013867;0,000000010084;0,500018809701;-0,499938586319;0,000000000231;-0,000000000032;0,000000011730;0,000000010005;0,403830523110;-0,499938586319;0,000000000180;-0,000000000018;0,000000508393;-0,000000009408;0,500018809701;-0,499938586319;0,000000002061;0,000000000167;0,000003877200;0,000000522881;0,500018809701;-0,145244279514;0,000000012563;-0,000000008865;0,000003886589;0,000000614700;0,500018809701;-0,115185439955;0,000000013504;-0,000000008817;0,000000011934;0,000000011171;0,500018809701;0,271571629047;0,000000000078;-0,000000000049;0,000000038729;0,000000016445;0,500018809701;-0,029016766550;0,000000000199;-0,000000000083;0,000005869308;0,000000948394;0,500018809701;-0,145244279514;0,000000020375;-0,000000012563;0,000001854114;0,000000313065;0,500018809701;-0,115185439955;0,000000006398;-0,000000004605;0,000007715393;0,000001176448;0,500018809701;-0,153259970064;0,000000025312;-0,000000015705;0,000003973203;0,000000756707;0,500018809701;-0,185322732261;0,000000011867;-0,000000005638;0,000005423389;0,000000971772;0,500018809701;-0,175303119074;0,000000016497;-0,000000010249;0,000005734865;0,000000754840;0,500018809701;-0,181314886986;0,000000018275;-0,000000012598;0,000002157364;0,000000378883;0,500018809701;-0,139232511602;0,000000006972;-0,000000005644;0,000000012235;0,000000010563;-0,499938586319;0,500018809701;0,000000000036;-0,000000000187;0,000003959466;0,000003556808;0,500018809701;-0,133220743690;0,000000002757;-0,000000002560;0,000006632060;0,000006260752;0,500018809701;-0,167287428525;0,000000002187;-0,000000001795
14h29m32s,88m;0,000000752881;0,000000261733;0,500018809701;-0,151256047426;0,000000002460;-0,000000001501;0,000000318205;0,000000292795;-0,187326654898;0,331689308167;0,000000000241;-0,000000000151;0,000001408567;0,000000430718;0,500018809701;-0,107169749405;0,000000004155;-0,000000003446;0,000000013548;0,000000010530;0,500018809701;-0,499938586319;0,000000000202;-0,000000000016;0,000000011759;0,000000010434;0,127289199160;-0,499938586319;0,000000000161;-0,000000000019;0,000000500774;-0,000000005200;0,500018809701;-0,499938586319;0,000000002139;0,000000000137;0,000003821818;0,000000523329;0,500018809701;-0,135224666328;0,000000012576;-0,000000008881;0,000003829708;0,000000615932;0,500018809701;-0,103161904131;0,000000013534;-0,000000008836;0,000000011843;0,000000010956;-0,467875824122;-0,499938586319;0,000000000134;-0,000000000033;0,000000032370;0,000000016682;0,465952124867;-0,077110909846;0,000000000119;-0,000000000426;0,000005810390;0,000000947901;0,500018809701;-0,135224666328;0,000000020495;-0,000000012833;0,000001877461;0,000000311370;0,500018809701;-0,103161904131;0,000000006436;-0,000000004461;0,000007629306;0,000001169474;0,500018809701;-0,143240356877;0,000000025423;-0,000000015880;0,000003935103;0,000000754160;0,500018809701;-0,173299196437;0,000000011849;-0,000000005836;0,000005348870;0,000000965573;0,500018809701;-0,165283505887;0,000000016608;-0,000000010258;0,000005674873;0,000000758179;0,500018809701;-0,171295273799;0,000000018227;-0,000000012374;0,000002139811;0,000000380840;0,500018809701;-0,129212898416;0,000000006880;-0,000000005688;0,000000011726;0,000000011266;0,469959970141;-0,499938586319;0,000000000014;-0,000000000049;0,000003884653;0,000003478229;0,500018809701;-0,117189362592;0,000000002433;-0,000000003845;0,000006566831;0,000006179591;0,500018809701;-0,165283505887;0,000000003517;-0,000000001458
14h29m40s,75m;0,000000757443;0,000000265074;0,500018809701;-0,143240356877;0,000000002592;-0,000000001595;0,000000326981;0,000000292830;-0,201354113359;0,409842291022;0,000000000205;-0,000000000196;0,000001398256;0,000000434044;0,500018809701;-0,091138368307;0,000000004262;-0,000000003456;0,000000013574;0,000000009651;0,500018809701;-0,499938586319;0,000000000227;-0,000000000020;0,000000011747;0,000000010015;-0,016993230726;-0,499938586319;0,000000000115;-0,000000000027;0,000000499212;-0,000000006976;0,500018809701;-0,499938586319;0,000000002085;0,000000000148;0,000003779606;0,000000523083;0,500018809701;-0,125205053141;0,000000012583;-0,000000008979;0,000003793188;0,000000613339;0,500018809701;-0,093142290944;0,000000013426;-0,000000009006;0,000000011825;0,000000011300;0,500018809701;0,279587319596;0,000000000036;-0,000000000010;0,000000034462;0,000000016541;0,500018809701;-0,075106987208;0,000000000126;-0,000000000134;0,000005775033;0,000000947249;0,500018809701;-0,127208975778;0,000000020315;-0,000000012815;0,000001853353;0,000000309692;0,500018809701;-0,095146213581;0,000000006801;-0,000000004481;0,000007580664;0,000001161654;0,500018809701;-0,133220743690;0,000000025415;-0,000000016052;0,000003921915;0,000000754610;0,500018809701;-0,163279583250;0,000000011940;-0,000000005742;0,000005291880;0,000000963631;0,500018809701;-0,157267815338;0,000000016675;-0,000000010403;0,000005625555;0,000000756400;0,500018809701;-0,163279583250;0,000000018029;-0,000000012938;0,000002133632;0,000000380470;0,500018809701;-0,121197207867;0,000000007356;-0,000000005759;0,000000012237;0,000000011273;-0,499938586319;-0,375695382805;0,000000000015;-0,000000000123;0,000003822369;0,000003399602;0,500018809701;-0,153259970064;0,000000002612;-0,000000002663;0,000006494692;0,000006105678;0,500018809701;-0,171295273799;0,000000002166;-0,000000001360
