Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE


2025-04-19_10h04m23s,24m
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,49993858631900023300;0,00000107834416578065;0,00000001045361634822;0,00000205418269247715;0,00000229585918055116;0,00000232822885774681;0,00000001172393277951;0,00000374522067294608;0,00000029532216016329;0,00000342637370180154;0,00000131103620309289;0,00000226305018931809;0,00000074292016540607;0,00000198225884312887;0,00000446754168425739;0,00000001026964556624;0,00000001172361356789;0,00000001164844070390;0,00000269172620508976;0,00001612759786878372;0,00000001015562538381
-0,49793466368168559600;0,00000107941338303189;0,00000001063079977006;0,00000204919732183863;0,00000229602506849693;0,00000232780402821997;0,00000001172477946058;0,00000374377315103827;0,00000029542512275005;0,00000342659861403309;0,00000131088381651128;0,00000226226766359189;0,00000074301410591005;0,00000197738489146743;0,00000445288488336508;0,00000001045551298864;0,00000001157387770868;0,00000001167122585020;0,00000269147647335637;0,00001611029424641488;0,00000001034422502716
-0,49593074104437096000;0,00000108041162560935;0,00000001079771843243;0,00000204413492661417;0,00000229616936366662;0,00000232738943784022;0,00000001172394891503;0,00000374240134780189;0,00000029552185135990;0,00000342682279309318;0,00000131073616384185;0,00000226152820158938;0,00000074309950984520;0,00000197237829490249;0,00000443842898813056;0,00000001062975822508;0,00000001143427866077;0,00000001169141857798;0,00000269099512111925;0,00001609256997309440;0,00000001052120000029
-0,49392681840705632300;0,00000108133889351303;0,00000001095437233533;0,00000203899550680375;0,00000229629206606023;0,00000232698508660757;0,00000001172144114286;0,00000374110526323694;0,00000029561234599283;0,00000342704623898181;0,00000131059324508460;0,00000226083180331057;0,00000074317637721152;0,00000196723905343404;0,00000442417399855381;0,00000001079238127555;0,00000001130481642415;0,00000001170901888722;0,00000269028214837841;0,00001607442504882226;0,00000001068655030318
-0,49192289576974174100;0,00000108219518674293;0,00000001110076147874;0,00000203377906240739;0,00000229639317567776;0,00000232659097452203;0,00000001171725614407;0,00000373988489734342;0,00000029569660664886;0,00000342726895169898;0,00000131045506023953;0,00000226017846875545;0,00000074324470800901;0,00000196196716706209;0,00000441011991463484;0,00000001094338214006;0,00000001118549099884;0,00000001172402677794;0,00000268933755513383;0,00001605585947359848;0,00000001084027593584
-0,48991897313242710500;0,00000108298050529904;0,00000001123688586269;0,00000202848559342509;0,00000229647269251920;0,00000232620710158358;0,00000001171139391867;0,00000373874025012133;0,00000029577463332797;0,00000342749093124469;0,00000131032160930663;0,00000225956819792403;0,00000074330450223767;0,00000195656263578663;0,00000439626673637364;0,00000001108276081861;0,00000001107630238482;0,00000001173644225014;0,00000268816134138553;0,00001603687324742306;0,00000001098237689827
-0,48791505049511246800;0,00000108369484918137;0,00000001136274548716;0,00000202311509985683;0,00000229653061658456;0,00000232583346779223;0,00000001170385446665;0,00000373767132157067;0,00000029584642603016;0,00000342771217761894;0,00000131019289228592;0,00000225900099081630;0,00000074335575989750;0,00000195102545960767;0,00000438261446377023;0,00000001121051731120;0,00000001097725058211;0,00000001174626530380;0,00000268675350713350;0,00001601746637029599;0,00000001111285319046
-0,48591112785779783100;0,00000108433821838992;0,00000001147834035215;0,00000201766758170264;0,00000229656694787383;0,00000232547007314798;0,00000001169463778801;0,00000373667811169145;0,00000029591198475545;0,00000342793269082173;0,00000131006890917739;0,00000225847684743226;0,00000074339848098850;0,00000194535563852520;0,00000436916309682460;0,00000001132665161782;0,00000001088833559069;0,00000001175349593894;0,00000268511405237775;0,00001599763884221727;0,00000001123170481243
-0,48390720522048319400;0,00000108491061292468;0,00000001158367045767;0,00000201214303896249;0,00000229658168638703;0,00000232511691765083;0,00000001168374388276;0,00000373576062048365;0,00000029597130950382;0,00000342815247085306;0,00000130994965998103;0,00000225799576777193;0,00000074343266551067;0,00000193955317253923;0,00000435591263553674;0,00000001143116373848;0,00000001080955741057;0,00000001175813415555;0,00000268324297711826;0,00001597739066318691;0,00000001133893176416
-0,48190328258316855700;0,00000108541203278566;0,00000001167873580372;0,00000200654147163640;0,00000229657483212414;0,00000232477400130077;0,00000001167117275089;0,00000373491884794728;0,00000029602440027528;0,00000342837151771292;0,00000130983514469686;0,00000225755775183528;0,00000074345831346401;0,00000193361806164975;0,00000434286307990666;0,00000001152405367318;0,00000001074091604175;0,00000001176017995364;0,00000268114028135505;0,00001595672183320489;0,00000001143453404566
