Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,199961390139000  To 0,799996005881000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-03-19_13h59m41s,62m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
13h59m47s,35m;0,000001850563;0,000000562568;-0,199961390139;0,519446836657;0,000000008607;-0,000000016433;0,000001057108;0,000000532833;-0,143851556294;0,317050650288;0,000000006260;-0,000000006260;0,000000878698;0,000000305908;0,799996005881;0,250921203257;0,000000007042;-0,000000004695;0,000001493743;0,000000507793;0,799996005881;0,248917280619;0,000000011737;-0,000000006260;0,000000330948;0,000000085243;0,799996005881;0,204830982599;0,000000003913;-0,000000002348;0,000001969503;0,000000672118;0,799996005881;0,228878054246;0,000000012520;-0,000000006260;0,000002403008;0,000000903738;0,799996005881;0,150725071391;0,000000008608;-0,000000003912;0,000002764523;0,000000720633;0,799996005881;0,160744684578;0,000000015650;-0,000000007825;0,000004933613;0,000001418623;0,799996005881;0,194811369412;0,000000021128;-0,000000011738;0,000001531303;0,000000390418;0,799996005881;0,186795678863;0,000000011738;-0,000000007043;0,000000013253;0,000000010123;-0,165894705305;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,035639733879;0,090607392272;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,147859401569;-0,199961390139;0,000000001565;-0,000000001565;0,000003777078;0,000003440603;-0,165894705305;0,252925125894;0,000000005478;-0,000000004695;0,000003315403;0,000000819228;0,799996005881;0,192807446775;0,000000015650;-0,000000007825;0,000000014818;0,000000011688;-0,147859401569;-0,199961390139;0,000000001565;-0,000000001565;0,000002532903;0,000000654903;0,799996005881;0,182787833588;0,000000011738;-0,000000006260;0,000000323123;0,000000068028;0,799996005881;0,158740761940;0,000000003130;-0,000000002347;0,000002052448;0,000001035198;0,799996005881;0,164752529852;0,000000007825;-0,000000004695;0,000001417058;0,000000282433;0,799996005881;0,210842750510;0,000000012520;-0,000000008608
13h59m54s,47m;0,000002246508;0,000000471798;0,799996005881;0,194811369412;0,000000017997;-0,000000014867;0,000001856823;0,000000417023;0,799996005881;0,172768220402;0,000000010955;-0,000000007042;0,000001531303;0,000000263653;0,799996005881;0,180783910951;0,000000007825;-0,000000005478;0,000002248073;0,000000463973;0,799996005881;0,160744684578;0,000000011738;-0,000000008607;0,000000482753;0,000000083678;0,799996005881;0,148721148754;0,000000005478;-0,000000003912;0,000002675318;0,000000620473;0,799996005881;0,166756452490;0,000000010955;-0,000000008608;0,000002931978;0,000000814533;0,799996005881;0,108642696007;0,000000012520;-0,000000005478;0,000003393653;0,000000689333;0,799996005881;0,128681922381;0,000000015650;-0,000000010955;0,000006069803;0,000001356023;0,799996005881;0,134693690293;0,000000025823;-0,000000014867;0,000002016453;0,000000377898;0,799996005881;0,148721148754;0,000000014867;-0,000000013303;0,000000014818;0,000000010123;0,487384074460;-0,193949622227;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,181926086403;-0,185933931678;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,195953544864;-0,193949622227;0,000000001565;-0,000000001565;0,000003797423;0,000003285668;0,799996005881;0,198819214687;0,000000004695;-0,000000005478;0,000003977398;0,000000781668;0,799996005881;0,136697612930;0,000000017998;-0,000000012520;0,000000014818;0,000000011688;0,016462254691;-0,199961390139;0,000000001565;-0,000000001565;0,000003140123;0,000000589173;0,799996005881;0,138701535567;0,000000012520;-0,000000008607;0,000000374768;0,000000068028;0,793984237969;0,114654463919;0,000000003130;-0,000000002348;0,000002731658;0,000000988248;0,799996005881;0,140705458204;0,000000010955;-0,000000007043;0,000001670588;0,000000302778;0,797992083244;0,116658386557;0,000000018780;-0,000000012520
14h00m01s,60m;0,000002581418;0,000000432673;0,799996005881;0,158740761940;0,000000026605;-0,000000012520;0,000002171388;0,000000407633;0,799996005881;0,144713303479;0,000000011737;-0,000000009390;0,000001761358;0,000000260523;0,799996005881;0,144713303479;0,000000008608;-0,000000007043;0,000002218338;0,000000445193;0,795988160606;0,150725071391;0,000000014867;-0,000000009390;0,000000531268;0,000000082113;0,797992083244;0,116658386557;0,000000003912;-0,000000004695;0,000002927283;0,000000603258;0,799996005881;0,132689767655;0,000000012520;-0,000000009390;0,000003127603;0,000000794188;0,799996005881;0,104634850733;0,000000013302;-0,000000006260;0,000003537633;0,000000664293;0,799996005881;0,124674077106;0,000000016433;-0,000000010173;0,000006500178;0,000001340373;0,799996005881;0,114654463919;0,000000026605;-0,000000019562;0,000002237118;0,000000370073;0,799996005881;0,148721148754;0,000000016432;-0,000000010955;0,000000013253;0,000000008558;-0,183930009040;-0,101769180911;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,096619160184;0,070568165898;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,011592662231;-0,193949622227;0,000000001565;-0,000000001565;0,000003806813;0,000003196463;0,799996005881;0,188799601500;0,000000004695;-0,000000005478;0,000004235623;0,000000770713;0,799996005881;0,132689767655;0,000000018780;-0,000000014085;0,000000014818;0,000000011688;-0,141847633657;-0,191945699590;0,000000001565;-0,000000001565;0,000003475033;0,000000564133;0,799996005881;0,126677999743;0,000000014085;-0,000000010173;0,000000401373;0,000000066463;0,799996005881;0,134693690293;0,000000002348;-0,000000003130;0,000003413998;0,000000974163;0,799996005881;0,124674077106;0,000000012520;-0,000000010955;0,000001758228;0,000000313733;0,797992083244;0,102630928096;0,000000025040;-0,000000014085
14h00m08s,74m;0,000002684708;0,000000418588;0,799996005881;0,150725071391;0,000000028952;-0,000000025040;0,000002334148;0,000000406068;0,799996005881;0,122670154469;0,000000012520;-0,000000008608;0,000001866213;0,000000255828;0,799996005881;0,144713303479;0,000000009390;-0,000000006260;0,000002208948;0,000000440498;0,799996005881;0,138701535567;0,000000014867;-0,000000008608;0,000000553178;0,000000080548;0,799996005881;0,120666231831;0,000000003913;-0,000000004695;0,000003014923;0,000000600128;0,799996005881;0,130685845018;0,000000012520;-0,000000011738;0,000003224633;0,000000783233;0,799996005881;0,104634850733;0,000000013303;-0,000000007825;0,000003689438;0,000000656468;0,799996005881;0,102630928096;0,000000016433;-0,000000014867;0,000006730233;0,000001326288;0,799996005881;0,112650541282;0,000000032865;-0,000000022693;0,000002338843;0,000000370073;0,799996005881;0,132689767655;0,000000019562;-0,000000010173;0,000000014818;0,000000010123;-0,147859401569;-0,181926086403;0,000000001565;-0,000000002348;0,000000014818;0,000000010123;-0,157879014755;0,040509326339;0,000000001565;-0,000000002348;0,000000014818;0,000000010123;-0,111788794097;0,713827332476;0,000000001565;-0,000000001565;0,000003808378;0,000003135428;0,795988160606;0,186795678863;0,000000005478;-0,000000005478;0,000004360823;0,000000767583;0,799996005881;0,126677999743;0,000000020345;-0,000000014867;0,000000014818;0,000000011688;-0,085737799812;-0,199961390139;0,000000001565;-0,000000001565;0,000003665963;0,000000556308;0,799996005881;0,134693690293;0,000000015650;-0,000000010955;0,000000407633;0,000000068028;0,799996005881;0,108642696007;0,000000003913;-0,000000002348;0,000003637793;0,000000947558;0,799996005881;0,118662309194;0,000000014085;-0,000000010955;0,000001809873;0,000000318428;0,799996005881;0,116658386557;0,000000023475;-0,000000015650
14h00m15s,87m;0,000002737918;0,000000415458;0,799996005881;0,138701535567;0,000000042255;-0,000000028952;0,000002423353;0,000000401373;0,799996005881;0,128681922381;0,000000017215;-0,000000010173;0,000001919423;0,000000255828;0,799996005881;0,136697612930;0,000000009390;-0,000000007043;0,000002224598;0,000000438933;0,799996005881;0,136697612930;0,000000017215;-0,000000009390;0,000000562568;0,000000082113;0,799996005881;0,114654463919;0,000000003913;-0,000000003912;0,000002957018;0,000000589173;0,799996005881;0,128681922381;0,000000016433;-0,000000010173;0,000003277843;0,000000775408;0,799996005881;0,106638773370;0,000000014085;-0,000000007825;0,000003753603;0,000000643948;0,799996005881;0,110646618645;0,000000021127;-0,000000014867;0,000006841348;0,000001321593;0,799996005881;0,108642696007;0,000000032865;-0,000000021910;0,000002388923;0,000000365378;0,799996005881;0,130685845018;0,000000016432;-0,000000015650;0,000000013253;0,000000008558;-0,153871169481;-0,187937854315;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,103773103548;0,004438718867;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,058544630075;0,727854790938;0,000000001565;-0,000000001565;0,000003806813;0,000003086913;0,799996005881;0,184791756225;0,000000004695;-0,000000007043;0,000004412468;0,000000758193;0,799996005881;0,116658386557;0,000000018780;-0,000000016432;0,000000014818;0,000000010123;-0,071710341351;0,615635123248;0,000000001565;-0,000000001565;0,000003792728;0,000000548483;0,799996005881;0,130685845018;0,000000016433;-0,000000011738;0,000000417023;0,000000068028;0,799996005881;0,130685845018;0,000000003130;-0,000000003130;0,000003770818;0,000000928778;0,799996005881;0,124674077106;0,000000014867;-0,000000012520;0,000001856823;0,000000309038;0,797992083244;0,072572088536;0,000000025040;-0,000000020345
14h00m22s,97m;0,000002752003;0,000000410763;0,799996005881;0,140705458204;0,000000047733;-0,000000029735;0,000002465608;0,000000399808;0,799996005881;0,134693690293;0,000000015650;-0,000000010955;0,000001950723;0,000000252698;0,799996005881;0,142709380842;0,000000009390;-0,000000007043;0,000002249638;0,000000431108;0,799996005881;0,144713303479;0,000000016433;-0,000000009390;0,000000565698;0,000000078983;0,795988160606;0,126677999743;0,000000003913;-0,000000003130;0,000002927283;0,000000590738;0,799996005881;0,126677999743;0,000000014867;-0,000000010955;0,000003318533;0,000000773843;0,799996005881;0,108642696007;0,000000014085;-0,000000008608;0,000003802118;0,000000637688;0,799996005881;0,110646618645;0,000000019562;-0,000000015650;0,000006908643;0,000001324723;0,799996005881;0,114654463919;0,000000035995;-0,000000022693;0,000002445263;0,000000360683;0,799996005881;0,126677999743;0,000000023475;-0,000000011738;0,000000014818;0,000000008558;-0,083733877175;-0,189941776952;0,000000001565;-0,000000002348;0,000000014818;0,000000010123;-0,037643656517;0,046521094251;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,039647579154;-0,191945699590;0,000000000783;-0,000000001565;0,000003781773;0,000003032138;0,799996005881;0,168760375127;0,000000005478;-0,000000006260;0,000004454723;0,000000764453;0,799996005881;0,114654463919;0,000000018780;-0,000000014867;0,000000014818;0,000000011688;-0,163890782667;-0,197957467502;0,000000001565;-0,000000001565;0,000003864718;0,000000550048;0,799996005881;0,126677999743;0,000000017215;-0,000000012520;0,000000413893;0,000000066463;0,797992083244;0,120666231831;0,000000003130;-0,000000003130;0,000003867848;0,000000917823;0,799996005881;0,124674077106;0,000000016433;-0,000000014085;0,000001905338;0,000000298083;0,799996005881;0,118662309194;0,000000029735;-0,000000017215
14h00m30s,09m;0,000002767653;0,000000413893;0,799996005881;0,130685845018;0,000000035995;-0,000000020345;0,000002495343;0,000000398243;0,799996005881;0,134693690293;0,000000017997;-0,000000011738;0,000001971068;0,000000254263;0,799996005881;0,140705458204;0,000000009390;-0,000000007043;0,000002323193;0,000000442063;0,793984237969;0,152728994028;0,000000016433;-0,000000009390;0,000000573523;0,000000080548;0,799996005881;0,138701535567;0,000000004695;-0,000000003130;0,000002921023;0,000000590738;0,799996005881;0,134693690293;0,000000013303;-0,000000012520;0,000003334183;0,000000770713;0,799996005881;0,118662309194;0,000000015650;-0,000000007825;0,000003819333;0,000000642383;0,799996005881;0,108642696007;0,000000018780;-0,000000013303;0,000006954028;0,000001324723;0,799996005881;0,114654463919;0,000000037560;-0,000000027388;0,000002435873;0,000000357553;0,799996005881;0,128681922381;0,000000019562;-0,000000010955;0,000000013253;0,000000008558;-0,095757412999;-0,193949622227;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,197957467502;-0,171906473217;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,105777026185;0,110646618645;0,000000001565;-0,000000001565;0,000003753603;0,000002967973;0,797992083244;0,188799601500;0,000000005478;-0,000000007043;0,000004476633;0,000000762888;0,799996005881;0,124674077106;0,000000019562;-0,000000015650;0,000000014818;0,000000011688;-0,041651501791;-0,199961390139;0,000000001565;-0,000000001565;0,000003914798;0,000000545353;0,799996005881;0,124674077106;0,000000016433;-0,000000012520;0,000000299648;0,000000050813;0,797992083244;0,116658386557;0,000000002348;-0,000000002348;0,000003950793;0,000000905303;0,799996005881;0,128681922381;0,000000016433;-0,000000014867;0,000001894383;0,000000316863;0,789976392694;0,096619160184;0,000000024257;-0,000000021128
14h00m37s,21m;0,000002775478;0,000000413893;0,799996005881;0,130685845018;0,000000051645;-0,000000028170;0,000002525078;0,000000398243;0,799996005881;0,136697612930;0,000000017215;-0,000000009390;0,000001974198;0,000000257393;0,799996005881;0,138701535567;0,000000011737;-0,000000007825;0,000002266853;0,000000443628;0,797992083244;0,150725071391;0,000000017215;-0,000000010955;0,000000571958;0,000000082113;0,799996005881;0,128681922381;0,000000004695;-0,000000003912;0,000002921023;0,000000592303;0,799996005881;0,134693690293;0,000000015650;-0,000000011737;0,000003326358;0,000000770713;0,799996005881;0,114654463919;0,000000014867;-0,000000008608;0,000003831853;0,000000631428;0,799996005881;0,114654463919;0,000000016433;-0,000000016433;0,000006979068;0,000001321593;0,799996005881;0,120666231831;0,000000042255;-0,000000025040;0,000002451523;0,000000363813;0,799996005881;0,134693690293;0,000000020345;-0,000000011737;0,000000014818;0,000000008558;-0,109784871460;-0,165894705305;0,000000001565;-0,000000002348;0,000000014818;0,000000010123;-0,077722109263;-0,037643656517;0,000000000783;-0,000000001565;0,000000014818;0,000000010123;0,034497558427;-0,181926086403;0,000000001565;-0,000000001565;0,000003747343;0,000002936673;0,799996005881;0,176776065676;0,000000006260;-0,000000007825;0,000004492283;0,000000756628;0,799996005881;0,130685845018;0,000000019562;-0,000000015650;0,000000014818;0,000000011688;-0,165894705305;-0,199961390139;0,000000001565;-0,000000001565;0,000003952358;0,000000545353;0,799996005881;0,134693690293;0,000000015650;-0,000000013302;0,000000299648;0,000000050813;0,799996005881;0,114654463919;0,000000003130;-0,000000002348;0,000004022783;0,000000899043;0,799996005881;0,126677999743;0,000000017997;-0,000000016432;0,000001930378;0,000000327818;0,799996005881;0,090607392272;0,000000023475;-0,000000025040
14h00m44s,37m;0,000002786433;0,000000413893;0,799996005881;0,146717226116;0,000000042255;-0,000000011738;0,000002534468;0,000000401373;0,799996005881;0,136697612930;0,000000017215;-0,000000012520;0,000001988283;0,000000257393;0,799996005881;0,140705458204;0,000000010173;-0,000000008608;0,000002268418;0,000000443628;0,799996005881;0,138701535567;0,000000016433;-0,000000011738;0,000000576653;0,000000082113;0,799996005881;0,134693690293;0,000000003913;-0,000000003130;0,000002942933;0,000000590738;0,799996005881;0,144713303479;0,000000016433;-0,000000011738;0,000003323228;0,000000762888;0,799996005881;0,126677999743;0,000000015650;-0,000000008607;0,000003830288;0,000000629863;0,799996005881;0,120666231831;0,000000022693;-0,000000017215;0,000006991588;0,000001324723;0,799996005881;0,120666231831;0,000000037560;-0,000000035995;0,000002456218;0,000000357553;0,799996005881;0,130685845018;0,000000019562;-0,000000011738;0,000000013253;0,000000008558;-0,071710341351;-0,199961390139;0,000000002348;-0,000000002348;0,000000014818;0,000000010123;-0,177918241129;0,022474022603;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,055678960252;-0,185933931678;0,000000001565;-0,000000001565;0,000003742648;0,000002908503;0,799996005881;0,186795678863;0,000000005478;-0,000000006260;0,000004486023;0,000000753498;0,799996005881;0,134693690293;0,000000022692;-0,000000017215;0,000000014818;0,000000011688;-0,195953544864;-0,199961390139;0,000000001565;-0,000000001565;0,000003982093;0,000000545353;0,799996005881;0,136697612930;0,000000017998;-0,000000013302;0,000000298083;0,000000050813;0,793984237969;0,132689767655;0,000000002348;-0,000000002348;0,000004090078;0,000000892783;0,799996005881;0,126677999743;0,000000019562;-0,000000026605;0,000001942898;0,000000327818;0,799996005881;0,106638773370;0,000000021910;-0,000000017215
14h00m51s,50m;0,000002789563;0,000000413893;0,799996005881;0,138701535567;0,000000057123;-0,000000031300;0,000002540728;0,000000398243;0,799996005881;0,138701535567;0,000000016433;-0,000000010173;0,000001994543;0,000000258958;0,799996005881;0,150725071391;0,000000012520;-0,000000007825;0,000002248073;0,000000454583;0,799996005881;0,144713303479;0,000000013303;-0,000000010955;0,000000568828;0,000000082113;0,799996005881;0,154732916666;0,000000003912;-0,000000005478;0,000002930413;0,000000590738;0,799996005881;0,150725071391;0,000000014867;-0,000000012520;0,000003306013;0,000000767583;0,799996005881;0,122670154469;0,000000014085;-0,000000009390;0,000003834983;0,000000623603;0,797992083244;0,124674077106;0,000000018780;-0,000000017215;0,000007008803;0,000001318463;0,799996005881;0,122670154469;0,000000042255;-0,000000045385;0,000002453088;0,000000363813;0,799996005881;0,126677999743;0,000000019562;-0,000000014867;0,000000013253;0,000000008558;-0,075718186625;-0,177918241129;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,195953544864;0,064556397987;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,153871169481;-0,199961390139;0,000000001565;-0,000000001565;0,000003737953;0,000002885028;0,797992083244;0,178779988313;0,000000005478;-0,000000006260;0,000004498543;0,000000755063;0,799996005881;0,136697612930;0,000000019562;-0,000000017997;0,000000014818;0,000000011688;-0,089745645087;-0,199961390139;0,000000001565;-0,000000001565;0,000003991483;0,000000550048;0,799996005881;0,130685845018;0,000000016433;-0,000000014867;0,000000298083;0,000000049248;0,795988160606;0,142709380842;0,000000003912;-0,000000002348;0,000004143288;0,000000889653;0,799996005881;0,130685845018;0,000000021910;-0,000000018780;0,000001906903;0,000000330948;0,799996005881;0,110646618645;0,000000025823;-0,000000025823
