Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,199961390139000  To 0,799996005881000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-03-20_10h18m48s,43m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
10h18m54s,13m;0,000000014818;0,000000011688;-0,191945699590;-0,187937854315;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,729858713575;-0,193949622227;0,000000001565;-0,000000001565;0,000000017948;0,000000011688;0,771941088959;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,137839788382;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,197957467502;-0,199961390139;0,000000001565;-0,000000001565;0,000000017948;0,000000011688;0,791980315332;-0,193949622227;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,781960702145;-0,197957467502;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,749897939948;-0,189941776952;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,167898627942;-0,193949622227;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,169902550579;-0,193949622227;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,236893744796;-0,129824097833;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,171906473217;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,169902550579;-0,185933931678;0,000000001565;-0,000000001565;0,000003676918;0,000002365448;0,799996005881;-0,155875092118;0,000000005478;-0,000000003912;0,000006061978;0,000000683073;0,799996005881;-0,125816252558;0,000000019562;-0,000000007825;0,000000014818;0,000000010123;-0,175914318491;0,128681922381;0,000000001565;-0,000000001565;0,000005235658;0,000000521878;0,799996005881;-0,113792716734;0,000000017215;-0,000000007043;0,000000553178;0,000000058638;0,789976392694;-0,115796639372;0,000000006260;-0,000000003130;0,000005747413;0,000000823923;0,797992083244;-0,117800562009;0,000000019563;-0,000000008608;0,000000431108;0,000000409198;0,791980315332;0,056540707437;0,000000002348;-0,000000003130
10h19m01s,34m;0,000000016383;0,000000011688;0,509427223470;-0,189941776952;0,000000001565;-0,000000001565;0,000000016383;0,000000010123;0,711823409839;-0,199961390139;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,719839100388;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,147859401569;-0,189941776952;0,000000001565;-0,000000001565;0,000000017948;0,000000011688;0,729858713575;-0,199961390139;0,000000001565;-0,000000001565;0,000000016383;0,000000010123;0,701803796653;0,124674077106;0,000000001565;-0,000000002348;0,000000016383;0,000000011688;0,787972470057;-0,199961390139;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,745890094674;-0,189941776952;0,000000001565;-0,000000001565;0,000000016383;0,000000010123;0,745890094674;-0,167898627942;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,181926086403;-0,197957467502;0,000000001565;-0,000000001565;0,000000013253;0,000000010123;-0,169902550579;-0,185933931678;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,125816252558;-0,187937854315;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,137839788382;0,222866286334;0,000000001565;-0,000000001565;0,000003886628;0,000002326323;0,799996005881;-0,119804484646;0,000000007825;-0,000000004695;0,000006061978;0,000000667423;0,799996005881;-0,115796639372;0,000000018780;-0,000000008608;0,000000014818;0,000000010123;-0,057682882890;-0,003576971682;0,000000001565;-0,000000001565;0,000005220008;0,000000520313;0,799996005881;-0,097761335636;0,000000017215;-0,000000008607;0,000000545353;0,000000061768;0,799996005881;-0,109784871460;0,000000005478;-0,000000003130;0,000005822533;0,000000787928;0,799996005881;-0,093753490361;0,000000020345;-0,000000014867;0,000000462408;0,000000434238;0,737874404124;-0,089745645087;0,000000002348;-0,000000003130
10h19m08s,48m;0,000000014818;0,000000011688;-0,195953544864;-0,189941776952;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,689780260829;-0,199961390139;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,705811641927;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,067702496076;-0,083733877175;0,000000001565;-0,000000001565;0,000000017948;0,000000011688;0,753905785223;-0,191945699590;0,000000001565;-0,000000001565;0,000000016383;0,000000010123;0,687776338191;-0,183930009040;0,000000002348;-0,000000001565;0,000000014818;0,000000011688;-0,037643656517;-0,193949622227;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,695792028741;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,104634850733;-0,161886860030;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,013596584869;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,011592662231;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,195953544864;-0,193949622227;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,122670154469;-0,117800562009;0,000000001565;-0,000000001565;0,000003936708;0,000002276243;0,799996005881;-0,131828020470;0,000000007825;-0,000000003912;0,000006083888;0,000000665858;0,799996005881;-0,101769180911;0,000000020345;-0,000000008608;0,000000014818;0,000000011688;0,110646618645;-0,193949622227;0,000000000783;-0,000000001565;0,000005213748;0,000000520313;0,799996005881;-0,083733877175;0,000000017215;-0,000000009390;0,000000532833;0,000000061768;0,797992083244;-0,081729954537;0,000000005478;-0,000000003130;0,000005866353;0,000000791058;0,799996005881;-0,069706418714;0,000000020345;-0,000000013303;0,000000467103;0,000000432673;0,767933243684;-0,065698573439;0,000000004695;-0,000000003130
10h19m15s,61m;0,000000014818;0,000000011688;-0,197957467502;-0,165894705305;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,713827332476;-0,187937854315;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,707815564565;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,033635811242;-0,197957467502;0,000000001565;-0,000000001565;0,000000017948;0,000000011688;0,763925398409;-0,199961390139;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,639682194896;-0,199961390139;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,683768492917;-0,195953544864;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,727854790938;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,001573049045;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;0,186795678863;-0,199961390139;0,000000001565;-0,000000001565;0,000000013253;0,000000010123;-0,199961390139;-0,177918241129;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,189941776952;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;0,086599546997;-0,199961390139;0,000000001565;-0,000000001565;0,000003969573;0,000002251203;0,799996005881;-0,115796639372;0,000000007825;-0,000000003913;0,000006076063;0,000000672118;0,799996005881;-0,089745645087;0,000000020345;-0,000000008608;0,000000014818;0,000000011688;-0,053675037615;-0,195953544864;0,000000001565;-0,000000001565;0,000005221573;0,000000517183;0,799996005881;-0,071710341351;0,000000017997;-0,000000009390;0,000000534398;0,000000060203;0,797992083244;-0,081729954537;0,000000005478;-0,000000003130;0,000005882003;0,000000798883;0,799996005881;-0,071710341351;0,000000021127;-0,000000012520;0,000000478058;0,000000437368;0,779956779508;-0,063694650802;0,000000003130;-0,000000003130
10h19m22s,72m;0,000000014818;0,000000011688;-0,139843711020;-0,195953544864;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,053675037615;-0,199961390139;0,000000001565;-0,000000001565;0,000000016383;0,000000010123;0,737874404124;-0,139843711020;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,099765258273;-0,195953544864;0,000000001565;-0,000000001565;0,000000017948;0,000000011688;0,755909707860;-0,195953544864;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,727854790938;-0,187937854315;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,691784183466;-0,199961390139;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,719839100388;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,159882937393;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,085737799812;-0,181926086403;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,361136948309;-0,151867246843;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,167898627942;0,483376229185;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;0,204830982599;-0,199961390139;0,000000001565;-0,000000000783;0,000003982093;0,000002223033;0,799996005881;-0,113792716734;0,000000008607;-0,000000004695;0,000006068238;0,000000672118;0,799996005881;-0,089745645087;0,000000020345;-0,000000008608;0,000000014818;0,000000011688;-0,139843711020;-0,185933931678;0,000000001565;-0,000000001565;0,000005230963;0,000000518748;0,799996005881;-0,073714263988;0,000000018780;-0,000000009390;0,000000528138;0,000000060203;0,799996005881;-0,081729954537;0,000000006260;-0,000000003912;0,000005878873;0,000000803578;0,799996005881;-0,067702496076;0,000000021910;-0,000000011738;0,000000478058;0,000000442063;0,793984237969;0,086599546997;0,000000003130;-0,000000003130
10h19m29s,85m;0,000000014818;0,000000011688;-0,155875092118;-0,195953544864;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,701803796653;-0,197957467502;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,731862636212;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,084595624360;0,214850595785;0,000000001565;-0,000000002348;0,000000017948;0,000000011688;0,751901862585;-0,197957467502;0,000000001565;-0,000000002348;0,000000016383;0,000000010123;0,709819487202;-0,049667192340;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,049667192340;-0,199961390139;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,753905785223;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,104634850733;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,117800562009;-0,199961390139;0,000000001565;-0,000000001565;0,000000013253;0,000000010123;-0,173910395854;-0,193949622227;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,155875092118;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,133831943108;-0,199961390139;0,000000001565;-0,000000001565;0,000003997743;0,000002207383;0,797992083244;-0,117800562009;0,000000007825;-0,000000005478;0,000006065108;0,000000675248;0,799996005881;-0,089745645087;0,000000020345;-0,000000008607;0,000000014818;0,000000011688;-0,037643656517;-0,195953544864;0,000000001565;-0,000000001565;0,000005218443;0,000000523443;0,797992083244;-0,067702496076;0,000000017215;-0,000000008607;0,000000529703;0,000000061768;0,797992083244;-0,081729954537;0,000000005478;-0,000000002348;0,000005877308;0,000000800448;0,799996005881;-0,061690728164;0,000000021910;-0,000000012520;0,000000487448;0,000000453018;0,789976392694;-0,009588739594;0,000000003913;-0,000000003130
10h19m36s,98m;0,000000014818;0,000000010123;-0,197957467502;-0,009588739594;0,000000002348;-0,000000001565;0,000000016383;0,000000011688;0,585576283688;-0,199961390139;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,575556670502;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,081729954537;-0,197957467502;0,000000001565;-0,000000001565;0,000000017948;0,000000011688;0,781960702145;-0,199961390139;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,621646891160;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,169902550579;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,017604430143;-0,199961390139;0,000000001565;-0,000000001565;0,000000016383;0,000000010123;0,695792028741;-0,175914318491;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,135835865745;-0,199961390139;0,000000001565;-0,000000001565;0,000000013253;0,000000010123;-0,189941776952;-0,195953544864;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,105777026185;-0,191945699590;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,051671114978;-0,175914318491;0,000000001565;-0,000000001565;0,000004010263;0,000002190168;0,799996005881;-0,107780948823;0,000000008608;-0,000000004695;0,000006054153;0,000000673683;0,799996005881;-0,081729954537;0,000000020345;-0,000000008608;0,000000014818;0,000000011688;-0,171906473217;-0,199961390139;0,000000001565;-0,000000001565;0,000005210618;0,000000521878;0,799996005881;-0,067702496076;0,000000018780;-0,000000010173;0,000000529703;0,000000061768;0,799996005881;-0,077722109263;0,000000007043;-0,000000002348;0,000005882003;0,000000800448;0,799996005881;-0,059686805527;0,000000019562;-0,000000012520;0,000000492143;0,000000454583;0,787972470057;0,080587779085;0,000000003130;-0,000000002348
10h19m44s,15m;0,000000014818;0,000000011688;-0,189941776952;-0,193949622227;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,735870481487;-0,193949622227;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,687776338191;-0,193949622227;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,143851556294;0,138701535567;0,000000001565;-0,000000001565;0,000000017948;0,000000011688;0,717835177751;-0,199961390139;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,745890094674;-0,199961390139;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,655713575994;-0,197957467502;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,773945011596;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,029627965967;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,153871169481;-0,149863324206;0,000000001565;-0,000000002348;0,000000013253;0,000000010123;-0,161886860030;-0,199961390139;0,000000001565;-0,000000000783;0,000000014818;0,000000011688;-0,199961390139;-0,185933931678;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,068564243261;-0,167898627942;0,000000001565;-0,000000001565;0,000004029043;0,000002185473;0,799996005881;-0,103773103548;0,000000008607;-0,000000005478;0,000006047893;0,000000673683;0,799996005881;-0,081729954537;0,000000021128;-0,000000009390;0,000000014818;0,000000011688;-0,113792716734;-0,193949622227;0,000000001565;-0,000000001565;0,000005196533;0,000000525008;0,799996005881;-0,063694650802;0,000000017997;-0,000000010173;0,000000514053;0,000000061768;0,795988160606;-0,083733877175;0,000000004695;-0,000000004695;0,000005869483;0,000000803578;0,799996005881;-0,061690728164;0,000000020345;-0,000000012520;0,000000503098;0,000000460843;0,787972470057;0,042513248976;0,000000003130;-0,000000003912
10h19m51s,34m;0,000000016383;0,000000011688;0,673748879730;-0,183930009040;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,627658659072;-0,199961390139;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,611627277973;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,129824097833;-0,199961390139;0,000000001565;-0,000000001565;0,000000017948;0,000000011688;0,785968547420;-0,199961390139;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,735870481487;-0,197957467502;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,445301699076;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,131828020470;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,029627965967;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,092611314909;-0,193949622227;0,000000001565;-0,000000001565;0,000000013253;0,000000008558;-0,141847633657;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,143851556294;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,033635811242;-0,183930009040;0,000000001565;-0,000000001565;0,000004027478;0,000002166693;0,799996005881;-0,105777026185;0,000000007825;-0,000000003913;0,000006036938;0,000000673683;0,799996005881;-0,079726031900;0,000000019563;-0,000000009390;0,000000014818;0,000000011688;0,044517171613;-0,199961390139;0,000000001565;-0,000000001565;0,000005182448;0,000000523443;0,799996005881;-0,061690728164;0,000000017998;-0,000000009390;0,000000523443;0,000000060203;0,797992083244;-0,063694650802;0,000000003913;-0,000000002348;0,000005856963;0,000000798883;0,799996005881;-0,053675037615;0,000000021128;-0,000000012520;0,000000503098;0,000000462408;0,799996005881;-0,049667192340;0,000000003130;-0,000000003130
10h19m58s,51m;0,000000014818;0,000000011688;-0,159882937393;-0,199961390139;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,689780260829;-0,197957467502;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,711823409839;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,133831943108;-0,191945699590;0,000000001565;-0,000000001565;0,000000017948;0,000000011688;0,793984237969;-0,197957467502;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,715831255114;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,139843711020;-0,199961390139;0,000000001565;-0,000000001565;0,000000016383;0,000000011688;0,617639045885;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,009588739594;-0,183930009040;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,153871169481;-0,197957467502;0,000000001565;-0,000000001565;0,000000013253;0,000000010123;-0,183930009040;-0,195953544864;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,179922163766;-0,193949622227;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,107780948823;-0,181926086403;0,000000001565;-0,000000001565;0,000004036868;0,000002155738;0,799996005881;-0,103773103548;0,000000009390;-0,000000003912;0,000006029113;0,000000673683;0,799996005881;-0,073714263988;0,000000020345;-0,000000009390;0,000000014818;0,000000011688;0,014458332054;-0,191945699590;0,000000001565;-0,000000001565;0,000005174623;0,000000521878;0,799996005881;-0,057682882890;0,000000017215;-0,000000009390;0,000000518748;0,000000061768;0,799996005881;-0,071710341351;0,000000006260;-0,000000002348;0,000005871048;0,000000798883;0,799996005881;-0,051671114978;0,000000020345;-0,000000012520;0,000000504663;0,000000463973;0,767933243684;0,176776065676;0,000000003130;-0,000000003913
