Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,199961390139000  To 0,799996005881000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-03-19_16h26m11s,53m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
16h26m17s,28m;0,000000014818;0,000000010123;-0,071710341351;0,309034959739;0,000000001565;-0,000000001565;0,000000847398;0,000000268348;-0,163890782667;0,645693962808;0,000000007043;-0,000000008608;0,000000014818;0,000000010123;-0,133831943108;0,120666231831;0,000000001565;-0,000000001565;0,000001557908;0,000001534433;-0,167898627942;0,775948934233;0,000000004695;-0,000000004695;0,000000252698;0,000000244873;0,172768220402;0,573552747864;0,000000002347;-0,000000001565;0,000001636158;0,000000576653;-0,123812329921;0,765929321047;0,000000009390;-0,000000012520;0,000001515653;0,000000690898;-0,121808407284;0,709819487202;0,000000006260;-0,000000010173;0,000000014818;0,000000010123;-0,087741722449;-0,191945699590;0,000000001565;-0,000000001565;0,000003007098;0,000001135358;-0,119804484646;0,771941088959;0,000000015650;-0,000000020345;0,000000014818;0,000000010123;0,413238936879;0,186795678863;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,135835865745;-0,183930009040;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;0,054536784800;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,143851556294;-0,187937854315;0,000000001565;-0,000000001565;0,000003199593;0,000002614283;-0,083733877175;0,799996005881;0,000000010173;-0,000000007825;0,000002207383;0,000000709678;-0,181926086403;0,795988160606;0,000000024257;-0,000000021910;0,000000014818;0,000000011688;-0,161886860030;-0,195953544864;0,000000001565;-0,000000001565;0,000001741013;0,000000507793;-0,097761335636;0,795988160606;0,000000011738;-0,000000017215;0,000000091503;0,000000077418;0,230881976884;-0,199961390139;0,000000002348;-0,000000001565;0,000002064968;0,000002043058;0,036501481064;0,759917553135;0,000000003130;-0,000000003130;0,000000014818;0,000000010123;-0,071710341351;0,160744684578;0,000000001565;-0,000000001565
16h26m24s,45m;0,000000014818;0,000000011688;-0,141847633657;-0,197957467502;0,000000001565;-0,000000001565;0,000000695593;0,000000268348;-0,119804484646;0,501411532921;0,000000007042;-0,000000007825;0,000000014818;0,000000011688;-0,007584816957;-0,199961390139;0,000000000783;-0,000000000783;0,000001465573;0,000001440533;0,272964352267;0,787972470057;0,000000006260;-0,000000005478;0,000000216703;0,000000212008;-0,009588739594;-0,163890782667;0,000000001565;-0,000000002348;0,000001611118;0,000000573523;-0,179922163766;0,789976392694;0,000000007043;-0,000000011737;0,000001496873;0,000000684638;-0,183930009040;0,787972470057;0,000000009390;-0,000000008608;0,000000014818;0,000000010123;-0,121808407284;0,587580206326;0,000000001565;-0,000000001565;0,000003072828;0,000001136923;-0,141847633657;0,793984237969;0,000000014867;-0,000000021910;0,000000014818;0,000000010123;-0,013596584869;-0,129824097833;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,005580894319;-0,135835865745;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,079726031900;0,465340925449;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,085737799812;-0,197957467502;0,000000001565;-0,000000001565;0,000003182378;0,000002587678;-0,083733877175;0,799996005881;0,000000013302;-0,000000007825;0,000002315368;0,000000722198;-0,167898627942;0,799996005881;0,000000016433;-0,000000021128;0,000000014818;0,000000011688;0,020470099966;-0,197957467502;0,000000001565;-0,000000000783;0,000001869343;0,000000561003;-0,167898627942;0,799996005881;0,000000012520;-0,000000016433;0,000000091503;0,000000075853;0,200823137324;-0,193949622227;0,000000001565;-0,000000001565;0,000001794223;0,000001772313;0,282983965454;-0,197957467502;0,000000003130;-0,000000003913;0,000000014818;0,000000010123;0,140705458204;0,114654463919;0,000000001565;-0,000000001565
16h26m31s,61m;0,000000014818;0,000000011688;-0,081729954537;-0,195953544864;0,000000001565;-0,000000001565;0,000000694028;0,000000266783;-0,117800562009;0,533474295118;0,000000007825;-0,000000007825;0,000000014818;0,000000010123;-0,095757412999;-0,193949622227;0,000000001565;-0,000000001565;0,000001376368;0,000001360718;-0,183930009040;0,529466449844;0,000000003130;-0,000000003912;0,000000196358;0,000000188533;0,090607392272;0,715831255114;0,000000002348;-0,000000002348;0,000001690933;0,000000586043;-0,141847633657;0,793984237969;0,000000009390;-0,000000011738;0,000001578253;0,000000684638;-0,131828020470;0,785968547420;0,000000006260;-0,000000009390;0,000000014818;0,000000010123;-0,025620120693;0,613631200611;0,000000001565;-0,000000001565;0,000003196463;0,000001201088;-0,169902550579;0,799996005881;0,000000025040;-0,000000021128;0,000000014818;0,000000011688;0,046521094251;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,160744684578;-0,185933931678;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,026481867878;-0,015600507506;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;0,052532862163;-0,197957467502;0,000000001565;-0,000000001565;0,000003216808;0,000002593938;-0,069706418714;0,797992083244;0,000000010173;-0,000000007825;0,000002379533;0,000000791058;-0,155875092118;0,777952856871;0,000000015650;-0,000000021910;0,000000014818;0,000000010123;-0,109784871460;-0,155875092118;0,000000001565;-0,000000002348;0,000001980458;0,000000634558;-0,155875092118;0,779956779508;0,000000010955;-0,000000016433;0,000000097763;0,000000080548;0,295007501278;-0,197957467502;0,000000002347;-0,000000001565;0,000001622073;0,000001593903;0,353121257760;-0,177918241129;0,000000002348;-0,000000002348;0,000000014818;0,000000010123;0,365144793584;-0,187937854315;0,000000001565;-0,000000001565
16h26m38s,79m;0,000000014818;0,000000010123;0,058544630075;0,278976120179;0,000000001565;-0,000000001565;0,000000725328;0,000000268348;-0,143851556294;0,559525289403;0,000000005478;-0,000000008607;0,000000014818;0,000000010123;-0,035639733879;-0,165894705305;0,000000001565;-0,000000001565;0,000001287163;0,000001269948;0,337089876661;0,769937166321;0,000000004695;-0,000000003912;0,000000168188;0,000000144713;0,004438718867;0,787972470057;0,000000001565;-0,000000002347;0,000001756663;0,000000617343;-0,129824097833;0,797992083244;0,000000007825;-0,000000013302;0,000001642418;0,000000708113;-0,133831943108;0,795988160606;0,000000007825;-0,000000010173;0,000000014818;0,000000010123;-0,119804484646;0,337089876661;0,000000001565;-0,000000001565;0,000003370178;0,000001282468;-0,105777026185;0,799996005881;0,000000012520;-0,000000021128;0,000000014818;0,000000010123;-0,157879014755;0,264948661718;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,413238936879;-0,015600507506;0,000000000783;-0,000000001565;0,000000014818;0,000000010123;-0,065698573439;0,266952584355;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,057682882890;-0,197957467502;0,000000001565;-0,000000001565;0,000003284103;0,000002601763;-0,107780948823;0,799996005881;0,000000006260;-0,000000008608;0,000002456218;0,000000791058;-0,105777026185;0,799996005881;0,000000014867;-0,000000022692;0,000000014818;0,000000011688;-0,141847633657;-0,199961390139;0,000000001565;-0,000000001565;0,000002018018;0,000000661163;-0,097761335636;0,799996005881;0,000000011737;-0,000000017215;0,000000104023;0,000000088373;0,252925125894;-0,199961390139;0,000000001565;-0,000000001565;0,000001518783;0,000001490613;0,274968274905;-0,199961390139;0,000000003130;-0,000000003130;0,000000014818;0,000000010123;-0,165894705305;-0,115796639372;0,000000001565;-0,000000001565
16h26m45s,92m;0,000000014818;0,000000010123;0,461333080175;0,208838827873;0,000000001565;-0,000000001565;0,000000744108;0,000000269913;-0,133831943108;0,581568438414;0,000000007042;-0,000000007825;0,000000014818;0,000000010123;0,018466177328;-0,091749567724;0,000000001565;-0,000000001565;0,000001213608;0,000001199523;0,182787833588;0,525458604569;0,000000003130;-0,000000003130;0,000000138453;0,000000096198;0,104634850733;-0,195953544864;0,000000002347;-0,000000001565;0,000001805178;0,000000687768;-0,169902550579;0,799996005881;0,000000011738;-0,000000012520;0,000001715973;0,000000755063;-0,175914318491;0,799996005881;0,000000009390;-0,000000010173;0,000000014818;0,000000010123;-0,059686805527;0,491391919735;0,000000001565;-0,000000000783;0,000003561108;0,000001525043;-0,153871169481;0,777952856871;0,000000015650;-0,000000021910;0,000000014818;0,000000010123;0,417246782154;-0,177918241129;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,061690728164;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,191945699590;0,204830982599;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,044517171613;-0,179922163766;0,000000001565;-0,000000001565;0,000003290363;0,000002644018;-0,071710341351;0,799996005881;0,000000008607;-0,000000009390;0,000002556378;0,000000900608;-0,143851556294;0,793984237969;0,000000016432;-0,000000020345;0,000000014818;0,000000010123;-0,105777026185;-0,197957467502;0,000000001565;-0,000000001565;0,000002100963;0,000000733153;-0,113792716734;0,799996005881;0,000000010173;-0,000000017215;0,000000110283;0,000000093068;0,315046727651;-0,199961390139;0,000000002348;-0,000000002347;0,000001451488;0,000001415493;0,403219323693;-0,199961390139;0,000000003130;-0,000000002347;0,000000014818;0,000000010123;0,451313466988;-0,161886860030;0,000000001565;-0,000000001565
16h26m53s,07m;0,000000014818;0,000000011688;-0,057682882890;-0,199961390139;0,000000001565;-0,000000001565;0,000000759758;0,000000269913;-0,147859401569;0,625654736435;0,000000004695;-0,000000007825;0,000000014818;0,000000010123;-0,141847633657;-0,183930009040;0,000000001565;-0,000000001565;0,000001149443;0,000001135358;-0,149863324206;0,591588051600;0,000000003913;-0,000000004695;0,000000158798;0,000000102458;0,148721148754;-0,199961390139;0,000000001565;-0,000000001565;0,000001856823;0,000000751933;-0,163890782667;0,799996005881;0,000000008607;-0,000000012520;0,000001739448;0,000000834878;-0,161886860030;0,775948934233;0,000000010173;-0,000000010173;0,000000014818;0,000000010123;-0,115796639372;0,246913357982;0,000000001565;-0,000000001565;0,000003662833;0,000001631463;-0,145855478932;0,789976392694;0,000000014085;-0,000000023475;0,000000014818;0,000000010123;0,268956506993;-0,153871169481;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,091749567724;-0,143851556294;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,019608352781;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,093753490361;-0,197957467502;0,000000001565;-0,000000001565;0,000003346703;0,000002654973;-0,109784871460;0,799996005881;0,000000007042;-0,000000007825;0,000002611153;0,000000963208;-0,185933931678;0,799996005881;0,000000019562;-0,000000021910;0,000000014818;0,000000011688;-0,091749567724;-0,199961390139;0,000000001565;-0,000000001565;0,000002183908;0,000000888088;-0,163890782667;0,799996005881;0,000000014085;-0,000000016433;0,000000118108;0,000000099328;0,333082031387;-0,199961390139;0,000000002347;-0,000000001565;0,000001406103;0,000001371673;0,393199710506;-0,199961390139;0,000000003130;-0,000000002348;0,000000014818;0,000000010123;0,439289931164;-0,091749567724;0,000000001565;-0,000000001565
16h27m00s,18m;0,000000014818;0,000000011688;-0,177918241129;-0,199961390139;0,000000001565;-0,000000001565;0,000000756628;0,000000268348;-0,105777026185;0,607619432699;0,000000005478;-0,000000007042;0,000000014818;0,000000010123;0,050528939525;-0,193949622227;0,000000001565;-0,000000001565;0,000001096233;0,000001077453;0,329074186112;0,653709653357;0,000000003130;-0,000000004695;0,000000177578;0,000000113413;0,068564243261;-0,199961390139;0,000000002347;-0,000000001565;0,000001906903;0,000000787928;-0,139843711020;0,795988160606;0,000000007825;-0,000000011738;0,000001783268;0,000000859918;-0,123812329921;0,799996005881;0,000000005477;-0,000000010173;0,000000014818;0,000000011688;-0,073714263988;-0,199961390139;0,000000001565;-0,000000001565;0,000003784903;0,000001798918;-0,175914318491;0,799996005881;0,000000022692;-0,000000020345;0,000000014818;0,000000010123;-0,117800562009;-0,191945699590;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,111788794097;0,134693690293;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,163890782667;0,268956506993;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,037643656517;-0,199961390139;0,000000001565;-0,000000001565;0,000003388958;0,000002683143;-0,107780948823;0,799996005881;0,000000006260;-0,000000007825;0,000002695663;0,000001041458;-0,185933931678;0,799996005881;0,000000017998;-0,000000021128;0,000000014818;0,000000010123;-0,051671114978;-0,181926086403;0,000000001565;-0,000000001565;0,000002259028;0,000000967903;-0,159882937393;0,777952856871;0,000000012520;-0,000000016433;0,000000122803;0,000000105588;0,507423300833;-0,199961390139;0,000000002348;-0,000000002348;0,000001388888;0,000001348198;0,357129103034;-0,197957467502;0,000000002348;-0,000000002348;0,000000014818;0,000000010123;0,238897667433;-0,081729954537;0,000000001565;-0,000000001565
16h27m07s,32m;0,000000014818;0,000000011688;-0,193949622227;-0,195953544864;0,000000001565;-0,000000000783;0,000000780103;0,000000271478;-0,119804484646;0,677756725005;0,000000004695;-0,000000007042;0,000000014818;0,000000011688;-0,169902550579;-0,199961390139;0,000000001565;-0,000000001565;0,000001055543;0,000001039893;0,385184019957;-0,145855478932;0,000000003912;-0,000000003130;0,000000194793;0,000000125933;0,072572088536;0,787972470057;0,000000002348;-0,000000001565;0,000001958548;0,000000866178;-0,167898627942;0,799996005881;0,000000009390;-0,000000010955;0,000001845868;0,000000942863;-0,153871169481;0,781960702145;0,000000007825;-0,000000009390;0,000000014818;0,000000010123;-0,021612275418;0,787972470057;0,000000001565;-0,000000001565;0,000003888193;0,000001889688;-0,137839788382;0,797992083244;0,000000012520;-0,000000021910;0,000000014818;0,000000010123;0,078583856448;-0,183930009040;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,071710341351;0,443297776439;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,043655424428;0,757913630497;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,071710341351;-0,191945699590;0,000000001565;-0,000000001565;0,000003398348;0,000002736353;-0,147859401569;0,781960702145;0,000000008608;-0,000000007825;0,000002764523;0,000001116578;-0,139843711020;0,797992083244;0,000000014085;-0,000000021910;0,000000014818;0,000000010123;0,082591701722;0,701803796653;0,000000001565;-0,000000001565;0,000002293458;0,000000966338;-0,121808407284;0,799996005881;0,000000010173;-0,000000017997;0,000000130628;0,000000113413;0,164752529852;-0,199961390139;0,000000002348;-0,000000002348;0,000001370108;0,000001334113;0,379172252045;-0,199961390139;0,000000003130;-0,000000003130;0,000000014818;0,000000010123;0,393199710506;-0,109784871460;0,000000001565;-0,000000001565
16h27m14s,44m;0,000000014818;0,000000010123;0,008446564142;0,236893744796;0,000000001565;-0,000000001565;0,000000781668;0,000000269913;-0,101769180911;0,727854790938;0,000000007043;-0,000000007825;0,000000014818;0,000000010123;0,232885899521;0,264948661718;0,000000001565;-0,000000001565;0,000001016418;0,000001000768;0,024477945240;0,515438991382;0,000000003913;-0,000000003130;0,000000207313;0,000000132193;0,044517171613;0,771941088959;0,000000002348;-0,000000002348;0,000002002368;0,000000914693;-0,171906473217;0,799996005881;0,000000010173;-0,000000011738;0,000001884993;0,000000996073;-0,159882937393;0,799996005881;0,000000008608;-0,000000009390;0,000000014818;0,000000010123;0,062552475349;-0,073714263988;0,000000001565;-0,000000001565;0,000003960183;0,000002071228;-0,161886860030;0,777952856871;0,000000014085;-0,000000021910;0,000000014818;0,000000010123;0,172768220402;-0,171906473217;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;0,192807446775;-0,197957467502;0,000000001565;-0,000000000783;0,000000014818;0,000000010123;0,210842750510;-0,119804484646;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,152728994028;0,160744684578;0,000000001565;-0,000000001565;0,000003449993;0,000002744178;-0,095757412999;0,799996005881;0,000000007042;-0,000000007825;0,000002822428;0,000001219868;-0,171906473217;0,799996005881;0,000000016433;-0,000000019562;0,000000014818;0,000000011688;-0,029627965967;-0,199961390139;0,000000001565;-0,000000001565;0,000002352928;0,000001049283;-0,133831943108;0,797992083244;0,000000010955;-0,000000017997;0,000000135323;0,000000116543;0,357129103034;-0,189941776952;0,000000002348;-0,000000002348;0,000001359153;0,000001315333;0,565537057315;-0,199961390139;0,000000003130;-0,000000003130;0,000000014818;0,000000010123;-0,077722109263;0,004438718867;0,000000001565;-0,000000001565
16h27m21s,57m;0,000000014818;0,000000010123;0,130685845018;0,515438991382;0,000000000783;-0,000000001565;0,000000806708;0,000000269913;-0,129824097833;0,761921475772;0,000000005478;-0,000000007825;0,000000014818;0,000000010123;-0,135835865745;-0,063694650802;0,000000001565;-0,000000001565;0,000000986683;0,000000974163;-0,059686805527;0,411235014242;0,000000003130;-0,000000003130;0,000000304343;0,000000132193;-0,179922163766;0,797992083244;0,000000002348;-0,000000003912;0,000002005498;0,000000966338;-0,175914318491;0,799996005881;0,000000008607;-0,000000011738;0,000001905338;0,000001041458;-0,165894705305;0,799996005881;0,000000007043;-0,000000008608;0,000000014818;0,000000010123;-0,025620120693;-0,103773103548;0,000000001565;-0,000000001565;0,000003993048;0,000002111918;-0,131828020470;0,799996005881;0,000000014085;-0,000000020345;0,000000014818;0,000000010123;0,465340925449;-0,037643656517;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,069706418714;0,264948661718;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,109784871460;-0,181926086403;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,014458332054;-0,077722109263;0,000000001565;-0,000000001565;0,000003449993;0,000002789563;-0,157879014755;0,773945011596;0,000000007043;-0,000000007825;0,000002850598;0,000001212043;-0,137839788382;0,797992083244;0,000000013302;-0,000000021128;0,000000014818;0,000000010123;-0,117800562009;-0,195953544864;0,000000001565;-0,000000001565;0,000002371708;0,000001063368;-0,111788794097;0,799996005881;0,000000010173;-0,000000017997;0,000000138453;0,000000119673;0,299015346552;-0,193949622227;0,000000002348;-0,000000002348;0,000001349763;0,000001307508;0,431274240615;-0,199961390139;0,000000002348;-0,000000002348;0,000000014818;0,000000010123;0,278976120179;-0,127820175196;0,000000000783;-0,000000001565
