TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
10h22m20s,29m;3,691E-06;5,12488E-07;0,799996006;-0,19996139;3,3647E-08;-1,4085E-08;2,55012E-06;3,19993E-07;0,799996006;-0,133831943;1,252E-08;-4,695E-09;5,36555E-06;1,16509E-06;0,799996006;-0,179922164;1,7215E-08;-6,26E-09;9,89813E-07;9,74163E-07;-0,193949622;0,759917553;2,347E-09;-2,348E-09;3,16516E-06;3,71638E-07;0,799996006;-0,083733877;1,252E-08;-4,695E-09;2,8506E-06;3,12168E-07;0,797992083;-0,091749568;1,0955E-08;-5,478E-09;3,5392E-06;4,48323E-07;0,799996006;-0,12381233;1,252E-08;-4,695E-09;8,66178E-07;2,41743E-07;0,797992083;-0,145855479;1,1737E-08;-1,0173E-08;2,74574E-06;3,70073E-07;0,799996006;-0,117800562;1,565E-08;-5,478E-09;6,58033E-07;8,3678E-08;0,795988161;-0,109784871;5,478E-09;-2,348E-09;1,4818E-08;1,0123E-08;0,413238937;-0,181926086;1,565E-09;-2,348E-09;6,61163E-07;8,2113E-08;0,799996006;-0,059686806;4,695E-09;-2,348E-09;4,63939E-06;7,45673E-07;0,799996006;-0,083733877;1,7215E-08;-6,26E-09;1,28247E-06;1,54103E-07;0,799996006;-0,075718187;7,825E-09;-3,13E-09;1,4818E-08;1,1688E-08;-0,163890783;-0,195953545;1,565E-09;-1,565E-09;3,54546E-06;3,88853E-07;0,799996006;-0,103773104;1,4867E-08;-4,695E-09;6,44853E-06;1,20578E-06;0,799996006;-0,089745645;2,1128E-08;-1,1738E-08;4,92143E-07;4,65538E-07;-0,195953545;0,67374888;2,347E-09;-2,347E-09;1,4818E-08;1,0123E-08;-0,197957468;0,53748214;1,565E-09;-1,565E-09;1,70189E-06;1,66589E-06;-0,195953545;0,765929321;2,348E-09;-2,348E-09
10h22m27s,40m;3,66909E-06;4,82753E-07;0,797992083;-0,135835866;4,6168E-08;-3,0518E-08;2,54073E-06;3,19993E-07;0,799996006;-0,079726032;1,252E-08;-7,043E-09;5,51579E-06;1,0665E-06;0,799996006;-0,137839788;1,9562E-08;-1,1737E-08;9,86683E-07;9,69468E-07;-0,195953545;0,799996006;2,348E-09;-2,348E-09;3,14951E-06;3,55988E-07;0,799996006;-0,039647579;1,4085E-08;-7,043E-09;2,84121E-06;3,12168E-07;0,797992083;-0,063694651;1,4867E-08;-7,043E-09;3,48912E-06;4,49888E-07;0,797992083;-0,0857378;1,3302E-08;-5,478E-09;9,05303E-07;2,32353E-07;0,793984238;-0,115796639;1,878E-08;-1,1738E-08;2,70192E-06;3,63813E-07;0,799996006;-0,079726032;1,7215E-08;-6,26E-09;6,48643E-07;8,3678E-08;0,789976393;-0,101769181;6,26E-09;-3,13E-09;1,4818E-08;1,0123E-08;0,09661916;-0,169902551;1,565E-09;-1,565E-09;6,67423E-07;7,8983E-08;0,799996006;-0,04766327;7,043E-09;-2,348E-09;4,57836E-06;7,44108E-07;0,799996006;-0,073714264;1,7215E-08;-7,825E-09;1,2809E-06;1,52538E-07;0,799996006;-0,049667192;7,825E-09;-3,912E-09;1,4818E-08;1,1688E-08;-0,115796639;-0,1919457;1,565E-09;-1,565E-09;3,52198E-06;3,87288E-07;0,799996006;-0,09375349;1,252E-08;-6,26E-09;6,55965E-06;1,16822E-06;0,799996006;-0,079726032;2,191E-08;-1,1738E-08;4,90578E-07;4,62408E-07;-0,19996139;0,755909708;1,565E-09;-1,565E-09;1,4818E-08;1,1688E-08;-0,179922164;-0,197957468;1,565E-09;-1,565E-09;1,7191E-06;1,68154E-06;-0,19996139;0,781960702;2,348E-09;-1,565E-09
10h22m34s,52m;3,68161E-06;4,81188E-07;0,799996006;-0,101769181;2,5823E-08;-1,1738E-08;2,54699E-06;3,13733E-07;0,799996006;-0,049667192;1,0955E-08;-7,043E-09;5,55961E-06;1,0039E-06;0,797992083;-0,129824098;1,878E-08;-1,1737E-08;9,85118E-07;9,67903E-07;-0,175914318;0,763925398;1,565E-09;-2,348E-09;3,14169E-06;3,55988E-07;0,799996006;-0,039647579;1,1738E-08;-7,043E-09;2,83182E-06;3,07473E-07;0,799996006;-0,05567896;2,7388E-08;-1,4867E-08;3,4766E-06;4,38933E-07;0,799996006;-0,063694651;1,252E-08;-5,478E-09;1,00077E-06;2,29223E-07;0,797992083;-0,133831943;1,0955E-08;-9,39E-09;2,70662E-06;3,57553E-07;0,799996006;-0,05567896;1,3302E-08;-6,26E-09;6,43948E-07;8,2113E-08;0,799996006;-0,071710341;7,043E-09;-3,13E-09;1,4818E-08;1,0123E-08;0,042513249;-0,145855479;1,565E-09;-1,565E-09;6,72118E-07;8,2113E-08;0,799996006;-0,043655424;5,478E-09;-2,348E-09;4,51732E-06;7,45673E-07;0,799996006;-0,067702496;1,565E-08;-7,043E-09;1,26525E-06;1,54103E-07;0,799996006;-0,035639734;8,608E-09;-3,912E-09;1,4818E-08;1,1688E-08;-0,193949622;-0,19996139;1,565E-09;-1,565E-09;3,49851E-06;3,87288E-07;0,797992083;-0,081729955;1,3303E-08;-5,477E-09;6,58938E-06;1,15727E-06;0,799996006;-0,075718187;2,504E-08;-1,252E-08;4,85883E-07;4,59278E-07;-0,19996139;0,785968547;1,565E-09;-1,565E-09;1,4818E-08;1,1688E-08;-0,165894705;-0,19996139;1,565E-09;-1,565E-09;1,73162E-06;1,69406E-06;-0,19996139;0,773945012;2,347E-09;-2,348E-09
10h22m41s,67m;3,67535E-06;4,85883E-07;0,799996006;-0,095757413;3,756E-08;-1,252E-08;2,53603E-06;3,13733E-07;0,799996006;-0,035639734;1,1737E-08;-7,825E-09;5,57996E-06;9,92943E-07;0,799996006;-0,117800562;2,191E-08;-7,825E-09;9,83553E-07;9,66338E-07;-0,193949622;0,725850868;2,348E-09;-1,565E-09;3,13073E-06;3,51293E-07;0,799996006;-0,027624043;1,252E-08;-6,26E-09;2,8146E-06;3,10603E-07;0,797992083;-0,037643657;1,6433E-08;-1,0955E-08;3,45156E-06;4,43628E-07;0,799996006;-0,065698573;1,3303E-08;-5,478E-09;1,03989E-06;2,41743E-07;0,799996006;-0,077722109;1,1738E-08;-6,26E-09;2,68627E-06;3,52858E-07;0,799996006;-0,043655424;1,3303E-08;-5,478E-09;6,39253E-07;8,3678E-08;0,797992083;-0,065698573;7,042E-09;-3,912E-09;1,4818E-08;1,0123E-08;0,651705731;-0,187937854;1,565E-09;-1,565E-09;6,61163E-07;7,8983E-08;0,799996006;-0,041651502;6,26E-09;-2,348E-09;4,49228E-06;7,45673E-07;0,799996006;-0,053675038;1,565E-08;-6,26E-09;1,25586E-06;1,54103E-07;0,799996006;-0,037643657;8,608E-09;-3,912E-09;1,4818E-08;1,1688E-08;-0,105777026;-0,19996139;1,565E-09;-1,565E-09;3,47973E-06;3,87288E-07;0,799996006;-0,063694651;1,1738E-08;-5,478E-09;6,59408E-06;1,14162E-06;0,799996006;-0,067702496;2,3475E-08;-1,3303E-08;4,82753E-07;4,54583E-07;-0,19996139;0,791980315;1,565E-09;-1,565E-09;1,4818E-08;1,0123E-08;-0,185933932;0,196815292;1,565E-09;-1,565E-09;1,74101E-06;1,70658E-06;-0,179922164;0,7198391;2,348E-09;-2,348E-09
10h22m48s,87m;3,66753E-06;4,84318E-07;0,799996006;-0,09375349;4,4602E-08;-1,9562E-08;2,52038E-06;3,15298E-07;0,799996006;-0,035639734;1,0955E-08;-7,042E-09;5,6003E-06;9,89813E-07;0,799996006;-0,105777026;1,9562E-08;-9,39E-09;9,81988E-07;9,66338E-07;-0,175914318;0,653709653;2,347E-09;-1,565E-09;3,10413E-06;3,54423E-07;0,799996006;-0,021612275;1,1738E-08;-7,825E-09;2,80052E-06;3,13733E-07;0,799996006;-0,025620121;1,7997E-08;-7,043E-09;3,43434E-06;4,40498E-07;0,799996006;-0,051671115;1,4085E-08;-5,478E-09;1,08684E-06;2,33918E-07;0,791980315;-0,049667192;1,252E-08;-9,39E-09;2,65184E-06;3,48163E-07;0,799996006;-0,039647579;1,4085E-08;-6,26E-09;6,39253E-07;8,2113E-08;0,799996006;-0,063694651;7,825E-09;-5,478E-09;1,4818E-08;1,0123E-08;-0,171906473;-0,153871169;1,565E-09;-1,565E-09;6,64293E-07;7,7418E-08;0,799996006;-0,021612275;4,695E-09;-2,348E-09;4,46724E-06;7,48803E-07;0,799996006;-0,04766327;1,6433E-08;-7,043E-09;1,24647E-06;1,50973E-07;0,799996006;-0,01760443;8,608E-09;-3,13E-09;1,4818E-08;1,1688E-08;-0,127820175;-0,197957468;1,565E-09;-1,565E-09;3,47347E-06;3,90418E-07;0,799996006;-0,063694651;1,252E-08;-5,478E-09;6,61286E-06;1,13223E-06;0,799996006;-0,057682883;2,191E-08;-1,4085E-08;4,79623E-07;4,53018E-07;-0,19996139;0,797992083;1,565E-09;-2,347E-09;1,4818E-08;1,1688E-08;-0,019608353;-0,195953545;1,565E-09;-1,565E-09;1,74884E-06;1,71128E-06;-0,19996139;0,769937166;3,13E-09;-3,13E-09
10h22m56s,02m;3,65344E-06;4,84318E-07;0,799996006;-0,0857378;3,2865E-08;-1,9562E-08;2,50943E-06;3,13733E-07;0,799996006;-0,029627966;1,1738E-08;-7,043E-09;5,59248E-06;9,97638E-07;0,799996006;-0,101769181;1,878E-08;-7,825E-09;9,80423E-07;9,64773E-07;-0,1919457;0,739878327;1,565E-09;-1,565E-09;3,09317E-06;3,49728E-07;0,799996006;-0,005580894;1,3303E-08;-7,825E-09;2,79426E-06;3,12168E-07;0,799996006;-0,031631889;2,0345E-08;-7,043E-09;3,42808E-06;4,45193E-07;0,799996006;-0,057682883;1,3303E-08;-5,478E-09;1,11501E-06;2,33918E-07;0,793984238;-0,057682883;8,608E-09;-6,26E-09;2,62993E-06;3,46598E-07;0,797992083;-0,039647579;1,252E-08;-6,26E-09;6,34558E-07;8,0548E-08;0,799996006;-0,045659347;5,478E-09;-4,695E-09;1,4818E-08;1,0123E-08;0,212846673;-0,19996139;1,565E-09;-1,565E-09;6,62728E-07;8,2113E-08;0,799996006;-0,035639734;4,695E-09;-2,348E-09;4,43907E-06;7,48803E-07;0,799996006;-0,043655424;1,565E-08;-7,043E-09;1,22769E-06;1,54103E-07;0,799996006;-0,023616198;7,825E-09;-3,912E-09;1,4818E-08;1,1688E-08;-0,187937854;-0,181926086;1,565E-09;-1,565E-09;3,45156E-06;3,90418E-07;0,797992083;-0,061690728;1,1738E-08;-5,478E-09;6,64885E-06;1,13223E-06;0,799996006;-0,053675038;2,3475E-08;-1,4085E-08;4,78058E-07;4,51453E-07;-0,195953545;0,735870481;1,565E-09;-2,348E-09;1,4818E-08;1,1688E-08;-0,089745645;-0,19996139;1,565E-09;-1,565E-09;1,75979E-06;1,72223E-06;-0,185933932;0,767933244;2,348E-09;-2,348E-09
10h23m03s,20m;3,63936E-06;4,85883E-07;0,799996006;-0,079726032;5,947E-08;-2,1128E-08;2,50317E-06;3,15298E-07;0,799996006;-0,025620121;1,0955E-08;-8,607E-09;5,58309E-06;9,91378E-07;0,799996006;-0,087741722;1,878E-08;-7,825E-09;9,80423E-07;9,64773E-07;-0,193949622;0,743886172;2,347E-09;-1,565E-09;3,09004E-06;3,62248E-07;0,799996006;-0,015600508;1,7215E-08;-6,26E-09;2,78487E-06;3,10603E-07;0,799996006;-0,019608353;1,7997E-08;-7,825E-09;3,42026E-06;4,43628E-07;0,799996006;-0,051671115;1,3303E-08;-4,695E-09;1,13066E-06;2,30788E-07;0,799996006;-0,04766327;8,607E-09;-3,13E-09;2,61272E-06;3,48163E-07;0,797992083;-0,031631889;1,3302E-08;-7,042E-09;6,36123E-07;7,7418E-08;0,799996006;-0,049667192;6,26E-09;-3,913E-09;1,4818E-08;1,0123E-08;-0,151867247;-0,197957468;1,565E-09;-1,565E-09;6,65858E-07;7,8983E-08;0,799996006;-0,001573049;3,912E-09;-3,13E-09;4,41403E-06;7,45673E-07;0,799996006;-0,043655424;1,565E-08;-7,825E-09;1,22769E-06;1,52538E-07;0,795988161;-0,013596585;7,043E-09;-3,13E-09;1,4818E-08;1,0123E-08;-0,195953545;0,613631201;1,565E-09;-1,565E-09;3,45782E-06;3,88853E-07;0,799996006;-0,051671115;1,3303E-08;-5,478E-09;6,64572E-06;1,1291E-06;0,799996006;-0,043655424;2,3475E-08;-1,4085E-08;4,76493E-07;4,49888E-07;-0,19996139;0,775948934;1,565E-09;-1,565E-09;1,4818E-08;1,1688E-08;-0,165894705;-0,1919457;1,565E-09;-1,565E-09;1,76292E-06;1,72693E-06;-0,19996139;0,793984238;2,348E-09;-2,348E-09
10h23m10s,37m;3,63466E-06;4,85883E-07;0,799996006;-0,081729955;4,4603E-08;-4,5385E-08;2,49065E-06;3,13733E-07;0,799996006;-0,023616198;1,252E-08;-7,825E-09;5,57683E-06;9,96073E-07;0,797992083;-0,091749568;2,0345E-08;-8,608E-09;9,78858E-07;9,63208E-07;-0,1919457;0,683768493;3,13E-09;-2,347E-09;3,08378E-06;3,51293E-07;0,799996006;0,000430874;1,3302E-08;-1,252E-08;2,76922E-06;3,13733E-07;0,799996006;-0,011592662;1,9562E-08;-1,1738E-08;3,40304E-06;4,45193E-07;0,799996006;-0,037643657;1,4085E-08;-6,26E-09;1,13849E-06;2,26093E-07;0,78797247;-0,053675038;1,0173E-08;-5,478E-09;2,59081E-06;3,45033E-07;0,799996006;-0,029627966;1,4867E-08;-6,26E-09;6,32993E-07;8,0548E-08;0,799996006;-0,035639734;9,39E-09;-3,13E-09;1,4818E-08;1,0123E-08;0,092611315;-0,113792717;1,565E-09;-1,565E-09;6,64293E-07;8,2113E-08;0,797992083;-0,005580894;5,478E-09;-3,13E-09;4,39212E-06;7,47238E-07;0,799996006;-0,035639734;1,4867E-08;-7,825E-09;1,20891E-06;1,54103E-07;0,799996006;-0,007584817;7,825E-09;-3,912E-09;1,4818E-08;1,1688E-08;-0,171906473;-0,175914318;1,565E-09;-7,83E-10;3,41556E-06;3,90418E-07;0,799996006;-0,051671115;1,1738E-08;-5,478E-09;6,6332E-06;1,13379E-06;0,799996006;-0,04766327;2,2692E-08;-1,3302E-08;4,74928E-07;4,48323E-07;-0,19996139;0,729858714;1,565E-09;-1,565E-09;1,4818E-08;1,1688E-08;-0,05567896;-0,187937854;1,565E-09;-1,565E-09;1,76918E-06;1,73319E-06;-0,195953545;0,799996006;1,565E-09;-2,348E-09
10h23m17s,51m;3,62527E-06;4,87448E-07;0,799996006;-0,067702496;6,1818E-08;-4,3037E-08;2,47187E-06;3,15298E-07;0,799996006;-0,019608353;1,7997E-08;-9,39E-09;5,56274E-06;9,92943E-07;0,799996006;-0,079726032;1,878E-08;-8,608E-09;9,77293E-07;9,63208E-07;-0,195953545;0,737874404;1,565E-09;-2,348E-09;3,07126E-06;3,60683E-07;0,799996006;0,0204701;1,252E-08;-7,825E-09;2,76922E-06;3,10603E-07;0,799996006;-0,013596585;1,6433E-08;-7,043E-09;3,39052E-06;4,42063E-07;0,799996006;-0,045659347;1,3303E-08;-6,26E-09;1,13066E-06;2,22963E-07;0,793984238;-0,041651502;9,39E-09;-4,695E-09;2,59707E-06;3,41903E-07;0,797992083;0,000430874;1,252E-08;-6,26E-09;6,29863E-07;8,0548E-08;0,799996006;-0,057682883;4,695E-09;-3,13E-09;1,4818E-08;1,0123E-08;0,216854518;-0,149863324;1,565E-09;-1,565E-09;6,50208E-07;8,2113E-08;0,797992083;0,000430874;4,695E-09;-2,348E-09;4,36082E-06;7,45673E-07;0,799996006;-0,031631889;1,565E-08;-7,825E-09;1,19639E-06;1,54103E-07;0,797992083;0,000430874;7,825E-09;-3,912E-09;1,4818E-08;1,1688E-08;-0,04766327;-0,189941777;1,565E-09;-1,565E-09;3,41243E-06;3,88853E-07;0,799996006;-0,045659347;1,1738E-08;-6,26E-09;6,62538E-06;1,13379E-06;0,799996006;-0,031631889;2,3475E-08;-1,3303E-08;4,73363E-07;4,46758E-07;-0,19996139;0,78797247;1,565E-09;-1,565E-09;1,4818E-08;1,1688E-08;-0,197957468;-0,19996139;1,565E-09;-1,565E-09;1,77544E-06;1,73945E-06;-0,19996139;0,755909708;2,348E-09;-2,348E-09
10h23m24s,63m;3,61275E-06;4,84318E-07;0,799996006;-0,05567896;3,443E-08;-2,504E-08;2,45935E-06;3,10603E-07;0,799996006;-0,011592662;1,1738E-08;-7,043E-09;5,55961E-06;9,91378E-07;0,799996006;-0,075718187;2,4258E-08;-7,825E-09;9,75728E-07;9,60078E-07;-0,1919457;0,753905785;2,348E-09;-1,565E-09;3,0697E-06;3,59118E-07;0,799996006;-0,001573049;1,3303E-08;-6,26E-09;2,76609E-06;3,10603E-07;0,799996006;-0,007584817;2,3475E-08;-7,043E-09;3,36861E-06;4,42063E-07;0,799996006;-0,037643657;1,4867E-08;-6,26E-09;1,12753E-06;2,16703E-07;0,793984238;-0,027624043;1,0173E-08;-7,043E-09;2,57985E-06;3,40338E-07;0,793984238;-0,01760443;1,6432E-08;-8,608E-09;6,20473E-07;8,0548E-08;0,799996006;-0,049667192;7,043E-09;-4,695E-09;1,4818E-08;1,0123E-08;0,158740762;-0,181926086;1,565E-09;-1,565E-09;6,51773E-07;8,2113E-08;0,799996006;-0,003576972;6,26E-09;-3,13E-09;4,33578E-06;7,47238E-07;0,799996006;-0,033635811;1,565E-08;-7,825E-09;1,20265E-06;1,50973E-07;0,799996006;0,000430874;7,825E-09;-3,912E-09;1,4818E-08;1,1688E-08;-0,099765258;-0,195953545;1,565E-09;-1,565E-09;3,39835E-06;3,87288E-07;0,799996006;-0,041651502;1,1738E-08;-6,26E-09;6,60816E-06;1,12753E-06;0,799996006;-0,027624043;2,191E-08;-1,3302E-08;4,71798E-07;4,46758E-07;-0,195953545;0,721843023;1,565E-09;-1,565E-09;1,4818E-08;1,1688E-08;0,072572089;-0,195953545;1,565E-09;-1,565E-09;1,78014E-06;1,74258E-06;-0,193949622;0,773945012;2,347E-09;-2,348E-09
