Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,199961390139000  To 0,799996005881000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-03-20_10h25m46s,19m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
10h25m51s,90m;0,000006176223;0,000001551648;0,799996005881;-0,179922163766;0,000000017997;-0,000000002348;0,000001888123;0,000000193228;0,799996005881;-0,111788794097;0,000000009390;-0,000000004695;0,000002831818;0,000000291823;0,799996005881;-0,123812329921;0,000000011738;-0,000000004695;0,000001440533;0,000001392018;-0,199961390139;0,749897939948;0,000000002347;-0,000000003130;0,000000014818;0,000000011688;-0,175914318491;-0,193949622227;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,147859401569;-0,197957467502;0,000000001565;-0,000000001565;0,000003090043;0,000000324688;0,799996005881;-0,071710341351;0,000000018780;-0,000000006260;0,000003453123;0,000000647078;0,793984237969;-0,079726031900;0,000000017998;-0,000000013303;0,000009260838;0,000001354458;0,799996005881;-0,043655424428;0,000000035213;-0,000000024257;0,000008636403;0,000001518783;0,799996005881;-0,115796639372;0,000000027387;-0,000000011738;0,000000014818;0,000000010123;0,150725071391;-0,121808407284;0,000000001565;-0,000000001565;0,000000722198;0,000000111848;0,797992083244;-0,045659347066;0,000000004695;-0,000000002348;0,000000504663;0,000000474928;-0,187937854315;0,743886172036;0,000000002348;-0,000000002348;0,000000014818;0,000000011688;-0,199961390139;-0,197957467502;0,000000001565;-0,000000000783;0,000001268383;0,000000371638;0,797992083244;-0,075718186625;0,000000004695;-0,000000003130;0,000000014818;0,000000010123;-0,063694650802;-0,191945699590;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,147859401569;-0,199961390139;0,000000001565;-0,000000001565;0,000001377933;0,000000166623;0,799996005881;-0,075718186625;0,000000007825;-0,000000003130;0,000000728458;0,000000715938;-0,137839788382;0,747894017311;0,000000002348;-0,000000002348;0,000002742613;0,000000365378;0,799996005881;-0,073714263988;0,000000010955;-0,000000006260
10h25m59s,06m;0,000006360893;0,000001464008;0,799996005881;-0,099765258273;0,000000018780;-0,000000009390;0,000001831783;0,000000197923;0,799996005881;-0,065698573439;0,000000008608;-0,000000004695;0,000002773913;0,000000294953;0,799996005881;-0,079726031900;0,000000011737;-0,000000006260;0,000001376368;0,000001332548;-0,195953544864;0,777952856871;0,000000001565;-0,000000002348;0,000000014818;0,000000010123;-0,155875092118;0,144713303479;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,053675037615;0,519446836657;0,000000001565;-0,000000001565;0,000003024313;0,000000324688;0,799996005881;-0,043655424428;0,000000014867;-0,000000007825;0,000003695698;0,000000645513;0,797992083244;-0,047663269703;0,000000021910;-0,000000010173;0,000009254578;0,000001340373;0,799996005881;-0,013596584869;0,000000034430;-0,000000025823;0,000008872718;0,000001468703;0,799996005881;-0,083733877175;0,000000028952;-0,000000014867;0,000000014818;0,000000010123;0,303023191827;-0,197957467502;0,000000001565;-0,000000001565;0,000000772278;0,000000110283;0,799996005881;-0,017604430143;0,000000003912;-0,000000002348;0,000000489013;0,000000460843;-0,195953544864;0,717835177751;0,000000001565;-0,000000002348;0,000000014818;0,000000011688;-0,183930009040;-0,193949622227;0,000000001565;-0,000000001565;0,000001282468;0,000000363813;0,793984237969;-0,053675037615;0,000000005478;-0,000000003130;0,000000014818;0,000000011688;-0,163890782667;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,057682882890;-0,193949622227;0,000000000783;-0,000000001565;0,000001377933;0,000000169753;0,799996005881;-0,051671114978;0,000000010173;-0,000000003912;0,000000731588;0,000000717503;-0,099765258273;0,769937166321;0,000000002348;-0,000000002348;0,000002737918;0,000000363813;0,799996005881;-0,055678960252;0,000000010173;-0,000000006260
10h26m06s,22m;0,000006381238;0,000001465573;0,799996005881;-0,091749567724;0,000000021127;-0,000000009390;0,000001786398;0,000000196358;0,797992083244;-0,039647579154;0,000000007825;-0,000000004695;0,000002747308;0,000000293388;0,799996005881;-0,071710341351;0,000000013302;-0,000000006260;0,000001329418;0,000001291858;-0,199961390139;0,765929321047;0,000000001565;-0,000000002348;0,000000014818;0,000000010123;-0,191945699590;0,687776338191;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,195953544864;-0,199961390139;0,000000001565;-0,000000001565;0,000002982058;0,000000324688;0,797992083244;-0,037643656517;0,000000013303;-0,000000008607;0,000003828723;0,000000639253;0,797992083244;-0,035639733879;0,000000016433;-0,000000014085;0,000009190413;0,000001330983;0,799996005881;-0,001573049045;0,000000033647;-0,000000025040;0,000008875848;0,000001407668;0,799996005881;-0,063694650802;0,000000030518;-0,000000014867;0,000000014818;0,000000010123;0,182787833588;-0,135835865745;0,000000001565;-0,000000001565;0,000000772278;0,000000111848;0,797992083244;-0,015600507506;0,000000004695;-0,000000003130;0,000000479623;0,000000449888;-0,195953544864;0,747894017311;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,187937854315;-0,197957467502;0,000000001565;-0,000000001565;0,000001294988;0,000000360683;0,795988160606;-0,051671114978;0,000000005478;-0,000000003912;0,000000014818;0,000000011688;-0,001573049045;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,177918241129;0,497403687646;0,000000001565;-0,000000001565;0,000001365413;0,000000168188;0,799996005881;-0,051671114978;0,000000007825;-0,000000003913;0,000000733153;0,000000715938;-0,137839788382;0,785968547420;0,000000003130;-0,000000003130;0,000002728528;0,000000360683;0,799996005881;-0,049667192340;0,000000010955;-0,000000007825
10h26m13s,33m;0,000006426623;0,000001468703;0,799996005881;-0,071710341351;0,000000021910;-0,000000009390;0,000001789528;0,000000201053;0,799996005881;-0,029627965967;0,000000010955;-0,000000004695;0,000002712878;0,000000291823;0,799996005881;-0,059686805527;0,000000012520;-0,000000005478;0,000001298118;0,000001260558;-0,199961390139;0,721843023026;0,000000002348;-0,000000002348;0,000000014818;0,000000010123;-0,087741722449;0,076579933810;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,129824097833;0,475360538636;0,000000001565;-0,000000001565;0,000002961713;0,000000324688;0,799996005881;-0,025620120693;0,000000016433;-0,000000007042;0,000003841243;0,000000628298;0,799996005881;-0,023616198055;0,000000017998;-0,000000010173;0,000009209193;0,000001329418;0,799996005881;0,006442641504;0,000000035213;-0,000000025040;0,000008936883;0,000001368543;0,799996005881;-0,059686805527;0,000000032082;-0,000000014085;0,000000014818;0,000000010123;0,293003578640;-0,199961390139;0,000000001565;-0,000000001565;0,000000780103;0,000000111848;0,799996005881;-0,003576971682;0,000000003913;-0,000000003130;0,000000473363;0,000000445193;-0,195953544864;0,755909707860;0,000000001565;-0,000000002348;0,000000014818;0,000000011688;-0,181926086403;-0,199961390139;0,000000001565;-0,000000001565;0,000001293423;0,000000355988;0,799996005881;-0,039647579154;0,000000004695;-0,000000002348;0,000000014818;0,000000011688;-0,161886860030;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,109784871460;-0,199961390139;0,000000001565;-0,000000001565;0,000001359153;0,000000165058;0,799996005881;-0,045659347066;0,000000007042;-0,000000003912;0,000000731588;0,000000717503;-0,155875092118;0,547501753579;0,000000002348;-0,000000002347;0,000002742613;0,000000363813;0,799996005881;-0,039647579154;0,000000010173;-0,000000007825
10h26m20s,44m;0,000006446968;0,000001468703;0,799996005881;-0,069706418714;0,000000020345;-0,000000010955;0,000001780138;0,000000201053;0,797992083244;-0,019608352781;0,000000010955;-0,000000006260;0,000002695663;0,000000293388;0,799996005881;-0,045659347066;0,000000011738;-0,000000006260;0,000001269948;0,000001233953;-0,199961390139;0,745890094674;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,191945699590;-0,181926086403;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,137839788382;-0,177918241129;0,000000001565;-0,000000001565;0,000002953888;0,000000324688;0,799996005881;-0,025620120693;0,000000016433;-0,000000008607;0,000003924188;0,000000625168;0,799996005881;-0,019608352781;0,000000017215;-0,000000010173;0,000009196673;0,000001329418;0,799996005881;0,018466177328;0,000000034430;-0,000000026605;0,000008932188;0,000001362283;0,799996005881;-0,041651501791;0,000000032082;-0,000000014085;0,000000014818;0,000000010123;0,290999656003;-0,195953544864;0,000000001565;-0,000000001565;0,000000769148;0,000000111848;0,797992083244;-0,007584816957;0,000000004695;-0,000000002348;0,000000468668;0,000000438933;-0,199961390139;0,751901862585;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,169902550579;0,256932971169;0,000000001565;-0,000000001565;0,000001296553;0,000000355988;0,799996005881;-0,047663269703;0,000000004695;-0,000000003130;0,000000014818;0,000000011688;-0,015600507506;-0,199961390139;0,000000001565;-0,000000000783;0,000000014818;0,000000011688;-0,151867246843;-0,197957467502;0,000000001565;-0,000000001565;0,000001338808;0,000000165058;0,799996005881;-0,045659347066;0,000000009390;-0,000000007042;0,000000730023;0,000000715938;-0,181926086403;0,565537057315;0,000000002348;-0,000000002348;0,000002706618;0,000000363813;0,799996005881;-0,041651501791;0,000000010173;-0,000000007043
10h26m27s,57m;0,000006468878;0,000001474963;0,799996005881;-0,065698573439;0,000000021910;-0,000000010955;0,000001775443;0,000000197923;0,799996005881;-0,017604430143;0,000000009390;-0,000000006260;0,000002712878;0,000000294953;0,799996005881;-0,057682882890;0,000000013302;-0,000000005478;0,000001251168;0,000001215173;-0,195953544864;0,751901862585;0,000000002348;-0,000000002348;0,000000014818;0,000000010123;-0,125816252558;0,072572088536;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,169902550579;-0,199961390139;0,000000001565;-0,000000001565;0,000002963278;0,000000324688;0,799996005881;-0,019608352781;0,000000017215;-0,000000008607;0,000003872543;0,000000628298;0,799996005881;-0,013596584869;0,000000025823;-0,000000016433;0,000009184153;0,000001326288;0,799996005881;0,014458332054;0,000000035213;-0,000000024257;0,000008922798;0,000001356023;0,799996005881;-0,045659347066;0,000000032865;-0,000000014085;0,000000014818;0,000000010123;0,212846673148;-0,179922163766;0,000000001565;-0,000000001565;0,000000778538;0,000000111848;0,797992083244;-0,011592662231;0,000000004695;-0,000000003130;0,000000465538;0,000000434238;-0,195953544864;0,795988160606;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;0,000430873592;-0,199961390139;0,000000001565;-0,000000001565;0,000001302813;0,000000355988;0,799996005881;-0,031631888605;0,000000004695;-0,000000003130;0,000000014818;0,000000011688;-0,055678960252;-0,187937854315;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,111788794097;-0,197957467502;0,000000001565;-0,000000001565;0,000001340373;0,000000166623;0,799996005881;-0,025620120693;0,000000007825;-0,000000003913;0,000000728458;0,000000714373;-0,157879014755;0,747894017311;0,000000002348;-0,000000002348;0,000002726963;0,000000366943;0,799996005881;-0,043655424428;0,000000011737;-0,000000007043
10h26m34s,71m;0,000006492353;0,000001493743;0,799996005881;-0,067702496076;0,000000021128;-0,000000011737;0,000001772313;0,000000196358;0,799996005881;-0,009588739594;0,000000010173;-0,000000005478;0,000002705053;0,000000294953;0,799996005881;-0,043655424428;0,000000010955;-0,000000006260;0,000001227693;0,000001194828;-0,199961390139;0,765929321047;0,000000002348;-0,000000002348;0,000000014818;0,000000010123;-0,199961390139;0,761921475772;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,121808407284;0,703807719290;0,000000001565;-0,000000001565;0,000002933543;0,000000323123;0,799996005881;-0,017604430143;0,000000017215;-0,000000008607;0,000003878803;0,000000625168;0,797992083244;-0,007584816957;0,000000020345;-0,000000013302;0,000009168503;0,000001316898;0,799996005881;0,020470099966;0,000000033648;-0,000000021128;0,000008963488;0,000001349763;0,799996005881;-0,029627965967;0,000000030518;-0,000000014867;0,000000014818;0,000000010123;0,457325234900;-0,191945699590;0,000000001565;-0,000000001565;0,000000776973;0,000000110283;0,799996005881;0,002434796230;0,000000004695;-0,000000003130;0,000000462408;0,000000431108;-0,193949622227;0,795988160606;0,000000002348;-0,000000001565;0,000000014818;0,000000010123;-0,197957467502;0,274968274905;0,000000001565;-0,000000001565;0,000001305943;0,000000354423;0,799996005881;-0,041651501791;0,000000005478;-0,000000002348;0,000000014818;0,000000011688;0,196815292049;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,169902550579;0,519446836657;0,000000001565;-0,000000001565;0,000001352893;0,000000163493;0,799996005881;-0,031631888605;0,000000010173;-0,000000004695;0,000000726893;0,000000714373;-0,141847633657;0,607619432699;0,000000003130;-0,000000003130;0,000002731658;0,000000360683;0,799996005881;-0,033635811242;0,000000009390;-0,000000007825
10h26m41s,85m;0,000006522088;0,000001490613;0,799996005881;-0,057682882890;0,000000021910;-0,000000012520;0,000001783268;0,000000199488;0,799996005881;-0,003576971682;0,000000009390;-0,000000007825;0,000002689403;0,000000293388;0,797992083244;-0,043655424428;0,000000010955;-0,000000006260;0,000001216738;0,000001182308;-0,199961390139;0,785968547420;0,000000002347;-0,000000002348;0,000000014818;0,000000011688;-0,161886860030;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,181926086403;-0,183930009040;0,000000001565;-0,000000001565;0,000002924153;0,000000323123;0,799996005881;-0,007584816957;0,000000014085;-0,000000010955;0,000003863153;0,000000623603;0,797992083244;-0,009588739594;0,000000017215;-0,000000014867;0,000009137203;0,000001315333;0,799996005881;0,022474022603;0,000000033647;-0,000000022692;0,000008950968;0,000001352893;0,799996005881;-0,033635811242;0,000000032865;-0,000000015650;0,000000013253;0,000000010123;-0,199961390139;-0,155875092118;0,000000001565;-0,000000001565;0,000000769148;0,000000111848;0,797992083244;-0,001573049045;0,000000003913;-0,000000003130;0,000000457713;0,000000429543;-0,199961390139;0,745890094674;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,139843711020;-0,199961390139;0,000000001565;-0,000000001565;0,000001309073;0,000000351293;0,799996005881;-0,029627965967;0,000000004695;-0,000000002348;0,000000014818;0,000000011688;0,054536784800;-0,197957467502;0,000000001565;-0,000000000783;0,000000014818;0,000000011688;-0,121808407284;-0,197957467502;0,000000001565;-0,000000001565;0,000001330983;0,000000169753;0,799996005881;-0,023616198055;0,000000009390;-0,000000003913;0,000000726893;0,000000711243;-0,197957467502;0,783964624782;0,000000001565;-0,000000002348;0,000002728528;0,000000362248;0,799996005881;-0,027624043330;0,000000009390;-0,000000007043
10h26m48s,98m;0,000006537738;0,000001493743;0,799996005881;-0,073714263988;0,000000021127;-0,000000011738;0,000001772313;0,000000199488;0,797992083244;-0,013596584869;0,000000009390;-0,000000004695;0,000002675318;0,000000294953;0,799996005881;-0,047663269703;0,000000011737;-0,000000006260;0,000001202653;0,000001169788;-0,199961390139;0,765929321047;0,000000002348;-0,000000002348;0,000000014818;0,000000011688;-0,183930009040;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,195953544864;-0,031631888605;0,000000001565;-0,000000001565;0,000002935108;0,000000326253;0,799996005881;-0,017604430143;0,000000014867;-0,000000007825;0,000003916363;0,000000631428;0,799996005881;-0,009588739594;0,000000018780;-0,000000014867;0,000009135638;0,000001320028;0,799996005881;0,026481867878;0,000000033647;-0,000000021910;0,000008936883;0,000001352893;0,799996005881;-0,029627965967;0,000000043037;-0,000000013302;0,000000013253;0,000000010123;-0,197957467502;-0,191945699590;0,000000000783;-0,000000001565;0,000000776973;0,000000111848;0,797992083244;-0,005580894319;0,000000004695;-0,000000003912;0,000000457713;0,000000427978;-0,199961390139;0,757913630497;0,000000001565;-0,000000002348;0,000000014818;0,000000011688;-0,157879014755;-0,199961390139;0,000000001565;-0,000000001565;0,000001305943;0,000000352858;0,799996005881;-0,035639733879;0,000000004695;-0,000000002348;0,000000014818;0,000000011688;0,104634850733;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,135835865745;-0,199961390139;0,000000001565;-0,000000001565;0,000001329418;0,000000169753;0,797992083244;-0,009588739594;0,000000008607;-0,000000003912;0,000000726893;0,000000714373;-0,183930009040;0,689780260829;0,000000003130;-0,000000003130;0,000002719138;0,000000363813;0,799996005881;-0,033635811242;0,000000011737;-0,000000007825
10h26m56s,11m;0,000006536173;0,000001501568;0,799996005881;-0,069706418714;0,000000023475;-0,000000011738;0,000001777008;0,000000201053;0,799996005881;-0,009588739594;0,000000008608;-0,000000005478;0,000002667493;0,000000293388;0,799996005881;-0,029627965967;0,000000014867;-0,000000005478;0,000001190133;0,000001158833;-0,195953544864;0,667737111818;0,000000001565;-0,000000002348;0,000000014818;0,000000011688;-0,137839788382;-0,195953544864;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,199961390139;0,459329157538;0,000000001565;-0,000000001565;0,000002919458;0,000000324688;0,799996005881;-0,015600507506;0,000000014085;-0,000000007043;0,000003913233;0,000000626733;0,797992083244;0,000430873592;0,000000015650;-0,000000010955;0,000009134073;0,000001318463;0,799996005881;0,024477945240;0,000000035213;-0,000000022693;0,000008954098;0,000001360718;0,799996005881;-0,027624043330;0,000000032083;-0,000000014867;0,000000014818;0,000000010123;0,767933243684;-0,199961390139;0,000000001565;-0,000000001565;0,000000769148;0,000000111848;0,795988160606;-0,007584816957;0,000000003912;-0,000000002348;0,000000454583;0,000000424848;-0,191945699590;0,727854790938;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,177918241129;-0,199961390139;0,000000001565;-0,000000001565;0,000001305943;0,000000352858;0,795988160606;-0,025620120693;0,000000004695;-0,000000002348;0,000000014818;0,000000010123;0,018466177328;-0,163890782667;0,000000001565;-0,000000001565;0,000000014818;0,000000011688;-0,017604430143;-0,195953544864;0,000000001565;-0,000000001565;0,000001320028;0,000000169753;0,797992083244;-0,019608352781;0,000000007043;-0,000000003130;0,000000728458;0,000000712808;-0,161886860030;0,711823409839;0,000000002348;-0,000000002348;0,000002723833;0,000000365378;0,799996005881;-0,037643656517;0,000000009390;-0,000000008607
