Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,199961390139000  To 0,799996005881000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-03-23_16h02m15s,42m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
16h02m21s,23m;0,000001914728;0,000000373203;0,797992083244;-0,199961390139;0,000000007825;-0,000000003130;0,000001341938;0,000000171318;0,797992083244;-0,149863324206;0,000000006260;-0,000000003130;0,000001235518;0,000000232353;0,799996005881;-0,107780948823;0,000000006260;-0,000000003130;0,000001935073;0,000000319993;0,799996005881;-0,081729954537;0,000000008608;-0,000000004695;0,000000014818;0,000000010123;-0,145855478932;-0,123812329921;0,000000001565;-0,000000001565;0,000001742578;0,000000277738;0,799996005881;-0,061690728164;0,000000007825;-0,000000004695;0,000000847398;0,000000326253;0,797992083244;-0,095757412999;0,000000003913;-0,000000001565;0,000000853658;0,000000324688;0,799996005881;-0,069706418714;0,000000003913;-0,000000001565;0,000003221503;0,000000459278;0,799996005881;-0,067702496076;0,000000018780;-0,000000012520;0,000000014818;0,000000006993;-0,133831943108;-0,189941776952;0,000000002348;-0,000000001565;0,000003773948;0,000000726893;0,799996005881;0,006442641504;0,000000021910;-0,000000020345;0,000003567368;0,000000632993;0,799996005881;0,004438718867;0,000000014868;-0,000000010173;0,000002224598;0,000000368508;0,799996005881;-0,031631888605;0,000000009390;-0,000000004695;0,000004481328;0,000000731588;0,799996005881;0,004438718867;0,000000019562;-0,000000013302;0,000002335713;0,000000327818;0,799996005881;0,004438718867;0,000000011737;-0,000000004695;0,000002043058;0,000000327818;0,789976392694;-0,023616198055;0,000000037560;-0,000000025823;0,000002102528;0,000000312168;0,797992083244;0,038505403701;0,000000009390;-0,000000004695;0,000000016383;0,000000008558;0,645693962808;-0,181926086403;0,000000001565;-0,000000001565;0,000000238613;0,000000135323;0,791980315332;0,006442641504;0,000000007043;-0,000000007042;0,000000016383;0,000000008558;0,757913630497;-0,171906473217;0,000000001565;-0,000000001565
16h02m28s,44m;0,000001781703;0,000000313733;0,795988160606;-0,071710341351;0,000000010173;-0,000000005478;0,000001248038;0,000000176013;0,799996005881;-0,043655424428;0,000000006260;-0,000000004695;0,000001187003;0,000000221398;0,799996005881;-0,021612275418;0,000000006260;-0,000000004695;0,000001845868;0,000000318428;0,799996005881;-0,031631888605;0,000000007825;-0,000000006260;0,000000014818;0,000000010123;-0,113792716734;-0,177918241129;0,000000001565;-0,000000001565;0,000001698758;0,000000277738;0,799996005881;-0,025620120693;0,000000007825;-0,000000007043;0,000000812968;0,000000318428;0,797992083244;-0,049667192340;0,000000003913;-0,000000002348;0,000000814533;0,000000316863;0,799996005881;-0,025620120693;0,000000003130;-0,000000002348;0,000003176118;0,000000460843;0,799996005881;-0,047663269703;0,000000016433;-0,000000014867;0,000000014818;0,000000008558;0,607619432699;-0,125816252558;0,000000001565;-0,000000001565;0,000003683178;0,000000704983;0,795988160606;0,050528939525;0,000000023475;-0,000000017215;0,000003514158;0,000000631428;0,799996005881;0,026481867878;0,000000019562;-0,000000012520;0,000002202688;0,000000365378;0,799996005881;-0,001573049045;0,000000010173;-0,000000005478;0,000004417163;0,000000720633;0,799996005881;0,016462254691;0,000000019562;-0,000000012520;0,000002374838;0,000000323123;0,799996005881;0,014458332054;0,000000009390;-0,000000005478;0,000002038363;0,000000330948;0,799996005881;-0,019608352781;0,000000030518;-0,000000006260;0,000002099398;0,000000315298;0,799996005881;0,052532862163;0,000000009390;-0,000000005477;0,000000016383;0,000000008558;0,679760647642;-0,055678960252;0,000000001565;-0,000000001565;0,000000241743;0,000000132193;0,793984237969;0,024477945240;0,000000007825;-0,000000008607;0,000000016383;0,000000006993;0,511431146108;0,076579933810;0,000000001565;-0,000000001565
16h02m35s,56m;0,000001773878;0,000000312168;0,799996005881;-0,041651501791;0,000000008607;-0,000000005478;0,000001241778;0,000000174448;0,799996005881;-0,019608352781;0,000000006260;-0,000000004695;0,000001177613;0,000000226093;0,797992083244;-0,015600507506;0,000000007825;-0,000000003130;0,000001823958;0,000000321558;0,799996005881;-0,023616198055;0,000000007825;-0,000000006260;0,000000014818;0,000000010123;0,218858441060;-0,151867246843;0,000000001565;-0,000000001565;0,000001689368;0,000000276173;0,799996005881;-0,009588739594;0,000000007825;-0,000000006260;0,000000803578;0,000000310603;0,793984237969;-0,013596584869;0,000000003913;-0,000000002348;0,000000800448;0,000000312168;0,797992083244;-0,009588739594;0,000000003912;-0,000000002348;0,000003160468;0,000000465538;0,799996005881;-0,037643656517;0,000000017215;-0,000000014867;0,000000014818;0,000000008558;0,679760647642;-0,125816252558;0,000000001565;-0,000000001565;0,000003637793;0,000000703418;0,799996005881;0,048525016888;0,000000021127;-0,000000018780;0,000003478163;0,000000628298;0,799996005881;0,032493635789;0,000000016433;-0,000000014867;0,000002187038;0,000000370073;0,799996005881;0,006442641504;0,000000009390;-0,000000005478;0,000004382733;0,000000719068;0,799996005881;0,026481867878;0,000000018780;-0,000000012520;0,000002365448;0,000000324688;0,799996005881;0,028485790515;0,000000009390;-0,000000005478;0,000001927248;0,000000329383;0,793984237969;0,006442641504;0,000000034430;-0,000000037560;0,000002083748;0,000000312168;0,797992083244;0,072572088536;0,000000010955;-0,000000005478;0,000000014818;0,000000008558;0,345105567211;-0,197957467502;0,000000001565;-0,000000001565;0,000000230788;0,000000138453;0,741882249399;-0,035639733879;0,000000004695;-0,000000004695;0,000000016383;0,000000006993;0,483376229185;-0,141847633657;0,000000001565;-0,000000002348
16h02m42s,69m;0,000001756663;0,000000313733;0,799996005881;-0,039647579154;0,000000010955;-0,000000006260;0,000001235518;0,000000171318;0,799996005881;-0,021612275418;0,000000006260;-0,000000003913;0,000001188568;0,000000227658;0,797992083244;0,014458332054;0,000000005478;-0,000000003130;0,000001816133;0,000000321558;0,799996005881;-0,005580894319;0,000000008607;-0,000000006260;0,000000014818;0,000000010123;0,028485790515;-0,175914318491;0,000000001565;-0,000000001565;0,000001683108;0,000000276173;0,799996005881;0,000430873592;0,000000007043;-0,000000006260;0,000000797318;0,000000310603;0,799996005881;-0,001573049045;0,000000004695;-0,000000002348;0,000000797318;0,000000312168;0,799996005881;-0,013596584869;0,000000004695;-0,000000003130;0,000003152643;0,000000463973;0,799996005881;-0,039647579154;0,000000017215;-0,000000013302;0,000000014818;0,000000006993;0,280980042817;0,036501481064;0,000000001565;-0,000000001565;0,000003597103;0,000000694028;0,799996005881;0,058544630075;0,000000019562;-0,000000017215;0,000003460948;0,000000626733;0,799996005881;0,052532862163;0,000000015650;-0,000000013302;0,000002176083;0,000000365378;0,799996005881;0,024477945240;0,000000010173;-0,000000005478;0,000004362388;0,000000717503;0,799996005881;0,040509326339;0,000000018780;-0,000000012520;0,000002370143;0,000000319993;0,799996005881;0,036501481064;0,000000010173;-0,000000006260;0,000001928813;0,000000329383;0,797992083244;0,030489713152;0,000000020345;-0,000000008607;0,000002079053;0,000000312168;0,799996005881;0,070568165898;0,000000008608;-0,000000005478;0,000000014818;0,000000008558;0,391195787869;-0,153871169481;0,000000001565;-0,000000001565;0,000000243308;0,000000133758;0,793984237969;0,010450486779;0,000000007042;-0,000000008607;0,000000014818;0,000000008558;0,150725071391;-0,197957467502;0,000000001565;-0,000000001565
16h02m49s,77m;0,000001756663;0,000000313733;0,797992083244;-0,021612275418;0,000000010173;-0,000000007043;0,000001226128;0,000000174448;0,799996005881;-0,005580894319;0,000000005478;-0,000000003913;0,000001187003;0,000000227658;0,799996005881;0,022474022603;0,000000007042;-0,000000004695;0,000001809873;0,000000321558;0,799996005881;0,010450486779;0,000000007825;-0,000000006260;0,000000014818;0,000000010123;-0,015600507506;-0,177918241129;0,000000001565;-0,000000001565;0,000001679978;0,000000277738;0,799996005881;0,002434796230;0,000000007043;-0,000000005478;0,000000794188;0,000000310603;0,799996005881;-0,007584816957;0,000000003912;-0,000000002348;0,000000789493;0,000000310603;0,799996005881;0,004438718867;0,000000003912;-0,000000002348;0,000003135428;0,000000462408;0,799996005881;-0,021612275418;0,000000019562;-0,000000014867;0,000000014818;0,000000008558;0,711823409839;-0,197957467502;0,000000001565;-0,000000001565;0,000003576758;0,000000695593;0,799996005881;0,082591701722;0,000000021128;-0,000000020345;0,000003443733;0,000000628298;0,799996005881;0,048525016888;0,000000014867;-0,000000014085;0,000002160433;0,000000366943;0,799996005881;0,026481867878;0,000000009390;-0,000000006260;0,000004340478;0,000000722198;0,799996005881;0,048525016888;0,000000018780;-0,000000013302;0,000002363883;0,000000324688;0,799996005881;0,036501481064;0,000000011737;-0,000000005478;0,000001920988;0,000000327818;0,799996005881;0,026481867878;0,000000035213;-0,000000029735;0,000002072793;0,000000313733;0,799996005881;0,066560320624;0,000000010173;-0,000000005478;0,000000014818;0,000000008558;0,435282085890;-0,199961390139;0,000000001565;-0,000000001565;0,000000240178;0,000000133758;0,799996005881;0,020470099966;0,000000004695;-0,000000004695;0,000000016383;0,000000006993;0,759917553135;-0,147859401569;0,000000002348;-0,000000001565
16h02m56s,96m;0,000001734753;0,000000315298;0,799996005881;-0,011592662231;0,000000008607;-0,000000006260;0,000001222998;0,000000174448;0,799996005881;-0,011592662231;0,000000006260;-0,000000003912;0,000001169788;0,000000230788;0,799996005881;0,010450486779;0,000000006260;-0,000000004695;0,000001800483;0,000000323123;0,799996005881;0,006442641504;0,000000008608;-0,000000005478;0,000000014818;0,000000010123;0,254929048531;-0,189941776952;0,000000001565;-0,000000001565;0,000001672153;0,000000277738;0,799996005881;-0,001573049045;0,000000007825;-0,000000005478;0,000000787928;0,000000309038;0,797992083244;0,008446564142;0,000000003912;-0,000000002348;0,000000794188;0,000000309038;0,799996005881;0,016462254691;0,000000003912;-0,000000003130;0,000003124473;0,000000468668;0,799996005881;-0,021612275418;0,000000021127;-0,000000011737;0,000000014818;0,000000008558;0,601607664787;-0,133831943108;0,000000001565;-0,000000001565;0,000003509463;0,000000698723;0,797992083244;0,080587779085;0,000000022692;-0,000000017997;0,000003420258;0,000000628298;0,799996005881;0,060548552712;0,000000017997;-0,000000014085;0,000002147913;0,000000366943;0,799996005881;0,034497558427;0,000000010173;-0,000000007042;0,000004318568;0,000000725328;0,799996005881;0,052532862163;0,000000019562;-0,000000012520;0,000002357623;0,000000321558;0,799996005881;0,050528939525;0,000000009390;-0,000000005478;0,000001870908;0,000000329383;0,799996005881;0,028485790515;0,000000016433;-0,000000007825;0,000002054013;0,000000315298;0,799996005881;0,068564243261;0,000000009390;-0,000000005478;0,000000014818;0,000000008558;0,337089876661;-0,199961390139;0,000000001565;-0,000000001565;0,000000240178;0,000000140018;0,767933243684;0,006442641504;0,000000004695;-0,000000006260;0,000000014818;0,000000005428;0,355125180397;-0,173910395854;0,000000002348;-0,000000003130
16h03m04s,08m;0,000001733188;0,000000313733;0,799996005881;0,010450486779;0,000000008608;-0,000000006260;0,000001215173;0,000000176013;0,797992083244;0,018466177328;0,000000006260;-0,000000004695;0,000001158833;0,000000227658;0,799996005881;0,014458332054;0,000000007825;-0,000000003912;0,000001794223;0,000000323123;0,795988160606;0,026481867878;0,000000007825;-0,000000006260;0,000000013253;0,000000010123;-0,195953544864;-0,163890782667;0,000000001565;-0,000000001565;0,000001669023;0,000000279303;0,799996005881;0,020470099966;0,000000007825;-0,000000005477;0,000000798883;0,000000307473;0,797992083244;0,022474022603;0,000000003912;-0,000000003130;0,000000795753;0,000000307473;0,799996005881;0,008446564142;0,000000003913;-0,000000003912;0,000003108823;0,000000467103;0,799996005881;-0,019608352781;0,000000016433;-0,000000014867;0,000000014818;0,000000008558;0,759917553135;-0,161886860030;0,000000001565;-0,000000001565;0,000003501638;0,000000697158;0,799996005881;0,084595624360;0,000000019563;-0,000000017215;0,000003415563;0,000000625168;0,799996005881;0,066560320624;0,000000017997;-0,000000012520;0,000002144783;0,000000366943;0,799996005881;0,056540707437;0,000000010955;-0,000000007043;0,000004301353;0,000000725328;0,799996005881;0,066560320624;0,000000020345;-0,000000013302;0,000002354493;0,000000319993;0,799996005881;0,062552475349;0,000000010173;-0,000000005478;0,000001828653;0,000000326253;0,797992083244;0,036501481064;0,000000015650;-0,000000010173;0,000002041493;0,000000313733;0,797992083244;0,086599546997;0,000000010173;-0,000000006260;0,000000014818;0,000000008558;0,014458332054;-0,199961390139;0,000000001565;-0,000000001565;0,000000238613;0,000000138453;0,743886172036;0,044517171613;0,000000003913;-0,000000005478;0,000000014818;0,000000008558;0,216854518422;-0,193949622227;0,000000001565;-0,000000001565
16h03m11s,27m;0,000001733188;0,000000315298;0,799996005881;0,006442641504;0,000000010955;-0,000000006260;0,000001202653;0,000000172883;0,799996005881;0,018466177328;0,000000006260;-0,000000004695;0,000001179178;0,000000222963;0,799996005881;0,044517171613;0,000000006260;-0,000000003913;0,000001791093;0,000000324688;0,799996005881;0,014458332054;0,000000007825;-0,000000005478;0,000000013253;0,000000008558;-0,153871169481;0,665733189181;0,000000001565;-0,000000002348;0,000001659633;0,000000279303;0,799996005881;0,012454409416;0,000000008607;-0,000000005478;0,000000787928;0,000000305908;0,797992083244;0,028485790515;0,000000004695;-0,000000003130;0,000000791058;0,000000302778;0,799996005881;0,036501481064;0,000000003912;-0,000000003130;0,000003099433;0,000000471798;0,799996005881;-0,009588739594;0,000000014085;-0,000000013302;0,000000014818;0,000000008558;0,399211478418;-0,143851556294;0,000000001565;-0,000000001565;0,000003523548;0,000000697158;0,799996005881;0,090607392272;0,000000021910;-0,000000017997;0,000003384263;0,000000625168;0,799996005881;0,080587779085;0,000000017215;-0,000000014867;0,000002130698;0,000000370073;0,799996005881;0,046521094251;0,000000010173;-0,000000006260;0,000004293528;0,000000728458;0,799996005881;0,068564243261;0,000000018780;-0,000000013302;0,000002351363;0,000000319993;0,799996005881;0,060548552712;0,000000010173;-0,000000005478;0,000001814568;0,000000326253;0,799996005881;0,040509326339;0,000000014867;-0,000000008607;0,000002025843;0,000000310603;0,797992083244;0,088603469634;0,000000009390;-0,000000004695;0,000000014818;0,000000008558;0,583572361051;-0,157879014755;0,000000001565;-0,000000001565;0,000000246438;0,000000138453;0,791980315332;0,002434796230;0,000000005478;-0,000000004695;0,000000016383;0,000000006993;0,711823409839;-0,199961390139;0,000000001565;-0,000000001565
16h03m18s,39m;0,000001725363;0,000000316863;0,799996005881;0,008446564142;0,000000010173;-0,000000005478;0,000001202653;0,000000172883;0,799996005881;0,020470099966;0,000000007042;-0,000000003913;0,000001169788;0,000000227658;0,799996005881;0,056540707437;0,000000007042;-0,000000003912;0,000001789528;0,000000326253;0,799996005881;0,024477945240;0,000000008608;-0,000000005478;0,000000014818;0,000000010123;0,266952584355;-0,075718186625;0,000000001565;-0,000000001565;0,000001653373;0,000000280868;0,799996005881;0,018466177328;0,000000007825;-0,000000007825;0,000000789493;0,000000304343;0,799996005881;0,032493635789;0,000000003912;-0,000000003130;0,000000795753;0,000000305908;0,795988160606;0,034497558427;0,000000003130;-0,000000003130;0,000003093173;0,000000467103;0,799996005881;-0,015600507506;0,000000017215;-0,000000014085;0,000000014818;0,000000008558;0,457325234900;-0,083733877175;0,000000001565;-0,000000001565;0,000003515723;0,000000698723;0,799996005881;0,102630928096;0,000000017997;-0,000000015650;0,000003381133;0,000000628298;0,799996005881;0,076579933810;0,000000016433;-0,000000015650;0,000002116613;0,000000368508;0,799996005881;0,040509326339;0,000000009390;-0,000000006260;0,000004277878;0,000000726893;0,799996005881;0,064556397987;0,000000020345;-0,000000013303;0,000002346668;0,000000316863;0,799996005881;0,070568165898;0,000000009390;-0,000000005478;0,000001783268;0,000000327818;0,795988160606;0,048525016888;0,000000017997;-0,000000009390;0,000002013323;0,000000312168;0,799996005881;0,100627005458;0,000000008608;-0,000000005478;0,000000016383;0,000000008558;0,677756725005;-0,199961390139;0,000000001565;-0,000000001565;0,000000249568;0,000000141583;0,791980315332;0,042513248976;0,000000006260;-0,000000007043;0,000000016383;0,000000006993;0,603611587424;-0,113792716734;0,000000001565;-0,000000001565
16h03m25s,51m;0,000001720668;0,000000318428;0,799996005881;0,014458332054;0,000000010173;-0,000000007043;0,000001196393;0,000000172883;0,799996005881;0,022474022603;0,000000006260;-0,000000004695;0,000001168223;0,000000221398;0,799996005881;0,054536784800;0,000000006260;-0,000000003913;0,000001784833;0,000000327818;0,799996005881;0,022474022603;0,000000007825;-0,000000007043;0,000000014818;0,000000010123;-0,157879014755;-0,195953544864;0,000000001565;-0,000000001565;0,000001651808;0,000000280868;0,799996005881;0,018466177328;0,000000007825;-0,000000007825;0,000000795753;0,000000302778;0,799996005881;0,040509326339;0,000000003130;-0,000000003912;0,000000797318;0,000000304343;0,797992083244;0,032493635789;0,000000003913;-0,000000003130;0,000003085348;0,000000467103;0,799996005881;0,000430873592;0,000000015650;-0,000000012520;0,000000014818;0,000000008558;0,272964352267;-0,161886860030;0,000000001565;-0,000000001565;0,000003503203;0,000000703418;0,799996005881;0,088603469634;0,000000021910;-0,000000017215;0,000003374873;0,000000631428;0,799996005881;0,068564243261;0,000000018780;-0,000000012520;0,000002111918;0,000000366943;0,799996005881;0,060548552712;0,000000010173;-0,000000007042;0,000004265358;0,000000725328;0,799996005881;0,078583856448;0,000000017998;-0,000000014867;0,000002345103;0,000000319993;0,799996005881;0,070568165898;0,000000010173;-0,000000006260;0,000001844303;0,000000327818;0,787972470057;0,042513248976;0,000000037560;-0,000000036778;0,000002007063;0,000000312168;0,799996005881;0,112650541282;0,000000009390;-0,000000005478;0,000000014818;0,000000008558;0,677756725005;-0,199961390139;0,000000001565;-0,000000001565;0,000000233918;0,000000135323;0,785968547420;0,074576011173;0,000000003913;-0,000000004695;0,000000014818;0,000000006993;0,030489713152;-0,123812329921;0,000000001565;-0,000000001565
