Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,199961390139000  To 0,799996005881000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-03-23_09h10m31s,01m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
09h10m36s,78m;0,000001983588;0,000000406068;0,799996005881;-0,199961390139;0,000000010173;-0,000000001565;0,000001406103;0,000000180708;0,799996005881;-0,127820175196;0,000000007043;-0,000000003130;0,000001274643;0,000000244873;0,799996005881;-0,039647579154;0,000000007825;-0,000000003130;0,000002000803;0,000000334078;0,799996005881;-0,075718186625;0,000000008608;-0,000000005478;0,000000014818;0,000000010123;-0,115796639372;-0,179922163766;0,000000001565;-0,000000001565;0,000001811438;0,000000285563;0,799996005881;-0,057682882890;0,000000008607;-0,000000004695;0,000000874003;0,000000318428;0,797992083244;-0,079726031900;0,000000003912;-0,000000002348;0,000000874003;0,000000319993;0,799996005881;-0,081729954537;0,000000005478;-0,000000003130;0,000003459383;0,000000496838;0,799996005881;-0,071710341351;0,000000015650;-0,000000014085;0,000000014818;0,000000008558;0,469348770724;-0,137839788382;0,000000001565;-0,000000001565;0,000002080618;0,000000725328;0,799996005881;0,264948661718;0,000000013302;-0,000000010173;0,000003603363;0,000000651773;0,799996005881;0,012454409416;0,000000016432;-0,000000012520;0,000002299718;0,000000398243;0,799996005881;-0,023616198055;0,000000009390;-0,000000006260;0,000004526713;0,000000762888;0,799996005881;0,010450486779;0,000000018780;-0,000000014085;0,000002510993;0,000000351293;0,799996005881;-0,005580894319;0,000000009390;-0,000000005478;0,000002046188;0,000000341903;0,797992083244;-0,027624043330;0,000000017998;-0,000000013302;0,000002216773;0,000000337208;0,799996005881;0,042513248976;0,000000010955;-0,000000005478;0,000000016383;0,000000008558;0,693788106103;-0,199961390139;0,000000001565;-0,000000001565;0,000000227658;0,000000132193;0,783964624782;-0,057682882890;0,000000003913;-0,000000003912;0,000000016383;0,000000008558;0,611627277973;-0,197957467502;0,000000001565;-0,000000001565
09h10m43s,94m;0,000001839608;0,000000315298;0,797992083244;-0,063694650802;0,000000009390;-0,000000006260;0,000001291858;0,000000177578;0,799996005881;0,002434796230;0,000000006260;-0,000000004695;0,000001246473;0,000000244873;0,799996005881;0,036501481064;0,000000006260;-0,000000003912;0,000001905338;0,000000332513;0,799996005881;-0,003576971682;0,000000008608;-0,000000006260;0,000000013253;0,000000010123;-0,183930009040;-0,105777026185;0,000000001565;-0,000000001565;0,000001753533;0,000000285563;0,799996005881;-0,001573049045;0,000000007825;-0,000000006260;0,000000855223;0,000000312168;0,799996005881;-0,037643656517;0,000000004695;-0,000000003130;0,000000855223;0,000000312168;0,797992083244;-0,039647579154;0,000000003130;-0,000000003130;0,000003379568;0,000000493708;0,799996005881;-0,035639733879;0,000000017215;-0,000000015650;0,000000013253;0,000000008558;-0,183930009040;-0,157879014755;0,000000001565;-0,000000001565;0,000002476563;0,000000662728;0,799996005881;0,244909435345;0,000000013302;-0,000000012520;0,000003536068;0,000000648643;0,799996005881;0,038505403701;0,000000015650;-0,000000013302;0,000002255898;0,000000401373;0,799996005881;0,004438718867;0,000000010173;-0,000000007043;0,000004451593;0,000000761323;0,799996005881;0,030489713152;0,000000018780;-0,000000012520;0,000002498473;0,000000346598;0,797992083244;0,020470099966;0,000000010955;-0,000000006260;0,000002002368;0,000000348163;0,799996005881;0,006442641504;0,000000019562;-0,000000011738;0,000002202688;0,000000335643;0,799996005881;0,058544630075;0,000000010173;-0,000000005478;0,000000016383;0,000000008558;0,683768492917;-0,199961390139;0,000000001565;-0,000000001565;0,000000227658;0,000000130628;0,695792028741;-0,041651501791;0,000000005477;-0,000000006260;0,000000014818;0,000000006993;0,325066340837;-0,199961390139;0,000000001565;-0,000000001565
09h10m51s,04m;0,000001819263;0,000000313733;0,799996005881;-0,037643656517;0,000000008607;-0,000000007825;0,000001271513;0,000000182273;0,799996005881;0,006442641504;0,000000006260;-0,000000004695;0,000001230823;0,000000248003;0,799996005881;0,050528939525;0,000000007043;-0,000000003130;0,000001877168;0,000000334078;0,799996005881;0,002434796230;0,000000008608;-0,000000006260;0,000000014818;0,000000010123;0,242905512708;-0,189941776952;0,000000001565;-0,000000001565;0,000001739448;0,000000285563;0,799996005881;0,004438718867;0,000000007825;-0,000000006260;0,000000844268;0,000000310603;0,795988160606;-0,023616198055;0,000000004695;-0,000000002348;0,000000850528;0,000000310603;0,795988160606;-0,015600507506;0,000000003912;-0,000000002348;0,000003356093;0,000000499968;0,799996005881;-0,031631888605;0,000000017215;-0,000000014085;0,000000014818;0,000000008558;0,663729266544;-0,169902550579;0,000000001565;-0,000000001565;0,000002572028;0,000000637688;0,799996005881;0,230881976884;0,000000013302;-0,000000014085;0,000003487553;0,000000645513;0,799996005881;0,058544630075;0,000000015650;-0,000000012520;0,000002230858;0,000000398243;0,799996005881;0,018466177328;0,000000010173;-0,000000007825;0,000004399948;0,000000759758;0,799996005881;0,044517171613;0,000000017998;-0,000000012520;0,000002492213;0,000000349728;0,799996005881;0,038505403701;0,000000010173;-0,000000006260;0,000001978893;0,000000349728;0,791980315332;0,022474022603;0,000000031300;-0,000000016433;0,000002174518;0,000000330948;0,799996005881;0,076579933810;0,000000010173;-0,000000005478;0,000000014818;0,000000008558;0,331078108749;-0,199961390139;0,000000001565;-0,000000001565;0,000000224528;0,000000129063;0,791980315332;0,002434796230;0,000000005478;-0,000000005478;0,000000016383;0,000000008558;0,747894017311;-0,199961390139;0,000000001565;-0,000000001565
09h10m58s,21m;0,000001791093;0,000000315298;0,797992083244;-0,017604430143;0,000000010173;-0,000000007825;0,000001257428;0,000000183838;0,797992083244;0,024477945240;0,000000007043;-0,000000004695;0,000001219868;0,000000249568;0,795988160606;0,068564243261;0,000000007825;-0,000000003130;0,000001853693;0,000000335643;0,799996005881;0,016462254691;0,000000008608;-0,000000005478;0,000000014818;0,000000010123;0,056540707437;-0,155875092118;0,000000001565;-0,000000001565;0,000001723798;0,000000287128;0,799996005881;0,014458332054;0,000000007043;-0,000000007043;0,000000858353;0,000000312168;0,799996005881;-0,007584816957;0,000000004695;-0,000000003130;0,000000855223;0,000000309038;0,799996005881;-0,007584816957;0,000000006260;-0,000000003912;0,000003326358;0,000000499968;0,799996005881;-0,009588739594;0,000000019562;-0,000000016433;0,000000014818;0,000000008558;0,489387997097;-0,133831943108;0,000000001565;-0,000000001565;0,000002586113;0,000000631428;0,799996005881;0,234889822158;0,000000017215;-0,000000013303;0,000003462513;0,000000643948;0,799996005881;0,064556397987;0,000000016433;-0,000000012520;0,000002215208;0,000000402938;0,799996005881;0,020470099966;0,000000010955;-0,000000006260;0,000004360823;0,000000766018;0,799996005881;0,052532862163;0,000000017215;-0,000000014867;0,000002474998;0,000000351293;0,799996005881;0,048525016888;0,000000010173;-0,000000005478;0,000001928813;0,000000348163;0,795988160606;0,022474022603;0,000000035213;-0,000000021128;0,000002158868;0,000000338773;0,799996005881;0,082591701722;0,000000009390;-0,000000005478;0,000000016383;0,000000008558;0,755909707860;-0,199961390139;0,000000001565;-0,000000001565;0,000000221398;0,000000130628;0,787972470057;-0,003576971682;0,000000003912;-0,000000003912;0,000000016383;0,000000006993;0,617639045885;-0,199961390139;0,000000002348;-0,000000001565
09h11m05s,30m;0,000001764488;0,000000313733;0,799996005881;0,002434796230;0,000000007825;-0,000000007043;0,000001240213;0,000000179143;0,797992083244;0,044517171613;0,000000007042;-0,000000004695;0,000001218303;0,000000248003;0,799996005881;0,066560320624;0,000000007825;-0,000000003130;0,000001833348;0,000000334078;0,797992083244;0,030489713152;0,000000008608;-0,000000006260;0,000000014818;0,000000010123;-0,133831943108;0,176776065676;0,000000001565;-0,000000001565;0,000001712843;0,000000287128;0,799996005881;0,026481867878;0,000000007825;-0,000000006260;0,000000836443;0,000000307473;0,793984237969;0,002434796230;0,000000003912;-0,000000003130;0,000000842703;0,000000309038;0,795988160606;0,000430873592;0,000000003912;-0,000000003130;0,000003302883;0,000000499968;0,799996005881;-0,011592662231;0,000000021910;-0,000000013303;0,000000014818;0,000000008558;0,581568438414;-0,159882937393;0,000000001565;-0,000000001565;0,000002612718;0,000000631428;0,799996005881;0,236893744796;0,000000014085;-0,000000013303;0,000003429648;0,000000643948;0,799996005881;0,080587779085;0,000000018780;-0,000000013303;0,000002187038;0,000000398243;0,799996005881;0,038505403701;0,000000010173;-0,000000007042;0,000004323263;0,000000759758;0,799996005881;0,070568165898;0,000000019563;-0,000000012520;0,000002449958;0,000000348163;0,799996005881;0,062552475349;0,000000010173;-0,000000005478;0,000001928813;0,000000345033;0,799996005881;0,032493635789;0,000000019562;-0,000000010955;0,000002127568;0,000000330948;0,799996005881;0,098623082821;0,000000010173;-0,000000005478;0,000000016383;0,000000008558;0,769937166321;-0,199961390139;0,000000001565;-0,000000000783;0,000000221398;0,000000130628;0,787972470057;0,036501481064;0,000000004695;-0,000000003130;0,000000016383;0,000000006993;0,697795951378;-0,135835865745;0,000000001565;-0,000000002348
09h11m12s,39m;0,000001755098;0,000000315298;0,799996005881;0,012454409416;0,000000008607;-0,000000007825;0,000001227693;0,000000179143;0,799996005881;0,054536784800;0,000000007043;-0,000000004695;0,000001205783;0,000000248003;0,799996005881;0,104634850733;0,000000010955;-0,000000003912;0,000001817698;0,000000334078;0,799996005881;0,036501481064;0,000000007825;-0,000000006260;0,000000014818;0,000000010123;-0,097761335636;-0,117800562009;0,000000001565;-0,000000001565;0,000001694063;0,000000287128;0,799996005881;0,032493635789;0,000000007825;-0,000000005478;0,000000842703;0,000000307473;0,799996005881;0,018466177328;0,000000003912;-0,000000002348;0,000000847398;0,000000307473;0,799996005881;0,014458332054;0,000000004695;-0,000000002348;0,000003285668;0,000000499968;0,799996005881;0,000430873592;0,000000017215;-0,000000016433;0,000000014818;0,000000008558;0,369152638858;-0,149863324206;0,000000001565;-0,000000001565;0,000002617413;0,000000629863;0,799996005881;0,248917280619;0,000000017215;-0,000000013303;0,000003401478;0,000000643948;0,799996005881;0,094615237546;0,000000018780;-0,000000011738;0,000002163563;0,000000398243;0,799996005881;0,048525016888;0,000000010955;-0,000000006260;0,000004295093;0,000000753498;0,799996005881;0,080587779085;0,000000020345;-0,000000013302;0,000002435873;0,000000349728;0,799996005881;0,068564243261;0,000000010173;-0,000000007043;0,000001897513;0,000000346598;0,799996005881;0,054536784800;0,000000025040;-0,000000006260;0,000002108788;0,000000329383;0,799996005881;0,102630928096;0,000000010173;-0,000000005478;0,000000016383;0,000000008558;0,717835177751;-0,199961390139;0,000000001565;-0,000000001565;0,000000210443;0,000000127498;0,799996005881;0,046521094251;0,000000003912;-0,000000003913;0,000000016383;0,000000008558;0,651705730720;-0,197957467502;0,000000002348;-0,000000001565
09h11m19s,48m;0,000001736318;0,000000313733;0,799996005881;0,034497558427;0,000000007825;-0,000000007825;0,000001212043;0,000000179143;0,797992083244;0,062552475349;0,000000007043;-0,000000005478;0,000001188568;0,000000252698;0,799996005881;0,094615237546;0,000000006260;-0,000000003130;0,000001806743;0,000000334078;0,799996005881;0,050528939525;0,000000010955;-0,000000007043;0,000000013253;0,000000010123;-0,173910395854;-0,197957467502;0,000000001565;-0,000000001565;0,000001679978;0,000000288693;0,799996005881;0,034497558427;0,000000008608;-0,000000006260;0,000000836443;0,000000307473;0,795988160606;0,014458332054;0,000000005478;-0,000000003130;0,000000838008;0,000000309038;0,797992083244;0,024477945240;0,000000004695;-0,000000003130;0,000003262193;0,000000509358;0,799996005881;0,006442641504;0,000000016433;-0,000000014867;0,000000014818;0,000000008558;-0,059686805527;-0,013596584869;0,000000001565;-0,000000002348;0,000003590843;0,000000731588;0,797992083244;0,120666231831;0,000000018780;-0,000000017215;0,000003370178;0,000000640818;0,799996005881;0,094615237546;0,000000016433;-0,000000012520;0,000002154173;0,000000398243;0,799996005881;0,058544630075;0,000000010955;-0,000000006260;0,000004270053;0,000000750368;0,799996005881;0,092611314909;0,000000018780;-0,000000013303;0,000002420223;0,000000349728;0,799996005881;0,090607392272;0,000000009390;-0,000000006260;0,000001894383;0,000000352858;0,797992083244;0,056540707437;0,000000014867;-0,000000008607;0,000002090008;0,000000329383;0,799996005881;0,114654463919;0,000000009390;-0,000000005478;0,000000016383;0,000000010123;0,665733189181;-0,199961390139;0,000000001565;-0,000000001565;0,000000213573;0,000000127498;0,745890094674;0,044517171613;0,000000004695;-0,000000003912;0,000000016383;0,000000008558;0,677756725005;-0,199961390139;0,000000001565;-0,000000001565
09h11m26s,58m;0,000001722233;0,000000315298;0,799996005881;0,024477945240;0,000000010173;-0,000000008607;0,000001212043;0,000000182273;0,799996005881;0,054536784800;0,000000007043;-0,000000005478;0,000001180743;0,000000252698;0,797992083244;0,102630928096;0,000000006260;-0,000000003912;0,000001792658;0,000000335643;0,799996005881;0,056540707437;0,000000007825;-0,000000006260;0,000000014818;0,000000010123;-0,099765258273;0,138701535567;0,000000001565;-0,000000001565;0,000001675283;0,000000287128;0,799996005881;0,052532862163;0,000000007825;-0,000000007825;0,000000820793;0,000000305908;0,799996005881;0,048525016888;0,000000006260;-0,000000003912;0,000000838008;0,000000305908;0,799996005881;0,040509326339;0,000000005478;-0,000000002348;0,000003248108;0,000000503098;0,799996005881;0,022474022603;0,000000017215;-0,000000015650;0,000000014818;0,000000008558;0,631666504347;-0,003576971682;0,000000001565;-0,000000001565;0,000003550153;0,000000719068;0,799996005881;0,118662309194;0,000000020345;-0,000000020345;0,000003354528;0,000000636123;0,799996005881;0,106638773370;0,000000017997;-0,000000012520;0,000002133828;0,000000401373;0,799996005881;0,058544630075;0,000000010173;-0,000000006260;0,000004260663;0,000000747238;0,799996005881;0,098623082821;0,000000017215;-0,000000014085;0,000002418658;0,000000348163;0,799996005881;0,090607392272;0,000000010173;-0,000000005478;0,000001861518;0,000000352858;0,799996005881;0,068564243261;0,000000017998;-0,000000010173;0,000002072793;0,000000332513;0,799996005881;0,120666231831;0,000000009390;-0,000000006260;0,000000016383;0,000000008558;0,733866558850;-0,189941776952;0,000000001565;-0,000000001565;0,000000222963;0,000000132193;0,741882249399;0,022474022603;0,000000004695;-0,000000004695;0,000000016383;0,000000008558;0,677756725005;-0,195953544864;0,000000001565;-0,000000001565
09h11m33s,63m;0,000001709713;0,000000315298;0,797992083244;0,046521094251;0,000000010173;-0,000000009390;0,000001204218;0,000000182273;0,799996005881;0,078583856448;0,000000007043;-0,000000004695;0,000001169788;0,000000246438;0,789976392694;0,122670154469;0,000000008607;-0,000000003913;0,000001789528;0,000000337208;0,799996005881;0,062552475349;0,000000007825;-0,000000007825;0,000000014818;0,000000010123;-0,157879014755;-0,021612275418;0,000000001565;-0,000000001565;0,000001662763;0,000000285563;0,799996005881;0,062552475349;0,000000007825;-0,000000007043;0,000000831748;0,000000307473;0,799996005881;0,034497558427;0,000000005478;-0,000000003130;0,000000827053;0,000000307473;0,799996005881;0,036501481064;0,000000004695;-0,000000003130;0,000003226198;0,000000503098;0,799996005881;0,024477945240;0,000000017997;-0,000000014085;0,000000013253;0,000000008558;-0,193949622227;0,016462254691;0,000000001565;-0,000000001565;0,000003532938;0,000000717503;0,799996005881;0,134693690293;0,000000017998;-0,000000018780;0,000003345138;0,000000639253;0,799996005881;0,106638773370;0,000000016433;-0,000000013302;0,000002132263;0,000000395113;0,799996005881;0,068564243261;0,000000009390;-0,000000006260;0,000004251273;0,000000751933;0,799996005881;0,108642696007;0,000000018780;-0,000000012520;0,000002415528;0,000000349728;0,799996005881;0,096619160184;0,000000010955;-0,000000007043;0,000001823958;0,000000346598;0,797992083244;0,078583856448;0,000000021128;-0,000000010173;0,000002068098;0,000000327818;0,799996005881;0,130685845018;0,000000009390;-0,000000006260;0,000000014818;0,000000008558;0,545497830942;-0,199961390139;0,000000001565;-0,000000001565;0,000000221398;0,000000130628;0,787972470057;0,052532862163;0,000000005478;-0,000000003130;0,000000016383;0,000000006993;0,711823409839;-0,197957467502;0,000000001565;-0,000000001565
09h11m40s,67m;0,000001703453;0,000000313733;0,799996005881;0,048525016888;0,000000008607;-0,000000007825;0,000001191698;0,000000179143;0,799996005881;0,076579933810;0,000000006260;-0,000000005478;0,000001196393;0,000000251133;0,799996005881;0,140705458204;0,000000010955;-0,000000003912;0,000001775443;0,000000337208;0,799996005881;0,066560320624;0,000000008608;-0,000000007042;0,000000014818;0,000000010123;-0,035639733879;-0,027624043330;0,000000001565;-0,000000001565;0,000001658068;0,000000287128;0,799996005881;0,070568165898;0,000000007825;-0,000000006260;0,000000819228;0,000000304343;0,797992083244;0,032493635789;0,000000003913;-0,000000003130;0,000000816098;0,000000305908;0,799996005881;0,030489713152;0,000000004695;-0,000000003130;0,000003212113;0,000000501533;0,799996005881;0,024477945240;0,000000018780;-0,000000017215;0,000000013253;0,000000006993;-0,167898627942;0,066560320624;0,000000001565;-0,000000001565;0,000003526678;0,000000723763;0,797992083244;0,128681922381;0,000000020345;-0,000000017215;0,000003327923;0,000000639253;0,799996005881;0,114654463919;0,000000017215;-0,000000014085;0,000002124438;0,000000395113;0,799996005881;0,080587779085;0,000000009390;-0,000000007043;0,000004234058;0,000000755063;0,799996005881;0,100627005458;0,000000021128;-0,000000014085;0,000002393618;0,000000351293;0,799996005881;0,096619160184;0,000000010955;-0,000000006260;0,000001823958;0,000000348163;0,799996005881;0,070568165898;0,000000016432;-0,000000008608;0,000002050883;0,000000329383;0,799996005881;0,132689767655;0,000000010173;-0,000000005478;0,000000016383;0,000000008558;0,787972470057;-0,199961390139;0,000000001565;-0,000000001565;0,000000219833;0,000000130628;0,781960702145;0,022474022603;0,000000003913;-0,000000004695;0,000000016383;0,000000008558;0,745890094674;-0,199961390139;0,000000001565;-0,000000001565
