Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,199961390139000  To 0,799996005881000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE


2025-03-22_13h58m43s,74m
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,19996139013900027200;0,00000001012300000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000000386300000000;0,00000001168800000000;0,00000000229800000000;0,00000000855800000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000001325300000000;0,00000001168800000000;0,00000345468800000000;0,00000403686800000000;0,00000193350800000000;0,00000245934800000000;0,00001037355300000000
-0,19795746750168563600;0,00000001012300000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000000386300000000;0,00000001012300000000;0,00000000386300000000;0,00000001012300000000;0,00000001168800000000;0,00000001325300000000;0,00000001325300000000;0,00000001168800000000;0,00000001168800000000;0,00000001325300000000;0,00000001012300000000;0,00000345155800000000;0,00000403373800000000;0,00000193037800000000;0,00000245152300000000;0,00001036572800000000
-0,19595354486437099900;0,00000000855800000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000000542800000000;0,00000001168800000000;0,00000000386300000000;0,00000001012300000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000001012300000000;0,00000345625300000000;0,00000403373800000000;0,00000193037800000000;0,00000244995800000000;0,00001037042300000000
-0,19394962222705639000;0,00000000855800000000;0,00000001168800000000;0,00000001168800000000;0,00000001325300000000;0,00000000542800000000;0,00000001168800000000;0,00000000386300000000;0,00000001012300000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000001325300000000;0,00000001168800000000;0,00000001168800000000;0,00000345938300000000;0,00000403686800000000;0,00000193194300000000;0,00000245778300000000;0,00001037198800000000
-0,19194569958974175300;0,00000000855800000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000000542800000000;0,00000001168800000000;0,00000000542800000000;0,00000001012300000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000001325300000000;0,00000001012300000000;0,00000346094800000000;0,00000403217300000000;0,00000193037800000000;0,00000245934800000000;0,00001037511800000000
-0,18994177695242711600;0,00000000855800000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000000699300000000;0,00000001168800000000;0,00000000542800000000;0,00000001012300000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000001325300000000;0,00000001325300000000;0,00000001168800000000;0,00000345781800000000;0,00000403217300000000;0,00000193194300000000;0,00000246560800000000;0,00001036729300000000
-0,18793785431511247900;0,00000001012300000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000000699300000000;0,00000001168800000000;0,00000000542800000000;0,00000001012300000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000001325300000000;0,00000001168800000000;0,00000345781800000000;0,00000403530300000000;0,00000193037800000000;0,00000245621800000000;0,00001036416300000000
-0,18593393167779787000;0,00000001012300000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000000699300000000;0,00000001168800000000;0,00000000542800000000;0,00000001012300000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000001012300000000;0,00000345625300000000;0,00000403373800000000;0,00000193037800000000;0,00000246091300000000;0,00001036885800000000
-0,18393000904048323300;0,00000001012300000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000000542800000000;0,00000001168800000000;0,00000000699300000000;0,00000001012300000000;0,00000001168800000000;0,00000001168800000000;0,00000001325300000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000346251300000000;0,00000403217300000000;0,00000193037800000000;0,00000245465300000000;0,00001037355300000000
-0,18192608640316859600;0,00000000855800000000;0,00000001012300000000;0,00000001168800000000;0,00000001168800000000;0,00000000699300000000;0,00000001168800000000;0,00000000855800000000;0,00000001012300000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000001168800000000;0,00000001325300000000;0,00000001168800000000;0,00000001168800000000;0,00000345781800000000;0,00000403217300000000;0,00000193194300000000;0,00000245308800000000;0,00001036729300000000
