Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,199961390139000  To 0,799996005881000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-03-21_10h07m24s,12m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
10h07m29s,83m;0,000000013253;0,000000005428;0,411235014242;-0,121808407284;0,000000002348;-0,000000002348;0,000000013253;0,000000006993;-0,155875092118;-0,195953544864;0,000000002348;-0,000000002348;0,000000013253;0,000000006993;-0,147859401569;0,114654463919;0,000000002348;-0,000000002348;0,000000014818;0,000000006993;0,451313466988;-0,175914318491;0,000000002348;-0,000000002348;0,000000013253;0,000000006993;-0,191945699590;-0,049667192340;0,000000002348;-0,000000001565;0,000000014818;0,000000008558;0,212846673148;-0,135835865745;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,016462254691;-0,129824097833;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,050528939525;-0,187937854315;0,000000001565;-0,000000002348;0,000000014818;0,000000006993;0,541489985667;0,389191865232;0,000000002348;-0,000000002348;0,000000080548;-0,000000005527;0,753905785223;-0,197957467502;0,000000010955;-0,000000010955;0,000000011688;0,000000003863;0,467344848087;-0,161886860030;0,000000001565;-0,000000001565;0,000000013253;0,000000006993;-0,091749567724;-0,159882937393;0,000000002348;-0,000000002348;0,000000014818;0,000000008558;0,126677999743;-0,173910395854;0,000000001565;-0,000000001565;0,000000014818;0,000000006993;0,242905512708;0,194811369412;0,000000002348;-0,000000001565;0,000000014818;0,000000008558;0,649701808082;-0,189941776952;0,000000001565;-0,000000001565;0,000000013253;0,000000008558;-0,093753490361;-0,155875092118;0,000000001565;-0,000000001565;0,000000013253;0,000000008558;-0,085737799812;-0,197957467502;0,000000002348;-0,000000001565;0,000000014818;0,000000005428;0,515438991382;-0,199961390139;0,000000002348;-0,000000001565;0,000000014818;0,000000005428;0,138701535567;-0,199961390139;0,000000002348;-0,000000002348;0,000000013253;0,000000003863;0,066560320624;-0,195953544864;0,000000002347;-0,000000001565
10h07m36s,93m;0,000000013253;0,000000005428;-0,179922163766;-0,131828020470;0,000000002348;-0,000000002348;0,000000013253;0,000000006993;-0,141847633657;-0,179922163766;0,000000001565;-0,000000002348;0,000000014818;0,000000008558;0,717835177751;-0,191945699590;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,197957467502;-0,193949622227;0,000000001565;-0,000000003130;0,000000014818;0,000000006993;0,108642696007;-0,129824097833;0,000000002348;-0,000000001565;0,000000013253;0,000000008558;-0,197957467502;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,123812329921;-0,181926086403;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,107780948823;-0,067702496076;0,000000001565;-0,000000001565;0,000000013253;0,000000006993;-0,071710341351;-0,035639733879;0,000000001565;-0,000000001565;0,000000074288;-0,000000010222;0,723846945663;-0,187937854315;0,000000010173;-0,000000014867;0,000000011688;0,000000002298;0,733866558850;-0,187937854315;0,000000001565;-0,000000002347;0,000000013253;0,000000006993;0,276972197542;-0,143851556294;0,000000001565;-0,000000001565;0,000000013253;0,000000008558;-0,177918241129;-0,147859401569;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,325066340837;-0,183930009040;0,000000002348;-0,000000001565;0,000000013253;0,000000008558;-0,115796639372;-0,197957467502;0,000000001565;-0,000000002348;0,000000013253;0,000000006993;-0,125816252558;0,791980315332;0,000000002348;-0,000000001565;0,000000014818;0,000000006993;0,575556670502;-0,161886860030;0,000000002348;-0,000000002348;0,000000014818;0,000000005428;0,791980315332;-0,199961390139;0,000000002348;-0,000000002348;0,000000014818;0,000000003863;0,246913357982;-0,193949622227;0,000000002348;-0,000000001565;0,000000013253;0,000000003863;0,066560320624;-0,187937854315;0,000000002348;-0,000000002348
10h07m44s,03m;0,000000013253;0,000000003863;0,132689767655;0,749897939948;0,000000002348;-0,000000002348;0,000000013253;0,000000006993;-0,125816252558;-0,197957467502;0,000000001565;-0,000000001565;0,000000013253;0,000000006993;-0,197957467502;-0,169902550579;0,000000001565;-0,000000002348;0,000000014818;0,000000006993;0,595595896875;-0,191945699590;0,000000002348;-0,000000002348;0,000000013253;0,000000006993;-0,179922163766;-0,199961390139;0,000000002348;-0,000000001565;0,000000013253;0,000000008558;-0,193949622227;-0,181926086403;0,000000002348;-0,000000001565;0,000000014818;0,000000008558;0,078583856448;-0,163890782667;0,000000001565;-0,000000001565;0,000000013253;0,000000008558;-0,197957467502;-0,143851556294;0,000000001565;-0,000000001565;0,000000013253;0,000000006993;-0,145855478932;0,180783910951;0,000000002348;-0,000000002348;0,000000074288;-0,000000018047;0,793984237969;-0,197957467502;0,000000019562;-0,000000018780;0,000000011688;0,000000003863;-0,185933931678;-0,175914318491;0,000000002347;-0,000000002348;0,000000013253;0,000000006993;0,002434796230;-0,157879014755;0,000000001565;-0,000000002348;0,000000014818;0,000000008558;0,699799874015;-0,191945699590;0,000000001565;-0,000000001565;0,000000013253;0,000000008558;-0,161886860030;-0,185933931678;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;-0,111788794097;0,020470099966;0,000000002348;-0,000000001565;0,000000014818;0,000000008558;0,561529212041;-0,161886860030;0,000000001565;-0,000000002348;0,000000013253;0,000000006993;-0,175914318491;-0,117800562009;0,000000002348;-0,000000002348;0,000000014818;0,000000005428;0,218858441060;-0,199961390139;0,000000002348;-0,000000001565;0,000000013253;0,000000003863;-0,041651501791;-0,199961390139;0,000000003130;-0,000000002348;0,000000013253;0,000000003863;-0,015600507506;-0,165894705305;0,000000001565;-0,000000002348
10h07m51s,12m;0,000000013253;0,000000005428;0,403219323693;0,252925125894;0,000000002348;-0,000000001565;0,000000013253;0,000000006993;0,044517171613;-0,183930009040;0,000000002348;-0,000000001565;0,000000013253;0,000000006993;-0,157879014755;0,008446564142;0,000000001565;-0,000000001565;0,000000013253;0,000000006993;-0,197957467502;-0,163890782667;0,000000001565;-0,000000001565;0,000000013253;0,000000008558;-0,191945699590;-0,195953544864;0,000000002348;-0,000000001565;0,000000014818;0,000000008558;0,313042805014;-0,191945699590;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,329074186112;-0,127820175196;0,000000002348;-0,000000001565;0,000000014818;0,000000006993;0,447305621714;-0,085737799812;0,000000002348;-0,000000001565;0,000000013253;0,000000008558;-0,101769180911;-0,195953544864;0,000000002348;-0,000000001565;0,000000078983;-0,000000002397;0,783964624782;-0,195953544864;0,000000010173;-0,000000011738;0,000000011688;0,000000003863;-0,171906473217;-0,185933931678;0,000000003130;-0,000000002348;0,000000013253;0,000000005428;0,431274240615;-0,199961390139;0,000000001565;-0,000000002348;0,000000013253;0,000000006993;-0,131828020470;0,673748879730;0,000000002348;-0,000000002348;0,000000014818;0,000000006993;0,565537057315;0,791980315332;0,000000002348;-0,000000001565;0,000000013253;0,000000008558;-0,173910395854;-0,181926086403;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,701803796653;-0,033635811242;0,000000002348;-0,000000002348;0,000000014818;0,000000006993;0,637678272259;-0,181926086403;0,000000002348;-0,000000002348;0,000000014818;0,000000005428;0,373160484133;-0,199961390139;0,000000002348;-0,000000002348;0,000000013253;0,000000003863;-0,085737799812;-0,197957467502;0,000000002348;-0,000000001565;0,000000013253;0,000000003863;0,122670154469;-0,123812329921;0,000000002348;-0,000000002348
10h07m58s,22m;0,000000013253;0,000000005428;0,072572088536;-0,187937854315;0,000000002348;-0,000000002348;0,000000013253;0,000000005428;-0,097761335636;-0,163890782667;0,000000003130;-0,000000001565;0,000000013253;0,000000006993;-0,151867246843;-0,097761335636;0,000000001565;-0,000000002348;0,000000013253;0,000000006993;-0,139843711020;-0,179922163766;0,000000002348;-0,000000002348;0,000000014818;0,000000006993;-0,029627965967;-0,175914318491;0,000000002348;-0,000000001565;0,000000014818;0,000000008558;-0,001573049045;-0,169902550579;0,000000002348;-0,000000002348;0,000000013253;0,000000008558;-0,181926086403;-0,143851556294;0,000000001565;-0,000000002348;0,000000013253;0,000000006993;-0,147859401569;-0,199961390139;0,000000002348;-0,000000002348;0,000000013253;0,000000006993;-0,031631888605;-0,081729954537;0,000000001565;-0,000000001565;0,000000083678;-0,000000003962;0,789976392694;-0,189941776952;0,000000010955;-0,000000012520;0,000000011688;0,000000002298;0,008446564142;-0,195953544864;0,000000003130;-0,000000002347;0,000000013253;0,000000006993;0,419250704791;-0,199961390139;0,000000002348;-0,000000001565;0,000000013253;0,000000006993;0,156736839303;-0,153871169481;0,000000002348;-0,000000002348;0,000000014818;0,000000008558;0,469348770724;-0,157879014755;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,212846673148;-0,191945699590;0,000000002348;-0,000000002348;0,000000013253;0,000000006993;-0,155875092118;0,543493908305;0,000000002348;-0,000000001565;0,000000013253;0,000000006993;-0,031631888605;-0,195953544864;0,000000002348;-0,000000001565;0,000000013253;0,000000005428;-0,021612275418;-0,197957467502;0,000000001565;-0,000000002348;0,000000013253;0,000000005428;0,006442641504;-0,199961390139;0,000000002348;-0,000000002348;0,000000013253;0,000000003863;0,120666231831;0,535478217755;0,000000002348;-0,000000002348
10h08m05s,30m;0,000000011688;0,000000003863;-0,135835865745;-0,001573049045;0,000000003130;-0,000000002347;0,000000013253;0,000000006993;-0,117800562009;-0,191945699590;0,000000002348;-0,000000002348;0,000000014818;0,000000006993;0,373160484133;-0,165894705305;0,000000002348;-0,000000002348;0,000000013253;0,000000006993;-0,187937854315;-0,143851556294;0,000000002348;-0,000000002348;0,000000013253;0,000000006993;-0,185933931678;-0,123812329921;0,000000002348;-0,000000002348;0,000000014818;0,000000006993;-0,051671114978;-0,187937854315;0,000000002348;-0,000000002348;0,000000013253;0,000000008558;-0,185933931678;-0,195953544864;0,000000001565;-0,000000001565;0,000000013253;0,000000008558;-0,195953544864;-0,175914318491;0,000000001565;-0,000000001565;0,000000013253;0,000000006993;0,108642696007;0,531470372481;0,000000002348;-0,000000001565;0,000000082113;-0,000000019612;0,713827332476;-0,195953544864;0,000000020345;-0,000000021127;0,000000011688;0,000000002298;-0,123812329921;-0,191945699590;0,000000003130;-0,000000003130;0,000000013253;0,000000006993;-0,017604430143;-0,187937854315;0,000000001565;-0,000000001565;0,000000014818;0,000000006993;0,116658386557;-0,129824097833;0,000000002348;-0,000000002348;0,000000014818;0,000000008558;0,317050650288;-0,191945699590;0,000000002348;-0,000000001565;0,000000014818;0,000000008558;0,441293853802;-0,185933931678;0,000000001565;-0,000000002348;0,000000013253;0,000000008558;-0,105777026185;-0,169902550579;0,000000002348;-0,000000001565;0,000000013253;0,000000006993;0,210842750510;0,072572088536;0,000000002348;-0,000000001565;0,000000013253;0,000000003863;-0,035639733879;-0,195953544864;0,000000002348;-0,000000002348;0,000000013253;0,000000005428;-0,085737799812;-0,199961390139;0,000000003130;-0,000000002348;0,000000011688;0,000000003863;-0,061690728164;-0,119804484646;0,000000002348;-0,000000002348
10h08m12s,42m;0,000000011688;0,000000005428;-0,157879014755;0,010450486779;0,000000001565;-0,000000001565;0,000000013253;0,000000006993;-0,197957467502;-0,169902550579;0,000000002348;-0,000000001565;0,000000013253;0,000000006993;-0,139843711020;-0,149863324206;0,000000002348;-0,000000002348;0,000000013253;0,000000006993;-0,187937854315;-0,131828020470;0,000000002348;-0,000000002348;0,000000014818;0,000000006993;-0,151867246843;-0,199961390139;0,000000003130;-0,000000002348;0,000000014818;0,000000008558;-0,133831943108;-0,197957467502;0,000000002348;-0,000000002348;0,000000014818;0,000000008558;0,226874131609;-0,189941776952;0,000000002348;-0,000000002348;0,000000014818;0,000000008558;0,487384074460;-0,159882937393;0,000000002348;-0,000000002348;0,000000013253;0,000000008558;-0,079726031900;-0,153871169481;0,000000001565;-0,000000002348;0,000000068028;-0,000000032132;0,713827332476;-0,199961390139;0,000000019562;-0,000000015650;0,000000010123;0,000000003863;-0,173910395854;-0,199961390139;0,000000002347;-0,000000002347;0,000000013253;0,000000006993;0,351117335123;-0,195953544864;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,763925398409;-0,179922163766;0,000000002348;-0,000000002348;0,000000014818;0,000000008558;0,783964624782;-0,137839788382;0,000000002348;-0,000000002348;0,000000014818;0,000000008558;0,545497830942;-0,185933931678;0,000000001565;-0,000000001565;0,000000013253;0,000000006993;-0,129824097833;-0,075718186625;0,000000002348;-0,000000002348;0,000000014818;0,000000006993;0,565537057315;-0,163890782667;0,000000002348;-0,000000002348;0,000000014818;0,000000003863;0,671744957093;-0,199961390139;0,000000002348;-0,000000001565;0,000000014818;0,000000003863;0,611627277973;-0,197957467502;0,000000002348;-0,000000002348;0,000000011688;0,000000003863;-0,123812329921;-0,199961390139;0,000000001565;-0,000000001565
10h08m19s,50m;0,000000011688;0,000000005428;-0,101769180911;0,234889822158;0,000000001565;-0,000000001565;0,000000013253;0,000000005428;0,118662309194;-0,127820175196;0,000000002348;-0,000000001565;0,000000013253;0,000000006993;-0,137839788382;-0,189941776952;0,000000002348;-0,000000001565;0,000000013253;0,000000006993;-0,195953544864;-0,165894705305;0,000000002348;-0,000000002348;0,000000013253;0,000000006993;-0,197957467502;-0,141847633657;0,000000002348;-0,000000002348;0,000000014818;0,000000008558;-0,053675037615;-0,197957467502;0,000000001565;-0,000000002348;0,000000014818;0,000000006993;-0,133831943108;-0,187937854315;0,000000001565;-0,000000002348;0,000000013253;0,000000008558;-0,193949622227;-0,163890782667;0,000000001565;-0,000000001565;0,000000013253;0,000000006993;-0,001573049045;0,727854790938;0,000000001565;-0,000000002348;0,000000063333;-0,000000030567;0,799996005881;-0,199961390139;0,000000023475;-0,000000021128;0,000000011688;0,000000002298;-0,019608352781;-0,197957467502;0,000000003130;-0,000000003130;0,000000011688;0,000000006993;-0,199961390139;-0,173910395854;0,000000001565;-0,000000002348;0,000000013253;0,000000006993;-0,175914318491;-0,135835865745;0,000000002348;-0,000000002348;0,000000013253;0,000000006993;-0,197957467502;-0,117800562009;0,000000002348;-0,000000001565;0,000000013253;0,000000008558;-0,139843711020;-0,187937854315;0,000000001565;-0,000000002348;0,000000014818;0,000000006993;0,451313466988;0,495399765009;0,000000002348;-0,000000002348;0,000000013253;0,000000006993;0,006442641504;0,355125180397;0,000000002348;-0,000000002348;0,000000014818;0,000000003863;0,595595896875;-0,197957467502;0,000000002348;-0,000000002348;0,000000013253;0,000000003863;-0,043655424428;-0,197957467502;0,000000001565;-0,000000001565;0,000000013253;0,000000003863;0,735870481487;-0,185933931678;0,000000001565;-0,000000001565
10h08m26s,58m;0,000000011688;0,000000005428;-0,077722109263;-0,141847633657;0,000000001565;-0,000000002348;0,000000013253;0,000000006993;0,014458332054;-0,193949622227;0,000000002348;-0,000000002348;0,000000014818;0,000000006993;0,791980315332;-0,189941776952;0,000000002348;-0,000000002348;0,000000014818;0,000000006993;0,060548552712;-0,193949622227;0,000000002348;-0,000000002348;0,000000014818;0,000000006993;0,481372306548;-0,049667192340;0,000000002348;-0,000000002348;0,000000014818;0,000000008558;0,024477945240;-0,199961390139;0,000000002348;-0,000000002348;0,000000014818;0,000000006993;0,323062418200;-0,017604430143;0,000000002348;-0,000000002348;0,000000013253;0,000000008558;-0,137839788382;-0,097761335636;0,000000002348;-0,000000001565;0,000000013253;0,000000006993;0,168760375127;-0,165894705305;0,000000002348;-0,000000001565;0,000000063333;-0,000000027437;0,799996005881;-0,193949622227;0,000000025823;-0,000000022693;0,000000011688;0,000000002298;-0,061690728164;-0,101769180911;0,000000003130;-0,000000003912;0,000000013253;0,000000006993;0,339093799299;-0,197957467502;0,000000001565;-0,000000001565;0,000000013253;0,000000008558;-0,103773103548;-0,189941776952;0,000000001565;-0,000000001565;0,000000013253;0,000000008558;-0,137839788382;-0,161886860030;0,000000001565;-0,000000001565;0,000000013253;0,000000008558;-0,161886860030;-0,145855478932;0,000000001565;-0,000000001565;0,000000013253;0,000000006993;-0,167898627942;0,645693962808;0,000000001565;-0,000000001565;0,000000013253;0,000000006993;-0,013596584869;-0,155875092118;0,000000002348;-0,000000001565;0,000000013253;0,000000005428;-0,003576971682;-0,199961390139;0,000000001565;-0,000000002348;0,000000013253;0,000000003863;-0,069706418714;-0,199961390139;0,000000002348;-0,000000002348;0,000000013253;0,000000002298;0,711823409839;0,755909707860;0,000000003130;-0,000000001565
10h08m33s,60m;0,000000011688;0,000000005428;-0,163890782667;-0,115796639372;0,000000002348;-0,000000001565;0,000000013253;0,000000005428;-0,035639733879;-0,179922163766;0,000000001565;-0,000000002348;0,000000014818;0,000000006993;0,072572088536;-0,175914318491;0,000000002348;-0,000000002348;0,000000014818;0,000000006993;-0,173910395854;-0,113792716734;0,000000002348;-0,000000002348;0,000000013253;0,000000006993;-0,153871169481;0,182787833588;0,000000001565;-0,000000002348;0,000000013253;0,000000008558;-0,151867246843;-0,197957467502;0,000000002348;-0,000000001565;0,000000014818;0,000000008558;0,761921475772;-0,137839788382;0,000000002348;-0,000000001565;0,000000013253;0,000000008558;-0,175914318491;-0,161886860030;0,000000001565;-0,000000001565;0,000000013253;0,000000006993;-0,151867246843;0,455321312263;0,000000002348;-0,000000001565;0,000000060203;-0,000000016482;0,799996005881;-0,181926086403;0,000000022692;-0,000000021128;0,000000011688;0,000000002298;-0,115796639372;-0,071710341351;0,000000003130;-0,000000002347;0,000000013253;0,000000006993;0,661725343906;-0,163890782667;0,000000001565;-0,000000001565;0,000000013253;0,000000008558;-0,175914318491;-0,195953544864;0,000000002348;-0,000000001565;0,000000013253;0,000000008558;-0,181926086403;-0,197957467502;0,000000001565;-0,000000002348;0,000000014818;0,000000008558;0,549505676217;-0,183930009040;0,000000001565;-0,000000001565;0,000000013253;0,000000006993;-0,167898627942;0,709819487202;0,000000002348;-0,000000001565;0,000000014818;0,000000006993;0,695792028741;0,345105567211;0,000000002348;-0,000000002348;0,000000014818;0,000000002298;0,335085954024;-0,197957467502;0,000000002348;-0,000000002348;0,000000014818;0,000000005428;0,351117335123;-0,197957467502;0,000000002348;-0,000000002348;0,000000011688;0,000000003863;-0,105777026185;-0,181926086403;0,000000002347;-0,000000002348
