Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,199961390139000  To 0,799996005881000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-03-23_10h34m09s,08m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
10h34m14s,78m;0,000003547023;0,000000523443;0,799996005881;-0,199961390139;0,000000015650;-0,000000002348;0,000000016383;0,000000008558;0,745890094674;-0,173910395854;0,000000001565;-0,000000001565;0,000005980598;0,000000891218;0,799996005881;-0,135835865745;0,000000021910;-0,000000006260;0,000001003898;0,000000121238;0,797992083244;-0,109784871460;0,000000010173;-0,000000006260;0,000002625238;0,000000377898;0,799996005881;-0,093753490361;0,000000010173;-0,000000006260;0,000006379673;0,000001285598;0,799996005881;-0,123812329921;0,000000018780;-0,000000006260;0,000003396783;0,000000476493;0,799996005881;-0,101769180911;0,000000013302;-0,000000005478;0,000002719138;0,000000409198;0,799996005881;-0,107780948823;0,000000010173;-0,000000005477;0,000008683353;0,000001392018;0,799996005881;-0,087741722449;0,000000041472;-0,000000025040;0,000004733293;0,000000770713;0,799996005881;-0,155875092118;0,000000017215;-0,000000003912;0,000002326323;0,000000348163;0,797992083244;-0,081729954537;0,000000013303;-0,000000008608;0,000003568933;0,000000667423;0,799996005881;-0,091749567724;0,000000014867;-0,000000003130;0,000003221503;0,000000717503;0,799996005881;-0,145855478932;0,000000010173;-0,000000002348;0,000000237048;0,000000041423;0,797992083244;0,004438718867;0,000000004695;-0,000000002348;0,000005112023;0,000000751933;0,799996005881;-0,059686805527;0,000000021910;-0,000000010173;0,000003867848;0,000000643948;0,799996005881;-0,071710341351;0,000000015650;-0,000000008607;0,000000013253;0,000000010123;-0,173910395854;-0,199961390139;0,000000001565;-0,000000001565;0,000001764488;0,000000992943;0,799996005881;-0,047663269703;0,000000003913;-0,000000001565;0,000000014818;0,000000006993;0,651705730720;0,220862363697;0,000000001565;-0,000000001565;0,000000014818;0,000000006993;0,677756725005;-0,149863324206;0,000000002348;-0,000000002348
10h34m21s,90m;0,000003246543;0,000000449888;0,799996005881;-0,077722109263;0,000000017215;-0,000000013303;0,000000014818;0,000000008558;0,657717498632;-0,035639733879;0,000000001565;-0,000000001565;0,000005733328;0,000000872438;0,799996005881;-0,031631888605;0,000000022693;-0,000000010955;0,000000961643;0,000000121238;0,797992083244;-0,019608352781;0,000000006260;-0,000000003913;0,000002509428;0,000000373203;0,799996005881;-0,029627965967;0,000000009390;-0,000000006260;0,000005975903;0,000001258993;0,799996005881;-0,059686805527;0,000000017998;-0,000000008607;0,000003404608;0,000000479623;0,799996005881;-0,057682882890;0,000000014085;-0,000000007043;0,000002650278;0,000000393548;0,799996005881;-0,039647579154;0,000000010173;-0,000000006260;0,000008346878;0,000001376368;0,799996005881;-0,037643656517;0,000000038342;-0,000000023475;0,000004670693;0,000000755063;0,799996005881;-0,099765258273;0,000000017215;-0,000000003912;0,000002288763;0,000000338773;0,799996005881;-0,049667192340;0,000000012520;-0,000000007825;0,000003695698;0,000000704983;0,799996005881;-0,063694650802;0,000000014085;-0,000000003912;0,000003215243;0,000000714373;0,799996005881;-0,099765258273;0,000000010173;-0,000000003130;0,000000227658;0,000000041423;0,799996005881;0,068564243261;0,000000004695;-0,000000003130;0,000004989953;0,000000742543;0,799996005881;-0,031631888605;0,000000017998;-0,000000012520;0,000003772383;0,000000643948;0,799996005881;-0,021612275418;0,000000014867;-0,000000009390;0,000000013253;0,000000010123;-0,023616198055;-0,199961390139;0,000000001565;-0,000000001565;0,000001822393;0,000000966338;0,799996005881;-0,007584816957;0,000000004695;-0,000000002347;0,000000013253;0,000000008558;0,102630928096;-0,167898627942;0,000000001565;-0,000000001565;0,000000013253;0,000000006993;0,309034959739;-0,129824097833;0,000000001565;-0,000000001565
10h34m29s,00m;0,000003207418;0,000000437368;0,799996005881;-0,059686805527;0,000000019562;-0,000000014085;0,000000014818;0,000000008558;0,661725343906;-0,155875092118;0,000000001565;-0,000000001565;0,000005547093;0,000000870873;0,799996005881;-0,009588739594;0,000000021128;-0,000000014085;0,000000950688;0,000000127498;0,797992083244;-0,019608352781;0,000000006260;-0,000000003912;0,000002473433;0,000000374768;0,799996005881;-0,001573049045;0,000000008608;-0,000000007042;0,000005891393;0,000001263688;0,799996005881;-0,041651501791;0,000000017997;-0,000000009390;0,000003393653;0,000000489013;0,799996005881;-0,013596584869;0,000000014085;-0,000000007043;0,000002656538;0,000000395113;0,799996005881;-0,031631888605;0,000000010173;-0,000000006260;0,000008293668;0,000001366978;0,799996005881;-0,031631888605;0,000000032865;-0,000000024257;0,000004705123;0,000000755063;0,799996005881;-0,083733877175;0,000000021128;-0,000000005478;0,000002271548;0,000000337208;0,797992083244;-0,035639733879;0,000000014085;-0,000000007825;0,000003695698;0,000000704983;0,799996005881;-0,041651501791;0,000000015650;-0,000000003913;0,000003207418;0,000000706548;0,799996005881;-0,075718186625;0,000000019562;-0,000000013302;0,000000224528;0,000000039858;0,797992083244;0,050528939525;0,000000003912;-0,000000003130;0,000004975868;0,000000656468;0,799996005881;0,008446564142;0,000000034430;-0,000000020345;0,000003731693;0,000000587608;0,799996005881;0,002434796230;0,000000021910;-0,000000017215;0,000000013253;0,000000008558;-0,125816252558;0,204830982599;0,000000001565;-0,000000001565;0,000001839608;0,000000950688;0,799996005881;-0,003576971682;0,000000004695;-0,000000002348;0,000000013253;0,000000006993;0,022474022603;-0,091749567724;0,000000001565;-0,000000001565;0,000000014818;0,000000006993;0,711823409839;-0,115796639372;0,000000002348;-0,000000001565
10h34m36s,11m;0,000003194898;0,000000449888;0,799996005881;-0,033635811242;0,000000014867;-0,000000014085;0,000000014818;0,000000008558;0,585576283688;-0,151867246843;0,000000001565;-0,000000001565;0,000005486058;0,000000864613;0,799996005881;-0,005580894319;0,000000021910;-0,000000014085;0,000000935038;0,000000124368;0,797992083244;0,002434796230;0,000000006260;-0,000000004695;0,000002456218;0,000000371638;0,799996005881;-0,001573049045;0,000000010173;-0,000000007042;0,000005871048;0,000001257428;0,799996005881;-0,031631888605;0,000000017998;-0,000000010173;0,000003406173;0,000000478058;0,799996005881;-0,019608352781;0,000000014085;-0,000000007043;0,000002673753;0,000000390418;0,799996005881;-0,019608352781;0,000000010173;-0,000000006260;0,000008334358;0,000001366978;0,799996005881;-0,019608352781;0,000000036777;-0,000000024257;0,000004728598;0,000000744108;0,799996005881;-0,053675037615;0,000000021128;-0,000000005478;0,000002259028;0,000000341903;0,799996005881;-0,023616198055;0,000000016433;-0,000000009390;0,000003684743;0,000000701853;0,799996005881;-0,033635811242;0,000000014085;-0,000000004695;0,000003204288;0,000000701853;0,797992083244;-0,055678960252;0,000000011738;-0,000000003912;0,000000221398;0,000000039858;0,797992083244;0,088603469634;0,000000004695;-0,000000003130;0,000004963348;0,000000740978;0,797992083244;-0,017604430143;0,000000018780;-0,000000011738;0,000003684743;0,000000637688;0,799996005881;-0,005580894319;0,000000014867;-0,000000010173;0,000000013253;0,000000010123;-0,109784871460;-0,193949622227;0,000000001565;-0,000000001565;0,000001842738;0,000000936603;0,797992083244;0,014458332054;0,000000005478;-0,000000002348;0,000000013253;0,000000006993;0,413238936879;0,016462254691;0,000000001565;-0,000000001565;0,000000014818;0,000000006993;0,635674349621;-0,195953544864;0,000000002348;-0,000000002348
10h34m43s,12m;0,000003193333;0,000000449888;0,799996005881;-0,035639733879;0,000000017215;-0,000000013303;0,000000014818;0,000000008558;0,517442914020;-0,025620120693;0,000000001565;-0,000000001565;0,000005448498;0,000000858353;0,799996005881;0,002434796230;0,000000021910;-0,000000014085;0,000000935038;0,000000122803;0,797992083244;-0,001573049045;0,000000005478;-0,000000004695;0,000002443698;0,000000371638;0,799996005881;0,006442641504;0,000000009390;-0,000000006260;0,000005874178;0,000001262123;0,799996005881;-0,021612275418;0,000000017998;-0,000000010173;0,000003421823;0,000000476493;0,799996005881;-0,015600507506;0,000000013303;-0,000000007825;0,000002694098;0,000000388853;0,799996005881;-0,009588739594;0,000000010173;-0,000000006260;0,000008375048;0,000001370108;0,799996005881;-0,013596584869;0,000000036778;-0,000000026605;0,000004736423;0,000000740978;0,799996005881;-0,049667192340;0,000000020345;-0,000000007043;0,000002219903;0,000000346598;0,797992083244;-0,023616198055;0,000000013303;-0,000000007825;0,000003680048;0,000000700288;0,799996005881;-0,023616198055;0,000000013303;-0,000000004695;0,000003191768;0,000000703418;0,799996005881;-0,063694650802;0,000000010955;-0,000000003912;0,000000224528;0,000000041423;0,799996005881;0,098623082821;0,000000003912;-0,000000002348;0,000004991518;0,000000742543;0,799996005881;-0,013596584869;0,000000018780;-0,000000011738;0,000003691003;0,000000634558;0,799996005881;0,000430873592;0,000000015650;-0,000000010955;0,000000013253;0,000000008558;0,078583856448;-0,185933931678;0,000000001565;-0,000000001565;0,000001845868;0,000000931908;0,799996005881;0,038505403701;0,000000005478;-0,000000002348;0,000000013253;0,000000008558;0,299015346552;-0,199961390139;0,000000001565;-0,000000001565;0,000000013253;0,000000006993;0,513435068745;-0,127820175196;0,000000002348;-0,000000001565
10h34m50s,13m;0,000003207418;0,000000451453;0,799996005881;-0,025620120693;0,000000013303;-0,000000012520;0,000000014818;0,000000008558;0,557521366766;-0,175914318491;0,000000001565;-0,000000001565;0,000005429718;0,000000859918;0,799996005881;0,008446564142;0,000000021910;-0,000000014867;0,000000928778;0,000000127498;0,799996005881;0,014458332054;0,000000007043;-0,000000003912;0,000002442133;0,000000370073;0,799996005881;0,010450486779;0,000000010173;-0,000000007043;0,000005877308;0,000001263688;0,799996005881;-0,013596584869;0,000000018780;-0,000000010173;0,000003435908;0,000000478058;0,799996005881;-0,011592662231;0,000000014085;-0,000000007825;0,000002706618;0,000000388853;0,799996005881;-0,003576971682;0,000000010173;-0,000000006260;0,000008428258;0,000001370108;0,799996005881;-0,007584816957;0,000000035213;-0,000000025822;0,000004744248;0,000000742543;0,799996005881;-0,041651501791;0,000000020345;-0,000000007043;0,000002224598;0,000000341903;0,799996005881;-0,013596584869;0,000000010955;-0,000000008608;0,000003664398;0,000000700288;0,797992083244;-0,027624043330;0,000000016433;-0,000000004695;0,000003191768;0,000000698723;0,799996005881;-0,035639733879;0,000000011738;-0,000000003913;0,000000219833;0,000000039858;0,795988160606;0,072572088536;0,000000003130;-0,000000002348;0,000005002473;0,000000742543;0,799996005881;-0,005580894319;0,000000017998;-0,000000012520;0,000003683178;0,000000640818;0,799996005881;-0,003576971682;0,000000014867;-0,000000010173;0,000000013253;0,000000008558;-0,113792716734;0,240901590070;0,000000001565;-0,000000001565;0,000001863083;0,000000922518;0,799996005881;0,032493635789;0,000000005478;-0,000000002348;0,000000013253;0,000000008558;0,405223246330;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000006993;0,671744957093;-0,149863324206;0,000000001565;-0,000000001565
10h34m57s,16m;0,000003204288;0,000000451453;0,799996005881;-0,031631888605;0,000000014085;-0,000000014085;0,000000014818;0,000000008558;0,593591974238;-0,043655424428;0,000000001565;-0,000000001565;0,000005435978;0,000000856788;0,799996005881;0,010450486779;0,000000021128;-0,000000014867;0,000000922518;0,000000122803;0,795988160606;0,006442641504;0,000000007043;-0,000000003912;0,000002442133;0,000000373203;0,799996005881;0,006442641504;0,000000009390;-0,000000007042;0,000005883568;0,000001266818;0,799996005881;-0,019608352781;0,000000017997;-0,000000009390;0,000003442168;0,000000476493;0,799996005881;-0,007584816957;0,000000014085;-0,000000007043;0,000002725398;0,000000387288;0,799996005881;-0,001573049045;0,000000010955;-0,000000006260;0,000008451733;0,000001371673;0,799996005881;-0,005580894319;0,000000040690;-0,000000025823;0,000004745813;0,000000742543;0,799996005881;-0,035639733879;0,000000017998;-0,000000006260;0,000002212078;0,000000341903;0,799996005881;-0,013596584869;0,000000011738;-0,000000007825;0,000003678483;0,000000701853;0,799996005881;-0,017604430143;0,000000014867;-0,000000005478;0,000003182378;0,000000694028;0,799996005881;-0,037643656517;0,000000011737;-0,000000004695;0,000000221398;0,000000041423;0,795988160606;0,088603469634;0,000000003130;-0,000000002347;0,000005018123;0,000000734718;0,799996005881;-0,013596584869;0,000000018780;-0,000000012520;0,000003662833;0,000000631428;0,799996005881;0,004438718867;0,000000014867;-0,000000009390;0,000000013253;0,000000010123;-0,189941776952;-0,183930009040;0,000000001565;-0,000000001565;0,000001864648;0,000000920953;0,799996005881;0,032493635789;0,000000005478;-0,000000003130;0,000000013253;0,000000006993;0,303023191827;0,072572088536;0,000000001565;-0,000000001565;0,000000014818;0,000000006993;0,431274240615;-0,011592662231;0,000000001565;-0,000000001565
10h35m04s,20m;0,000003218373;0,000000454583;0,799996005881;-0,033635811242;0,000000014867;-0,000000013303;0,000000014818;0,000000008558;0,415242859517;-0,021612275418;0,000000001565;-0,000000002348;0,000005439108;0,000000855223;0,799996005881;0,012454409416;0,000000021128;-0,000000013303;0,000000922518;0,000000127498;0,799996005881;-0,001573049045;0,000000008607;-0,000000004695;0,000002448393;0,000000371638;0,799996005881;0,008446564142;0,000000010173;-0,000000007042;0,000005885133;0,000001269948;0,799996005881;-0,019608352781;0,000000017997;-0,000000010173;0,000003454688;0,000000476493;0,799996005881;-0,001573049045;0,000000014085;-0,000000007043;0,000002728528;0,000000388853;0,799996005881;-0,001573049045;0,000000010173;-0,000000007825;0,000008487728;0,000001376368;0,799996005881;-0,001573049045;0,000000050080;-0,000000026605;0,000004766158;0,000000740978;0,799996005881;-0,033635811242;0,000000020345;-0,000000007042;0,000002237118;0,000000345033;0,799996005881;-0,003576971682;0,000000014867;-0,000000009390;0,000003686308;0,000000701853;0,799996005881;-0,015600507506;0,000000017997;-0,000000004695;0,000003174553;0,000000695593;0,799996005881;-0,041651501791;0,000000011738;-0,000000004695;0,000000218268;0,000000041423;0,799996005881;0,096619160184;0,000000003130;-0,000000002348;0,000005024383;0,000000731588;0,799996005881;-0,007584816957;0,000000019562;-0,000000011738;0,000003678483;0,000000636123;0,799996005881;0,012454409416;0,000000014867;-0,000000010955;0,000000013253;0,000000008558;-0,185933931678;-0,139843711020;0,000000001565;-0,000000001565;0,000001874038;0,000000919388;0,799996005881;0,036501481064;0,000000005478;-0,000000002348;0,000000013253;0,000000008558;0,425262472703;-0,197957467502;0,000000001565;-0,000000001565;0,000000013253;0,000000006993;0,451313466988;-0,081729954537;0,000000001565;-0,000000002348
10h35m11s,33m;0,000003223068;0,000000453018;0,799996005881;-0,023616198055;0,000000017997;-0,000000015650;0,000000014818;0,000000008558;0,553513521491;-0,089745645087;0,000000001565;-0,000000001565;0,000005440673;0,000000859918;0,799996005881;0,016462254691;0,000000020345;-0,000000014085;0,000000920953;0,000000127498;0,799996005881;0,024477945240;0,000000005478;-0,000000004695;0,000002446828;0,000000371638;0,799996005881;0,024477945240;0,000000010173;-0,000000007042;0,000005896088;0,000001269948;0,799996005881;-0,011592662231;0,000000018780;-0,000000010173;0,000003456253;0,000000481188;0,799996005881;-0,003576971682;0,000000013303;-0,000000007043;0,000002734788;0,000000387288;0,799996005881;0,004438718867;0,000000011738;-0,000000007043;0,000008503378;0,000001379498;0,799996005881;-0,003576971682;0,000000037560;-0,000000024257;0,000004773983;0,000000739413;0,799996005881;-0,029627965967;0,000000019562;-0,000000008607;0,000002238683;0,000000341903;0,799996005881;-0,003576971682;0,000000014867;-0,000000013302;0,000003675353;0,000000703418;0,799996005881;-0,017604430143;0,000000014867;-0,000000006260;0,000003168293;0,000000695593;0,799996005881;-0,023616198055;0,000000010955;-0,000000004695;0,000000212008;0,000000041423;0,799996005881;0,120666231831;0,000000005478;-0,000000003912;0,000005035338;0,000000745673;0,799996005881;0,000430873592;0,000000020345;-0,000000012520;0,000003658138;0,000000636123;0,799996005881;0,006442641504;0,000000014867;-0,000000010173;0,000000014818;0,000000008558;0,725850868300;-0,015600507506;0,000000001565;-0,000000001565;0,000001878733;0,000000917823;0,799996005881;0,036501481064;0,000000004695;-0,000000002348;0,000000013253;0,000000008558;0,371156561496;-0,179922163766;0,000000001565;-0,000000001565;0,000000013253;0,000000006993;0,210842750510;-0,055678960252;0,000000001565;-0,000000002348
10h35m18s,47m;0,000003215243;0,000000453018;0,799996005881;-0,023616198055;0,000000015650;-0,000000014085;0,000000014818;0,000000008558;0,641686117533;-0,181926086403;0,000000001565;-0,000000001565;0,000005459453;0,000000859918;0,799996005881;0,016462254691;0,000000021128;-0,000000015650;0,000000924083;0,000000122803;0,799996005881;0,030489713152;0,000000006260;-0,000000003912;0,000002448393;0,000000371638;0,799996005881;0,026481867878;0,000000010955;-0,000000007042;0,000005903913;0,000001269948;0,799996005881;-0,011592662231;0,000000019562;-0,000000010173;0,000003460948;0,000000479623;0,799996005881;-0,005580894319;0,000000013303;-0,000000007825;0,000002750438;0,000000391983;0,799996005881;0,014458332054;0,000000010955;-0,000000007043;0,000008522158;0,000001377933;0,799996005881;0,002434796230;0,000000045385;-0,000000026605;0,000004786503;0,000000740978;0,799996005881;-0,029627965967;0,000000019562;-0,000000007825;0,000002204253;0,000000349728;0,799996005881;0,008446564142;0,000000010955;-0,000000009390;0,000003665963;0,000000701853;0,799996005881;-0,015600507506;0,000000015650;-0,000000005477;0,000003165163;0,000000698723;0,799996005881;-0,043655424428;0,000000010955;-0,000000003912;0,000000205748;0,000000041423;0,781960702145;0,092611314909;0,000000003912;-0,000000003130;0,000005046293;0,000000739413;0,799996005881;0,006442641504;0,000000019563;-0,000000011738;0,000003661268;0,000000637688;0,799996005881;0,014458332054;0,000000015650;-0,000000010173;0,000000013253;0,000000008558;-0,133831943108;-0,191945699590;0,000000001565;-0,000000001565;0,000001892818;0,000000917823;0,797992083244;0,030489713152;0,000000005478;-0,000000003130;0,000000013253;0,000000008558;0,266952584355;-0,199961390139;0,000000001565;-0,000000001565;0,000000013253;0,000000006993;0,439289931164;-0,081729954537;0,000000002348;-0,000000002348
