Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,199961390139000  To 0,799996005881000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-03-26_09h21m14s,02m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
09h21m19s,73m;0,000002529773;0,000000534398;0,799996005881;-0,199961390139;0,000000010173;-0,000000001565;0,000003326358;0,000000495273;0,799996005881;-0,129824097833;0,000000012520;-0,000000003912;0,000001041458;0,000000143148;0,799996005881;-0,047663269703;0,000000012520;-0,000000007043;0,000002680013;0,000000435803;0,799996005881;-0,059686805527;0,000000015650;-0,000000011738;0,000000013253;0,000000010123;-0,195953544864;-0,167898627942;0,000000001565;-0,000000001565;0,000000174448;0,000000097763;0,799996005881;-0,119804484646;0,000000003130;-0,000000003130;0,000005373378;0,000000842703;0,799996005881;-0,005580894319;0,000000053992;-0,000000024257;0,000002003933;0,000000312168;0,799996005881;-0,025620120693;0,000000025040;-0,000000018780;0,000001845868;0,000000266783;0,799996005881;-0,059686805527;0,000000009390;-0,000000005478;0,000003296623;0,000000529703;0,799996005881;-0,063694650802;0,000000016433;-0,000000013302;0,000003636228;0,000002587678;0,799996005881;0,076579933810;0,000000011738;-0,000000014867;0,000001956983;0,000000316863;0,795988160606;-0,047663269703;0,000000009390;-0,000000006260;0,000001592338;0,000000280868;0,799996005881;0,002434796230;0,000000016432;-0,000000005478;0,000000013253;0,000000010123;-0,175914318491;-0,171906473217;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;-0,051671114978;-0,151867246843;0,000000001565;-0,000000001565;0,000002183908;0,000000324688;0,797992083244;-0,035639733879;0,000000027388;-0,000000011738;0,000003514158;0,000000595433;0,799996005881;0,030489713152;0,000000025823;-0,000000014085;0,000003553283;0,000000510923;0,799996005881;0,012454409416;0,000000035995;-0,000000024257;0,000001091538;0,000000180708;0,799996005881;0,030489713152;0,000000005478;-0,000000003130;0,000004892923;0,000000756628;0,799996005881;-0,029627965967;0,000000022693;-0,000000013303
09h21m26s,77m;0,000002348233;0,000000435803;0,799996005881;-0,095757412999;0,000000010955;-0,000000006260;0,000003143253;0,000000496838;0,799996005881;-0,011592662231;0,000000017997;-0,000000007043;0,000000975728;0,000000141583;0,799996005881;0,030489713152;0,000000010173;-0,000000007825;0,000002564203;0,000000432673;0,799996005881;-0,011592662231;0,000000011738;-0,000000008608;0,000000014818;0,000000010123;-0,081729954537;-0,189941776952;0,000000001565;-0,000000001565;0,000000152538;0,000000089938;0,673748879730;-0,063694650802;0,000000003130;-0,000000004695;0,000005276348;0,000000845833;0,799996005881;0,046521094251;0,000000032865;-0,000000022693;0,000001961678;0,000000307473;0,799996005881;-0,001573049045;0,000000023475;-0,000000007042;0,000001805178;0,000000265218;0,799996005881;-0,035639733879;0,000000008608;-0,000000005478;0,000003232458;0,000000528138;0,799996005881;-0,039647579154;0,000000014085;-0,000000014085;0,000003689438;0,000002548553;0,799996005881;0,080587779085;0,000000010955;-0,000000015650;0,000002035233;0,000000324688;0,799996005881;-0,031631888605;0,000000012520;-0,000000008607;0,000001579818;0,000000271478;0,799996005881;0,020470099966;0,000000017998;-0,000000005478;0,000000014818;0,000000010123;0,186795678863;-0,187937854315;0,000000001565;-0,000000001565;0,000000013253;0,000000010123;-0,199961390139;-0,189941776952;0,000000001565;-0,000000001565;0,000002168258;0,000000323123;0,799996005881;-0,005580894319;0,000000021128;-0,000000009390;0,000003517288;0,000000600128;0,799996005881;0,036501481064;0,000000028952;-0,000000016433;0,000003528243;0,000000526573;0,799996005881;0,010450486779;0,000000035995;-0,000000022693;0,000001082148;0,000000174448;0,799996005881;0,026481867878;0,000000005478;-0,000000005478;0,000004914833;0,000000759758;0,799996005881;-0,009588739594;0,000000019562;-0,000000016433
09h21m33s,82m;0,000002324758;0,000000446758;0,799996005881;-0,079726031900;0,000000011737;-0,000000007043;0,000003113518;0,000000498403;0,799996005881;-0,019608352781;0,000000013302;-0,000000007825;0,000000958513;0,000000143148;0,799996005881;0,032493635789;0,000000011738;-0,000000004695;0,000002545423;0,000000435803;0,799996005881;0,006442641504;0,000000015650;-0,000000010955;0,000000014818;0,000000010123;0,565537057315;-0,197957467502;0,000000001565;-0,000000001565;0,000000152538;0,000000089938;0,787972470057;-0,031631888605;0,000000003130;-0,000000003130;0,000005245048;0,000000845833;0,799996005881;0,058544630075;0,000000048515;-0,000000021128;0,000001963243;0,000000313733;0,799996005881;0,002434796230;0,000000023475;-0,000000010955;0,000001798918;0,000000265218;0,799996005881;-0,027624043330;0,000000009390;-0,000000005478;0,000003229328;0,000000531268;0,799996005881;-0,029627965967;0,000000014867;-0,000000011738;0,000003698828;0,000002529773;0,799996005881;0,086599546997;0,000000008607;-0,000000012520;0,000002036798;0,000000324688;0,797992083244;-0,017604430143;0,000000019562;-0,000000010955;0,000001587643;0,000000271478;0,799996005881;0,024477945240;0,000000018780;-0,000000009390;0,000000014818;0,000000010123;-0,099765258273;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,260940816443;-0,187937854315;0,000000001565;-0,000000001565;0,000002157303;0,000000323123;0,799996005881;-0,013596584869;0,000000017998;-0,000000010955;0,000003492248;0,000000601693;0,799996005881;0,060548552712;0,000000026605;-0,000000014085;0,000003518853;0,000000517183;0,799996005881;0,016462254691;0,000000033647;-0,000000021910;0,000001082148;0,000000176013;0,799996005881;0,040509326339;0,000000010955;-0,000000007825;0,000004922658;0,000000758193;0,799996005881;-0,009588739594;0,000000021128;-0,000000014867
09h21m40s,86m;0,000002312238;0,000000442063;0,799996005881;-0,067702496076;0,000000010173;-0,000000005478;0,000003107258;0,000000490578;0,799996005881;-0,003576971682;0,000000036778;-0,000000025040;0,000000952253;0,000000143148;0,799996005881;0,034497558427;0,000000013303;-0,000000007043;0,000002539163;0,000000432673;0,799996005881;0,020470099966;0,000000014085;-0,000000010955;0,000000014818;0,000000010123;-0,095757412999;-0,183930009040;0,000000001565;-0,000000001565;0,000000152538;0,000000089938;0,743886172036;-0,063694650802;0,000000003912;-0,000000003912;0,000005241918;0,000000844268;0,799996005881;0,042513248976;0,000000043820;-0,000000031300;0,000001949158;0,000000310603;0,799996005881;0,006442641504;0,000000019562;-0,000000010173;0,000001787963;0,000000263653;0,799996005881;-0,017604430143;0,000000011737;-0,000000005478;0,000003213678;0,000000532833;0,799996005881;-0,021612275418;0,000000019562;-0,000000013303;0,000003700393;0,000002520383;0,799996005881;0,114654463919;0,000000012520;-0,000000017215;0,000002035233;0,000000327818;0,799996005881;0,012454409416;0,000000021910;-0,000000006260;0,000001579818;0,000000269913;0,799996005881;0,032493635789;0,000000016433;-0,000000007042;0,000000014818;0,000000010123;-0,103773103548;-0,187937854315;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,086599546997;-0,177918241129;0,000000001565;-0,000000001565;0,000002151043;0,000000319993;0,799996005881;0,016462254691;0,000000026605;-0,000000012520;0,000003492248;0,000000600128;0,799996005881;0,068564243261;0,000000025823;-0,000000021910;0,000003500073;0,000000515618;0,799996005881;0,028485790515;0,000000036777;-0,000000017215;0,000001079018;0,000000166623;0,799996005881;0,060548552712;0,000000006260;-0,000000008607;0,000004911703;0,000000750368;0,799996005881;0,000430873592;0,000000022692;-0,000000014867
09h21m47s,90m;0,000002310673;0,000000435803;0,799996005881;-0,067702496076;0,000000013303;-0,000000005478;0,000003099433;0,000000492143;0,799996005881;0,002434796230;0,000000027388;-0,000000016433;0,000000952253;0,000000141583;0,799996005881;0,062552475349;0,000000009390;-0,000000004695;0,000002531338;0,000000435803;0,799996005881;0,024477945240;0,000000015650;-0,000000012520;0,000000014818;0,000000010123;0,359133025672;-0,187937854315;0,000000001565;-0,000000001565;0,000000152538;0,000000089938;0,749897939948;-0,051671114978;0,000000003912;-0,000000005478;0,000005243483;0,000000852093;0,799996005881;0,050528939525;0,000000033647;-0,000000019562;0,000001944463;0,000000312168;0,799996005881;0,012454409416;0,000000016433;-0,000000010173;0,000001787963;0,000000262088;0,799996005881;-0,001573049045;0,000000010173;-0,000000006260;0,000003202723;0,000000531268;0,799996005881;-0,031631888605;0,000000019562;-0,000000018780;0,000003705088;0,000002515688;0,799996005881;0,138701535567;0,000000008607;-0,000000010173;0,000002022713;0,000000326253;0,799996005881;0,024477945240;0,000000023475;-0,000000014085;0,000001593903;0,000000274608;0,799996005881;0,040509326339;0,000000015650;-0,000000007825;0,000000014818;0,000000010123;-0,081729954537;-0,195953544864;0,000000001565;-0,000000001565;0,000000013253;0,000000010123;-0,181926086403;0,084595624360;0,000000001565;-0,000000001565;0,000002140088;0,000000316863;0,797992083244;0,010450486779;0,000000022693;-0,000000009390;0,000003490683;0,000000607953;0,799996005881;0,062552475349;0,000000029735;-0,000000010955;0,000003520418;0,000000515618;0,799996005881;0,034497558427;0,000000035995;-0,000000024257;0,000001074323;0,000000168188;0,799996005881;0,050528939525;0,000000010955;-0,000000008607;0,000004927353;0,000000750368;0,799996005881;-0,001573049045;0,000000020345;-0,000000014867
09h21m54s,94m;0,000002293458;0,000000442063;0,799996005881;-0,069706418714;0,000000011737;-0,000000005478;0,000003102563;0,000000484318;0,799996005881;0,022474022603;0,000000023475;-0,000000014867;0,000000950688;0,000000141583;0,799996005881;0,050528939525;0,000000009390;-0,000000003913;0,000002521948;0,000000435803;0,799996005881;0,028485790515;0,000000011738;-0,000000010173;0,000000013253;0,000000010123;-0,191945699590;-0,187937854315;0,000000001565;-0,000000001565;0,000000152538;0,000000088373;0,729858713575;-0,079726031900;0,000000007825;-0,000000007825;0,000005229398;0,000000850528;0,799996005881;0,056540707437;0,000000041473;-0,000000020345;0,000001946028;0,000000309038;0,795988160606;0,018466177328;0,000000014867;-0,000000008607;0,000001778573;0,000000266783;0,799996005881;-0,013596584869;0,000000009390;-0,000000005478;0,000003198028;0,000000531268;0,799996005881;-0,019608352781;0,000000015650;-0,000000017215;0,000003708218;0,000002510993;0,799996005881;0,130685845018;0,000000016433;-0,000000020345;0,000002047753;0,000000326253;0,799996005881;0,000430873592;0,000000016433;-0,000000009390;0,000001559473;0,000000263653;0,799996005881;0,038505403701;0,000000025823;-0,000000014867;0,000000013253;0,000000010123;-0,163890782667;-0,195953544864;0,000000001565;-0,000000001565;0,000000013253;0,000000010123;-0,185933931678;-0,189941776952;0,000000001565;-0,000000001565;0,000002140088;0,000000319993;0,799996005881;0,004438718867;0,000000019562;-0,000000014085;0,000003484423;0,000000604823;0,799996005881;0,072572088536;0,000000025040;-0,000000014867;0,000003495378;0,000000523443;0,799996005881;0,030489713152;0,000000033647;-0,000000020345;0,000001074323;0,000000171318;0,799996005881;0,034497558427;0,000000009390;-0,000000007825;0,000004903878;0,000000750368;0,799996005881;0,004438718867;0,000000018780;-0,000000016432
09h22m01s,97m;0,000002282503;0,000000434238;0,799996005881;-0,045659347066;0,000000012520;-0,000000006260;0,000003088478;0,000000487448;0,799996005881;0,018466177328;0,000000021128;-0,000000017215;0,000000950688;0,000000144713;0,799996005881;0,044517171613;0,000000008608;-0,000000006260;0,000002520383;0,000000437368;0,799996005881;0,010450486779;0,000000016433;-0,000000013303;0,000000013253;0,000000010123;-0,183930009040;-0,191945699590;0,000000001565;-0,000000001565;0,000000140018;0,000000082113;0,503415455558;-0,017604430143;0,000000007043;-0,000000006260;0,000005191838;0,000000847398;0,799996005881;0,048525016888;0,000000032082;-0,000000021127;0,000001939768;0,000000309038;0,799996005881;0,032493635789;0,000000019562;-0,000000008607;0,000001767618;0,000000265218;0,799996005881;0,000430873592;0,000000010173;-0,000000006260;0,000003198028;0,000000529703;0,799996005881;-0,025620120693;0,000000017998;-0,000000017215;0,000003711348;0,000002507863;0,799996005881;0,124674077106;0,000000013303;-0,000000017998;0,000002057143;0,000000335643;0,799996005881;0,020470099966;0,000000021128;-0,000000013303;0,000001573558;0,000000266783;0,799996005881;0,046521094251;0,000000015650;-0,000000011738;0,000000014818;0,000000010123;0,090607392272;-0,189941776952;0,000000001565;-0,000000001565;0,000000013253;0,000000010123;-0,187937854315;-0,195953544864;0,000000001565;-0,000000001565;0,000002135393;0,000000321558;0,799996005881;0,012454409416;0,000000017998;-0,000000011738;0,000003487553;0,000000601693;0,799996005881;0,066560320624;0,000000028952;-0,000000016433;0,000003482858;0,000000514053;0,797992083244;0,030489713152;0,000000038342;-0,000000021127;0,000001066498;0,000000166623;0,797992083244;0,058544630075;0,000000008607;-0,000000008607;0,000004914833;0,000000744108;0,799996005881;0,008446564142;0,000000023475;-0,000000017215
09h22m09s,03m;0,000002290328;0,000000435803;0,797992083244;-0,051671114978;0,000000012520;-0,000000005478;0,000003085348;0,000000493708;0,799996005881;0,008446564142;0,000000010955;-0,000000008608;0,000000945993;0,000000141583;0,799996005881;0,058544630075;0,000000011737;-0,000000006260;0,000002509428;0,000000435803;0,799996005881;0,034497558427;0,000000015650;-0,000000009390;0,000000014818;0,000000010123;0,146717226116;-0,193949622227;0,000000001565;-0,000000001565;0,000000138453;0,000000078983;0,723846945663;-0,057682882890;0,000000007825;-0,000000007825;0,000005213748;0,000000848963;0,799996005881;0,066560320624;0,000000055558;-0,000000030518;0,000001928813;0,000000312168;0,795988160606;0,016462254691;0,000000019562;-0,000000011737;0,000001778573;0,000000265218;0,799996005881;0,000430873592;0,000000010955;-0,000000005478;0,000003190203;0,000000531268;0,799996005881;-0,021612275418;0,000000017215;-0,000000016433;0,000003711348;0,000002507863;0,799996005881;0,122670154469;0,000000013302;-0,000000020345;0,000002055578;0,000000324688;0,799996005881;0,016462254691;0,000000019562;-0,000000010955;0,000001564168;0,000000266783;0,799996005881;0,052532862163;0,000000012520;-0,000000007043;0,000000013253;0,000000010123;-0,173910395854;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,018466177328;-0,133831943108;0,000000001565;-0,000000001565;0,000002129133;0,000000319993;0,799996005881;0,014458332054;0,000000027387;-0,000000011738;0,000003473468;0,000000601693;0,799996005881;0,076579933810;0,000000020345;-0,000000014085;0,000003490683;0,000000520313;0,799996005881;0,032493635789;0,000000039125;-0,000000022692;0,000001064933;0,000000168188;0,799996005881;0,050528939525;0,000000009390;-0,000000007042;0,000004911703;0,000000745673;0,799996005881;0,006442641504;0,000000022692;-0,000000014867
09h22m16s,05m;0,000002282503;0,000000438933;0,799996005881;-0,041651501791;0,000000010955;-0,000000007825;0,000003083783;0,000000490578;0,799996005881;0,012454409416;0,000000011737;-0,000000010173;0,000000942863;0,000000141583;0,799996005881;0,056540707437;0,000000011738;-0,000000003912;0,000002506298;0,000000437368;0,799996005881;0,024477945240;0,000000012520;-0,000000005478;0,000000014818;0,000000010123;0,122670154469;-0,191945699590;0,000000001565;-0,000000001565;0,000000124368;0,000000082113;0,655713575994;-0,043655424428;0,000000008607;-0,000000007043;0,000005212183;0,000000842703;0,799996005881;0,056540707437;0,000000052427;-0,000000039125;0,000001927248;0,000000312168;0,799996005881;0,036501481064;0,000000021910;-0,000000017215;0,000001775443;0,000000265218;0,799996005881;-0,005580894319;0,000000010173;-0,000000005478;0,000003187073;0,000000532833;0,799996005881;-0,025620120693;0,000000015650;-0,000000014085;0,000003712913;0,000002503168;0,799996005881;0,134693690293;0,000000007825;-0,000000011737;0,000002063403;0,000000329383;0,799996005881;0,018466177328;0,000000018780;-0,000000009390;0,000001548518;0,000000266783;0,799996005881;0,050528939525;0,000000016433;-0,000000004695;0,000000013253;0,000000010123;-0,129824097833;-0,197957467502;0,000000000783;-0,000000001565;0,000000014818;0,000000010123;0,050528939525;-0,191945699590;0,000000001565;-0,000000001565;0,000002129133;0,000000321558;0,799996005881;0,010450486779;0,000000017997;-0,000000007042;0,000003462513;0,000000595433;0,799996005881;0,082591701722;0,000000036778;-0,000000017997;0,000003515723;0,000000514053;0,799996005881;0,040509326339;0,000000041473;-0,000000022693;0,000001068063;0,000000174448;0,799996005881;0,080587779085;0,000000009390;-0,000000009390;0,000004896053;0,000000742543;0,799996005881;0,008446564142;0,000000021127;-0,000000014085
09h22m23s,09m;0,000002271548;0,000000440498;0,799996005881;-0,043655424428;0,000000012520;-0,000000005478;0,000003085348;0,000000492143;0,799996005881;0,044517171613;0,000000012520;-0,000000011738;0,000000942863;0,000000143148;0,797992083244;0,046521094251;0,000000007042;-0,000000005477;0,000002504733;0,000000438933;0,799996005881;0,040509326339;0,000000015650;-0,000000015650;0,000000014818;0,000000010123;0,012454409416;-0,127820175196;0,000000001565;-0,000000001565;0,000000127498;0,000000075853;0,659721421269;0,004438718867;0,000000005478;-0,000000005478;0,000005209053;0,000000842703;0,799996005881;0,068564243261;0,000000043820;-0,000000028953;0,000001930378;0,000000309038;0,799996005881;0,022474022603;0,000000021128;-0,000000007042;0,000001767618;0,000000263653;0,799996005881;0,006442641504;0,000000009390;-0,000000005478;0,000003188638;0,000000539093;0,799996005881;-0,005580894319;0,000000013303;-0,000000010955;0,000003708218;0,000002503168;0,799996005881;0,144713303479;0,000000008607;-0,000000011738;0,000002064968;0,000000334078;0,795988160606;0,012454409416;0,000000012520;-0,000000006260;0,000001545388;0,000000268348;0,799996005881;0,038505403701;0,000000017215;-0,000000010173;0,000000014818;0,000000010123;0,004438718867;-0,199961390139;0,000000001565;-0,000000001565;0,000000013253;0,000000010123;-0,197957467502;-0,151867246843;0,000000001565;-0,000000001565;0,000002121308;0,000000319993;0,799996005881;0,038505403701;0,000000022692;-0,000000011738;0,000003479728;0,000000601693;0,799996005881;0,082591701722;0,000000026605;-0,000000008608;0,000003492248;0,000000526573;0,799996005881;0,036501481064;0,000000038343;-0,000000014867;0,000001064933;0,000000171318;0,799996005881;0,082591701722;0,000000010173;-0,000000008607;0,000004921093;0,000000739413;0,799996005881;0,012454409416;0,000000022692;-0,000000014085
