Number of Devices Configurations: 20
Fixed Source: Voltage Source 2
Fixed Source Value: 0,010000509846000
Variable Source: Voltage Source 1
Variable Source Sweep from -0,199961390139000  To 0,799996005881000 With 500 Steps
Display Measurement: 
ADC Gain: 10
Sense Resistor 1: 100
Sense Resistor 2: 998
Time to Wait After Each Sweep (ms): 1000
Delay after each Step inside sweep (us): 200
Number of ADC readings at each setpoint (for averages):  2
forward and backward sweep: FALSE

Start Time: 2025-03-26_11h50m48s,68m
TimeStamp;dev1 Max Value;dev1 Min Value;dev1X Max Value;dev1X Min Value;dev1 Max Slope;dev1 Min Slope;dev2 Max Value;dev2 Min Value;dev2X Max Value;dev2X Min Value;dev2 Max Slope;dev2 Min Slope;dev3 Max Value;dev3 Min Value;dev3X Max Value;dev3X Min Value;dev3 Max Slope;dev3 Min Slope;dev4 Max Value;dev4 Min Value;dev4X Max Value;dev4X Min Value;dev4 Max Slope;dev4 Min Slope;dev5 Max Value;dev5 Min Value;dev5X Max Value;dev5X Min Value;dev5 Max Slope;dev5 Min Slope;dev6 Max Value;dev6 Min Value;dev6X Max Value;dev6X Min Value;dev6 Max Slope;dev6 Min Slope;dev7 Max Value;dev7 Min Value;dev7X Max Value;dev7X Min Value;dev7 Max Slope;dev7 Min Slope;dev8 Max Value;dev8 Min Value;dev8X Max Value;dev8X Min Value;dev8 Max Slope;dev8 Min Slope;dev9 Max Value;dev9 Min Value;dev9X Max Value;dev9X Min Value;dev9 Max Slope;dev9 Min Slope;dev10 Max Value;dev10 Min Value;dev10X Max Value;dev10X Min Value;dev10 Max Slope;dev10 Min Slope;dev11 Max Value;dev11 Min Value;dev11X Max Value;dev11X Min Value;dev11 Max Slope;dev11 Min Slope;dev12 Max Value;dev12 Min Value;dev12X Max Value;dev12X Min Value;dev12 Max Slope;dev12 Min Slope;dev13 Max Value;dev13 Min Value;dev13X Max Value;dev13X Min Value;dev13 Max Slope;dev13 Min Slope;dev14 Max Value;dev14 Min Value;dev14X Max Value;dev14X Min Value;dev14 Max Slope;dev14 Min Slope;dev15 Max Value;dev15 Min Value;dev15X Max Value;dev15X Min Value;dev15 Max Slope;dev15 Min Slope;dev16 Max Value;dev16 Min Value;dev16X Max Value;dev16X Min Value;dev16 Max Slope;dev16 Min Slope;dev17 Max Value;dev17 Min Value;dev17X Max Value;dev17X Min Value;dev17 Max Slope;dev17 Min Slope;Dev 18 Max Value;Dev 18 Min Value;Dev 18X Max Value;Dev 18X Min Value;Dev 18 Max Slope;Dev 18 Min Slope;Dev 19 Max Value;Dev 19 Min Value;Dev 19X Max Value;Dev 19X Min Value;Dev 19 Max Slope;Dev 19 Min Slope;Dev 20 Max Value;Dev 20 Min Value;Dev 20X Max Value;Dev 20X Min Value;Dev 20 Max Slope;Dev 20 Min Slope
11h50m54s,49m;0,000003506333;0,000000623603;0,797992083244;-0,199961390139;0,000000013302;-0,000000006260;0,000000017948;0,000000008558;0,735870481487;-0,189941776952;0,000000002348;-0,000000002348;0,000000518748;0,000000074288;0,799996005881;-0,147859401569;0,000000003913;-0,000000002348;0,000000019513;0,000000008558;0,749897939948;-0,149863324206;0,000000001565;-0,000000001565;0,000000016383;0,000000008558;0,791980315332;-0,199961390139;0,000000001565;-0,000000001565;0,000000013253;0,000000008558;-0,175914318491;-0,041651501791;0,000000001565;-0,000000000783;0,000000726893;0,000000158798;0,795988160606;-0,091749567724;0,000000006260;-0,000000003130;0,000002151043;0,000000307473;0,799996005881;-0,033635811242;0,000000010173;-0,000000007042;0,000005454758;0,000000881828;0,799996005881;-0,073714263988;0,000000021910;-0,000000017215;0,000002490648;0,000000578218;0,799996005881;-0,015600507506;0,000000013303;-0,000000008608;0,000001221433;0,000000165058;0,799996005881;-0,085737799812;0,000000009390;-0,000000008607;0,000000030468;0,000000008558;0,705811641927;-0,165894705305;0,000000003130;-0,000000003130;0,000001249603;0,000000262088;0,781960702145;-0,049667192340;0,000000010955;-0,000000010955;0,000001492178;0,000000255828;0,797992083244;-0,025620120693;0,000000007825;-0,000000004695;0,000001290293;0,000000241743;0,799996005881;0,000430873592;0,000000010955;-0,000000004695;0,000003152643;0,000000467103;0,799996005881;-0,037643656517;0,000000013303;-0,000000007043;0,000004565838;0,000000930343;0,799996005881;-0,041651501791;0,000000015650;-0,000000010173;0,000000013253;0,000000008558;0,088603469634;-0,183930009040;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,617639045885;-0,177918241129;0,000000001565;-0,000000001565;0,000004659738;0,000001154138;0,799996005881;-0,149863324206;0,000000014085;-0,000000004695
11h51m01s,57m;0,000003169858;0,000000582913;0,799996005881;-0,089745645087;0,000000015650;-0,000000011738;0,000000016383;0,000000008558;0,677756725005;-0,147859401569;0,000000002348;-0,000000002348;0,000000479623;0,000000072723;0,799996005881;-0,037643656517;0,000000003130;-0,000000002348;0,000000019513;0,000000008558;0,791980315332;-0,197957467502;0,000000002347;-0,000000001565;0,000000014818;0,000000008558;0,419250704791;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,659721421269;-0,069706418714;0,000000001565;-0,000000001565;0,000000694028;0,000000154103;0,799996005881;-0,063694650802;0,000000006260;-0,000000007042;0,000002088443;0,000000312168;0,799996005881;0,016462254691;0,000000011738;-0,000000008607;0,000005346773;0,000000884958;0,799996005881;-0,031631888605;0,000000025040;-0,000000019562;0,000002409268;0,000000561003;0,799996005881;0,022474022603;0,000000014085;-0,000000012520;0,000001193263;0,000000161928;0,797992083244;-0,069706418714;0,000000007825;-0,000000007043;0,000000032033;0,000000010123;0,795988160606;-0,029627965967;0,000000003130;-0,000000002348;0,000001235518;0,000000249568;0,799996005881;0,004438718867;0,000000010955;-0,000000007825;0,000001473398;0,000000254263;0,799996005881;-0,007584816957;0,000000008607;-0,000000003913;0,000001284033;0,000000232353;0,799996005881;0,046521094251;0,000000012520;-0,000000007043;0,000003097868;0,000000449888;0,799996005881;-0,007584816957;0,000000014867;-0,000000007043;0,000004507933;0,000000925648;0,799996005881;-0,027624043330;0,000000017215;-0,000000014085;0,000000014818;0,000000008558;0,689780260829;-0,139843711020;0,000000002348;-0,000000001565;0,000000014818;0,000000008558;0,517442914020;-0,187937854315;0,000000001565;-0,000000001565;0,000004655043;0,000001136923;0,799996005881;-0,121808407284;0,000000015650;-0,000000007825
11h51m08s,71m;0,000003141688;0,000000581348;0,799996005881;-0,057682882890;0,000000017215;-0,000000010955;0,000000016383;0,000000008558;0,509427223470;-0,199961390139;0,000000001565;-0,000000001565;0,000000474928;0,000000074288;0,797992083244;-0,025620120693;0,000000003130;-0,000000001565;0,000000016383;0,000000008558;0,719839100388;-0,137839788382;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,214850595785;-0,195953544864;0,000000001565;-0,000000002348;0,000000013253;0,000000008558;-0,157879014755;0,084595624360;0,000000001565;-0,000000001565;0,000000684638;0,000000150973;0,797992083244;-0,019608352781;0,000000005478;-0,000000005478;0,000002068098;0,000000313733;0,799996005881;0,028485790515;0,000000010173;-0,000000005478;0,000005293563;0,000000892783;0,799996005881;-0,013596584869;0,000000023475;-0,000000016433;0,000002351363;0,000000551613;0,799996005881;0,030489713152;0,000000017215;-0,000000011738;0,000001183873;0,000000155668;0,799996005881;-0,055678960252;0,000000013302;-0,000000009390;0,000000032033;0,000000010123;0,799996005881;-0,067702496076;0,000000003130;-0,000000003130;0,000001230823;0,000000240178;0,791980315332;-0,007584816957;0,000000021128;-0,000000014085;0,000001453053;0,000000255828;0,795988160606;0,012454409416;0,000000008608;-0,000000004695;0,000001293423;0,000000230788;0,799996005881;0,014458332054;0,000000009390;-0,000000005478;0,000003086913;0,000000446758;0,799996005881;0,008446564142;0,000000013303;-0,000000007043;0,000004464113;0,000000924083;0,799996005881;0,000430873592;0,000000016433;-0,000000011738;0,000000014818;0,000000008558;0,767933243684;-0,061690728164;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,501411532921;-0,133831943108;0,000000001565;-0,000000001565;0,000004648783;0,000001125968;0,799996005881;-0,111788794097;0,000000016433;-0,000000013302
11h51m15s,83m;0,000003133863;0,000000579783;0,799996005881;-0,059686805527;0,000000015650;-0,000000014867;0,000000017948;0,000000008558;0,789976392694;-0,191945699590;0,000000001565;-0,000000001565;0,000000473363;0,000000074288;0,799996005881;-0,033635811242;0,000000003130;-0,000000002347;0,000000016383;0,000000008558;0,717835177751;-0,185933931678;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,653709653357;-0,165894705305;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,615635123248;-0,119804484646;0,000000001565;-0,000000001565;0,000000700288;0,000000157233;0,797992083244;-0,009588739594;0,000000005478;-0,000000004695;0,000002052448;0,000000307473;0,797992083244;0,036501481064;0,000000010173;-0,000000007825;0,000005304518;0,000000888088;0,799996005881;-0,009588739594;0,000000026605;-0,000000017215;0,000002345103;0,000000548483;0,799996005881;0,044517171613;0,000000014867;-0,000000012520;0,000001172918;0,000000161928;0,799996005881;-0,053675037615;0,000000009390;-0,000000007825;0,000000032033;0,000000005428;0,779956779508;0,034497558427;0,000000003130;-0,000000002348;0,000001232388;0,000000248003;0,791980315332;-0,003576971682;0,000000017998;-0,000000014867;0,000001449923;0,000000254263;0,795988160606;-0,001573049045;0,000000007825;-0,000000004695;0,000001271513;0,000000233918;0,799996005881;0,034497558427;0,000000011738;-0,000000005478;0,000003060308;0,000000454583;0,799996005881;-0,007584816957;0,000000013302;-0,000000007825;0,000004459418;0,000000930343;0,799996005881;-0,005580894319;0,000000017215;-0,000000012520;0,000000014818;0,000000008558;0,397207555781;-0,137839788382;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,038505403701;-0,131828020470;0,000000001565;-0,000000001565;0,000004651913;0,000001125968;0,799996005881;-0,121808407284;0,000000017215;-0,000000014085
11h51m22s,93m;0,000003122908;0,000000582913;0,799996005881;-0,049667192340;0,000000013303;-0,000000012520;0,000000016383;0,000000008558;0,657717498632;-0,173910395854;0,000000001565;-0,000000001565;0,000000467103;0,000000075853;0,799996005881;-0,043655424428;0,000000003913;-0,000000003130;0,000000017948;0,000000008558;0,795988160606;-0,189941776952;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,529466449844;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,423258550066;-0,189941776952;0,000000001565;-0,000000002348;0,000000689333;0,000000160363;0,797992083244;-0,031631888605;0,000000007042;-0,000000006260;0,000002057143;0,000000310603;0,799996005881;0,040509326339;0,000000009390;-0,000000007825;0,000005288868;0,000000892783;0,799996005881;-0,005580894319;0,000000026605;-0,000000021128;0,000002327888;0,000000548483;0,799996005881;0,046521094251;0,000000012520;-0,000000010955;0,000001179178;0,000000161928;0,799996005881;-0,013596584869;0,000000013302;-0,000000009390;0,000000030468;0,000000006993;0,709819487202;-0,019608352781;0,000000002348;-0,000000002348;0,000001202653;0,000000240178;0,799996005881;0,024477945240;0,000000017215;-0,000000015650;0,000001451488;0,000000255828;0,797992083244;0,002434796230;0,000000011738;-0,000000006260;0,000001268383;0,000000243308;0,799996005881;0,060548552712;0,000000011738;-0,000000005478;0,000003054048;0,000000454583;0,799996005881;0,006442641504;0,000000013302;-0,000000007825;0,000004450028;0,000000928778;0,799996005881;-0,007584816957;0,000000017215;-0,000000011737;0,000000014818;0,000000008558;0,661725343906;-0,067702496076;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,377168329408;-0,061690728164;0,000000001565;-0,000000001565;0,000004640958;0,000001124403;0,799996005881;-0,131828020470;0,000000016433;-0,000000008608
11h51m30s,04m;0,000003110388;0,000000576653;0,799996005881;-0,043655424428;0,000000013302;-0,000000012520;0,000000016383;0,000000008558;0,745890094674;-0,173910395854;0,000000001565;-0,000000001565;0,000000468668;0,000000074288;0,795988160606;-0,003576971682;0,000000003130;-0,000000002348;0,000000017948;0,000000008558;0,779956779508;-0,133831943108;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,329074186112;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,361136948309;-0,181926086403;0,000000001565;-0,000000001565;0,000000694028;0,000000161928;0,793984237969;-0,061690728164;0,000000005478;-0,000000003912;0,000002046188;0,000000315298;0,799996005881;0,028485790515;0,000000009390;-0,000000007043;0,000005265393;0,000000888088;0,799996005881;-0,005580894319;0,000000025823;-0,000000021128;0,000002316933;0,000000540658;0,799996005881;0,040509326339;0,000000013303;-0,000000016432;0,000001180743;0,000000166623;0,799996005881;-0,027624043330;0,000000007825;-0,000000006260;0,000000032033;0,000000005428;0,785968547420;0,046521094251;0,000000003912;-0,000000003130;0,000001197958;0,000000235483;0,799996005881;0,012454409416;0,000000026605;-0,000000017998;0,000001448358;0,000000252698;0,799996005881;0,006442641504;0,000000007825;-0,000000006260;0,000001269948;0,000000237048;0,799996005881;0,040509326339;0,000000008608;-0,000000005478;0,000003036833;0,000000449888;0,799996005881;0,012454409416;0,000000013303;-0,000000007043;0,000004440638;0,000000927213;0,799996005881;-0,003576971682;0,000000018780;-0,000000012520;0,000000013253;0,000000008558;-0,109784871460;-0,179922163766;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,373160484133;-0,163890782667;0,000000001565;-0,000000001565;0,000004642523;0,000001118143;0,799996005881;-0,105777026185;0,000000017215;-0,000000009390
11h51m37s,08m;0,000003105693;0,000000576653;0,799996005881;-0,037643656517;0,000000014867;-0,000000011738;0,000000017948;0,000000008558;0,795988160606;-0,199961390139;0,000000001565;-0,000000001565;0,000000463973;0,000000072723;0,799996005881;-0,019608352781;0,000000003913;-0,000000002348;0,000000016383;0,000000010123;0,657717498632;-0,191945699590;0,000000001565;-0,000000001565;0,000000016383;0,000000008558;0,775948934233;-0,197957467502;0,000000001565;-0,000000001565;0,000000014818;0,000000010123;0,519446836657;-0,193949622227;0,000000001565;-0,000000001565;0,000000694028;0,000000163493;0,793984237969;-0,033635811242;0,000000007825;-0,000000010173;0,000002038363;0,000000307473;0,799996005881;0,042513248976;0,000000010955;-0,000000006260;0,000005245048;0,000000894348;0,799996005881;0,014458332054;0,000000025823;-0,000000020345;0,000002313803;0,000000535963;0,799996005881;0,054536784800;0,000000014085;-0,000000012520;0,000001171353;0,000000171318;0,799996005881;-0,027624043330;0,000000007043;-0,000000006260;0,000000030468;0,000000008558;0,789976392694;0,026481867878;0,000000003912;-0,000000004695;0,000001190133;0,000000224528;0,799996005881;-0,003576971682;0,000000012520;-0,000000017997;0,000001442098;0,000000252698;0,795988160606;0,014458332054;0,000000008608;-0,000000004695;0,000001271513;0,000000233918;0,799996005881;0,046521094251;0,000000010173;-0,000000003913;0,000003035268;0,000000451453;0,799996005881;0,026481867878;0,000000012520;-0,000000008608;0,000004417163;0,000000931908;0,797992083244;-0,001573049045;0,000000017997;-0,000000012520;0,000000014818;0,000000008558;0,777952856871;-0,157879014755;0,000000001565;-0,000000001565;0,000000013253;0,000000008558;-0,165894705305;-0,127820175196;0,000000001565;-0,000000001565;0,000004637828;0,000001116578;0,799996005881;-0,125816252558;0,000000016432;-0,000000008607
11h51m44s,09m;0,000003096303;0,000000575088;0,799996005881;-0,031631888605;0,000000014085;-0,000000015650;0,000000016383;0,000000008558;0,769937166321;-0,199961390139;0,000000001565;-0,000000001565;0,000000467103;0,000000074288;0,799996005881;0,010450486779;0,000000003130;-0,000000002347;0,000000017948;0,000000008558;0,769937166321;-0,157879014755;0,000000001565;-0,000000002347;0,000000016383;0,000000008558;0,691784183466;-0,193949622227;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,611627277973;-0,187937854315;0,000000001565;-0,000000002348;0,000000694028;0,000000149408;0,799996005881;-0,019608352781;0,000000004695;-0,000000003912;0,000002036798;0,000000313733;0,797992083244;0,034497558427;0,000000009390;-0,000000007043;0,000005262263;0,000000889653;0,799996005881;0,012454409416;0,000000027388;-0,000000020345;0,000002302848;0,000000532833;0,799996005881;0,064556397987;0,000000017215;-0,000000011738;0,000001166658;0,000000165058;0,799996005881;-0,027624043330;0,000000008607;-0,000000005478;0,000000030468;0,000000006993;0,793984237969;0,002434796230;0,000000003130;-0,000000002348;0,000001271513;0,000000227658;0,793984237969;0,016462254691;0,000000028170;-0,000000021128;0,000001446793;0,000000246438;0,799996005881;0,026481867878;0,000000008607;-0,000000005478;0,000001287163;0,000000254263;0,795988160606;0,000430873592;0,000000017215;-0,000000005478;0,000003027443;0,000000454583;0,799996005881;0,030489713152;0,000000014085;-0,000000007825;0,000004414033;0,000000931908;0,799996005881;0,006442641504;0,000000017998;-0,000000010955;0,000000014818;0,000000008558;0,781960702145;-0,055678960252;0,000000001565;-0,000000001565;0,000000013253;0,000000008558;-0,155875092118;-0,195953544864;0,000000001565;-0,000000001565;0,000004644088;0,000001116578;0,799996005881;-0,117800562009;0,000000016433;-0,000000010955
11h51m51s,11m;0,000003088478;0,000000579783;0,799996005881;-0,037643656517;0,000000015650;-0,000000010173;0,000000016383;0,000000008558;0,773945011596;-0,199961390139;0,000000001565;-0,000000001565;0,000000459278;0,000000074288;0,799996005881;-0,013596584869;0,000000003130;-0,000000002348;0,000000016383;0,000000008558;0,737874404124;-0,063694650802;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,489387997097;-0,199961390139;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,705811641927;-0,159882937393;0,000000001565;-0,000000001565;0,000000690898;0,000000150973;0,799996005881;-0,001573049045;0,000000007042;-0,000000003130;0,000002019583;0,000000310603;0,799996005881;0,040509326339;0,000000010173;-0,000000005478;0,000005254438;0,000000895913;0,799996005881;0,008446564142;0,000000028170;-0,000000020345;0,000002316933;0,000000532833;0,799996005881;0,072572088536;0,000000015650;-0,000000012520;0,000001177613;0,000000161928;0,799996005881;-0,017604430143;0,000000010955;-0,000000008607;0,000000030468;0,000000008558;0,723846945663;0,048525016888;0,000000003912;-0,000000003913;0,000001208913;0,000000235483;0,799996005881;0,004438718867;0,000000032083;-0,000000022693;0,000001445228;0,000000255828;0,799996005881;0,018466177328;0,000000007043;-0,000000005478;0,000001266818;0,000000243308;0,797992083244;0,008446564142;0,000000012520;-0,000000004695;0,000003030573;0,000000449888;0,799996005881;0,012454409416;0,000000014867;-0,000000007043;0,000004418728;0,000000930343;0,799996005881;0,010450486779;0,000000018780;-0,000000013303;0,000000013253;0,000000008558;-0,091749567724;-0,139843711020;0,000000001565;-0,000000001565;0,000000014818;0,000000008558;0,591588051600;-0,191945699590;0,000000001565;-0,000000001565;0,000004636263;0,000001115013;0,799996005881;-0,115796639372;0,000000017215;-0,000000007042
11h51m58s,14m;0,000003097868;0,000000576653;0,799996005881;-0,023616198055;0,000000016433;-0,000000017215;0,000000016383;0,000000008558;0,797992083244;-0,199961390139;0,000000001565;-0,000000001565;0,000000462408;0,000000072723;0,799996005881;0,004438718867;0,000000003130;-0,000000002348;0,000000016383;0,000000008558;0,723846945663;-0,161886860030;0,000000002348;-0,000000001565;0,000000014818;0,000000008558;0,505419378196;-0,199961390139;0,000000001565;-0,000000001565;0,000000013253;0,000000008558;-0,155875092118;-0,199961390139;0,000000001565;-0,000000001565;0,000000686203;0,000000149408;0,799996005881;-0,037643656517;0,000000004695;-0,000000003130;0,000002024278;0,000000313733;0,799996005881;0,054536784800;0,000000009390;-0,000000007042;0,000005246613;0,000000897478;0,799996005881;0,014458332054;0,000000025040;-0,000000020345;0,000002296588;0,000000528138;0,799996005881;0,056540707437;0,000000014867;-0,000000011738;0,000001176048;0,000000163493;0,799996005881;-0,027624043330;0,000000008607;-0,000000007042;0,000000027338;0,000000010123;0,737874404124;-0,199961390139;0,000000002348;-0,000000003130;0,000001229258;0,000000232353;0,793984237969;0,054536784800;0,000000021128;-0,000000019562;0,000001438968;0,000000248003;0,799996005881;0,032493635789;0,000000007825;-0,000000004695;0,000001265253;0,000000246438;0,799996005881;0,036501481064;0,000000010955;-0,000000004695;0,000003007098;0,000000449888;0,799996005881;0,024477945240;0,000000013303;-0,000000009390;0,000004409338;0,000000933473;0,799996005881;0,012454409416;0,000000016433;-0,000000011738;0,000000013253;0,000000008558;-0,149863324206;-0,125816252558;0,000000001565;-0,000000001565;0,000000013253;0,000000008558;-0,147859401569;-0,195953544864;0,000000001565;-0,000000001565;0,000004634698;0,000001116578;0,799996005881;-0,115796639372;0,000000016433;-0,000000010955
