Sweep Time (mili secs)5,581000E+3;;;;;;;;;;;;;;;;;;;;
Number of Devices Configurations: 20;;;;;;;;;;;;;;;;;;;;
Fixed Source: Voltage Source 2;;;;;;;;;;;;;;;;;;;;
Fixed Source Value: 0,010000509846000;;;;;;;;;;;;;;;;;;;;
Variable Source: Voltage Source 1;;;;;;;;;;;;;;;;;;;;
Variable Source Sweep from -0,199961390139000  To 0,799996005881000 With 500 Steps;;;;;;;;;;;;;;;;;;;;
Display Measurement: ;;;;;;;;;;;;;;;;;;;;
ADC Gain: 10;;;;;;;;;;;;;;;;;;;;
Sense Resistor 1: 100;;;;;;;;;;;;;;;;;;;;
Sense Resistor 2: 998;;;;;;;;;;;;;;;;;;;;
Time to Wait After Each Sweep (ms): 1000;;;;;;;;;;;;;;;;;;;;
Delay after each Step inside sweep (us): 200;;;;;;;;;;;;;;;;;;;;
Number of ADC readings at each setpoint (for averages):  2;;;;;;;;;;;;;;;;;;;;
forward and backward sweep: FALSE;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
2025-03-26_13h09m59s,02m;;;;;;;;;;;;;;;;;;;;
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,19996139;8,9938E-08;1,1688E-08;1,50973E-07;4,6118E-08;1,1688E-08;1,1688E-08;1,31533E-06;1,54226E-06;1,51096E-06;6,65858E-07;1,1688E-08;1,1688E-08;1,26838E-06;1,50973E-07;1,1688E-08;1,1688E-08;1,3253E-08;8,558E-09;1,1688E-08;1,6383E-08
-0,197957468;8,9938E-08;1,1688E-08;1,47843E-07;4,4553E-08;1,1688E-08;1,1688E-08;1,30751E-06;1,53756E-06;1,5047E-06;6,62728E-07;1,1688E-08;1,3253E-08;1,26056E-06;1,43148E-07;1,1688E-08;1,1688E-08;1,1688E-08;1,0123E-08;1,3253E-08;1,7948E-08
-0,195953545;8,9938E-08;1,1688E-08;1,44713E-07;4,4553E-08;1,1688E-08;1,1688E-08;1,30125E-06;1,53287E-06;1,50313E-06;6,54903E-07;1,3253E-08;1,1688E-08;1,25117E-06;1,46278E-07;1,1688E-08;1,1688E-08;1,3253E-08;1,1688E-08;1,1688E-08;1,6383E-08
